shape	kind	claimed_by	qid	geni_id	sources	component_qids	component_geni_ids
2x1	several items, one Geni profile	mixed	Q65943719	5612945144420059801	wikidata-p2600	Q100342338;Q65943719	5612945144420059801
1x2	one item, several Geni profiles	mixed	Q100383	6000000010715198330	zipper	Q100383	6000000010715198330;6000000102779471554
1x2	one item, several Geni profiles	mixed	Q100383	6000000102779471554	wikidata-p2600	Q100383	6000000010715198330;6000000102779471554
1x2	one item, several Geni profiles	wikidata only	Q100432929	6000000009103099807	wikidata-p2600	Q100432929	6000000009103099807;6000000044316259878
1x2	one item, several Geni profiles	wikidata only	Q100432929	6000000044316259878	wikidata-p2600	Q100432929	6000000009103099807;6000000044316259878
1x2	one item, several Geni profiles	mixed	Q100447816	6000000002252416403	wikidata-p2600;zipper	Q100447816	6000000002252416403;6000000201640205821
1x2	one item, several Geni profiles	mixed	Q100447816	6000000201640205821	wikidata-p2600	Q100447816	6000000002252416403;6000000201640205821
1x2	one item, several Geni profiles	wikidata only	Q100450214	5262976979220045503	wikidata-p2600	Q100450214	5262976979220045503;6000000210034810880
1x2	one item, several Geni profiles	wikidata only	Q100450214	6000000210034810880	wikidata-p2600	Q100450214	5262976979220045503;6000000210034810880
1x2	one item, several Geni profiles	wikidata only	Q100450218	6000000006846187688	wikidata-p2600	Q100450218	6000000006846187688;6000000210035093828
1x2	one item, several Geni profiles	wikidata only	Q100450218	6000000210035093828	wikidata-p2600	Q100450218	6000000006846187688;6000000210035093828
1x3	one item, several Geni profiles	wikidata only	Q100490602	4269699771790031909	wikidata-p2600	Q100490602	4269699771790031909;6000000003937884078;6000000030306735940
1x3	one item, several Geni profiles	wikidata only	Q100490602	6000000003937884078	wikidata-p2600	Q100490602	4269699771790031909;6000000003937884078;6000000030306735940
1x3	one item, several Geni profiles	wikidata only	Q100490602	6000000030306735940	wikidata-p2600	Q100490602	4269699771790031909;6000000003937884078;6000000030306735940
1x2	one item, several Geni profiles	wikidata only	Q100503723	6000000045424111893	wikidata-p2600	Q100503723	6000000045424111893;6000000137823895858
1x2	one item, several Geni profiles	wikidata only	Q100503723	6000000137823895858	wikidata-p2600	Q100503723	6000000045424111893;6000000137823895858
1x2	one item, several Geni profiles	wikidata only	Q100591197	6000000024304520829	wikidata-p2600	Q100591197	6000000024304520829;6000000082668862879
1x2	one item, several Geni profiles	wikidata only	Q100591197	6000000082668862879	wikidata-p2600	Q100591197	6000000024304520829;6000000082668862879
1x2	one item, several Geni profiles	wikidata only	Q100591414	6000000015163641260	wikidata-p2600	Q100591414	6000000015163641260;6000000015388236297
1x2	one item, several Geni profiles	wikidata only	Q100591414	6000000015388236297	wikidata-p2600	Q100591414	6000000015163641260;6000000015388236297
1x2	one item, several Geni profiles	wikidata only	Q100695765	6000000013050142047	wikidata-p2600	Q100695765	6000000013050142047;6000000070873616833
1x2	one item, several Geni profiles	wikidata only	Q100695765	6000000070873616833	wikidata-p2600	Q100695765	6000000013050142047;6000000070873616833
1x2	one item, several Geni profiles	wikidata only	Q100746037	6000000017970486826	wikidata-p2600	Q100746037	6000000017970486826;6000000147208045824
1x2	one item, several Geni profiles	wikidata only	Q100746037	6000000147208045824	wikidata-p2600	Q100746037	6000000017970486826;6000000147208045824
1x2	one item, several Geni profiles	wikidata only	Q100746503	6000000017970816049	wikidata-p2600	Q100746503	6000000017970816049;6000000144110986829
1x2	one item, several Geni profiles	wikidata only	Q100746503	6000000144110986829	wikidata-p2600	Q100746503	6000000017970816049;6000000144110986829
1x2	one item, several Geni profiles	wikidata only	Q100746611	6000000005774560799	wikidata-p2600	Q100746611	6000000005774560799;6000000006348586640
1x2	one item, several Geni profiles	wikidata only	Q100746611	6000000006348586640	wikidata-p2600	Q100746611	6000000005774560799;6000000006348586640
1x3	one item, several Geni profiles	wikidata only	Q100747256	6000000006348580123	wikidata-p2600	Q100747256	6000000006348580123;6000000007017071094;6000000009288919620
1x3	one item, several Geni profiles	wikidata only	Q100747256	6000000007017071094	wikidata-p2600	Q100747256	6000000006348580123;6000000007017071094;6000000009288919620
1x3	one item, several Geni profiles	wikidata only	Q100747256	6000000009288919620	wikidata-p2600	Q100747256	6000000006348580123;6000000007017071094;6000000009288919620
1x2	one item, several Geni profiles	wikidata only	Q100749568	6000000003077570867	wikidata-p2600	Q100749568	6000000003077570867;6000000175010757071
1x2	one item, several Geni profiles	wikidata only	Q100749568	6000000175010757071	wikidata-p2600	Q100749568	6000000003077570867;6000000175010757071
1x2	one item, several Geni profiles	wikidata only	Q100750409	6000000003526025726	wikidata-p2600	Q100750409	6000000003526025726;6000000003938231843
1x2	one item, several Geni profiles	wikidata only	Q100750409	6000000003938231843	wikidata-p2600	Q100750409	6000000003526025726;6000000003938231843
2x1	several items, one Geni profile	ours only	Q100770607	6000000012124599633	structural	Q100770607;Q105796377	6000000012124599633
2x1	several items, one Geni profile	ours only	Q105796377	6000000012124599633	zipper	Q100770607;Q105796377	6000000012124599633
2x2	TANGLE - needs both merges	mixed	Q100804879	6000000003513109857	structural	Q100804879;Q106042353	6000000003513109857;6000000006606589414
2x2	TANGLE - needs both merges	mixed	Q100804879	6000000006606589414	wikidata-p2600	Q100804879;Q106042353	6000000003513109857;6000000006606589414
2x2	TANGLE - needs both merges	mixed	Q106042353	6000000003513109857	zipper	Q100804879;Q106042353	6000000003513109857;6000000006606589414
1x2	one item, several Geni profiles	wikidata only	Q10087177	6000000074787646989	wikidata-p2600	Q10087177	6000000074787646989;6000000075407691889
1x2	one item, several Geni profiles	wikidata only	Q10087177	6000000075407691889	wikidata-p2600	Q10087177	6000000074787646989;6000000075407691889
1x2	one item, several Geni profiles	wikidata only	Q100911058	6000000064169766941	wikidata-p2600	Q100911058	6000000064169766941;6000000084668288909
1x2	one item, several Geni profiles	wikidata only	Q100911058	6000000084668288909	wikidata-p2600	Q100911058	6000000064169766941;6000000084668288909
1x2	one item, several Geni profiles	wikidata only	Q100912081	6000000003938082443	wikidata-p2600	Q100912081	6000000003938082443;6000000014223651318
1x2	one item, several Geni profiles	wikidata only	Q100912081	6000000014223651318	wikidata-p2600	Q100912081	6000000003938082443;6000000014223651318
1x2	one item, several Geni profiles	wikidata only	Q100912093	6000000000490937051	wikidata-p2600	Q100912093	6000000000490937051;6000000003939234233
1x2	one item, several Geni profiles	wikidata only	Q100912093	6000000003939234233	wikidata-p2600	Q100912093	6000000000490937051;6000000003939234233
1x2	one item, several Geni profiles	wikidata only	Q100913572	6000000006770427124	wikidata-p2600	Q100913572	6000000006770427124;6000000014178313068
1x2	one item, several Geni profiles	wikidata only	Q100913572	6000000014178313068	wikidata-p2600	Q100913572	6000000006770427124;6000000014178313068
1x2	one item, several Geni profiles	wikidata only	Q100914279	6000000000426640539	wikidata-p2600	Q100914279	6000000000426640539;6000000003939144139
1x2	one item, several Geni profiles	wikidata only	Q100914279	6000000003939144139	wikidata-p2600	Q100914279	6000000000426640539;6000000003939144139
1x2	one item, several Geni profiles	wikidata only	Q100938060	6000000020271475649	wikidata-p2600	Q100938060	6000000020271475649;6000000192207539829
1x2	one item, several Geni profiles	wikidata only	Q100938060	6000000192207539829	wikidata-p2600	Q100938060	6000000020271475649;6000000192207539829
1x3	one item, several Geni profiles	wikidata only	Q100938304	6000000020274482924	wikidata-p2600	Q100938304	6000000020274482924;6000000077859411410;6000000192207336844
1x3	one item, several Geni profiles	wikidata only	Q100938304	6000000077859411410	wikidata-p2600	Q100938304	6000000020274482924;6000000077859411410;6000000192207336844
1x3	one item, several Geni profiles	wikidata only	Q100938304	6000000192207336844	wikidata-p2600	Q100938304	6000000020274482924;6000000077859411410;6000000192207336844
1x2	one item, several Geni profiles	wikidata only	Q100943395	6000000003013912002	wikidata-p2600	Q100943395	6000000003013912002;6000000006290363411
1x2	one item, several Geni profiles	wikidata only	Q100943395	6000000006290363411	wikidata-p2600	Q100943395	6000000003013912002;6000000006290363411
1x2	one item, several Geni profiles	wikidata only	Q100950217	6000000039230963203	wikidata-p2600	Q100950217	6000000039230963203;6000000115012446864
1x2	one item, several Geni profiles	wikidata only	Q100950217	6000000115012446864	wikidata-p2600	Q100950217	6000000039230963203;6000000115012446864
1x2	one item, several Geni profiles	wikidata only	Q100952170	6000000015519431443	wikidata-p2600	Q100952170	6000000015519431443;6000000040735984942
1x2	one item, several Geni profiles	wikidata only	Q100952170	6000000040735984942	wikidata-p2600	Q100952170	6000000015519431443;6000000040735984942
1x2	one item, several Geni profiles	wikidata only	Q101208369	6000000039678190404	wikidata-p2600	Q101208369	6000000039678190404;6000000184911063845
1x2	one item, several Geni profiles	wikidata only	Q101208369	6000000184911063845	wikidata-p2600	Q101208369	6000000039678190404;6000000184911063845
1x2	one item, several Geni profiles	wikidata only	Q101209546	6000000003704000274	wikidata-p2600	Q101209546	6000000003704000274;6000000007476767602
1x2	one item, several Geni profiles	wikidata only	Q101209546	6000000007476767602	wikidata-p2600	Q101209546	6000000003704000274;6000000007476767602
1x2	one item, several Geni profiles	wikidata only	Q101226431	6000000004237645211	wikidata-p2600	Q101226431	6000000004237645211;6000000025581808569
1x2	one item, several Geni profiles	wikidata only	Q101226431	6000000025581808569	wikidata-p2600	Q101226431	6000000004237645211;6000000025581808569
1x2	one item, several Geni profiles	wikidata only	Q101228323	6000000022395121584	wikidata-p2600	Q101228323	6000000022395121584;6000000032417867833
1x2	one item, several Geni profiles	wikidata only	Q101228323	6000000032417867833	wikidata-p2600	Q101228323	6000000022395121584;6000000032417867833
2x1	several items, one Geni profile	mixed	Q101231437	6000000014986607699	wikidata-p2600	Q101231437;Q139694492	6000000014986607699
2x1	several items, one Geni profile	mixed	Q139694492	6000000014986607699	structural	Q101231437;Q139694492	6000000014986607699
1x2	one item, several Geni profiles	mixed	Q101242405	6000000004139464394	wikidata-p2600;zipper	Q101242405	6000000004139464394;6000000190046840277
1x2	one item, several Geni profiles	mixed	Q101242405	6000000190046840277	wikidata-p2600	Q101242405	6000000004139464394;6000000190046840277
1x2	one item, several Geni profiles	wikidata only	Q101245989	6000000003939198233	wikidata-p2600	Q101245989	6000000003939198233;6000000096324927026
1x2	one item, several Geni profiles	wikidata only	Q101245989	6000000096324927026	wikidata-p2600	Q101245989	6000000003939198233;6000000096324927026
1x2	one item, several Geni profiles	wikidata only	Q101246108	6000000001563121510	wikidata-p2600	Q101246108	6000000001563121510;6000000099763332915
1x2	one item, several Geni profiles	wikidata only	Q101246108	6000000099763332915	wikidata-p2600	Q101246108	6000000001563121510;6000000099763332915
1x3	one item, several Geni profiles	mixed	Q101247040	4050982006040121406	wikidata-p2600	Q101247040	4050982006040121406;6000000001163650247;6000000002037832193
1x3	one item, several Geni profiles	mixed	Q101247040	6000000001163650247	wikidata-p2600	Q101247040	4050982006040121406;6000000001163650247;6000000002037832193
1x3	one item, several Geni profiles	mixed	Q101247040	6000000002037832193	structural	Q101247040	4050982006040121406;6000000001163650247;6000000002037832193
1x2	one item, several Geni profiles	mixed	Q101247043	6000000006771365089	wikidata-p2600	Q101247043	6000000006771365089;6000000010742449081
1x2	one item, several Geni profiles	mixed	Q101247043	6000000010742449081	structural	Q101247043	6000000006771365089;6000000010742449081
2x1	several items, one Geni profile	ours only	Q101247643	6000000001777664885	structural	Q101247643;Q104550182	6000000001777664885
2x1	several items, one Geni profile	ours only	Q104550182	6000000001777664885	zipper	Q101247643;Q104550182	6000000001777664885
1x2	one item, several Geni profiles	mixed	Q101248193	6000000001126874688	structural;zipper	Q101248193	6000000001126874688;6000000022439974786
1x2	one item, several Geni profiles	mixed	Q101248193	6000000022439974786	wikidata-p2600	Q101248193	6000000001126874688;6000000022439974786
2x1	several items, one Geni profile	mixed	Q101248756	6000000010521965469	structural	Q101248756;Q122931811	6000000010521965469
2x1	several items, one Geni profile	mixed	Q122931811	6000000010521965469	wikidata-p2600	Q101248756;Q122931811	6000000010521965469
2x1	several items, one Geni profile	ours only	Q101354988	6000000004382736522	structural	Q101354988;Q271908	6000000004382736522
2x1	several items, one Geni profile	ours only	Q271908	6000000004382736522	zipper	Q101354988;Q271908	6000000004382736522
3x3	TANGLE - needs both merges	mixed	Q101402688	6000000003493243662	wikidata-p2600	Q101402688;Q134986457;Q134986469	6000000003493243662;6000000003493243744;6000000075706881850
3x3	TANGLE - needs both merges	mixed	Q101402688	6000000003493243744	structural	Q101402688;Q134986457;Q134986469	6000000003493243662;6000000003493243744;6000000075706881850
3x3	TANGLE - needs both merges	mixed	Q101402688	6000000075706881850	structural	Q101402688;Q134986457;Q134986469	6000000003493243662;6000000003493243744;6000000075706881850
3x3	TANGLE - needs both merges	mixed	Q134986457	6000000003493243744	wikidata-p2600	Q101402688;Q134986457;Q134986469	6000000003493243662;6000000003493243744;6000000075706881850
3x3	TANGLE - needs both merges	mixed	Q134986469	6000000075706881850	wikidata-p2600	Q101402688;Q134986457;Q134986469	6000000003493243662;6000000003493243744;6000000075706881850
1x2	one item, several Geni profiles	mixed	Q101423303	6000000002860696257	structural;zipper	Q101423303	6000000002860696257;6000000013526690261
1x2	one item, several Geni profiles	mixed	Q101423303	6000000013526690261	wikidata-p2600	Q101423303	6000000002860696257;6000000013526690261
1x2	one item, several Geni profiles	wikidata only	Q101423528	6000000068972355830	wikidata-p2600	Q101423528	6000000068972355830;6000000077984751142
1x2	one item, several Geni profiles	wikidata only	Q101423528	6000000077984751142	wikidata-p2600	Q101423528	6000000068972355830;6000000077984751142
1x2	one item, several Geni profiles	wikidata only	Q101427792	6000000008165514019	wikidata-p2600	Q101427792	6000000008165514019;6000000163447541890
1x2	one item, several Geni profiles	wikidata only	Q101427792	6000000163447541890	wikidata-p2600	Q101427792	6000000008165514019;6000000163447541890
1x2	one item, several Geni profiles	wikidata only	Q101436242	6000000003943132247	wikidata-p2600	Q101436242	6000000003943132247;6000000166277041821
1x2	one item, several Geni profiles	wikidata only	Q101436242	6000000166277041821	wikidata-p2600	Q101436242	6000000003943132247;6000000166277041821
1x2	one item, several Geni profiles	wikidata only	Q101838257	6000000007123359947	wikidata-p2600	Q101838257	6000000007123359947;6000000009437229229
1x2	one item, several Geni profiles	wikidata only	Q101838257	6000000009437229229	wikidata-p2600	Q101838257	6000000007123359947;6000000009437229229
1x2	one item, several Geni profiles	wikidata only	Q102084893	6000000019469318392	wikidata-p2600	Q102084893	6000000019469318392;6000000195039898476
1x2	one item, several Geni profiles	wikidata only	Q102084893	6000000195039898476	wikidata-p2600	Q102084893	6000000019469318392;6000000195039898476
1x2	one item, several Geni profiles	wikidata only	Q102107	6000000016304127645	wikidata-p2600	Q102107	6000000016304127645;6000000109154324849
1x2	one item, several Geni profiles	wikidata only	Q102107	6000000109154324849	wikidata-p2600	Q102107	6000000016304127645;6000000109154324849
1x2	one item, several Geni profiles	wikidata only	Q102117549	6000000000516920202	wikidata-p2600	Q102117549	6000000000516920202;6000000070486270180
1x2	one item, several Geni profiles	wikidata only	Q102117549	6000000070486270180	wikidata-p2600	Q102117549	6000000000516920202;6000000070486270180
1x2	one item, several Geni profiles	wikidata only	Q102157397	6000000034909757077	wikidata-p2600	Q102157397	6000000034909757077;6000000052322757845
1x2	one item, several Geni profiles	wikidata only	Q102157397	6000000052322757845	wikidata-p2600	Q102157397	6000000034909757077;6000000052322757845
1x2	one item, several Geni profiles	wikidata only	Q102157541	6000000034998266603	wikidata-p2600	Q102157541	6000000034998266603;6000000052322512972
1x2	one item, several Geni profiles	wikidata only	Q102157541	6000000052322512972	wikidata-p2600	Q102157541	6000000034998266603;6000000052322512972
1x2	one item, several Geni profiles	wikidata only	Q102158711	6000000017767584877	wikidata-p2600	Q102158711	6000000017767584877;6000000055340096950
1x2	one item, several Geni profiles	wikidata only	Q102158711	6000000055340096950	wikidata-p2600	Q102158711	6000000017767584877;6000000055340096950
1x2	one item, several Geni profiles	wikidata only	Q102163860	6000000021829012200	wikidata-p2600	Q102163860	6000000021829012200;6000000033304877460
1x2	one item, several Geni profiles	wikidata only	Q102163860	6000000033304877460	wikidata-p2600	Q102163860	6000000021829012200;6000000033304877460
1x2	one item, several Geni profiles	wikidata only	Q102228062	6000000001915109394	wikidata-p2600	Q102228062	6000000001915109394;6000000077367935005
1x2	one item, several Geni profiles	wikidata only	Q102228062	6000000077367935005	wikidata-p2600	Q102228062	6000000001915109394;6000000077367935005
1x2	one item, several Geni profiles	wikidata only	Q102252824	6000000003634754431	wikidata-p2600	Q102252824	6000000003634754431;6000000006733558941
1x2	one item, several Geni profiles	wikidata only	Q102252824	6000000006733558941	wikidata-p2600	Q102252824	6000000003634754431;6000000006733558941
1x2	one item, several Geni profiles	wikidata only	Q102358659	6000000002176543248	wikidata-p2600	Q102358659	6000000002176543248;6000000163800303893
1x2	one item, several Geni profiles	wikidata only	Q102358659	6000000163800303893	wikidata-p2600	Q102358659	6000000002176543248;6000000163800303893
1x2	one item, several Geni profiles	wikidata only	Q102358664	350059774460001969	wikidata-p2600	Q102358664	350059774460001969;6000000163800303908
1x2	one item, several Geni profiles	wikidata only	Q102358664	6000000163800303908	wikidata-p2600	Q102358664	350059774460001969;6000000163800303908
1x2	one item, several Geni profiles	wikidata only	Q102389354	6000000050706637157	wikidata-p2600	Q102389354	6000000050706637157;6000000076697533706
1x2	one item, several Geni profiles	wikidata only	Q102389354	6000000076697533706	wikidata-p2600	Q102389354	6000000050706637157;6000000076697533706
1x2	one item, several Geni profiles	wikidata only	Q102392633	6000000083070121013	wikidata-p2600	Q102392633	6000000083070121013;6000000177210640867
1x2	one item, several Geni profiles	wikidata only	Q102392633	6000000177210640867	wikidata-p2600	Q102392633	6000000083070121013;6000000177210640867
1x2	one item, several Geni profiles	wikidata only	Q102398405	6000000051921039217	wikidata-p2600	Q102398405	6000000051921039217;6000000150678389837
1x2	one item, several Geni profiles	wikidata only	Q102398405	6000000150678389837	wikidata-p2600	Q102398405	6000000051921039217;6000000150678389837
1x2	one item, several Geni profiles	wikidata only	Q102400723	6000000000452693639	wikidata-p2600	Q102400723	6000000000452693639;6000000006969743922
1x2	one item, several Geni profiles	wikidata only	Q102400723	6000000006969743922	wikidata-p2600	Q102400723	6000000000452693639;6000000006969743922
1x2	one item, several Geni profiles	wikidata only	Q102400726	6000000000452806237	wikidata-p2600	Q102400726	6000000000452806237;6000000004548397739
1x2	one item, several Geni profiles	wikidata only	Q102400726	6000000004548397739	wikidata-p2600	Q102400726	6000000000452806237;6000000004548397739
1x2	one item, several Geni profiles	wikidata only	Q102402448	6000000014069067503	wikidata-p2600	Q102402448	6000000014069067503;6000000081277796957
1x2	one item, several Geni profiles	wikidata only	Q102402448	6000000081277796957	wikidata-p2600	Q102402448	6000000014069067503;6000000081277796957
1x2	one item, several Geni profiles	wikidata only	Q102417262	6000000022877198431	wikidata-p2600	Q102417262	6000000022877198431;6000000032053972914
1x2	one item, several Geni profiles	wikidata only	Q102417262	6000000032053972914	wikidata-p2600	Q102417262	6000000022877198431;6000000032053972914
1x2	one item, several Geni profiles	wikidata only	Q102417560	6000000009403304982	wikidata-p2600	Q102417560	6000000009403304982;6000000038134418659
1x2	one item, several Geni profiles	wikidata only	Q102417560	6000000038134418659	wikidata-p2600	Q102417560	6000000009403304982;6000000038134418659
1x2	one item, several Geni profiles	wikidata only	Q102536628	6000000024782378925	wikidata-p2600	Q102536628	6000000024782378925;6000000036997569010
1x2	one item, several Geni profiles	wikidata only	Q102536628	6000000036997569010	wikidata-p2600	Q102536628	6000000024782378925;6000000036997569010
1x2	one item, several Geni profiles	mixed	Q102822365	6000000003827138392	zipper	Q102822365	6000000003827138392;6000000003828248079
1x2	one item, several Geni profiles	mixed	Q102822365	6000000003828248079	wikidata-p2600	Q102822365	6000000003827138392;6000000003828248079
2x2	TANGLE - needs both merges	ours only	Q102825194	6000000003493396031	structural;zipper	Q102825194;Q136550477	6000000003493396031;6000000003493396117
2x2	TANGLE - needs both merges	ours only	Q102825194	6000000003493396117	structural	Q102825194;Q136550477	6000000003493396031;6000000003493396117
2x2	TANGLE - needs both merges	ours only	Q136550477	6000000003493396117	zipper	Q102825194;Q136550477	6000000003493396031;6000000003493396117
2x1	several items, one Geni profile	ours only	Q102834783	6000000009304961964	zipper	Q102834783;Q110536863	6000000009304961964
2x1	several items, one Geni profile	ours only	Q110536863	6000000009304961964	structural	Q102834783;Q110536863	6000000009304961964
2x2	TANGLE - needs both merges	mixed	Q102856512	6000000011242532340	wikidata-p2600;zipper	Q102856512;Q113411923	6000000010942236885;6000000011242532340
2x2	TANGLE - needs both merges	mixed	Q113411923	6000000010942236885	zipper	Q102856512;Q113411923	6000000010942236885;6000000011242532340
2x2	TANGLE - needs both merges	mixed	Q113411923	6000000011242532340	wikidata-p2600	Q102856512;Q113411923	6000000010942236885;6000000011242532340
1x2	one item, several Geni profiles	mixed	Q10289110	6000000013781603349	structural;zipper	Q10289110	6000000013781603349;6000000046377549853
1x2	one item, several Geni profiles	mixed	Q10289110	6000000046377549853	wikidata-p2600	Q10289110	6000000013781603349;6000000046377549853
1x2	one item, several Geni profiles	wikidata only	Q102942382	6000000009189346638	wikidata-p2600	Q102942382	6000000009189346638;6000000157681677948
1x2	one item, several Geni profiles	wikidata only	Q102942382	6000000157681677948	wikidata-p2600	Q102942382	6000000009189346638;6000000157681677948
1x2	one item, several Geni profiles	mixed	Q10294699	6000000034998709491	zipper	Q10294699	6000000034998709491;6000000074733399028
1x2	one item, several Geni profiles	mixed	Q10294699	6000000074733399028	wikidata-p2600	Q10294699	6000000034998709491;6000000074733399028
1x2	one item, several Geni profiles	mixed	Q10299237	6000000004533625152	structural;zipper	Q10299237	6000000004533625152;6000000015071283526
1x2	one item, several Geni profiles	mixed	Q10299237	6000000015071283526	wikidata-p2600	Q10299237	6000000004533625152;6000000015071283526
1x2	one item, several Geni profiles	wikidata only	Q103056725	6000000024948366049	wikidata-p2600	Q103056725	6000000024948366049;6000000192281757854
1x2	one item, several Geni profiles	wikidata only	Q103056725	6000000192281757854	wikidata-p2600	Q103056725	6000000024948366049;6000000192281757854
1x2	one item, several Geni profiles	mixed	Q10313892	6000000015771977743	wikidata-p2600	Q10313892	6000000015771977743;6000000056028236795
1x2	one item, several Geni profiles	mixed	Q10313892	6000000056028236795	zipper	Q10313892	6000000015771977743;6000000056028236795
1x2	one item, several Geni profiles	wikidata only	Q1031989	6000000007324593339	wikidata-p2600	Q1031989	6000000007324593339;6000000088532016868
1x2	one item, several Geni profiles	wikidata only	Q1031989	6000000088532016868	wikidata-p2600	Q1031989	6000000007324593339;6000000088532016868
1x2	one item, several Geni profiles	mixed	Q10332262	6000000021289863161	structural;zipper	Q10332262	6000000021289863161;6000000075399132050
1x2	one item, several Geni profiles	mixed	Q10332262	6000000075399132050	wikidata-p2600	Q10332262	6000000021289863161;6000000075399132050
1x2	one item, several Geni profiles	mixed	Q10332683	6000000021240804155	structural;zipper	Q10332683	6000000021240804155;6000000075060910838
1x2	one item, several Geni profiles	mixed	Q10332683	6000000075060910838	wikidata-p2600	Q10332683	6000000021240804155;6000000075060910838
2x3	TANGLE - needs both merges	mixed	Q10338446	6000000052003785920	zipper	Q10338446;Q11096026	6000000052003785920;6000000052004029904;6000000074735059932
2x3	TANGLE - needs both merges	mixed	Q11096026	6000000052003785920	structural	Q10338446;Q11096026	6000000052003785920;6000000052004029904;6000000074735059932
2x3	TANGLE - needs both merges	mixed	Q11096026	6000000052004029904	structural;zipper	Q10338446;Q11096026	6000000052003785920;6000000052004029904;6000000074735059932
2x3	TANGLE - needs both merges	mixed	Q11096026	6000000074735059932	wikidata-p2600	Q10338446;Q11096026	6000000052003785920;6000000052004029904;6000000074735059932
1x2	one item, several Geni profiles	mixed	Q10338468	6000000021163973241	structural;zipper	Q10338468	6000000021163973241;6000000075061063879
1x2	one item, several Geni profiles	mixed	Q10338468	6000000075061063879	wikidata-p2600	Q10338468	6000000021163973241;6000000075061063879
1x2	one item, several Geni profiles	wikidata only	Q10347425	6000000017378299777	wikidata-p2600	Q10347425	6000000017378299777;6000000149401900880
1x2	one item, several Geni profiles	wikidata only	Q10347425	6000000149401900880	wikidata-p2600	Q10347425	6000000017378299777;6000000149401900880
1x2	one item, several Geni profiles	wikidata only	Q103554590	6000000022712632137	wikidata-p2600	Q103554590	6000000022712632137;6000000048721957857
1x2	one item, several Geni profiles	wikidata only	Q103554590	6000000048721957857	wikidata-p2600	Q103554590	6000000022712632137;6000000048721957857
2x1	several items, one Geni profile	ours only	Q103566144	6000000002041979346	structural	Q103566144;Q75765336	6000000002041979346
2x1	several items, one Geni profile	ours only	Q75765336	6000000002041979346	zipper	Q103566144;Q75765336	6000000002041979346
2x2	TANGLE - needs both merges	mixed	Q103568200	6000000003051107082	wikidata-p2600	Q103568200;Q20875133	6000000003051107082;6000000005229750431
