page,path_steps,path_in_paths_dir,family_text_view,family_cards,family_cards_only,family_union,page_count
paths_for_wikidata_isolates/Geni - Ernest Ezra Mandel (1923-1995).html,62,identical,4,4,0,4,4
paths_for_wikidata_isolates/Geni - Ernst Albin Kock (1864-1943).html,21,identical,5,7,2,7,7
paths_for_wikidata_isolates/Geni - Ernst Alexander Homén (1851-1926)- Helsingfors.html,63,identical,15,12,0,15,15
paths_for_wikidata_isolates/Geni - Ernst Ensio Kivikoski (Stenfors) (1891-1973)- Helsinki.html,62,identical,7,7,0,7,7
paths_for_wikidata_isolates/Geni - Ernst Heinrich Graser (1860-1929)- Munich.html,33,identical,9,9,0,9,9
paths_for_wikidata_isolates/Geni - Ernst Jakob Lennart von Post (1884-1951).html,46,identical,7,7,0,7,7
paths_for_wikidata_isolates/Geni - Eudes (Odo) de Châtillon (c.1035-1099)- Rome.html,78,identical,5,5,0,5,5
paths_for_wikidata_isolates/Geni - Eugène Napoleon Theodor Fredrik Gustaf Tigerstedt (1907-1979).html,50,identical,3,4,1,4,4
paths_for_wikidata_isolates/Geni - Ewald Benedictus Ziervogel (1728-1765)- Uppsala.html,64,identical,11,11,0,11,11
paths_for_wikidata_isolates/Geni - Fabio Chigi (1599-1667).html,47,identical,7,8,1,8,8
paths_for_wikidata_isolates/Geni - Feliks Szlachtowski (1820-1896).html,27,identical,3,3,0,3,3
paths_for_wikidata_isolates/Geni - Fernando Luis Cardoso de Meneses de Tavares e Tavora (1923-2005)- Porto.html,74,identical,11,11,0,11,11
paths_for_wikidata_isolates/Geni - Finn Prosper Nørbech Berner (1891-1947)- Trondheim.html,43,identical,6,6,0,6,6
paths_for_wikidata_isolates/Geni - Francis Barton Gummere (1855-1919)- Haverford.html,55,identical,5,6,1,6,6
