qid	geni_id
Q934645	6000000013335455188
Q942585	6000000014632150324
Q974912	6000000000690137100
Q974959	6000000022913060905
Q976127	6000000071852724279
Q1036660	6000000006713140702
Q1045160	6000000003474166572
Q1054435	6000000185876121856
Q1056804	6000000073161737843
Q1082333	6000000089888958927
Q1097304	6000000032576107821
Q1111208	4171476789890072533
Q1121941	6000000006727876751
Q1147250	6000000002481254239
Q1152745	6000000013331626975
Q1174096	6000000000701068622
Q1199978	6000000025607750228
Q1219183	6000000041258658600
Q1223243	6000000002188563314
Q1241802	6000000012774244431
Q1284091	6000000091251586571
Q1310565	6000000003645908697
Q1324672	6000000003827467201
Q1330110	6000000006727770608
Q1332128	6000000002187888435
Q1335682	6000000016812705533
Q1366001	6000000007317618427
Q1369897	6000000027847542821
Q1405924	6000000079864806834
Q1413806	6000000006727840983
Q1427539	6000000006101300493
Q1441379	6000000002048439278
Q1446693	6000000030662437081
Q1468374	6000000009579909195
Q1521994	6000000081200314021
Q1527396	6000000003649761996
Q1531283	6000000013580345354
Q1542013	6000000014849033732
Q1550949	6000000018255092385
Q1551162	6000000015388767493
Q1553793	6000000009494103078
Q1561487	6000000015833597124
Q1581954	6000000002188091715
Q1597828	6000000002188578185
Q1601917	6000000006366351816
Q1611583	6000000004548968436
Q1616020	6000000003827737009
Q1633831	6000000018209672395
Q1649531	6000000054411398049
Q1650217	6000000000390270298
Q1653445	6000000002738865504
Q1658721	6000000022706277131
Q1660290	6000000006335707335
Q1680654	6000000140060798830
Q1692102	6000000098335839868
Q1694739	6000000002188166425
Q1710507	6000000037476626969
Q1711992	6000000003827650911
Q1761066	6000000003063208081
Q1772194	6000000003122483016
Q1874025	6000000033144406783
Q1899350	6000000002187857379
Q1902258	6000000003827606089
Q1906363	6000000008499809288
Q1914050	6000000003827520768
Q1934051	6000000031940461725
Q1941773	6000000000709168438
Q1959091	6000000008099473423
Q1974868	6000000003937199019
Q2007274	6000000021967409410
Q2010109	6000000004289050249
Q2014842	6000000002187651950
Q2016254	6000000013573368496
Q2032868	6000000040542017885
Q2066214	5223433605990032951
Q2066886	6000000001515228463
Q2069863	6000000002187700979
Q2071583	6000000006100839430
Q2088136	6000000013783325868
Q2109627	6000000020652422377
Q2110595	6000000078723255967
Q2161741	6000000011106061276
Q2173021	6000000003827521405
Q2176714	6000000006727845862
Q2183430	4947248545210089938
Q2252942	6000000001354491073
Q2253920	6000000003827438391
Q2313994	6000000006727957385
Q2322001	6000000000905010305
Q2418892	6000000003086745903
Q2424918	6000000011115929762
Q2426674	6000000002187742462
Q2461780	6000000008345922587
Q2477025	6000000002187826453
Q2478961	6000000002152931717
Q2512654	6000000015117353789
Q2527353	6000000008971264091
Q2569084	6000000017783819009
Q2587965	6000000008630657256
Q2591886	364522820420013688
Q2593820	6000000006727838731
Q2596292	6000000003827429561
Q2622061	6000000006101234473
Q2679174	6000000002188118590
Q2697631	6000000007749519563
Q2705969	6000000003828110354
Q2720038	6000000005018061457
Q2742379	6000000188815373822
Q2746812	5152366561060066977
Q2778853	6000000003177905081
Q2832063	6000000003122422610
Q2832071	6000000003273404873
Q2891442	6000000013060789938
Q2929504	6000000004085125581
Q2960629	6000000014906785989
Q3024596	6000000072076390977
Q3027416	6000000013762562544
Q3038291	6000000042728516756
Q3054681	6000000006126968257
Q3071926	6000000003828256969
Q3099363	6000000000474104128
Q3101164	6000000002187798351
Q3107795	6000000000424640138
Q3122357	6000000011149517053
Q3142578	6000000008053617504
Q3145021	6000000002890000547
Q3160326	6000000003493392105
Q3172643	6000000004269718450
Q3174389	6000000003122483100
Q3175596	6000000005016652319
Q3180990	6000000060822328991
Q3186792	6000000014271776367
Q3239153	6000000003513236861
Q3263567	6000000006444493739
Q3286784	6000000002187823198
Q3290242	6000000003645870167
Q3290761	6000000001500893373
Q3290809	6000000081277538152
Q3292894	6000000002188376100
Q3298994	6000000004533250087
Q3337817	6000000197295129841
Q3359192	6000000138755587213
Q3365684	6000000009305427222
Q3471698	6000000003887962291
Q3492100	6000000182232565850
Q3502241	6000000008049080226
Q3577177	6000000000632011834
Q3592414	6000000224444483854
Q3611830	6000000002188458679
Q3623119	371370707100003086
Q3656094	6000000005957471033
Q3656094	6000000032575352811
Q3694258	6000000082940316199
Q3717838	6000000017469723032
Q3721758	6000000041107288016
Q3738508	6000000014618734837
Q3741743	6000000083422536152
Q3742711	6000000037513643768
Q3744974	6000000007841176184
Q3762132	6000000021441530737
Q3768239	6000000015878660718
Q3768495	6000000011565342833
Q3769073	6000000008592343633
Q3769176	6000000031948963016
Q3805768	6000000030108974663
Q3879462	6000000000868541973
Q3880823	6000000005598872395
Q4020195	6000000000437633835
Q4065823	6000000016936888263
Q4104407	6000000013766100730
Q4113051	6000000037838725857
Q4127288	6000000009098863644
Q4130535	6000000016948836802
Q4165342	6000000008681870697
Q4243879	6000000008004518685
Q4250171	6000000015299843001
Q4268330	6000000020107122663
Q4302144	6000000026522778851
Q4368928	6000000003232558406
Q4387970	6000000007215677278
Q4449521	6000000086017388413
Q4495341	6000000006906884725
Q4499078	6000000001272854603
Q4666520	6000000000725364270
Q4681828	6000000015068452009
Q4730963	6000000006337740804
Q4819209	6000000002188014820
Q4832332	6000000012419491711
Q4893846	6000000003572841726
Q4894932	6000000003827957293
