token,ancestors,descendants,ancestor_ids,example_descendant_ids
gunhilde,2,1,6000000005609384911 6000000196707171833,6000000015241910725
guta,1,2,6000000179665039878,6000000003827484382 6000000003827527249
hagman,1,2,6000000011078726908,311232453450007080 6000000188596178838
haldorson,1,2,6000000007160330450,6000000002930490680 6000000002930666303
haraldson,1,2,6000000004533762626,6000000001994850664 6000000006242986092
haye,1,2,6000000000014435458,6000000002764690963 6000000002764690978
hazi,2,1,6000000002187656492 6000000002667382661,6000000010245842207
hedin,2,1,6000000077491051111 6000000077491362242,6000000010598780569
hemma,1,2,6000000003495348827,6000000057087239823 6000000077607681934
herbrand,1,2,6000000045171401876,6000000002188461222 6000000014897646841
heritiere,1,2,6000000001744877320,6000000194202747850 6000000213432545826
hild,2,1,6000000008177457294 6000000009437417980,6000000015251075661
hildegardis,2,1,6000000029011180210 6000000117715484864,6000000204993406840
hirschberg,1,2,6000000004533709443,6000000004097564358 6000000011716561519
hordaland,2,1,6000000002187982545 6000000009721029827,6000000014043839032
husband,1,2,6000000189299194833,6000000035981112027 6000000042334963898
isles,1,2,6000000181844310866,6000000015698051143 6000000015698111136
israelsson,1,2,6000000191728221856,6000000049894669829 6000000092646291012
iversdatter,2,1,6000000003645811056 6000000006338979184,6000000016748153184
iziaslav,2,1,6000000001745033558 6000000033244662476,6000000037169177956
johanson,1,2,6000000003376453205,6000000127708453525 6000000186077249824
jorun,1,2,6000000005606855208,6000000007575290268 6000000139691773907
josselin,1,2,6000000003827799382,6000000026430670168 6000000056595755900
kali,1,2,6000000003820968938,6000000221032574852 6000000221032649866
laon,2,1,6000000002187903890 6000000035006785198,6000000003481828921
leger,1,2,6000000009305091117,6000000017050360273 6000000077111540927
lerma,1,2,6000000177921459129,6000000004189461087 6000000016626589043
lisbet,2,1,6000000003253460860 6000000204646449823,6000000013996303378
louvain,2,1,6000000000112134992 6000000002447185585,6000000006095055299
luchow,2,1,6000000003828083892 6000000003828083950,6000000092668383162
maere,1,2,6000000007420343457,6000000010937212191 6000000037588276238
mansson,1,2,6000000007140207274,6000000010362708576 6000000039783437110
maret,2,1,6000000005948039197 6000000024530921386,6000000016322253292
marne,1,2,6000000192356691833,6000000007836998334 6000000014887395410
melun,1,2,6000000002447201187,6000000001924905698 6000000011623573960
mendo,2,1,6000000001734411153 6000000008615639004,6000000090925936858
milano,1,2,6000000021135703509,6000000002180978779 6000000095729392017
mosesson,1,2,6000000001144926106,330799974800006126 6000000053081616208
niece,2,1,6000000010463343582 6000000181923248832,6000000193051393853
oddny,1,2,6000000091974921126,6000000009412551818 6000000017435439649
pando,1,2,6000000091350636959,340305264040013970 6000000001514993852
pehrsdotter,2,1,6000000177921458999 6000000178280536829,6000000025083485549
radomir,1,2,6000000002188304178,6000000032347620453 6000000040262464005
radoslav,2,1,6000000013142927085 6000000046680352298,6000000017792576738
rakel,2,1,6000000002078145156 6000000020344732085,6000000220873978821
reidar,2,1,6000000007329382543 6000000008248183613,6000000039171094446
renauld,1,2,6000000002187857591,6000000011801995806 6000000019618218864
rheinfelden,2,1,6000000000945071204 6000000003827467045,6000000074180202047
richeza,2,1,6000000000768942057 6000000007353584504,6000000003937213866
rolfson,2,1,6000000007583144253 6000000023513154966,6000000177117800839
rome,1,2,6000000007764501260,6000000002388572350 6000000012827216524
ruler,1,2,6000000002187951284,6000000042346135953 6000000100808341873
samuelson,1,2,6000000002748554800,6000000070562082920 6000000197348624843
schrapelau,2,1,6000000004533765549 6000000004533765556,6000000002188648449
serbia,1,2,6000000013145275994,6000000001366307400 6000000003214946523
siemomysł,2,1,347657700690011265 6000000032772500064,6000000007762210393
sieur,1,2,6000000008630655188,6000000003419212441 6000000036944027950
sikveland,2,1,6000000003025246946 6000000008708647525,6000000029543221217
simonson,1,2,6000000003645672596,6000000032730991665 6000000032731612036
sivert,1,2,6000000002801159496,6000000029543838311 6000000214658830835
soma,1,2,6000000177943328879,6000000028279028335 6000000028279135290
spoleto,2,1,6000000005936841091 6000000091253377861,6000000012920888706
staufen,1,2,6000000006727873141,6000000016901348810 6000000025208307933
stefansson,1,2,6000000013430852243,6000000009329462714 6000000186245752588
stensrud,1,2,6000000103633571840,372516517480012507 372523104920012513
sulzburg,1,2,6000000002188290079,6000000010724630846 6000000054956288076
swietosława,1,2,4645001,6000000040356628979 6000000083815716913
synneva,1,2,6000000100733843835,6000000026816101936 6000000029470309165
szamotuł,2,1,6000000013621318840 6000000017633805200,6000000002100490043
theoderich,1,2,6000000003827435846,6000000017076722763 6000000068486222329
thimo,1,2,6000000004533699347,6000000025158855039 6000000051019490821
torbjorn,1,2,6000000004880524817,6000000035204711508 6000000154900924860
tordis,1,2,6000000002043186380,6000000012736578754 6000000195892036832
torgard,1,2,6000000181845828858,6000000009199300413 6000000009470801658
torild,1,2,6000000003858604945,5696077156070062127 6000000014290524186
torstensen,2,1,6000000009687488116 6000000011768513997,6000000003952446069
trondur,1,2,6000000007525755205,4631482736280039817 5006780403140047954
ursinus,2,1,6000000003827435846 6000000221923099843,6000000011006185139
vicount,1,2,6000000007057735234,6000000006444321337 6000000013199219709
vikar,2,1,6000000000436442811 6000000002553705439,6000000227485851840
wiltrud,1,2,6000000029577911261,6000000002188374204 6000000022217006437
yngvar,1,2,6000000001634975055,6000000015585632784 6000000016393079824
yrsa,1,2,5620645112580020100,6000000001936666790 6000000014073266614
yvette,1,2,6000000009304954294,6000000003273313051 6000000006199481315
aasland,3,1,6000000003492074828 6000000006776187218 6000000008500434010,6000000019506375312
agnar,1,3,6000000069147502949,5673910983910076279 6000000005390953382 6000000029364534906
alava,3,1,6000000012463496251 6000000016171010706 6000000078363074783,6000000020957601378
alfrede,1,3,6000000103852348144,6000000006127417103 6000000021725656667 6000000037403038294
altere,1,3,6000000221507008849,6000000003827400063 6000000007527211207 6000000016368339511
aragao,1,3,6000000014933668307,6000000000830244922 6000000000835080188 6000000001500828400
atha,1,3,6000000003827270984,6000000002287197384 6000000065251146895 6000000177340024082
aude,1,3,6000000009305189869,6000000031247004104 6000000033796179406 6000000084573851884
aurelio,1,3,6000000039571652520,6000000034280024758 6000000152570550821 6000000203238483867
baltzer,1,3,6000000003733576547,6000000000325881047 6000000098182134874 6000000223518866078
barbra,1,3,6000000007636498112,6000000001147385538 6000000003853159435 6000000025004804298
barthelemy,1,3,5364836886260113340,6000000017225255539 6000000166197652199 6000000208261464821
bartholomeus,1,3,6000000007225974316,6000000014013103492 6000000015260635878 6000000021493474449
bergitte,3,1,6000000002481819312 6000000003491954788 6000000037602562821,6000000019083261126
borghild,1,3,6000000012142337666,6000000000867904599 6000000010135853118 6000000224028271003
broman,3,1,6000000177921561828 6000000177941435877 6000000178279335862,6000000016514406529
cunegonde,1,3,6000000001992125969,6000000015824423443 6000000015909340149 6000000067938665986
d'evreux,3,1,6000000000424634530 6000000002665426645 6000000003827587039,6000000001861724291
d'issoudun,3,1,6000000009304907774 6000000009304907780 6000000009305091117,6000000002188440291
datter,1,3,6000000005609508929,6000000014417263982 6000000018219652531 6000000019555548087
deodatus,1,3,6000000010754120212,6000000015550484909 6000000023773767623 6000000073805867111
dotter,1,3,6000000205721660802,6000000053088299044 6000000213414169833 6000000213414264823
ebbesen,1,3,6000000007086528162,6000000010953270801 6000000011744145362 6000000012746628329
egeland,3,1,4427946783920127689 6000000007255394379 6000000011631989803,6000000000672383235
einarsen,3,1,6000000003492049172 6000000005606886450 6000000005607527499,6000000047326089934
emmo,1,3,6000000012397140348,6000000015150695206 6000000018712193872 6000000029062830950
eyvind,1,3,6000000002512264965,6000000000206491138 6000000000229065350 6000000022305966244
ferrara,1,3,6000000173611846238,6000000007734104563 6000000009133154377 6000000009133240304
forrester,1,3,6000000003098256598,4947059857120077596 6000000069662728821 6000000127767199889
gambara,1,3,5129562407040072358,6000000203100114842 6000000203100132833 6000000203100192822
gilberte,1,3,6000000000437081116,6000000001504950759 6000000003122303401 6000000019910444056
gros,1,3,6000000000013313680,6000000001469769104 6000000079361217577 6000000115429894841
guilhem,3,1,6000000000728482972 6000000002459923049 6000000003494734403,6000000187417486822
gustavsdotter,1,3,6000000191728221869,6000000186889995822 6000000186890024821 6000000186891358853
gyrithe,1,3,6000000001588372513,6000000026123748153 6000000079404843199 6000000089857565829
gytha,1,3,6000000001156548028,6000000013299171249 6000000016068307942 6000000029392433950
henriksen,3,1,6000000003331926627 6000000007773511491 6000000008115020929,6000000047325572837
ingibjorg,3,1,6000000001052011900 6000000001669654419 6000000012145889690,6000000002503272111
ingjerd,1,3,6000000000694158525,6000000006128279207 6000000175826500821 6000000205105473832
iversen,1,3,6000000019312592888,6000000033441630314 6000000075652553061 6000000080332112977
jans,1,3,6000000177941260903,6000000003530743343 6000000009434845610 6000000021146695894
jensson,3,1,5638069793880054627 6000000002379328497 6000000014511177484,6000000000245426627
jesper,1,3,6000000003025246946,6000000011704917933 6000000100587016831 6000000191806960002
jeune,1,3,6000000003828239894,6000000022644140364 6000000027426603977 6000000096688823881
kantakouzene,1,3,6000000076545243977,6000000081529498221 6000000081529861057 6000000081529918022
kaszuba,1,3,6000000171798044111,6000000069307824851 6000000069313193157 6000000069321951936
kluge,3,1,3960876 6000000003162666571 6000000006776171697,6000000016351559428
kommedal,3,1,340324056590012630 340326405210012886 6000000008686159495,6000000226517642905
kristoffersen,3,1,6000000003492072171 6000000005382096874 6000000007895860271,6000000011047659680
lauritzen,1,3,6000000000756952602,6000000011906129812 6000000051800667033 6000000095390495821
lindorm,1,3,6000000007090191234,6000000006127423997 6000000006127631725 6000000006127907274
lombardo,1,3,6000000006694918162,376460534500005789 376461877660013431 6000000006540153005
malene,1,3,6000000012668590557,6000000011662911865 6000000015505651554 6000000026812800469
manasses,3,1,6000000002134737791 6000000002197609159 6000000013020632588,6000000169311698857
mercia,3,1,6000000002275122205 6000000002275525871 6000000006103971265,6000000002176678151
middle,3,1,6000000002187951284 6000000002187951309 6000000002187951332,6000000033352349523
navn,3,1,6000000005609239104 6000000019570191515 6000000042871380830,6000000009928666211
nyek,1,3,6000000010522780510,6000000015128194930 6000000040427227367 6000000040428228564
olov,1,3,6000000004211630381,330823977730007753 6000000036703822324 6000000043215667074
olsd,1,3,6000000003492072263,6000000012772087510 6000000012886502972 6000000012887338222
panna,1,3,6000000011079026264,6000000184171063842 6000000184639943071 6000000203925662858
petro,1,3,6000000026123038121,6000000016148834489 6000000058220062983 6000000178379388822
petronille,1,3,6000000011260574714,5577306561610056715 6000000018857966186 6000000088376060877
ragnfrid,1,3,6000000001827585415,6000000024557006356 6000000027212712407 6000000047324894214
remi,1,3,6000000016465621240,6000000000281260081 6000000005394474655 6000000081523353853
ruthard,1,3,6000000002187988237,6000000022203042747 6000000083502651825 6000000083639018313
scania,3,1,6000000011601467545 6000000022851598987 6000000222447517823,6000000048480350514
steinar,3,1,6000000014253349101 6000000033225808127 6000000034715641211,6000000019827084778
tancred,1,3,6000000000424683032,6000000002283396593 6000000014741249957 6000000017081142613
teano,1,3,6000000015426264032,6000000018452909351 6000000056534013951 6000000073199903855
theodoric,3,1,6000000002141526577 6000000002197369635 6000000009304945811,6000000021080233049
theodoros,1,3,6000000002187823050,6000000003827384234 6000000009243805626 6000000066284912825
thuringen,3,1,6000000002187651984 6000000002188289492 6000000002837461009,6000000006727839166
thuringia,3,1,6000000001156994355 6000000002188289492 6000000079932445829,6000000003858708077
tomisław,1,3,6000000013630983026,6000000050605737070 6000000050605824866 6000000179035721821
torkild,1,3,6000000014417417999,6000000011689486951 6000000018850908939 6000000018920896145
truls,1,3,6000000003492045969,6000000000206186965 6000000048843574940 6000000192303406823
tryggve,1,3,6000000003645683278,6000000019143926375 6000000024489120821 6000000036997448146
turin,3,1,6000000000945074775 6000000002976460830 6000000006131047120,6000000002188434148
vagn,1,3,6000000040089350482,6000000011590910291 6000000045657178823 6000000180732293853
villum,3,1,6000000003315775479 6000000005794732228 6000000008851405185,6000000007337807762
viviane,1,3,6000000003828335825,383177611570006589 6000000205720830821 6000000219326427835
øyvind,1,3,6000000007239915124,6000000002228579563 6000000003822592161 6000000007443479622
þorunn,1,3,6000000006906066396,6000000002593392007 6000000003975036178 6000000012706796268
рюрикович,1,3,4573114,6000000009130951795 6000000010503212851 6000000084146653404
adelhard,2,2,6000000009308833987 6000000015424146991,6000000022667201093 6000000026238977959
aenor,4,1,5364727704040113461 6000000000701127473 6000000001690758707 6000000002576598419,6000000107128343896
annika,1,4,6000000177921535855,6000000002244724798 6000000006935922548 6000000034028691484 6000000092478158821
archambaud,4,1,6000000002459898566 6000000003827455437 6000000005791930741 6000000008505396227,6000000058533106881
ashild,2,2,6000000001209626897 6000000007329368699,6000000001897239199 6000000019430362600
aslaug,1,4,3970714729430045179,6000000004005391861 6000000011906129812 6000000019255522698 6000000024182681986
asmund,1,4,6000000009589758324,6000000019367337389 6000000047324994018 6000000112347085158 6000000154708089930
azzo,2,2,6000000000437115455 6000000003828361520,6000000205692763853 6000000205692906869
baux,2,2,6000000002188305555 6000000204872496854,5294781477310117337 6000000013083361629
bergliot,1,4,6000000002893316583,6000000006101123280 6000000020237547903 6000000025357618362 6000000047324981960
besse,2,2,6000000007481606574 6000000094893855852,4239104694770124533 6000000048132686869
bjornson,2,2,6000000002956105262 6000000022988483152,6000000001581474076 6000000057099134862
bock,1,4,6000000015841631236,6000000015870109467 6000000028089573230 6000000039535613532 6000000178334705823
bolette,1,4,6000000066162188012,6000000001009193022 6000000001504552316 6000000004149444611 6000000176065676870
botaneiates,2,2,6000000000768261793 6000000000768711368,6000000014926004277 6000000014926019174
bouchet,1,4,6000000009304958406,6000000001147728259 6000000001199723268 6000000044064469880 6000000152824858821
braga,1,4,6000000001699447820,4086894471640072867 6000000016374064907 6000000016374510051 6000000125840174009
brussels,1,4,6000000000112134992,6000000002951468997 6000000002951572314 6000000002963231511 6000000002998053406
bryne,1,4,6000000002801153737,6000000002360666237 6000000011082814908 6000000076980745119 6000000078101528977
chana,1,4,6000000008444756418,6000000054030497909 6000000054062886298 6000000054063409854 6000000185072233836
chatarina,1,4,6000000177921535860,6000000001501742118 6000000011424224561 6000000024902856758 6000000075866739576
comminges,2,2,4639011550990020947 6000000001992130724,6000000075433804879 6000000177987072884
crequy,2,2,6000000006120872045 6000000010467110856,6000000017547839147 6000000017549375578
d'artois,1,4,6000000002441720163,299610272320008022 6000000003478302016 6000000008482070456 6000000091155855869
dalene,4,1,6000000008177323130 6000000008177323133 6000000008248206507 6000000008248206524,6000000219959862863
diepold,2,2,6000000002187828634 6000000225563898922,6000000013670577009 6000000017428076138
doda,2,2,6000000002061639741 6000000002690518458,6000000002904637132 6000000009718330044
dorte,1,4,6000000177969427823,297805438990003654 6000000014321043351 6000000017122622075 6000000214339767822
dynasty,4,1,6000000000768236392 6000000000768857361 6000000001593972605 6000000004555549095,6000000043307086185
eckhard,1,4,6000000001354491504,6000000033098381577 6000000038391586870 6000000050302873830 6000000206624149858
eirene,4,1,6000000003601184398 6000000007243988219 6000000013020632588 6000000034543434809,6000000009965113296
etiennette,1,4,6000000002188305555,6000000004856979234 6000000025872953892 6000000047232801976 6000000177913775839
flanders,1,4,6000000004903076002,6000000008300961627 6000000157072690821 6000000193597557837 6000000217830139885
fran,1,4,6000000003243483210,6000000013206901772 6000000015500760878 6000000033945823013 6000000177821640831
francs,2,2,348989271720012699 5411162384740027078,6000000105726699945 6000000194202948822
gerolf,2,2,6000000003494774580 6000000025537491994,6000000013145061113 6000000048472788828
gersende,4,1,6000000002006507112 6000000002889527878 6000000005598904003 6000000006977349377,6000000008954311408
