geni_id	qid	label	name_kept	tail_dropped
285873262450008531	Q110313601	Hildebrand Claesson Uggla, till Knistad (stamfar Värmländska ättegrenen)	Hildebrand Claesson Uggla,	till Knistad (stamfar Värmländska ättegrenen)
290459821900001444		Richemer d'Orleans Duke of the Burgundians and Franconians	Richemer d'Orleans	Duke of the Burgundians and Franconians
291327660090003160		Weldelphus König der Thüringer	Weldelphus	König der Thüringer
291949125760008529		Knut Gustafsson Roos af Hjelmsäter till Krokstad	Knut Gustafsson Roos af Hjelmsäter	till Krokstad
294434855870002563		Knud VI Valdemarsøn af Danmark Konge af Danmark	Knud VI Valdemarsøn af Danmark	Konge af Danmark
294497400980006361		Rudolf II of Habsburg Duke of Swabia	Rudolf II of Habsburg	Duke of Swabia
294499031220005507		Otto III/Béla V von Bayern Herzog von Niederbayern, König von Ungarn/magyar király	Otto III/Béla V von Bayern	Herzog von Niederbayern, König von Ungarn/magyar király
294507970270007973	Q155473	Katharine of of Bohemia Herzogin von Österreich, Markgräfin von Brandenburg	Katharine of of Bohemia	Herzogin von Österreich, Markgräfin von Brandenburg
294540753230008022		Carl Svinhufvud i Westergötland	Carl Svinhufvud	i Westergötland
294546644730002581		Gustaf Eriksson Roos af Hjelmsäter till Mollungen	Gustaf Eriksson Roos af Hjelmsäter	till Mollungen
294546818920005431		Erik Gustafsson Roos af Hjelmsäter till Korpegården	Erik Gustafsson Roos af Hjelmsäter	till Korpegården
297156341040003568		Olof Pedersson i Ope och Fäste	Olof Pedersson	i Ope och Fäste
297652504070001705		Lars Hastrup på Vrejlev	Lars Hastrup	på Vrejlev
298183310170001736	Q19360709	John Fleming, 1st Earl of Wigton, 6th Lord Fleming	John Fleming, 1st	Earl of Wigton, 6th Lord Fleming
298307982010006401		Dyfwn ap ap Gurdumn (Gwrddwfn) King of the Britons	Dyfwn ap ap Gurdumn (Gwrddwfn)	King of the Britons
298634100270003696		Per Gregersen i Odder	Per Gregersen	i Odder
298634814100003680		Ulf Jepsen Kalf i Bjørnstrup	Ulf Jepsen Kalf	i Bjørnstrup
298732052860003667		Elisabeth von Bayern Römisch-Deutsche Königin, Königin von Sizilien und Jerusalem	Elisabeth von Bayern Römisch-Deutsche	Königin, Königin von Sizilien und Jerusalem
298740371650007964	Q1819709	Leopold II of Habsburg 2nd Duke of of Austria	Leopold II of Habsburg 2nd	Duke of of Austria
298742409800006343	Q156404	Rudolf IV. von Österreich Herzog von Österreich	Rudolf IV. von Österreich	Herzog von Österreich
298744114920002960	Q2297498	Friedrich von Österreich Herzog von von Österreich	Friedrich von Österreich	Herzog von von Österreich
298750259210005471		Joanna II d'Angiò-Durazzo, queen of Naples	Joanna II d'Angiò-Durazzo,	queen of Naples
299466839860007954	Q793616	Oscar Carl Wilhelm av Sverige Prins, Hertig av Västergötland	Oscar Carl Wilhelm av Sverige	Prins, Hertig av Västergötland
303400190520007069		Otto Foldradsen Stampe til Klarupgård	Otto Foldradsen Stampe	til Klarupgård
303610207620004050		Janet Blackadder Baroness of O'Lack	Janet Blackadder	Baroness of O'Lack
303629351820005598		David Bruce 6th Baron of Clackmannan & Rate	David Bruce 6th	Baron of Clackmannan & Rate
304433105310001815	Q57195	Friedrich V von der Pfalz Kürfürst von der Pfalz, König zu Böhmen	Friedrich V von der Pfalz Kürfürst von der Pfalz,	König zu Böhmen
3047562	Q16650467	Sebastian Tham till Stora Dala	Sebastian Tham	till Stora Dala
304897811920003776		Illugi svarte i Gilsbakki Hallkelsson paa Gilsbakke	Illugi svarte	i Gilsbakki Hallkelsson paa Gilsbakke
305283560570005599		Jacob Jonsen Bille til Bjergbygård	Jacob Jonsen Bille	til Bjergbygård
3057807		Daniel de Besche till Forsmark	Daniel de Besche	till Forsmark
305963825970002608		Peder Thomsen Galskyt til Øland	Peder Thomsen Galskyt	til Øland
307426671060006441		Örjan Karlsson Schancke till Hov	Örjan Karlsson Schancke	till Hov
307454950360006493		Ericus Sinius i Brunnby	Ericus Sinius	i Brunnby
307465917550007165		Torstein Torstein Skjeldulfson till Kungsnæs	Torstein Torstein Skjeldulfson	till Kungsnæs
307486758910001934		Eindride Botolvsson på Kvam	Eindride Botolvsson	på Kvam
3081292		Vahan II Mamikonian prince of Taraun	Vahan II Mamikonian	prince of Taraun
310819047470008278	Q100723	Otto prins af von Braunschweig-Lüneburg	Otto	prins af von Braunschweig-Lüneburg
310860252020005673		Sophie Amalie von Schleswig-Holstein-Gottorp Prinzessin, Herzogin zu Braunschweig-Wolfenbüttel-Bevern	Sophie Amalie von Schleswig-Holstein-Gottorp	Prinzessin, Herzogin zu Braunschweig-Wolfenbüttel-Bevern
310876642120006420	Q52928	Karl XIII/II von Holstein-Gottorp Kung av Sverige og Norge	Karl XIII/II von Holstein-Gottorp	Kung av Sverige og Norge
311231614520006478		Sophia Maria Lovisa Fredrika Albertina Holstein-Gottorp Princess of Sweden	Sophia Maria Lovisa Fredrika Albertina Holstein-Gottorp	Princess of Sweden
311695983200008268	Q77557	Heinrich Julius von Braunschweig-Lüneburg Herzog, Fürst zu Braunschweig-Wolfenbüttel Fürst zu Calenberg	Heinrich Julius von Braunschweig-Lüneburg	Herzog, Fürst zu Braunschweig-Wolfenbüttel Fürst zu Calenberg
311701678080003943	Q91542	Elizabeth of Brunswick-Luneburg von Braunschweig-Wolfenbüttel Herzogin zu Sachsen-Altenburg	Elizabeth of Brunswick-Luneburg von Braunschweig-Wolfenbüttel	Herzogin zu Sachsen-Altenburg
311731497930005744		Wilhelm of Brunswick-Lüneburg the Younger, Duke of Brunswick-Lüneburg	Wilhelm of Brunswick-Lüneburg the Younger,	Duke of Brunswick-Lüneburg
311748967320008232	Q69987	Christian Ludwig von Braunschweig-Lüneburg Herzog, Fürst zu Calenberg und Lüneburg	Christian Ludwig von Braunschweig-Lüneburg	Herzog, Fürst zu Calenberg und Lüneburg
311788525210007050	Q58773	Karl II Wilhelm Ferdinand von Braunschweig-Wolfenbüttel Herzog zu Braunschweig-Wolfenbüttel	Karl II Wilhelm Ferdinand von Braunschweig-Wolfenbüttel	Herzog zu Braunschweig-Wolfenbüttel
312473166720001563	Q170398	Wilhelm Friedrich Karl of Württemberg King of Württemberg	Wilhelm Friedrich Karl of Württemberg	King of Württemberg
312474987850005822	Q57662	Karoline Charlotte Auguste von Bayern Kronprinzessin von Württemberg, Kaiserin zu Österreich und HRR	Karoline Charlotte Auguste von Bayern Kronprinzessin von Württemberg,	Kaiserin zu Österreich und HRR
312482901450001586		Willem Nicolaas Alexander Frederik Karel Hendrik van Oranje-Nassau Crown Prince of the Netherlands	Willem Nicolaas Alexander Frederik Karel Hendrik van Oranje-Nassau Crown	Prince of the Netherlands
313100724210006806	Q6190882	Erik Eriksson von Stockenström till Bo	Erik Eriksson von Stockenström	till Bo
3137485		Gustav hertig von Sachsen-Engern-Westfalen von	Gustav	hertig von Sachsen-Engern-Westfalen von
3137519		Magnus II Ask hertig von von Sachsen-Lauenburg Herzog	Magnus II Ask	hertig von von Sachsen-Lauenburg Herzog
3137562	Q5715509	Erik Abrahamsson Leijonhuvud till Ekeberg	Erik Abrahamsson Leijonhuvud	till Ekeberg
3137692		Hámundur Hjörsson prince of Rogaland	Hámundur Hjörsson	prince of Rogaland
3138252		Svegdi Fjolnarson King of Uppsala	Svegdi Fjolnarson	King of Uppsala
3138260		Fjolnir King of Uppsala	Fjolnir	King of Uppsala
316212374780002952		Matèu de Foix comte de Foix	Matèu de Foix	comte de Foix
318545527620002732		Robert V de Beauchamp Lord of Hache	Robert V de Beauchamp	Lord of Hache
319565889120006087		Anders Nilsson Bröms till Flenshult	Anders Nilsson Bröms	till Flenshult
319630152850002238		Søffren Christensen i Malmö	Søffren Christensen	i Malmö
320390392060004736		Anders Svensson Darre till Ström	Anders Svensson Darre	till Ström
321245067000006350		Knut Bengtsson Öra till Sjögerås	Knut Bengtsson Öra	till Sjögerås
321248926590006355	Q16650335	Lars Siggesson till Simonstorp	Lars Siggesson	till Simonstorp
322066095410001845		Erland Petersson till Handelö	Erland Petersson	till Handelö
322081175290004003	Q106041080	Isak Jönsson Svinhufvud af Qvalstad till Kvalsta	Isak Jönsson Svinhufvud af Qvalstad	till Kvalsta
322109408570002355	Q5945044	Abraham Eriksson Leijonhufvud till Ekeberg	Abraham Eriksson Leijonhufvud	till Ekeberg
322253557850004030		Daniel Nielsen i Kolding	Daniel Nielsen	i Kolding
323980878400001404	Q670075	Hans Heinrich Ágost Gábor Tasso, Baron von Thyssen-Bornemisza de Kászon	Hans Heinrich Ágost Gábor Tasso,	Baron von Thyssen-Bornemisza de Kászon
324523266570007919	Q5515663	Gabriel Gustafsson Oxenstierna af Eka och Lindö till Nynäs	Gabriel Gustafsson Oxenstierna af Eka och Lindö	till Nynäs
3249363		Margrethe Clausdatter Bjelke til Tøndelgaard	Margrethe Clausdatter Bjelke	til Tøndelgaard
327981826230006023		Erik Knutsson Soop till Malmö	Erik Knutsson Soop	till Malmö
328149530780006978		Knut Hansson Soop till Bronäs	Knut Hansson Soop	till Bronäs
329660282540006121	Q6031752	Gabriel Kristiernsson Oxenstierna till Mörby	Gabriel Kristiernsson Oxenstierna	till Mörby
329667511990007558		Birgitta Gabrielsdotter Oxenstierna till Gäddeholm	Birgitta Gabrielsdotter Oxenstierna	till Gäddeholm
329701056720007585	Q469783	Anna Vasa Princess of Sweden & Administrator of Stasburg Prussia	Anna Vasa	Princess of Sweden & Administrator of Stasburg Prussia
330496463430007692		Johan Arentsen Alhalt til Lyngbygaard	Johan Arentsen Alhalt	til Lyngbygaard
333550815920013410	Q3378493	Johan Christian Constantin Brun til Sophienholm	Johan Christian Constantin Brun	til Sophienholm
337526603380012003		Rechila of the Suevi king of the Suevi	Rechila of the Suevi	king of the Suevi
341057859140010721	Q130386939	Jens Erichsen Westengaard til Hollufgård og Dallund	Jens Erichsen Westengaard	til Hollufgård og Dallund
341062363580012885		Otto Pedersen Himmelstrup til Ørritslevgaard, Hollufgård og Dallund Slot	Otto Pedersen Himmelstrup	til Ørritslevgaard, Hollufgård og Dallund Slot
341327621060011566		Carsten Karsten Hansen til Vollerup	Carsten Karsten Hansen	til Vollerup
341670938620011531		Erik Ottesen Orning til Vatne og Valvatne	Erik Ottesen Orning	til Vatne og Valvatne
342032974900007076	Q6330080	Elof Steuch till Duveke	Elof Steuch	till Duveke
343768932350002123		Søren Jensen Jensen Husum født Hald, til Purhus Kro	Søren Jensen Jensen Husum født Hald,	til Purhus Kro
343787889880011207		Jacob Rosborg Munch til Østergaard	Jacob Rosborg Munch	til Østergaard
344265910080011606		Johan Grelsson till Skinnarbacka	Johan Grelsson	till Skinnarbacka
344266411620014760		Grels Olofsson till Skinnarbacka	Grels Olofsson	till Skinnarbacka
346194696720012050		David Stewart 1st Lord of Rossyth	David Stewart 1st	Lord of Rossyth
347131736630013162	Q309922	Chlothar roi des Francs	Chlothar	roi des Francs
347216548970004818	Q316874	Dagobert II King of the Franks in Austrasia	Dagobert II	King of the Franks in Austrasia
347227818460011144		Childéric II King of the Franks in Austrasia	Childéric II	King of the Franks in Austrasia
347774029580003520	Q181896	Svend Haraldssøn Konge af Danmark og England	Svend Haraldssøn	Konge af Danmark og England
347803456540001332	Q134128	Cnut The Great Sweynsson King Of England And Denmark	Cnut The Great Sweynsson	King Of England And Denmark
348120828510013512		Bernarius comte de Charpeigne	Bernarius	comte de Charpeigne
348888302450003727		Hildegard of Bavaria East-Franks Princess of Germany	Hildegard of Bavaria East-Franks	Princess of Germany
348989271720012699	Q317933	Hugues de Paris duc des Francs, comte de Paris	Hugues de Paris	duc des Francs, comte de Paris
350073993520001998		Gerold I, count of Geneva	Gerold I,	count of Geneva
350581348530001187		Edward Manners 3rd Earl of Rutland	Edward Manners 3rd	Earl of Rutland
352661220670011912		Siguin I de Gasconha duc de Gasconha	Siguin I de Gasconha	duc de Gasconha
353227352640011019	Q116458229	Strange Nielsen Bild til Nørholm	Strange Nielsen Bild	til Nørholm
353230079640011007		Claus Jonsen Lange til Nørholm	Claus Jonsen Lange	til Nørholm
355281657880011354	Q1883688	Ingeborg Magnusdotter of Sweden Queen of Denmark	Ingeborg Magnusdotter of Sweden	Queen of Denmark
355371355340001024		Christian Johan Lodberg Rahbek til Nørre Karstoft	Christian Johan Lodberg Rahbek	til Nørre Karstoft
355608931050004687		Sophie Charlotte Julie Rahbek til Nørre Karstoft	Sophie Charlotte Julie Rahbek	til Nørre Karstoft
356575805210011493	Q888209	Haakon , King of Norway	Haakon ,	King of Norway
356601173070003496		Helena Torildsdotter princess of Sweden	Helena Torildsdotter	princess of Sweden
356645764690001237		Birgitte Christensdatter Høst i Nørre Kærgård	Birgitte Christensdatter Høst	i Nørre Kærgård
358238165030007202		Burislev Sverkersson av Sverige, Kung av Sverige	Burislev Sverkersson av Sverige,	Kung av Sverige
358241599470012764		Erik Årsäll Semi-historical king of Sweden	Erik Årsäll Semi-historical	king of Sweden
358242310870003906		Blot-Sweyn Torildsson King of Sweden	Blot-Sweyn Torildsson	King of Sweden
358372511300011904		Valdemar Abelsen Herzog zu Schleswig III	Valdemar Abelsen	Herzog zu Schleswig III
361157778310013585		Michael de Balfour Earl of Balfour	Michael de Balfour	Earl of Balfour
361249243780011638		Jean de Lusignan King of Cyprus	Jean de Lusignan	King of Cyprus
361249577580001353		Andronikos Palaiologos Lord of Thessalonica	Andronikos Palaiologos	Lord of Thessalonica
361255292390013563		Catherine Palaiologina lady of Arkadia	Catherine Palaiologina	lady of Arkadia
361478747390013557	Q110282600	"Iver Iversen Hemmet ""Biskop i Ribe"""	Iver Iversen Hemmet	"""Biskop i Ribe"""
361836922410007954		Gustaf Larsson till Strömsnäs	Gustaf Larsson	till Strömsnäs
3621639		Erich I von Sachsen-Lauenburg Herzog zu Sachsen-Lauenburg-Ratzeburg	Erich I von Sachsen-Lauenburg	Herzog zu Sachsen-Lauenburg-Ratzeburg
3624768	Q31721	Håkon Eriksson Ericsson Earl of Lade	Håkon Eriksson Ericsson	Earl of Lade
363883666190011719		Bolesław IV the Curly, High Duke of Poland	Bolesław IV the Curly, High	Duke of Poland
363886034950010574	Q3228728	Leszek Mazowiecki Duke of Masovia	Leszek Mazowiecki	Duke of Masovia
364405778100011083		Leszek Czarny Prince Of Sieradz Piast	Leszek Czarny	Prince Of Sieradz Piast
364684989340012633	Q2609611	Margaret de Clare Countess of Cornwall & Gloucester	Margaret de Clare	Countess of Cornwall & Gloucester
365411847800006405		Philippa de Beauchamp Countess of Stafford	Philippa de Beauchamp	Countess of Stafford
365442047330006382		Brian Macaedo O'Neil King of Tir Eogain	Brian Macaedo O'Neil	King of Tir Eogain
366042735470013352	Q1394448	Louis I Dampiere van Vlaanderen comte de Flandre & de Nevers	Louis I Dampiere van Vlaanderen	comte de Flandre & de Nevers
366102082340012185		Waudbert IV de Lommois comte de Lommois	Waudbert IV de Lommois	comte de Lommois
367370534300004011		Hans Myndel Kongen Foged og Møntmester i Malmø	Hans Myndel Kongen Foged og Møntmester	i Malmø
368242024260011286		Alexander Gordon 12th Earl of Sutherland	Alexander Gordon 12th	Earl of Sutherland
368713820640003185		Louis d'Anjou, comte de Gravina	Louis d'Anjou,	comte de Gravina
368714613840011374	Q311861	Charles III , King of Naples, Hungary and Croatia	Charles III ,	King of Naples, Hungary and Croatia
368942672780005439		Eleanor de Holland Countess of Salisbury	Eleanor de Holland	Countess of Salisbury
368988617700011508	Q162356	Jane Grey Queen of England (disputed)	Jane Grey	Queen of England (disputed)
370152494350011136		Gudmund Pedersson Ulf till Örby och Ekenäs	Gudmund Pedersson Ulf	till Örby och Ekenäs
370813395120004241	Q188634	Matthias Corvinus king of Hungary & Croatia	Matthias Corvinus	king of Hungary & Croatia
371367105380011098		Miroslava, Princess of Bulgaria	Miroslava,	Princess of Bulgaria
374427000350013711		Michael Kjeldsen herredsfoged i Han Herred	Michael Kjeldsen herredsfoged	i Han Herred
375694850390012555		Koloman II Asen Tsar of the Bulgarians	Koloman II Asen	Tsar of the Bulgarians
375776373250012580		Elena Terterina princess of Bulgaria	Elena Terterina	princess of Bulgaria
376298089210013354	Q157098	Philip I of Habsburg King of Castillia	Philip I of Habsburg	King of Castillia
376299759140013431	Q150611	Ferdinand I Nicholas von Habsburg Erzherzog, Kaiser des Heiliges Römisches Reich deutscher nation	Ferdinand I Nicholas von Habsburg Erzherzog,	Kaiser des Heiliges Römisches Reich deutscher nation
376303206500005821	Q163551	Anna von Österreich-Habsburg Herzogin zu Bayern	Anna von Österreich-Habsburg	Herzogin zu Bayern
376470570180012891	Q2840790	Keratsa-Maria Palaiologos princess of Bulgaria	Keratsa-Maria Palaiologos	princess of Bulgaria
377583103230012358		Giselbert FitzOsbern de Breteuil bishop of Evreux	Giselbert FitzOsbern de Breteuil	bishop of Evreux
377634818590005791		Tidlet Prydyn King of the Picts in Powys	Tidlet Prydyn	King of the Picts in Powys
377663071280012351		Anlach Goronog mac Cormac King of Ireland	Anlach Goronog mac Cormac	King of Ireland
377667004310013809		Tudwal ap Turmwr Morfawr, King of Dumnonia (Cornwall)	Tudwal ap Turmwr Morfawr,	King of Dumnonia (Cornwall)
378767593140002648	Q5744569	Christian Friis af Hesselager til Borreby og Hagested	Christian Friis af Hesselager	til Borreby og Hagested
384738608030013686	Q110457177	Matts Simonsson Körning till Almby	Matts Simonsson Körning	till Almby
384745660540013670		Erik Carlsson Kuse till Almby	Erik Carlsson Kuse	till Almby
384952550100013740		Carl Johan Lilliehöök af Gälared och Kolbäck till Lindhult	Carl Johan Lilliehöök af Gälared och Kolbäck	till Lindhult
385914949520010150	Q41657	Romanos III Argyros emperor of Constantinople	Romanos III Argyros	emperor of Constantinople
386878892670002766		Jens Andersen Baden i Helsingør	Jens Andersen Baden	i Helsingør
388565672190012481		Agneta Gyllenmärs till Samsö och Vret	Agneta Gyllenmärs	till Samsö och Vret
389150114290012478		Stephanus I Count of Paris	Stephanus I	Count of Paris
390325956160011875		Christen Knudsen til Jølbygaard	Christen Knudsen	til Jølbygaard
3928503997760121614		Lanfred II KING of the ALEMANNI	Lanfred II	KING of the ALEMANNI
3928512436510050770		Lanfred I KING of the ALEMANNI	Lanfred I	KING of the ALEMANNI
3940197	Q12322263	Knud Axelsen Urne til Årsmarke	Knud Axelsen Urne	til Årsmarke
3940323	Q98004341	Axel Knudsen Urne til Aarsmarke, til Brolykke, Søgaard og Aarsmarke	Axel Knudsen Urne	til Aarsmarke, til Brolykke, Søgaard og Aarsmarke
3949647		Herluf Trolle Jørgensøn Daa til Snedinge, Valbygaard, Skjørpinge og Björkeberga	Herluf Trolle Jørgensøn Daa	til Snedinge, Valbygaard, Skjørpinge og Björkeberga
3967262167710039627	Q83476	Alfred the Great, king of the Anglo-Saxons	Alfred the Great,	king of the Anglo-Saxons
3985192	Q12320903	Store Jørgen Lagesen Urne til Brolykke	Store Jørgen Lagesen Urne	til Brolykke
3985213	Q108840608	Kirsten Clausdatter Krumstrup til Bondemosegaard og Brolykke	Kirsten Clausdatter Krumstrup	til Bondemosegaard og Brolykke
3985322		Anders Nilsen Panter til Asdal	Anders Nilsen Panter	til Asdal
3988005582120034946		Christian Hansen Mule i København	Christian Hansen Mule	i København
3996789354360035440	Q310807	Albrecht Friedrich Rudolf Dominik von Österreich-Teschen Duke of Teschen	Albrecht Friedrich Rudolf Dominik von Österreich-Teschen	Duke of Teschen
4000888590980126643	Q17141339	Gunde Fredriksen Lange til Sefla	Gunde Fredriksen Lange	til Sefla
4014744641360128307		Claus Hansen Mule til Hundlevgd. (Nislevgd.)	Claus Hansen Mule	til Hundlevgd. (Nislevgd.)
4018689	Q110386259	Knut Knutsson (Roos af Hjelmsäter) till Hjelmsäter	Knut Knutsson (Roos af Hjelmsäter)	till Hjelmsäter
4030051474990031125	Q236978	Wilhelmine of Prussia, Queen of the Netherlands	Wilhelmine of Prussia,	Queen of the Netherlands
4030863318860011172		Jørgen Lauridsen Navl til Oddegaard	Jørgen Lauridsen Navl	til Oddegaard
4038901	Q75453822	Robert de Brewes Baron of Stinton	Robert de Brewes	Baron of Stinton
4040216435970129981	Q167236	Frederik Hendrik van Nassau-Dillenburg Prins van Oranje-Nassau	Frederik Hendrik van Nassau-Dillenburg	Prins van Oranje-Nassau
4048607033120128233	Q184854	Edward of Woodstock Prince of Wales	Edward of Woodstock	Prince of Wales
4065173193700123730		Peder Christensen Nørkjær i Hindsels	Peder Christensen Nørkjær	i Hindsels
4065302096630047946		Erik Pedersen Nørkjær forpagter på Handbjerg	Erik Pedersen Nørkjær forpagter	på Handbjerg
4065605256850030811		Anna Christersdotter Stjerna till Hubberstad	Anna Christersdotter Stjerna	till Hubberstad
4076230	Q316398	Håkon Härdabred Hårfagre-Hårdrådesätten i Norge II	Håkon Härdabred Hårfagre-Hårdrådesätten	i Norge II
4076388	Q350213	Magnus Erlingsson King of Norway	Magnus Erlingsson	King of Norway
4077582	Q242598	Blanche de Namur Dronning av Sverige og Norge	Blanche de Namur	Dronning av Sverige og Norge
4077656	Q202266	Margareta Magnuson Drottning af Danmark, Norge och Sverige	Margareta Magnuson	Drottning af Danmark, Norge och Sverige
4077704	Q313879	Olav II/IV Håkonsson Konge af Danmark (II) og Norge (IV)	Olav II/IV Håkonsson	Konge af Danmark (II) og Norge (IV)
4079111		Gerhard VI Von Holstein-rendsburg von Holstein-Rendsburg Graf zu Holstein-Rendsburg, Herzog zu Schleswig	Gerhard VI Von Holstein-rendsburg von Holstein-Rendsburg	Graf zu Holstein-Rendsburg, Herzog zu Schleswig
4081640023740123950		Jens Clausen Reenberg til Lynderupgård	Jens Clausen Reenberg	til Lynderupgård
4084243	Q99301955	Per Natt och Dag till Säby	Per Natt och Dag	till Säby
4085368611040124960		Margareta Gödiksdotter Fincke till Kanckas	Margareta Gödiksdotter Fincke	till Kanckas
4085506086730125361	Q1337741	Evert Carlsson Horn till Kanckas	Evert Carlsson Horn	till Kanckas
4085725208560049985	Q235447	Philippa of Lancaster Princess of England, Queen of Denmark, Sweden & Norway	Philippa of Lancaster	Princess of England, Queen of Denmark, Sweden & Norway
4093711337850033819		Simon de Roucy Pierrepont Comte de Roucy et de Braine	Simon de Roucy Pierrepont	Comte de Roucy et de Braine
4102701	Q442876	Canute I Eriksson King of Sweden	Canute I Eriksson	King of Sweden
4103199	Q359601	Erik VI Menved King of Denmark	Erik VI Menved	King of Denmark
4103872	Q153940	Christian I von Oldenburg Konge af Danmark, Norge og Sverige	Christian I von Oldenburg	Konge af Danmark, Norge og Sverige
4103927	Q61873	Dorothea von Brandenburg Dronning af Danmark, Norge og Sverige	Dorothea von Brandenburg	Dronning af Danmark, Norge og Sverige
4104041	Q157776	John I of Denmark and Norway of Oldenburg King of Denmark, Norway and Sweden	John I of Denmark and Norway of Oldenburg	King of Denmark, Norway and Sweden
4104101	Q60386	Christina von Sachsen Dronning til Danmark, Norge og Sverige	Christina von Sachsen	Dronning til Danmark, Norge og Sverige
4104123	Q154460	Christian II af Danmark og Norge von Oldenburg Konge af Danmark og Norge, Kung av Sverige	Christian II af Danmark og Norge von Oldenburg	Konge af Danmark og Norge, Kung av Sverige
4104191	Q157884	Isabella von Österreich, Habsburg Dronning af Danmark, Norge og Sverige	Isabella von Österreich, Habsburg	Dronning af Danmark, Norge og Sverige
4104238	Q272252	Dorothea of Denmark Duchess of Brunswick-Lüneburg	Dorothea of Denmark	Duchess of Brunswick-Lüneburg
4104318	Q222616	James III, King of Scots	James III,	King of Scots
4104333	Q157789	Frederick I Koning af Danmark og Norge, von Oldenburg King of Denmark and Norway	Frederick I Koning af Danmark og Norge, von Oldenburg	King of Denmark and Norway
4104372	Q260926	Anna von Brandenburg-Hohenzollern Herzogin zu Schleswig-Holstein	Anna von Brandenburg-Hohenzollern	Herzogin zu Schleswig-Holstein
4104556	Q154041	Frederick II of Oldenburg King of Denmark and Norway	Frederick II of Oldenburg	King of Denmark and Norway
4104601	Q57654	Sofie von Mecklenburg-Güstrow Hertuginde, Dronning af Danmark og Norge	Sofie von Mecklenburg-Güstrow Hertuginde,	Dronning af Danmark og Norge
4104768	Q170394	Anne Catherine von Brandenburg Dronning af Danmark og Norge	Anne Catherine von Brandenburg	Dronning af Danmark og Norge
4104973	Q231820	Charlotte Amalie von Hessen-Kassel Dronning af Danmark og Norge	Charlotte Amalie von Hessen-Kassel	Dronning af Danmark og Norge
4105044	Q161059	Frederik IV af Danmark og Norge von Oldenburg Konge af Danmark og Norge	Frederik IV af Danmark og Norge von Oldenburg	Konge af Danmark og Norge
4105251	Q156187	Frederick V of Denmark and Norway, of Oldenburg King of Denmark and Norway	Frederick V of Denmark and Norway, of Oldenburg	King of Denmark and Norway
4107259	Q52930	Gustav III of Holstein-Gottorp King of Sweden	Gustav III of Holstein-Gottorp	King of Sweden
4107863142730027297		Ulrich Frederik Christian Rye til Krummerupgaard i Sorø Amt	Ulrich Frederik Christian Rye	til Krummerupgaard i Sorø Amt
4110886872280037647		Friderich Hansen Svane til Svendstrup	Friderich Hansen Svane	til Svendstrup
4110946922370078894		Friderich von Oertz greve til Svenstrup	Friderich von Oertz	greve til Svenstrup
4117939564830071840	Q99472372	Charlotte Amalie Baronesse Griffenfeld til Stensballegård	Charlotte Amalie Baronesse Griffenfeld	til Stensballegård
4117958212810071793	Q4572524	Frederik Eriksen Baron Krag til Stensballegaard	Frederik Eriksen	Baron Krag til Stensballegaard
4127611424080032896		Frederik Olufsen Svane Bisgård i Tamdrup sogn	Frederik Olufsen Svane Bisgård	i Tamdrup sogn
4128727150810026518	Q71444	Ernst Casimir von Nassau-Dillenburg Graf zu Nassau-Dietz	Ernst Casimir von Nassau-Dillenburg	Graf zu Nassau-Dietz
4128900920640031644	Q71436	Sophia Hedwig von Braunschweig-Wolfenbüttel Gräfin zu Nassau-Dietz	Sophia Hedwig von Braunschweig-Wolfenbüttel	Gräfin zu Nassau-Dietz
