token	first_given	later_given	family
"""Velho"""	0	0	3
"""Vestersjø"""	0	0	1
"""Vikman"""	0	0	2
"""Wally"	0	1	0
"""Wegner"""	0	0	1
"""Zakkai"	0	1	0
"""Zuṭṭa"""	0	0	1
"""Ã„Dalhard"	0	1	0
"""Ørbech"""	0	0	2
"""Øxna""-Thoresson"	0	0	4
"""Жердь"""	0	0	2
"""Лущиха"""	0	0	2
"""Минник"""	0	0	2
"""Овчина"""	0	0	2
"""Телица"""	0	0	2
"""Харьян"""	0	0	2
"""אשל"	0	0	1
#	8	9	0
#1	76	85	1
#1,	0	1	0
#10	2	0	0
#11	2	1	0
#12	3	0	0
#13	1	0	0
#14	1	0	1
#15	2	0	0
#16	1	0	0
#17	1	0	0
#18	1	0	0
#19	1	0	0
#2	88	58	1
#2,	0	1	0
#20	1	0	0
#21	2	0	0
#22282	0	1	0
#3	33	13	2
#30,	0	1	0
#31	1	0	0
#3:	1	0	0
#4	12	7	2
#416366	0	1	0
#5	9	4	0
#5c)	0	0	1
#6	4	2	0
#7	3	2	0
#728633	0	1	0
#743414	0	1	0
#743415	0	1	0
#743416	0	1	0
#8	2	0	0
#9	1	0	0
&	0	49	120
&Nyi	0	0	1
&pandak	0	1	0
&pasuruan	0	0	1
&quot;Boccalin&quot;	0	1	0
&quot;Lisa&quot;	0	1	0
&quot;Sallie&quot;	0	1	0
&quot;Vinnie&quot;	0	1	0
'	0	9	7
''Alex''	0	1	0
''Alexander''	0	1	0
''Alina''	0	1	0
''austræni''	0	1	0
''Barney''	0	1	0
''Berna''	0	1	0
''Bob''	0	2	0
''Conny''	0	1	0
''Cuno''	0	1	0
''Ellen''	0	1	0
''Feilan''	0	1	0
''Fritz''	0	1	0
''gamli''	0	1	0
''Gerty''	0	1	0
''Harriet''	0	1	0
''John	0	1	0
"''Kit"""	0	1	0
"''l'Ancien"""	0	1	0
''Louis''	0	2	0
''Peggy''	0	1	0
''Vera''	0	1	0
''Wind''	0	1	0
''Хобердинский''	0	1	0
''הארוך''	0	2	0
'A'idhullah	1	0	0
'Aasim	0	0	6
'Abbas	1	0	0
'Abd	18	1	14
'Abd-allâh	0	0	2
'AbdAllah	1	0	0
'Abdallah	1	0	16
'Abdu'l	2	2	2
'Abdu'l-Malik	0	0	2
'Abdu'l-Rahman	0	1	1
'Abdul	1	4	24
'Abdullah	10	4	11
'Abdur	2	0	0
'Abdur-Rahman	0	1	0
'Abdurrahman	0	1	0
'Abed	1	0	0
'Abtah	0	0	1
'Abu	0	1	0
'Adi	1	0	4
'Adiyy	4	0	0
'Ainul	0	2	0
'Ajib	0	1	0
'Ala	0	0	1
'Ala'uddin	0	0	1
'Alam	0	4	18
'Alauddin	0	1	3
'Alawi	0	1	0
'Ali	11	11	14
'Ali.	0	1	0
'Alim	1	1	0
'alimin	0	1	0
'Allah	0	0	2
'Allan	1	0	2
'Alnas	1	0	1
'Alwi	1	0	0
'Alā	1	0	0
'Amar	1	0	4
'Amir	2	0	0
'Amit	1	0	0
'Amr	12	2	6
'Amra	1	0	0
'Amram	0	0	2
'Amru	1	0	0
'Arif	0	1	0
'Arifin	0	1	0
'Arin	1	0	0
'Arus	0	1	1
'Atshan	1	0	0
'Attab	1	0	2
'Aulnay	0	1	0
'Aunal	1	0	0
'Avaad	1	0	0
'Awanah	1	0	0
'Awbathan	0	1	0
'Awf	3	0	1
'Ayaadh	1	0	2
'Aziz	1	0	0
'ben	0	1	1
'Betiss	0	1	0
'Cap	0	1	0
"'Cina"""	0	1	0
'Coordeken'	0	0	1
'd'Espagne'	0	1	0
'd'Espanha'	0	1	0
'd'Rahim	0	1	6
'd'Rahmad	0	1	4
'd'Rahman	0	0	6
'd'Rashid	0	0	3
'd'Rauf	0	1	5
'daughter	0	0	2
'dit	0	1	0
'el	0	2	4
'Fritz	0	1	0
'Hansens	0	1	0
'Ilaj	1	0	0
'Isa	5	1	12
'Ishomuddin	0	1	0
'Izz	0	1	0
'Jorg	0	1	0
'Kún'	0	0	3
'l'Aigret'	0	1	0
'l'Ancien'	0	1	0
'l'aîné'	0	1	0
'l'Empoisonneuse'	0	1	0
'l'Oncle	0	1	0
'l-Faḍl	0	1	0
'l-Hasan	0	2	0
'le	0	2	1
'lMelik	0	1	0
'Majus'	0	0	4
'Me'ir'	0	0	1
'n-Nīsā	0	1	0
'O	0	0	1
'o	0	0	1
'Omar	0	1	3
'Orey	0	0	3
'Porcelos'	0	0	1
'Príncep	0	1	0
's	0	3	4
'Sans-Peur’	0	2	0
'Sheshna'	0	0	3
't	0	0	11
'The	0	0	1
'the	0	1	1
'Tête	0	1	0
'Ubaid	1	0	0
'Ubayd	1	0	0
'Ubaydah	1	0	0
'Udas	1	0	0
'Ukba	2	0	2
'Ulaiy	1	0	0
'Umadtuddin	1	0	0
'Umar	3	1	0
'Usm	1	0	0
'Usman	0	1	1
'Utayba	0	1	0
'Uthman	2	3	0
'Wolfgang	0	1	0
'Zanetto	0	1	0
'אשל	0	0	1
'סימפלוניע'	0	0	1
(	0	6	162
(!)	0	0	1
"(""Loewengaard"")"	0	0	1
"(""Priester"")"	0	0	1
(&	0	0	1
((?	0	0	1
((und	0	0	1
()	0	0	2
(*260)	0	0	2
(+	0	0	1
(+)	0	0	1
(,)und	0	0	1
(--?--)	0	0	1
(->	0	0	1
(-ch)	0	0	1
(-Garden)	0	0	5
(..)	0	0	2
(/Tveita?)	0	0	5
(1)	0	0	3
(1.)	0	0	2
(1.00.2)	0	0	1
(1000)	0	0	1
(1002-985	0	0	1
(1010)	0	0	1
(1025)	0	0	1
(109)	0	0	2
(109c)	0	0	1
(110)	0	0	1
(1137-1002	0	0	1
(1178–1198)	0	0	1
(1180-1137	0	0	1
(1183-1286	0	0	1
(1194-1180	0	0	1
(1197-1194	0	0	1
(1242-1197	0	0	1
(1262–1263)	0	0	1
(1263)	0	0	1
(1267-1242	0	0	1
(127)	0	0	1
(129)	0	0	1
(1295–1308)	0	0	1
(1313-1432)	0	0	1
(1359-1365)	0	0	1
(1370-1373)	0	0	1
(139)	0	0	1
(1401-1407)	0	0	1
(1421-1427	0	0	1
(1435-1380bc)	0	0	1
(1453-1460)	0	0	1
(1465-1420bc)	0	0	1
(1493-1496)	0	0	1
(1495-1430bc)	0	0	1
(15)	0	0	1
(1508)	0	0	1
(1582-1583)	0	0	1
(159a)	0	0	1
(1635-1700)	0	0	1
(1644-1673)	0	0	1
(1651-1652)	0	0	1
(1679	0	0	1
(1687-1690)	0	0	1
(169)	0	0	1
(1697	0	0	1
(1701	0	0	1
(1704-1706)	0	0	1
(1705-1719)	0	0	1
(1732)	0	0	1
(1733-1747)	0	0	1
(1746-1826)	0	0	1
(1753-1773)	0	0	1
(1760-1830)	0	0	1
(1773-1799)	0	0	1
(1785-1785)	0	0	1
(1798-1877)	0	0	1
(1799-1801)	0	0	1
(1799-?)	0	0	1
(180)	0	0	1
(1808-1809)	0	0	1
(1809-1813)	0	0	1
(1816–1819	0	1	0
(1831-1833)	0	0	1
(1855-	0	1	0
(1873-1883)	0	0	1
(1878-1879)	0	0	1
(1906	0	0	1
(1935	0	0	1
(1st	0	0	1
(1st)	0	0	1
(2	0	0	5
(2)	0	0	3
(2.)	0	0	1
(22nd	0	0	1
(23)	0	0	3
(24)	0	0	1
(27)	0	0	3
(271)	0	0	1
(28)	0	0	1
(29)	0	0	2
(2do))	0	0	1
(2nd	0	0	1
(3	0	0	1
(30)	0	0	2
(31)	0	0	5
(32)	0	0	6
(32b)	0	0	1
(33)	0	0	1
(35)	0	0	1
(37)	0	0	1
(370-320	0	0	1
(4	0	0	1
(401	0	0	1
(407-362	0	0	1
(496–498)	0	0	1
(4th	0	0	1
(515-...	0	0	1
(535-515	0	0	1
(565-535	0	0	1
(569-565	0	0	1
(5º	0	1	0
(6-stjärna)	0	0	2
(60,000	0	0	1
(606-569	0	0	1
(631-606	0	0	1
(660-1559)	0	0	1
(666-631	0	0	1
(679-666	0	0	1
(7)	0	0	1
(701-679	0	0	1
(748-701	0	0	1
(7ggf)	0	0	1
(805-748	0	0	1
(838-805	0	0	1
(850)	0	0	1
(855)	0	0	1
(857-872)	0	0	3
(864-928)	0	0	1
(877)	0	0	1
(883-838	0	0	1
(899)	0	0	1
(941-910	0	0	1
(985-941	0	0	1
(=	0	0	2
(>-1625bc)	0	0	1
(?	0	0	1
(?)	0	0	40
(?)Babenberg	0	0	2
(??	0	0	2
(??)	0	0	1
(a	0	0	2
(a.	0	0	1
(A.B.D.	0	0	1
(a.d.H.	0	0	1
(Aabe	0	0	4
(Aagesen)	0	0	1
(Aas)	0	0	1
(Aasøen)	0	0	1
(Abrahamson)	0	0	1
(Abu	0	0	1
(Acherøe)	0	0	1
(Achten)	0	0	1
(Achton)	0	0	2
(Achtschin)	0	0	1
(actual	0	0	1
(Adelborg)	0	0	1
(Adipati	0	3	2
(adlad	0	0	3
(adlad)	0	0	1
(adlig	0	0	3
(adliga	0	0	1
(adopt.)	0	0	3
(adopted)	0	0	1
(adopterad)	0	0	1
(Aeckelbarg)	0	0	1
(af	0	0	53
(af)	0	0	5
(Afdal)	0	0	1
(Aga)	0	0	1
(Agilolfinger)	0	0	2
(Ahlholm)	0	0	2
(aka	0	0	6
(aka)	0	0	1
(Akeleye)	0	0	1
(al-Baliyya)	0	0	11
(Alavesa)	0	0	1
(Albertiner)	0	0	1
(Albertsen)	0	0	1
(Albini)	0	0	4
(Albogius)	0	0	1
(Alex)	0	0	2
(Alferez	0	0	1
(alferez)	0	0	1
(Algar)	0	0	1
(Algotssönerna)	0	0	19
(Algotssönernas	0	0	1
(Alioden	0	0	1
(All	0	0	1
(alleged)	0	0	2
(Alm)	0	0	1
(Almöätten)	0	0	2
(Alonso	0	1	0
(also	0	0	1
(Altermann)	0	0	1
(alternative)	0	0	1
(Altschuler)	0	0	1
(alves)	0	0	6
(Alén)	0	0	1
(Ama)	0	0	15
(Amal	0	0	6
(Amangkurat	0	0	3
(Ambah	0	0	1
(Ambla	0	0	1
(Amerika	0	0	2
(Amerika)	0	0	7
(Ammitsbøl)	0	0	1
(Amundsen)	0	0	1
(Anak	0	0	2
(anak	0	0	1
(ancestor	0	0	2
(Ancher)	0	0	1
(Anchersen)	0	0	4
(Anda	0	0	1
(Andera	0	0	1
(Andersen)	0	0	6
(Andersson)	0	0	4
(Anderssson)	0	0	1
(andre	0	0	1
(Andreassen)	0	0	2
(Angelina)	0	0	2
(Angenwit)	0	0	2
(Anne	0	0	1
(Annerstadius)	0	0	4
(Anola	0	0	1
(anonyma)	0	0	42
(Antila)	0	0	1
(Antley)	0	0	1
(Antonia	0	1	0
(Antonio	0	1	0
(Antonsen)	0	0	2
(Anttila)	0	0	2
(Aom	0	0	2
(ar-Rabil)	0	0	1
(Aramaic	0	0	1
(Arancivia)	0	0	8
(Are)	0	0	5
(Arendal)	0	0	1
(Arentsen)	0	0	1
(Arfwidsson)	0	0	5
(Aria	0	0	8
(Arias	0	0	1
(Arne)	0	0	1
(Arnfelt)	0	0	2
(Arnø)	0	0	1
(Arreberg	0	0	1
(Arthur)	0	0	1
(artolomé	0	1	0
(Arung	0	0	1
(Arvidsson)	0	0	1
(Arya	0	0	1
(as	0	0	1
(Ashra	0	0	1
(Asicanius)	0	0	1
(Ask)	0	0	2
(Askanier)	0	0	2
(Askelund)	0	0	1
(Askwig)	0	0	1
(Aslaksdotter?)	0	0	1
(Aspenäs)	0	0	31
(Aspenäsätten)	0	0	23
(Aspfors)	0	0	1
(Assweer)	0	0	1
(Astrenius)	0	0	2
(Atmowinoto)	0	0	6
(Attimis	0	0	1
(Auerbach)	0	0	1
(Auestad	0	0	1
(auf	0	0	1
(August)	0	0	1
(Aursland	0	0	3
(auteur	0	0	1
(av	0	0	2
(Axland)	0	0	1
(Ayala)	0	0	1
(Aymerico)	0	0	1
(b	0	0	1
(B.	0	0	1
(b.	0	0	4
(b.nr.13)	0	0	2
(b12c1d6)	0	0	1
(b12c1d8)	0	0	1
(Baad)	0	0	1
(Backer)	0	0	1
(Backteman)	0	0	2
(Baden)	0	0	5
(Badigil)	0	0	1
(Bagge	0	0	20
(Bagge)	0	0	5
(Bagge?)	0	0	1
(Baghdad)	0	0	5
(Bahle)	0	0	1
(Baillif)	0	0	1
(Bakka)	0	0	1
(Bakken)	0	0	2
(Balchen)	0	0	2
(Balk	0	0	8
(Balk)	0	0	1
(balk)	0	0	1
(Balland)	0	0	1
(Balle)	0	0	1
(Balthasar)	0	0	2
(Balthés)	0	0	1
(Bang)	0	0	5
(Bange)	0	0	1
(Banner	0	0	1
(Banner)	0	0	59
(Banu	0	0	14
(Banér)	0	0	4
(Bapaknya	1	0	0
(bar	0	0	2
(Barahona	0	0	1
(Barbasanis)	0	0	3
(Barbosa)	0	0	1
(Barfoed)	0	0	1
(Barfus)	0	0	1
(Barkey	0	0	1
(barn	0	0	1
(Baroness	0	0	1
(Baroness)	0	0	1
(Barstad)	0	0	1
(Bartholin)	0	0	1
(Barun)	0	0	4
(Bassett)	0	0	1
(bastaard)	0	0	1
(Bastardo)	0	0	1
(Bat	0	0	1
(bat	0	0	1
(Batzán)	0	0	2
(batârd	0	0	1
(Bauditz)	0	0	1
(Bauer)	0	0	1
(Bausser	0	0	1
(Bavandi	0	0	1
(Bayern)	0	0	3
(Bayles)	0	0	1
(Bayondor)	0	0	2
(Beauchamp)	0	0	4
(Beauffou)	0	0	1
(Bech)	0	0	1
(Beck)	0	0	2
(Beck,	0	0	1
(Becker?)	0	0	2
(Beckman)	0	0	1
(Beckström)	0	0	1
(Behrend)	0	0	2
(Beij)	0	0	4
(Beinashowitz)	0	0	1
(Beisnashowitz)	0	0	1
(Belin)	0	0	1
(Bell-Lloc	0	0	1
(Belle-des-Bargous)	0	0	1
(Bellfrage)	0	0	1
(Belmonte)	0	0	2
(ben	1	0	6
(ben)	0	0	1
(Bendahara	0	0	1
(Benderup)	0	0	5
(Bendix)	0	0	1
(Benedikt)	0	0	1
(Bengt	0	0	1
(Bengthafridsson	0	0	1
(Bengtsson)	0	0	1
(Benjaminsen)	0	0	1
(Benning)	0	0	1
(Benson)	0	0	2
(Benzelius)	0	0	1
(Berasal	0	0	1
(Berdugo)	0	0	1
(Berg)	0	0	1
(Berge)	0	0	3
(Bergeland)	0	0	2
(Bergen)	0	0	2
(Bergh)	0	0	1
(Bergkvara)	0	0	3
(Bergkvaraätten)	0	0	1
(Bergland)	0	0	1
(Bergman)	0	0	1
(Bergquist)	0	0	1
(Bergström)	0	0	1
(Berner)	0	0	1
(Bersa	0	0	3
(Berssel)	0	0	1
(Bertilsson)	0	0	2
(Bese)	0	0	1
(Besenyő)	0	0	1
(Betancur	0	0	1
(Bexar)(Warg))	0	0	1
(Bhre	0	1	2
(Biche-Fauve)	0	0	1
(Bielke)	0	0	62
(Bielkenstierna)	0	0	16
(Biertnæs)	0	0	1
(Biheller,	0	0	1
(Bild)	0	0	10
(Billingius?)	0	0	1
(Birdsall)	0	0	5
(Birger	0	0	1
(Birkedal)	0	0	3
(Birkenstein)	0	0	1
(biskup	0	0	1
(Bispo	0	0	1
(Bjarne)	0	0	1
(Bjelke)	0	0	10
(bjelke,	0	0	1
(Bjelland	0	0	1
(Bjelland)	0	0	1
(Bjerkr)	0	0	1
(Bjerkr.)	0	0	1
(Bjälboätten)	0	0	16
(Bjälboättens	0	0	6
(Bjälke)	0	0	2
(bjälke)	0	0	8
(Bjælke)	0	0	3
(Björkbacka)	0	0	1
(Björkholm)	0	0	1
(Björkqvist)	0	0	1
(Björling)	0	0	2
(Björnram	0	0	1
(Björnram)	0	0	4
(Björnram,	0	0	2
(Bjørgan)	0	0	2
(Bjørk)/Kallekodt	0	0	1
(Bjørke	0	0	1
(Bjørkås)	0	0	1
(Bjørnlund)	0	0	1
(Bjørnstad)	0	0	1
(Blaa)	0	0	2
(Blad)	0	0	1
(Blix)	0	0	8
(Bloch)	0	0	1
(Block)	0	0	1
(Blodbytta)	0	0	1
(Blokhus)	0	0	2
(Blomelie)	0	0	1
(Blomqvist)	0	0	3
(Blount)	0	0	1
(Blumenthal)	0	0	1
(Blå	0	0	1
(Bnu	0	0	1
(Boardman)	0	0	2
(Boberg)	0	0	10
(Bochelsund)	0	0	1
(Bock	0	0	4
(Bock)	0	0	1
(Bockhorn)	0	0	4
(Bohuslän)	0	0	1
(Bohussläkten)	0	0	2
(Bolt)	0	0	3
(Boman)	0	0	2
(Bon-Viseur	0	0	1
(Bon-Viseur-des-Colverts)	0	0	1
(Bonaparte)	0	0	2
(Bonde)	0	0	8
(Bonden)	0	0	2
(Bondesson)	0	0	1
(Bondi)	0	0	1
(Bonilsson)	0	0	1
(Bonngau)	0	0	1
(Borchardt)	0	0	1
(Borge)	0	0	4
(Borgek)	0	0	1
(Borges)	0	0	1
(Borgmästars)	0	0	3
(Borlase)	0	0	2
(Born	0	0	1
(born	0	1	11
(Bossons	0	0	2
(Bosæus)	0	0	2
(Both)	0	0	1
(Bothniensis	0	0	2
(Bothwell)	0	0	1
(BOUDREAU)	0	0	1
(Boxmeer)	0	0	1
(Boyum	0	0	1
(BR.Ay	0	0	1
(Bradt)	0	0	2
(bradt)	0	0	1
(Bragernes)	0	0	1
(Brandae)	0	0	1
(Brandt)	0	0	1
(Brandvik)	0	0	1
(Bratt)	0	0	1
(Braumeier)	0	0	1
(Braurer)	0	0	1
(Brav(er)	0	0	1
(Bravo	0	0	1
(BRAy	0	0	1
(Bredbacka)	0	0	3
(Bredeneie)	0	0	1
(Breese)	0	0	1
(Bregenz-)Pfullendorf	0	0	1
(Brekke)	0	0	1
(Brenner)	0	0	1
(Bretagne)	0	0	5
(Brikholtz)	0	0	1
(Brink)	0	0	1
(Brisk)	0	0	2
(Broch)	0	0	2
(Brock	0	0	1
(Broda)	0	0	3
(Brodsky)	0	0	1
(Broka)	0	0	1
(Brolinson)	0	0	1
(Brooke)	0	0	1
(Brorson)	0	0	1
(Brosbøl)	0	0	1
(Broända)	0	0	1
(Bruhn)	0	0	1
(bruk	0	0	1
(Brummer)	0	0	1
(Brunei)	0	0	1
(Brunnmark)	0	0	1
(Bruno)	0	0	2
(Brunov)	0	0	1
(Brus)	0	0	2
(Bruun)	0	0	1
(Bryant)	0	0	1
(Bryne)	0	0	1
(Bryske)	0	0	1
(Brännström)	0	0	1
(Brügmann)	0	0	2
(bu	0	0	1
(Buch)	0	0	1
(Buchsbaum)	0	0	2
(Bugge)	0	0	1
(Buholm)	0	0	1
(builders,	0	1	0
(Bukit	0	0	1
(Bulkeley)	0	0	1
(Bulko)	0	0	1
(Bupati	0	0	11
(Bure)	0	0	2
(Bureätten?)	0	0	2
(Burman)	0	0	1
(Burnham)	0	0	1
(Burum)	0	0	1
(Busk)	0	0	2
(Butler)	0	0	1
(Buvik)	0	0	1
(Bydelsbak)	0	0	2
(Bye)	0	0	1
(Byrkjedal)	0	0	1
(Byrkjeland)	0	0	1
(Byskata)	0	0	1
(Byskata)(Gistö)	0	0	1
(Bäcks)	0	0	5
(Båat)	0	0	1
(Bårris)	0	0	1
(Båsk)	0	0	1
(Båt	0	0	20
(Båt)	0	0	4
(båt)	0	0	9
(Bååt)	0	0	21
(Bækø)	0	0	1
(Bölja	0	0	1
(Bölja)	0	0	2
(Bø)	0	0	4
(Bølle)	0	0	1
(Børaholen)	0	0	1
(C	0	0	1
(c.#1)	0	0	1
(c.#2)	0	0	1
(c.#3)	0	0	1
(Ca	0	0	1
(Caballero	0	0	4
(Cabassos)	0	0	1
(Cadorniga)	0	0	1
(Cahen-Silny)	0	0	2
(Cahun)	0	0	1
(cahun)	0	0	1
(Cajanus)	0	0	3
(Calu)	0	0	1
(cambiado	0	0	1
(Camcl)	0	0	4
(Camel)	0	0	2
(Campbell)	0	0	1
(Candon)	0	0	1
(Cangkalsewu)	0	0	1
(Caplinger)	0	0	1
(Carif)	0	0	2
(Carlberg)	0	0	1
(Carlsson)	0	0	2
(Carlström)	0	0	1
(Carnahan)	0	0	1
(Carson)	0	0	1
(Carstensen)	0	0	1
(Casaus)	0	0	1
(Casique	0	0	1
(casou	0	0	1
(Casse)	0	0	1
(castano	0	0	1
(Cavalier)	0	0	1
(Cendrawasih)	0	0	1
(Centurione)	0	0	2
(Cernin)	0	0	6
(Cernyn)	0	0	1
(Cerqueira)	0	0	3
(ceylon)	0	0	1
(Charak)	0	0	1
(Charif)	0	0	1
(Charlecka)	0	0	1
(Charlecki)	0	0	5
(Charles	0	0	1
(Charlier)	0	0	1
(Charlińska)	0	0	1
(Chayes)	0	0	2
(Che	0	0	1
(Chencinski)	0	0	1
(Chichimeca)	0	0	1
(Chin	0	0	2
(Chossler)	0	0	2
(Chotlic)	0	0	1
(Christensen)	0	0	2
(Christiansen)	0	0	1
(Christiernin)	0	0	1
(Christoffersen)	0	0	1
(Christofferson)	0	0	1
(Churling)	0	0	1
(Cicit	0	0	2
(Ciesielski)	0	0	2
(Cieszyca)	0	0	1
(Cieszyn)	0	0	1
(Cippriano)	0	0	1
(Claesdotter)/	0	0	1
(claimant)	0	0	1
(Clan	0	0	2
(Claudius)	0	0	2
(Clausen/Claudius)	0	0	1
(Clesby)	0	0	1
(Clessen)	0	0	3
(Clüver)	0	0	1
(Cock)	0	0	4
(Coelho)	0	0	1
(Cof	0	0	1
(Cohn)	0	0	6
(Cokrojoyo)	0	0	1
(Collier)	0	0	1
(Colér)	0	0	1
(Comte)	0	0	1
(comtesse	0	0	1
(Conde	0	0	3
(Condró)	0	0	1
(Conquistador	0	0	3
(conquistador)	0	0	4
(Constenius)	0	0	1
(Copen)	0	0	1
(Coraduzi)	0	0	2
(Correia	0	0	1
(Coss)	0	0	1
(Cosío)	0	0	2
(Coton)	0	0	1
(Coulpe)	0	0	1
(Courtenay)(Courtnye)Courtney	0	0	1
(Courtrai)	0	0	1
(Cox)	0	0	2
(Coyet)	0	0	1
(Crapkoff)	0	0	3
(Crows)	0	0	1
(Cruus	0	0	4
(CT)	0	0	2
(Cucu	0	0	1
(Cuppleen)	0	0	1
(Cutright)	0	0	1
(Céng)	0	0	4
(córka	0	0	1
(d')	0	0	12
(d'Albrigo)	0	0	2
(d'Antigny)	0	0	1
(d'Aversa)	0	0	1
(d'Izarn)	0	0	1
(d.	0	0	2
(D.)	0	0	76
(d.e.)	0	0	1
(d.y.)	0	0	4
(da	0	0	1
(Daeng	0	0	1
(Dafydd)	0	0	1
(Dagestad)	0	0	1
(Dagsland)	0	0	1
(Dahl)	0	0	2
(Dahlen)	0	0	1
(Dahn)	0	0	1
(Dai'-alal-Haq)	0	0	2
(Dai)	0	0	1
(dal	0	0	2
