cluster,geni_id,qid,label_en,born,died,wikidata_component,in_world_tree,geni_url,wikidata_url
wife of Baruch Jafe,6000000007242674789,Q687282,"Henry Benjamin ""Hank"" Greenberg",1911,1986,1116499,yes,https://www.geni.com/people/x/6000000007242674789,https://www.wikidata.org/wiki/Q687282
wife of Baruch Jafe,6000000007242730726,Q113799767,Caral Glazier Gimbel,1914,2008,1116499,yes,https://www.geni.com/people/x/6000000007242730726,https://www.wikidata.org/wiki/Q113799767
wife of Baruch Jafe,6000000007243262938,Q47240104,Bernard Feustman Gimbel,1885,1966,1116499,yes,https://www.geni.com/people/x/6000000007243262938,https://www.wikidata.org/wiki/Q47240104
wife of Baruch Jafe,6000000007243683255,Q132730940,Joseph Lebworth,1922,2008,1116499,yes,https://www.geni.com/people/x/6000000007243683255,https://www.wikidata.org/wiki/Q132730940
wife of Baruch Jafe,6000000007245069594,Q47358720,Bruce Alva Gimbel,1913,1980,1116499,yes,https://www.geni.com/people/x/6000000007245069594,https://www.wikidata.org/wiki/Q47358720
wife of Baruch Jafe,6000000007245073405,Q113799472,Hope Alva Gimbel,1914,2016,1116499,yes,https://www.geni.com/people/x/6000000007245073405,https://www.wikidata.org/wiki/Q113799472
wife of Baruch Jafe,6000000007401032864,Q106188899,Fanny Berg,1809,1875,1116499,yes,https://www.geni.com/people/x/6000000007401032864,https://www.wikidata.org/wiki/Q106188899
wife of Baruch Jafe,6000000007401377209,Q106188910,Koppel Haas,1801,1867,1116499,yes,https://www.geni.com/people/x/6000000007401377209,https://www.wikidata.org/wiki/Q106188910
wife of Baruch Jafe,6000000007515245742,Q63126456,Max (Maximilian) Guetermann,1828,1895,1,no,https://www.geni.com/people/x/6000000007515245742,https://www.wikidata.org/wiki/Q63126456
wife of Baruch Jafe,6000000007571980548,Q138857863,Marie Apollonie Baur,1900,1987,1116499,yes,https://www.geni.com/people/x/6000000007571980548,https://www.wikidata.org/wiki/Q138857863
wife of Baruch Jafe,6000000008102310779,Q7964125,Walter Abraham Haas Sr.,1889,1979,1116499,yes,https://www.geni.com/people/x/6000000008102310779,https://www.wikidata.org/wiki/Q7964125
wife of Baruch Jafe,6000000008102445519,Q16740111,Abraham Haas,1847,1921,1116499,yes,https://www.geni.com/people/x/6000000008102445519,https://www.wikidata.org/wiki/Q16740111
wife of Baruch Jafe,6000000008102469889,Q106188898,Frances Koshland,1865,1949,1116499,yes,https://www.geni.com/people/x/6000000008102469889,https://www.wikidata.org/wiki/Q106188898
wife of Baruch Jafe,6000000008102589124,Q139674944,Marcus Simon Koshland,1858,1930,1116499,yes,https://www.geni.com/people/x/6000000008102589124,https://www.wikidata.org/wiki/Q139674944
wife of Baruch Jafe,6000000008426182843,Q104673736,Sara Wolfes,1868,1942,1,no,https://www.geni.com/people/x/6000000008426182843,https://www.wikidata.org/wiki/Q104673736
wife of Baruch Jafe,6000000010367475827,Q75350198,Charles John Frederick Winn,1896,1968,1116499,yes,https://www.geni.com/people/x/6000000010367475827,https://www.wikidata.org/wiki/Q75350198
wife of Baruch Jafe,6000000010393453710,Q138808460,Mayer Bernheimer,1784,1854,1116499,yes,https://www.geni.com/people/x/6000000010393453710,https://www.wikidata.org/wiki/Q138808460
wife of Baruch Jafe,6000000010393791468,Q138808469,Emanuel Bernheimer,1817,1890,1116499,yes,https://www.geni.com/people/x/6000000010393791468,https://www.wikidata.org/wiki/Q138808469
wife of Baruch Jafe,6000000010425031367,Q455187,Benjamin Guggenheim,1865,1912,1116499,yes,https://www.geni.com/people/x/6000000010425031367,https://www.wikidata.org/wiki/Q455187
wife of Baruch Jafe,6000000010533836824,Q6076874,Isaac Newton Seligman,1855,1917,1116499,yes,https://www.geni.com/people/x/6000000010533836824,https://www.wikidata.org/wiki/Q6076874
wife of Baruch Jafe,6000000010533859812,Q6077095,Isaac Seligmann,1834,1928,1116499,yes,https://www.geni.com/people/x/6000000010533859812,https://www.wikidata.org/wiki/Q6077095
wife of Baruch Jafe,6000000010533931807,Q76545670,Margaret Valentine Seligman,1895,1954,1116499,yes,https://www.geni.com/people/x/6000000010533931807,https://www.wikidata.org/wiki/Q76545670
wife of Baruch Jafe,6000000010534083912,Q136314043,David Isaac Seligmann,1790,1845,1116499,yes,https://www.geni.com/people/x/6000000010534083912,https://www.wikidata.org/wiki/Q136314043
wife of Baruch Jafe,6000000010534100463,Q1708000,Joseph Seligmann,1819,1880,1116499,yes,https://www.geni.com/people/x/6000000010534100463,https://www.wikidata.org/wiki/Q1708000
wife of Baruch Jafe,6000000010534171734,Q2743673,Edwin Robert Anderson Seligman,1861,1939,1116499,yes,https://www.geni.com/people/x/6000000010534171734,https://www.wikidata.org/wiki/Q2743673
wife of Baruch Jafe,6000000010534482572,Q136314366,William Wolf Seligman,1822,1910,1116499,yes,https://www.geni.com/people/x/6000000010534482572,https://www.wikidata.org/wiki/Q136314366
wife of Baruch Jafe,6000000010535075649,Q1642311,Edgar Isaac Seligman,1867,1958,1,no,https://www.geni.com/people/x/6000000010535075649,https://www.wikidata.org/wiki/Q1642311
wife of Baruch Jafe,6000000010535101230,Q111467146,Eustace Seligman,1889,1976,1,no,https://www.geni.com/people/x/6000000010535101230,https://www.wikidata.org/wiki/Q111467146
wife of Baruch Jafe,6000000010535123298,Q131118132,Frances (Fanny) Seligman,1852,1938,1116499,yes,https://www.geni.com/people/x/6000000010535123298,https://www.wikidata.org/wiki/Q131118132
wife of Baruch Jafe,6000000010536137112,Q136400561,Marcel Bernstein,1840,1896,1116499,yes,https://www.geni.com/people/x/6000000010536137112,https://www.wikidata.org/wiki/Q136400561
wife of Baruch Jafe,6000000010536168775,Q98686669,Max Wassermann,1854,1926,2,no,https://www.geni.com/people/x/6000000010536168775,https://www.wikidata.org/wiki/Q98686669
wife of Baruch Jafe,6000000010536360611,Q123554426,Léonore Lena Seligman,1860,1944,2,no,https://www.geni.com/people/x/6000000010536360611,https://www.wikidata.org/wiki/Q123554426
wife of Baruch Jafe,6000000010536427433,Q136314538,Ida Seligman,1854,1921,1116499,yes,https://www.geni.com/people/x/6000000010536427433,https://www.wikidata.org/wiki/Q136314538
wife of Baruch Jafe,6000000010541161540,Q102288750,Sybyl Beddington,1868,1936,1116499,yes,https://www.geni.com/people/x/6000000010541161540,https://www.wikidata.org/wiki/Q102288750
wife of Baruch Jafe,6000000010541759470,Q73597271,Leopold Hirsch,1857,1932,1116499,yes,https://www.geni.com/people/x/6000000010541759470,https://www.wikidata.org/wiki/Q73597271
wife of Baruch Jafe,6000000010601749689,Q233806,Marguerite Guggenheim,1898,1979,1116499,yes,https://www.geni.com/people/x/6000000010601749689,https://www.wikidata.org/wiki/Q233806
wife of Baruch Jafe,6000000010601944437,Q6588759,Meyer Robert (M. Robert) Guggenheim,1885,1959,1116499,yes,https://www.geni.com/people/x/6000000010601944437,https://www.wikidata.org/wiki/Q6588759
wife of Baruch Jafe,6000000011366986651,Q51094866,Philip Lilienthal,1849,1908,1116499,yes,https://www.geni.com/people/x/6000000011366986651,https://www.wikidata.org/wiki/Q51094866
wife of Baruch Jafe,6000000012261956048,Q713011,Henri Léon Gustave Charles Bernstein,1876,1953,1116499,yes,https://www.geni.com/people/x/6000000012261956048,https://www.wikidata.org/wiki/Q713011
wife of Baruch Jafe,6000000012664983413,Q104702625,Elisabeth Mann,1877,1944,1,no,https://www.geni.com/people/x/6000000012664983413,https://www.wikidata.org/wiki/Q104702625
wife of Baruch Jafe,6000000012665054684,Q104450160,Emma Mann,1868,1943,1,no,https://www.geni.com/people/x/6000000012665054684,https://www.wikidata.org/wiki/Q104450160
wife of Baruch Jafe,6000000012675506071,Q104806871,Benno Jakob,1873,1943,1,no,https://www.geni.com/people/x/6000000012675506071,https://www.wikidata.org/wiki/Q104806871
wife of Baruch Jafe,6000000012675798491,Q104408657,Thekla Loeb,1873,1942,1,no,https://www.geni.com/people/x/6000000012675798491,https://www.wikidata.org/wiki/Q104408657
wife of Baruch Jafe,6000000012675966636,Q104806886,Ida Loeb,1876,1944,1,no,https://www.geni.com/people/x/6000000012675966636,https://www.wikidata.org/wiki/Q104806886
wife of Baruch Jafe,6000000012676799787,Q105361735,Martha Lekisch,1875,1942,1,no,https://www.geni.com/people/x/6000000012676799787,https://www.wikidata.org/wiki/Q105361735
wife of Baruch Jafe,6000000012676866167,Q105361733,Lena Lekisch,1874,1942,1,no,https://www.geni.com/people/x/6000000012676866167,https://www.wikidata.org/wiki/Q105361733
wife of Baruch Jafe,6000000012676954262,Q105364678,Friedrich (Fritz*) Leo Loeb,1875,1943,1,no,https://www.geni.com/people/x/6000000012676954262,https://www.wikidata.org/wiki/Q105364678
wife of Baruch Jafe,6000000013448366488,Q55847199,Samuel Nathanel Seligmann Wittersheim,1760,1831,3,no,https://www.geni.com/people/x/6000000013448366488,https://www.wikidata.org/wiki/Q55847199
wife of Baruch Jafe,6000000014142059086,Q138840264,Markus Samuel Schmelkes,1792,1856,1,no,https://www.geni.com/people/x/6000000014142059086,https://www.wikidata.org/wiki/Q138840264
wife of Baruch Jafe,6000000014167799459,Q139675000,Edith R. Guggenheim,1887,1977,1116499,yes,https://www.geni.com/people/x/6000000014167799459,https://www.wikidata.org/wiki/Q139675000
wife of Baruch Jafe,6000000014167835316,Q75760041,Jesse Koshland,1871,1966,1116499,yes,https://www.geni.com/people/x/6000000014167835316,https://www.wikidata.org/wiki/Q75760041
wife of Baruch Jafe,6000000015645335137,Q7964126,Walter Abraham Haas Jr.,1916,1995,1116499,yes,https://www.geni.com/people/x/6000000015645335137,https://www.wikidata.org/wiki/Q7964126
wife of Baruch Jafe,6000000015653946515,Q1050966,Catherine Filene,1896,1994,2,no,https://www.geni.com/people/x/6000000015653946515,https://www.wikidata.org/wiki/Q1050966
wife of Baruch Jafe,6000000015654035463,Q4669019,A. (Abraham) Lincoln Filene,1865,1957,1,no,https://www.geni.com/people/x/6000000015654035463,https://www.wikidata.org/wiki/Q4669019
wife of Baruch Jafe,6000000015891335475,Q5344059,Edward Lasker,1912,1997,1116499,yes,https://www.geni.com/people/x/6000000015891335475,https://www.wikidata.org/wiki/Q5344059
wife of Baruch Jafe,6000000016175820886,Q105455916,Caroline Schloss,1866,1942,1,no,https://www.geni.com/people/x/6000000016175820886,https://www.wikidata.org/wiki/Q105455916
wife of Baruch Jafe,6000000016207783981,Q104252324,Cäcilie Schwarzschild,1873,1942,1,no,https://www.geni.com/people/x/6000000016207783981,https://www.wikidata.org/wiki/Q104252324
wife of Baruch Jafe,6000000017115272903,Q138416797,Rachel Weill,1869,1951,1116499,yes,https://www.geni.com/people/x/6000000017115272903,https://www.wikidata.org/wiki/Q138416797
wife of Baruch Jafe,6000000017115339498,Q138416717,Charles Robert Baur,1862,1927,1116499,yes,https://www.geni.com/people/x/6000000017115339498,https://www.wikidata.org/wiki/Q138416717
wife of Baruch Jafe,6000000017413713945,Q138910168,Ruth F. Koshland,1913,1972,1116499,yes,https://www.geni.com/people/x/6000000017413713945,https://www.wikidata.org/wiki/Q138910168
wife of Baruch Jafe,6000000017661128914,Q139674953,Eleanor Haas,1901,1959,1116499,yes,https://www.geni.com/people/x/6000000017661128914,https://www.wikidata.org/wiki/Q139674953
wife of Baruch Jafe,6000000017661128922,Q585081,Daniel Edward Koshland Jr.,1920,2007,1116499,yes,https://www.geni.com/people/x/6000000017661128922,https://www.wikidata.org/wiki/Q585081
wife of Baruch Jafe,6000000017661382450,Q106188902,Rosine Frauenthal,1829,1911,1116499,yes,https://www.geni.com/people/x/6000000017661382450,https://www.wikidata.org/wiki/Q106188902
wife of Baruch Jafe,6000000017826316689,Q59112,Barbara Wertheim,1912,1989,6,no,https://www.geni.com/people/x/6000000017826316689,https://www.wikidata.org/wiki/Q59112
wife of Baruch Jafe,6000000017826515650,Q450751,Henry Morgenthau Jr.,1891,1967,1116499,yes,https://www.geni.com/people/x/6000000017826515650,https://www.wikidata.org/wiki/Q450751
wife of Baruch Jafe,6000000018544001001,Q3421006,Raymond Lindon,1901,1992,1116499,yes,https://www.geni.com/people/x/6000000018544001001,https://www.wikidata.org/wiki/Q3421006
wife of Baruch Jafe,6000000019170443311,Q138857934,Nicole Dreyfus,1925,1947,1116499,yes,https://www.geni.com/people/x/6000000019170443311,https://www.wikidata.org/wiki/Q138857934
wife of Baruch Jafe,6000000020134622770,Q21176719,Elinor Fatman,1892,1949,1116499,yes,https://www.geni.com/people/x/6000000020134622770,https://www.wikidata.org/wiki/Q21176719
wife of Baruch Jafe,6000000020134905315,Q20737580,Henry B Morgenthau III,1917,2018,1116499,yes,https://www.geni.com/people/x/6000000020134905315,https://www.wikidata.org/wiki/Q20737580
wife of Baruch Jafe,6000000020801198805,Q1496426,Maurice Alexis Wertheim,1886,1950,6,no,https://www.geni.com/people/x/6000000020801198805,https://www.wikidata.org/wiki/Q1496426
wife of Baruch Jafe,6000000022892723008,Q1116924,Daphne van Beuren Bayne,1915,2002,1,no,https://www.geni.com/people/x/6000000022892723008,https://www.wikidata.org/wiki/Q1116924
wife of Baruch Jafe,6000000022963861444,Q140356549,Emmanuel Weill,1841,1925,1,no,https://www.geni.com/people/x/6000000022963861444,https://www.wikidata.org/wiki/Q140356549
wife of Baruch Jafe,6000000023279744965,Q105360954,Rosa Bruell,1865,,1,no,https://www.geni.com/people/x/6000000023279744965,https://www.wikidata.org/wiki/Q105360954
wife of Baruch Jafe,6000000023639198126,Q2848232,"""André"" Alexis Manuel",1905,1991,1,no,https://www.geni.com/people/x/6000000023639198126,https://www.wikidata.org/wiki/Q2848232
wife of Baruch Jafe,6000000023745004807,Q13562995,Helen Morgenthau,1884,1974,1116499,yes,https://www.geni.com/people/x/6000000023745004807,https://www.wikidata.org/wiki/Q13562995
wife of Baruch Jafe,6000000024686040842,Q1376151,Philip Arthur Fisher,1907,2004,2,no,https://www.geni.com/people/x/6000000024686040842,https://www.wikidata.org/wiki/Q1376151
wife of Baruch Jafe,6000000024717026541,Q139675022,"Edith ""Didi"" May Koshland",1910,2000,1116499,yes,https://www.geni.com/people/x/6000000024717026541,https://www.wikidata.org/wiki/Q139675022
wife of Baruch Jafe,6000000025057317505,Q105459102,Betty Brand,1867,1942,1,no,https://www.geni.com/people/x/6000000025057317505,https://www.wikidata.org/wiki/Q105459102
wife of Baruch Jafe,6000000025069297996,Q104672996,Edith Weil,1873,1942,1,no,https://www.geni.com/people/x/6000000025069297996,https://www.wikidata.org/wiki/Q104672996
wife of Baruch Jafe,6000000025069323257,Q55679100,Sigmund Weil,1881,1961,1,no,https://www.geni.com/people/x/6000000025069323257,https://www.wikidata.org/wiki/Q55679100
wife of Baruch Jafe,6000000025069487275,Q105460970,Luise Heß,1856,1942,1,no,https://www.geni.com/people/x/6000000025069487275,https://www.wikidata.org/wiki/Q105460970
wife of Baruch Jafe,6000000025069751890,Q563060,Anna Stettenheimer Dr. rer. nat.,1884,1953,1,no,https://www.geni.com/people/x/6000000025069751890,https://www.wikidata.org/wiki/Q563060
wife of Baruch Jafe,6000000025841068406,Q105463962,Jette Heilbronner,1855,1942,1,no,https://www.geni.com/people/x/6000000025841068406,https://www.wikidata.org/wiki/Q105463962
wife of Baruch Jafe,6000000026108207431,Q98594908,"Ignatz ""Igne"" Steinhardt",1840,1917,1116499,yes,https://www.geni.com/people/x/6000000026108207431,https://www.wikidata.org/wiki/Q98594908
wife of Baruch Jafe,6000000026108407340,Q98594935,Sigmund Steinhardt,1832,1910,1116499,yes,https://www.geni.com/people/x/6000000026108407340,https://www.wikidata.org/wiki/Q98594935
wife of Baruch Jafe,6000000026509537435,Q3189704,Julien Isaïe Weill,1873,1950,1116499,yes,https://www.geni.com/people/x/6000000026509537435,https://www.wikidata.org/wiki/Q3189704
wife of Baruch Jafe,6000000027252167570,Q708713,Dr. Arthur Blumenthal,1874,1939,1,no,https://www.geni.com/people/x/6000000027252167570,https://www.wikidata.org/wiki/Q708713
wife of Baruch Jafe,6000000027704478979,Q75286,Emanuel Maximilian Eduard Lilienthal,1814,1882,1116499,yes,https://www.geni.com/people/x/6000000027704478979,https://www.wikidata.org/wiki/Q75286
wife of Baruch Jafe,6000000027705947345,Q5539913,George Grey Wornum,1888,1957,6,no,https://www.geni.com/people/x/6000000027705947345,https://www.wikidata.org/wiki/Q5539913
wife of Baruch Jafe,6000000027707549916,Q30103434,Michael Wornum,1925,1995,6,no,https://www.geni.com/people/x/6000000027707549916,https://www.wikidata.org/wiki/Q30103434
wife of Baruch Jafe,6000000028281946403,Q104543203,Pauline Dessauer,1874,1942,1,no,https://www.geni.com/people/x/6000000028281946403,https://www.wikidata.org/wiki/Q104543203
wife of Baruch Jafe,6000000028355250318,Q107345384,Gladys Hettie Weil,1888,1968,1,no,https://www.geni.com/people/x/6000000028355250318,https://www.wikidata.org/wiki/Q107345384
wife of Baruch Jafe,6000000029824736404,Q138415491,Therese Baur,1902,1995,1116499,yes,https://www.geni.com/people/x/6000000029824736404,https://www.wikidata.org/wiki/Q138415491
wife of Baruch Jafe,6000000029854941152,Q2958495,Charles Baur,1929,2015,1,no,https://www.geni.com/people/x/6000000029854941152,https://www.wikidata.org/wiki/Q2958495
wife of Baruch Jafe,6000000029855150499,Q2847231,ANDRE Baur,1904,1944,1116499,yes,https://www.geni.com/people/x/6000000029855150499,https://www.wikidata.org/wiki/Q2847231
wife of Baruch Jafe,6000000030005237947,Q94918973,Fanny Alexander,1855,1942,1,no,https://www.geni.com/people/x/6000000030005237947,https://www.wikidata.org/wiki/Q94918973
wife of Baruch Jafe,6000000030753467589,Q95106312,Ida Klara* Grünwald,1873,1942,1,no,https://www.geni.com/people/x/6000000030753467589,https://www.wikidata.org/wiki/Q95106312
wife of Baruch Jafe,6000000031481873209,Q104450273,Sara Sofie Schwarz,1882,1942,1,no,https://www.geni.com/people/x/6000000031481873209,https://www.wikidata.org/wiki/Q104450273
wife of Baruch Jafe,6000000031990280761,Q5534920,Geoffrey Theodore Hellman,1907,1977,1116499,yes,https://www.geni.com/people/x/6000000031990280761,https://www.wikidata.org/wiki/Q5534920
wife of Baruch Jafe,6000000032721054236,Q1825277,Lily Emilie Rosenthal,1894,1968,5,no,https://www.geni.com/people/x/6000000032721054236,https://www.wikidata.org/wiki/Q1825277
wife of Baruch Jafe,6000000035992459543,Q139795274,Lavinia Bernheimer,,,1116499,yes,https://www.geni.com/people/x/6000000035992459543,https://www.wikidata.org/wiki/Q139795274
wife of Baruch Jafe,6000000036366673671,Q89585618,Jacques Henri Wiener,1907,1985,1,no,https://www.geni.com/people/x/6000000036366673671,https://www.wikidata.org/wiki/Q89585618
wife of Baruch Jafe,6000000037118142215,Q105392787,Jacob Simon,1865,1943,1,no,https://www.geni.com/people/x/6000000037118142215,https://www.wikidata.org/wiki/Q105392787
wife of Baruch Jafe,6000000037118445925,Q104218634,Eugenie Simon,1869,1942,1,no,https://www.geni.com/people/x/6000000037118445925,https://www.wikidata.org/wiki/Q104218634
wife of Baruch Jafe,6000000038767006120,Q105454521,"Isabella ""Bella"" Hahn",1879,1944,1,no,https://www.geni.com/people/x/6000000038767006120,https://www.wikidata.org/wiki/Q105454521
wife of Baruch Jafe,6000000039020922301,Q104807688,Paul Kahn,1869,1942,1,no,https://www.geni.com/people/x/6000000039020922301,https://www.wikidata.org/wiki/Q104807688
wife of Baruch Jafe,6000000041118869632,Q138415666,Marcel Nathan Baur,1896,1962,1116499,yes,https://www.geni.com/people/x/6000000041118869632,https://www.wikidata.org/wiki/Q138415666
wife of Baruch Jafe,6000000047347943848,Q140918067,John Milton Gitterman Ph.D.,1867,,1,no,https://www.geni.com/people/x/6000000047347943848,https://www.wikidata.org/wiki/Q140918067
wife of Baruch Jafe,6000000047348029573,Q15126669,Simon Sterne Hon.,1839,1901,1,no,https://www.geni.com/people/x/6000000047348029573,https://www.wikidata.org/wiki/Q15126669
wife of Baruch Jafe,6000000056943005180,Q634150,Charles Gerstle Levison,1905,2007,1,no,https://www.geni.com/people/x/6000000056943005180,https://www.wikidata.org/wiki/Q634150
wife of Baruch Jafe,6000000063253619897,Q6761921,Marian Elliot,1921,1997,1116499,yes,https://www.geni.com/people/x/6000000063253619897,https://www.wikidata.org/wiki/Q6761921
wife of Baruch Jafe,6000000069667386878,Q2524433,Viktor Franz Xaver Wilhelm Russ,1840,1920,1,no,https://www.geni.com/people/x/6000000069667386878,https://www.wikidata.org/wiki/Q2524433
wife of Baruch Jafe,6000000069667500925,Q1695403,Johann Ludwig Gabriel Löwenfeld,1873,1945,1,no,https://www.geni.com/people/x/6000000069667500925,https://www.wikidata.org/wiki/Q1695403
wife of Baruch Jafe,6000000130213811931,Q105455366,Ernst Peiser,1893,1944,1,no,https://www.geni.com/people/x/6000000130213811931,https://www.wikidata.org/wiki/Q105455366
wife of Baruch Jafe,6000000130214029997,Q105354496,Salomon Blum,1864,1943,1,no,https://www.geni.com/people/x/6000000130214029997,https://www.wikidata.org/wiki/Q105354496
wife of Baruch Jafe,6000000130214087860,Q95125764,Erna Blum,1900,1944,1,no,https://www.geni.com/people/x/6000000130214087860,https://www.wikidata.org/wiki/Q95125764
wife of Baruch Jafe,6000000176115704842,Q19287236,Julius Guggenheimer,1885,1943,4,no,https://www.geni.com/people/x/6000000176115704842,https://www.wikidata.org/wiki/Q19287236
wife of Samuel Standen,6000000050650155828,Q42,Douglas Noel Adams,1952,2001,6,no,https://www.geni.com/people/x/6000000050650155828,https://www.wikidata.org/wiki/Q42
wife of Samuel Standen,6000000177005843822,Q74698102,Helen Smith,1882,1924,1116499,yes,https://www.geni.com/people/x/6000000177005843822,https://www.wikidata.org/wiki/Q74698102
