geni_id	qid	en_label	n_cjk_forms	candidate_label	given|surname|_MARNM per record	display_join_forms
6000000016688843277	Q45426900	Lu Ci	2	陸賜	賜 思祖|吳郡吳縣|陸 ;; || ;; 賜 思祖|吳郡吳縣|陸	賜 思祖 吳郡吳縣 | Lu Ci 陸賜
6000000016688906019	Q45426775	Lu Wen	2	陸文	文 孝平|吳郡吳縣|陸 ;; || ;; 文 孝平|吳郡吳縣|陸	文 孝平 吳郡吳縣 | Lu Wen 陸文
6000000016699746684	Q45422167	Lu Rong	2	陸融	融|吳郡吳縣|陸 ;; || ;; 融|吳郡吳縣|陸	融 吳郡吳縣 | Lu Rong 陸融
6000000016707215683	Q45588206	Lu Yi	2	陸翊	翊|吳郡吳縣|陸 ;; || ;; 翊|吳郡吳縣|陸	翊 吳郡吳縣 | Lu Yi 陸翊
6000000016708988944	Q45358111	Lu Zai	2	陸宰	宰 元鈞|越州山陰|陸 ;; || ;; 宰 元鈞|越州山陰|陸	宰 元鈞 越州山陰 | Lu Zai 陸宰
6000000017547984176	Q10484733	Yelü Pidie	3	耶律毗牒	毗牒|臨潢|耶律 ;; || ;; 毗牒|臨潢|耶律 ;; ||	毗牒 臨潢 | Yelü Pidie 耶律毗牒 | 耶律毗牒
6000000017553305700	Q45489405	Yan Baoshou	3	燕寶壽	寶壽||燕 ;; || ;; 寶壽|燕| ;; ||	寶壽 | 燕寶壽 | 寶壽 燕
6000000017553941246	Q134079944		1	楊	|弘農華陰|楊 ;; |弘農華陰|楊	弘農華陰
6000000017554490033	Q45438460	Zhou Daowu	1	周道務	道務|汝南安成|周 ;; 道務|汝南安成|周	道務 汝南安成
6000000018175300799	Q107004272	Nie Qipu	1	聶其璞	其璞 叔瑜|湖南衡山|聶 ;; 其璞 叔瑜|湖南衡山|聶	其璞 叔瑜 湖南衡山
6000000018175300829	Q133272317		1	聶其德	其德 伯瑩|湖南衡山|聶 ;; 其德 伯瑩|湖南衡山|聶	其德 伯瑩 湖南衡山
6000000018175300844	Q112683787	Nie Qichun	1	聶其純	其純 筱舜|湖南衡山|聶 ;; 其純 筱舜|湖南衡山|聶	其純 筱舜 湖南衡山
6000000018376001321	Q97819453	Freddy Lee	1		||	Freddy LEE Thiam Yew 李天耀
6000000019351158032	Q45388520	Lu Ziyu	2	陸子遹	子遹|越州山陰|陸 ;; || ;; 子遹|越州山陰|陸	子遹 越州山陰 | Lu Ziyu 陸子遹
6000000019863336788	Q45400323	Zeng Xiaochun	3	Zēng 曾孝純	孝純 君施|Zēng 曾|Zēng 曾 ;; || ;; 孝純 君施|泉州晉江|曾	孝純 君施 Zēng 曾 | Zēng Xiào Chun 曾孝純, 114, 102, 49, 45, 10世 | 孝純 君施 泉州晉江
6000000019864296842	Q45375499	Zeng Gongdu	2	曾公度	公度|泉州晉江|曾 ;; || ;; 公度|泉州晉江|曾	公度 泉州晉江 | Zēng Gōng Dù 曾公度, 113, 101, 48, 44, 9世
6000000019864575796	Q45362817	Zeng Gongwang	3	Zēng 曾公望	公望 武仲|Zēng 曾|Zēng 曾 ;; || ;; 公望 武仲|泉州晉江|曾	公望 武仲 Zēng 曾 | Zēng Gōng Wàng 曾公望, 113, 101, 48, 44, 9世 | 公望 武仲 泉州晉江
6000000019864619667	Q45375502	Zeng Gongshi	2	曾公奭	公奭|泉州晉江|曾 ;; || ;; 公奭|泉州晉江|曾	公奭 泉州晉江 | Zēng Gōng Shì 曾公奭, 113, 101, 48, 44, 9世
6000000019865077518	Q45375504	Zeng Gongding	2	曾公定	公定|泉州晉江|曾 ;; || ;; 公定|泉州晉江|曾	公定 泉州晉江 | Zēng Gōng Dìng 曾公定, 113, 101, 48, 44, 9世
6000000019865504060	Q45400347	Zeng Cheng	2	曾誠	誠 存之|泉州晉江|曾 ;; || ;; 誠 存之|泉州晉江|曾	誠 存之 泉州晉江 | Zēng Chéng 曾誠, 115, 103, 50, 46, 11世
6000000019867728243	Q45375497	Zeng Yu	2	曾愈	愈|泉州晉江|曾 ;; || ;; 愈|泉州晉江|曾	愈 泉州晉江 | Zēng Yù 曾愈, 112, 100, 47, 43, 8世
6000000019867751396	Q45400330	Zeng Mu	2	曾穆	穆 深遠|泉州晉江|曾 ;; || ;; 穆 深遠|泉州晉江|曾	穆 深遠 泉州晉江 | Zēng Mù 曾穆, 111, 99, 46, 42, 7世
6000000019867860153	Q45375490	Zeng Hui	2	曾會	會 宗元|泉州晉江|曾 ;; || ;; 會 宗元|泉州晉江|曾	會 宗元 泉州晉江 | Zēng Huì 曾會, 112, 100, 47, 43, 8世
6000000020601867750	Q15892829	Yan Qinli	2	顏勤禮	勤禮 敬弘|琅邪臨沂|顏 ;; || ;; 勤禮 敬弘|琅邪臨沂|顏	勤禮 敬弘 琅邪臨沂 | Yan Quanli 顏勸禮
6000000020602121434	Q22814233	Yan Zhaofu	2	顏昭甫	昭甫 周卿|琅邪臨沂|顏 ;; || ;; 昭甫 周卿|琅邪臨沂|顏	昭甫 周卿 琅邪臨沂 | Yan Zhaofu 顏昭甫
6000000020602168168	Q18909081	Yan Weizhen	2	顏惟貞	惟貞 叔堅|琅邪臨沂|顏 ;; || ;; 惟貞 叔堅|琅邪臨沂|顏	惟貞 叔堅 琅邪臨沂 | Yan Weizhen 顏惟真
6000000021121514279	Q45421751	Liu Jiatai	2	柳嘉泰	嘉泰|河東解縣|柳 ;; || ;; 嘉泰|河東解縣|柳	嘉泰 河東解縣 | Liu Jiatai 柳嘉泰
6000000021121709617	Q11109368	Liu Heng	2	柳亨	亨|河東解縣|柳 ;; || ;; 亨|河東解縣|柳	亨 河東解縣 | Liu Heng 柳享
6000000021122034508	Q45420321	Liu Hong	2	柳弘	弘 匡道|河東解縣|柳 ;; || ;; 弘 匡道|河東解縣|柳	弘 匡道 河東解縣 | Liu Hong 柳弘
6000000021122065158	Q28479674	Liu Shuang	2	柳爽	爽|河東解縣|柳 ;; || ;; 爽|河東解縣|柳	爽 河東解縣 | Liu Shuang 柳爽
6000000021122067554	Q1567136	Liu Shi	2	柳奭	奭 子邵|河東解縣|柳 ;; || ;; 奭 子邵|河東解縣|柳	奭 子邵 河東解縣 | Liu Shi 柳奭
6000000021122163291	Q28481660	Liu Ze	2	柳則	則|河東解縣|柳 ;; || ;; 則|河東解縣|柳	則 河東解縣 | Liu Ze 柳則
6000000021138184308	Q26208790	Wei Xu	2	韋旭	旭|京兆杜陵|韋 ;; || ;; 旭|京兆杜陵|韋	旭 京兆杜陵 | Wei Xu 韋旭
6000000021138478189	Q45526862	Wei Ji	1	韋霽	霽|京兆杜陵|韋 ;; 霽|京兆杜陵|韋	霽 京兆杜陵
6000000021150558686	Q11075491	Fang Yanqian	2	房彥謙	彥謙 孝沖|清河|房 ;; || ;; 彥謙 孝沖|清河|房	彥謙 孝沖 清河 | Fang Yanqian 房彥謙
6000000021150948489	Q22813977	Xiao Heng	2	蕭恒	恒 公岳|蘭陵|蕭 ;; || ;; 恒 公岳|蘭陵|蕭	恒 公岳 蘭陵 | Xiao Heng 蕭恆
6000000021150949252	Q45385211	Fang Yi	2	房翼	翼|清河|房 ;; || ;; 翼|清河|房	翼 清河 | Fang Yi 房翼
6000000021150959807	Q22813971	Xiao Jun	2	蕭鈞	鈞|蘭陵|蕭 ;; || ;; 鈞|蘭陵|蕭	鈞 蘭陵 | Xiao Jun 蕭鈞
6000000021151014406	Q45385209	Fang Bozu	2	房伯祖	伯祖|清河|房 ;; || ;; 伯祖|清河|房	伯祖 清河 | Fang Bozu 房伯祖
6000000021151058350	Q45518224	Fang Yize	2	房遺則	遺則|清河|房 ;; || ;; 遺則|清河|房	遺則 清河 | Fang Yize 房遺則
6000000021151069727	Q16078093	Xiao Xun	2	蕭珣	珣|南蘭陵|蕭 ;; || ;; 珣|南蘭陵|蕭	珣 南蘭陵 | Xiao Xun 蕭珣
6000000021151155640	Q22813981	Xiao Wu	2	蕭悟	悟|蘭陵|蕭 ;; || ;; 悟|蘭陵|蕭	悟 蘭陵 | Xiao Wu 蕭悟
6000000021151195411	Q45373981	Xiao Zhan	2	蕭湛	湛|蘭陵|蕭 ;; || ;; 湛|蘭陵|蕭	湛 蘭陵 | Xiao Zhan 蕭湛
6000000021151256523	Q22813931	Xiao Ju	2	蕭鉅	鉅|蘭陵|蕭 ;; || ;; 鉅|蘭陵|蕭	鉅 蘭陵 | Xiao Ju 蕭鉅
6000000021151304975	Q22813973	Xiao Guan	2	蕭灌	灌 玄茂|蘭陵|蕭 ;; || ;; 灌 玄茂|蘭陵|蕭	灌 玄茂 蘭陵 | Xiao Guan 蕭瓘
6000000021151385042	Q45385214	Fang Xiong	2	房熊	熊 子繹|清河|房 ;; || ;; 熊 子繹|清河|房	熊 子繹 清河 | Fang Xiong 房熊
6000000021151478051	Q45373968	Xiao Heng	2	蕭衡	衡|蘭陵|蕭 ;; || ;; 衡|蘭陵|蕭	衡 蘭陵 | Xiao Heng 蕭衡
6000000021151478069	Q8044210	Xiao Fu	2	蕭復	復 履初|蘭陵|蕭 ;; || ;; 復 履初|蘭陵|蕭	復 履初 蘭陵 | Xiao Fu 蕭復
6000000021151487032	Q8044240	Xiao Zhi	2	蕭寘	寘|蘭陵|蕭 ;; || ;; 寘|蘭陵|蕭	寘 蘭陵 | Xiao Zhi 蕭寘
6000000021151501959	Q45422805	Xiao Sheng	2	蕭升	升|蘭陵|蕭 ;; || ;; 升|蘭陵|蕭	升 蘭陵 | Xiao Sheng 蕭升
6000000021151516915	Q10511544	Xiao Siye	2	蕭嗣業	嗣業|蘭陵|蕭 ;; || ;; 嗣業|蘭陵|蕭	嗣業 蘭陵 | Xiao Siye 蕭嗣業
6000000021163779714	Q45420548	Pei Rong	2	裴融	融|河東聞喜|裴 ;; || ;; 融|河東聞喜|裴	融 河東聞喜 | Pei Rong 裴融
6000000021163783779	Q45420556	Pei Chengxian	2	裴承先	承先|河東聞喜|裴 ;; || ;; 承先|河東聞喜|裴	承先 河東聞喜 | Pei Chengxian 裴承先
6000000021163898130	Q45420550	Pei Xiaoyu	2	裴孝瑜	孝瑜|河東聞喜|裴 ;; || ;; 孝瑜|河東聞喜|裴	孝瑜 河東聞喜 | Pei Xiaoyu 裴孝瑜
6000000021163999904	Q33402389	Pei Lushi	2	裴律師	律師|河東聞喜|裴 ;; || ;; 律師|河東聞喜|裴	律師 河東聞喜 | Pei Lushi 裴律師
6000000021237699403	Q45498960	Zhangsun Cui	2	長孫璀	璀 字璀|河南洛陽|長孫 ;; || ;; 璀 字璀|河南洛陽|長孫	璀 字璀 河南洛陽 | Zhangsun Cui 長孫璀
6000000021240523343	Q134081021		1	魏	|鉅鹿曲城|魏 ;; |鉅鹿曲城|魏	鉅鹿曲城
6000000021260901339	Q10513912	Xiao Xia	2	蕭鎋	鎋|南蘭陵|蕭 ;; || ;; 鎋|南蘭陵|蕭	鎋 南蘭陵 | Xiao Xia 蕭鎋
6000000021260943072	Q45420819	Xiao Fu	2	蕭道賜	道賜|南蘭陵|蕭 ;; || ;; 道賜|南蘭陵|蕭	道賜 南蘭陵 | Xiao Daoci 蕭道賜
6000000021260997305	Q10511382	Xiao Lezi	2	蕭樂子	樂子 閨子|南蘭陵|蕭 ;; || ;; 樂子 閨子|南蘭陵|蕭	樂子 閨子 南蘭陵 | Xiao Lezi 蕭樂子
6000000021261083078	Q10511856	Xiao Jun	2	蕭雋	雋 子武|南蘭陵|蕭 ;; || ;; 雋 子武|南蘭陵|蕭	雋 子武 南蘭陵 | Xiao Jun 蕭雋
6000000021651887195	Q15924962	Chen Yaozi	2	陳堯咨	堯咨 嘉謨|閬州閬中|陳 ;; || ;; 堯咨 嘉謨|閬州閬中|陳	堯咨 嘉謨 閬州閬中 | Chen Yaozi 陳堯咨
6000000022293564329	Q10564129	Qian Chen	2	錢忱	忱 伯誠|杭州錢塘|錢 ;; || ;; 忱 伯誠|杭州錢塘|錢	忱 伯誠 杭州錢塘 | Qian Chen 錢忱
6000000022699771819	Q45419659	Zhang Chu	2	張埱	埱 正平|范陽方城|張 ;; || ;; 埱 正平|范陽方城|張	埱 正平 范陽方城 | Zhang Chu 張埱
6000000023420281775	Q117312658	Lady Cui	1	崔	|清河東武城|崔 ;; |清河東武城|崔	清河東武城
6000000023531494618	Q45397604	Du Yin	2	杜尹	尹|京兆杜陵|杜 ;; || ;; 尹|京兆杜陵|杜	尹 京兆杜陵 | Du Yin 杜尹
6000000023701103686	Q15944710	Wang Yue	2	王悅	悅 長豫|琅邪臨沂|王 ;; || ;; 悅 長豫|琅邪臨沂|王	悅 長豫 琅邪臨沂 | Wang Yue 王悅
6000000023701407225	Q15928529	Wang Huizhi	2	王徽之	徽之 子遒|琅邪臨沂|王 ;; || ;; 徽之 子遒|琅邪臨沂|王	徽之 子遒 琅邪臨沂 | Wang Huizhi 王徽之
6000000023701474092	Q45408771	Wang Qizhi	2	王耆之	耆之|琅邪臨沂|王 ;; || ;; 耆之|琅邪臨沂|王	耆之 琅邪臨沂 | Wang Qizhi 王耆之
6000000023701606979	Q76825137		1	羊	|泰山南城|羊 ;; |泰山南城|羊	泰山南城
6000000023701655958	Q134098549		1	夏侯	|沛國譙縣|夏侯 ;; |沛國譙縣|夏侯	沛國譙縣
6000000023724535326	Q45408733	Wang Xiang	2	王祥	祥 休徵|琅邪臨沂|王 ;; || ;; 祥 休徵|琅邪臨沂|王	祥 休徵 琅邪臨沂 | Wang Xiang 王祥
6000000023724556349	Q15902305	Wang Xun	2	王珣	珣 元琳|琅邪臨沂|王 ;; || ;; 珣 元琳|琅邪臨沂|王	珣 元琳 琅邪臨沂 | Wang Xun 王珣
6000000023809804573	Q32176056	Pei Ji	2	裴輯	輯|河東聞喜|裴 ;; || ;; 輯|河東聞喜|裴	輯 河東聞喜 | Pei Ji 裴輯
6000000023809875333	Q45420435	Pei Ye	2	裴曄	曄|河東聞喜|裴 ;; || ;; 曄|河東聞喜|裴	曄 河東聞喜 | Pei Ye 裴曄
6000000023809880404	Q32173305	Pei Hui	2	裴徽	徽 文秀|河東聞喜|裴 ;; || ;; 徽 文秀|河東聞喜|裴	徽 文秀 河東聞喜 | Pei Hui 裴徽
6000000023810021671	Q32175265	Pei Li	2	裴黎	黎 伯宗|河東聞喜|裴 ;; || ;; 黎 伯宗|河東聞喜|裴	黎 伯宗 河東聞喜 | Pei Li 裴黎
6000000024960994932	Q8031963	Wong Ah Fook	5		Ah Fook Ah Fook|黄|Wong ;; || ;; 亚福|黄|黄 ;; || ;; 亞福|黃|黃	Ah Fook Ah Fook 黄 | WONG Ah Fook, 黄亚福, 號:黄甫田 | 亚福 黄 | WONG Ah Fook 黄亚福 | 亞福 黃
6000000025294006468	Q75977879	Lee Bok Boon	1		||	LEE Bok Boon 李沐文協裔, 139,25世
6000000025343431963	Q75977811	Lee Kim Yew	1		||	Dennis LEE Kim Yew 李金耀
6000000025610881375	Q26158720	Zheng Bin	2	鄭賓	賓|河南開封|鄭 ;; || ;; 賓|河南開封|鄭	賓 河南開封 | Zhèng Bīn 鄭賓, 78, 29
6000000025610978146	Q26158718	Zheng Zhi	3	鄭 Zhèng稚	稚|鄭 Zhèng|鄭 Zhèng ;; || ;; 稚|河南開封|鄭	稚 鄭 Zhèng | Zhèng Zhì 鄭稚, 77, 28 | 稚 河南開封
6000000025612835119	Q26158726	Zheng Heng	2	鄭興	興 少贛|河南開封|鄭 ;; || ;; 興 少贛|河南開封|鄭	興 少贛 河南開封 | Zhèng Xìng 鄭興, 79, 30
6000000025613759872	Q26158730	Zheng Anshi	2	鄭安世	安世|河南開封|鄭 ;; || ;; 安世|河南開封|鄭	安世 河南開封 | Zhèng Ān Shì 鄭安世, 81, 32
6000000028794728345	Q133281707		1	陳光磯	光磯|湖南茶陵|陳 ;; 光磯|湖南茶陵|陳	光磯 湖南茶陵
6000000028795039661	Q133281702		2	朱沛	沛 澤農||朱 ;; 沛 澤農|朱|	沛 澤農 | 沛 澤農 朱
6000000032399964890	Q107026078	Gloria Woo Sau Yin	2		|| ;; 秀妍|胡|	Gloria WOO Sau Yin, 胡秀妍 | 秀妍 胡
6000000032656811292	Q115042269		2	曾紹傑	紹傑||曾 ;; 紹傑|曾|	紹傑 | 紹傑 曾
6000000032657100856	Q11091542	Zeng Zhaoyu	1	曾昭燏	昭燏|湖南湘鄉|曾 ;; 昭燏|湖南湘鄉|曾	昭燏 湖南湘鄉
6000000036583770649	Q45365249	Wang Yi	2	王益	益 損之|撫州臨川|王 ;; || ;; 益 損之|撫州臨川|王	益 損之 撫州臨川 | Wang Yi 王益
6000000036583996670	Q16077282	Wang Anguo	2	王安國	安國 平甫|撫州臨川|王 ;; || ;; 安國 平甫|撫州臨川|王	安國 平甫 撫州臨川 | Wang Anguo 王安國
6000000036584101714	Q45389716	Wang Ming	2	王明	明|撫州臨川|王 ;; || ;; 明|撫州臨川|王	明 撫州臨川 | Wang Ming 王明
6000000036584237464	Q45362986	Wang Guanzhi	2	王觀之	觀之|撫州臨川|王 ;; || ;; 觀之|撫州臨川|王	觀之 撫州臨川 | Wang Guanzhi 王貫之
