sha,category,bytes,copies,example_path
098f619e7a9f9cf93938a8557efb0e95de8997ac,Facebook like-button frame,30829,1,paths_for_wikidata_isolates/Geni - Giovanni di Lorenzo de' Medici (1475-1521)- Rome_files/like.html
3c9b2bb8738a7f4db3f5bc2aabbff2d5fe356b34,Facebook like-button frame,30829,1,paths_for_wikidata_isolates/Geni - John Johnsen Norem (1888-1976)- Stavanger_files/like.html
1c914d83290824b87f80861821f2ae9916152b9f,Facebook like-button frame,30826,1,paths_for_wikidata_isolates/Geni - Martin Welker (1819-1902)- Wooster_files/like.html
d4b4d38ea8b822939bbaebc372eef73b6e0ac400,Facebook like-button frame,30825,1,paths_for_wikidata_isolates/Geni - Olaf Helliesen Lange (1875-1965)- Stavanger_files/like.html
158d0db57d86a755439d3ca239fb2012cec0fe44,Facebook like-button frame,30823,1,paths_for_wikidata_isolates/Geni - Prof. Dr. Julius Hirschwald (1845-1928)_files/like.html
8c7f8b8677df8cfe59799ae3cf434144deb2ad39,Facebook like-button frame,30821,1,paths_for_wikidata_isolates/Geni - Eugène Napoleon Theodor Fredrik Gustaf Tigerstedt (1907-1979)_files/like.html
ce6df881cfdbd113ff11b0893fe6492d03693efb,Facebook like-button frame,30819,1,paths_for_wikidata_isolates/Geni - Professor Stig Fredrik Sigurd Lindberg (1916-1982)- Circeo-Terracina_files/like.html
135007a7e3af5b78359c8ee09da3b5ec28e8de26,Facebook like-button frame,30816,1,paths_for_wikidata_isolates/Geni - Lars Kristian Holm Brynildsen (1954-2009)- Bergen_files/like.html
8cf98235d9eb2c124464ed56048bfe2aaa8effd5,Facebook like-button frame,30815,1,paths_for_wikidata_isolates/Geni - Dr. Jacob Mendes da Costa (1833-1900)- Villanova_files/like.html
7790905628993a4d38ba9696a505a235f23c3649,Facebook like-button frame,30814,1,paths_for_wikidata_isolates/Geni - Paavo Matti Väyrynen_files/like.html
