geni_id	person	token	father_geni	father_qid	father_p735	p144_targets	status	person_qid
328122852240006970	Nils Nilsson Midt-Fister d.y	nilsson	328126701460004633	Q141244117	Q16423038	Q16423038 Q2001572 Q16280122 Q16423038 Q16423038	RESOLVES	Q141244118
328153368140006969	Claes Brorsson Rålamb	brorsson	6000000006796244393	Q6086462	Q4563550	Q4563550	RESOLVES	Q5125016
329482773230005797	Georg Christoffersson Moback	christoffersson	6000000007026413129	Q141101633	Q1084472	Q1084384 Q1084472 Q1789415	RESOLVES	
329660282540006121	Gabriel Kristiernsson Oxenstierna till Mörby	kristiernsson	6000000007510676522	Q6145052	Q18001597		patronymic item has no P144 derivation	Q6031752
329667511990007558	Birgitta Gabrielsdotter Oxenstierna till Gäddeholm	gabrielsdotter	329660282540006121	Q6031752	Q4925914	Q4925914	RESOLVES	
329670482180007534	Märta Gabrielsdotter Oxenstierna	gabrielsdotter	329660282540006121	Q6031752	Q4925914	Q4925914	RESOLVES	
329676057690007573	Christina Christiernsdotter Oxenstierna	christiernsdotter	6000000001792337292	Q5748798	Q2121964		patronymic item has no P144 derivation	
329676180490007577	Ebba Christiernsdotter Christernsdotter Oxenstierna af Eka och Lindö	christiernsdotter	6000000001792337292	Q5748798	Q2121964		patronymic item has no P144 derivation	
334356645420005275	Peter Troelsen Smith	troelsen	6000000003409942211	Q12339795	Q30573500	Q117321326 Q30573500	RESOLVES	Q140437547
3354551	Olof Kristoffersson Humble dy	kristoffersson	3354610	Q116997824	Q1084472	Q1789415 Q1084472 Q1084384	RESOLVES	Q116997641
341052349610004096	Mette Jensdatter Westengaard	jensdatter	341057859140010721	Q130386939	Q2246251	Q2246251	RESOLVES	
341060105510007949	Maren Elisabeth Hansdatter Bang	hansdatter	6000000004315728173	Q129410096	Q632842	Q632842	RESOLVES	
342041954500004311	Stina Christersdotter Mörner	christersdotter	6000000006127170927	Q124605185	Q1078504 Q10516970	Q1078504 Q2121964	RESOLVES	Q136375918
342470603550004525	Þorvaldur Snorrason	snorrason	6000000001169229807	Q9078353	Q2072266	Q2072266	RESOLVES	Q616618
343758628940005731	Per Allan Magnus Claesson Uggla	claesson	343758059930005781	Q6218807	Q31522621 Q18398186	Q19818179 Q16274791 Q19818183 Q18177178 Q15635230 Q31522621	RESOLVES	
3460917	Albrekt Hansson Svinhufvud	hansson	6000000006127713586	Q136383909		Q632842 Q4413537	father has no P735 given name object	
347812287200006062	Sigurd Ragnarsson	ragnarsson	5604233735830047570	Q314492	Q2127308	Q2127308	RESOLVES	Q41864
347871934200012670	Ragnhild Eiriksdatter of Denmark	eiriksdatter	6000000002713142517	Q318478	Q750186	Q19798835 Q750186 Q15277196	RESOLVES	Q75385237
348961787950001596	Albrekt Olofsson	olofsson	375729629520007230	Q141216403	Q18089653	Q18089653 Q2021323 Q3881452	RESOLVES	
348963066590012626	Anders Olofsson	olofsson	375729629520007230	Q141216403	Q18089653	Q18089653 Q2021323 Q3881452	RESOLVES	
348967496160004024	Engelbrekt Olofsson	olofsson	375729629520007230	Q141216403	Q18089653	Q18089653 Q2021323 Q3881452	RESOLVES	
348968026630001429	Karin Olofsdotter	olofsdotter	375729629520007230	Q141216403	Q18089653	Q18089653 Q2021323 Q3881452	RESOLVES	Q141216618
349421660710010504	Anders Olofsson	olofsson	6000000015844614533	Q141225218	Q18089653	Q18089653 Q2021323 Q3881452	RESOLVES	
349421822750003858	Jon Olofsson	olofsson	6000000015844614533	Q141225218	Q18089653	Q18089653 Q2021323 Q3881452	RESOLVES	
349433746250003824	Erik Olofsson	olofsson	6000000015844614533	Q141225218	Q18089653	Q18089653 Q2021323 Q3881452	RESOLVES	
349433946000006257	Karin Olofsdotter	olofsdotter	6000000015844614533	Q141225218	Q18089653	Q18089653 Q2021323 Q3881452	RESOLVES	
349434083050002286	Agnes Olofsdotter	olofsdotter	6000000015844614533	Q141225218	Q18089653	Q18089653 Q2021323 Q3881452	RESOLVES	
352411058120003159	Margareta Axelsdotter Natt och Dag	axelsdotter	6000000055090072837	Q128069151			father has no P735 given name object	
352414142060010777	Gabriel Erik Fredriksson Sparre	fredriksson	6000000013256073632	Q6184984	Q4926491 Q594279	Q4926491 Q33120605 Q14038597 Q16275883 Q21146824	RESOLVES	Q6184988
352898224040012999	Kirsten Hansdatter (Ancher)	hansdatter	5451027179910053225	Q140695174		Q632842	father has no P735 given name object	
353213396560001725	Claus Strangesen Bild	strangesen	353227352640011019	Q116458229		Q101649712	father has no P735 given name object	
353464201260013082	Erling Steinvegg Magnusson	magnusson	4076388	Q350213	Q18109457	Q18109457	RESOLVES	Q777417
353466568960001728	Inge Magnusson	magnusson	4076388	Q350213	Q18109457	Q18109457	RESOLVES	Q888200
355281657880011354	Ingeborg Magnusdotter of Sweden Queen of Denmark	magnusdotter	317651825030005113	Q350220	Q18109457	Q18109457	RESOLVES	Q1883688
358238165030007202	Burislev Sverkersson av Sverige, Kung av Sverige	sverkersson	3937484325120075383	Q357435	Q8095418	Q8095418	RESOLVES	
358372511300011904	Valdemar Abelsen Herzog zu Schleswig III	abelsen	6000000002811486315	Q27932	Q318375	Q318375	RESOLVES	
360108283120013172	Anna Magareta Hansdatter Svane	hansdatter	4110506549210027387	Q1797721	Q632842	Q632842	RESOLVES	
360108939580006388	Christian Hansen Bagger	hansen	319526734990001934	Q1783353	Q632842	Q632842 Q632842	RESOLVES	Q124216663
361559549200006707	Peder Jacobsen Jacobsen Holm	jacobsen	6000000000447389825	Q7811789	Q25999604	Q25999604 Q16747395 Q25999604	RESOLVES	
361606044510006648	Maria Margrethe Olufsdatter Bagger	olufsdatter	285640246410003190	Q5564029	Q18089653 Q2097883	Q2021323 Q18089653 Q3881452 Q2021323	RESOLVES	
361893936420006895	Christen Olufsen Bagger	olufsen	285640246410003190	Q5564029	Q18089653 Q2097883	Q2021323 Q18089653 Q3881452	RESOLVES	Q140757654
3624121	Ingeborga Tryggvesdotter	tryggvesdotter	6000000003645683278	Q2520347	Q21296021	Q21296021	RESOLVES	Q6032078
3624768	Håkon Eriksson Ericsson Earl of Lade	eriksson	6000000001169088079	Q29017	Q27608351	Q750186 Q12788459 Q953931 Q15277196 Q15277207 Q19798835 Q19828986	P735 not among the patronymic's P144 values	Q31721
363554498970006647	Sune Sverkersson Sik	sverkersson	3937484325120075383	Q357435	Q8095418	Q8095418	RESOLVES	
365168943880013009	Hans Nobel Christen Thorn Coucheron Andreasen Aamodt	andreasen	365173521440013963	Q136378402		Q4926263 Q8843357	father has no P735 given name object	
365173521440013963	Andreas Christensen Aamodt	christensen	6000000011219072627	Q5109162	Q21034625	Q21034625 Q11279730 Q12794332	RESOLVES	Q136378402
366213479150007073	Dorothea Hansdatter Svaning	hansdatter	6000000003976014790	Q3289849	Q632842	Q632842	RESOLVES	Q140701774
368483634080002549	Jöns Filipsson Bonde	filipsson	384955697100012616	Q99301904	Q998338	Q16423806 Q18145728	P735 not among the patronymic's P144 values	
370091994220011158	Oluf Frantsen Thestrup	frantsen	6000000000343268298	Q12312151	Q54165679	Q45373513 Q16275875 Q54165679	RESOLVES	
370166216450011194	Katarina Karlsdotter Karlsdotter Lejonbalk	karlsdotter	6000000004533635970	Q5900594	Q15731830	Q15731830 Q2529610 Q1044619 Q1719508 Q2958359 Q4259083	RESOLVES	
372709031250003467	Isak Isaksson Banér	isaksson	6000000001846212371	Q16649469	Q18198729	Q18198729 Q5920537 Q21143984 Q581723 Q11864419 Q581723 Q18198729	RESOLVES	Q19803172
375729629520007230	Olof Nilsson	nilsson	375732740000012611	Q141217400	Q16423038	Q16423038 Q2001572 Q16280122 Q16423038 Q16423038	RESOLVES	Q141216403
375734886370012680	Anders Persson	persson	6000000019178738670	Q141223548	Q13582800	Q13582800 Q19869349	RESOLVES	Q141216455
375738756460004676	Anders Danielsson Falk	danielsson	6000000018528235866	Q141216461	Q53787734	Q14516546 Q11896337	P735 not among the patronymic's P144 values	
376689507100013548	Regine Helene Georgsdatter Sverdrup	georgsdatter	375000968230012043	Q204517	Q1985538	Q1985538	RESOLVES	
377006802150012096	Märta Nilsdotter Akersson	nilsdotter	6000000003897404845	Q6156782	Q16423038	Q16423038 Q2001572 Q16280122 Q16423038 Q16423038	RESOLVES	
378271468310013093	Anna Magdalena Joachimsdotter Wargentin	joachimsdotter	6000000000325081427	Q136193191		Q4926961 Q2307004 Q122601119	father has no P735 given name object	Q136193173
378283607730013034	Wilhelm Joakimsson Wargentin	joakimsson	378285198480005782	Q136193193		Q2307004 Q4926961 Q112861390	father has no P735 given name object	Q136193192
378286657720012889	Robert Joakimsson Wargentin	joakimsson	378285198480005782	Q136193193		Q2307004 Q4926961 Q112861390	father has no P735 given name object	
378287113990011473	Henric Joachimsson Wargentin	joachimsson	378285198480005782	Q136193193		Q4926961 Q2307004	father has no P735 given name object	
378287293530013103	Anna Joachimsdotter Wargentin	joachimsdotter	378285198480005782	Q136193193		Q4926961 Q2307004 Q122601119	father has no P735 given name object	
378287595400013095	Sophia Joachimsdotter Wargentin	joachimsdotter	378285198480005782	Q136193193		Q4926961 Q2307004 Q122601119	father has no P735 given name object	
378287718490004414	Maria Joachimsdotter Wargentin	joachimsdotter	378285198480005782	Q136193193		Q4926961 Q2307004 Q122601119	father has no P735 given name object	
379080477760013461	Patrik Knutsson Reuterswärd	knutsson	6000000011422116552	Q63346392	Q943881	Q943881 Q18565341 Q28798237 Q943881 Q98669211	RESOLVES	
381761530540011401	Margrethe Jonsdatter Benkestok	jonsdatter	6000000002017898070	Q6271694	Q13501137	Q11978684 Q14436586 Q2246251 Q47526977	P735 not among the patronymic's P144 values	
384738608030013686	Matts Simonsson Körning till Almby	simonsson	4631465	Q110457178	Q4117588		patronymic item has no P144 derivation	Q110457177
384955697100012616	Filip Jönsson Bonde	jönsson	6000000006098056564	Q99301905	Q47526977	Q47526977 Q2246251 Q11978684 Q12319119 Q123820137	RESOLVES	Q99301904
384957042050004258	Märta Axelsdotter Posse	axelsdotter	6000000002736610064	Q5562890	Q5407300		patronymic item has no P144 derivation	
384960584920013762	Gertrud Matsdotter Römer	matsdotter	6000000001722265356	Q101247881		Q12370008 Q17485349 Q4927273 Q16279186 Q1474085 Q1818817 Q61745602 Q1208363	father has no P735 given name object	Q101247644
3906856	Gertruda Fredriksdotter von Buddenbrock	fredriksdotter	6000000011081572890	Q128045643		Q4926491 Q33120605 Q14038597	father has no P735 given name object	
3940197	Knud Axelsen Urne til Årsmarke	axelsen	3940323	Q98004341	Q5407300		patronymic item has no P144 derivation	Q12322263
3940323	Axel Knudsen Urne til Aarsmarke, til Brolykke, Søgaard og Aarsmarke	knudsen	6000000032734316991	Q12322320	Q18565341	Q18565341 Q943881	RESOLVES	Q98004341
3940424	Henrik Richardson Sommerschield	richardson	349063401520012647	Q112540619		Q1249148	father has no P735 given name object	Q112540616
3985170	Inger Axelsdatter Walkendorff	axelsdatter	6000000001504296037	Q108840610	Q5407300		patronymic item has no P144 derivation	Q108840609
3985192	Store Jørgen Lagesen Urne til Brolykke	lagesen	6000000002512340949	Q108840733		Q11982930	father has no P735 given name object	Q12320903
3985213	Kirsten Clausdatter Krumstrup til Bondemosegaard og Brolykke	clausdatter	5253960299040036030	Q108840735		Q18177178 Q15635230 Q19818179	father has no P735 given name object	Q108840608
4000888164330075116	Anne Hansdatter Litle	hansdatter	6000000007981027527	Q99836165	Q632842	Q632842	RESOLVES	
4000888590980126643	Gunde Fredriksen Lange til Sefla	fredriksen	4000878508530126634	Q99329514	Q17539077	Q4926491 Q21142991 Q21146824 Q21146005 Q18606091 Q16275883	P735 not among the patronymic's P144 values	Q17141339
4016780428210042164	Hans Iversen Morland	iversen	4016792789550036195	Q30325786	Q11977747	Q11977747 Q127069 Q11977747	RESOLVES	Q31081359
4018689	Knut Knutsson (Roos af Hjelmsäter) till Hjelmsäter	knutsson	6000000003867081183	Q110457199	Q943881	Q943881 Q18565341 Q28798237 Q943881 Q98669211	RESOLVES	Q110386259
4060599403120022077	NN Olavsdatter Fevoll	olavsdatter	6000000003376377487	Q141205930	Q16511262	Q16511262	RESOLVES	
4065322614430070809	Anne Frandsdatter Rosenberg	frandsdatter	6000000016264729539	Q110372474	Q54165679	Q54165679 Q16275875 Q45373513	RESOLVES	
4067193420310059797	Ebbe Strangesen Bild	strangesen	353227352640011019	Q116458229		Q101649712	father has no P735 given name object	
4067212472150031054	Otto Strangesen Bild	strangesen	353227352640011019	Q116458229		Q101649712	father has no P735 given name object	
4067221417120020749	Strange Strangesen	strangesen	353227352640011019	Q116458229		Q101649712	father has no P735 given name object	
4073267	Sæmundur Jónsson	jónsson	6000000006789450256	Q653125	Q1715043	Q1715043	RESOLVES	Q568500
4073318	Þóra Tora Magnusdatter	magnusdatter	5381202464070053447	Q311996	Q18109457	Q18109457	RESOLVES	Q4809203
4075666	Eystein Magnusson	magnusson	5381202464070053447	Q311996	Q18109457	Q18109457	RESOLVES	Q314595
4075734	Magnus «the Blind» Sigurdsson	sigurdsson	6000000001205606328	Q313005	Q1315397	Q1315397	RESOLVES	Q343101
4076130	Inge Haraldsson I av Norge	haraldsson	6000000018329271956	Q260543	Q1530266	Q1530266 Q14647205	RESOLVES	Q138684
4076388	Magnus Erlingsson King of Norway	erlingsson	6000000003645734381	Q725219	Q472066	Q472066	RESOLVES	Q350213
4077390	Princess Eufemia Eriksdotter von Sweden	eriksdotter	6000000003456051444	Q547911	Q750186	Q750186 Q12788459 Q953931 Q15277196 Q19798835 Q15277207 Q19828986	RESOLVES	Q463711
4077704	Olav II/IV Håkonsson Konge af Danmark (II) og Norge (IV)	håkonsson	6000000003464260121	Q313015	Q15711051 Q15711061	Q15711061 Q9383939 Q15711062	RESOLVES	Q313879
4081167	Ingegärd Filipsdotter Aspenäs	filipsdotter	6000000017990892787	Q5730329	Q998338	Q18145728	P735 not among the patronymic's P144 values	
4081817	Ingeborg Knutsdotter (Aspenäs)	knutsdotter	6000000003168965773	Q5915860	Q943881	Q943881 Q18565341 Q943881 Q28798237	RESOLVES	
4082378	Ingeborg Bosdotter (Natt och Dag)	bosdotter	6000000001950981568	Q5580030	Q1234223		patronymic item has no P144 derivation	
4085368611040124960	Margareta Gödiksdotter Fincke till Kanckas	gödiksdotter	6000000006892598386	Q5730750			father has no P735 given name object	
4085506086730125361	Evert Carlsson Horn till Kanckas	carlsson	6000000008927433833	Q3737971	Q15731830	Q2529610 Q15731830 Q4259083 Q2958359 Q1044619 Q1719508 Q2529610	RESOLVES	Q1337741
4085902874560072851	Marie Hansdatter Lange	hansdatter	4152897613100121613	Q111424681		Q632842	father has no P735 given name object	
4086663657610124981	Abigael Lauridsdatter Luja	lauridsdatter	4086645837340049872	Q55908337		Q107723833 Q21061253 Q13695998	father has no P735 given name object	Q136410282
4102286822230077765	Susanne Olesdatter Bornemann 1 S.	olesdatter	6000000018110501497	Q463570	Q2097883	Q2097883	RESOLVES	
4102602	Christina Björnsdotter of Sweden	björnsdotter	6000000001935619159	Q2905211	Q8851571	Q8851571 Q18918288	RESOLVES	
4102701	Canute I Eriksson King of Sweden	eriksson	4181250114820035915	Q310152	Q18066790 Q750186	Q750186 Q12788459 Q953931 Q15277196 Q15277207 Q19798835 Q19828986	RESOLVES	Q442876
4102767	Erik Knutsson	knutsson	4102701	Q442876	Q943881	Q943881 Q18565341 Q28798237 Q943881 Q98669211	RESOLVES	Q365103
4103266	Ingeborg Eriksdotter	eriksdotter	6000000000351087679	Q314450	Q18066790	Q750186 Q12788459 Q953931 Q15277196 Q19798835 Q15277207 Q19828986	P735 not among the patronymic's P144 values	Q3494383
4104087837830054604	Margrethe Jacobsdatter Galskjøt	jacobsdatter	6000000000649065330	Q1677576	Q25999604	Q25999604 Q16747395 Q15921890	RESOLVES	
4110495001740027719	Anna Hansdatter Svane	hansdatter	6000000003976014790	Q3289849	Q632842	Q632842	RESOLVES	Q16596511
4117628120700058979	Anna Cathrine Chatarina Lauritsen Luja	lauritsen	6000000004315682107	Q136410280		Q21061253 Q13695998 Q107723833	father has no P735 given name object	
4117958212810071793	Frederik Eriksen Baron Krag til Stensballegaard	eriksen	4967695136000069308	Q12310365	Q750186	Q750186 Q15277196 Q19798835 Q12788459	RESOLVES	Q4572524
4136631104320028008	Niels Iversen Rosenkrantz til Hevringholm	iversen	6000000010740049132	Q103783994		Q11977747 Q127069 Q11977747	father has no P735 given name object	Q103783977
4140921766650127594	Gerhard Pedersen Tetens	pedersen	4140914898340036926	Q12331206	Q10622039	Q10622039 Q15897204 Q21148379 Q10622039 Q15897708	RESOLVES	
4154117356510024508	Jacob Mathiesen Aarhus	mathiesen	5335593385340068742	Q140701556		Q1818817 Q17483952 Q103041259	father has no P735 given name object	Q21189951
4154125697380121552	Anne Casparsdatter Bartholin	casparsdatter	6000000000273235330	Q264593	Q18145725	Q18145725 Q1158231	RESOLVES	Q140701547
4154739545220046556	Karen Mathiasdatter Foss	mathiasdatter	6000000000594734180	Q5858973	Q4927273	Q1818817 Q17483952 Q4927273 Q16279186 Q1208363	RESOLVES	Q136411620
4184822224320050495	Anna Andersdatter Vedel	andersdatter	2283691	Q3311733	Q8843357	Q8843357 Q4926263 Q8843357 Q490500	RESOLVES	
4187900368680064724	Marie Sophie Lauritsdatter Luja	lauritsdatter	6000000004315682107	Q136410280		Q21061253 Q13695998 Q107723833	father has no P735 given name object	Q136410273
4196278802320038547	Cecilie Skjalmsdatter (Hvide)	skjalmsdatter	5522320867850060430	Q953640	Q118558260	Q118558260	RESOLVES	
4207767	Carl Gustaf Ericsson Blomfield von Rosen	ericsson	6000000002891827535	Q955847	Q12788459	Q750186 Q12788459 Q953931 Q15277196 Q15277207	RESOLVES	Q715877
4223140495280023247	Christina Maria Jacobsdotter Silfversparre	jacobsdotter	6000000020806285306	Q140371253		Q25999604 Q16747395 Q15921890 Q25999604 Q21142021	father has no P735 given name object	Q140371252
4226067	Joen Carlsson Lagerberg	carlsson	6000000011286868602	Q5930757	Q2529610	Q2529610 Q15731830 Q4259083 Q2958359 Q1044619 Q1719508 Q2529610	RESOLVES	
4230401837100077975	Peter Petersson Rambo Jr.	petersson	6000000005600906019	Q7174422	Q2793400	Q15897204 Q10622039 Q15897708	P735 not among the patronymic's P144 values	
4256851955360039759	Lucia Svantepolksdotter Svantepolksdotter	svantepolksdotter	6000000003418900347	Q6197518			father has no P735 given name object	
4264437977280128056	Daniel Mikaelsson Gyldenstolpe	mikaelsson	4263603049460053829	Q1389332	Q4927524	Q15620350 Q4927524 Q38687228 Q14626626 Q18066465 Q15620350	RESOLVES	Q73763136
4266395517860053266	Susanna Magdalena Danielsdotter Gyldenstolpe	danielsdotter	4264437977280128056	Q73763136	Q14516546	Q14516546 Q11896337	RESOLVES	
4275641755920033011	Anne Lauritzdatter Lind	lauritzdatter	6000000007959864423	Q11983462	Q21061253	Q13695998 Q21061253	RESOLVES	
4284989	Queen Margrete Eriksdotter Klipping, of Sweden	eriksdotter	5304611081740076756	Q359588	Q750186	Q750186 Q12788459 Q953931 Q15277196 Q19798835 Q15277207 Q19828986	RESOLVES	Q291409
4293237	Karl Sverkersson Sverkersson	sverkersson	3937484325120075383	Q357435	Q8095418	Q8095418	RESOLVES	Q315055
4293339	Johan Sverkersson of Sweden	sverkersson	3937484325120075383	Q357435	Q8095418	Q8095418	RESOLVES	
4302571454450043899	Olof Pedersen Maaneskjold	pedersen	6000000010531725554	Q128803955		Q10622039 Q15897204 Q21148379 Q10622039 Q15897708	father has no P735 given name object	
4302574268200043764	Kirstin Pedersdatter Maaneskiold	pedersdatter	6000000010531725554	Q128803955		Q10622039 Q15897204 Q10622039 Q21148379	father has no P735 given name object	
4302581758410031853	Barbro Pedersdatter Maaneskiold	pedersdatter	6000000010531725554	Q128803955		Q10622039 Q15897204 Q10622039 Q21148379	father has no P735 given name object	
4322086	Agneta Matsdotter Körning	matsdotter	384738608030013686	Q110457177		Q12370008 Q17485349 Q4927273 Q16279186 Q1474085 Q1818817 Q61745602 Q1208363	father has no P735 given name object	Q136383915
4322248	Brita Nilsdotter (Grip)	nilsdotter	6000000006127284982	Q6008688	Q16423038	Q16423038 Q2001572 Q16280122 Q16423038 Q16423038	RESOLVES	
4322382	Ingeborg Arvidsdotter (lejonansikte)	arvidsdotter	4322456	Q96240804		Q717011 Q114928755 Q23465091	father has no P735 given name object	Q96240803
