geni_id,our_name,qid,parent_geni,parent_name,our_siblings_recorded,their_siblings_recorded,shape,sex,dates,round,our_exports,sex_refused_it
6000000002266382242,Ernst II von Babenberg Herzog von Schwaben,Q63601,6000000002266243417,Ernest,2,2,BOTH sides record more,agree,within 10y,1,,
6000000002447151158,Pierre de Coligny,Q113190760,5218673968020054433,Gaspard I de Coligny Seigneur de Châtillon,4,4,BOTH sides record more,agree,within 10y,1,,
6000000002451388142,Constance Katherine Kingsmill,Q75762597,6000000006864217567,"Richard Kingsmill Kt., MP",1,1,both sides record ONE child,agree,within 10y,1,,
6000000002512279924,Private,Q11960539,4214919426840053909,"Anne Kristine ""Stine"" Stolt Moe",1,1,both sides record ONE child,agree,,1,,
6000000002513087788,Gyrid Bårdsdatter Torsnes På Torsnes,Q110302814,6000000003783023344,Baard Sigurdsson,2,2,BOTH sides record more,agree,,1,,
6000000002517730432,Bel-bani,Q4881698,6000000002517869069,Adasi,1,1,both sides record ONE child,agree,,1,,
6000000002644627116,Aleksander Erwin,Q75367119,6000000017265998387,Albertyna Leopoldyna Wilhelmina Montenuovo,5,5,BOTH sides record more,agree,within 10y,1,,
6000000002676557347,Wenzel von Luxemburg,Q20058291,6000000002676502286,Anna von Wittelsbach Wittelsbach,1,1,both sides record ONE child,agree,within 10y,1,,
6000000002734209702,Beatriz Pereira de Alvim condessa de Barcelos,Q4877265,6000000002176654174,Nuno Álvares Álvares Pereira 2nd Condestável de Portugal,1,1,both sides record ONE child,agree,within 10y,1,,
6000000002749999630,Bege Eriksdatter Rosenkrantz,Q140761663,6000000002114956152,Margrethe Bosdatter Høg,2,2,BOTH sides record more,agree,,1,,
6000000002764431505,Paul Felix Solomon Warburg,Q94862917,6000000002764431306,Felix Moritz Warburg,5,5,BOTH sides record more,agree,within 10y,1,,
6000000002764681063,Regine Bischoffsheim,Q97929271,6000000002764690858,Henriette Goldschmidt,4,4,BOTH sides record more,agree,within 10y,1,,
6000000002764690983,Nathalie Valentine Marie de Noailles,Q75539139,6000000002764690956,Charles Arthur Anne Marie de Noailles Vicomte de Noailles,2,2,BOTH sides record more,agree,within 10y,1,,
6000000002765047816,Sara Rintel,Q130235660,6000000002765047803,Jakob Rintel,1,1,both sides record ONE child,agree,,1,,
6000000002773323821,Marie Christine von der Pfalz,Q139242522,6000000001964681604,Ludwig VI Wittelsbach Elector palatine of Pfalz,3,3,BOTH sides record more,agree,,1,,
6000000002843675372,Sophie Amalie Lindenov Friherreinde,Q4962619,6000000002244827382,Elisabeth Augusta Christiansdatter af Danmark og Norge von Oldenburg,1,1,both sides record ONE child,agree,within 10y,1,,
6000000002909177238,Cadrod ap Gwriad,Q116113098,6000000006906412348,Gwriad ap Elidir,2,2,BOTH sides record more,agree,,1,,
6000000003024845274,Quintus Mucius Scaevola consul 174 BC,Q531357,6000000002188289187,Quintus Mucius Scaevola praetor 215 BC,2,2,BOTH sides record more,agree,,1,,
6000000003033700189,Malcolm Madadsson 2nd Earl of Atholl,Q6949529,6000000004533031432,Madach 1st Earl of Atholl,2,2,BOTH sides record more,agree,,1,,
6000000003087011765,Lewis Clifford,Q75586348,6000000000436892516,Lewis Clifford KG,1,1,both sides record ONE child,agree,,1,,
6000000003087186243,Ralph Dacre,Q15432400,6000000012752002322,Ralph Dacre,3,3,BOTH sides record more,agree,within 10y,1,,
6000000003098054173,Elizabeth Percy Countess of Westmoreland,Q6470129,6000000001874251910,Henry Percy,2,2,BOTH sides record more,agree,within 10y,1,,
6000000003122427262,Azzone Visconti signore di Milano,Q511928,6000000002188005826,Galeazzo I Visconti signore di Milano,2,2,BOTH sides record more,agree,within 10y,1,,
6000000003148539371,Ælfwynn,Q1067993,6000000000157796200,Æthelred,1,1,both sides record ONE child,agree,16y apart,1,,
6000000003206528764,Abdoel Hafil Dt. Batoeah,Q123943704,6000000003206219511,Siti Marijam,1,1,both sides record ONE child,agree,,1,,
6000000003216046495,Private,Q7526508,6000000003216049750,Nicholas Edward Archdale 2nd Baronet,2,2,BOTH sides record more,agree,,1,,
6000000003216112599,Elizabeth Palgrave,Q75280327,6000000003216112770,Robert Harry Inglis Palgrave,1,1,both sides record ONE child,agree,within 10y,1,,
6000000003219753953,Andrew Stewart,Q4758647,6000000003177635166,James Stewart The Black Knight of Lorn,3,3,BOTH sides record more,agree,within 10y,1,,
6000000003243318654,Hawise de Lanvaley,Q62932140,6000000003827232851,"William III de Lanvaley Lord of Walkern, Surety of the Magna Carta",1,1,both sides record ONE child,agree,,1,,
6000000003243328808,Edmund FitzAlan Knight,Q54854133,6000000005907443009,Isabel le Despencer Countess of Arundel,1,1,both sides record ONE child,agree,within 10y,1,,
6000000003249983248,"Peter Schleswig-Holstein, Glücksborg Prince",Q601229,6000000003171704512,Marie Bonaparte Princess of Greece and Denmark,2,2,BOTH sides record more,agree,within 10y,1,,
6000000003263003966,Hans Jakob Henriksen,Q17119721,6000000001073458644,Henrik Johan Ibsen,2,2,BOTH sides record more,agree,within 10y,1,,
6000000003339404846,Ralph Neville 3rd Earl of Westmorland,Q7287907,6000000006444222518,John Neville 1st Baron Neville de Raby,1,1,both sides record ONE child,agree,within 10y,1,,
6000000003349243920,Ulf Karlsson Ulv,Q6219155,6000000003349367528,Karl Karlsson Ulv,1,1,both sides record ONE child,agree,,1,,
6000000003379709902,"Elisabeth von Braunschweig-Grubenhagen Princess, Duchess of Schleswig-Holstein-Sonderburg",Q7828080,6000000001504715786,Margaret of Pomerania-Wolgast,1,1,both sides record ONE child,agree,within 10y,1,,
6000000003443386980,Sybille von Jülich-Kleve-Berg Kurfürstin zu Sachsen,Q69980,6000000000350879162,Maria Wilhelm von Jülich-Berg Herzögin von Jülich-Berg,4,4,BOTH sides record more,agree,within 10y,1,,
6000000003493297935,Catalina Enríquez de Ribera y Cortés Zúñiga,Q110935160,6000000003493243730,Fernando Enriquez de Ribera y Portocarrero II Duque de Alcalá de los Gazules,3,3,BOTH sides record more,agree,,1,,
6000000003494707637,Senegonda de Besièrs,Q116006274,6000000003494734403,Guilhèm II de Besièrs vecomte de Besièrs,2,2,BOTH sides record more,agree,,1,,
6000000003523237946,Sofija Sapiegaitė,Q47306394,6000000001389864086,Povilas Sapiega,5,5,BOTH sides record more,agree,,1,,
6000000003615792932,Mary Plantagenet,Q75384358,6000000000151869439,"Edmund ""Crouchback"" Plantagenet 1st Earl of Lancaster and Leicester",4,4,BOTH sides record more,agree,within 10y,1,,
6000000003615913887,Elizabeth Douglas,Q75260736,6000000002187894993,Archibald Douglas 8th Earl of Angus and 5th Earl of Morton,1,1,both sides record ONE child,agree,,1,,
6000000003645797331,Neferue,Q242405,6000000003645797173,"Hatshepsut I Makere Queen, Pharaoh of Egypt",1,1,both sides record ONE child,agree,,1,,
6000000003645864154,Anastasia,Q110956047,6000000006101300473,Flavius Claudius Constantius Gallus Caesar,1,1,both sides record ONE child,agree,,1,,
6000000003649751719,Lawrence Trussell,Q75520026,6000000002006346676,Maud de St. Philibert,2,2,BOTH sides record more,agree,,1,,
6000000003658774287,John de Clare,Q96075868,5167106335910074581,"Gilbert de Clare 7th Earl of Hertford, 8th Earl of Gloucester",1,1,both sides record ONE child,agree,,1,,
6000000003693364417,Giovanni Torlonia dei Principi di Civitella-Cesi,Q75368441,5545962834580129097,Orsetta Caracciolo dei Duchi di Melito dei Principi di Castagneto,1,1,both sides record ONE child,agree,within 10y,1,,
6000000003725599949,Maurice Willem van Vollenhoven Seigneur de Kleverskerke,Q75370601,6000000031117000050,Maurits van Vollenhoven,1,1,both sides record ONE child,agree,within 10y,1,,
6000000003790069760,Johan Henriksen,Q22338122,6000000005240455263,"Henrik ""Skadelår"" Estridsøn Prins",4,4,BOTH sides record more,agree,,1,,
6000000003807598493,Llewelyn Fawr ap Iorwerth,Q467685,6000000002459902739,Iorwerth Drwyndwn ab Owain,1,1,both sides record ONE child,agree,within 10y,1,,
6000000003827477461,Katharina Mecklenburg Herzogin zu Mecklenburg-Stargard,Q110153771,6000000003827527799,Sofiya of Pomerania-Rügen,1,1,both sides record ONE child,agree,,1,,
6000000003827496029,Ferdinand Carolus von Löwenstein-Wertheim-Rochefort,Q20732349,6000000003827496045,Johann Dietrich Theodor von Löwenstein,2,2,BOTH sides record more,agree,within 10y,1,,
6000000003827505034,"Jeanne de Penthièvre la boiteuse, duchesse de Bretagne",Q257621,6000000003827527015,Jeanne d'Avaugour,1,1,both sides record ONE child,agree,within 10y,1,,
6000000003827527255,Konrad III Stary,Q374340,6000000032200328462,Agnieszka cieszyńska,1,1,both sides record ONE child,agree,,1,,
6000000003827527712,Johann III von Mecklenburg Herr zu Werle-Goldberg,Q95825,6000000003166148300,"Nikolaus II Mecklenburg Fürst, Herr zu Werle-Parchim",2,2,BOTH sides record more,agree,,1,,
6000000003827535416,Agnes von Hohenfels-Reipoldskirchen,Q116004863,6000000003827765634,Heinrich von Hohenfels-Reipoldskirchen,1,1,both sides record ONE child,agree,,1,,
6000000003827542004,Kuno von Falkenstein-Münzenberg II,Q21035498,6000000038666262119,Lukarda v. Isenburg-Büdingen,1,1,both sides record ONE child,agree,,1,,
6000000003827542052,Hildegard? von Hagenhausen,Q110562395,6000000010330967649,Gerhard von Hagenhausen,2,2,BOTH sides record more,agree,,1,,
6000000003827573562,Louise de Sully,Q110394809,6000000003827573628,Marguerite de Beaujeu,2,2,BOTH sides record more,agree,,1,,
6000000003827635032,Burkhard I Graf von Loccum-Hallermund,Q1010321,6000000026164892867,Akarina von Tschernigow of Elsdorf,1,1,both sides record ONE child,agree,,1,,
6000000003827701430,"Antoine de Carnazet, Baron de Saint-Vrain",Q112329596,6000000003827701454,Adam de Carnazet,1,1,both sides record ONE child,agree,,1,,
6000000003827928458,Robert-Wichard de Clefmont,Q3436552,6000000003827928466,Simon de Clefmont II,1,1,both sides record ONE child,agree,within 10y,1,,
6000000003828029023,Marjory mac Uilliam,Q56516944,6000000000424836694,"Alaxandair ""The Peaceful"" mac Uilliam II",2,2,BOTH sides record more,agree,within 10y,1,,
6000000003828105311,Théodémir De Thérouane roi des Francs à Thérouanne,Q2664316,6000000000316300005,Flavius Richomeres de Toxandrie,1,1,both sides record ONE child,agree,,1,,
6000000003828236053,Guillaume II de Mont-Saint-Jean,Q123264633,4320895910700022259,Bure des Barres,2,2,BOTH sides record more,agree,,1,,
6000000003891018401,Margaret Lindsay,Q75257552,6000000005380767801,Patrick Lindsay,2,2,BOTH sides record more,agree,within 10y,1,,
6000000003902515992,Åke Yrjänänpoika Tott,Q18708686,6000000005404613922,Jørgen Åkesson Aagesen Tott til Tidö,1,1,both sides record ONE child,agree,,1,,
6000000003937525180,Abigail Bliss,Q131550649,6000000003858554277,Samuel Bliss Jr,1,1,both sides record ONE child,agree,,1,,
6000000003957630732,Yilma Wolde Mikael,Q135684228,6000000003957707174,Makonnen Wolde Mikael,2,2,BOTH sides record more,agree,,1,,
6000000003981164138,Alžbeta z Anjou Slavónská,Q770390,6000000056483207998,Stephen of Hungary Duke of Slavonia,2,2,BOTH sides record more,agree,within 10y,1,,
6000000004043165143,Jeanne de Constantinople comtesse de Flandre,Q466311,6000000000537218162,Baldwin Flanders Haina Count of Flanders & Hainault,2,2,BOTH sides record more,agree,12y apart,1,,
6000000004079807484,Private,Q75782997,6000000008630250123,Gaetano Parente,1,1,both sides record ONE child,agree,,1,,
6000000004188526531,Marike Hansdattere Knudsen Splenters,Q111424696,6000000007606013086,Geseke Fredriksdotter,1,1,both sides record ONE child,agree,,1,,
6000000004287448743,Richard Talbot 4th Baron Talbot,Q75561232,6000000003615547826,Gwenllian verch Rhys Mechyll,1,1,both sides record ONE child,agree,,1,,
6000000004317032942,Private,Q4938570,6000000007188207502,Else Marie Fisher,1,1,both sides record ONE child,agree,,1,,
6000000004317398069,Nils Thollander,Q61711449,6000000000345894294,Anna Margareta Stenhammar,1,1,both sides record ONE child,agree,within 10y,1,,
6000000004398121676,Antti Juhani Brofeldt,Q11852042,6000000007366715678,Juhani Johannes Brofeldt,3,3,BOTH sides record more,agree,within 10y,1,,
6000000004482753012,Roberto II Sanseverino 3° principe di Salerno,Q15401762,6000000015386971378,Antonello Sanseverino 2° principe di Salerno,1,1,both sides record ONE child,agree,within 10y,1,,
6000000004532257672,"Heinrich II ""der Friedfertige"" Welf Herzog, Fürst zu Wolfenbüttel",Q571632,6000000006734756087,"Margarete Lothringen-Brabant, Hessen Herzogin zu Braunschweig-Lüneburg, Fürstin zu Wolfenbüttel",1,1,both sides record ONE child,agree,within 10y,1,,
6000000004533182195,Raimon I de Melguèlh comte de Melguèlh,Q99304082,6000000004533182238,Bernat III de Melguèlh comte de Melguèlh,1,1,both sides record ONE child,agree,,1,,
6000000004672257513,Margaret Stanley,Q122364391,6000000004672601001,William Stanley Kt. of Stourton & Hooton,2,2,BOTH sides record more,agree,,1,,
6000000004690194441,Hans Carl Gustaf Wahlgren,Q6228856,6000000011519605335,Ivar Hugo Wahlgren,1,1,both sides record ONE child,agree,within 10y,1,,
6000000004842303003,John Percy 2nd Baron Egremont,Q18526871,6000000004842140347,Thomas Percy 1st Baron Egremont,1,1,both sides record ONE child,agree,within 10y,1,,
6000000004869045098,Charles-Henri de Clermont-Tonnerre,Q2958132,6000000004869045119,Diane de La Marck,1,1,both sides record ONE child,agree,within 10y,1,,
6000000004883280081,Barrow,Q75644180,6000000004879484798,Lyon de Symons Barrow,4,4,BOTH sides record more,agree,,1,,
