qid	label	faults	statements
Q141198422	Iver Pedersen Sandsmark	-	9
Q141198428	Jacob Johannessen Jacobson	-	9
Q141198435	Jon Nilsson Espedal	-	8
Q141198441	Kirsten Olsdatter Grøtheim	-	8
Q141198447	Kristina Tolvesdotter Näs	-	10
Q141198453	Lars Jonsen Kvam	-	6
Q141198454	Lisabeth Larsdotter Stangeland	-	10
Q141198464	Maren Olsdatter	-	8
Q141198472	Olga E. Garborg Oswald	-	10
Q141198482	daughter of Erling Juel Wendt	-	5
Q141198484	Rangdi Rasmusdatter Sollienseie	-	6
Q141198489	Sigrid Garborg	-	9
Q141198499	Solveig Garborg	-	9
Q141198503	Tore Erikson Håland	-	8
Q141198507	Tormod Bjørnson Mele	-	9
Q141198510	Tønnes Emil Enokson Ronneberg	-	18
Q141198538	Daughter of Gunnar Torsteinson Frafjord	-	6
Q141198548	wife of Buyeo Deokjang	-	5
Q141198751	Lars Person Nedre Rossavik	-	8
Q141198755	Anna Ingebretsdatter Voster	-	7
Q141198831	Peder Larsen Mjølhus	-	8
Q141198832	Lars Gunnbjørnsen Mjølhus	-	8
Q141198834	Gunnbjørn Jonson Aukland	-	9
Q141198835	Bergitte Gunnbjørnsdatter Tengs	-	9
Q141199704	Andreas Olai	-	14
Q141199734	Nils Andersson	-	12
Q141199809	Ane Marie Helgesdatter Bø	-	12
Q141199819	Anna Andersdotter	-	13
Q141199822	Anna Jönsdotter	-	8
Q141199826	Anna Maria Samuelsdatter Tunheim	-	10
Q141199830	Anna Rasmusdatter Grøtheim	-	9
Q141199833	Bertha Ingeborg Tunheim	-	11
Q141199836	Florence June Tunheim Cosman	-	10
Q141199845	daughter of  Arne Olaus Fjørtoft Garborg	-	6
Q141199851	Gunnbjørn Toresson Tengs	-	10
Q141199856	Guri Hansdatter Garborg	-	11
Q141199862	Helga Bjørnsdatter Tengs	-	8
Q141199868	"Ingvold ""Pinkie"" Remmie"	-	8
Q141199881	Ivar Sandsmark Garborg	-	9
Q141199891	Ivar Valheim	-	5
Q141199892	Jon Olsen Heigre	-	11
Q141199899	Jon Tollakson Aukland IV	-	10
Q141199909	Karen Sophie Pedersdatter	-	6
Q141199918	Kirsten Hansdatter Grøtheim	-	13
Q141199925	Knut Elvindson Garborg	-	9
Q141199930	Knut Olsen Gudmestad	-	8
Q141199937	Maren Halvorsdatter Øksnevad	-	15
Q141199952	Marie Garborg	-	9
Q141199959	Martinus Johannis	-	8
Q141199966	Mildred Lorraine Schantzen	-	10
Q141199976	Mona Beth Carney Castro	-	11
Q141199992	Myrtle Lenora Tunheim	-	9
Q141200019	Ola Olsen Vaule	-	8
Q141200028	Per Jonson Øksnevad	-	12
Q141200047	daughter of Tollef Bud Tunheim	-	5
Q141200054	Rakel Jonsdatter Jonsdotter Vatne	-	12
Q141200067	Rasmus Kjetilson Høle	-	8
Q141200074	Rasmus Olsen Bø	-	10
Q141200083	Sara	-	7
Q141200084	Selma Johanna Tunheim	-	10
Q141200094	Siri Rasmusdater Erevik	-	8
Q141200101	Sissel Jonsdatter Talje	-	14
Q141200111	Sæbjørn Toresson Talgje	-	10
Q141200112	Tollef Pederson Tunheim	-	12
Q141200127	Ådne Hansen Grøtheim	-	10
Q141200604	Anna Nilsdotter	-	9
Q141205894	Agnes Tunheim	-	12
Q141205895	Andreas Christiansen	-	7
Q141205896	Ane Marie Konstanse Amanda Kristine Hegre	-	14
Q141205898	Anna Tormodsdatter Mele	-	9
Q141205899	Bergitte Ivarsdatter Tjentland	-	8
Q141205900	Bertrand Olav Olsen Vigdel	-	8
Q141205902	Daniel Olofsson	-	10
Q141205903	Enok Jonson Rønneberg	-	11
Q141205904	Erik Tollefson Foss-Eikeland	-	12
Q141205907	Geneva Bell Gullingsrud Romans	-	9
Q141205908	Gotfred Olai Ekman	-	13
Q141205909	Gudrun Sæbjørnsdatter Talgje	-	13
Q141205910	Hallvord Randa	-	8
Q141205911	Hans Svensen Risa I	-	7
Q141205912	Herborg Johannesdatter Sør-Reime	-	10
Q141205913	Ingebret Pederson Voster	-	8
Q141205914	Inger Osmundsdatter Risa	-	10
Q141205915	Jöns Jakobsson guldsmed	-	7
Q141205916	Kari Olsdatter	-	9
Q141205917	Kerstin Månsdotter	-	9
Q141205918	Mabel Tunheim	-	7
Q141205919	Malena Hansdatter Bø	-	8
Q141205921	Maria Jonsdatter Lura	-	10
Q141205922	Marit Ormsd Byre	-	11
Q141205923	Mathilde Fredrikke Thams	-	11
Q141205924	mother of Lars Gunnbjørnsen Mjølhus	-	8
Q141205926	mother of Andreas Olofsson	-	6
Q141205928	wife of Daniel Olofsson	-	9
Q141205929	Ola Toreson Randa	-	6
Q141205930	Olav Knutson Randa Håland	-	12
Q141205931	Olof Olofsson	-	10
Q141205932	Olof Timmerman	-	9
Q141205933	husband of Mona Beth Carney Castro	-	4
Q141205934	son of Joseph Tunheim	-	5
Q141205936	daughter of Helmik Kristiansen Sør-Reime	-	5
Q141205937	Ragnhild Eyvindsdotter Eyvindsdotter	-	9
Q141205938	Ranveig Olsd Trevland	-	7
Q141205939	Rasmus Person Øksnevad	-	8
Q141205940	Simen Olsen	-	7
Q141205941	Thelma Geraldine Bagby	-	8
Q141205942	Tore Gardson Gardsson	-	11
Q141206056	Asbjørn Helgesen Bø	-	8
Q141206057	Berte Tørresdotter Austrått	-	11
Q141206058	Bertha Bakke	-	11
Q141206060	Cecilie Mortensdatter	-	8
Q141206061	Cecilie Olsdatter Håland	-	11
Q141206080	Peder Tormodson Foss	-	9
Q141206082	Jon Olson Raustad	-	8
Q141206084	Margareta Burea	-	7
Q141216349	Ingrid Guttormsdotter	-	11
Q141216350	Ramborg Knutsdotter Lejon	-	9
Q141216354	daughter of Arne Olaus Fjørtoft Garborg	-	6
Q141216356	daughter of Astri Torchelsdatter Øvre Time	-	5
Q141216357	Anders Jacobsson	-	8
Q141216359	Andrew J. Bakke	-	10
Q141216363	Anne Govertsdatter Bratland	-	11
Q141216365	Berte Karine Jonsdatter Stokka	-	10
Q141216368	Donald V. Schantzen	-	8
Q141216369	Gard Toresson Talgje	-	9
Q141216371	Guri Pedersdatter Foss	-	12
Q141216374	Halvard Assersen Grøtheim	-	8
Q141216377	Hanna Sofie Wendt	-	11
Q141216379	Hans Halvardsen Grøtheim	-	6
Q141216380	Hans Olsen Grøtheim	-	7
Q141216381	Hans Rasmussen Låge-Håland	-	9
Q141216382	Helge Asbjørnsen Bø	-	11
Q141216383	Ingeborg Eriksdatter Bjorland	-	10
Q141216384	Ingeborg Eriksdatter Time	-	7
Q141216386	Jens Wilhelm Wendt	-	11
Q141216387	Johannes Svensen Obrestad	-	10
Q141216388	Jon Hansson St. Vatne	-	12
Q141216389	Jon Jonsson	-	9
Q141216390	Kirsten Gabrielsdatter Austråt	-	8
Q141216393	Kristian Monsen Stangeland	-	9
Q141216396	Lisbet Olavsdatter Håland	-	8
Q141216397	Malin Andersdotter	-	9
Q141216398	Malin Olofsdotter	-	9
Q141216399	Margareta Nilsdotter	-	7
Q141216400	Margreta Lauritsdatter Øvre Bjørheim	-	10
Q141216401	Mariet Danielsdotter	-	10
Q141216403	Olof Nilsson	-	12
Q141216404	Sigurd Sverre Ravn Talle	-	10
Q141216405	Tabite Tollefsdotter Tunheim	-	7
Q141216406	Tabitha Tollefsdatter Johnson	-	9
Q141216407	Torkel Torbjørnson Høyland	-	8
Q141216408	Unn Mørck	-	10
Q141216453	Aagot Garborg Koloboff	-	9
Q141216454	Alice Lillian Tunheim Nelson	-	11
Q141216455	Anders Persson	-	9
Q141216456	Anna Helgesdotter Opstad	-	8
Q141216458	Asbjørn Gunnarson Bø	-	8
Q141216459	Astrid Grimelund Wendt	-	8
Q141216460	Bjørnsdatter Tau	-	6
Q141216461	Daniel Andersson	-	11
Q141216467	Eldrid Jonsdatter	-	9
Q141216468	Erik Hansson Gausland	-	8
Q141216470	Govert Jonson Årsvoll	-	7
Q141216471	Gunnbjørn Gunnbjørnson Rossavik	-	7
Q141216476	Jon Jonsson Vatne	-	8
Q141216481	Jon Tørresson Soma	-	8
Q141216483	Karen Malena Rasmusdatter Tjelta	-	8
Q141216487	Knut Johanson Håland	-	8
Q141216488	Lars Jonsen Landsnes	-	11
Q141216489	Laurits Leivson Bjørheim	-	9
Q141216490	Malli Svensdatter Lura	-	7
Q141216491	Margareta Lejon	-	9
Q141216492	Marta Eriksdatter Fotland	-	9
Q141216493	Minnie Ronneberg	-	8
Q141216494	mother of Olav Knutson Randa Håland	-	7
Q141216495	mother of Ramborg Knutsdotter Lejon	-	5
Q141216496	Nils Larsen Raunes	-	11
Q141216498	Norman Charles Tunheim	-	9
Q141216499	Orm Ånonsen	-	9
Q141216500	son of Arnold Ronneberg	-	5
Q141216501	Siri Garborg Talle	-	8
Q141216504	Sverre Helmer Wendt	-	9
Q141216505	Thekla Cecilie Dybo	-	9
Q141216507	Torborg Toresdatter Norheim	-	9
Q141216510	Torger Torgerson Stokka	-	9
Q141216594	Ane Maria Olsdatter Vestre Stangaland	-	10
Q141216595	Anna Danielsdotter	-	10
Q141216598	Anna Ivarsd Stokka	-	7
Q141216599	Anna Rasmusdatter Nedre Rossavik	-	7
Q141216600	Astrid Omundsdatter Grøtheim	-	8
Q141216601	Austman Gustavson Gudfastarsson	-	6
Q141216602	Berta Guria Davidsdatter Stokka	-	10
Q141216603	Brynhild Hallvardsdotter	-	8
Q141216604	Gladys Signe Nash Stoeckmann	-	10
Q141216605	Gunilla Jonsdotter	-	8
Q141216607	Hans Erikson Øvre Håland	-	7
Q141216608	Hans Ådnesen Grøtheim	-	6
Q141216609	Inger Kristoffersdatter Skårland	-	8
Q141216611	Jon Villumson Raunes	-	9
Q141216613	Karen Henriksdotter Raunes Våga	-	8
Q141216618	Karin Olofsdotter	-	7
Q141216622	Kristine Jonsdatter Malmeim	-	8
Q141216627	Lars Nilsen Raunes	-	11
Q141216632	Magdalena Lauritsd Hogganvik	-	8
Q141216633	Malin Jacobsdotter	-	9
Q141216634	Marit Hansdatter Stavnheim	-	7
Q141216635	Martha Eivindsdatter Heigre	-	6
Q141216636	Marthe Gurie Osmundsdatter Ueland	-	8
Q141216637	Ola Person Persson Heigre	-	9
Q141216638	Olaug Jonsdatter Heigre	-	8
Q141216639	Olufine Bergithe Ekman	-	7
Q141216640	Per Gustaf Ekman	-	9
Q141216642	son of Sigurd Sverre Ravn Talle	-	5
Q141216643	Ragna Enevaldsdatter Heigre	-	8
Q141216644	Rasmus Asbjørnson Nedre Rossavik	-	9
Q141216645	Reiar Reiersen Kydland	-	7
Q141216647	Tollef Mattiasson Fotland	-	9
Q141216648	Tore Toresson Talgje	-	8
Q141216653	Torger Torgerson Stokka	-	8
Q141217359	Anna Elisabet Angerstein	-	8
Q141217369	Anna Osmundsd Stokka	-	7
Q141217372	Berta Larsdatter Stangeland	-	10
Q141217381	Catharina Edenberg	-	7
Q141217383	Charlotta Johanna Gerner	-	9
Q141217384	David Tjølson Edland	-	8
Q141217385	Guri Persdatter Øksnevad	-	9
Q141217387	Ivar Stokka	-	6
Q141217390	Johan Johannessen Obrestad	-	7
Q141217391	Kristine Sørensdatter Gjesdal	-	11
Q141217392	Larine Eriksdatter Heigre	-	7
Q141217393	Magdalena von Mentzer	-	7
Q141217394	Margareta Christina von Numers	-	9
Q141217396	Maria	-	5
Q141217398	Måns Moge	-	6
Q141217400	Nils Albrektsson	-	8
Q141217404	Osmund Larsen Raunes	-	10
Q141217415	Ottiliana Vilhelmina Conradsdotter Transchiöld	-	8
Q141217431	Per Andersson Storskytt	-	9
Q141217433	Per Persson Hagman	-	10
Q141217434	Sissel Sæbjørnsdatter Talgje	-	8
Q141219050	Ane Olsdatter Bø	-	8
Q141219051	Anna Börjesdotter Bothniensis	-	8
Q141219052	Anna Olsdatter Heigre	-	7
Q141219053	Barbro Reiersdatter Storhaug	-	8
Q141219054	Carl Emil Cronhielm af Hakunge	-	8
Q141219056	Christian Frenning	-	7
Q141219057	Daniel Andreasson	-	7
Q141219058	Elisabet Rasmusdatter Moen	-	7
Q141219059	Gustava Maria Sofia Mannerheim	-	7
Q141219060	Halvor Johannesson Hobberstad	-	7
Q141219061	Harriet Hjørdis Simensen	-	9
Q141219062	Hedvig Ulrika Boije af Gennäs	-	9
Q141219063	Lars Osmundsen Nese	-	7
Q141219064	Lloyd Obert Dokken	-	7
Q141219065	Marta Torbjørnsdotter Gjesdal	-	9
Q141219066	Per Danielsson	-	7
Q141219067	son of Lloyd Obert Dokken	-	4
Q141219068	Ragnhild Sofie Jensdatter Wendt	-	9
Q141219069	Søren Sørenson Gjesdal	-	9
Q141219070	Tørres Jonsson Vatne	-	7
Q141219071	Ulrika Persdotter	-	7
Q14554945	Robert Magnus von Rosen	-	21
Q1527696	Carl Aurivillius	-	53
Q156749	Adolf Erik Nordenskiöld	-	281
Q16165426	Catharina Burea	-	18
Q16165489	Abraham Laurentii Burman	no relationship at all	16
Q1648141	Adolph Ribbing	-	41
Q16596199	Hedvig Sofia von Rosen	-	20
Q16649477	Nicolaus Jacobi Bothniensis	-	19
Q16649958	Johan Otto Nauckhoff	-	24
Q16649960	Olof Nauclér	-	18
Q16650154	Ericus Olai Plantin	-	12
Q16650163	Samuel Pryss	-	27
Q16650429	Pehr Svedelius	-	27
Q16650430	Pehr Gustaf Svedelius	-	24
Q16650516	Mikael von Törne (1726–1796)	-	20
Q16650517	Mikael von Törne (1775–1854)	-	26
Q16945159	Nils Abraham Bruncrona	-	31
Q16945169	Mårten Bunge (1764–1815)	-	23
Q1814297	Carl Erik Mannerheim	-	57
Q185832	Emanuel Swedenborg	-	273
Q19061035	Guttorm Åsulvsson	-	21
Q19312912	Fabian von Fersen (1762–1818)	-	46
Q19631563	Erik Odelström	no relationship at all	16
Q19657284	Buyeo Deokjang	-	8
Q19721217	Salomon von Köhler	-	17
Q19828095	Carl Mörner (1792–1870)	-	16
Q19842232	Algot Brynolfsson	-	15
Q19860752	Carl Harald Strömfelt	-	34
Q19975889	Fredrik August Adelswärd	-	33
Q19976400	Abraham Burensund	no relationship at all	13
Q19976679	Otto Johan Lagerfelt	-	24
Q19977201	Jakob Törnsköld	-	32
Q2021113	Olof Broman	no relationship at all	39
Q2040261	Otto Reinhold Strömfelt	-	45
Q2075113	Hedvig Ulrika De la Gardie	-	31
Q217044	Franz Berwald	-	151
Q2183430	Benedicta Ebbesdotter of Hvide	-	40
Q2361145	Carl Reinhold Sahlberg	-	64
Q2415388	Carl Gustaf Mannerheim	-	90
Q2471654	Aurora Karamzin	-	71
Q2478781	Adolf Fredrik Munck	-	69
Q2490612	Johan Graan	-	32
Q2575818	Robert Henrik Rehbinder	-	76
Q2624238	Mauritz Klingspor	-	92
Q26405863	Olof Bure	-	45
Q2694124	Albrecht Elof Ihre	-	52
Q274606	Berengar I of Italy	-	96
Q27863581	Johan Carl Strömfelt	-	26
Q284400	Gisela	-	55
Q28467896	Erik Knudsen of Sønderhalland	-	17
Q2965864	Charlotte Cederström	-	64
Q3129338	Hedda von Fersen	-	37
Q3143008	Hulda Garborg	-	75
Q329253	Henning Mankell (tonsättare)	-	58
Q333297	Frans Michael Franzén	-	146
Q333651	Henrik Gabriel Porthan	-	94
Q3428167	Olof Kolmodin den äldre	-	42
Q3450190	Johan Hisinger	-	50
Q3462736	Samuel Gustaf Hermelin	-	69
Q352296	Magnus Fredrik Brahe	-	73
Q362485	Sten Carl Bielke	-	49
Q364270	Gustaf de Laval	-	111
Q3655969	Anders Bure	-	79
Q3743799	Canute, Duke of Estonia	-	44
Q3946660	Samuel af Ugglas	-	59
Q4157020	Magnus Julius De la Gardie	-	53
Q4225027	Olof Andersson Knös	-	42
Q4355686	August Nordenskiöld	-	64
Q455071	Axel von Fersen	-	119
Q456456	Mattias Steuchius	-	73
Q4569362	Mathias Rosenblad	-	71
Q466257	Rozala of Italy	-	40
Q467497	Arne Garborg	-	162
Q469962	Sophie Piper	-	47
Q473225	Georg Brandt	-	51
Q4830275	Axel Gustaf Gyllenkrok	-	37
Q490686	Anders Abraham Grafström	-	75
Q490870	Anders Chydenius	-	89
Q4938400	Charlotta Berger	-	55
Q4941089	Catharina Bröms	-	22
Q4944366	Charlotta Aurora De Geer	-	40
Q4944381	Brita Sophia De la Gardie	-	22
Q4945294	Ulrika Eleonora von Düben	-	16
Q4945900	Helena Maria Ehrenstråhle	-	23
Q4953197	Hedvig Svantepolksdotter	-	18
Q4953277	Margaretha Heijkenskjöld	-	18
Q4953376	Helena Guttormsdatter	-	22
Q4972997	Christina Piper	-	45
Q4973002	Stina Piper	-	38
Q4976863	Stina Sandels	-	33
Q4981287	Benedicta of Bjelbo	-	26
Q4989142	Eva Löwen	-	24
Q4989818	Ulrika Strömfelt	-	34
Q4992085	Lars von Engeström	-	99
Q4993033	Carl Gustaf Nordin	-	76
Q5040378	Carl Jesper Benzelius	-	46
Q524071	Peter Artedi	no relationship at all	72
Q543935	Gustaf Mauritz Armfelt	-	155
Q546949	Malla Silfverstolpe	-	87
Q5542574	Johan Fredric Adelheim	-	23
Q5542622	Johan Adelswärd	-	46
Q5542628	Erik Göran Adelswärd	-	39
Q5542632	Erik Reinhold Adelswärd	-	39
Q5547967	Eric Alstrin	no relationship at all	45
Q5548897	Gregorius Aminoff (1788–1847)	-	29
Q5561270	Matthias Asp	-	54
Q5562579	Magnus Aurivillius	-	41
Q5562598	Samuel Aurivillius	-	51
Q5568857	Daniel Behmer	-	18
Q5570926	Gustaf Benzelstierna	-	46
Q5570928	Lars Benzelstierna (mineralog)	-	39
Q5570931	Lars Benzelstierna (biskop)	-	41
Q5574572	August Berwald	-	25
Q5575580	Gustaf Thure Bielke	-	24
Q5575607	Nils Adam Bielke	-	90
Q5580703	Carl Julius Bernhard von Bohlen	-	22
Q5580881	Carl Gustaf Boije	-	31
Q5580888	Erik Gustaf Johansson Boije	-	21
Q5580892	Fredrik Boije	no relationship at all	65
Q5584506	Magnus Brahe (1790–1844)	-	82
Q5585470	Johan Brauner (1712–1773)	-	26
Q5587236	Carl Johan Gyllenborg	-	30
Q5588874	Brynolf Bengtsson	-	10
Q5589950	Jakob Bunge	-	25
Q5590143	Jonas Bure	-	40
Q5590194	Nils Burensköld	-	44
Q5590212	Laurentius Bureus	-	15
Q5590407	Eric Burman	-	45
Q5605565	Germund Ludvig Cederhielm	-	39
Q5605651	Fredrik Johan Cederschiöld	-	28
Q5605668	Petrus Cederschiöld	-	25
Q5613434	Börje Cronberg	-	14
Q5618759	Adam Carl De la Gardie	-	38
Q5618766	Axel Gabriel De la Gardie	-	39
Q5618770	Carl Julius De la Gardie	-	34
Q5618800	Pontus Fredrik De la Gardie	-	39
Q5618813	Ulrik Gustaf De la Gardie	-	44
Q5622753	Daniel Djurberg (geograf)	-	46
Q5626148	Carl Wilhelm von Düben	-	38
Q5628179	Pehr von Ehrenheim	-	68
Q5698210	Samuel Chydenius	-	44
Q5702986	Carl Olof Delldén	-	32
Q5706932	Claes Julius Ekeblad	-	34
Q5724521	Christopher Falkengréen	-	40
Q5725105	Eric Michael Fant	-	67
Q5735890	Arvid Forbus	-	37
Q5745627	Berge Frondin	-	21
Q5754581	Bengt Reinhold Geijer	-	33
Q5757435	Martinus Gestrinius	no relationship at all	26
Q5772271	Nils Gripenhielm	-	45
Q5773252	Lars Grubbe	-	40
Q5773287	Samuel Andreæ Grubb	-	18
Q5779125	Nils Gyldenstolpe (1799–1864)	-	50
Q5783613	Engelbert Halenius	-	37
Q5790728	Gustaf Harmens	-	29
Q5792035	August von Hartmansdorff	-	57
Q5797554	Detlof Heijkenskjöld den yngre	-	19
Q5802518	Johan von Hermansson	-	30
Q5802535	Matthias von Hermansson	-	51
Q5807131	Mikael Hising	-	41
Q5807136	Vilhelm Hising	-	16
Q5813616	Adam Horn af Ekebyholm	-	71
Q5813639	Claes Fredrik Horn af Åminne (1791–1865)	-	27
Q5818420	Israel Hwasser	no relationship at all	66
Q5819456	Zacharias Hæggström	-	42
Q5822415	Albrecht Ihre	-	24
Q5823030	Carl Gustaf Indebetou	-	44
Q5898100	Pehr Kalling	-	29
Q5913812	Axel Leonhard Klinckowström	-	70
Q5914160	Fredric Philip Klingspor	-	41
Q5914181	Otto Reinhold Klingspor	-	19
Q5915800	Knut Algotsson	-	17
Q5916153	Anders Erik Knös	-	40
Q5916189	Gustaf Knös	-	54
Q5930909	Carl Lagerbring	-	52
Q5930987	Carl Otto Lagercrantz	no relationship at all	21
Q5931081	Gustaf Adolf Lagerfelt	-	26
Q5931099	Israël Lagerfelt (1754–1821)	-	38
Q593496	Anton Rolandsson Martin	-	61
Q593706	Nils Nordenskiöld	-	56
Q5951779	Johan Liljencrantz	-	63
Q5951795	Johan Wilhelm Liljencrantz	-	25
Q5955392	Johan Anders Linder	-	31
Q5959480	Jonas Carl Linnerhielm	-	53
Q5959493	Jonas Petri Linnerius	no relationship at all	21
Q5960165	Carl Lithman	-	31
Q5975022	Lars Augustin Mannerheim	-	39
Q5976894	Gabriel Marklin	no relationship at all	39
Q5977879	Hugo Martin	-	45
Q5978038	Roland Martin (medicinare)	-	53
Q5983613	Daniel Melanderhjelm	-	59
