english	japanese	qid	geni	lt_ja	succession
Mitamino Mikoto					N/A
Uke					N/A
Nanashi					N/A
Konenomikoto					N/A
Emperor Chūai		Q179971			N/A
Mishima no Ashinazunomikoto	三島足奴命	Q135579366			15
Otonakushihimenomikoto					N/A
Kushimarozu Ashinazunomikoto					N/A
Hotsukono Mikoto					N/A
Emperor Ōjin		Q317997			N/A
Ami no Mikoto					N/A
Ou no Sukune	淤宇宿禰	Q55406423		意宇足奴命	16
Ōshimakono Mikoto					N/A
Fusu					N/A
Sahine					N/A
Kaguro					N/A
Wakanuke no Futamata	稚野毛二派皇子	Q13264213			N/A
Kiwamebi					N/A
Miyamukasu Ashinine no Mikoto	出雲宮向	Q135579367		宮向足尼命	17
Ayoutsuninomikoto					N/A
Kumamarono Mikoto					N/A
Ohfubutsu no Ōkimi	意富富杼王	Q11493025			N/A
Izumo no Funin	出雲布奈	Q135579368		布奈臣	18
Ayu					N/A
Tomonoomi					N/A
Mananoomi					N/A
Kasa					N/A
King Hōfei	乎非王	Q11369801			N/A
Izumo no Funei	出雲布禰	Q135579369		布禰臣	19
Tagiko					N/A
Shishikoomi					N/A
Tomu					N/A
Ibanushi					N/A
Hikoushi no Ōkimi	彦主人王	Q11487892			N/A
Izumo no Ihohiku	出雲意波久	Q135579370		意波久	20
Ishiazu					N/A
Makiyama no Omuraji					N/A
Kushi					N/A
Manbei					N/A
Emperor Keitai		Q349277			N/A
Izumo no Miko	出雲美許	Q135579371		美許	21
Chino					N/A
Ninikioomi					N/A
Ōmarono Mikoto					N/A
Fushimaro					N/A
Emperor Kinmei		Q329792			N/A
Izumo no Eiya	出雲叡屋	Q135579373		叡屋	22
Emperor Bidatsu	敏達天皇	Q316637			N/A
Izumo no Obitake	出雲帯許	Q135579374		帯許	23
Prince Oshisaka Hikohito no Ōe	押坂彦人大兄皇子	Q11497661		押坂彦人皇子	N/A
Izumo no Hatayasu	出雲果安	Q95161958			24
Emperor Jomei		Q329761			N/A
Izumo no Hiroshima	出雲広嶋	Q92924732			25
Izumo no Otoyama	出雲弟山	Q95161949		弟山	26
Emperor Tenji		Q314802			N/A
Izumo no Masukata	出雲益方	Q95161959		益方	27
Izumo no Kunikami	Izumo Province 上	Q135579375		国上	28
Izumo no Kuninari	Izumo Province 成	Q135579376		国成	29
Prince Shiki	施基皇子	Q11072254			N/A
Izumo no Hitonaga	出雲人長	Q135579377		人長	30
Izumo no Kanemutsu	出雲兼連	Q135579378		兼連	32
Izumo no Chikuni	出雲千国	Q135579379		千国	31
Emperor Kōnin		Q958662			N/A
Izumo no Tabito	出雲旅人	Q135579380		旅人	33
Emperor Kanmu		Q314846			N/A
Izumo no Toyomochi	出雲豊持	Q135579381		豊持	34
Emperor Saga		Q316654			N/A
Izumo no Tokinobu	出雲時信	Q135579382		時信	35
Emperor Ninmyō		Q349271			N/A
Izumo no Tsunesuke	出雲常助	Q135579384		常助	36
Emperor Kōkō		Q440518			N/A
Izumo no Ujihiro	出雲氏弘	Q135579385			36
Emperor Uda		Q349267			N/A
Izumo no Harutoshi	出雲春年	Q135579386			38
Atsumi-shinnō	敦実親王	Q11499521			N/A
Izumo no Yoshitada	出雲吉忠	Q135579387			39
Minamoto no Masanobu	源雅信	Q3314711			N/A
Izumo no Kuniaki	Izumo Province 明	Q135579388			40
Minamoto no Sukenori	源扶義	Q11564103			N/A
Izumo no Kunitake	Izumo Province 経	Q135579389			41
Sasaki no Moriyoshi		Q135579390			N/A
Izumo no Yukikane	出雲頼兼	Q135579391			42
Sasaki no Yoshiaki		Q135579393			N/A
Izumo no Munefusa		Q135579394			43
Izumo no Kanemune	出雲兼宗	Q135579395			44
Sasaki Tsunekata	佐々木経方	Q11382364			N/A
Izumo no Kaneie	出雲兼家	Q135579396			N/A
Izumo no Kanetada		Q135579397			45
Sasaki Tametoshi	佐々木爲俊	Q11382323			N/A
Izumo no Kanetsune		Q135579398			46
Izumo no Munetaka	出雲宗孝	Q135579399			47
Sasaki Hideyoshi	佐々木秀義	Q7424985			N/A
Izumo no Takafusa	出雲孝房	Q135579400			48
Sasaki Yoshikiyo	佐々木義清	Q4806168			N/A
Yoshida no Yoshide	吉田厳秀	Q135579401			N/A
Izumo no Takatsuna		Q135579402			49
Sasaki Yasukiyo	佐々木泰清	Q11382304			N/A
Izumo no Masataka		Q135579404			50
Toda Yoshiyasu	富田義泰	Q11457249			N/A
En'ya Yoriyasu	塩冶頼泰	Q18236076			N/A
Takaoka Muneyasu		Q6129881			N/A
Izumo no Yoshitaka		Q135579406			51
Takaoka Muneyoshi					N/A
En'ya Sadakiyo	塩冶貞清	Q18225783			N/A
Kakunin					N/A
Izumo no Yasutaka		Q135579407			52
Ookunishinomikoto					N/A
Akanenin					N/A
Takao Muneyoshi					N/A
Takaokamotomune					N/A
Shioya no Tokimune	塩冶時綱	Q135579408			N/A
En'ya Takasada	塩冶高貞	Q11428604			N/A
Izumo no Takatoki	出雲孝時	Q135579409			53
Hiraoka no Sadataka	平岡貞孝	Q135579410			N/A
Higashitakakage	東孝景	Q135579411			N/A
Takaoka Shigemune					N/A
Ookuma no Munetoshi	大熊宗泰	Q135579412			N/A
Izumo no Kiyotaka	出雲清孝	Q135579414			54
Senge no Takamune	千家孝宗	Q135579415			55
Kitajima no Sadataka	北島貞孝	Q135579416			55
Hiraoka no Takataka	平岡高孝	Q135579417			N/A
Higashitokitaka	東時孝	Q135579418			N/A
Takao Takashige	弘融#生家	Q48752911			N/A
Ookuma no Sadakuni	大熊氏貞	Q135579419			N/A
Senge no Naokuni	千家直国	Q135579420			56
Kitajima no Yoshitaka	北島資孝	Q135579421			56
Hiraoka no Tsunetaka	平岡経孝	Q135579422			N/A
Higashitakataka	東景高	Q135579423			N/A
Ookuma no Hiro	大熊氏弘	Q135579424			N/A
Matsujo					N/A
Kitajima no Yukitaka	北島幸孝	Q135579425			57
Hiraoka no Kuninori	平岡国経	Q135579426			N/A
Higashisadayori	東貞頼	Q135579434			N/A
Takaoka Sadashige					N/A
Senge no Takakuni	千家高国	Q135579441			57
Kitajima no Takataka	北島高孝	Q135579447			58
Hiraoka no Naonori	平岡直経	Q135579453			N/A
Higashitakanori	東高頼	Q135579454			N/A
Takaoka no Shigeyori					N/A
Senge no Mochikuni	千家持国	Q135579455			58
Akatsuka no Masatoki	赤塚正時	Q135579456			N/A
Kitajima no Yoshitaka	北島利孝	Q135579457			59
Inaoka no Nobutaka	稲岡宣孝	Q135579459			N/A
Takahama no Yoshitaka	高浜良孝	Q135579460			N/A
Hiraoka no Naotaka	平岡直孝	Q135579461			N/A
Higashiyasunori	東安頼	Q135579462			N/A
Takaoka no Shigeyasu	高岡重泰	Q135579463			N/A
Senge no Naonobu	千家直信	Q135579464			59
Akatsuka no Masakuni	赤塚正国	Q135579465			N/A
Kitashima no Saburou					N/A
Kitajima no Masataka	北島雅孝	Q135579466			60
Takahama no Tomotaka	高浜友孝	Q135579467			N/A
Hiraoka no Naokiyo	平岡直清	Q135579468			N/A
Higashianatsuu	東安通	Q135579470			N/A
Senge no Takatoshi	千家高俊	Q135579471			60
Senge no Takakatsu	千家高勝	Q135579472			62
Akatsuka no Tokinobu	赤塚時信	Q135579473			N/A
Kitajima no Tokitaka	北島時孝	Q135579474			N/A
Kitajima no Hidetaka	北島秀孝	Q135579475			61
Senge no Naokatsu	千家直勝	Q135579476			63
Senge no Yoshikatsu	千家慶勝	Q135579477			64
Senge no Toyotoshi	千家豊俊	Q135579478			61
Akatsuka no Kazunobu	赤塚一信	Q135579479			N/A
Kitajima no Yasutaka	北島安孝	Q135579480			N/A
Senge no Yoshihiro	千家義広	Q135579481			65
Higashiyoshiakira	東慶澄	Q135579483			N/A
Akatsuka no Nagatoshi	赤塚長信	Q135579484			N/A
Kitajima no Hisataka	北島久孝	Q135579485			62
Higashisadanobu	東貞信	Q135579486			N/A
Senge no Motokatsu	千家元勝	Q135579487			66
Kitajima no Hirokatsu	北島広孝	Q135579488			63
Sakusa no Jisei	佐草自清	Q135579489			N/A
Higashinobutoshi	東延俊	Q135579490			N/A
Senge no Takanou	千家尊能	Q135579491			67
Kitajima no Harutaka	北島晴孝	Q135579492			64
Senge no Munetoshi	千家宗敏	Q135579493			71
Senge no Takafusa	千家尊房	Q135579494			69
Senge no Naoharu	千家直治	Q135579495			70
Senge no Takamitsu	千家尊光	Q135579496			68
Kitajima no Tsunetaka	北島恒孝	Q135579497			65
Senge no Toyomasa	千家豊昌	Q135579498			73
Senge no Toyomi	千家豊実	Q135579499			74
Higashisadatsune	東貞通	Q135579500			N/A
Senge no Hiromitsu	千家広満	Q135579501			72
Kitajima no Kanetaka	北島兼孝	Q135579502			66
Kitajima no Michitaka	北島道孝	Q135579503			67
Hisayama no Mototaka	久山元孝	Q135579504			N/A
Senge no Toshikatsu	千家俊勝	Q135579505			75
Kitajima no Naotaka	北島直孝	Q135579506			68
Yakura no Motonori	八倉元理	Q135579507			N/A
Senge no Toshihide	千家俊秀	Q135579508			76
Kitajima no Yoritaka	北島惟孝	Q135579509			69
Yakura no Kazutaka	八倉和孝	Q135579510			N/A
Senge no Takanori	千家尊之	Q135579511			77
Kitajima no Akitaka	北島明孝	Q135579512			70
Kitajima no Okitaka	北島起孝	Q135579513			72
Kitajima no Yoritaka	北島従孝	Q135579514			73
Senge no Takamago	千家尊孫	Q135579515			78
Kitajima no Nobutaka	北島宣孝	Q135579516			71
Kitajima no Zentaka	北島全孝	Q135579517			74
Senge no Takasumi	千家尊澄	Q135579518			79
Kitashima no Naotaka	北島脩孝				75
Senge Takatomi		Q11405449			80
Senge Takanori	千家尊紀				81
Q48763085	北島斉孝	Q48763085			76
Senge no Takanori	千家尊統	Q135579519			82
Yoshinori Kitajima	北島貴孝	Q48760255			77
Senge no Takamitsu	千家尊祀	Q135579521			83
Kitajima no Eitaka	北島英孝	Q135579522			78
Senge no Takanori	千家尊祐	Q135579523			84
Kitajima no Takataka	北島建孝	Q135579526			79
Kunimaro Senge	千家国麿	Q16963459			N/A
Noriko Senge					N/A
Kitajima no Daikou	北島大孝	Q135579527			N/A
