qid,our_token,kind,bearers,missing,n_missing,mul,en,ja,zh
Q16619921,Urraca,given,300,mul ja zh,3,,Urraca,,
Q21146930,Hirsch,given,292,ja zh,2,Hirsch,Hirsch,,
Q69380264,Nilsson,given,276,ja,1,Nilsson,Nilsson,,尼尔森
Q11960827,Berte,given,270,mul ja zh,3,,Berte,,
Q37028917,Trembath,family,266,ja zh,2,Trembath,Trembath,,
Q1772342,Siri,given,259,ja,1,Siri,Siri,,西里
Q21401554,Ignacia,given,250,ja zh,2,Ignacia,Ignacia,,
Q23465018,Leib,given,249,ja zh,2,Leib,Leib,,
Q122838009,Olsdatter,family,248,mul ja zh,3,,Olsdatter,,
Q7386722,Rønneberg,family,248,ja zh,2,Rønneberg,Rønneberg,,
Q64412279,Eva,given,242,mul ja,2,,Eva,,伊娃/艾瓦
Q96181291,VI,given,241,ja zh,2,Vi,Vi,,
Q19803510,M.,given,236,mul,1,,M.,M.,M
Q67171480,Siti,given,232,mul zh,2,,Siti,シティ,
Q25343981,Lévy,family,230,en,1,Lévy,,レヴィ,莱维
Q11980788,Kirstine,given,228,ja,1,Kirstine,Kirstine,,基尔斯蒂娜 (拉丁名字)
Q11977747,Iver,given,226,ja,1,Iver,Iver,,伊弗
Q131617210,Dewi,given,225,ja zh,2,Dewi,Dewi,,
Q19693378,Josepha,given,220,ja zh,2,Josepha,Josepha,,
Q1067071,Charlotta,given,215,ja,1,Charlotta,Charlotta,,夏洛塔
Q19901550,mac,given,214,zh,1,Mac,Mac,マック,
Q62092258,Guiomar,given,210,mul ja,2,,Guiomar,,吉奥马尔
Q18180820,Berthe,given,210,ja zh,2,Berthe,Berthe,,
Q42223005,Andersdotter,family,208,ja zh,2,Andersdotter,Andersdotter,,
Q3503530,Sultan,given,207,mul,1,,Sultan,スルタン,苏勒坦
Q21492117,Carlsson,family,205,mul,1,,Carlsson,カールソン,卡尔森
Q23645132,Olofsson,family,198,ja,1,Olofsson,Olofsson,,奥洛夫松
Q17457544,Margrete,given,198,ja zh,2,Margrete,Margrete,,
Q35026422,Sømme,family,197,mul ja zh,3,,Sømme,,
Q18536473,Marte,given,197,ja zh,2,Marte,Marte,,
Q98962084,Meir,given,195,mul ja zh,3,,Meir,,
Q20088029,Shmuel,given,195,ja zh,2,Shmuel,Shmuel,,
Q58581036,Nicolasa,given,188,mul ja,2,,Nicolasa,,尼古拉莎
Q20000738,Mirza,given,187,ja,1,Mirza,Mirza,,米尔扎
Q2021323,Oluf,given,182,ja,1,Oluf,Oluf,,奥拉夫 (名字)
Q30229687,Grude,family,179,mul ja zh,3,,Grude,,
Q4571101,Sissel,given,179,ja zh,2,Sissel,Sissel,,
Q19803506,I.,given,179,zh,1,I.,I.,I.,
Q65096431,Al-Abbasi,family,177,mul ja zh,3,,Al-Abbasi,,
Q3480258,Edel,given,176,ja zh,2,Edel,Edel,,
Q11993504,Olava,given,175,ja zh,2,Olava,Olava,,
Q30583490,Øksnevad,family,174,mul ja zh,3,,Øksnevad,,
Q104253238,E,given,173,mul,1,,E,娥,娥
Q51917019,Mordechai,given,170,mul ja zh,3,,Mordechai,,
Q56244536,Katzenellenbogen,family,169,mul ja zh,3,,Katzenellenbogen,,
Q63342131,Hansdatter,family,169,ja zh,2,Hansdatter,Hansdatter,,
Q21056446,Lion,given,169,ja,1,Lion,Lion,,莱昂
Q1906157,Marx,given,168,zh,1,Marx,Marx,マルクス,
Q104491994,Gomes,given,168,mul ja zh,3,,Gomes,,
Q21487823,Hauge,family,167,ja zh,2,Hauge,Hauge,,
Q3925294,Publius,given,167,ja zh,2,Publius,Publius,,
Q56872239,Raja,given,166,ja zh,2,Raja,Raja,,
Q2599976,Yehuda,given,165,ja,1,Yehuda,Yehuda,,耶胡达
Q21042811,del,given,165,zh,1,Del,Del,デル,
Q12000735,Sjur,given,164,ja zh,2,Sjur,Sjur,,
Q21286221,Lopo,given,164,ja zh,2,Lopo,Lopo,,
Q17984018,García,given,156,mul,1,,García,ガルシーア,加西亚
Q21504993,Gruffudd,given,155,ja,1,Gruffudd,Gruffudd,,格拉法德
Q104492840,Mécia,given,154,mul ja zh,3,,Mécia,,
Q65981517,Petronila,given,153,mul ja zh,3,,Petronila,,
Q11993741,Oline,given,152,ja zh,2,Oline,Oline,,
Q2444019,Torger,given,149,ja zh,2,Torger,Torger,,
Q26831325,Moïse,given,149,ja zh,2,Moïse,Moïse,,
Q17297772,Flavius,given,148,ja zh,2,Flavius,Flavius,,
Q1172363,Juda,given,148,ja zh,2,Juda,Juda,,
Q11166412,Dorte,given,148,ja,1,Dorte,Dorte,,多尔特
Q23047537,Constança,given,147,mul ja zh,3,,Constança,,
Q21492907,Halphen,family,146,ja zh,2,Halphen,Halphen,,
Q27876648,Persson,family,145,mul,1,,Persson,パーション,佩尔松
Q30078328,Gjertrud,given,145,ja,1,Gjertrud,Gjertrud,,杰特鲁德
Q98962346,Amschel,given,144,ja zh,2,Amschel,Amschel,,
Q21074382,Elling,given,143,ja zh,2,Elling,Elling,,
Q21492875,Chinn,family,141,ja,1,Chinn,Chinn,,钦
Q16479900,Berge,family,141,mul,1,,Berge,ベルゲ,贝格
Q19915002,Cerf,given,141,ja zh,2,Cerf,Cerf,,
Q100435926,de Noronha,family,140,ja zh,2,De Noronha,De Noronha,,
Q21488986,Lunde,family,139,ja zh,2,Lunde,Lunde,,
Q98839162,BRAy,given,139,ja zh,2,Bray,Bray,,
Q35799957,Brahe,family,138,mul ja zh,3,,Brahe,,
Q6304703,Juel,family,137,ja,1,Juel,Juel,,尤尔
Q21452141,Ingebjørg,given,136,ja,1,Ingebjørg,Ingebjørg,,因格比约尔格
Q13365966,Karine,given,135,ja,1,Karine,Karine,,卡里納
Q2844485,Amr,given,134,mul,1,,Amr,アムル,阿慕尔
Q21061253,Laurits,given,132,ja zh,2,Laurits,Laurits,,
Q29646119,Grenfell,family,131,mul,1,,Grenfell,グレンフェル,格伦费尔
Q37214388,Sweetland,family,130,ja zh,2,Sweetland,Sweetland,,
Q18179222,Regine,given,130,ja,1,Regine,Regine,,雷吉娜
Q18177305,Therese,given,130,mul,1,,Therese,テリーズ,特里萨
Q63101553,Princess,given,130,mul zh,2,,Princess,プリンセス,
Q19828989,Torbjørn,given,129,ja,1,Torbjørn,Torbjørn,,托尔比约恩
Q2090092,Betty,given,128,zh,1,Betty,Betty,ベティ,
Q21470407,Cathrine,given,128,ja,1,Cathrine,Cathrine,,凯瑟琳
Q5965663,line,given,128,ja,1,Line,Line,,莱妮 (名字)
Q21503586,Llewelyn,given,127,ja,1,Llewelyn,Llewelyn,,路维林
Q11049480,Guro,given,127,ja zh,2,Guro,Guro,,
Q34369950,Nilsdotter,family,126,mul zh,2,,Nilsdotter,ニルスドッテル,
Q37465014,Sola,family,126,ja,1,Sola,Sola,,索拉
Q29654330,Sehested,family,126,mul ja zh,3,,Sehested,,
Q27888841,Myklebust,family,126,mul ja zh,3,,Myklebust,,
Q21143359,Margreta,given,126,ja zh,2,Margreta,Margreta,,
Q18699290,Lovise,given,126,ja zh,2,Lovise,Lovise,,
Q33036821,Sidsel,given,126,ja zh,2,Sidsel,Sidsel,,
Q21296597,Hywel,given,125,zh,1,Hywel,Hywel,ハイウェル,
Q807877,Barbro,given,124,ja,1,Barbro,Barbro,,巴布罗
Q125388649,de la Garza,family,123,ja zh,2,de la Garza,de la Garza,,
Q3572309,Yitzhak,given,123,zh,1,Yitzhak,Yitzhak,イツハク,
Q16423369,Enok,given,123,ja zh,2,Enok,Enok,,
Q123614057,Wittelsbach,family,122,ja zh,2,Wittelsbach,Wittelsbach,,
Q107723833,Laurids,given,122,mul,1,,Laurids,ラウリッズ,劳里斯
Q1407432,Fernán,given,122,zh,1,Fernán,Fernán,フェルナン,
Q30077254,Dorthea,given,121,ja zh,2,Dorthea,Dorthea,,
Q39265204,Lyse,family,120,ja zh,2,Lyse,Lyse,,
Q21448063,Ballin,family,120,ja zh,2,Ballin,Ballin,,
Q16872161,Lillard,family,120,ja zh,2,Lillard,Lillard,,
Q100150715,Paio,given,120,ja zh,2,Paio,Paio,,
Q3155896,Itamar,given,120,zh,1,Itamar,Itamar,イタマール,
Q18202125,Lea,given,119,zh,1,Lea,Lea,レア,
Q16860348,Branca,given,119,ja zh,2,Branca,Branca,,
Q11964063,Constanza,given,119,ja,1,Constanza,Constanza,,康斯坦茨
Q23048926,Syed,given,119,zh,1,Syed,Syed,サイ,
Q12719075,Torkel,given,118,zh,1,Torkel,Torkel,トルケル,
Q107636931,Seligmann,given,118,ja zh,2,Seligmann,Seligmann,,
Q16276226,Halvor,given,118,ja,1,Halvor,Halvor,,哈尔弗
Q30132563,Braut,family,117,mul ja zh,3,,Braut,,
Q21674683,Einion,given,117,ja zh,2,Einion,Einion,,
Q54943563,Plaut,family,116,ja zh,2,Plaut,Plaut,,
Q19803518,S.,given,116,mul,1,,S.,S.,S.
Q106443407,Aldonça,given,116,mul ja zh,3,,Aldonça,,
Q25805052,Warburg,family,115,ja zh,2,Warburg,Warburg,,
Q7200212,Place,family,115,ja,1,Place,Place,,普莱斯
Q10608165,Olaus,given,115,zh,1,Olaus,Olaus,オラウス,
Q12008141,Tønnes,given,115,ja zh,2,Tønnes,Tønnes,,
Q10993987,Torstein,given,114,ja,1,Torstein,Torstein,,托尔斯坦
Q16872463,Loomis,family,113,zh,1,Loomis,Loomis,ルーミス,
Q20064399,Bondi,family,113,zh,1,Bondi,Bondi,ボンダイ,
Q30085478,Helland,family,113,mul ja,2,,Helland,,赫兰
Q24122088,Lyman,family,113,zh,1,Lyman,Lyman,ライマン,
Q19799953,Mons,given,113,ja zh,2,Mons,Mons,,
Q30229695,Ingebret,given,113,ja zh,2,Ingebret,Ingebret,,
Q30117840,Bartholomew,family,112,mul zh,2,,Bartholomew,バーソロミュー,
Q21452364,Fränkel,family,112,ja,1,Fränkel,Fränkel,,法兰科
Q8270802,Chilton,family,111,mul zh,2,,Chilton,チルトン,
Q56538526,Gomperz,family,111,mul ja zh,3,,Gomperz,,
Q61766457,Christensen,given,111,ja,1,Christensen,Christensen,,克里斯滕森
Q16277367,Jerónimo,given,111,mul,1,,Jerónimo,ヘロニモ,赫罗尼莫/热罗尼莫
Q6063951,Iorwerth,given,111,zh,1,Iorwerth,Iorwerth,イオワース,
Q2096893,Signe,given,111,ja,1,Signe,Signe,,Signe
Q30250455,Kleppe,family,110,mul ja zh,3,,Kleppe,,
Q21147859,Gregoria,given,110,ja,1,Gregoria,Gregoria,,格蕾戈丽亚
Q221332,Bernarda,given,109,ja,1,Bernarda,Bernarda,,贝尔纳达
Q17496543,Esteban,given,108,zh,1,Esteban,Esteban,エステバン,
Q43374755,Agustina,given,108,ja,1,Agustina,Agustina,,阿古斯蒂娜
Q1776470,Margery,given,106,zh,1,Margery,Margery,マージェリー,
Q98545291,Theodora,given,106,mul ja,2,,Theodora,,西奥多拉
Q20155893,Maredudd,given,106,mul ja zh,3,,Maredudd,,
Q1171555,Owain,given,105,zh,1,Owain,Owain,オウェイン,
Q24969538,Tomasa,given,105,ja zh,2,Tomasa,Tomasa,,
Q62661844,Mahaut,given,104,mul ja,2,,Mahaut,,马胡特
Q21144023,Otte,given,103,zh,1,Otte,Otte,オッテ,
Q108068516,X,given,103,ja zh,2,X,X,,
Q30087644,Kolnes,family,102,mul ja,2,,Kolnes,,科内斯
Q16870846,Hollister,family,101,mul ja zh,3,,Hollister,,
Q93871117,de Luxembourg,family,101,ja zh,2,de Luxembourg,de Luxembourg,,
Q37457857,Weems,family,101,ja zh,2,Weems,Weems,,
Q37548132,KHOO,family,101,mul ja zh,3,,Khoo,,
Q61740902,Rodrigues,given,101,ja,1,Rodrigues,Rodrigues,,罗德里格斯
Q11975140,Herborg,given,101,ja,1,Herborg,Herborg,,赫尔伯格
Q37517948,Voll,family,99,mul ja zh,3,,Voll,,
Q16870001,Foss,family,99,mul,1,,Foss,フォス,福斯
Q7800717,Tickner,family,99,zh,1,Tickner,Tickner,ティックナー,
Q18628367,Kunigunde,given,99,ja zh,2,Kunigunde,Kunigunde,,
Q1827880,Lisbeth,given,99,ja zh,2,Lisbeth,Lisbeth,,
Q1036095,Jacinta,given,99,ja zh,2,Jacinta,Jacinta,,
Q30132883,Haga,family,98,ja,1,Haga,Haga,,哈加
Q66978294,Musa,given,98,ja zh,2,Musa,Musa,,
Q19961822,Baudouin,given,98,ja zh,2,Baudouin,Baudouin,,
Q21476584,Meling,family,97,ja,1,Meling,Meling,,梅林
Q37560727,Guggenheim,family,97,ja,1,Guggenheim,Guggenheim,,古根海姆
Q1084384,Christoffer,given,97,ja,1,Christoffer,Christoffer,,克里斯托弗 男性(人名)
Q21508144,Ulfeldt,family,96,ja,1,Ulfeldt,Ulfeldt,,乌尔菲
Q132497111,Gusti,given,96,ja zh,2,Gusti,Gusti,,
Q37184846,Orstad,family,95,ja zh,2,Orstad,Orstad,,
Q122837357,Larsdatter,family,95,mul ja zh,3,,Larsdatter,,
Q94648411,Person,given,95,ja zh,2,Person,Person,,
Q18978381,Menachem,given,95,zh,1,Menachem,Menachem,メナヘム,
Q30078447,Gurine,given,95,ja zh,2,Gurine,Gurine,,
Q721398,Asbjørn,given,95,ja zh,2,Asbjørn,Asbjørn,,
Q21144645,Ide,given,95,ja,1,Ide,Ide,,伊德
Q105975336,Flörsheim,family,94,mul ja zh,3,,Flörsheim,,
Q19915029,Pons,given,94,zh,1,Pons,Pons,ポンス,
Q1250567,Dorthe,given,93,ja,1,Dorthe,Dorthe,,多斯
Q19803523,W.,given,93,mul,1,,W.,W.,W
Q16871609,Kulp,family,92,ja zh,2,Kulp,Kulp,,
Q23304595,Gustafsson,family,91,mul,1,,Gustafsson,グスタフソン,古斯塔弗松
Q21487820,Lykke,family,91,ja,1,Lykke,Lykke,,莱克
Q104837154,de Renty,family,91,ja zh,2,de Renty,de Renty,,
Q19967624,Tora,given,91,ja,1,Tora,Tora,,托拉
Q12006598,Tollef,given,91,ja zh,2,Tollef,Tollef,,
Q20001326,Joaquin,given,91,ja,1,Joaquin,Joaquin,,华金
Q37539029,Grannis,family,90,mul ja zh,3,,Grannis,,
Q16870705,Henriques,family,90,ja,1,Henriques,Henriques,,恩里克斯
Q88458721,Hohenzollern,family,90,mul ja zh,3,,Hohenzollern,,
Q740790,Petra,given,90,zh,1,Petra,Petra,ペトラ,
Q47528688,Thott,family,89,mul ja,2,,Thott,,托特
Q55617908,Württemberg,family,89,mul ja zh,3,,Württemberg,,
Q33869821,Halberstadt,family,89,mul zh,2,,Halberstadt,ハルバーシュタット,
Q846230,Tiberius,given,89,zh,1,Tiberius,Tiberius,ティベリウス,
Q13648620,Hedvig,given,89,zh,1,Hedvig,Hedvig,ヘドヴィグ,
Q21446378,Vik,family,88,ja zh,2,Vik,Vik,,
Q11963736,Christiansen,family,88,ja,1,Christiansen,Christiansen,,克里斯蒂安森
Q21497082,Olsson,family,88,mul,1,,Olsson,オルッソン,奥尔松
Q24514449,Worms,family,88,ja,1,Worms,Worms,,尔姆斯
Q19793321,Gauthier,given,88,ja,1,Gauthier,Gauthier,,高蒂尔
Q1809274,Ingvald,given,88,ja zh,2,Ingvald,Ingvald,,
Q44682485,Toda,given,88,zh,1,Toda,Toda,トダ,
Q20001503,Simão,given,88,ja,1,Simão,Simão,,西芒
Q989832,Gunder,given,87,ja zh,2,Gunder,Gunder,,
Q113586544,Aldonza,given,87,mul ja zh,3,,Aldonza,,
Q28745127,Fraenkel,family,86,zh,1,Fraenkel,Fraenkel,フレンケル,
Q7293456,Ransdell,family,86,ja zh,2,Ransdell,Ransdell,,
Q1457563,Aslak,given,86,ja,1,Aslak,Aslak,,阿斯拉克
Q18699284,Jette,given,86,ja,1,Jette,Jette,,杰特
Q11979724,Jørgine,given,86,ja zh,2,Jørgine,Jørgine,,
Q21494323,Loeb,family,85,ja,1,Loeb,Loeb,,勒布
Q23596199,Seligman,family,85,zh,1,Seligman,Seligman,セリグマン,
Q6980316,Natt,family,85,ja zh,2,Natt,Natt,,
Q21508189,Wertheimer,family,85,zh,1,Wertheimer,Wertheimer,ヴェルトハイマー,
Q42172045,Nuño,given,85,mul ja zh,3,,Nuño,,
Q3354141,Borghild,given,85,ja,1,Borghild,Borghild,,博格希尔
Q20755782,Guttorm,given,85,zh,1,Guttorm,Guttorm,グットルム,
Q37539150,Westover,family,84,mul ja zh,3,,Westover,,
Q18763662,Eudes,given,84,ja zh,2,Eudes,Eudes,,
Q27497085,Javiera,given,84,mul ja,2,,Javiera,,哈韦拉
Q43306120,Melchor,given,84,zh,1,Melchor,Melchor,メルチョル,
Q16883403,Skeel,family,83,ja zh,2,Skeel,Skeel,,
Q20630289,Sande,family,83,ja,1,Sande,Sande,,桑德
Q1857786,Pernille,given,83,ja,1,Pernille,Pernille,,佩尼尔
Q19869019,Alvaro,given,83,mul,1,,Alvaro,アルヴァロ,阿尔瓦罗
Q11993398,Olaug,given,83,ja zh,2,Olaug,Olaug,,
Q16865962,Custer,family,82,ja zh,2,Custer,Custer,,
Q50144391,Scheuer,family,82,ja zh,2,Scheuer,Scheuer,,
Q18953711,Svein,given,82,ja,1,Svein,Svein,,斯韦恩
Q21146224,Meier,given,82,ja,1,Meier,Meier,,梅尔
Q106142720,Zayd,given,82,mul ja,2,,Zayd,,扎伊德
Q21142276,Rosette,given,81,ja,1,Rosette,Rosette,,罗塞特
Q17483952,Mathis,given,81,ja,1,Mathis,Mathis,,马蒂斯/马西斯
Q48816079,Xaviera,given,81,ja zh,2,Xaviera,Xaviera,,
Q889848,Bodil,given,81,ja,1,Bodil,Bodil,,博迪尔
Q37537623,Atwater,family,80,mul ja zh,3,,Atwater,,
Q55222347,Hvide,family,80,ja zh,2,Hvide,Hvide,,
Q105611778,de Créquy,family,80,ja zh,2,de Créquy,de Créquy,,
Q16870336,Grubbe,family,79,ja,1,Grubbe,Grubbe,,格鲁贝
Q759213,Auerbach,family,79,zh,1,Auerbach,Auerbach,アウエルバッハ,
Q53588476,Riess,family,79,ja,1,Riess,Riess,,里斯
Q23773657,Aemilius,given,79,ja zh,2,Aemilius,Aemilius,,
Q100252212,Abd,given,79,ja zh,2,Abd,Abd,,
Q47456835,Gyldenstierne,family,78,ja zh,2,Gyldenstierne,Gyldenstierne,,
Q36912072,Maddern,family,78,ja,1,Maddern,Maddern,,麦德瑞
Q37575878,Oats,family,78,ja zh,2,Oats,Oats,,
Q1557742,Gudmund,given,78,ja zh,2,Gudmund,Gudmund,,
Q21286222,Soeiro,given,78,ja zh,2,Soeiro,Soeiro,,
Q21482622,Bolstad,family,77,ja zh,2,Bolstad,Bolstad,,
Q1261950,Ja'far,given,77,mul,1,,Ja'far,ジャファル,贾法尔
Q3855782,Meurig,given,77,ja zh,2,Meurig,Meurig,,
Q40000023,Vestly,family,76,ja zh,2,Vestly,Vestly,,
Q29573224,Merriman,family,76,zh,1,Merriman,Merriman,メリマン,
Q1781319,Amund,given,76,zh,1,Amund,Amund,アムンド,
Q43400497,Jeronimo,given,76,ja,1,Jeronimo,Jeronimo,,杰罗尼莫
Q26736518,Urne,family,75,ja zh,2,Urne,Urne,,
Q1667462,Krabbe,family,75,ja zh,2,Krabbe,Krabbe,,
Q56540471,Rindskopf,family,75,ja zh,2,Rindskopf,Rindskopf,,
Q37566410,Bonn,family,75,ja,1,Bonn,Bonn,,波恩
Q827600,Bertel,given,75,ja zh,2,Bertel,Bertel,,
Q11958043,Andrine,given,75,ja zh,2,Andrine,Andrine,,
Q111085860,Enevald,given,75,ja zh,2,Enevald,Enevald,,
Q16882879,Searle,family,74,ja zh,2,Searle,Searle,,
Q578453,Ragna,given,74,ja,1,Ragna,Ragna,,拉格娜
Q187309,Ethel,given,74,zh,1,Ethel,Ethel,エセル,
Q37286105,Hanau,family,73,ja zh,2,Hanau,Hanau,,
Q49791666,Delbanco,family,73,ja zh,2,Delbanco,Delbanco,,
Q18002157,Halvard,given,73,zh,1,Halvard,Halvard,ハルヴァルド,
Q55441211,Mechtild,given,73,mul ja zh,3,,Mechtild,,
Q7107242,Osmund,given,72,ja,1,Osmund,Osmund,,奥斯蒙德
Q19384399,Olai,given,72,ja zh,2,Olai,Olai,,
Q1557859,Gwenllian,given,72,ja zh,2,Gwenllian,Gwenllian,,
Q1314360,Oda,given,72,ja,1,Oda,Oda,,奥达
Q28174114,Martinius,given,72,zh,1,Martinius,Martinius,マルティニウス,
Q7825922,Tormod,given,72,zh,1,Tormod,Tormod,トルモッド,
Q21043156,Aurelius,given,71,ja zh,2,Aurelius,Aurelius,,
Q20024774,Rosine,given,71,ja,1,Rosine,Rosine,,罗西娜
Q1591888,Hayes,family,70,mul,1,,Hayes,ヘイズ,海斯
Q16877350,Montague,family,70,mul,1,,Montague,モンタギュー,蒙塔古
Q1217606,Eline,given,70,ja,1,Eline,Eline,,埃琳
Q17518394,Kornelius,given,70,ja zh,2,Kornelius,Kornelius,,
Q27888954,Gjesdal,family,69,mul ja,2,,Gjesdal,,杰斯达尔
Q21494149,Fuld,family,69,ja zh,2,Fuld,Fuld,,
Q23197754,Felipa,given,69,zh,1,Felipa,Felipa,フェリパ,
Q30087770,Severine,given,69,ja zh,2,Severine,Severine,,
Q21286215,Madalena,given,69,zh,1,Madalena,Madalena,マダレナ,
Q27892877,Oftedal,family,68,mul ja zh,3,,Oftedal,,
Q45854140,Tott,family,68,ja zh,2,Tott,Tott,,
Q63951643,de Castellane,family,68,ja zh,2,de Castellane,de Castellane,,
Q6978835,Gunvor,given,68,ja zh,2,Gunvor,Gunvor,,
Q21141879,Mozes,given,68,ja zh,2,Mozes,Mozes,,
Q21506781,Rantzau,family,67,ja zh,2,Rantzau,Rantzau,,
Q30736942,Juul,family,67,mul ja,2,,Juul,,尤尔
Q608991,Richards,family,67,mul,1,,Richards,リチャーズ,理查兹
Q130461700,Sextus,given,67,ja zh,2,Sextus,Sextus,,
Q15711317,Vilhelmina,given,67,ja,1,Vilhelmina,Vilhelmina,,维尔海米娜
Q21509419,Hognestad,family,66,ja,1,Hognestad,Hognestad,,霍涅斯卡德
Q27888842,Tveit,family,66,mul ja zh,3,,Tveit,,
Q7839634,Trezise,family,66,ja zh,2,Trezise,Trezise,,
Q21484913,Mathisen,family,66,ja,1,Mathisen,Mathisen,,马西森/马蒂森
Q106333879,Werthan,family,66,ja zh,2,Werthan,Werthan,,
Q16002118,Aharon,given,66,ja,1,Aharon,Aharon,,阿哈龙
Q20965522,Jep,given,66,ja zh,2,Jep,Jep,,
Q114970715,di Savoia,family,65,ja zh,2,di Savoia,di Savoia,,
Q6704315,Lunge,family,65,zh,1,Lunge,Lunge,ルンゲ,
Q65329742,d'Agoult,family,65,mul ja zh,3,,d'Agoult,,
Q12330859,Palle,given,65,ja,1,Palle,Palle,,帕勒
Q21401562,Petrona,given,65,ja zh,2,Petrona,Petrona,,
Q98879925,Wolff,given,65,ja,1,Wolff,Wolff,,沃尔夫
Q12007064,Torjus,given,65,ja zh,2,Torjus,Torjus,,
Q19589874,Eugénie,given,65,ja,1,Eugénie,Eugénie,,欧仁妮
Q7077865,Odland,family,64,ja zh,2,Odland,Odland,,
Q25802735,Youngblood,family,64,mul,1,,Youngblood,ヤングブラッド,扬布拉德
Q16872546,Lovett,family,64,mul zh,2,,Lovett,ラヴェット,
Q122837792,Nielsdatter,family,64,mul ja zh,3,,Nielsdatter,,
Q37543070,Bernheimer,family,64,mul ja zh,3,,Bernheimer,,
Q21501431,Bass,family,64,mul,1,,Bass,バス,巴斯
Q3806969,Giovanna,given,64,zh,1,Giovanna,Giovanna,ジョヴァンナ,
Q3934117,Rhoda,given,64,ja zh,2,Rhoda,Rhoda,,
Q9334803,Sebastiana,given,64,zh,1,Sebastiana,Sebastiana,セバスティアーナ,
Q19869345,Sivert,given,64,ja zh,2,Sivert,Sivert,,
Q28872484,Eikeland,family,63,mul ja,2,,Eikeland,,艾克兰
Q28406312,Jensdatter,family,63,ja zh,2,Jensdatter,Jensdatter,,
Q30083367,Brekke,family,63,mul ja zh,3,,Brekke,,
Q37066416,Tonkin,family,63,zh,1,Tonkin,Tonkin,トンキン,
Q30264780,Aga,family,63,mul ja,2,,Aga,,艾贾
Q18354184,Tree,family,63,mul ja,2,,Tree,,特雷厄
Q17486279,Bernat,given,63,ja,1,Bernat,Bernat,,伯纳特
Q12718900,Tarald,given,63,ja zh,2,Tarald,Tarald,,
Q16860438,Bridges,family,62,mul,1,,Bridges,ブリッジズ,布里吉斯
Q83344461,Carlsdotter,family,62,ja zh,2,Carlsdotter,Carlsdotter,,
Q3480262,Magnhild,given,62,ja zh,2,Magnhild,Magnhild,,
Q21286219,Aires,given,62,zh,1,Aires,Aires,アイレス,
Q19803504,G.,given,62,mul,1,,G.,G.,G.
Q6010179,Mencía,given,62,mul ja zh,3,,Mencía,,
Q65966886,Jerónima,given,62,mul ja zh,3,,Jerónima,,
Q16276024,Gómez,given,62,mul,1,,Gómez,ゴメス,戈麦斯
Q105654961,Hannchen,given,62,mul ja zh,3,,Hannchen,,
Q20856684,Ersson,family,61,ja zh,2,Ersson,Ersson,,
Q111729332,Plantagenet,family,61,ja zh,2,Plantagenet,Plantagenet,,
Q30088373,Seim,family,61,mul zh,2,,Seim,セイム,
Q5682498,Haugland,family,61,ja zh,2,Haugland,Haugland,,
Q37563667,Gerstle,family,61,ja zh,2,Gerstle,Gerstle,,
Q67141905,Brisac,family,61,mul ja zh,3,,Brisac,,
Q17651236,Thérèse,given,61,zh,1,Thérèse,Thérèse,テリーズ,
Q16279333,Mem,given,61,mul zh,2,,Mem,メム,
