han	corpus_count	ko_readings	zh_pinyin	kKorean	kJapaneseOn	kJapaneseKun	definition
鎔	5	용	róng	YONG	YOU	IGATA TOKERU	fuse, melt, smelt; mold
甄	5	견	zhēn	KYEN CIN	KEN SHIN	SUE	to examine, discern; to grade; a surname
錯	5	착	cuò	CHAK CO	SAKU SO	MAJIRU TAGAU OKU	error, blunder, mistake, wrong
悊	5	철	zhé		TETSU TECHI	UYAMAU	wise. to know intuitively
捷	5	첩	jié	CHEP	SHOU SOU	KATSU HAYAI	win, victory, triumph
阜	5	부	fù	PWU	FU	OKA	mound; abundant, ample, numerous; Kangxi radical 170
廞	5	흠	xīn	HUM	KIN KON GIN GON KAN KEN	TSURANERU OKOSU KEHASHIISAMA	to prepare horses and chariots for battle
滔	5	도	tāo	TO	TOU	HABIKORU	overflow; rushing water, a torrent
惔	5	담	tán		TAN TEN NEN EN	UREERU	cheerful
珮	5	패	pèi	PHAY	HAI	OBIDAMA	jade ornament
棄	5	기	qì	KI	KI	SUTERU	reject, abandon, discard
齋	5	재	zhāi	CAY	SAI SHI	MONOIMI TSUTSUSHIMU	vegetarian diet; study; to fast, abstain
烱	5	경	jiǒng	KYENG	KEI KYOU	AKIRAKA	bright, brilliant, clear; hot
橫	5	횡	héng	HOYNG	OU KOU	YOKO YOKOTAWARU YOKOTAERU YOKO YOKOTAWARU YOKOTAERU	across, horizontal, lateral
炤	5	소 조	zhào	SO CO	SHOU SHAKU	TERU	illumine, light up; reflect
貺	5	황	kuàng	HWANG	KYOU KOU	TAMAU	give, grant, bestow; surname
鏗	5	갱	kēng	KAYNG	KOU KYOU	UTSU TSUKU	strike, beat, stroke; jingling
麒	5	기	qí	KI	KI GI		legendary auspicious animal
屏	5		píng	PYENG	HEI BYOU	SHIRIZOKU OOU	folding screen, shield
倜	5	척	tì	CHEK	TEKI CHAKU CHUU CHYU	SUGURERU OROKA SOMUKU	raise high; unrestrained
榕	5	용	róng	YONG	YOU	AKOU	banyan tree
錡	5	기	qí	KI UY	KI GI	NOKOGIRI KAMA	a kind of pen; a kind of chisel
塤	5	훈	xūn	HWUN	KEN TAWAN	TSUCHIBUE	instrument
讜	5	당	dǎng	TANG	TOU	TADASHIIKOTOBA	counsel, advice; speak out
羡	5	이	xiàn	SEN YEN	SEN EN	URAYAMU AMARI	envy, admire; praise; covet
已	5	이	yǐ	I	I	SUDENI YAMU NOMI	already; finished; stop
俠	5	협	xiá	HYEP KYEP	KYOU	OTOKODATE KYAN	chivalrous person; knight-errant
瓦	5	와	wǎ	WA	GA	KAWARA GURAMU	tile; earthenware pottery; girl
郑	5		zhèng				state in today's Henan; surname
閣	5	각	gé	KAK	KAKU	KANNUKI TANA TAKADONO	chamber, pavilion; cabinet
閩	5	민	mǐn	MIN	BEN MIN BUN MON		Fujian province; a river; a tribe
預	5	예	yù	YEY	YO	AZUKERU ARAKAJIME AZUKARU	prepare, arrange; in advance
稅	5	세	shuì	SEY THAL	ZEI DATSU ETSU	MITSUGI	taxes, revenue, duty; tax
鍠	5		huáng	KOYNG	KOU	MASAKARI	weapon
侑	5	유	yòu	YU	YUU U	SUSUMERU TASUKERU	help, assist, repay kindness
藹	5	애	ǎi	AY	AI ATSU	OOI MAMEMAMESHII	lush; affable, friendly
曙	5	서	shǔ	SE	SHO	AKEBONO	bright, light of rising sun
甯	5		níng	NYENG	NEI NYOU	NEGAI	peaceful
轩	5		xuān				carriage; high; wide; balcony
圣	5		shèng		KUTSU KOCHI SEI	TAGAYASU	holy, sacred
組	5	조	zǔ	CO	SO SHO	KUMU KUMIHIMO KUMI	class; section, department
沐	5	목	mù	MOK	BOKU MOKU	ARAU	bathe, cleanse, wash, shampoo
棐	5	비	fěi	PI	HI BI	YUDAME	species of yew
旉	5		fū	PWU	FU	HU	to state to, to announce
導	5	도	dǎo	TO	DOU	MICHIBIKU MICHIBIKI	direct, guide, lead, conduct
練	5	련 연	liàn	LYEN	REN	NERU NERIGINU	practice, drill, exercise, train
芷	5	지	zhǐ	CI	SHI	KUSA	angelica
再	5	재	zài	CAY	SAI SA	FUTATABI	again, twice, re-
辜	5	고	gū	KO	KO	TSUMI	crime, criminal offense
廖	5	료	liào	LYO	RYOU	MUNASHII	surname; name of an ancient state
追	5	추	zhuī	CHWU THOY	TSUI TAI	OU	pursue, chase after; expel
崖	5	애	yá	AY UY	GAI	GAKE	cliff, precipice; precipitous
洋	5	양	yáng	YANG	YOU SHOU	NADA	ocean, sea; foreign; western
逌	5	유	yōu	YU	YUU YU	YURUYAKA	please; smiling; complacent
勁	5	경	jìn	KYENG	KEI	TSUYOI	strong, unyielding, tough, powerful
過	5	과	guò	KWA	KA	SUGIRU AYAMATSU TOGA	pass, pass through, go across
軾	5	식	shì	SIK	SHOKU SHIKI	SHIKIMI	horizontal wooden bar in front of a sedan chair
憕	5		chéng				
亳	5	박	bó	PAK	HAKU BAKU		name of district in Anhui; capital of Yin
澥	5	해	xiè		KAI GE		a blocked stream; gulf
戢	5	집	jí	CIP	SHUU	OSAMERU	to put away; to cease; store up
维	5		wéi				maintain, preserve, safeguard
尤	5	우	yóu	WU	YUU	TOGAMERU TOGA MOTTOMO	especially, particularly
朴	5	박	pǔ	PAK	BOKU HOKU	HOO	simple, unadorned; sincere; surname; a tree
揔	5		zǒng		SOU SU	SUBE MINA HIKIIRU SUSUMERU	collect; overall, altogether
继	5		jì				continue, maintain, carry on
價	5	가	jià	KA	KA KE	ATAI	price, value
誘	5	유	yòu	YU	YUU	SASOU IZANAU	persuade, entice, induce; guide
液	5	액	yè	AYK	EKI	SHIRU	sap, juice, liquid, fluid
頲	5	정	tǐng		TEI CHOU		straight
淨	5	정	jìng	CENG	JOU SEI	KYOI	pure, clean, unspoiled
竦	5	송	sǒng	SONG	SHOU	TSUTSUSHIMU OSORERU SUKUMU	revere, respect, be in awe of
覃	5	담	tán	TAM	TAN EN	UMAI NOBIRU NAGAI	reach to, spread to; extensive
璹	5	숙	shú	SWU	SHUU JU TOU DOU	TAMA	
珌	5	필	bì	PHIL	HITSU HICHI HETSU BECHI	KAZARI	ornament
爰	5	원	yuán	WEN	EN	KOKONI	lead on to; therefore, then
逾	5	유	yú	YU	YU	KOERU IYOIYO	go over, pass over, exceed
穜	5		tóng		TOU ZU SHOU SHU	OKUTE	rice
曅	5	엽	yè	YEP	YOU	KAGAYAKU	bright; flourishing
膠	5	교	jiāo	KYO	KOU	NIKAWA	glue, gum, resin, rubber
兖	5	연	yǎn	YEN			establish; one of nine empire divisions
鄯	5		shàn		SEN ZEN		district in Gansu during the Tang dynasty
玘	5	기	qǐ	KI	KI	TAMA	court-dress jewels
測	5	측	cè	CHUK	SOKU	HAKARU	measure, estimate, conjecture
挹	5	읍	yì	UP	YUU OU	KUMU	to bale out; to decant liquids
涗	5	세	shuì		SEI SETSU SECHI	NURUMAYU	
懲	5	징	chéng	CING	CHOU	KORASU KORIRU KORASHIMERU	punish, reprimand; warn
儹	5	찬	zǎn	CHAN	SAN	ATSUMERU ATSUMARU	to accumulate, to hoard, to store up
囗	5		wéi	KWUK WI	I KOKU	KAKOMU KUNI	erect, proud; upright; bald
泚	5	자	cǐ	CA	SEI SAI SHI	KIYOI	clear; bright and brilliant; sweat
惑	5	혹	huò	HOK	WAKU	MADOU MADOI	confuse, mislead, baffle; doubt
逊	5		xùn				humble, modest; yield
韫	5		yùn				secrete, hide, conceal
菩	5	보	pú	PO	HAI BO	HOTOKEGUSA	herb, aromatic plant
駱	5	낙 락	luò	LAK	RAKU	KAWARAGE	a white horse with black mane; a camel
而	5	이	ér	I	JI NI	SHIKOUSHITE SHIKASHITE SHIKAREDOMO	and; and then; and yet; but; Kangxi radical 126
边	5		biān	PYEN	HEN	ATARI BE HOTORI	edge, margin, side, border
韞	4	온	yùn	ON	ON UN	KAKIIRO	an orange color; hide, conceal
颺	4	양	yáng	YANG	YOU	AGERU	soar, fly, float; scatter
嵸	4		zōng				
逐	4	축	zhú	CHWUK CEK	CHIKU JIKU	OU	chase, expel; one by one
复	4		fù				return; repeat; repeatedly
署	4	서	shǔ	SE	SHO	YAKUWARI SHIRUSU	public office
渊	4	연	yuān		EN	FUCHI BUCHI	surge up, bubble up, gush forth
旴	4	우	xū	WU	KU	ASA	dawn
晋	4	진	jìn	CIN	SHIN	SUSUMU	advance, increase; promote
埃	4	애	āi	AY	AI	CHIRI HOKORI	fine dust, dirt
付	4	부	fù	PWU	FU	TSUKERU ATAERU TSUKU	give, deliver, pay, hand over; entrust
歓	4		huān	HWAN	KAN	YOROKOBU	happy, pleased, glad; joy; enjoy
弐	4		èr		NI JI	FUTATSU	number two
滴	4	적	dī	CEK	TEKI	SHITATARU SHIZUKU SHITATARI	drip; drop of water
閇	4		bì		HEI	TOZASU TOJIRU MUSUBI	shut, close; obstruct, block up
鴨	4	압	yā	AP	OU	KAMO	duck; Anas species (various)
磨	4	마	mó	MA	MA	MIGAKU	grind; polish; rub; wear out; a millstone
使	4	사	shǐ	SA SI	SHI	TSUKAU TSUKAI	cause, send on a mission, order; envoy, messenger, ambassado
漏	4	누 루	lòu	LWU	ROU	MORU MORERU MORASU	leak, drip; funnel; hour glass
腰	4	요	yāo	YO	YOU	KOSHI	waist; kidney
境	4	경	jìng	KYENG	KYOU KEI	SAKAI	boundary, frontier; area, region
荑	4	이	tí	CEY I	TEI DAI I	TSUBANA	sprouts; tares
樟	4	장	zhāng	CANG	SHOU	KUSU	camphor tree
兎	4	토	tù	THO	TO	USAGI	rabbit, hare
除	4	제	chú	CEY	JO JI	NOZOKU HARAU	eliminate, remove, except
婆	4	파	pó	PHA	BA	BABA	old woman; grandmother
蚊	4	문	wén	MWUN	BUN	KA	mosquito; gnat
掾	4	연	yuàn	YEN	EN TEN	JOU TASUKERU SHITAYAKU	a general designation of officials
杢	4		jié			MOKU	woodworker
弾	4		dàn	THAN	DAN TAN	TAMA HAZUMU HIKU	(variant of 彈) a pellet, bullet, shot, shell
猿	4	원	yuán	WEN	EN	SARU	ape
領	4	령 영	lǐng	LYENG	RYOU REI	UNAJI ERI OSAMERU	neck; collar; lead, guide
伽	4	가	jiā	KA	KYA KA GA	TOGI	transcription of Sanskrit 'gha' in Buddhist texts ('samgha',
俟	4	사	qí	SA KI	SHI	MATSU	wait for, wait until, as soon as
奚	4	해	xī	HAY	KEI	NANZO	where? what? how? why?; servant
閎	4	굉	hóng	KOYNG	KOU OU		gate, barrier; wide, vast, expand
閼	4	알	è	AN	A YO EN	FUSAGU TODOMERU	block, obstruct, stop up, conceal
眷	4	권	juàn	KWEN	KEN	KAERIMIRU	take interest in, care for
掌	4	장	zhǎng	CANG	SHOU	TANAGOKORO TSUKASADORU	palm of hand, sole of foot, paw
藪	4	수	sǒu	SWU	SOU	YABU	marsh, swamp; wild country; clump of trees or bushes
或	4	혹	huò	HOK	WAKU IKI	ARU ARUIHA	or, either, else; perhaps, maybe
番	4	번	fān	PEN PAN	BAN HAN	TSUGAI TSUGAU TSUGAERU	to take turns; a turn, a time; to repeat
透	4	투	tòu	THWU	TOU	SUKU SUKASU TOORU	penetrate, pass through
故	4	고	gù	KO	KO	YUE KOTO KOTOSARANI	ancient, old; reason, because
現	4	현	xiàn	HYEN	GEN KEN	ARAWARERU ARAWASU UTSUTSU	appear, manifest, become visible
戒	4	계	jiè	KYEY	KAI	IMASHIMERU IMASHIME	warn, caution, admonish
箴	4	잠	zhēn	CAM	SHIN	HARI IMASHIMERU	needle, probe; warn, admonish
梗	4	경	gěng	KYENG	KOU KYOU	YAMANIRE	stem of flower, branch of plant
墨	4	묵	mò	MWUK	BOKU MOKU	SUMI	ink; writing
負	4	부	fù	PWU	FU BU	OU MAKERU TANOMU	load, burden; carry, bear
並	4	병	bìng	PYENG	HEI	NAMI NARABERU NARABINI	equal to; side by side; also, what is more; both
揮	4	휘	huī	HWI	KI	FURUU	direct; wipe away; squander
破	4	파	pò	PHA	HA	YABURU YABURERU	break, ruin, destroy; rout
稠	4	조	chóu	CO CWU	CHUU CHOU	SHIGERU OOI	dense, crowded, packed; soupy
掃	4	소	sǎo	SO	SOU	HAKU HARAU	sweep, clear away; exterminate
窩	4	와	wō	WA	KA WA	MURO	nest; cave, den; hiding place
匠	4	장	jiàng	CANG	SHOU	TAKUMI	craftsman, artisan; workman
往	4	왕	wǎng	WANG	OU	YUKU IKU INISHIE	go, depart; past, formerly
貨	4	화	huò	HWA	KA	TAKARA	goods, commodities, products
寚	4		bǎo		HOU	TAKARA	precious; rear; valuable treasure; bullion a jewel
椙	4	창	chāng	CHANG		SUGI	
蒨	4	천	qiàn	CHEN	SEN	AKANE	lush vegetation, luxuriant growth
杏	4	행	xìng	HAYNG	KYOU KOU	ANZU	apricot; almond
囿	4	유	yòu	YU	YUU	SONO	pen up; limit, constrain
値	4	치	zhí	CHI	CHI CHOKU	NE ATAI AU	price, cost, worth
厲	4	려	lì	LYE	REI RAI RETSU RECHI	TO TOGU KOSURU	whetstone; grind, sharpen; whet
夙	4	숙	sù	SWUK	SHUKU	TSUTONI HAYAI	early in morning, dawn; previous
且	4	차	qiě	CHA CE	SHA SHO	KATSU	moreover, also (post-subject); about to, will soon (pre-verb
頓	4	돈	dùn	TON TWUN	TON TOTSU	NUKAZUKU TSUMAZUKU TOMINI	pause, stop; bow, kowtow; arrange
猶	4	유	yóu	YU	YUU	NAO	like, similar to, just like, as
戡	4	감	kān	KAM	KAN CHIN	KATSU	subjugate, subdue, quell; kill
吟	4	음	yín	UM	GIN KIN	UTAU NAKU	sing, hum; recite; type of poetry
宕	4	탕	dàng	THANG	TOU	SUGIRU	stone quarry; cave dwelling
槎	4	차	chá	CHA	SA	IKADA	raft; time, occasion; to hew
匣	4	갑	xiá	KAP	KOU GOU	HAKO	small box, case, coffer
帥	4	솔 수	shuài	SOL SWU	SOTSU SUI	HIKIIRU SOTSU	commander, commander-in-chief
颖	4		yǐng				rice tassel; sharp point; clever
珊	4	산	shān	SAN	SAN		coral
报	4		bào				report, tell, announce
外	4	외	wài	OY	GAI GE	SOTO HOKA HAZUSU	out, outside, external; foreign
昺	4	병	bǐng	PYENG			bright, glorious; brilliant
郢	4	영	yǐng	YENG	EI		ancient city in Hubei
需	4	수 유	xū	SWU	JU	NURERU MATSU MOTOMERU	need, require, must; hexagram ䷄
墀	4	지	chí	CI	CHI JI	KIZAHASHI SU	porch; courtyard; steps leading
榛	4	진	zhēn	CIN	SHIN	HASHIBAMI HARI	hazelnut; thicket, underbrush
艶	4	염	yàn	YEM	EN	NAMAMEKASHII TSUYA	beautiful, sexy, voluptuous
闡	4	천	chǎn	CHEN	SEN	HIRAKU	explain, clarify, elucidate
算	4	산	suàn	SAN	SAN	KAZOERU KAZU	count, calculate, figure; plan
鵠	4	곡	hú	KOK HOK	KOKU KOU	KUGUI MATO	target
抵	4	저	dǐ	CE CI	TEI	ATARU ATERU	resist, oppose; deny; off-set
暾	4	돈	tūn	TON	TON	ASAHI	morning sun, sunrise
頴	4		yǐng		EI	HOSAKI	rice tassel; sharp point; clever
呼	4	호	hū	HO	KO	YOBU	breathe sigh, exhale; call, shout
徴	4		zhēng	CING CHI	CHOU CHI	SHIRUSHI MESU	summon
鋒	4	봉	fēng	PONG	HOU	HOKOSAKI HOKO	point of spear, sharp point
憙	4	희	xǐ	HUY	KI SHI	YOROKOBU	like, love, enjoy; joyful thing
他	4	타	tā	THA	TA	HOKA	other, another; he, she, it
吐	4	토	tǔ	THO	TO	HAKU	vomit, spew out, cough up
泓	4	홍	hóng	HONG	OU	FUKAI	clear, deep pool of water
霍	4	곽	huò	KWAK	KAKU	NIWAKA	quickly, suddenly; surname
伉	4	항	kàng	HANG	KOU	TAGUI NARABU	compare, match; pair; spouse
罷	4	파	bà	PHA PHI	HI HAI	YAMERU TSUKARERU MAKARU	cease, finish, stop; give up
卬	4	앙	áng	ANG	GAU KYAU	NOZOMU NASU TAKABURU	lofty; high; raise; high-priced
佗	4	타	tuó	THA	TA	HOKA WABIRU	other, he; surname; a load
洩	4	설	xiè	SEL YEY	EI SETSU	NOBIRU MORERU	leak, drip; vent or release
戲	4	희	xì	HUY	GI GE KI	TAWAMURERU	theatrical play, show
俱	4	구	jù	KWU	KU	TOMONI	all, together; accompany
荃	4	전	quán	CEN	SEN SON SETSU SECHI SATSU	KARASHIAE	aromatic herb; fine cloth
龢	4	화	hé	HWA	KA WA	YAWARAGU	in harmony; calm, peaceful
圍	4	위	wéi	WI	I	KAKOMU	surround, encircle, corral
繡	4	수	xiù	SWU	SHUU	NUITORI	embroider; embroidery; ornament
郜	4	고	gào	KO	KOU KOKU		surname
郇	4		huán		SHUN KAN		an ancient feudal State in Shaanxi
疇	4	주	chóu	CWU	CHUU	UNE TAGUI	farmland, arable land; category
羣	4		qún		GUN KUN	MURAGARU MURERU	group, crowd, multitude, mob
蓀	4	손	sūn	SO	SON		aromatic grass; iris, flower
轍	4	철	zhé	CHEL	TETSU	WADACHI	wagon ruts, wheel tracks
燿	4	요	yào	YO	YOU	KAGAYAKU	shine, dazzle; brilliant, radiant
肩	4	견	jiān	KYEN	KEN	KATA	shoulders; to shoulder; bear
匪	4	비	fěi	PI PWUN	HI	HAKO KATAMI ARAZU	bandits, robbers, gangsters
筆	4	필	bǐ	PHIL	HITSU	FUDE	writing brush; write; stroke
淐	4	창	chāng				
糹	4		sī				silk; Kangxi radical 120
衷	4	충	zhōng	CHWUNG	CHUU	UCHI MAGOKORO	heart, from bottom of one's heart
渢	4	범	fán		FUU BU HAN BAN		pleasant sound
榆	4		yú	YU	YU	NIRE	elm tree
苞	4	포	bāo	PHO	HOU HYOU	TSUTO	a variety of rush; firm, enduring; to burst forth
榘	4	구	jǔ	KWU	KU	JOUGI	carpenter's square, ruler, rule
梦	4		mèng		MU	YUME YUMEMIRU	dream; visionary; wishful
龔	4	공	gōng	KONG	KYOU KU YOU YU	SONAERU	give, present; reverential
紆	4	우	yū	WU	U	MAGARU MEGURU	bend, turn, twist; distort
宸	4	신	chén	SIN	SHIN	NOKI	imperial; imperial palace
禪	4	선	chán	SEN	ZEN SEN	YUZURU SHIZUKA	meditation, contemplation (dhyana); to level ground for alta
瑁	4	모	mào	MO	BOU MOU MAI		fine piece of jade
泛	4	범	fàn	PEM PONG	HAN HOU	UKABU	to drift, float; careless, reckless
暈	4	운 훈	yūn	HWUN WUN	UN	KASA BOKASHI MEMAI	halo in sky; fog; dizzy, faint
樊	4	번	fán	PEN	HAN	MAGAKI	a railing; a fence an enclosed place
皮	4	피	pí	PHI	HI	KAWA	skin, hide, fur, feather; outer
惡	4	악 오	è	AK O	O AKU	WARUI	evil, wicked, bad, foul
檄	4	격	xí	KYEK	GEKI KEKI	FUREBUMI	call arms; urgency
巒	4	만	luán	MAN	RAN	MINE	mountain range; pointed mountain
倓	4	담	tán	TAM	TAN DAN	YASUI SHIZUKA	
釴	4		yì				
趣	4	취	qù	CHWI CHWUK	SHU SOKU SOU	OMOMUKI OMOMUKU UNAGASU	what attracts one's attention
齌	4		jì				steam
槃	4	반	pán	PAN	HAN BAN	TARAI	tray; turn, rotate; search
賾	4		zé	SAYK	SAKU JAKU	OKUBUKAI	abstruse, deep, profound
柬	4	간	jiǎn	KAN	KAN KEN	ERABU TEGAMI	letter, invitation; choose
逈	4	형	jiǒng	HYENG	KEI GYOU	HARUKA	distant, far; separated; different
專	4	전	zhuān	CEN	SEN	MOPPARA	monopolize, take sole possession
舟	4	주	zhōu	CWU	SHUU SHU	FUNE	boat, ship; Kangxi radical 137
权	4		quán				power, right, authority
养	4		yǎng				raise, rear, bring up; support
祕	4	비	mì	PI	HI	HIMERU	mysterious, secret, abstruse
棱	4		léng		ROU RYOU CHOU		squared timber; angle, edge
僮	4	동	tóng	TONG	DOU TOU	WARABE SHIMOBE	page, boy servant
淯	4		yù		IKU		name of river; old name of Baihe in Henan
媚	4	미	mèi	MI	BI	KOBIRU	charming, attractive; flatter
倪	4	예	ní	YEY	GEI GAI	KIWA	feeble, tiny, young and weak
頠	4		wěi		GAI GI	SHITOYAKA	quiet
节	4		jié				knot, node, joint; section
黔	4	검	qián	KEM KUM	KEN KIN	KUROI	black; Guizhou
蟠	4	반	pán	PAN	HAN BON BAN	WARAJIMUSHI TSUMORU ATSUMARU	coil; coiling, curling; occupy
賽	4	새	sài	SAY	SAI	MUKUIMATSURU	compete, contend; contest, race
激	4	격	jī	KYEK	GEKI KEKI	HAGESHII HAGESHIKU HAGEMASU	arouse, excite, incite; quickly
阳	4		yáng		YOU	HI	'male' principle; light; sun
榖	4		gǔ	KOK	KOKU KOU KU	KOUZO	paper mulberry
鍇	4		kǎi		KAI	TETSU	high quality iron
慮	4	려	lǜ	LYE	RYO ROKU	OMONPAKA	be concerned, worry about
諝	4	서	xū	SE	SHO	SATOI	knowledge; discrimination; treachery
補	4	보	bǔ	PO	HO	OGINAU	mend, patch, fix, repair, restore
詹	4	첨	zhān	CHEM	SEN TAN DAN		surname; talk too much, verbose
慥	4		zào		ZOU SOU	TASHIKA	sincere, earnest
郾	4		yǎn		EN ON		county in Henan province
侔	4	모	móu	MO	BOU MU	HITOSHII SOROU SHITAGAU TSUTOMERU TORU HAKARU	equal
萍	4	평	píng	PHYENG	HEI	UKIKUSA YOMOGI	duckweed; wandering, traveling
偲	4	시	cāi	SI	SHI SAI	SHINOBU SHINOBI	talented; urgent
她	4		tā		CHI JI SHA TA I	AZARU	she, her
緬	4	면	miǎn	MYEN	MEN BEN	HOSOITO HARUKA KARUI	distant, remote; think of
湊	4	주	còu	CWU	SOU	MINATO ATSUMARU	piece together, assemble
璠	4		fán		HAN BON	TAMA	a piece of precious jade
鄳	4		méng				
兗	4	연	yǎn	YEN	EN	KUKURU TADASHII MAKOTO	establish; one of nine empire divisions
降	4	강 항	jiàng	KANG HANG	KOU	ORIRU FURU TAGURU	descend, fall, drop; lower, down
褚	4	저	chǔ	CE	CHO SHA	WATAIRE	bag, valise; stuff, pad; surname
汲	4	급	jí	KUP	KYUU	KUMU	draw water from well; imbibe
邠	4	빈	bīn	PIN	HIN		county in Shaanxi province
玭	4	빈	pín	PIN	HIN BIN HEN BEN		a pearl
沆	4	항	hàng	HANG	KOU GOU	HIROI	a ferry; fog; flowing
昞	4	병	bǐng	PYENG	HEI HYOU HOU	AKIRAKA	bright, luminous; glorious
收	4	수	shōu	SWU	SHUU	OSAMERU	gather together, collect; harvest
祗	4	지	zhī	CI	SHI	TSUTSUSHIMU MASANI	respect, look up to, revere
嶧	4	역	yì	YEK	EKI YAKU SEKI SHAKU	TSURANARU	a range of peaks in Shandong and Jiangsu; the name of a moun
炯	4	형	jiǒng	HYENG	KEI KYOU	AKIRAKA	bright, brilliant, clear; hot
頡	4	힐	xié	HIL KAL	KITSU KATSU KETSU	OOKII KASUMETORU	fly upward, soar; contest; to rob
汭	4	예	ruì	YEY	ZEI NEI ZETSU NECHI	NAGARERU MIGIWA	confluence of two streams; bend
巘	4		yǎn		GEN GON KEN	MINE	summit, peak
㟧	4		è				a cliff; a precipice
琡	4	숙	chù	SWU			
抱	4	포	bào	PHO	HOU	IDAKU DAKU KAKAERU	embrace, hold in arms, enfold
鍊	4	련 연	liàn	LYEN	REN	NERU	smelt metals, forge; refine
鉷	4	홍	hóng	HONG	KOU GU		trigger
儇	4	현	xuān	HYEN	KEN	KASHIKOI AGIMUKU TOI MATOHU	clever, nimble
恊	4	협	xié	HYEP	KYOU	KANAU AU	be united; cooperate
倕	4		chuí	SWU	SUI ZUI TSUI	OMOI	
忄	4		xin			RITSUSHINBEN	heart; radical number 61
悔	4	회	huǐ	HOY	KAI	KUIRU KUYAMU	repent, show remorse, regret
珵	4	정	chéng	CENG	TEI JOU CHOU		
矜	4	긍	jīn	KUNG KUN	KIN KEI KAN	AWAREMU TSUTSUSHIMU HOKORU	pity, feel sorry for, show sympathy
敭	4	양	yáng	YANG	YOU		scatter, spread; praise; raise
泂	4	형	jiǒng	HYENG	KEI GYOU	SAMUI	clear and deep (of water); wide
悱	4	비	fěi	PI	HI	IINAYAMU	to be desirous of speaking
晙	4	준	jùn	CWUN	SHUN	AKIRAKA	early; bright; respect
隐	4		yǐn	UN	IN ON	KAKURERU KAKUSU YORU	hide, conceal; hidden, secret
綯	4		táo		TOU	NAU YORU NAWA	to braid, twist; twisted or braided
盖	4	개	gài	KAY HAP	GAI KAI KOU	KASA FUTA OOU	cover, hide, protect
丑	4	축	chǒu	CHWUK CHWU	CHUU CHU	USHI	clown, comedian; second earthly branch
蕲	4		qí				variety of Artemisia
妈	4		mā				mother, mama
擴	4	확	kuò	HWAK KWANG	KAKU	HIROGARU HIROGERU HARU	expand, enlarge, stretch
燦	4	찬	càn	CHAN	SAN	AKIRAKA	vivid, illuminating; bright
訁	4		yán			GONBEN	Kangxi radical 149
胸	4	흉	xiōng	HYUNG	KYOU	MUNE	breast, bosom, chest; thorax
隋	3	수	suí	SWU	TA DA ZUI	OCHIRU NAMAKERU	Sui dynasty; surname
朓	3		tiǎo		CHOU		sacrifice
悠	3	유	yōu	YU	YUU	TOOI HARUKA	long, far, remote, distant; leisurely
滌	3	척	dí	CHEK	DEKI JOU	ARAU	wash, cleanse, purify; sweep
璫	3	당	dāng	TANG	TOU	MIMIKAZARI	pendant ornaments, earrings
术	3		shù	CHWUL	JUTSU SHUTSU CHUTSU	MOCHIAWA	art, skill, special feat; method, technique
宽	3		kuān				broad, wide; spacious, vast
鲁	3		lǔ				foolish, stupid, rash; vulgar
孕	3	잉	yùn	ING	YOU	HARAMU	be pregnant; pregnancy
锜	3		qí	KI UY			a kind of pen; a kind of chisel
祎	3		yī				excellent
谟	3		mó				scheme, plan; plan; be without
刚	3		gāng				hard, tough, rigid, strong
凯	3		kǎi				triumphant; triumph, victory
终	3		zhōng				end; finally, in the end
业	3		yè				profession, business; GB radical 111
顼	3		xū				grieved
暖	3	난	nuǎn	NAN HWEN	DAN KEN NON	ATATAKAI ATATAMERU ATATAMARU	warm, genial
煦	3	후	xù	HWU	KU	ATATAMERU	kind, gentle, gracious, genial
铭	3		míng				inscribe, engrave
締	3	체	dì	CHEY	TEI	SHIMARU MUSUBU SHIMERU	tie, join, connect; connection
疆	3	강	jiāng	KANG	KYOU	SAKAI	boundary, border, frontier
桉	3	안	ān	AN			eucalyptus
梯	3	제	tī	CEY	TEI TAI	HASHIGO	ladder, steps, stairs; lean
蔑	3	멸	miè	MYEL	BETSU	SAGESUMU NAIGASHIRO NAI	disdain, disregard; slight
貼	3	첩	tiē	CHEP	TEN CHOU	HARU TSUKU	paste to, stick on; attached to
畑	3	전	tián	CEN		HATA HATAKE	dry (as opposed to rice) field; used in Japanese names
笑	3	소	xiào	SO	SHOU	WARAU EMU WARAI	smile, laugh, giggle; snicker
捨	3	사	shě	SA	SHA	SUTERU	discard, give up willingly; give alms
廊	3	낭 랑	láng	LANG	ROU	WATADONO	corridor, porch, veranda
穩	3	온	wěn	ON	ON	ODAYAKA	stable, firm, solid, steady
迹	3	적	jì	CEK	SEKI SHAKU	ATO	traces, impressions, footprints
碓	3	대	duì	TAY	TAI	USU	pestle
霧	3	무	wù	MWU	MU BU	KIRI	fog, mist, vapor, fine spray
歯	3		chǐ	CHI	SHI	HA YOWAI YOWAISURU	teeth; gears, cogs; age; a form of Kangxi radical 211
嗚	3	오	wū	O	O U	AU	sound of crying, sobbing
活	3	활	huó	HWAL KWAL	KATSU	IKIRU YOMIGAERU	live, exist, survive; lively
苅	3	예	yì	YEY	GAI	KARU KARI	cut off, reap, mow; sickle
坐	3	좌	zuò	CWA	ZA	SUWARU SOZORONI OWASU	sit; seat; ride, travel by
葦	3	위	wěi	WI	I	ASHI	reed
蟻	3	의	yǐ	UY	GI	ARI	ants
鎌	3	겸	lián	KYEM	REN	KAMA	sickle
