geni_id,qid,label_en
6000000021138925920,Q1285740,Emperor Xuan of Western Liang
6000000021139547825,Q1039198,Xiao Tong
6000000021150326904,Q15914389,Xiao Shunzhi
6000000021150558686,Q11075491,Fang Yanqian
6000000021150592718,Q8044214,Xiao Hua
6000000021150643175,Q1149114,Emperor Yuan of Liang
6000000021150725082,Q10827258,Xiao Yi
6000000021150904515,Q11075508,Fang Yiai
6000000021150948489,Q22813977,Xiao Heng
6000000021150949252,Q45385211,Fang Yi
6000000021150959543,Q736647,Fang Xuanling
6000000021150959807,Q22813971,Xiao Jun
6000000021151014406,Q45385209,Fang Bozu
6000000021151058350,Q45518224,Fang Yize
6000000021151067539,Q14416420,Zhangsun Zhi
6000000021151069727,Q16078093,Xiao Xun
6000000021151155640,Q22813981,Xiao Wu
6000000021151195411,Q45373981,Xiao Zhan
6000000021151198758,Q8044212,Xiao Gou
6000000021151256523,Q22813931,Xiao Ju
6000000021151273004,Q8044230,Xiao Song
6000000021151304975,Q22813973,Xiao Guan
6000000021151385042,Q45385214,Fang Xiong
6000000021151410339,Q16260763,Changsun Chang
6000000021151434870,Q10297036,Fang Yizhi
6000000021151478051,Q45373968,Xiao Heng
6000000021151478069,Q8044210,Xiao Fu
6000000021151487032,Q8044240,Xiao Zhi
6000000021151501959,Q45422805,Xiao Sheng
6000000021151507866,Q837918,Emperor Jing of Western Liang
6000000021151512856,Q1291074,Xiao Yu
6000000021151516915,Q10511544,Xiao Siye
6000000021151556917,Q15926320,Changsun Si
6000000021151598905,Q8213497,Changsun Chi
6000000021163679779,Q712587,Pei Ji
6000000021163779714,Q45420548,Pei Rong
6000000021163783779,Q45420556,Pei Chengxian
6000000021163898130,Q45420550,Pei Xiaoyu
6000000021163999904,Q33402389,Pei Lushi
6000000021237699403,Q45498960,Zhangsun Cui
6000000021237721361,Q1290765,Guo Ziyi
6000000021260871234,Q4391801,Xiao Chengzhi
6000000021260899247,Q259628,Xiao Zhangmao
6000000021260901339,Q10513912,Xiao Xia
6000000021260901361,Q10511648,Xiao Zheng
6000000021260918603,Q11622123,Xiao Daosheng
6000000021260943072,Q45420819,Xiao Fu
6000000021260997305,Q10511382,Xiao Lezi
6000000021261005056,Q1194981,Emperor Gao of Southern Qi
6000000021261027156,Q940037,Emperor Wu of Southern Qi
6000000021261083078,Q10511856,Xiao Jun
6000000021651887195,Q15924962,Chen Yaozi
6000000022293564329,Q10564129,Qian Chen
6000000022309439878,Q13407968,Qian Duanli
6000000022699771819,Q45419659,Zhang Chu
6000000022699806622,Q18909029,Zhang Jun
6000000022700032515,Q701545,Zhang Yue
6000000022700033207,Q11068701,Zhang Ji
6000000023420281775,Q117312658,Lady Cui
6000000023531378472,Q353698,Sima Yi
6000000023531398242,Q1143870,Sima You
6000000023531439343,Q15909080,Xun Song
6000000023531494618,Q45397604,Du Yin
6000000023531779916,Q702166,Du Yu
6000000023615752709,Q7393,Emperor Ming of Jin
6000000023615990332,Q7392,Emperor Yuan of Jin
6000000023616057659,Q7400,Emperor Jianwen of Jin
6000000023619649947,Q10916665,Sima Jin
6000000023701024475,Q15911516,Wang Yi
6000000023701103686,Q15944710,Wang Yue
6000000023701142715,Q22814786,Wang Rong
6000000023701329396,Q559425,Wang Xianzhi
6000000023701355682,Q3274914,Wang Dao
6000000023701369587,Q1069286,Xin Pi
6000000023701386405,Q1114786,Xin Xianying
6000000023701404124,Q16077602,Wang Ningzhi
6000000023701407225,Q15928529,Wang Huizhi
6000000023701473343,Q22814790,Wang Guang
6000000023701474092,Q45408771,Wang Qizhi
6000000023701482134,Q15915744,Wang Xia
6000000023701549192,Q22814789,Wang Zheng
6000000023701549199,Q15907839,Wang Lan
6000000023701596086,Q378564,Wang Xizhi
6000000023701612980,Q22814785,Wang Ren
6000000023701636005,Q16906209,Wang Cai
6000000023724535326,Q45408733,Wang Xiang
6000000023724556349,Q15902305,Wang Xun
6000000023724819497,Q11572909,Wáng Yǎn
6000000023809804573,Q32176056,Pei Ji
6000000023809862473,Q706887,Pei Xiu
6000000023809875333,Q45420435,Pei Ye
6000000023809878335,Q12597627,Pei Mao
6000000023809880404,Q32173305,Pei Hui
6000000023809907399,Q5363676,Pei Qian
6000000023810021671,Q32175265,Pei Li
6000000024960994932,Q8031963,Wong Ah Fook
6000000025609974779,Q15910837,Zheng Zhong
6000000025610881375,Q26158720,Zheng Bin
6000000025610978146,Q26158718,Zheng Zhi
6000000025612835119,Q26158726,Zheng Heng
6000000025613759872,Q26158730,Zheng Anshi
6000000028246385759,Q498568,Sansang
6000000028246398574,Q6853227,Jaesa
6000000028246402258,Q717467,Yuhwa
6000000028246409698,Q498791,Gwanggaeto the Great
6000000028246435745,Q498618,Jungcheon
6000000028246439795,Q498530,Sindae
6000000028246566450,Q498810,Jangsu
6000000028246622301,Q498827,Munjamyeong
6000000028246699210,Q498693,Micheon
6000000028246704477,Q498590,Dongcheon
6000000028246721835,Q714631,Hae Mo-su of Buyeo
6000000028246818418,Q498863,Anwon
6000000028246872878,Q498644,Seocheon
6000000028246885890,Q15897797,Dolgo
6000000028246918901,Q498716,Gogugwon
6000000028246919145,Q6658039,Go Joda
6000000028246920914,Q498770,Gogugyang
6000000029667847237,Q4162906,Dmitry Fyodorovich
6000000029668661998,Q4415750,Semyon Fyodorovich
6000000030005972510,Q15070793,Ivan Kurakin
6000000030006460832,Q15070790,Grigory Kurakin
6000000032170778221,Q1045763,Tokugawa Yorinobu
6000000032399614568,Q107026120,Pamela Chong
6000000032399668753,Q107026099,Eleanor Ngo Puay Chin
6000000032657100856,Q11091542,Zeng Zhaoyu
6000000032884648904,Q4498607,Andrey Khovansky
6000000034986774222,Q1140994,Emperor Jianwen of Liang
6000000035463480678,Q106594314,KPA Soerjakoesoema / BRM Samekto
6000000035615578133,Q2879201,Bagrat III of Imereti
6000000035681881459,Q20715502,Rostislav Rogvolodovich of Polotsk
6000000035682206982,Q2588908,Gerden (Scolomant)
6000000036574504276,Q319618,Wang Anshi
6000000036574764848,Q4391249,Cai Bian
6000000036583770649,Q45365249,Wang Yi
6000000036583996670,Q16077282,Wang Anguo
6000000036584101714,Q45389716,Wang Ming
6000000036584237464,Q45362986,Wang Guanzhi
6000000036584427964,Q18905331,Wang Anli
6000000036584532927,Q45389721,Wang Yongzhi
6000000036584541946,Q45401557,Wang Anren
6000000036584557916,Q45359357,Wang Anshang
6000000037090405439,Q561165,Shen Yue
6000000037090924017,Q11552420,Shen Jing
6000000037091035842,Q6765384,Shen Linzi
6000000037590601525,Q45401605,Wang Pang
6000000037590820321,Q45431126,Wang Shi
6000000037590844347,Q45359877,Wu Anchi
6000000037590871222,Q45366151,Ye Tao
6000000037590883097,Q45363121,Wu Fen
6000000037590954077,Q45390716,Wu Xiandao
6000000037591026708,Q45390714,Wu Meng
6000000037591073857,Q15936430,Wang Pang
6000000037591151789,Q16077491,Wang Cun
6000000037591166715,Q45363132,Wu Shili
6000000037591171683,Q45364104,Wu Shi
6000000037591245597,Q45364102,Wu Shi
6000000037591297321,Q45390710,Wu Deyun
6000000037591379321,Q45366130,Wu Tian
6000000037591422645,Q45366082,Wang Lv
6000000037591433434,Q1155951,Su Zhe
