geni_id,field,value,numeral_tokens,found_in
287683329720001458,GIVN,??,??,exports/gaps/export-Forest-6000000227226600829.ged
288307692860003691,_MARNM,X,X,exports/chain-seeds/export-Forest-6000000227310727839.ged
2898899,SURN,Uggla (nr: 100),100),exports/bure-campaign/export-Forest-6000000227468650841.ged
2898984,SURN,Uggla (nr: 100),100),exports/bure-campaign/export-Forest-6000000227468650841.ged
2899074,GIVN,?,?,exports/post-merge/export-Forest-6000000227413445871.ged
2900132,SURN,Uggla (Nr: 100),100),exports/8-19 exports/export-Descendants-6000000227289370034.ged
290458573020002572,GIVN,Regintrude I,I,exports/archive/export-geni/export-Forest-13.ged
291975781000006876,GIVN,Gauthier II,II,exports/gaps/export-Forest-6000000227086244080.ged
292188126350006828,_MARNM,X,X,exports/edges/export-Forest-6000000227254306900.ged
292192557960004759,_MARNM,X,X,exports/edges/export-Forest-6000000227254306900.ged
292192826970001783,_MARNM,X,X,exports/edges/export-Forest-6000000227254306900.ged
292193077310002952,_MARNM,X,X,exports/edges/export-Forest-6000000227254306900.ged
292676791740007527,_MARNM,Nilsson II,II,exports/8-19 exports/export-Forest-6000000227294926845.ged
293372825660002438,GIVN,???,???,exports/chain-seeds/export-Forest-6000000227327574823.ged
293372825660002438,_MARNM,???,???,exports/chain-seeds/export-Forest-6000000227327574823.ged
293434801230004036,GIVN,???,???,exports/chain-seeds/export-Forest-6000000227327574823.ged
294434855870002563,GIVN,Knud VI,VI,exports/8-19 exports/export-Forest-6000000227295719853.ged
294497400980006361,GIVN,Rudolf II,II,exports/8-19 exports/export-Forest-6000000227295719853.ged
294499031220005507,GIVN,Otto III/Béla V,V,exports/8-19 exports/export-Forest-6000000227295719853.ged
294499031220005507,NICK,Bela V,V,exports/8-19 exports/export-Forest-6000000227295719853.ged
294505796020003642,GIVN,Heinrich II. von Schweidnitz,II.,exports/8-19 exports/export-Descendants-6000000227295719853.ged
294505796020003642,GIVN,Henry II of Świdnica,II,exports/8-19 exports/export-Descendants-6000000227295719853.ged
294505796020003642,GIVN,Henryk II świdnicki,II,exports/8-19 exports/export-Descendants-6000000227295719853.ged
294505796020003642,GIVN,Jindřich II. Svídnický,II.,exports/8-19 exports/export-Descendants-6000000227295719853.ged
294540753230008022,SURN,Lorentzon Svinhufvud i Västergötland (Nr: 199),199),exports/bure-campaign/export-Forest-6000000227475085853.ged
296702356700006353,_MARNM,?,?,exports/archive/export-geni/export-Forest-22.ged
2968188,SURN,?,?,exports/chain-seeds/export-Forest-6000000227323770853.ged
298740371650007964,GIVN,Leopold II of,II,exports/8-19 exports/export-Forest-6000000227295719853.ged
298741096650002960,GIVN,Heinrich VI der Gute,VI,exports/8-19 exports/export-Descendants-6000000227295719853.ged
298741096650002960,GIVN,Henryk VI Dobry,VI,exports/8-19 exports/export-Descendants-6000000227295719853.ged
298742409800006343,GIVN,"Rudolf IV. ""the Ingenious""",IV.,exports/8-19 exports/export-Forest-6000000227295719853.ged
298750259210005471,GIVN,Giovanna II,II,exports/8-19 exports/export-Forest-6000000227297512829.ged
298750259210005471,GIVN,Jeanne II,II,exports/8-19 exports/export-Forest-6000000227297512829.ged
298750259210005471,GIVN,Joanna II,II,exports/8-19 exports/export-Forest-6000000227297512829.ged
298750259210005471,GIVN,Johanna II.,II.,exports/8-19 exports/export-Forest-6000000227297512829.ged
298750259210005471,NICK,Joan II de Naples,II,exports/8-19 exports/export-Forest-6000000227297512829.ged
299204778280001213,GIVN,Johann Georg III,III,exports/chain-seeds/export-Forest-6000000227326264911.ged
299610272320008022,NICK,Henri (V) Comte de Chambord,(V),exports/abul-hamza-descendants/export-Descendants-6000000227701083825.ged
299610272320008022,SURN,Henri V,V,exports/abul-hamza-descendants/export-Descendants-6000000227701083825.ged
299685135410007987,GIVN,Ragnhild I C,I,exports/8-19 exports/export-Forest-6000000227293700852.ged
301289430230004830,GIVN,D. João I,I,exports/hermenegildo/export-Descendants-6000000227725168838.ged
301289430230004830,GIVN,João I,I,exports/hermenegildo/export-Descendants-6000000227725168838.ged
301289818940005629,GIVN,Teodósio II,II,exports/no-name-descendants/export-Descendants-6000000227715436831.ged
302187122240008197,GIVN,"wife, Zerachya II",II,exports/archive/export-geni/export-Forest-39.ged
304145473050001763,GIVN,Ferry IV,IV,exports/gaps/export-Forest-6000000227086380915.ged
304433105310001815,GIVN,Friedrich V,V,exports/abul-hamza-descendants/export-Descendants-6000000227710647857.ged
304433105310001815,NICK,Frederick V of Palatinate,V,exports/abul-hamza-descendants/export-Descendants-6000000227710647857.ged
304435320540004195,GIVN,Karl I Ludwig,I,exports/abul-hamza-descendants/export-Descendants-6000000227710647857.ged
304439076510006454,GIVN,Karl II,II,exports/chain-seeds/export-Forest-6000000227326264911.ged
3044616,GIVN,11,11,exports/fleshing-out/export-geni/export-Forest-26.ged
305934216230007074,GIVN,Amadeo II,II,exports/abul-hamza-descendants/export-Descendants-6000000227701083825.ged
307514259060008270,NICK,1634,1634,exports/fleshing-out/export-geni/export-Forest-15.ged
3081292,GIVN,Vahan II,II,exports/abul-hamza/export-Forest-6000000227676734863.ged
3097525,GIVN,?,?,exports/8-19 exports/export-Forest-6000000227293218831.ged
310787864080006466,GIVN,Johann VI.,VI.,exports/descendants/export-Descendants-6000000177955802827.ged
310798842800005704,GIVN,Ludwig VII,VII,exports/no-name-descendants/export-Descendants-6000000227720816948.ged
310818848820003860,GIVN,Johann I,I,exports/8-19 exports/export-Forest-6000000227295719853.ged
311022352940008240,SURN,צ'חנובסקי / צ'כנובסקי,/,exports/8-19 exports/export-Forest-6000000227293218831.ged
311714621730004586,SURN,af Slesvig-Holsteen & Oldenborg,&,exports/archive/export-geni/export-Forest-18.ged
311763635130007105,GIVN,"Néel (Neil, Nigel) IV (V)",IV (V),exports/gaps/export-Forest-6000000227225487992.ged
311771392100007035,GIVN,Friederich Wilhelm I,I,exports/no-name-descendants/export-Descendants-6000000227720816948.ged
311779792230007083,GIVN,"Friedrich II ""der Große""",II,exports/northern-dfa/export-Descendants-6000000227726280959.ged
311779792230007083,GIVN,Frīdrihs II,II,exports/northern-dfa/export-Descendants-6000000227726280959.ged
311779792230007083,NICK,Frīdrihs II Hoencollerns,II,exports/northern-dfa/export-Descendants-6000000227726280959.ged
311788525210007050,GIVN,Karl II Wilhelm Ferdinand,II,exports/edges/export-Forest-6000000227254292863.ged
312468491750006446,NICK,Fredrik I (Württemberg),I,exports/edges/export-Forest-6000000227254292863.ged
312473166720001563,GIVN,Вильгельм I,I,exports/edges/export-Forest-6000000227254292863.ged
3130084,_MARNM,???,???,exports/chain-seeds/export-Forest-6000000227323276867.ged
313725599800002922,GIVN,Josiah I.,I.,exports/abul-hamza-descendants/export-Descendants-6000000227709106861.ged
3137519,GIVN,Magnus II Ask hertig von,II,exports/8-19 exports/export-Descendants-6000000227295719853.ged
3137536,GIVN,Franz I,I,exports/8-19 exports/export-Descendants-6000000227295719853.ged
3147922,_MARNM,??,??,exports/chain-seeds/export-Forest-6000000227323276867.ged
315668583500006471,_MARNM,?,?,exports/edges/export-BloodTree-6000000227252355883.ged
316974045970004123,GIVN,Pedro I,I,exports/8-19 exports/export-Forest-6000000227297393968.ged
317651825030005113,GIVN,Magnus III,III,exports/8-19 exports/export-Forest-6000000227295719853.ged
317651825030005113,GIVN,Magnus III Ladulås,III,exports/8-19 exports/export-Forest-6000000227295719853.ged
318545527620002732,GIVN,Robert V,V,exports/8-19 exports/export-Forest-6000000227290951877.ged
321308492330004854,NICK,VII Duca di San Pietro in Galatina,VII,exports/8-19 exports/export-Descendants-6000000227327679856.ged
321453699010007193,_MARNM,"Dubois, M 1761, Boucherville","1761,",exports/chain-seeds/export-Forest-6000000227315562970.ged
321924512670006340,NICK,Mangkoenagaran: II. A2. B6.,II.,exports/archive/export-geni/export-BloodTree-38.ged
321925545320001881,NICK,(1860-1914),(1860-1914),exports/archive/export-geni/export-Descendants-33.ged
322700247960005229,NICK,VIII Duca di San Pietro in Galatina,VIII,exports/8-19 exports/export-Descendants-6000000227327679856.ged
323442272570004246,GIVN,Frederik Christian II,II,exports/chain-seeds/export-Forest-6000000227322579826.ged
323754617060007800,NICK,” and “John’s Pope” — Christopher Armstrong,” —,exports/isolate-exports/export-Forest-6000000227690638845.ged
3240530,NICK,Lisboa 01.03 . 1948,01.03 1948,exports/chain-seeds/export-Forest-6000000227315929835.ged
324214511590007813,_MARNM,"ז""ק (= זרע קודש)",(=,exports/gaps/export-Descendants-6000000227227041063.ged
325585071820004726,_MARNM,?,?,exports/gaps/export-Descendants-6000000227227190927.ged
326603594900007410,GIVN,Nechama (?),(?),exports/gaps/export-Descendants-6000000227227041063.ged
327798295990006013,GIVN,Laura E. I.,I.,exports/8-19 exports/export-Forest-6000000227295934952.ged
328061367880007095,_MARNM,Todd / Washington,/,exports/Wife of John Harvey/export-Forest-6000000227143930843.ged
332062059540004210,_MARNM,X,X,exports/edges/export-Forest-6000000227254306900.ged
332064105750010680,_MARNM,X,X,exports/edges/export-Forest-6000000227254306900.ged
332064565200005223,_MARNM,X,X,exports/edges/export-Forest-6000000227254306900.ged
332064737520005211,_MARNM,X,X,exports/edges/export-Forest-6000000227254306900.ged
332065110850003207,_MARNM,X,X,exports/edges/export-Forest-6000000227254306900.ged
332065387440005230,_MARNM,X,X,exports/edges/export-Forest-6000000227254306900.ged
332065938510010682,_MARNM,X,X,exports/edges/export-Forest-6000000227254306900.ged
332693684730012709,GIVN,Guillem Ramon I,I,exports/fleshing-out/export-geni/export-Forest-20.ged
332838296500005765,GIVN,Pierre II,II,exports/archive/export-geni/export-Descendants-20.ged
332916285010005887,GIVN,Amalvin II II,II II,exports/chain-seeds/export-Forest-6000000227326680842.ged
333469999450013499,GIVN,"Frederik Julius ""Fritz ""","""",exports/chain-seeds/export-Forest-6000000227299323845.ged
333594807320014307,GIVN,? Marg. Christiane,?,exports/chain-seeds/export-Forest-6000000227299323845.ged
334213600540011954,NICK,vers 1100),1100),exports/8-19 exports/export-Forest-6000000227290951877.ged
334374346570005280,GIVN,….,….,exports/midpoints/export-Forest-6000000227258314174.ged
335301390280001287,GIVN,Rajo Bagewang II Tuan Titah V [EM],II V,exports/adasi/export-Descendants-6000000227712700862.ged
335301390280001287,NICK,TUANKU MARAJO SATI II @ SULTAN NURUDDIN,II @,exports/adasi/export-Descendants-6000000227712700862.ged
335301390280001287,NICK,YDP PAGARUYUNG VI SULTAN LEMBANG ALAM,VI,exports/adasi/export-Descendants-6000000227712700862.ged
3355864,NICK,VI Duca di San Pietro in Galatina,VI,exports/chain-seeds/export-Forest-6000000227315959846.ged
3356132,NICK,V Duca di San Pietro in Galarina,V,exports/chain-seeds/export-Forest-6000000227315959846.ged
335793221590013396,_MARNM,Chan 13,13,exports/post-merge/export-Descendants-6000000227733837031.ged
335793965100013392,_MARNM,Chan 12,12,exports/post-merge/export-Descendants-6000000227733837031.ged
335794460750012481,_MARNM,Chan 11,11,exports/post-merge/export-Descendants-6000000227733837031.ged
335795012420004442,_MARNM,Chan 10,10,exports/post-merge/export-Descendants-6000000227733837031.ged
335795603770004486,_MARNM,Chan 9,9,exports/post-merge/export-Descendants-6000000227733837031.ged
335795896590005390,_MARNM,Chan 8,8,exports/post-merge/export-Descendants-6000000227733837031.ged
335796600460006087,_MARNM,Chan 7,7,exports/post-merge/export-Descendants-6000000227733837031.ged
335799987770001368,_MARNM,Chan 6,6,exports/post-merge/export-Descendants-6000000227733837031.ged
335800867440011745,_MARNM,Chan 05,05,exports/post-merge/export-Descendants-6000000227733837031.ged
335801393130013374,_MARNM,Chan 4,4,exports/post-merge/export-Descendants-6000000227733837031.ged
335801996030014137,_MARNM,Chan 3,3,exports/post-merge/export-Descendants-6000000227733837031.ged
335802915990012602,_MARNM,Chan 2,2,exports/post-merge/export-Descendants-6000000227733837031.ged
335803448290012578,_MARNM,Chan 1,1,exports/gaps/export-Forest-6000000227086432913.ged
335804010620002155,_MARNM,Chan 122,122,exports/gaps/export-Forest-6000000227086432913.ged
335804524940005355,_MARNM,Chan 121,121,exports/gaps/export-Forest-6000000227086432913.ged
335805223020011707,_MARNM,Chan 120,120,exports/gaps/export-Forest-6000000227086432913.ged
335805733330011719,_MARNM,Chan 119,119,exports/gaps/export-Forest-6000000227086432913.ged
335806224650004493,_MARNM,Chan 118,118,exports/gaps/export-Forest-6000000227086432913.ged
335807521670004537,_MARNM,Chan 117,117,exports/gaps/export-Forest-6000000227086432913.ged
335808161340013424,SURN,Chan 116,116,exports/gaps/export-Forest-6000000227086432913.ged
335808161340013424,_MARNM,Chan 116,116,exports/gaps/export-Forest-6000000227086432913.ged
335808732880012630,SURN,Chan 115,115,exports/gaps/export-Forest-6000000227086432913.ged
335808732880012630,_MARNM,Chan 115,115,exports/gaps/export-Forest-6000000227086432913.ged
335809579490007073,SURN,Chan 114,114,exports/gaps/export-Forest-6000000227086432913.ged
335809579490007073,_MARNM,Chan 114,114,exports/gaps/export-Forest-6000000227086432913.ged
335865142040012806,NICK,Chan 093,093,exports/fleshing-out/export-geni/export-Forest-23.ged
335865411230005367,NICK,Chan 092,092,exports/gaps/export-Forest-6000000227086432913.ged
335866248060003988,NICK,Chan 091,091,exports/gaps/export-Forest-6000000227086432913.ged
335866979610006042,NICK,Chan 089,089,exports/chinese-clusters/export-Descendants-6000000227036719829.ged
335868465010007053,NICK,Chan 087,087,exports/chinese-clusters/export-Descendants-6000000227036719829.ged
336713022790014209,_MARNM,Chan 123,123,exports/gaps/export-Forest-6000000227086432913.ged
338810457480013494,NICK,Guordoli (230-?) Line Beli -King of Britian,(230-?),exports/gaps/export-Forest-6000000227086506866.ged
338810457480013494,NICK,Gwrddoli - Guordoli (~234-?) of the Britons ap Doin,(~234-?),exports/gaps/export-Forest-6000000227086506866.ged
339363589910010529,GIVN,Karin / Katarina,/,exports/bure-campaign/export-Forest-6000000227473183849.ged
339493353880007732,NICK,II,II,exports/fleshing-out/export-geni/export-Forest-15.ged
340305264040013970,NICK,IX Vizconde de Sancho Miranda,IX,exports/hermenegildo/export-Descendants-6000000227725063822.ged
340326683420011316,_MARNM,Mæle ?,?,exports/chain-seeds/export-Forest-6000000227310843862.ged
340641166960011387,GIVN,Henricus V (Hinrich),V,exports/chain-seeds/export-Forest-6000000227297780952.ged
342742241080010067,NICK,tästä en ole varma kuuluuko tähän ?,?,exports/bure-campaign/export-Forest-6000000227474865984.ged
342781687490012261,NICK,(6),(6),exports/edges/export-Forest-6000000227254345871.ged
342781847500012146,NICK,(6),(6),exports/edges/export-Forest-6000000227254345871.ged
342782058530012154,NICK,(6),(6),exports/edges/export-Forest-6000000227254345871.ged
342782192170007437,NICK,(6),(6),exports/edges/export-Forest-6000000227254345871.ged
342782328030011117,NICK,(6),(6),exports/edges/export-Forest-6000000227254345871.ged
342782477830012245,NICK,(6),(6),exports/edges/export-Forest-6000000227254345871.ged
342782666340013945,NICK,(6),(6),exports/edges/export-Forest-6000000227254345871.ged
342784332600012141,GIVN,Martha (6),(6),exports/edges/export-Forest-6000000227254345871.ged
343060211200013008,NICK,William (?) orphaned (?),(?) (?),exports/northern-dfa/export-Descendants-6000000227725863956.ged
343146523280013955,GIVN,?,?,exports/gaps/export-Forest-6000000227086620980.ged
343195138580013963,GIVN,Wan Mariah @ Wan Hasiah,@,exports/edges/export-Descendants-6000000227252355883.ged
343695217620011152,GIVN,Benjamin (6),(6),exports/edges/export-Forest-6000000227254345871.ged
343695558340004625,GIVN,Elijah (6),(6),exports/edges/export-Forest-6000000227254345871.ged
343801464910012408,GIVN,Gräfin ?,?,exports/chain-seeds/export-Forest-6000000227297843999.ged
345463240130012981,GIVN,Hong Dai 康大 5,5,exports/gaps/export-Descendants-6000000227086452843.ged
345655698390011774,NICK,Richard “Of Curles” Farris I,I,exports/chain-seeds/export-Forest-6000000227312490920.ged
346534886220012248,NICK,Abraham Venable II,II,exports/8-19 exports/export-Forest-6000000227289886830.ged
346534886220012248,NICK,Venable ll Capt & US Senator,&,exports/8-19 exports/export-Forest-6000000227289886830.ged
347118928880002980,_MARNM,Stein / Shapira,/,exports/chain-seeds/export-Forest-6000000227323649841.ged
347118928880002980,_MARNM,שטיין / שפירא,/,exports/chain-seeds/export-Forest-6000000227323649841.ged
347216548970004818,GIVN,Dagobert II,II,exports/archive/export-geni/export-Forest-2.ged
347227818460011144,GIVN,Childéric II,II,exports/archive/export-geni/export-Forest-2.ged
347774029580003520,NICK,Sweyn I Forkbeard,I,exports/abul-hamza/export-Forest-6000000227676734863.ged
347803456540001332,NICK,Knut II av Danmark,II,exports/chain-seeds/export-Forest-6000000227297843999.ged
347868854190012671,NICK,Olaf I of Denmark Danish: Oluf I Hunger,I I,exports/abul-hamza/export-Forest-6000000227676734863.ged
348076699600004943,GIVN,Bertraide / Berthais,/,exports/8-19 exports/export-Forest-6000000227297393968.ged
348101875910005782,GIVN,Pépin I,I,exports/8-19 exports/export-Forest-6000000227297393968.ged
348200053680011419,_MARNM,Oreglia d'Isola e 1903 di Castina,1903,exports/chain-seeds/export-Forest-6000000227315959846.ged
348989271720012699,GIVN,Hugo I O Grande,I,exports/bure-campaign/export-Ancestors-6000000227464556886.ged
349335249330010484,_MARNM,Colding / Kjær,/,exports/chain-seeds/export-Forest-6000000227315857894.ged
352661220670011912,GIVN,Siguin I,I,exports/gaps/export-Forest-6000000227086620980.ged
352661220670011912,NICK,Duc de Gascogne; Jimeno I,I,exports/gaps/export-Forest-6000000227086620980.ged
352661220670011912,NICK,Semen I,I,exports/gaps/export-Forest-6000000227086620980.ged
356343820310002931,_MARNM,X,X,exports/hiuler/export-Forest-6000000227675436876.ged
358372511300011904,GIVN,Valdemar III,III,exports/8-19 exports/export-Forest-6000000227295719853.ged
358414969920005190,GIVN,Karl I “Charles the Good”,I,exports/chain-seeds/export-Forest-6000000227297843999.ged
358414969920005190,NICK,Carol I de Flandra,I,exports/chain-seeds/export-Forest-6000000227297843999.ged
358414969920005190,NICK,"Karl I. ""der Gute""",I.,exports/chain-seeds/export-Forest-6000000227297843999.ged
359281527140013083,GIVN,Михаил VII,VII,exports/abul-hamza/export-Forest-6000000227676734863.ged
359281527140013083,NICK,император МИХАИЛ VII Дука. Emperor Michael VII “Parapinakes” Doukas,VII VII,exports/abul-hamza/export-Forest-6000000227676734863.ged
359282141180013088,NICK,ბაგრატ IV ბაგრატიონი,IV,exports/abul-hamza/export-Descendants-6000000227676734863.ged
3602493,GIVN,Erich II,II,exports/8-19 exports/export-Descendants-6000000227295719853.ged
3602493,GIVN,Eryk II Lienzer,II,exports/8-19 exports/export-Descendants-6000000227295719853.ged
3602493,NICK,Erich II,II,exports/8-19 exports/export-Descendants-6000000227295719853.ged
360606220340001318,GIVN,Noh ?,?,exports/adasi/export-Descendants-6000000227712700862.ged
361036765360006534,GIVN,Stefan I Prvovjenčani,I,exports/8-19 exports/export-Forest-6000000227295719853.ged
361036765360006534,NICK,kralj Stefan I Zavidović Nemanjić,I,exports/8-19 exports/export-Forest-6000000227295719853.ged
361042599160005397,GIVN,Ionnes IV,IV,exports/8-19 exports/export-Forest-6000000227295719853.ged
361043895350006536,NICK,Kaliman I Asen,I,exports/8-19 exports/export-Forest-6000000227295719853.ged
361088630390012679,GIVN,Michael IX,IX,exports/8-19 exports/export-Forest-6000000227295719853.ged
361088630390012679,NICK,Michael IX Palaiologos,IX,exports/8-19 exports/export-Forest-6000000227295719853.ged
361088630390012679,NICK,Император Михаил IX Палеолог,IX,exports/8-19 exports/export-Forest-6000000227295719853.ged
361088998770012651,GIVN,Andronico III,III,exports/8-19 exports/export-Forest-6000000227295719853.ged
361088998770012651,GIVN,Andronicus III,III,exports/8-19 exports/export-Forest-6000000227295719853.ged
361088998770012651,GIVN,Andronikos III,III,exports/8-19 exports/export-Forest-6000000227295719853.ged
361088998770012651,NICK,Andronikos III Palaiologos,III,exports/8-19 exports/export-Forest-6000000227295719853.ged
361088998770012651,NICK,Император Андроник III Палеолог,III,exports/8-19 exports/export-Forest-6000000227295719853.ged
361089507860011643,GIVN,Giovanni V,V,exports/abul-hamza/export-Descendants-6000000227676734863.ged
361089507860011643,GIVN,Jean V,V,exports/abul-hamza/export-Descendants-6000000227676734863.ged
361089507860011643,GIVN,John V,V,exports/abul-hamza/export-Descendants-6000000227676734863.ged
361089507860011643,NICK,Ivan V Paleolog,V,exports/abul-hamza/export-Descendants-6000000227676734863.ged
361089507860011643,NICK,Johannes V Palaiologos,V,exports/abul-hamza/export-Descendants-6000000227676734863.ged
361089507860011643,NICK,John V Palaiologos,V,exports/abul-hamza/export-Descendants-6000000227676734863.ged
361089507860011643,NICK,Juan V Paleólogo,V,exports/abul-hamza/export-Descendants-6000000227676734863.ged
361089507860011643,NICK,Император Иоанн V Палеолог,V,exports/abul-hamza/export-Descendants-6000000227676734863.ged
361089507860011643,NICK,Йоан V Палеолог,V,exports/abul-hamza/export-Descendants-6000000227676734863.ged
361239904280001373,GIVN,Ioannes VI,VI,exports/archive/export-geni/export-Forest-27.ged
361239904280001373,GIVN,John VI,VI,exports/genghis/export-Forest-6000000227039926826.ged
361239904280001373,GIVN,Jovan VI,VI,exports/archive/export-geni/export-Forest-27.ged
361239904280001373,GIVN,VI. İoannis,VI.,exports/archive/export-geni/export-Forest-27.ged
361239904280001373,GIVN,Йоан VI,VI,exports/archive/export-geni/export-Forest-27.ged
361239904280001373,NICK,Giovanni VI Cantacuzeno,VI,exports/archive/export-geni/export-Forest-27.ged
361239904280001373,NICK,Jan VI Kantakuzen Cesarz bizantyjski,VI,exports/archive/export-geni/export-Forest-27.ged
361239904280001373,NICK,Juan VI Cantacuceno,VI,exports/archive/export-geni/export-Forest-27.ged
361244423510011619,GIVN,Andronikos IV,IV,exports/abul-hamza/export-Descendants-6000000227676734863.ged
361244423510011619,NICK,Andronicus IV Paleologo,IV,exports/abul-hamza/export-Descendants-6000000227676734863.ged
361244423510011619,NICK,император Андроник IV Палеолог,IV,exports/abul-hamza/export-Descendants-6000000227676734863.ged
361246792660007630,GIVN,Andronikos V,V,exports/abul-hamza/export-Descendants-6000000227676734863.ged
361248587300001388,GIVN,Theodore II,II,exports/8-19 exports/export-Forest-6000000227297512829.ged
361248587300001388,NICK,Théodoros II Paleologo,II,exports/8-19 exports/export-Forest-6000000227297512829.ged
361248587300001388,NICK,Теодор II Палеолог,II,exports/8-19 exports/export-Forest-6000000227297512829.ged
361248587300001388,NICK,Феодор II Палеолог,II,exports/8-19 exports/export-Forest-6000000227297512829.ged
361249243780011638,NICK,John II de Lusignan,II,exports/8-19 exports/export-Forest-6000000227295142836.ged
361249243780011638,NICK,John III de Lusignan,III,exports/8-19 exports/export-Forest-6000000227295142836.ged
361250787660004588,GIVN,Theodore I,I,exports/8-19 exports/export-Forest-6000000227295542846.ged
361294506280011622,GIVN,Ivan IV Julm,IV,exports/abul-hamza/export-Descendants-6000000227676734863.ged
361294506280011622,GIVN,Ivan IV av Ryssland,IV,exports/abul-hamza/export-Descendants-6000000227676734863.ged
361294506280011622,GIVN,"Ivanas IV ""Rūstusis""",IV,exports/abul-hamza/export-Descendants-6000000227676734863.ged
361294506280011622,NICK,Ivans IV,IV,exports/abul-hamza/export-Descendants-6000000227676734863.ged
361294506280011622,NICK,Ivans IV Rurikovičs,IV,exports/abul-hamza/export-Descendants-6000000227676734863.ged
361294506280011622,SURN,Грозный IV,IV,exports/abul-hamza/export-Descendants-6000000227676734863.ged
361294506280011622,_MARNM,Рюрикович IV,IV,exports/abul-hamza/export-Descendants-6000000227676734863.ged
361298880640003460,GIVN,Fjodor I Õnnistatu,I,exports/abul-hamza/export-Descendants-6000000227676734863.ged
361298880640003460,GIVN,Fyodor I Ivanovich 'the Blessed',I,exports/abul-hamza/export-Descendants-6000000227676734863.ged
361298880640003460,GIVN,Фёдор I Иванович Блаженный,I,exports/abul-hamza/export-Descendants-6000000227676734863.ged
361885079530012036,GIVN,Ivan II Ilus,II,exports/archive/export-geni/export-Forest-22.ged
361885079530012036,GIVN,Ivan II Ivanovich 'the Fair',II,exports/archive/export-geni/export-Forest-22.ged
361885079530012036,GIVN,"Ivanas II ""Gražusis""",II,exports/archive/export-geni/export-Forest-22.ged
361885079530012036,GIVN,Иван II Иванович Красный,II,exports/archive/export-geni/export-Forest-22.ged
361885079530012036,NICK,Ivan II Ilus,II,exports/archive/export-geni/export-Forest-22.ged
361885079530012036,NICK,Ivan II of Russia Krasnyi = Handsome,II =,exports/archive/export-geni/export-Forest-22.ged
361885795230005497,GIVN,"Ivan I Danilovich ""Kalita""",I,exports/archive/export-geni/export-Forest-22.ged
361885795230005497,GIVN,Ivan I Kalita,I,exports/archive/export-geni/export-Forest-22.ged
361885795230005497,GIVN,Иван I Данилович Калита,I,exports/archive/export-geni/export-Forest-22.ged
3621639,GIVN,Erich I,I,exports/8-19 exports/export-Forest-6000000227295719853.ged
362185222750011958,GIVN,Ana / Ona ? Aepaitė,/ ?,exports/8-19 exports/export-Forest-6000000227295719853.ged
362185222750011958,GIVN,Anna ? Aëpovna,?,exports/8-19 exports/export-Forest-6000000227295719853.ged
362185222750011958,SURN,Kumaniškė / Polovciškė,/,exports/8-19 exports/export-Forest-6000000227295719853.ged
