given_name,records,looks_placeholder
Ana Maria,117,no
Jose,117,no
Beatrix,117,no
Ralph,117,no
Else,116,no
Moritz,116,no
Lourenço,115,no
Christen,115,no
Françoise,115,no
Alfonso,114,no
García,114,no
nn,114,yes
Hedwig,114,no
....,114,yes
N.,113,no
Ignacio,113,no
Wolf,113,no
Maria Josefa,112,no
Matilda,112,no
Knut,112,no
Susanna,112,no
Lydia,111,no
Max,111,no
Bertrand,110,no
Elias,110,no
Susannah,110,no
Domingo,109,no
Beatrice,109,no
unknown,108,yes
Israel,108,no
Olav,107,no
José Antonio,106,no
Wilhelm,106,no
Constanza,105,no
Lope,105,no
Ester,105,no
Anna Maria,105,no
Josef,104,no
Emilie,104,no
Amr,104,no
Leopold,104,no
Madog,104,no
Eva,103,no
Raymond,102,no
Francisco Javier,101,no
Eliza,101,no
Llewelyn,101,no
Fernán,100,no
Ola,100,no
Paio,99,no
Einion,99,no
Estevão,98,no
Béatrix,98,no
Mayor,97,no
Cristobal,97,no
Aaron,97,no
Hywel,97,no
Julia,96,no
Juliana,96,no
Ernst,95,no
Gilbert,95,no
Margery,95,no
Johann,94,no
Katharina,94,no
Vicente,93,no
Manuela,93,no
Raoul,93,no
Harriet,93,no
Laura,93,no
씨,93,no
김,93,no
Branca,92,no
عبد الله,92,no
Li Mou 李某,92,no
Gertrude,91,no
Ahmad,91,no
Felipe,91,no
Marta,91,no
Ermengarde,91,no
Rosalie,91,no
Bernhard,90,no
Constance,90,no
Berthe,90,no
Solomon,90,no
Madeleine,90,no
Timothy,90,no
Kari,90,no
Hugo,89,no
Rasmus,89,no
Gil,88,no
Micaela,88,no
Knud,88,no
Eunice,88,no
Ragnhild,88,no
Mary Jane,88,no
Meir,88,no
Henrique,87,no
Aldonça,87,no
Carlos,87,no
Christina,87,no
Maria Antonia,87,no
William Henry,87,no
Luís,86,no
...,86,yes
משה,86,no
Petronila,85,no
Nicolasa,85,no
Miriam,85,no
Susan,85,no
Amalie,85,no
Gomes,84,no
Dorothea,84,no
Margaretha,84,no
Minamoto no,84,no
Jutta,84,no
Shmuel,84,no
יצחק,84,no
Jose Antonio,83,no
Mette,83,no
Mahaut,83,no
Adam,83,no
Antoinette,83,no
Claude,83,no
Konrad,83,no
Rose,83,no
Helga,83,no
Cecilia,82,no
André,82,no
Gustav,82,no
Alexandre,82,no
Ole Olsen,82,no
Bartolomé,81,no
Andrea,81,no
Margarethe,81,no
Sally,81,no
Ola Olson,81,no
Garcia,80,no
Marianne,80,no
Berta,80,no
Hélène,80,no
Josiah,80,no
Owain,80,no
Iorwerth,80,no
Mayer,80,no
Salvador,79,no
Rhys,79,no
Elena,78,no
Oluf,78,no
Adolf,78,no
Frederick,78,no
Joel,78,no
Arne,78,no
Maredudd,78,no
Marcus,77,no
Gregorio,77,no
Daughter,77,no
Maud,77,no
Mohammed,77,no
왕,77,no
Meyer,77,no
Kristina,76,no
Katarina,76,no
Isak,76,no
Babette,76,no
Simão,75,no
Juan Francisco,75,no
Juan José,75,no
Mogens,75,no
Adelaide,75,no
Harald,75,no
Maurice,75,no
Toda,74,no
Duarte,74,no
Lucas,74,no
Andrés,74,no
María Antonia,74,no
Juan Bautista,74,no
Kunigunde,74,no
Ephraim,73,no
عمرو,73,no
María Gertrudis,72,no
Gertrud,72,no
Yolande,72,no
Andrew,72,no
Lea,72,no
Joanna,71,no
Ibrahim,71,no
Agustín,70,no
María Ignacia,70,no
Magnus,70,no
Rudolf,70,no
Betty,70,no
Dafydd,70,no
Malin,70,no
Aldonza,69,no
Sven,69,no
Marthe,69,no
Moïse,69,no
Giovanni,69,no
Eric,69,no
Astrid,69,no
Herman,69,no
Levi,69,no
Geoffroy,68,no
Adèle,68,no
Einar,68,no
Fogel,68,no
Ursula,67,no
Paula,67,no
Sofie,67,no
George Washington,67,no
Mary Elizabeth,67,no
Mercy,67,no
יוסף,67,no
Anton,67,no
Jerónimo,66,no
Tomas,66,no
Agustina,66,no
Baudouin,66,no
Sigurd,66,no
אברהם,66,no
Jenny,66,no
Andres,65,no
Tomás,65,no
Søren,65,no
Malik,65,no
Ola Olsen,65,no
Cristóvão,64,no
Tomasa,64,no
Philipp,64,no
Anne Marie,64,no
Nuño,63,no
Blanca,63,no
Claus,63,no
Iver,63,no
Albrecht,63,no
Elisabet,63,no
Renaud,63,no
Anna Olsdatter,63,no
Marcos,62,no
Hernando,62,no
Juana María,62,no
Ivar,62,no
Lucia,62,no
Adele,62,no
Fujiwara no,62,no
Meurig,62,no
Lars Larsson,62,no
Gwenllian,62,no
Mateo,61,no
Abel,61,no
Christine,61,no
Gisela,61,no
Geoffrey,61,no
Shlomo,61,no
שמואל,61,no
Kristian,61,no
Emanuel,61,no
Isaak,61,no
Melchor,60,no
Juan Jose,60,no
Gunhild,60,no
Joshua,60,no
Al-Harith,60,no
Emil,60,no
Jette,60,no
Alvaro,59,no
Ruy,59,no
Esteban,59,no
Genebra,59,no
Baltazar,59,no
Philippa,59,no
Maria Gertrudis,59,no
Arnold,59,no
Lambert,59,no
Avraham,59,no
Auguste,59,no
Antônio,59,no
Nn,58,yes
Jacinto,58,no
José Ignacio,58,no
Axel,58,no
Elise,58,no
Gauthier,58,no
Hendrik,58,no
Béatrice,58,no
Elijah,58,no
Regina,58,no
Jeannette,58,no
Siegfried,58,no
Gitle,58,no
Therese,58,no
Mordechai,58,no
Lion,58,no
Pero,57,no
Bernarda,57,no
Wife,57,no
Jean II,57,no
Jacqueline,57,no
Ingeborg Olsdatter,57,no
Manoel,56,no
Sebastião,56,no
Juana Maria,56,no
Oda,56,no
Emily,56,no
Noah,56,no
Jeanette,56,no
Gutle,56,no
Bárbara,55,no
Ines,55,no
María Teresa,55,no
José María,55,no
Pons,55,no
Gunnar,55,no
Sarah Ann,55,no
Jeremiah,55,no
Edith,55,no
Bella,55,no
Eliezer,55,no
Leib,55,no
Elsa,54,no
Zayd,54,no
Ja'far,54,no
Erling,54,no
Baruch,54,no
Elen,54,no
Barbro,54,no
Minna,54,no
Cerf,54,no
Sebastián,53,no
Felix,53,no
Santiago,53,no
Peder Pedersen,53,no
Mechtild,53,no
Francesco,53,no
Deborah,53,no
Georg,53,no
Yosef,53,no
Elizabeth Ann,53,no
Lazard,53,no
Ferdinand,52,no
Fatima,52,no
Gregoria,52,no
Francisco Antonio,52,no
Amelia,52,no
Georges,52,no
Abdul-Rahman,52,no
Yahya,52,no
Olga,52,no
Caleb,52,no
Harry,52,no
Yitzhak,52,no
Chaim,52,no
Carl Johan,52,no
Sigmund,52,no
Soeiro,51,no
Ramón,51,no
Laurids,51,no
Phebe,51,no
Cadwgan,51,no
Без име,51,no
Angela,50,no
Musa,50,no
Gabrielle,50,no
Polly,50,no
Matthew,50,no
Klara,50,no
Gronwy,50,no
Ieuan,50,no
Amos,50,no
Olry,50,no
Mencía,49,no
Gómez,49,no
Marina,49,no
Lorenza,49,no
Joaquín,49,no
Tore,49,no
Ulrich,49,no
Giovanna,49,no
Louisa,49,no
יעקב,49,no
Gustaf,49,no
Léon,49,no
Margred,49,no
陳母,49,no
Breinle,49,no
Florence,48,no
Francisco Xavier,48,no
Bjørn,48,no
Gerhard,48,no
Jean I,48,no
Rosette,48,no
Ahmed,48,no
Annie,48,no
Zalman,48,no
Hannchen,48,no
Domingos,47,no
Juan Manuel,47,no
Jeronimo,47,no
Bernardino,47,no
Birgitte,47,no
Ne,47,no
Theodora,47,no
Иван Иванович,47,no
Eli,47,no
Mari,47,no
Karoline,47,no
Oliver,47,no
Friederike,47,no
Anthony,47,no
Merle,47,no
Herz,47,no
Beile,47,no
Gutierre,46,no
Blas,46,no
Sebastiana,46,no
Maria Teresa,46,no
Cecilie,46,no
Etienne,46,no
Adolph,46,no
Arnaud,46,no
Cécile,46,no
Gudrun,46,no
Dina,46,no
Malka,46,no
Aires,45,no
Rosalia,45,no
Hans Hansen,45,no
Flora,45,no
Margherita,45,no
علي,45,no
Leo,45,no
Rhoda,45,no
Olive,45,no
Amalia,45,no
مالك,45,no
الحارث,45,no
Peder Olsen,45,no
Hirsch,45,no
Eleonora,44,no
Agustin,44,no
Rafael,44,no
Sofia,44,no
Sibylle,44,no
Elin,44,no
Eudes,44,no
Helen,44,no
Lucie,44,no
Edmond,44,no
Dietrich,44,no
Asa,44,no
Thankful,44,no
de,44,no
Franziska,44,no
Suzanne,44,no
Jules,44,no
Angharad,44,no
Adélaïde,43,no
Juana Josefa,43,no
Melchora,43,no
Baltasar,43,no
Pablo,43,no
Olaf,43,no
Mathieu,43,no
Laure,43,no
Felipa,43,no
Sa'd,43,no
Humphrey,43,no
Ella,43,no
Lars Olsen,43,no
Rasmus Olsen,43,no
Nest,43,no
Loeb,43,no
Jacinta,42,no
Clémence,42,no
Rosine,42,no
Charity,42,no
Awf,42,no
דוד,42,no
Hezekiah,42,no
Johannes Olsen,42,no
Siri,42,no
Jentle,42,no
Marx,42,no
Guillaume II,41,no
Adriana,41,no
Mathias,41,no
Morten,41,no
Sidsel,41,no
Unknown Wife,41,no
Gilles,41,no
Caterina,41,no
Al-Hasan,41,no
Hamza,41,no
Irmgard,41,no
Pietro,41,no
Margit,41,no
Jesse,41,no
Frank,41,no
Oscar,41,no
Rasmus Rasmusson,41,no
Cynwrig,41,no
Morgan,41,no
Hendel,41,no
María Francisca,40,no
Edwin,40,no
Eléonore,40,no
Mabel,40,no
Clarissa,40,no
Carolina,40,no
Lars Larsen,40,no
Kristi,40,no
Ernestine,40,no
Lewis,40,no
Elizabeth Jane,40,no
Sorle,40,no
Léopold,40,no
Cecília,39,no
Madalena,39,no
Enrique,39,no
María Luisa,39,no
María Rosa,39,no
Karine,39,no
Frederik,39,no
Joachim,39,no
أحمد,39,no
Theodore,39,no
Simeon,39,no
Jemima,39,no
Lucinda,39,no
Reuben,39,no
Guri,39,no
Leah,39,no
Hans Olsen,39,no
Amy,39,no
Stina,39,no
Lucius,38,no
Mem,38,no
Mencia,38,no
Theresa,38,no
Iñigo,38,no
Agathe,38,no
Herbert,38,no
Adela,38,no
Leon,38,no
Kristine,38,no
Sybil,38,no
Mehitable,38,no
Mildred,38,no
Maria Magdalena,38,no
Solveig,38,no
Anders Olsen,38,no
Eleazer,38,no
Mélanie,38,no
Mor,37,no
Berenguela,37,no
Petrona,37,no
Josepha,37,no
Irene,37,no
Son,37,no
Magdalene,37,no
Foulques,37,no
Berthold,37,no
Al-Husayn,37,no
Andronikos,37,no
Ada,37,no
Huldah,37,no
Gerard,37,no
Petter,37,no
李,37,no
Ole Andersen,37,no
Bridget,37,no
Egas,36,no
Arias,36,no
María Magdalena,36,no
Maria Manuela,36,no
Joseph Antonio,36,no
Svend,36,no
Claire,36,no
Caradog,36,no
Carl August,36,no
Anna Sofia,36,no
Anne Olsdatter,36,no
Olaus,36,no
Sjur,36,no
Regine,36,no
Mårten,36,no
Frummet,36,no
Guido,35,no
Antónia,35,no
Jerónima,35,no
Holger,35,no
Bodil,35,no
Eustache,35,no
Guillemette,35,no
Constantine,35,no
Augusta,35,no
Tora,35,no
Margarete,35,no
Prudence,35,no
Elisha,35,no
عامر,35,no
Yaakov,35,no
Trygve,35,no
Rasmus Rasmussen,35,no
Ingebjørg,35,no
August,35,no
Guttorm,35,no
מאיר,35,no
Mendo,34,no
Jaime,34,no
Bartolomeu,34,no
Sebastian,34,no
Gerónimo,34,no
Teodora,34,no
Lucía,34,no
Ignacia,34,no
Juan Ignacio,34,no
Maria Francisca,34,no
Ide,34,no
Ingeborg Pedersdatter,34,no
n,34,no
Luitgard,34,no
Ismail,34,no
René,34,no
عبد الرحمن,34,no
Alberto,34,no
Carlo,34,no
Ezekiel,34,no
Henrietta,34,no
عوف,34,no
Alf,34,no
Ole Hansen,34,no
Llywarch,34,no
Anne Maria,34,no
Josephine,34,no
Röschen,34,no
Seligmann,34,no
Lazare,34,no
Suero,33,no
Estefanía,33,no
Joaquin,33,no
Ukjent,33,no
Christoffer,33,no
Margrete,33,no
Mads,33,no
Anne Andersdatter,33,no
Adalbert,33,no
Eberhard,33,no
Anna Catharina,33,no
Armand,33,no
Hugues II,33,no
Jehanne,33,no
Agatha,33,no
Alexios,33,no
Lois,33,no
Patience,33,no
Aamir,33,no
שלמה,33,no
Maria Anna,33,no
Karl Johan,33,no
Johan Alfred,33,no
Anna Larsdatter,33,no
Marit,33,no
Mina,33,no
Hindle,33,no
Schönle,33,no
Meier,33,no
Emile,33,no
Cornelia,32,no
Senhorinha,32,no
Ramiro,32,no
Martim Afonso,32,no
Munio,32,no
José Miguel,32,no
Maria Rosa,32,no
Ana Josefa,32,no
Jose Miguel,32,no
Catharine,32,no
Otte,32,no
Mikkel,32,no
Euphemia,32,no
Hawise,32,no
Samson,32,no
Hasan,32,no
Anders Hansen,32,no
Delphine,32,no
Sybille,32,no
Jean III,32,no
Roberto,32,no
Gaston,32,no
Theodor,32,no
Adeline,32,no
Horace,32,no
Chloe,32,no
Mary Polly,32,no
Lazarus,32,no
Иван Васильевич,32,no
娶:,32,no
Peder Pederson,32,no
Ole Larsen,32,no
Edvard,32,no
Efa,32,no
אליעזר,32,no
Elie,32,no
Hendle,32,no
Amschel,32,no
Maior,31,no
Briolanja,31,no
María Isabel,31,no
Bruno,31,no
María Manuela,31,no
Félix,31,no
Francisco José,31,no
Juan de Dios,31,no
Maria Ignacia,31,no
Jep,31,no
Gjertrud,31,no
Peder Hansen,31,no
Anne Pedersdatter,31,no
Markus,31,no
Thierry,31,no
Salome,31,no
יהודה,31,no
Erich,31,no
Umar,31,no
Ona,31,no
Costanza,31,no
Honor,31,no
박,31,no
정,31,no
Willem,31,no
Abner,31,no
Signe,31,no
Helge,31,no
Anders Andersson,31,no
Ithel,31,no
Siegmund,31,no
Priscilla,31,no
Isidore,31,no
Chana,31,no
Jachet,31,no
Löb,31,no
Moise,31,no
Gaius,30,no
Martinho,30,no
Guglielmo,30,no
Matilde,30,no
Ramon,30,no
Conrad,30,no
Helvig,30,no
Ermentrude,30,no
Gottfried,30,no
Mabille,30,no
Victor,30,no
Sulayman,30,no
Bela,30,no
Ragna,30,no
Gideon,30,no
Betsey,30,no
William Thomas,30,no
수,30,no
Federico,30,no
Yehuda,30,no
Petrus,30,no
Anna Pedersdatter,30,no
Johanne Marie,30,no
Rolf,30,no
Elling,30,no
Rhirid,30,no
Surname,30,no
Belchior,29,no
Joane,29,no
Heitor,29,no
Fortún,29,no
María Inés,29,no
Henning,29,no
Katharine,29,no
??,29,yes
Bengt,29,no
Eve,29,no
Humbert,29,no
Richilde,29,no
(incognita),29,no
Borghild,29,no
Heinrich I,29,no
Ernest,29,no
Géraud,29,no
Luigi,29,no
Giulia,29,no
Sverre,29,no
Jabez,29,no
Leonard,29,no
Seth,29,no
Giles,29,no
Dorcas,29,no
未知,29,no
Stillborn,29,no
Rabi'a,29,no
سعد,29,no
ربيعة,29,no
Asher,29,no
Elsbeth,29,no
Rosa Maria,29,no
Carl Gustaf,29,no
Anna Jonsdatter,29,no
Inga,29,no
Hans Hansson,29,no
Ole Pedersen,29,no
Torbjørn,29,no
Kari Olsdatter,29,no
Inger Olsdatter,29,no
Halvor,29,no
Johannes Hansen,29,no
Thora,29,no
Mathilda,29,no
Ole Martin,29,no
Þórður,29,no
Juda,29,no
Rosina,29,no
Gustave,29,no
No Name,28,yes
Clemente,28,no
Alphonse,28,no
Matias,28,no
Jose Ignacio,28,no
Francisca Xaviera,28,no
Pedro José,28,no
Ove,28,no
Ludvig,28,no
Jens Nielsen,28,no
Dorte,28,no
Anne Nielsdatter,28,no
Karen Pedersdatter,28,no
Lena,28,no
Jöns,28,no
Emmanuel,28,no
Ubaydullah,28,no
alHassan,28,no
Marija,28,no
Benjamin Franklin,28,no
Sarah Jane,28,no
John William,28,no
Sarah Elizabeth,28,no
Marc,28,no
Shimon,28,no
Selma,28,no
Kåre,28,no
Gunder,28,no
Gaspard,28,no
Gwladys,28,no
Sibyl,28,no
Rebekka,28,no
Mariet,28,no
שרה,28,no
רחל,28,no
Eugénie,28,no
Claudia,27,no
Mór,27,no
Marinha,27,no
João Afonso,27,no
Alvar,27,no
Maria Luisa,27,no
Bernabé,27,no
Pedro Joseph,27,no
Kirstine,27,no
Juliane,27,no
Hans Pedersen,27,no
Anders Pedersen,27,no
Jens Pedersen,27,no
Dorthe,27,no
Birger,27,no
Étienne,27,no
Gerberga,27,no
Elżbieta,27,no
Ioannes,27,no
Gaucher,27,no
Dauphine,27,no
Al-Qasim,27,no
إبراهيم,27,no
Isa,27,no
조,27,no
Boudewijn,27,no
Amanda,27,no
John Thomas,27,no
Clementine,27,no
John Henry,27,no
Qays,27,no
Gerson,27,no
Aharon,27,no
Anna Lovisa,27,no
Anna Elisabeth,27,no
Erna,27,no
Nils Nilsson,27,no
Guri Olsdatter,27,no
Hans Christian,27,no
Gwrgeneu,27,no
Elinor,27,no
Baldwin,27,no
Lawrence,27,no
Zvi Hirsch,27,no
Brendle,27,no
Nanette,27,no
Minette,27,no
Cornelius,26,no
Íñigo,26,no
Bartolome,26,no
Bernardina,26,no
María Nicolasa,26,no
José Joaquín,26,no
Rita,26,no
Jose Maria,26,no
Poul,26,no
Anders Andersen,26,no
Ane,26,no
Anne Hansdatter,26,no
Miss,26,no
Guillaume I,26,no
Gérard,26,no
Anastasia,26,no
Håkon,26,no
Éléonore,26,no
Edouard,26,no
alHussein,26,no
Asbjørn,26,no
Naomi,26,no
Hiram,26,no
Diana,26,no
Silas,26,no
Tha'laba,26,no
Ommund,26,no
Inger Marie,26,no
Anna Rasmusdatter,26,no
Eivind,26,no
Oskar,26,no
Torstein,26,no
Rivka,26,no
צבי הירש,26,no
Raphaël,26,no
Feliciana,25,no
Garci,25,no
Jimena,25,no
Gregório,25,no
Juan Joseph,25,no
Marianna,25,no
Niels Jensen,25,no
Werner,25,no
Susanne,25,no
Fredrik,25,no
Arnoul,25,no
Enguerrand,25,no
Gui,25,no
Robert II,25,no
Clotilde,25,no
Sibilla,25,no
Amélie,25,no
Atika,25,no
Eudokia,25,no
Anna Marie,25,no
Bjarne,25,no
Heinrich II,25,no
Honour,25,no
Михаил Иванович,25,no
زيد,25,no
Saul,25,no
Karl August,25,no
Randi,25,no
Marta Olsdatter,25,no
Kristen,25,no
Claes,25,no
Eduard,25,no
Rhiwallon,25,no
Gwyn,25,no
Bleddyn,25,no
Catrin,25,no
Pehr,25,no
מרדכי,25,no
Hindel,25,no
חיים,25,no
Zippora,25,no
Beer,25,no
Pessel,25,no
Isidor,25,no
Eugen,25,no
Tristão,24,no
Juana Francisca,24,no
María del Carmen,24,no
Jose Manuel,24,no
Peder Nielsen,24,no
Birgitta,24,no
Bouchard,24,no
Jehan,24,no
Bonne,24,no
Ragnvald,24,no
Hildegard,24,no
Gebhard,24,no
Bartholomew,24,no
George William,24,no
Jerusha,24,no
Dora,24,no
Khalid,24,no
Иван Андреевич,24,no
Irma,24,no
‏‏‎ ‎,24,no
Anna Maja,24,no
Ingebret,24,no
Leif,24,no
Kristoffer,24,no
Kirsti,24,no
Maren Olsdatter,24,no
Eleonore,24,no
O,24,no
רבקה,24,no
אסתר,24,no
מרים,24,no
חנה,24,no
Gitel,24,no
Hertz,24,no
Kalman,24,no
Placeholder,24,no
Frieda,24,no
Moyse,24,no
Lucien,24,no
Froila,23,no
Simón,23,no
Luísa,23,no
Mariano,23,no
Ana Francisca,23,no
Geronimo,23,no
Elisa,23,no
Jens Andersen,23,no
Hartvig,23,no
Nicolaus,23,no
Laurits,23,no
Hector,23,no
Konstantinos,23,no
Simone,23,no
Yusuf,23,no
Erzsébet,23,no
Иван Михайлович,23,no
Élisabeth,23,no
Bathsheba,23,no
Cynthia,23,no
Betsy,23,no
Harriett,23,no
宏,23,no
기,23,no
昭,23,no
Alessandro,23,no
Nehemiah,23,no
Ola Larsson,23,no
Jon Jonsen,23,no
Rakel,23,no
Oline,23,no
Lars Olson,23,no
Kurt,23,no
Malena,23,no
Berta Olsdatter,23,no
Torkel,23,no
Johan Arnt,23,no
Marie Anne,23,no
Margreta,23,no
Filipe,23,no
Cecily,23,no
Nicole,23,no
Adolphe,23,no
Mawd,23,no
Bethia,23,no
Keziah,23,no
Privat,23,no
Þórdís,23,no
Raden,22,no
N. N.,22,yes
Juan Alonso,22,no
Aldara,22,no
???,22,yes
Bermudo,22,no
Pierre II,22,no
Jeronima,22,no
Anders Jensen,22,no
Eline,22,no
Niels Pedersen,22,no
Jon Pedersen,22,no
Anna Hansdatter,22,no
Benedict,22,no
Burchard,22,no
Gerberge,22,no
Rostaing,22,no
Hildegarde,22,no
Judah,22,no
Eufemia,22,no
Joen,22,no
Hermine,22,no
Philippine,22,no
Archambaud,22,no
Roland,22,no
Filippo,22,no
فاطمة,22,no
Uthman,22,no
Aisha,22,no
Otto I,22,no
Rudolph,22,no
Experience,22,no
寬,22,no
Hind,22,no
Mu'awiya,22,no
Ka'b,22,no
Gerónima,22,no
Giuseppe,22,no
Maria Margarita,22,no
Fannie,22,no
María de Jesús,22,no
譚,22,no
Ednyfed,22,no
Ola Rasmusson,22,no
Aslak,22,no
Luise,22,no
Barbe,22,no
Camille,22,no
Gwilym,22,no
Trahaearn,22,no
Joyce,22,no
Hans Andersen,22,no
Lu Mou 盧某,22,no
Mindwell,22,no
Mary Anne,22,no
Þorgerður,22,no
Vogel,22,no
Schönche,22,no
Raphael,22,no
Mendel,22,no
Goudchaux,22,no
Version 1 for descendents of 景肅,22,no
Watkin,22,no
Ximena,21,no
Cristovão,21,no
Ximeno,21,no
Vela,21,no
Nyi Raden,21,no
Angelina,21,no
Geronima,21,no
Ventura,21,no
Isidro,21,no
María Margarita,21,no
Francisca Javiera,21,no
Benito,21,no
Ysabel,21,no
Mercedes,21,no
José Manuel,21,no
Berete,21,no
Elsebe,21,no
Anna Nilsdatter,21,no
Erik Eriksen,21,no
Bernt,21,no
Geoffroi,21,no
Phillip,21,no
Tord,21,no
Christiana,21,no
Otto II,21,no
Ulf,21,no
موسى,21,no
الحسن,21,no
Harold,21,no
Reginald,21,no
Patrick,21,no
Russell,21,no
Phoebe,21,no
Ira,21,no
Asahel,21,no
Job,21,no
Ezra,21,no
Bethiah,21,no
William John,21,no
Guro,21,no
진,21,no
紹,21,no
Иван Дмитриевич,21,no
Thibaud,21,no
Hilda,21,no
通,21,no
Cynan,21,no
Mark,21,no
Karolina,21,no
Johan Albert,21,no
Jon Olsen,21,no
Hans Peter,21,no
Jon Jonson,21,no
Karen Olsdatter,21,no
Erik Olsen,21,no
Malene,21,no
Trond,21,no
Domnall,21,no
Ieuaf,21,no
Rhydderch,21,no
Jens Olsen,21,no
Lars Johan,21,no
母,21,no
Wei Mou 韋某,21,no
Marte Olsdatter,21,no
Mathis,21,no
Andrine,21,no
Ole Anton,21,no
Thurid,21,no
Gittel,21,no
Frumet,21,no
Fritz,21,no
Maria Isabel,20,no
Juan Diego,20,no
María Juana,20,no
María Ana,20,no
Alejandro,20,no
Cayetano,20,no
Carmen,20,no
Maria del Carmen,20,no
María Rita,20,no
.,20,yes
Peder Andersen,20,no
Peder Jensen,20,no
Gregers,20,no
Arvid,20,no
Paulo,20,no
Theobald,20,no
Eirene,20,no
Desire,20,no
綱,20,no
Maren Pedersdatter,20,no
Gautier,20,no
Amédée,20,no
Godefroi,20,no
Olivier,20,no
Francesca,20,no
Alain,20,no
Мария,20,no
Stefan,20,no
Zofia,20,no
Bård,20,no
Mechthild,20,no
