kind,name,occurrences,verdict,qids
family,Sehested,126,resolved,Q29654330
family,水野,126,no item,
family,湖南湘鄉,126,no item,
family,紀,125,no item,
family,Al-Hasani,124,no item,
family,Friis,124,resolved,Q18328036
family,開封,124,no item,
family,Wittelsbach,122,resolved,Q123614057
family,Espedal,122,no item,
family,노,122,no item,
family,Askanier,121,no item,
family,KHOO 邱,121,no item,
family,العباسي,121,no item,
family,細川,121,no item,
family,博爾濟吉特,121,no item,
family,정,121,no item,
family,Persson,120,resolved,Q27876648
family,Berge,120,ambiguous — several items share the label,Q16479900 | Q31210837
family,Lyse,120,resolved,Q39265204
family,毛利,120,no item,
family,Thomas,119,resolved,Q1413324
family,Olofsdotter,118,no item,
family,Lillard,117,resolved,Q16872161
family,Jonsson,117,ambiguous — several items share the label,Q21494571 | Q21509276 | Q21510655
family,Sweetland,116,resolved,Q37214388
family,Tjørhom,116,no item,
family,小笠原,115,no item,
family,Juel,114,resolved,Q6304703
family,趙州平棘,114,no item,
family,Loomis,113,resolved,Q16872463
family,Lyman,113,resolved,Q24122088
family,徳川,113,no item,
family,Bartholomew,112,resolved,Q30117840
family,Parker,112,resolved,Q1628041
family,Place,112,resolved,Q7200212
family,Kaas,112,no item,
family,Davis,111,resolved,Q12386976
family,Chilton,111,resolved,Q8270802
family,Grude,111,resolved,Q30229687
family,Barbosa,111,resolved,Q16496800
family,Pomeroy,110,resolved,Q7227282
family,Munk,110,resolved,Q17126022
family,Morrow,110,resolved,Q16877432
family,Вельяминов-Зернов,110,no item,
family,유,110,no item,
family,Johansson,108,resolved,Q1699018
family,Nilsdotter,108,resolved,Q34369950
family,Chan,108,no item,
family,北条,108,no item,
family,内藤,108,no item,
family,姜姓,108,no item,
family,Hansdatter,107,resolved,Q63342131
family,العقيلي,107,no item,
family,de Melo,106,resolved,Q56037548
family,de Menezes,106,resolved,Q66659070
family,太原文水,106,no item,
family,Pereira,105,resolved,Q21450564
family,de Castro,104,ambiguous — several items share the label,Q55087692 | Q99662413
family,太原祁縣,104,no item,
family,趙國柏仁,104,no item,
family,Persdotter,103,no item,
family,Nassau,102,resolved,Q37267291
family,Weil,102,resolved,Q17035149
family,大久保,101,no item,
family,Hollister,101,resolved,Q16870846
family,Chapin,100,resolved,Q16865493
family,McKnight,100,no item,
family,de Luxembourg,99,resolved,Q93871117
family,Harris,99,resolved,Q10859343
family,Tickner,98,resolved,Q7800717
family,Weems,98,resolved,Q37457857
family,平,97,no item,
family,Ulfeldt,96,resolved,Q21508144
family,de Montmorency,96,resolved,Q63457366
family,范陽方城,96,no item,
family,Nilsson,95,resolved,Q15829860
family,Carter,95,resolved,Q16101731
family,Hurd,95,no item,
family,伊達,95,no item,
family,Pettersson,94,resolved,Q1706725
family,鄭州榮陽,94,no item,
family,Unknown,92,no item,
family,濟州鉅野,92,no item,
family,Clark,91,resolved,Q1119151
family,de Lusignan,91,resolved,Q106352411
family,Lykke,91,resolved,Q21487820
family,Håland,90,no item,
family,الثقفي,90,no item,
family,KHOO,90,resolved,Q37548132
family,Pedersen,89,resolved,Q23751947
family,Thott,89,resolved,Q47528688
family,Payne,89,resolved,Q16881041
family,Hohenzollern,89,resolved,Q88458721
family,Württemberg,89,resolved,Q55617908
family,النجاري,89,no item,
family,de la Garza,88,resolved,Q125388649
family,石川,88,no item,
family,Kleppe,87,resolved,Q30250455
family,嬴姓,87,no item,
family,조,87,no item,
family,Willett,86,resolved,Q37446979
family,Andersdatter,86,resolved,Q54810331
family,Ransdell,86,resolved,Q7293456
family,석,86,no item,
family,de Savoie,85,resolved,Q105418238
family,Jansson,85,resolved,Q23306190
family,des Baux,85,no item,
family,de Lévis,85,resolved,Q104825239
family,Laland,85,no item,
family,de Foix,84,resolved,Q104591686
family,Jensen,84,resolved,Q12657428
family,Sapieha h. Lis,84,no item,
family,Seligman,84,resolved,Q23596199
family,Skeel,83,resolved,Q16883403
family,陸,83,no item,
family,Custer,82,resolved,Q16865962
family,Fidjeland,82,no item,
family,N.N.,82,no item,
family,武田,82,no item,
family,Noble,82,resolved,Q15733778
family,胡,82,no item,
family,撫州臨川,82,no item,
family,Hall,81,resolved,Q1551523
family,Рюрикович,81,no item,
family,Gilbert,81,resolved,Q1158185
family,Borsheim,81,no item,
family,楊,81,no item,
family,Foster,80,resolved,Q21501722
family,Erga,80,no item,
family,Larsen,80,ambiguous — several items share the label,Q13099004 | Q44811063
family,الكلبي,80,no item,
family,Atwater,80,resolved,Q37537623
family,de Portugal,80,no item,
family,有馬,80,no item,
family,趙郡柏仁,80,no item,
family,Jonsdotter,79,no item,
family,Grubbe,79,resolved,Q16870336
family,da Silva,79,ambiguous — several items share the label,Q23781436 | Q66385622
family,Westover,79,resolved,Q37539150
family,朝倉,79,no item,
family,戸田,79,no item,
family,島津,79,no item,
family,Gyldenstierne,78,resolved,Q47456835
family,de Montfort,78,resolved,Q105496611
family,Braut,78,resolved,Q30132563
family,McCarty,78,resolved,Q27436269
family,Sosronagoro,78,no item,
family,吳興武康,78,no item,
family,Bore,77,resolved,Q105227367
family,Goodwin,77,resolved,Q12201665
family,周,76,no item,
family,加納,76,no item,
family,d'Altavilla,76,no item,
family,Root,76,no item,
family,藤堂,76,no item,
family,婺州金華,76,no item,
family,Urne,75,resolved,Q26736518
family,Krabbe,75,ambiguous — several items share the label,Q1667462 | Q88945803
family,de Beaumont,75,resolved,Q76417957
family,Lunde,75,resolved,Q21488986
family,黒田,75,no item,
family,Dameron,75,no item,
family,Al-Zuhri,75,no item,
family,Williamson,74,resolved,Q2581264
family,Hvide,74,resolved,Q55222347
family,Al-Taymi,74,no item,
family,Al-Makhzumi,74,no item,
family,Searle,74,resolved,Q16882879
family,Lee,74,ambiguous — several items share the label,Q11983535 | Q12794688 | Q2061957
family,Sinnes,74,no item,
family,越州山陰,74,no item,
family,강,74,no item,
family,White,73,resolved,Q1215200
family,Amundsen,73,resolved,Q16148979
family,Drake,73,resolved,Q16869662
family,Al-Najjari,73,no item,
family,沈,72,no item,
family,de Narbonne,72,resolved,Q105248042
family,Nilsen,71,resolved,Q21449502
family,Moore,71,resolved,Q10588869
family,Calvert,71,resolved,Q27897265
family,拓跋,71,no item,
family,泉州晉江,71,no item,
family,鄭,70,no item,
family,Sveinsvoll,70,no item,
family,Gustafsson,70,resolved,Q23304595
family,Johansdotter,69,resolved,Q47514474
family,Jones,69,resolved,Q59853
family,Bradford,69,resolved,Q23542895
family,Salte,69,no item,
family,加藤,69,no item,
family,九条,69,no item,
family,Montague,69,resolved,Q16877350
family,Tott,68,resolved,Q45854140
family,Сапега,68,no item,
family,"Schleswig-Holstein, Oldenburg",68,no item,
family,Чингизид,68,no item,
family,von Gleichen,67,no item,
family,Rantzau,67,resolved,Q21506781
family,de Sousa,67,ambiguous — several items share the label,Q55739047 | Q99908123
family,de Bourbon,67,resolved,Q98890770
family,Merriman,67,resolved,Q29573224
family,三条,67,no item,
family,Годунов,67,no item,
family,Christiansen,67,resolved,Q11963736
family,de Aragón,66,resolved,Q47492686
family,Rurikid,66,no item,
family,Tu,66,ambiguous — several items share the label,Q11151574 | Q4464775
family,de Courtenay,66,resolved,Q76909999
family,Douglas,66,resolved,Q2677358
family,Sapiega,66,no item,
family,泰山南城,66,no item,
family,de Castellane,65,resolved,Q63951643
family,Olsson,65,resolved,Q21497082
family,Pedersdatter,65,resolved,Q122838114
family,Lunge,65,resolved,Q6704315
family,de France,65,resolved,Q55280644
family,上杉,65,no item,
family,d'Agoult,64,resolved,Q65329742
family,Bonaparte,64,resolved,Q24530160
family,Kjærulf,64,no item,
family,Cook,64,resolved,Q2671214
family,Youngblood,64,resolved,Q25802735
family,Lovett,64,resolved,Q16872546
family,山内,64,no item,
family,南部,64,no item,
family,趙州柏鄉,64,no item,
family,di Savoia,63,resolved,Q114970715
family,الأسدي,63,no item,
family,Nese,63,no item,
family,Bull,62,no item,
family,Curtis,62,resolved,Q12787162
family,Gjesdal,62,resolved,Q27888954
family,浅野,62,no item,
family,足利,62,no item,
family,배,62,no item,
family,常州武進,62,no item,
family,開封雍邱,62,no item,
family,von Württemberg,61,resolved,Q113495620
family,Washburn,61,resolved,Q7971446
family,de Sabran,61,ambiguous — several items share the label,Q105128446 | Q99908086
family,Leonard,61,resolved,Q14704293
family,Gerstle,61,resolved,Q37563667
family,de Croÿ,61,resolved,Q104854494
family,Sapiegaitė,61,no item,
family,Searls,60,no item,
family,Vind,60,resolved,Q36938981
family,Vestly,60,resolved,Q40000023
family,Olsdtr,60,no item,
family,Bridges,60,resolved,Q16860438
family,Campbell,60,resolved,Q2665383
family,堀,60,no item,
family,京兆府,60,no item,
family,澧州,60,no item,
family,Vijaya,60,no item,
family,Wood,59,resolved,Q1158452
family,Bernheimer,59,resolved,Q37543070
family,牧野,59,no item,
family,Green,59,resolved,Q2703137
family,Carlsdotter,59,resolved,Q83344461
family,de la Garza de la Garza,59,no item,
family,العبقسي,59,no item,
family,Eriksdotter,58,resolved,Q105530706
family,Al-Asadi,58,no item,
family,de Dreux,58,resolved,Q104802460
family,Plantagenet,58,resolved,Q111729332
family,Hatteland,58,no item,
family,Harbou,58,resolved,Q47001796
family,de Brienne,58,resolved,Q63396083
family,Saxton,58,resolved,Q21488844
family,Přemyslovec,58,no item,
family,稲葉,58,no item,
family,姜,58,no item,
family,趙郡平棘,58,no item,
family,Ferreira,57,resolved,Q10281657
family,Morton,57,resolved,Q13570390
family,Piast,57,no item,
family,Mitchell,57,resolved,Q179205
family,de Châtillon,57,ambiguous — several items share the label,Q104825290 | Q105128269
family,Calkins,57,resolved,Q21507497
family,المخزومي,57,no item,
family,"Wettin, Ernestiner",56,no item,
family,Buckland,56,resolved,Q16860619
family,Pozzo di Borgo,56,resolved,Q51237345
family,井上,56,no item,
family,佐竹,56,no item,
family,Sapieha,56,resolved,Q21502237
family,芈姓,56,no item,
family,송,56,no item,
family,隴西,56,no item,
family,Rurikov,55,no item,
family,House,55,resolved,Q19902419
family,d'Anjou,55,resolved,Q63453818
family,Nielsdatter,55,resolved,Q122837792
family,Orre,55,no item,
family,Hale,55,resolved,Q16870404
family,森,55,no item,
family,朱,55,no item,
family,الخزرجي,55,no item,
family,崔,55,no item,
family,Oldham,54,resolved,Q16880705
family,Galen,54,no item,
family,Mansbridge,54,no item,
family,von Sachsen,54,no item,
family,Jansdotter,54,no item,
family,Al-Adawi,54,no item,
family,丹羽,54,no item,
family,京極,54,no item,
family,Larsdatter,54,resolved,Q122837357
family,鉅鹿曲城,54,no item,
family,Outlaw,54,no item,
family,de Thouars,53,resolved,Q104803129
family,González,53,ambiguous — several items share the label,Q37108481 | Q5576697
family,Fløysvik,53,no item,
family,Closson,53,no item,
family,da Cunha,53,resolved,Q64765873
family,Stokka,53,no item,
family,+,53,no item,
family,التيمي,53,no item,
family,Bruell,53,resolved,Q37503669
family,陈,53,no item,
family,Crabb,53,resolved,Q37445298
family,Post,52,resolved,Q21491634
family,Øyre,52,no item,
family,Tachibana,52,ambiguous — several items share the label,Q16884158 | Q26216117
family,Al-Zaydi,52,no item,
family,Barton,52,ambiguous — several items share the label,Q4865782 | Q790941
family,Courtenay,52,resolved,Q37553656
family,Briggs,52,resolved,Q12786498
family,Nielsen,52,resolved,Q16511256
family,Savage,52,resolved,Q13560071
family,Baker,52,resolved,Q2658150
family,Al-Uqayli,52,no item,
family,成都華陽,52,no item,
family,unknown,51,no item,
family,Capet,51,resolved,Q2937271
family,Gaylord,51,resolved,Q29614694
family,d'Auvergne,51,resolved,Q93972551
family,Rodríguez de Montemayor,51,no item,
family,Schwarzburg,51,no item,
family,Sørensen,51,resolved,Q21493124
family,畠山,51,no item,
family,Bjorgo,51,no item,
family,譙國龍亢,51,no item,
family,Bliss,50,resolved,Q25114859
family,Rud,50,resolved,Q37125751
family,d'Anduze,50,no item,
family,de Villeneuve,50,resolved,Q63759848
family,Correia,50,resolved,Q30525611
family,慕容,50,no item,
family,宇文,50,no item,
family,Horve,49,no item,
family,Terry,49,resolved,Q2405539
family,高,49,no item,
family,de Poitiers,49,resolved,Q106626337
family,....,49,no item,
family,Standley,49,resolved,Q21450271
family,de Clermont,49,resolved,Q88387579
family,木下,49,no item,
family,Pace,49,resolved,Q7121894
family,板倉,49,no item,
family,van Assendelft,49,no item,
family,Serigstad,49,no item,
family,Standen,49,resolved,Q37262647
family,SEE,49,ambiguous — several items share the label,Q105234967 | Q37133783
family,류,49,no item,
family,Kruse,48,resolved,Q21449748
family,Oldenburg,48,resolved,Q16880703
family,von Bayern,48,resolved,Q115819240
family,Frafjord,48,resolved,Q38902733
family,Orstad,48,resolved,Q37184846
family,Rood,48,resolved,Q16882262
family,ap Llywarch,48,no item,
family,de Namur,48,no item,
family,de Voisins,48,resolved,Q104540079
family,Bass,48,resolved,Q21501431
family,Chabot,48,resolved,Q21492860
family,蜂須賀,48,no item,
family,永井,48,no item,
family,de Lima,48,resolved,Q21475251
family,Al-Khazraji,48,no item,
family,東海郯縣,48,no item,
family,de Marseille,47,resolved,Q105180754
family,Reve,47,resolved,Q65769129
family,Wilcox,47,resolved,Q17142673
family,Lima,47,resolved,Q11255517
family,Ersson,47,resolved,Q20856684
family,Krag,47,resolved,Q18331124
family,Przemyslides,47,no item,
family,Byrkjeland,47,no item,
family,二条,47,no item,
family,Dolatshahi,47,no item,
family,三宅,47,no item,
family,de Mendonça,47,no item,
family,de Montlaur,47,resolved,Q104832217
family,Faesch,47,resolved,Q87571749
family,百済王,47,no item,
family,Шелешпанский,47,no item,
family,Helvik,46,no item,
family,Church,46,resolved,Q16865586
family,Whittemore,46,resolved,Q16956981
family,Parsons,46,resolved,Q16880979
family,Fernandes,46,resolved,Q21510337
family,العدوي,46,no item,
family,Høle,46,no item,
family,Díaz,46,ambiguous — several items share the label,Q1209239 | Q5255562
family,de Azevedo,46,resolved,Q63350830
family,de Blois,46,resolved,Q25113852
family,Griswold,46,no item,
family,鳥居,46,no item,
family,Hohenlohe,46,resolved,Q106604841
family,鍋島,46,no item,
family,壽州,46,no item,
family,河北道河南府,46,no item,
family,京兆武功,46,no item,
family,원,46,no item,
family,Kvæven,45,no item,
family,Henriques,45,resolved,Q16870705
family,Eikeland,45,resolved,Q28872484
family,Jensdatter,45,resolved,Q28406312
family,Heath,45,resolved,Q21481527
family,de Picquigny,45,no item,
family,d'Auxy,45,no item,
family,del Balzo,45,no item,
family,WONG,45,resolved,Q16242398
family,Abbey,45,resolved,Q4663971
family,Juul,45,resolved,Q30736942
family,佐久間,45,no item,
family,Hjørnevik,45,no item,
family,Handeland,45,no item,
family,Mossige,45,no item,
family,Ousdal,45,resolved,Q96478328
family,de Barros,45,resolved,Q56246446
family,al-Awadhli,45,no item,
family,von Thüringen,44,no item,
family,Taylor,44,resolved,Q15080511
family,Al-Idrisi,44,no item,
family,Krummedige,44,resolved,Q51059378
family,Eriksen,44,resolved,Q27887926
family,Skjæveland,44,no item,
family,Fernández,44,ambiguous — several items share the label,Q164892 | Q28912637
family,de Coucy,44,resolved,Q99539203
family,Sele,44,no item,
family,Засекин,44,no item,
family,الزهري,44,no item,
family,山名,44,no item,
family,Anderson,44,resolved,Q1848748
family,Gjesteland,44,no item,
family,Mauland,44,no item,
family,Oliver,44,ambiguous — several items share the label,Q16931215 | Q2110096
family,Colonna,44,resolved,Q16865694
family,LEE,44,ambiguous — several items share the label,Q11983535 | Q12794688 | Q2061957
family,閬州閬中,44,no item,
family,蘇州吳縣,44,no item,
family,Ухтомский,44,no item,
family,채,44,no item,
family,de Périgord,43,no item,
family,de Comminges,43,resolved,Q104591758
family,de Ponthieu,43,resolved,Q104832225
family,de Barcelona,43,no item,
family,Howard,43,resolved,Q908051
family,Al-Adnani,43,no item,
family,de Villarreal de la Garza,43,no item,
family,العامري,43,no item,
family,日野,43,no item,
family,溝口,43,no item,
family,阿部,43,no item,
family,松浦,43,no item,
family,China,43,resolved,Q37229573
family,土井,43,no item,
family,Tunheim,43,no item,
family,吳興長城,43,no item,
family,القحطاني,43,no item,
family,التغلبي,43,no item,
family,Tendeland,43,no item,
family,한,43,no item,
family,de Vendôme,42,no item,
family,d'Aragona,42,resolved,Q55087679
family,Babcock,42,resolved,Q29949678
family,Kyllingstad,42,no item,
family,Rød,42,resolved,Q25114363
family,Soares,42,resolved,Q20823845
family,de Hainaut,42,resolved,Q105532661
family,Merrell,42,resolved,Q28919317
family,King,42,resolved,Q535214
family,Banner,42,resolved,Q16479802
family,Rodrigues,42,resolved,Q16471351
family,de Cabrera,42,resolved,Q78600500
family,Løland,42,resolved,Q27889353
family,Al-Qahtani,42,no item,
family,Noblin,42,no item,
family,Mathisen,42,resolved,Q21484913
family,潁川鄢陵,42,no item,
family,宋州宋城,42,no item,
family,秦州成紀,42,no item,
family,Roberts,41,resolved,Q1646493
family,Tiffany,41,resolved,Q16884688
family,Sparre,41,resolved,Q30136491
family,Nerabø,41,no item,
family,Cooke,41,resolved,Q658676
family,de Beaujeu,41,resolved,Q63442192
family,Kjosavik,41,no item,
family,de Créquy,41,resolved,Q105611778
family,Olson,41,no item,
family,Dyre,41,resolved,Q36879902
family,Bø,41,no item,
family,Sømme,41,resolved,Q35026422
family,Brooks,41,resolved,Q1354011
family,Poyntz,41,resolved,Q7237008
family,Daniel,41,resolved,Q110588440
family,Rector,41,resolved,Q16881936
family,生駒,41,no item,
family,一条,41,no item,
family,植村,41,no item,
family,von Salm,41,resolved,Q105181136
family,林,41,no item,
family,Nomeland,41,no item,
family,Al-Qaysi,41,no item,
family,Gonzaga,41,resolved,Q22992247
family,Anda,41,resolved,Q16479635
family,仙石,41,no item,
family,LÀI 赖,41,no item,
family,Conway,40,resolved,Q16865734
family,Ænes,40,no item,
family,Geer,40,resolved,Q28605695
family,de Hauteville,40,no item,
family,Komnenos,40,ambiguous — several items share the label,Q163814 | Q80702611
family,Johns,40,resolved,Q16871196
family,de Melun,40,no item,
family,Heier,40,no item,
family,Pierce,40,resolved,Q14921982
family,長樂信都,40,no item,
family,吳興,40,no item,
family,杭州錢塘,40,no item,
family,кн. Дулов,40,no item,
family,廬江灊縣,40,no item,
family,Al-Bahrani,40,no item,
family,幽州范陽,40,no item,
family,平江崑山,40,no item,
family,貝州清河,40,no item,
family,Schweizer,39,resolved,Q2255868
family,Talberg,39,no item,
family,Abbe,39,resolved,Q16001355
family,Vik,39,resolved,Q21446378
family,Grey,39,resolved,Q2703557
family,الهاشمي,39,no item,
family,Ōkubo,39,resolved,Q21449469
family,Ims,39,no item,
family,Fossmork,39,no item,
family,von Habsburg,39,no item,
family,Sánchez,39,ambiguous — several items share the label,Q1158617 | Q28912875
family,de Sully,39,resolved,Q101014826
family,verch Brychan,39,no item,
family,de Craon,39,resolved,Q105818166
family,Marsvin,39,resolved,Q119240871
family,Hutchinson,39,resolved,Q21501619
family,Stebbins,39,no item,
family,Henriksen,39,resolved,Q21492192
family,Beck,39,resolved,Q2659856
family,Wilson,39,resolved,Q1645480
family,西園寺,39,no item,
family,秦,39,no item,
family,الكناني,39,no item,
family,Murat,39,resolved,Q19687088
family,Nessa,39,no item,
family,Mayer,39,resolved,Q13725587
family,القيسي,39,no item,
family,Whitehead,39,resolved,Q15709639
family,Qiū 邱,39,no item,
family,Campany,39,no item,
family,FILIPPINI,39,resolved,Q21493366
family,Bateman,39,resolved,Q20979432
family,Thrane,38,resolved,Q21507392
family,Meland,38,resolved,Q27892728
family,Eriksdatter,38,no item,
family,Shelton,38,resolved,Q26224011
family,孛兒只斤,38,no item,
family,Helland,38,resolved,Q30085478
family,Moniz,38,resolved,Q21492498
family,Ames,38,resolved,Q12784464
family,de Dampierre,38,resolved,Q105476892
family,Ulfstand,38,resolved,Q49963450
family,Hansson,38,resolved,Q21507480
family,Young,38,resolved,Q12678727
family,Stewart,38,resolved,Q2801971
family,von Nassau,38,no item,
family,Merrill,38,resolved,Q16876847
family,Judd,38,resolved,Q37537931
family,Haynie,38,no item,
family,Guerra de la Garza,38,no item,
family,de Limoges,38,resolved,Q104832197
family,Ådneram,38,no item,
family,Gardner,38,resolved,Q1700760
family,d'Ibelin,38,no item,
family,鷹司,38,no item,
family,菅原,38,no item,
family,韓,38,no item,
family,Relf,38,resolved,Q20826817
family,Viegas,37,no item,
family,Ebbesen,37,resolved,Q30307497
family,Willis,37,resolved,Q17149756
family,Kenner,37,resolved,Q16871337
family,Al-Thaqafi,37,no item,
family,Hellestø,37,no item,
family,Morris,37,resolved,Q2780710
family,Martins,37,resolved,Q1905655
family,di Capua,37,no item,
family,de Genève,37,no item,
family,de Vermandois,37,resolved,Q98141623
family,Ewell,37,resolved,Q16275773
family,Flores de Abrego,37,no item,
family,Judson,37,resolved,Q16290335
family,Kellogg,37,resolved,Q16871329
family,de Châlon,37,resolved,Q104854484
family,Johnson,37,resolved,Q1158485
family,吉田,37,no item,
family,Hurst,37,resolved,Q1638721
family,Munch,37,ambiguous — several items share the label,Q14753639 | Q16877606
family,Ярославский,37,no item,
family,de Polignac,37,resolved,Q105532696
family,הכהן רפא,37,no item,
family,施,37,no item,
family,Bild,36,resolved,Q7146554
family,de Castilla,36,resolved,Q99907853
family,de Boulogne,36,resolved,Q104854476
family,العبشمي,36,no item,
family,Christensen,36,resolved,Q21483014
family,Flores,36,resolved,Q1397072
family,Przemyslid,36,no item,
family,Patterson,36,resolved,Q2792882
family,Sprague,36,resolved,Q36909949
family,Sørland,36,no item,
family,Paynel,36,no item,
family,Waaland,36,no item,
family,Olsdotter,36,resolved,Q123189983
family,Brandão,36,ambiguous — several items share the label,Q21492087 | Q37071324
family,井伊,36,no item,
family,高木,36,no item,
family,القضاعي,36,no item,
family,Ericsson,36,resolved,Q1353715
family,Ward,36,resolved,Q2549042
family,Al-Qaydari,36,no item,
family,de Lancastre,36,no item,
family,會稽山陰,36,no item,
family,Srikrishna,36,no item,
family,泉州永春,36,no item,
family,Сугорский,36,no item,
family,Вадбольский,36,no item,
family,河間鄚縣,36,no item,
family,潤州,36,no item,
family,Chiang,36,no item,
family,서,36,no item,
family,Рюриковичи,35,no item,
family,Murray,35,ambiguous — several items share the label,Q1308329 | Q482822
family,Bordžiginas,35,no item,
family,d'Arles,35,resolved,Q63439035
family,Habsburg-Lothringen,35,resolved,Q24957539
family,Richardson,35,resolved,Q1479191
family,Sør-Kolnes,35,no item,
family,Sørbø,35,no item,
family,Hastings,35,resolved,Q16276453
family,Russell,35,resolved,Q1158262
family,Pehrsson,35,resolved,Q2067501
family,Billung,35,no item,
family,Al-Qadiri,35,no item,
family,Fuller,35,resolved,Q1158382
family,de Miranda,35,no item,
family,近衛,35,no item,
family,堀田,35,no item,
family,小出,35,no item,
family,George,35,resolved,Q1260558
family,Reuß,35,resolved,Q16882027
family,Watson,35,resolved,Q1184721
family,Engelsvåg,35,no item,
family,Flores de Valdez,35,no item,
family,建昌南豐,35,no item,
family,Eilertsen,34,no item,
family,Lange,34,resolved,Q16102227
family,Асенина,34,no item,
family,van Nassau,34,no item,
family,Johannesen,34,resolved,Q1698803
family,Fox,34,resolved,Q1158210
family,الإدريسي,34,no item,
family,Al-Qurashi,34,no item,
family,Seim,34,resolved,Q30088373
family,de Vasconcelos,34,resolved,Q99908148
family,Christensdatter,34,no item,
family,Adkins,34,resolved,Q21488854
family,Allen,34,resolved,Q2648323
family,de Joinville,34,no item,
family,Nilsdatter,34,resolved,Q122837798
family,de Glandevès,34,no item,
family,Ventimiglia,34,resolved,Q37029237
family,d'Armagnac,34,resolved,Q98889499
family,de Bar,34,resolved,Q98890807
family,Kjerland,34,no item,
family,García,34,ambiguous — several items share the label,Q29014547 | Q980636
family,de Abreu,34,no item,
family,Muñoz,34,resolved,Q1670164
