role,name,people,kind,item_state,qids
family,水野,126,CJK clan name,no item found,
family,湖南湘鄉,126,place misfiled as a name,no item found,
family,紀,125,CJK clan name,no item found,
family,Al-Hasani,124,ordinary Western surname,no item found,
family,Friis,124,ordinary Western surname,exists,Q18328036
family,開封,124,CJK clan name,no item found,
family,Wittelsbach,122,ordinary Western surname,exists,Q123614057
family,Espedal,122,ordinary Western surname,no item found,
family,노,122,non-Latin script (HANGUL),no item found,
family,Askanier,121,ordinary Western surname,no item found,
family,KHOO 邱,121,place misfiled as a name,no item found,
family,العباسي,121,non-Latin script (ARABIC),no item found,
family,細川,121,CJK clan name,no item found,
family,博爾濟吉特,121,place misfiled as a name,no item found,
family,정,121,non-Latin script (HANGUL),no item found,
family,Persson,120,patronymic,exists,Q27876648
family,Berge,120,ordinary Western surname,ambiguous,Q16479900 | Q31210837
family,Lyse,120,ordinary Western surname,exists,Q39265204
family,毛利,120,CJK clan name,no item found,
family,Thomas,119,ordinary Western surname,exists,Q1413324
family,Olofsdotter,118,patronymic,no item found,
family,Lillard,117,ordinary Western surname,exists,Q16872161
family,Jonsson,117,patronymic,ambiguous,Q21494571 | Q21509276 | Q21510655
family,Sweetland,116,ordinary Western surname,exists,Q37214388
family,Tjørhom,116,ordinary Western surname,no item found,
family,小笠原,115,place misfiled as a name,no item found,
family,Juel,114,ordinary Western surname,exists,Q6304703
family,趙州平棘,114,place misfiled as a name,no item found,
family,Loomis,113,ordinary Western surname,exists,Q16872463
family,Lyman,113,ordinary Western surname,exists,Q24122088
family,徳川,113,CJK clan name,no item found,
family,Bartholomew,112,ordinary Western surname,exists,Q30117840
family,Parker,112,ordinary Western surname,exists,Q1628041
family,Place,112,ordinary Western surname,exists,Q7200212
family,Kaas,112,ordinary Western surname,no item found,
family,Davis,111,ordinary Western surname,exists,Q12386976
family,Chilton,111,ordinary Western surname,exists,Q8270802
family,Grude,111,ordinary Western surname,exists,Q30229687
family,Barbosa,111,ordinary Western surname,exists,Q16496800
family,Pomeroy,110,ordinary Western surname,exists,Q7227282
family,Munk,110,ordinary Western surname,exists,Q17126022
family,Morrow,110,ordinary Western surname,exists,Q16877432
family,Вельяминов-Зернов,110,non-Latin script (CYRILLIC),no item found,
family,유,110,non-Latin script (HANGUL),no item found,
family,Johansson,108,patronymic,exists,Q1699018
family,Nilsdotter,108,patronymic,exists,Q34369950
family,Chan,108,ordinary Western surname,no item found,
family,北条,108,CJK clan name,no item found,
family,内藤,108,CJK clan name,no item found,
family,姜姓,108,CJK clan name,no item found,
family,Hansdatter,107,patronymic,exists,Q63342131
family,العقيلي,107,non-Latin script (ARABIC),no item found,
family,de Melo,106,toponymic or territorial byname,exists,Q56037548
family,de Menezes,106,toponymic or territorial byname,exists,Q66659070
family,太原文水,106,place misfiled as a name,no item found,
family,Pereira,105,ordinary Western surname,exists,Q21450564
family,de Castro,104,toponymic or territorial byname,ambiguous,Q55087692 | Q99662413
family,太原祁縣,104,place misfiled as a name,no item found,
family,趙國柏仁,104,place misfiled as a name,no item found,
family,Persdotter,103,patronymic,no item found,
family,Nassau,102,ordinary Western surname,exists,Q37267291
family,Weil,102,ordinary Western surname,exists,Q17035149
family,大久保,101,place misfiled as a name,no item found,
family,Hollister,101,ordinary Western surname,exists,Q16870846
family,Chapin,100,ordinary Western surname,exists,Q16865493
family,McKnight,100,ordinary Western surname,no item found,
family,de Luxembourg,99,toponymic or territorial byname,exists,Q93871117
family,Harris,99,ordinary Western surname,exists,Q10859343
family,Tickner,98,ordinary Western surname,exists,Q7800717
family,Weems,98,ordinary Western surname,exists,Q37457857
family,平,97,CJK clan name,no item found,
family,Ulfeldt,96,ordinary Western surname,exists,Q21508144
family,de Montmorency,96,toponymic or territorial byname,exists,Q63457366
family,范陽方城,96,place misfiled as a name,no item found,
family,Nilsson,95,patronymic,exists,Q15829860
family,Carter,95,ordinary Western surname,exists,Q16101731
family,Hurd,95,ordinary Western surname,no item found,
family,伊達,95,CJK clan name,no item found,
family,Pettersson,94,patronymic,exists,Q1706725
family,鄭州榮陽,94,place misfiled as a name,no item found,
family,Unknown,92,not a name,no item found,
family,濟州鉅野,92,place misfiled as a name,no item found,
family,Clark,91,ordinary Western surname,exists,Q1119151
family,de Lusignan,91,toponymic or territorial byname,exists,Q106352411
family,Lykke,91,ordinary Western surname,exists,Q21487820
family,Håland,90,ordinary Western surname,no item found,
family,الثقفي,90,non-Latin script (ARABIC),no item found,
family,KHOO,90,ordinary Western surname,exists,Q37548132
family,Pedersen,89,patronymic,exists,Q23751947
family,Thott,89,ordinary Western surname,exists,Q47528688
family,Payne,89,ordinary Western surname,exists,Q16881041
family,Hohenzollern,89,ordinary Western surname,exists,Q88458721
family,Württemberg,89,ordinary Western surname,exists,Q55617908
family,النجاري,89,non-Latin script (ARABIC),no item found,
family,de la Garza,88,toponymic or territorial byname,exists,Q125388649
family,石川,88,CJK clan name,no item found,
family,Kleppe,87,ordinary Western surname,exists,Q30250455
family,嬴姓,87,CJK clan name,no item found,
family,조,87,non-Latin script (HANGUL),no item found,
family,Willett,86,ordinary Western surname,exists,Q37446979
family,Andersdatter,86,patronymic,exists,Q54810331
family,Ransdell,86,ordinary Western surname,exists,Q7293456
family,석,86,non-Latin script (HANGUL),no item found,
family,de Savoie,85,toponymic or territorial byname,exists,Q105418238
family,Jansson,85,patronymic,exists,Q23306190
family,des Baux,85,toponymic or territorial byname,no item found,
family,de Lévis,85,toponymic or territorial byname,exists,Q104825239
family,Laland,85,ordinary Western surname,no item found,
family,de Foix,84,toponymic or territorial byname,exists,Q104591686
family,Jensen,84,patronymic,exists,Q12657428
family,Sapieha h. Lis,84,ordinary Western surname,no item found,
family,Seligman,84,ordinary Western surname,exists,Q23596199
family,Skeel,83,ordinary Western surname,exists,Q16883403
family,陸,83,CJK clan name,no item found,
family,Custer,82,ordinary Western surname,exists,Q16865962
family,Fidjeland,82,ordinary Western surname,no item found,
family,N.N.,82,not a name,no item found,
family,武田,82,CJK clan name,no item found,
family,Noble,82,ordinary Western surname,exists,Q15733778
family,胡,82,CJK clan name,no item found,
family,撫州臨川,82,place misfiled as a name,no item found,
family,Hall,81,ordinary Western surname,exists,Q1551523
family,Рюрикович,81,non-Latin script (CYRILLIC),no item found,
family,Gilbert,81,ordinary Western surname,exists,Q1158185
family,Borsheim,81,ordinary Western surname,no item found,
family,楊,81,CJK clan name,no item found,
family,Foster,80,ordinary Western surname,exists,Q21501722
family,Erga,80,ordinary Western surname,no item found,
family,Larsen,80,patronymic,ambiguous,Q13099004 | Q44811063
family,الكلبي,80,non-Latin script (ARABIC),no item found,
family,Atwater,80,ordinary Western surname,exists,Q37537623
family,de Portugal,80,toponymic or territorial byname,no item found,
family,有馬,80,CJK clan name,no item found,
family,趙郡柏仁,80,place misfiled as a name,no item found,
family,Jonsdotter,79,patronymic,no item found,
family,?,79,not a name,no item found,
family,Grubbe,79,ordinary Western surname,exists,Q16870336
family,da Silva,79,toponymic or territorial byname,ambiguous,Q23781436 | Q66385622
family,Westover,79,ordinary Western surname,exists,Q37539150
family,朝倉,79,CJK clan name,no item found,
family,戸田,79,CJK clan name,no item found,
family,島津,79,CJK clan name,no item found,
family,Gyldenstierne,78,ordinary Western surname,exists,Q47456835
family,de Montfort,78,toponymic or territorial byname,exists,Q105496611
family,Braut,78,ordinary Western surname,exists,Q30132563
family,McCarty,78,ordinary Western surname,exists,Q27436269
family,Sosronagoro,78,ordinary Western surname,no item found,
family,吳興武康,78,place misfiled as a name,no item found,
family,Bore,77,ordinary Western surname,exists,Q105227367
family,Goodwin,77,ordinary Western surname,exists,Q12201665
family,周,76,CJK clan name,no item found,
family,加納,76,CJK clan name,no item found,
family,d'Altavilla,76,ordinary Western surname,no item found,
family,Root,76,ordinary Western surname,no item found,
family,藤堂,76,CJK clan name,no item found,
family,婺州金華,76,place misfiled as a name,no item found,
family,Urne,75,ordinary Western surname,exists,Q26736518
family,Krabbe,75,ordinary Western surname,ambiguous,Q1667462 | Q88945803
family,de Beaumont,75,toponymic or territorial byname,exists,Q76417957
family,Lunde,75,ordinary Western surname,exists,Q21488986
family,黒田,75,CJK clan name,no item found,
family,Dameron,75,ordinary Western surname,no item found,
family,Al-Zuhri,75,ordinary Western surname,no item found,
family,Williamson,74,patronymic,exists,Q2581264
family,Hvide,74,ordinary Western surname,exists,Q55222347
family,Al-Taymi,74,ordinary Western surname,no item found,
family,Al-Makhzumi,74,ordinary Western surname,no item found,
family,Searle,74,ordinary Western surname,exists,Q16882879
family,Lee,74,ordinary Western surname,ambiguous,Q11983535 | Q12794688 | Q2061957
family,Sinnes,74,ordinary Western surname,no item found,
family,越州山陰,74,place misfiled as a name,no item found,
family,강,74,non-Latin script (HANGUL),no item found,
family,White,73,ordinary Western surname,exists,Q1215200
family,Amundsen,73,patronymic,exists,Q16148979
family,Drake,73,ordinary Western surname,exists,Q16869662
family,Al-Najjari,73,ordinary Western surname,no item found,
family,沈,72,CJK clan name,no item found,
family,de Narbonne,72,toponymic or territorial byname,exists,Q105248042
family,Nilsen,71,patronymic,exists,Q21449502
family,Moore,71,ordinary Western surname,exists,Q10588869
family,Calvert,71,ordinary Western surname,exists,Q27897265
family,拓跋,71,CJK clan name,no item found,
family,泉州晉江,71,place misfiled as a name,no item found,
family,鄭,70,CJK clan name,no item found,
family,Sveinsvoll,70,ordinary Western surname,no item found,
family,Gustafsson,70,patronymic,exists,Q23304595
family,Johansdotter,69,patronymic,exists,Q47514474
family,Jones,69,ordinary Western surname,exists,Q59853
family,Bradford,69,ordinary Western surname,exists,Q23542895
family,Salte,69,ordinary Western surname,no item found,
family,加藤,69,CJK clan name,no item found,
family,九条,69,CJK clan name,no item found,
family,Montague,69,ordinary Western surname,exists,Q16877350
family,Tott,68,ordinary Western surname,exists,Q45854140
family,Сапега,68,non-Latin script (CYRILLIC),no item found,
family,"Schleswig-Holstein, Oldenburg",68,ordinary Western surname,no item found,
family,Чингизид,68,non-Latin script (CYRILLIC),no item found,
family,von Gleichen,67,toponymic or territorial byname,no item found,
family,Rantzau,67,ordinary Western surname,exists,Q21506781
family,de Sousa,67,toponymic or territorial byname,ambiguous,Q55739047 | Q99908123
family,de Bourbon,67,toponymic or territorial byname,exists,Q98890770
family,Merriman,67,ordinary Western surname,exists,Q29573224
family,三条,67,CJK clan name,no item found,
family,Годунов,67,non-Latin script (CYRILLIC),no item found,
family,Christiansen,67,patronymic,exists,Q11963736
family,de Aragón,66,toponymic or territorial byname,exists,Q47492686
family,Rurikid,66,ordinary Western surname,no item found,
family,Tu,66,ordinary Western surname,ambiguous,Q11151574 | Q4464775
family,de Courtenay,66,toponymic or territorial byname,exists,Q76909999
family,Douglas,66,ordinary Western surname,exists,Q2677358
family,Sapiega,66,ordinary Western surname,no item found,
family,泰山南城,66,place misfiled as a name,no item found,
family,de Castellane,65,toponymic or territorial byname,exists,Q63951643
family,Olsson,65,patronymic,exists,Q21497082
family,Pedersdatter,65,patronymic,exists,Q122838114
family,Lunge,65,ordinary Western surname,exists,Q6704315
family,de France,65,toponymic or territorial byname,exists,Q55280644
family,上杉,65,CJK clan name,no item found,
family,d'Agoult,64,ordinary Western surname,exists,Q65329742
family,Bonaparte,64,ordinary Western surname,exists,Q24530160
family,Kjærulf,64,ordinary Western surname,no item found,
family,Cook,64,ordinary Western surname,exists,Q2671214
family,Youngblood,64,ordinary Western surname,exists,Q25802735
family,Lovett,64,ordinary Western surname,exists,Q16872546
family,山内,64,CJK clan name,no item found,
family,南部,64,CJK clan name,no item found,
family,趙州柏鄉,64,place misfiled as a name,no item found,
family,di Savoia,63,toponymic or territorial byname,exists,Q114970715
family,الأسدي,63,non-Latin script (ARABIC),no item found,
family,Nese,63,ordinary Western surname,no item found,
family,Bull,62,ordinary Western surname,no item found,
family,Curtis,62,ordinary Western surname,exists,Q12787162
family,Gjesdal,62,ordinary Western surname,exists,Q27888954
family,浅野,62,CJK clan name,no item found,
family,足利,62,CJK clan name,no item found,
family,배,62,non-Latin script (HANGUL),no item found,
family,常州武進,62,place misfiled as a name,no item found,
family,開封雍邱,62,place misfiled as a name,no item found,
family,von Württemberg,61,toponymic or territorial byname,exists,Q113495620
family,Washburn,61,ordinary Western surname,exists,Q7971446
family,de Sabran,61,toponymic or territorial byname,ambiguous,Q105128446 | Q99908086
family,Leonard,61,ordinary Western surname,exists,Q14704293
family,Gerstle,61,ordinary Western surname,exists,Q37563667
family,de Croÿ,61,toponymic or territorial byname,exists,Q104854494
family,Sapiegaitė,61,ordinary Western surname,no item found,
family,Searls,60,ordinary Western surname,no item found,
family,Vind,60,ordinary Western surname,exists,Q36938981
family,Vestly,60,ordinary Western surname,exists,Q40000023
family,Olsdtr,60,patronymic,no item found,
family,Bridges,60,ordinary Western surname,exists,Q16860438
family,Campbell,60,ordinary Western surname,exists,Q2665383
family,堀,60,CJK clan name,no item found,
family,京兆府,60,place misfiled as a name,no item found,
family,澧州,60,CJK clan name,no item found,
family,Vijaya,60,ordinary Western surname,no item found,
family,Wood,59,ordinary Western surname,exists,Q1158452
family,Bernheimer,59,ordinary Western surname,exists,Q37543070
family,牧野,59,CJK clan name,no item found,
family,Green,59,ordinary Western surname,exists,Q2703137
family,Carlsdotter,59,patronymic,exists,Q83344461
family,de la Garza de la Garza,59,toponymic or territorial byname,no item found,
family,العبقسي,59,non-Latin script (ARABIC),no item found,
family,Eriksdotter,58,patronymic,exists,Q105530706
family,Al-Asadi,58,ordinary Western surname,no item found,
family,de Dreux,58,toponymic or territorial byname,exists,Q104802460
family,Plantagenet,58,ordinary Western surname,exists,Q111729332
family,Hatteland,58,ordinary Western surname,no item found,
family,Harbou,58,ordinary Western surname,exists,Q47001796
family,de Brienne,58,toponymic or territorial byname,exists,Q63396083
family,Saxton,58,ordinary Western surname,exists,Q21488844
family,Přemyslovec,58,ordinary Western surname,no item found,
family,稲葉,58,CJK clan name,no item found,
family,姜,58,CJK clan name,no item found,
family,趙郡平棘,58,place misfiled as a name,no item found,
family,Ferreira,57,ordinary Western surname,exists,Q10281657
family,Morton,57,ordinary Western surname,exists,Q13570390
family,Piast,57,ordinary Western surname,no item found,
family,Mitchell,57,ordinary Western surname,exists,Q179205
family,de Châtillon,57,toponymic or territorial byname,ambiguous,Q104825290 | Q105128269
family,Calkins,57,ordinary Western surname,exists,Q21507497
family,المخزومي,57,non-Latin script (ARABIC),no item found,
family,"Wettin, Ernestiner",56,ordinary Western surname,no item found,
family,Buckland,56,ordinary Western surname,exists,Q16860619
family,Pozzo di Borgo,56,ordinary Western surname,exists,Q51237345
family,井上,56,CJK clan name,no item found,
family,佐竹,56,CJK clan name,no item found,
family,Sapieha,56,ordinary Western surname,exists,Q21502237
family,芈姓,56,CJK clan name,no item found,
family,송,56,non-Latin script (HANGUL),no item found,
family,隴西,56,CJK clan name,no item found,
family,Rurikov,55,ordinary Western surname,no item found,
family,House,55,ordinary Western surname,exists,Q19902419
family,d'Anjou,55,ordinary Western surname,exists,Q63453818
family,Nielsdatter,55,patronymic,exists,Q122837792
family,Orre,55,ordinary Western surname,no item found,
family,Hale,55,ordinary Western surname,exists,Q16870404
family,森,55,CJK clan name,no item found,
family,朱,55,CJK clan name,no item found,
family,الخزرجي,55,non-Latin script (ARABIC),no item found,
family,崔,55,CJK clan name,no item found,
family,Oldham,54,ordinary Western surname,exists,Q16880705
family,Galen,54,ordinary Western surname,no item found,
family,Mansbridge,54,ordinary Western surname,no item found,
family,von Sachsen,54,patronymic,no item found,
family,Jansdotter,54,patronymic,no item found,
family,Al-Adawi,54,ordinary Western surname,no item found,
family,丹羽,54,CJK clan name,no item found,
family,京極,54,CJK clan name,no item found,
family,Larsdatter,54,patronymic,exists,Q122837357
family,鉅鹿曲城,54,place misfiled as a name,no item found,
family,Outlaw,54,ordinary Western surname,no item found,
family,de Thouars,53,toponymic or territorial byname,exists,Q104803129
family,González,53,ordinary Western surname,ambiguous,Q37108481 | Q5576697
family,Fløysvik,53,ordinary Western surname,no item found,
family,Closson,53,patronymic,no item found,
family,da Cunha,53,toponymic or territorial byname,exists,Q64765873
family,Stokka,53,ordinary Western surname,no item found,
family,+,53,not a name,no item found,
family,التيمي,53,non-Latin script (ARABIC),no item found,
family,Bruell,53,ordinary Western surname,exists,Q37503669
family,陈,53,CJK clan name,no item found,
family,Crabb,53,ordinary Western surname,exists,Q37445298
family,Post,52,ordinary Western surname,exists,Q21491634
family,Øyre,52,ordinary Western surname,no item found,
family,Tachibana,52,ordinary Western surname,ambiguous,Q16884158 | Q26216117
family,Al-Zaydi,52,ordinary Western surname,no item found,
family,Barton,52,ordinary Western surname,ambiguous,Q4865782 | Q790941
family,Courtenay,52,ordinary Western surname,exists,Q37553656
family,Briggs,52,ordinary Western surname,exists,Q12786498
family,Nielsen,52,patronymic,exists,Q16511256
family,Savage,52,ordinary Western surname,exists,Q13560071
family,Baker,52,ordinary Western surname,exists,Q2658150
family,Al-Uqayli,52,ordinary Western surname,no item found,
family,成都華陽,52,place misfiled as a name,no item found,
family,unknown,51,not a name,no item found,
family,Capet,51,ordinary Western surname,exists,Q2937271
family,Gaylord,51,ordinary Western surname,exists,Q29614694
family,d'Auvergne,51,ordinary Western surname,exists,Q93972551
family,Rodríguez de Montemayor,51,ordinary Western surname,no item found,
family,Schwarzburg,51,ordinary Western surname,no item found,
family,Sørensen,51,patronymic,exists,Q21493124
family,畠山,51,CJK clan name,no item found,
family,Bjorgo,51,ordinary Western surname,no item found,
family,譙國龍亢,51,place misfiled as a name,no item found,
family,Bliss,50,ordinary Western surname,exists,Q25114859
family,Rud,50,ordinary Western surname,exists,Q37125751
family,d'Anduze,50,ordinary Western surname,no item found,
family,de Villeneuve,50,toponymic or territorial byname,exists,Q63759848
family,Correia,50,ordinary Western surname,exists,Q30525611
family,慕容,50,CJK clan name,no item found,
family,宇文,50,CJK clan name,no item found,
family,Horve,49,ordinary Western surname,no item found,
family,Terry,49,ordinary Western surname,exists,Q2405539
family,高,49,CJK clan name,no item found,
family,de Poitiers,49,toponymic or territorial byname,exists,Q106626337
family,....,49,not a name,no item found,
family,Standley,49,ordinary Western surname,exists,Q21450271
family,de Clermont,49,toponymic or territorial byname,exists,Q88387579
family,木下,49,CJK clan name,no item found,
family,Pace,49,ordinary Western surname,exists,Q7121894
family,板倉,49,CJK clan name,no item found,
family,van Assendelft,49,toponymic or territorial byname,no item found,
family,Serigstad,49,ordinary Western surname,no item found,
family,Standen,49,ordinary Western surname,exists,Q37262647
family,SEE,49,ordinary Western surname,ambiguous,Q105234967 | Q37133783
family,류,49,non-Latin script (HANGUL),no item found,
family,Kruse,48,ordinary Western surname,exists,Q21449748
family,Oldenburg,48,ordinary Western surname,exists,Q16880703
family,von Bayern,48,toponymic or territorial byname,exists,Q115819240
family,Frafjord,48,ordinary Western surname,exists,Q38902733
family,Orstad,48,ordinary Western surname,exists,Q37184846
family,Rood,48,ordinary Western surname,exists,Q16882262
family,ap Llywarch,48,ordinary Western surname,no item found,
family,de Namur,48,toponymic or territorial byname,no item found,
family,de Voisins,48,toponymic or territorial byname,exists,Q104540079
family,Bass,48,ordinary Western surname,exists,Q21501431
family,Chabot,48,ordinary Western surname,exists,Q21492860
family,蜂須賀,48,place misfiled as a name,no item found,
family,永井,48,CJK clan name,no item found,
family,de Lima,48,toponymic or territorial byname,exists,Q21475251
family,Al-Khazraji,48,ordinary Western surname,no item found,
family,東海郯縣,48,place misfiled as a name,no item found,
family,de Marseille,47,toponymic or territorial byname,exists,Q105180754
family,Reve,47,ordinary Western surname,exists,Q65769129
family,Wilcox,47,ordinary Western surname,exists,Q17142673
family,Lima,47,ordinary Western surname,exists,Q11255517
family,Ersson,47,patronymic,exists,Q20856684
family,Krag,47,ordinary Western surname,exists,Q18331124
family,Przemyslides,47,ordinary Western surname,no item found,
family,Byrkjeland,47,ordinary Western surname,no item found,
family,二条,47,CJK clan name,no item found,
family,Dolatshahi,47,ordinary Western surname,no item found,
family,三宅,47,CJK clan name,no item found,
family,de Mendonça,47,toponymic or territorial byname,no item found,
family,de Montlaur,47,toponymic or territorial byname,exists,Q104832217
family,Faesch,47,ordinary Western surname,exists,Q87571749
family,百済王,47,place misfiled as a name,no item found,
family,Шелешпанский,47,non-Latin script (CYRILLIC),no item found,
family,Helvik,46,ordinary Western surname,no item found,
family,Church,46,ordinary Western surname,exists,Q16865586
family,Whittemore,46,ordinary Western surname,exists,Q16956981
family,Parsons,46,ordinary Western surname,exists,Q16880979
family,Fernandes,46,ordinary Western surname,exists,Q21510337
family,العدوي,46,non-Latin script (ARABIC),no item found,
family,Høle,46,ordinary Western surname,no item found,
family,Díaz,46,ordinary Western surname,ambiguous,Q1209239 | Q5255562
family,de Azevedo,46,toponymic or territorial byname,exists,Q63350830
family,de Blois,46,toponymic or territorial byname,exists,Q25113852
family,Griswold,46,ordinary Western surname,no item found,
family,鳥居,46,CJK clan name,no item found,
family,Hohenlohe,46,ordinary Western surname,exists,Q106604841
family,鍋島,46,CJK clan name,no item found,
family,壽州,46,CJK clan name,no item found,
family,河北道河南府,46,place misfiled as a name,no item found,
family,京兆武功,46,place misfiled as a name,no item found,
family,원,46,non-Latin script (HANGUL),no item found,
family,Kvæven,45,ordinary Western surname,no item found,
