cut	rank	people	max_dist	min_dist	median_dist	p2600_linked	common	farthest	farthest_geni
60	74	36	63	60	63	0	曾 100%	貞仁 曾 | 貞仕 曾 | 貞仲 曾 | 貞任 曾 | 貞伯 曾	6000000013867634394 | 6000000013867657487 | 6000000013861374431 | 6000000013861358565 | 6000000013861298973
60	75	36	62	60	61	0	alimi 44%	(private) | (no label) | (private) | (private) | (private)	6000000029223072955 | 6000000029222602238 | 6000000029222925360 | 6000000029222461310 | 6000000023418359107
60	76	34	93	60	77	0	labuc 52% de 47% loboš 47%	Lorenzo de Loboš | Nicolas de Loboš | Diego de Loboš | Islan de Loboš | Emilio de Loboš	6000000006596717585 | 6000000006596910231 | 6000000006596914228 | 6000000006596643734 | 6000000006596558991
60	77	34	93	60	77	0		Dhravsen | Dronsen | Dharsen | Vijaisen 2 | Somdutt	6000000009719466364 | 6000000009719533096 | 6000000009719559570 | 6000000009719459579 | 6000000009719513458
60	78	33	86	60	76	32	張 100%	永紹 張 | 永緒 張 | 彥頨 士瞻 湛然 張 | 玄慶 張 | 元吉 張	6000000143880649866 | 6000000143880361895 | 6000000143880905827 | 6000000143877971319 | 6000000143880760847
60	79	33	64	60	62	0	tan 100% 陳 100%	守株 TAN 陳 | 守業 TAN 陳 | 和卿 TAN 陳 | 善吟 TAN 陳 | 善和 TAN 陳	6000000039583728827 | 6000000039582734488 | 6000000039583567919 | 6000000039583004252 | 6000000039583536964
60	80	33	63	60	62	0	tan 100% 陳 100% descendents 21% for 21% version 21% 景肅 21%	Went to 悟田山后 Tan 陳 | Went to 陳岱 Tan 陳 | Went to 龍岩 Tan 陳 | Version 1 for descendents of 景肅 Tan 陳 | Version 1 for descendents of 景肅 Tan 陳	6000000039640979834 | 6000000039640942929 | 6000000039640101296 | 6000000039655562459 | 6000000039655917921
60	81	32	64	60	63	0	tan 100% 陳 100%	仕二郎 TAN 陳 | 安生 TAN 陳 | 帥公 TAN 陳 | 海壽 TAN 陳 | 海生 TAN 陳	6000000039575768551 | 6000000039575803946 | 6000000039576015888 | 6000000039576042002 | 6000000039576160833
60	82	30	74	60	67	0	raja 100% armenia 73% kuno 73% n/a 50% permaisuri 50% sm 50%	Hrant (Raja Armenia Kuno XXVI (1267-1242 SM)) | N/A (Permaisuri Raja Armenia Kuno XXVI) | Endzak Raja Armenia Kuno XXVI (1242-1197 SM) | N/A (Permaisuri Raja Armenia Kuno XXVII) | Geghak (Raja Armenia Kuno XXVIII (1197-1194 SM))	6000000018950861577 | 6000000018951769898 | 6000000018980474045 | 6000000018951973933 | 6000000018951179138
60	83	30	63	60	63	0	曾 100%	貞亨 曾 | 貞亭 曾 | 貞亮 曾 | 貞德 曾 | 貞明 曾	6000000013861269592 | 6000000013861334029 | 6000000013861181939 | 6000000013860952709 | 6000000013861221692
60	84	29	88	60	74	0		Kriti | Bahulaashwa | Dhriti | Veetahavya | Sunaya	6000000009708959926 | 6000000009709101281 | 6000000009709106254 | 6000000009708971557 | 6000000009709056341
60	85	29	62	60	62	0	halimi 10%	(no label) | (no label) | (no label) | (no label) | (no label)	6000000019221875144 | 6000000019221875160 | 6000000019221875152 | 6000000019221875156 | 6000000019221875148
60	86	28	65	60	63	0	李 35%	(private) | (private) | 李 睿杰（长子） | (private) | (private)	6000000029704477140 | 6000000029703944777 | 6000000029704621996 | 6000000029705176279 | 6000000029705097280
60	87	27	86	60	73	0	shahriyar 14% rustam 11%	Surhab | Rustam | Sharwin | Shahriyar | Rustam	6000000010375498153 | 6000000010375687768 | 6000000010375755089 | 6000000010375498747 | 6000000010375803693
