qid,label,token,position,father_qid,father_given,sex,verdict,evidence,form
Q99302464,Madog Cyffin ap Madog Gôch ab Ieuaf ap Cuhelyn,ab,5,Q99302465,Madog,M,not patronymic,,
Q99302464,Madog Cyffin ap Madog Gôch ab Ieuaf ap Cuhelyn,Ieuaf,6,Q99302465,Madog,M,not patronymic,,
Q99302464,Madog Cyffin ap Madog Gôch ab Ieuaf ap Cuhelyn,ap,7,Q99302465,Madog,M,not patronymic,,
Q99302464,Madog Cyffin ap Madog Gôch ab Ieuaf ap Cuhelyn,Cuhelyn,8,Q99302465,Madog,M,not patronymic,,
Q110414095,Gwenhwyfar ferch Ieuan Gethin ap Madog Cyffin,ferch,1,Q99302463,Ieuan,F,not patronymic,,
Q110414095,Gwenhwyfar ferch Ieuan Gethin ap Madog Cyffin,Ieuan,2,Q99302463,Ieuan,F,not patronymic,,
Q110414095,Gwenhwyfar ferch Ieuan Gethin ap Madog Cyffin,Gethin,3,Q99302463,Ieuan,F,not patronymic,,
Q110414095,Gwenhwyfar ferch Ieuan Gethin ap Madog Cyffin,ap,4,Q99302463,Ieuan,F,not patronymic,,
Q110414095,Gwenhwyfar ferch Ieuan Gethin ap Madog Cyffin,Madog,5,Q99302463,Ieuan,F,not patronymic,,
Q110414095,Gwenhwyfar ferch Ieuan Gethin ap Madog Cyffin,Cyffin,6,Q99302463,Ieuan,F,not patronymic,,
Q116054790,Gruffudd ab Ieuan Gethin ap Madog Cyffin ap Madog Gôch of Lloran Uchaf,ab,1,Q99302463,Ieuan,M,not patronymic,,
Q116054790,Gruffudd ab Ieuan Gethin ap Madog Cyffin ap Madog Gôch of Lloran Uchaf,Ieuan,2,Q99302463,Ieuan,M,not patronymic,,
Q116054790,Gruffudd ab Ieuan Gethin ap Madog Cyffin ap Madog Gôch of Lloran Uchaf,Gethin,3,Q99302463,Ieuan,M,not patronymic,,
Q116054790,Gruffudd ab Ieuan Gethin ap Madog Cyffin ap Madog Gôch of Lloran Uchaf,ap,4,Q99302463,Ieuan,M,not patronymic,,
Q116054790,Gruffudd ab Ieuan Gethin ap Madog Cyffin ap Madog Gôch of Lloran Uchaf,Madog,5,Q99302463,Ieuan,M,not patronymic,,
Q116054790,Gruffudd ab Ieuan Gethin ap Madog Cyffin ap Madog Gôch of Lloran Uchaf,Cyffin,6,Q99302463,Ieuan,M,not patronymic,,
Q116054790,Gruffudd ab Ieuan Gethin ap Madog Cyffin ap Madog Gôch of Lloran Uchaf,ap,7,Q99302463,Ieuan,M,not patronymic,,
Q116054790,Gruffudd ab Ieuan Gethin ap Madog Cyffin ap Madog Gôch of Lloran Uchaf,Madog,8,Q99302463,Ieuan,M,not patronymic,,
Q116054790,Gruffudd ab Ieuan Gethin ap Madog Cyffin ap Madog Gôch of Lloran Uchaf,Gôch,9,Q99302463,Ieuan,M,not patronymic,,
Q116054790,Gruffudd ab Ieuan Gethin ap Madog Cyffin ap Madog Gôch of Lloran Uchaf,of,10,Q99302463,Ieuan,M,not patronymic,,
Q116054790,Gruffudd ab Ieuan Gethin ap Madog Cyffin ap Madog Gôch of Lloran Uchaf,Lloran,11,Q99302463,Ieuan,M,not patronymic,,
Q116054790,Gruffudd ab Ieuan Gethin ap Madog Cyffin ap Madog Gôch of Lloran Uchaf,Uchaf,12,Q99302463,Ieuan,M,not patronymic,,
Q112643817,Iolyn ab Ieuan Gethin ap Madog Cyffin of Llansilin,ab,1,Q99302463,Ieuan,M,not patronymic,,
Q112643817,Iolyn ab Ieuan Gethin ap Madog Cyffin of Llansilin,Ieuan,2,Q99302463,Ieuan,M,not patronymic,,
Q112643817,Iolyn ab Ieuan Gethin ap Madog Cyffin of Llansilin,Gethin,3,Q99302463,Ieuan,M,not patronymic,,
Q112643817,Iolyn ab Ieuan Gethin ap Madog Cyffin of Llansilin,ap,4,Q99302463,Ieuan,M,not patronymic,,
Q112643817,Iolyn ab Ieuan Gethin ap Madog Cyffin of Llansilin,Madog,5,Q99302463,Ieuan,M,not patronymic,,
Q112643817,Iolyn ab Ieuan Gethin ap Madog Cyffin of Llansilin,Cyffin,6,Q99302463,Ieuan,M,not patronymic,,
Q112643817,Iolyn ab Ieuan Gethin ap Madog Cyffin of Llansilin,of,7,Q99302463,Ieuan,M,not patronymic,,
Q112643817,Iolyn ab Ieuan Gethin ap Madog Cyffin of Llansilin,Llansilin,8,Q99302463,Ieuan,M,not patronymic,,
Q116054443,Llywelyn ap Robert ab Iorwerth ap Rhirid of Abertanad,ap,1,Q110290402,Robert,M,not patronymic,,
Q116054443,Llywelyn ap Robert ab Iorwerth ap Rhirid of Abertanad,Robert,2,Q110290402,Robert,M,not patronymic,,
Q116054443,Llywelyn ap Robert ab Iorwerth ap Rhirid of Abertanad,ab,3,Q110290402,Robert,M,not patronymic,,
Q116054443,Llywelyn ap Robert ab Iorwerth ap Rhirid of Abertanad,Iorwerth,4,Q110290402,Robert,M,not patronymic,,
Q116054443,Llywelyn ap Robert ab Iorwerth ap Rhirid of Abertanad,ap,5,Q110290402,Robert,M,not patronymic,,
Q116054443,Llywelyn ap Robert ab Iorwerth ap Rhirid of Abertanad,Rhirid,6,Q110290402,Robert,M,not patronymic,,
Q116054443,Llywelyn ap Robert ab Iorwerth ap Rhirid of Abertanad,of,7,Q110290402,Robert,M,not patronymic,,
Q116054443,Llywelyn ap Robert ab Iorwerth ap Rhirid of Abertanad,Abertanad,8,Q110290402,Robert,M,"AMBIGUOUS: form, father differs",prefix ab,prefix ab
Q110067754,"Sir Piers Cambrey (Cambray), of Welshpool",Piers,1,Q110067756,,M,father has no label,,
Q110067754,"Sir Piers Cambrey (Cambray), of Welshpool",Cambrey,2,Q110067756,,M,father has no label,,
Q110067754,"Sir Piers Cambrey (Cambray), of Welshpool","(Cambray),",3,Q110067756,,M,father has no label,,
Q110067754,"Sir Piers Cambrey (Cambray), of Welshpool",of,4,Q110067756,,M,father has no label,,
Q110067754,"Sir Piers Cambrey (Cambray), of Welshpool",Welshpool,5,Q110067756,,M,father has no label,,
Q99302427,Madog ap Gwernwys of Cegidfa,ap,1,Q99302428,,M,father has no label,,
Q99302427,Madog ap Gwernwys of Cegidfa,Gwernwys,2,Q99302428,,M,father has no label,,
Q99302427,Madog ap Gwernwys of Cegidfa,of,3,Q99302428,,M,father has no label,,
Q99302427,Madog ap Gwernwys of Cegidfa,Cegidfa,4,Q99302428,,M,father has no label,,
Q110388702,Margred (1) ferch Ieuan ap Madog ap Gwenwys,(1),1,Q99302426,Ieuan,F,not patronymic,,
Q110388702,Margred (1) ferch Ieuan ap Madog ap Gwenwys,ferch,2,Q99302426,Ieuan,F,not patronymic,,
Q110388702,Margred (1) ferch Ieuan ap Madog ap Gwenwys,Ieuan,3,Q99302426,Ieuan,F,not patronymic,,
Q110388702,Margred (1) ferch Ieuan ap Madog ap Gwenwys,ap,4,Q99302426,Ieuan,F,not patronymic,,
Q110388702,Margred (1) ferch Ieuan ap Madog ap Gwenwys,Madog,5,Q99302426,Ieuan,F,not patronymic,,
Q110388702,Margred (1) ferch Ieuan ap Madog ap Gwenwys,ap,6,Q99302426,Ieuan,F,not patronymic,,
Q110388702,Margred (1) ferch Ieuan ap Madog ap Gwenwys,Gwenwys,7,Q99302426,Ieuan,F,not patronymic,,
Q110412974,Arddun ferch Ieuan ap Madog,ferch,1,Q99302426,Ieuan,F,not patronymic,,
Q110412974,Arddun ferch Ieuan ap Madog,Ieuan,2,Q99302426,Ieuan,F,not patronymic,,
Q110412974,Arddun ferch Ieuan ap Madog,ap,3,Q99302426,Ieuan,F,not patronymic,,
Q110412974,Arddun ferch Ieuan ap Madog,Madog,4,Q99302426,Ieuan,F,not patronymic,,
Q110413579,Lleucu ferch Ieuan ap Madog ap Cadwgan,ferch,1,Q99302426,Ieuan,F,not patronymic,,
Q110413579,Lleucu ferch Ieuan ap Madog ap Cadwgan,Ieuan,2,Q99302426,Ieuan,F,not patronymic,,
Q110413579,Lleucu ferch Ieuan ap Madog ap Cadwgan,ap,3,Q99302426,Ieuan,F,not patronymic,,
Q110413579,Lleucu ferch Ieuan ap Madog ap Cadwgan,Madog,4,Q99302426,Ieuan,F,not patronymic,,
Q110413579,Lleucu ferch Ieuan ap Madog ap Cadwgan,ap,5,Q99302426,Ieuan,F,not patronymic,,
Q110413579,Lleucu ferch Ieuan ap Madog ap Cadwgan,Cadwgan,6,Q99302426,Ieuan,F,not patronymic,,
Q112643821,Ieuan Fychan ab Ieuan ap Madog ap Gwenwys,Fychan,1,Q99302426,Ieuan,M,not patronymic,,
Q112643821,Ieuan Fychan ab Ieuan ap Madog ap Gwenwys,ab,2,Q99302426,Ieuan,M,not patronymic,,
Q112643821,Ieuan Fychan ab Ieuan ap Madog ap Gwenwys,Ieuan,3,Q99302426,Ieuan,M,not patronymic,,
Q112643821,Ieuan Fychan ab Ieuan ap Madog ap Gwenwys,ap,4,Q99302426,Ieuan,M,not patronymic,,
Q112643821,Ieuan Fychan ab Ieuan ap Madog ap Gwenwys,Madog,5,Q99302426,Ieuan,M,not patronymic,,
Q112643821,Ieuan Fychan ab Ieuan ap Madog ap Gwenwys,ap,6,Q99302426,Ieuan,M,not patronymic,,
Q112643821,Ieuan Fychan ab Ieuan ap Madog ap Gwenwys,Gwenwys,7,Q99302426,Ieuan,M,not patronymic,,
Q117306109,Mawd ferch Ieuan ap Madog ap Gwenwys,ferch,1,Q99302426,Ieuan,F,not patronymic,,
Q117306109,Mawd ferch Ieuan ap Madog ap Gwenwys,Ieuan,2,Q99302426,Ieuan,F,not patronymic,,
Q117306109,Mawd ferch Ieuan ap Madog ap Gwenwys,ap,3,Q99302426,Ieuan,F,not patronymic,,
Q117306109,Mawd ferch Ieuan ap Madog ap Gwenwys,Madog,4,Q99302426,Ieuan,F,not patronymic,,
Q117306109,Mawd ferch Ieuan ap Madog ap Gwenwys,ap,5,Q99302426,Ieuan,F,not patronymic,,
Q117306109,Mawd ferch Ieuan ap Madog ap Gwenwys,Gwenwys,6,Q99302426,Ieuan,F,not patronymic,,
Q133461336,Gwladus ferch Ieuan ap Madog ap Gwenwys,ferch,1,Q99302426,Ieuan,F,not patronymic,,
Q133461336,Gwladus ferch Ieuan ap Madog ap Gwenwys,Ieuan,2,Q99302426,Ieuan,F,not patronymic,,
Q133461336,Gwladus ferch Ieuan ap Madog ap Gwenwys,ap,3,Q99302426,Ieuan,F,not patronymic,,
Q133461336,Gwladus ferch Ieuan ap Madog ap Gwenwys,Madog,4,Q99302426,Ieuan,F,not patronymic,,
Q133461336,Gwladus ferch Ieuan ap Madog ap Gwenwys,ap,5,Q99302426,Ieuan,F,not patronymic,,
Q133461336,Gwladus ferch Ieuan ap Madog ap Gwenwys,Gwenwys,6,Q99302426,Ieuan,F,not patronymic,,
Q99302434,NN verch Adda ap Meurig ap Cynwrig ap Pasgen,verch,1,Q99302435,Adda,F,not patronymic,,
Q99302434,NN verch Adda ap Meurig ap Cynwrig ap Pasgen,Adda,2,Q99302435,Adda,F,not patronymic,,
Q99302434,NN verch Adda ap Meurig ap Cynwrig ap Pasgen,ap,3,Q99302435,Adda,F,not patronymic,,
Q99302434,NN verch Adda ap Meurig ap Cynwrig ap Pasgen,Meurig,4,Q99302435,Adda,F,not patronymic,,
Q99302434,NN verch Adda ap Meurig ap Cynwrig ap Pasgen,ap,5,Q99302435,Adda,F,not patronymic,,
Q99302434,NN verch Adda ap Meurig ap Cynwrig ap Pasgen,Cynwrig,6,Q99302435,Adda,F,not patronymic,,
Q99302434,NN verch Adda ap Meurig ap Cynwrig ap Pasgen,ap,7,Q99302435,Adda,F,not patronymic,,
Q99302434,NN verch Adda ap Meurig ap Cynwrig ap Pasgen,Pasgen,8,Q99302435,Adda,F,not patronymic,,
Q99302438,Rhys Fongam ap Rhys ap Llywelyn y Gath,Fongam,1,Q99302439,,M,father has no label,,
Q99302438,Rhys Fongam ap Rhys ap Llywelyn y Gath,ap,2,Q99302439,,M,father has no label,,
Q99302438,Rhys Fongam ap Rhys ap Llywelyn y Gath,Rhys,3,Q99302439,,M,father has no label,,
Q99302438,Rhys Fongam ap Rhys ap Llywelyn y Gath,ap,4,Q99302439,,M,father has no label,,
Q99302438,Rhys Fongam ap Rhys ap Llywelyn y Gath,Llywelyn,5,Q99302439,,M,father has no label,,
Q99302438,Rhys Fongam ap Rhys ap Llywelyn y Gath,y,6,Q99302439,,M,father has no label,,
Q99302438,Rhys Fongam ap Rhys ap Llywelyn y Gath,Gath,7,Q99302439,,M,father has no label,,
Q133462162,Llywelyn ap Griffri ap Rhys Fongam ap Rhys,ap,1,Q99302437,Griffi,M,not patronymic,,
Q133462162,Llywelyn ap Griffri ap Rhys Fongam ap Rhys,Griffri,2,Q99302437,Griffi,M,not patronymic,,
Q133462162,Llywelyn ap Griffri ap Rhys Fongam ap Rhys,ap,3,Q99302437,Griffi,M,not patronymic,,
Q133462162,Llywelyn ap Griffri ap Rhys Fongam ap Rhys,Rhys,4,Q99302437,Griffi,M,not patronymic,,
Q133462162,Llywelyn ap Griffri ap Rhys Fongam ap Rhys,Fongam,5,Q99302437,Griffi,M,not patronymic,,
Q133462162,Llywelyn ap Griffri ap Rhys Fongam ap Rhys,ap,6,Q99302437,Griffi,M,not patronymic,,
Q133462162,Llywelyn ap Griffri ap Rhys Fongam ap Rhys,Rhys,7,Q99302437,Griffi,M,not patronymic,,
Q130339054,"Dafydd Fychan ap Dafydd ap John ab Edward Deccaf, of Rhwytyn",Fychan,1,Q130339055,,M,father has no label,,
Q130339054,"Dafydd Fychan ap Dafydd ap John ab Edward Deccaf, of Rhwytyn",ap,2,Q130339055,,M,father has no label,,
Q130339054,"Dafydd Fychan ap Dafydd ap John ab Edward Deccaf, of Rhwytyn",Dafydd,3,Q130339055,,M,father has no label,,
Q130339054,"Dafydd Fychan ap Dafydd ap John ab Edward Deccaf, of Rhwytyn",ap,4,Q130339055,,M,father has no label,,
Q130339054,"Dafydd Fychan ap Dafydd ap John ab Edward Deccaf, of Rhwytyn",John,5,Q130339055,,M,father has no label,,
Q130339054,"Dafydd Fychan ap Dafydd ap John ab Edward Deccaf, of Rhwytyn",ab,6,Q130339055,,M,father has no label,,
Q130339054,"Dafydd Fychan ap Dafydd ap John ab Edward Deccaf, of Rhwytyn",Edward,7,Q130339055,,M,father has no label,,
Q130339054,"Dafydd Fychan ap Dafydd ap John ab Edward Deccaf, of Rhwytyn","Deccaf,",8,Q130339055,,M,father has no label,,
Q130339054,"Dafydd Fychan ap Dafydd ap John ab Edward Deccaf, of Rhwytyn",of,9,Q130339055,,M,father has no label,,
Q130339054,"Dafydd Fychan ap Dafydd ap John ab Edward Deccaf, of Rhwytyn",Rhwytyn,10,Q130339055,,M,father has no label,,
Q130338921,"John Wynn ap Roger ap Dafydd Fychan ap Dafydd Deccaf, of Rhwyton",Wynn,1,Q130339053,Roger,M,not patronymic,,
Q130338921,"John Wynn ap Roger ap Dafydd Fychan ap Dafydd Deccaf, of Rhwyton",ap,2,Q130339053,Roger,M,not patronymic,,
Q130338921,"John Wynn ap Roger ap Dafydd Fychan ap Dafydd Deccaf, of Rhwyton",Roger,3,Q130339053,Roger,M,not patronymic,,
Q130338921,"John Wynn ap Roger ap Dafydd Fychan ap Dafydd Deccaf, of Rhwyton",ap,4,Q130339053,Roger,M,not patronymic,,
Q130338921,"John Wynn ap Roger ap Dafydd Fychan ap Dafydd Deccaf, of Rhwyton",Dafydd,5,Q130339053,Roger,M,not patronymic,,
Q130338921,"John Wynn ap Roger ap Dafydd Fychan ap Dafydd Deccaf, of Rhwyton",Fychan,6,Q130339053,Roger,M,not patronymic,,
Q130338921,"John Wynn ap Roger ap Dafydd Fychan ap Dafydd Deccaf, of Rhwyton",ap,7,Q130339053,Roger,M,not patronymic,,
Q130338921,"John Wynn ap Roger ap Dafydd Fychan ap Dafydd Deccaf, of Rhwyton",Dafydd,8,Q130339053,Roger,M,not patronymic,,
Q130338921,"John Wynn ap Roger ap Dafydd Fychan ap Dafydd Deccaf, of Rhwyton","Deccaf,",9,Q130339053,Roger,M,not patronymic,,
Q130338921,"John Wynn ap Roger ap Dafydd Fychan ap Dafydd Deccaf, of Rhwyton",of,10,Q130339053,Roger,M,not patronymic,,
Q130338921,"John Wynn ap Roger ap Dafydd Fychan ap Dafydd Deccaf, of Rhwyton",Rhwyton,11,Q130339053,Roger,M,not patronymic,,
Q130340239,Jonet ferch Roger ap Dafydd Fychan ap Dafydd Deccaf,ferch,1,Q130339053,Roger,F,not patronymic,,
Q130340239,Jonet ferch Roger ap Dafydd Fychan ap Dafydd Deccaf,Roger,2,Q130339053,Roger,F,not patronymic,,
Q130340239,Jonet ferch Roger ap Dafydd Fychan ap Dafydd Deccaf,ap,3,Q130339053,Roger,F,not patronymic,,
Q130340239,Jonet ferch Roger ap Dafydd Fychan ap Dafydd Deccaf,Dafydd,4,Q130339053,Roger,F,not patronymic,,
Q130340239,Jonet ferch Roger ap Dafydd Fychan ap Dafydd Deccaf,Fychan,5,Q130339053,Roger,F,not patronymic,,
Q130340239,Jonet ferch Roger ap Dafydd Fychan ap Dafydd Deccaf,ap,6,Q130339053,Roger,F,not patronymic,,
Q130340239,Jonet ferch Roger ap Dafydd Fychan ap Dafydd Deccaf,Dafydd,7,Q130339053,Roger,F,not patronymic,,
Q130340239,Jonet ferch Roger ap Dafydd Fychan ap Dafydd Deccaf,Deccaf,8,Q130339053,Roger,F,not patronymic,,
Q122361447,Jane ferch Richard Westbury,ferch,1,Q122361449,,F,father has no label,,
Q122361447,Jane ferch Richard Westbury,Richard,2,Q122361449,,F,father has no label,,
Q122361447,Jane ferch Richard Westbury,Westbury,3,Q122361449,,F,father has no label,,
Q122361441,"John ap John ab Edward ap Richard Trevor Fychan, of Croes Oswallt",ap,1,Q122361443,John,M,not patronymic,,
Q122361441,"John ap John ab Edward ap Richard Trevor Fychan, of Croes Oswallt",John,2,Q122361443,John,M,not patronymic,,
Q122361441,"John ap John ab Edward ap Richard Trevor Fychan, of Croes Oswallt",ab,3,Q122361443,John,M,not patronymic,,
Q122361441,"John ap John ab Edward ap Richard Trevor Fychan, of Croes Oswallt",Edward,4,Q122361443,John,M,not patronymic,,
Q122361441,"John ap John ab Edward ap Richard Trevor Fychan, of Croes Oswallt",ap,5,Q122361443,John,M,not patronymic,,
Q122361441,"John ap John ab Edward ap Richard Trevor Fychan, of Croes Oswallt",Richard,6,Q122361443,John,M,not patronymic,,
Q122361441,"John ap John ab Edward ap Richard Trevor Fychan, of Croes Oswallt",Trevor,7,Q122361443,John,M,not patronymic,,
Q122361441,"John ap John ab Edward ap Richard Trevor Fychan, of Croes Oswallt","Fychan,",8,Q122361443,John,M,not patronymic,,
Q122361441,"John ap John ab Edward ap Richard Trevor Fychan, of Croes Oswallt",of,9,Q122361443,John,M,not patronymic,,
Q122361441,"John ap John ab Edward ap Richard Trevor Fychan, of Croes Oswallt",Croes,10,Q122361443,John,M,"AMBIGUOUS: form, father differs",-es,-es
Q122361441,"John ap John ab Edward ap Richard Trevor Fychan, of Croes Oswallt",Oswallt,11,Q122361443,John,M,not patronymic,,
Q130340461,Nicholas ap Rhys ap Morus Gethin ab Ieuan,ap,1,Q122361429,Rhys,M,not patronymic,,
Q130340461,Nicholas ap Rhys ap Morus Gethin ab Ieuan,Rhys,2,Q122361429,Rhys,M,not patronymic,,
Q130340461,Nicholas ap Rhys ap Morus Gethin ab Ieuan,ap,3,Q122361429,Rhys,M,not patronymic,,
Q130340461,Nicholas ap Rhys ap Morus Gethin ab Ieuan,Morus,4,Q122361429,Rhys,M,not patronymic,,
Q130340461,Nicholas ap Rhys ap Morus Gethin ab Ieuan,Gethin,5,Q122361429,Rhys,M,not patronymic,,
Q130340461,Nicholas ap Rhys ap Morus Gethin ab Ieuan,ab,6,Q122361429,Rhys,M,not patronymic,,
Q130340461,Nicholas ap Rhys ap Morus Gethin ab Ieuan,Ieuan,7,Q122361429,Rhys,M,not patronymic,,
Q130340171,Gwenhwyfar ferch John ap Gwilym ap Jenkin Gôch,ferch,1,Q130340172,,F,father has no label,,
Q130340171,Gwenhwyfar ferch John ap Gwilym ap Jenkin Gôch,John,2,Q130340172,,F,father has no label,,
Q130340171,Gwenhwyfar ferch John ap Gwilym ap Jenkin Gôch,ap,3,Q130340172,,F,father has no label,,
Q130340171,Gwenhwyfar ferch John ap Gwilym ap Jenkin Gôch,Gwilym,4,Q130340172,,F,father has no label,,
Q130340171,Gwenhwyfar ferch John ap Gwilym ap Jenkin Gôch,ap,5,Q130340172,,F,father has no label,,
Q130340171,Gwenhwyfar ferch John ap Gwilym ap Jenkin Gôch,Jenkin,6,Q130340172,,F,father has no label,,
Q130340171,Gwenhwyfar ferch John ap Gwilym ap Jenkin Gôch,Gôch,7,Q130340172,,F,father has no label,,
Q117305935,Einion Gethin ab Iorwerth ap Rhiwallon ap Madog,Gethin,1,Q117306748,,M,father has no label,,
Q117305935,Einion Gethin ab Iorwerth ap Rhiwallon ap Madog,ab,2,Q117306748,,M,father has no label,,
Q117305935,Einion Gethin ab Iorwerth ap Rhiwallon ap Madog,Iorwerth,3,Q117306748,,M,father has no label,,
Q117305935,Einion Gethin ab Iorwerth ap Rhiwallon ap Madog,ap,4,Q117306748,,M,father has no label,,
Q117305935,Einion Gethin ab Iorwerth ap Rhiwallon ap Madog,Rhiwallon,5,Q117306748,,M,father has no label,,
Q117305935,Einion Gethin ab Iorwerth ap Rhiwallon ap Madog,ap,6,Q117306748,,M,father has no label,,
Q117305935,Einion Gethin ab Iorwerth ap Rhiwallon ap Madog,Madog,7,Q117306748,,M,father has no label,,
Q111454997,"Dafydd ab Iorwerth ap Cynwrig ap Heilin of Ellesmere, Shropshire",ab,1,Q111455001,Iorwerth,M,not patronymic,,
Q111454997,"Dafydd ab Iorwerth ap Cynwrig ap Heilin of Ellesmere, Shropshire",Iorwerth,2,Q111455001,Iorwerth,M,not patronymic,,
Q111454997,"Dafydd ab Iorwerth ap Cynwrig ap Heilin of Ellesmere, Shropshire",ap,3,Q111455001,Iorwerth,M,not patronymic,,
Q111454997,"Dafydd ab Iorwerth ap Cynwrig ap Heilin of Ellesmere, Shropshire",Cynwrig,4,Q111455001,Iorwerth,M,not patronymic,,
Q111454997,"Dafydd ab Iorwerth ap Cynwrig ap Heilin of Ellesmere, Shropshire",ap,5,Q111455001,Iorwerth,M,not patronymic,,
Q111454997,"Dafydd ab Iorwerth ap Cynwrig ap Heilin of Ellesmere, Shropshire",Heilin,6,Q111455001,Iorwerth,M,not patronymic,,
Q111454997,"Dafydd ab Iorwerth ap Cynwrig ap Heilin of Ellesmere, Shropshire",of,7,Q111455001,Iorwerth,M,not patronymic,,
Q111454997,"Dafydd ab Iorwerth ap Cynwrig ap Heilin of Ellesmere, Shropshire","Ellesmere,",8,Q111455001,Iorwerth,M,not patronymic,,
Q111454997,"Dafydd ab Iorwerth ap Cynwrig ap Heilin of Ellesmere, Shropshire",Shropshire,9,Q111455001,Iorwerth,M,not patronymic,,
Q111455012,Gwenllian ferch Dafydd Rwth ab Owain ab Endyfed,ferch,1,Q111455017,,F,father has no label,,
Q111455012,Gwenllian ferch Dafydd Rwth ab Owain ab Endyfed,Dafydd,2,Q111455017,,F,father has no label,,
Q111455012,Gwenllian ferch Dafydd Rwth ab Owain ab Endyfed,Rwth,3,Q111455017,,F,father has no label,,
Q111455012,Gwenllian ferch Dafydd Rwth ab Owain ab Endyfed,ab,4,Q111455017,,F,father has no label,,
Q111455012,Gwenllian ferch Dafydd Rwth ab Owain ab Endyfed,Owain,5,Q111455017,,F,father has no label,,
Q111455012,Gwenllian ferch Dafydd Rwth ab Owain ab Endyfed,ab,6,Q111455017,,F,father has no label,,
Q111455012,Gwenllian ferch Dafydd Rwth ab Owain ab Endyfed,Endyfed,7,Q111455017,,F,father has no label,,
Q122361739,Madog ap Hywel ab Einion ap Cynferth,ap,1,Q133462207,,M,father has no label,,
