qid	live	why
Q112383263	Sir John Malbis (Malbysse|Malebise), of Acaster Malbis	bracketed-or-uneven
Q112606995	(Maria|Antiza) Golescu	bracketed-or-uneven
Q112643764	Florence Clun (Colunwy|Colynwy)	bracketed-or-uneven
Q112943062	Sir Nicholas Stuart (Stewart|Steward), 1st Baronet	bracketed-or-uneven
Q112962357	Feidlim|Felim(?) O'Connor, Prince of Corcumruadh	bracketed-or-uneven
Q112968159	(Teppana|Tahvana) of [Husu]	bracketed-or-uneven
Q112973544	Kone (|Kunigunda) of (Hastevere)	bracketed-or-uneven
Q115714585	Elizabeth Eton (Heton|Eaton)	bracketed-or-uneven
Q115958761	Elizabeth Sheffield (Nesfield|Neffield), of Yorkshire	bracketed-or-uneven
Q116026441	Simon Briscs (Britt|Brises)	bracketed-or-uneven
Q116029062	William Atmore (Attmore|Moore), of Bray or Cokeham	bracketed-or-uneven
Q116029105	Jane Herwich (Hewick|Hewyke|Hersick)	bracketed-or-uneven
Q116029106	Sir Roger Herwich (Herwick|Hersick)	bracketed-or-uneven
Q116031268	Mairead|Margaret de Moireabh (Mureff|Moray)	bracketed-or-uneven
Q116054147	Richard Ottley (or Oteley|Ottely), of Pitchford	bracketed-or-uneven
Q116108942	Jane Almor (or Almer|Aylmer)	bracketed-or-uneven
Q116144969	Isabel Fichet (Fitchett|Fychet)	bracketed-or-uneven
Q116144970	Sir Thomas Fitchett (Fychet|Fichet), of	bracketed-or-uneven
Q116147609	Cadwaladyr ap John ap Cadwaladyr Wynn [Pryse|Prys], of Plâs yn Rhiwlas	bracketed-or-uneven
Q116168305	Marguerite Coet (Coct|Cotée)	bracketed-or-uneven
Q116168882	Johanna Walsh (Welsh|Waleys|Wilday)	bracketed-or-uneven
Q116168883	John Walshe (Welsh|Waleys|Wilday), Worle, Som	bracketed-or-uneven
Q116169850	Anne Browe (Borrow|Broe)	bracketed-or-uneven
Q116180008	Margaret le Walshe (Walsh|Waleys|Wallis)	bracketed-or-uneven
Q116180009	Roger le Walshe (Waleys|Wallis|Walsh), of Langton Waleys	bracketed-or-uneven
Q116469630	Denise Llychwr (Lougher|Loughor)	bracketed-or-uneven
Q116812593	Margred|(Elizabeth) Giles, of Silstwn	bracketed-or-uneven
Q117302948	Ralph Staveleigh (Staveley|Stayley)	bracketed-or-uneven
Q122260329	Thomasine Lovett (Lovell|Lyngward), of Shipdham	bracketed-or-uneven
Q122372381	John Paronte (Punt|Pounte|Pound), of Derbyshire	bracketed-or-uneven
Q127270773	(Thrugaut|Trotte)	bracketed-or-uneven
Q129168452	Agnes Loundres (Lounders|Londres)	bracketed-or-uneven
Q129168499	Richard Loundres (Lounders|Londres)	bracketed-or-uneven
Q130335966	William Joudrell (Jaudrell|Jodrell)	bracketed-or-uneven
Q130336862	Jane Trejago (Treiago|Tregago)	bracketed-or-uneven
Q130336863	Stephen Trejago (Treiago|Tregago), of Fentongollan, Cornwall	bracketed-or-uneven
Q130338509	Purcirto (Artinide|Hartneid) de Attems	bracketed-or-uneven
Q130339466	Robert de Pull (Poole|de la Pole)	bracketed-or-uneven
Q130648159	Katherine Briston (Birston|Broston)	bracketed-or-uneven
Q136481698	Margaret Layburne (Laburne|Leyburne)	bracketed-or-uneven
