missing,steps,destination,destination_geni_id,destination_missing,action,path,first_missing,first_missing_geni_id
20,60,Nick Bostrom,6000000050559373987,1,export,isolate-geni-nick-bostrom.tsv,Bamse Simonsson af Skägge,3945993
20,72,"Prof. Johann FRIEDRICH von Herrenschwand, Dr.",6000000047233092984,1,export,isolate-geni-prof-johann-friedrich-von-herrenschwand-dr-1881-1959.tsv,GR János VI. Bánffy de Alsólendva,6000000010046041324
20,30,Walter Courvoisier,6000000019922963015,1,export,isolate-geni-walter-courvoisier-1875-1931-orselina.tsv,Ingeborg Wathne,6000000206559272828
19,72,Charles Folsom,6000000078718774172,1,export,isolate-geni-charles-folsom-1794-1872-cambridge.tsv,Joan Baynton,6000000007606027524
19,30,Charles Harold Williams,6000000195872904695,1,export,isolate-geni-charles-harold-williams-1895-1981.tsv,Karin Anna Margareta Lee,6000000001673679323
19,69,Friedlieb Ferdinand Runge,6000000053452245068,1,export,isolate-geni-friedlieb-ferdinand-runge-1795-1867-oranienburg.tsv,N.N. Clausdatter von Ahlefeldt,6000000001504441898
19,54,Kirk Varnedoe,6000000014167861941,1,export,isolate-geni-john-kirk-train-varnedoe-1946-2003.tsv,"Elizabeth d'Amory, Baroness Bardolf",6000000006444060303
19,55,John Ugelstad,6000000002823437299,1,export,isolate-geni-john-ugelstad-1921-1997-trondheim.tsv,Anders Hanson Ugelstad,6000000055206153959
19,86,Karl Bertil Mathias Qvist,6000000080562610272,0,export,isolate-geni-karl-bertil-mathias-qvist-1920-1991-s-t-karins-kaarina.tsv,Alix De Fontain,6000000201042197863
19,43,Nils Karlsen Ørvik,5590818860100073608,1,export,isolate-geni-nils-karlsen-rvik-1918-2005.tsv,Eivind Ådnesson Nomeland,6000000001365390577
19,56,Wolfgang Anton de Boor,6000000026423927151,1,export,isolate-geni-wolfgang-anton-de-boor-1917-2014-cologne.tsv,"Godfried, heer van Wesemael",6000000014055529714
18,54,Pope Clement XIII,6000000012449602209,1,export,isolate-geni-carlo-della-torre-di-rezzonico-pope-clemente-xlll-1693-1769-rome.tsv,Erreco della Torre,6000000012461419992
18,57,Edward Albee,6000000018698796190,1,export,isolate-geni-edward-franklin-albee-iii-1928-2016-montauk.tsv,"Roger de Valletort, of Trematon",4684010237120074822
18,43,Franciszek Longchamps,6000000015995643669,1,export,isolate-geni-franciszek-longchamps-1912-1969-wroc-aw.tsv,"? Dobrogost lub Tomisław ? Szamotulski h. Nałęcz, z Szamotuł",6000000013621714922
18,35,Gian Carlo Wick,6000000015896566917,1,export,isolate-geni-gian-carlo-wick-1909-1992.tsv,"Estelle Marie Carandini di Sarzano, Contessa",6000000015075088035
18,35,Ignaz Paul Vital Troxler,6000000158031596887,1,export,isolate-geni-ignaz-paul-vital-troxler-1780-1866-aarau.tsv,Emile Jean-Baptiste Jean Baptiste Albert Bailliere,6000000185930252825
17,45,Aurora Aksnes,6000000095213396844,1,export,isolate-geni-aurora-aksnes.tsv,Synneva Larsdatter (116f) Skeie,6000000012984859409
17,78,Bahá'u'lláh Mirza Husayn Ali Nuri,6000000010354381155,1,export,isolate-geni-bah-u-ll-h-m-rz-usayn-al-nuri-1817-1892-acre.tsv,Salih Al-Zaydani,6000000219912116855
17,48,Dan Brown,6000000065875328000,1,export,isolate-geni-daniel-gerhard-brown.tsv,Anna von Mecklenburg-Schwerin,6000000000598850973
17,27,Dr. Raphael Lemkin,6000000043649084885,1,export,isolate-geni-dr-raphael-lemkin-1900-1959-new-york-city.tsv,Hans Ludvig Martin Pedersen,6000000012307860943
17,55,Francis Barton Gummere,6000000044635685330,1,export,isolate-geni-francis-barton-gummere-1855-1919-haverford.tsv,"Elizabeth Latimer, Baroness Latimer of Corby",6000000012920494472
17,68,Graf Philipp Christian Friedrich von Normann-Ehrenfels,6000000076771736071,1,export,isolate-geni-graf-philipp-christian-friedrich-von-normann-ehrenfels-.tsv,Gertrud von Krassow,6000000023867319177
17,60,Hans* Gregor Gunnar Nilsson-Ehle,6000000023142034990,1,export,isolate-geni-hans-gregor-gunnar-nilsson-ehle-1910-1983.tsv,Måns Andersson Hammar,6000000187434166840
17,50,Harald Skjervold,6000000000685125230,1,export,isolate-geni-harald-skjervold-1917-1995.tsv,Christen Søfrenssøn Wittrup,6000000141813585731
17,49,Helmer Smith,6000000069315166881,1,export,isolate-geni-helmer-smith-1882-1956-liding.tsv,Margareta Ysing,6000000006889988530
17,56,Kylee Curtis,6000000000504150428,1,export,isolate-geni-kylee-curtis-1994-1994-payson.tsv,"Sir Nicholas Kellogg, I",6000000005849976006
17,48,Lars Fridthjofsen Tokstad Sem Platou,6000000042855696961,1,export,isolate-geni-lars-fridthjofsen-tokstad-sem-platou-1920-2003.tsv,Otto Stoud,6000000009644388262
17,28,Leonid Hurwicz,6000000027815692857,1,export,isolate-geni-leonid-hurwicz-1917-2008-minneapolis.tsv,Clarus Verl Canny,6000000041110288624
17,26,Paul L. Modrich,6000000068446181861,1,export,isolate-geni-paul-lawrence-modrich.tsv,Sigvald (Sam) Malmin,6000000004232918084
17,64,Per Johan Magnus Ohlin,6000000018758779136,1,export,isolate-geni-per-johan-magnus-ohlin-1910-1974-uppsala-c.tsv,Anna Catharina Pedersdotter Haijock,6000000018596985372
17,51,Povl Ole Fanger,6000000051850936836,1,export,isolate-geni-povl-ole-fanger-1934-2006.tsv,Niels Larsen,6000000063301429148
17,52,"Frank Johnson Goodnow, Ph.D., LL.B.",6000000021516078682,1,export,isolate-geni-prof-frank-johnson-goodnow-1859-1939.tsv,"David IV Strathbogie of Atholl, 13th Earl Of Atholl",6000000003827909093
17,66,Professor Axel Thue,6000000029363285200,1,export,isolate-geni-professor-axel-thue-1863-1922-oslo.tsv,Laurits Marstrand,6000000003588755565
16,26,Adolf Willareth,6000000175911091017,1,export,isolate-geni-adolf-willareth-1874-1953.tsv,Tora Helmiksdtr. Sør-Reime,6000000029221685192
16,56,Bjørn Føyn,6000000020409245654,1,export,isolate-geni-bj-rn-f-yn-1898-1985.tsv,Harald Anfinnsønn,6000000001514334891
16,55,Charles P. Kindleberger Jr.,6000000075962834013,1,export,isolate-geni-charles-poor-charlie-kindleberger-jr-1910-2003.tsv,John Preston,6000000042124098341
16,26,Emil Spjøtvoll,6000000069152308976,1,export,isolate-geni-emil-spj-tvoll-1940-2002.tsv,Bente Kristin Grongstad-Borsheim,6000000001913829276
16,61,"Erik Nissen ""Ericus Nissenius"" Viborg, døbenavn Ericus Nissenius Viborg",6000000015456306509,1,export,isolate-geni-erik-nissen-ericus-nissenius-viborg-d-benavn-ericus-nis.tsv,"Anna Pedersdatter Sappi, Til Solvig",6000000002811384294
16,47,Geir Vegar Hoel,6000000000794832014,1,export,isolate-geni-geir-vegar-hoel-1973-2021.tsv,Mathias Mikkelsen Ursin,6000000000657598551
16,26,Pope Paul VI,6000000057959889971,1,export,isolate-geni-giovanni-battista-enrico-antonio-maria-montini-1897-1978-castel-gandolfo.tsv,Anna Carlsdotter,6000000021501319830
16,27,Herbert W. B. Skinner,6000000053406365148,1,export,isolate-geni-herbert-w-b-skinner-1900-1960-geneva.tsv,Liv Marion Løyning,6000000040206316913
16,41,Jan Groth,6000000075001015838,1,export,isolate-geni-jan-groth-1938-2022.tsv,Elen Bentsdatter,6000000084766521103
16,43,Jens Glad Balchen,6000000006604342018,1,export,isolate-geni-jens-glad-balchen-1926-2009-trondheim.tsv,Gunhild Jonsdatter Augland,6000000005581573484
16,55,"Joseph Hooton Taylor, Jr.",6000000041095187891,1,export,isolate-geni-joseph-hooton-taylor-jr.tsv,Isabel Smythe,6000000006444427353
16,53,Kjetil Jansrud,6000000022189959429,1,export,isolate-geni-kjetil-jansrud.tsv,Anne Trondsdatter Gjermshus,6000000018238684701
16,84,Ludovico Paolo Francesco Buglio,6000000148779404114,1,export,isolate-geni-ludovico-paolo-francesco-buglio-1606-1682-pechino.tsv,"Maria Cruyllas, contessa di Agosta",6000000015535281618
16,62,Nils Olof Zeilon,6000000065604186021,1,export,isolate-geni-nils-olof-zeilon-1886-1958.tsv,Daniel Millberg,6000000181304291821
16,47,Pentti Kouri,6000000040687433581,1,export,isolate-geni-pentti-juha-kalervo-kouri-1949-2009-los-angeles.tsv,Effie Harriet Wilson,6000000023910661981
16,52,"Prof. Kai Viktor Johannes von Fieandt, Ph.D.",6000000023969704238,1,export,isolate-geni-prof-kai-viktor-johannes-von-fieandt-ph-d-1909-2000-esp.tsv,Christina Juliana Ramsay,6000000008889723685
16,54,Sigurd Teodoro Arentsen Steeger,6000000006580951114,1,export,isolate-geni-sigurd-teodoro-arentsen-steeger-arentsen.tsv,Bjørn Pedersen Ø. Sandøya,6000000020022776805
16,39,Magnus Carlsen,6000000018569141035,1,export,isolate-geni-sven-magnus-en-carlsen.tsv,Marthe Pedersdatter Odland,6000000174763322836
16,60,Wiktor Marian Dega,6000000032020782138,0,export,isolate-geni-wiktor-marian-dega-1896-1995-pozna.tsv,Piotr Wszeborowic ze Strzelna,6000000014746994207
15,25,Amalia Maartje Elisabeth Draak,6000000036645041986,1,export,isolate-geni-amalia-maartje-elisabeth-draak-1907-1995-amsterdam.tsv,Jens Andersson Lura,6000000176924310855
15,52,Arne Beurling,6000000000518902212,1,export,isolate-geni-arne-carl-august-beurling-1905-1986-princeton.tsv,Sara Charlotta Brauner,6000000007460273829
15,69,Burton Watson,6000000076826620559,1,export,isolate-geni-burton-dewitt-watson-1925-2017-chiba.tsv,Sir John Lamont,6000000076904279750
15,33,Ernst Heinrich Graser,6000000126167468930,1,export,isolate-geni-ernst-heinrich-graser-1860-1929-munich.tsv,Peter von Gerschau,6000000021567866910
15,54,Frederick Chapman Robbins,6000000013854218635,1,export,isolate-geni-frederick-chapman-robbins-1916-2003-cleveland.tsv,"Sir William Parr, II, 1st Baron Parr of Horton",6000000000172247003
15,62,Hans Brøchner,6000000009512185823,1,export,isolate-geni-hans-br-chner-1820-1875.tsv,Steffen Mogensen Lange,6000000024212177849
15,56,"James Fred Rippy, PhD",6000000009196213139,1,export,isolate-geni-james-fred-rippy-phd-1892-1977-wilmington.tsv,Lady Alice Kighley Newsham,6000000003275714059
15,56,Jean-Noël Tremblay C. M,6000000145925461838,1,export,isolate-geni-jean-no-l-tremblay-c-m-1926-2020.tsv,Anges Barre,6000000083183438436
15,86,John Lawrence Ashbery,6000000066481522948,0,export,isolate-geni-john-lawrence-ashbery-1927-2017-hudson.tsv,Sacer de Ros,6000000007926788407
15,61,Åke Anders Edvard Wallenquist,6000000037849985024,1,export,isolate-geni-ke-anders-edvard-wallenquist-1904-1994.tsv,Niels Andersen Hammer,6000000006119803304
15,27,Luka Modrić,6000000077753636156,1,export,isolate-geni-luka-modri.tsv,Astrid Enoksen,376678964550013516
15,56,Minnie Bruce Pratt,6000000176741416911,1,export,isolate-geni-minnie-bruce-pratt-1946-d.tsv,Catherine Harcourt,5176555259670075060
15,65,Peter* Edvard Holm,6000000024831949073,1,export,isolate-geni-peter-edvard-holm-1833-1915-k-benhavn.tsv,Inger Mogensdatter Lange,6000000012441169170
15,42,Samson Eitrheim,6000000051326549095,1,export,isolate-geni-samson-eitrheim-1872-1966-oslo.tsv,Samson Mathisen Staen,6000000025454247028
15,24,Sir Fredrick Hopkins,6000000014670000527,1,export,isolate-geni-sir-frederick-gowland-hopkins-1861-1947-cambridge.tsv,Erick Albin Gidlöf,6000000002433020362
15,41,Tore Renberg,6000000044870041882,1,export,isolate-geni-tore-renberg.tsv,Guri Omundsdatter Øygreid,6000000015770691873
15,49,Viola* Marie Sibylle Gräfin von Bethusy-Huc,6000000078418098808,1,export,isolate-geni-viola-marie-sibylle-gr-fin-von-bethusy-huc-1927-d.tsv,Christine von Pappenheim,6000000010173070293
14,54,"Aaron Louis Treadwell, Ph.D.",6000000026651136015,1,export,isolate-geni-aaron-louis-treadwell-ph-d-1866-1947.tsv,"Sir Robert Byrte, IV, Esq.",6000000015907421188
14,56,Bendix Christian de Fine,379735685930012896,1,export,isolate-geni-bendix-christian-de-fine-1696-1746-stavanger.tsv,Gjertrud Guttormsdatter,6000000001480184213
14,30,Dr. med. Werner Wachsmuth,6000000171523443015,1,export,isolate-geni-dr-werner-curt-ferdinand-wachsmuth-1900-1990-w-rzburg.tsv,Ove Hjort,6000000024674946910
14,24,Erik Edlund,6000000018672086759,1,export,isolate-geni-erik-edlund-1819-1882.tsv,Anna Olsdotter,6000000179043084887
14,40,Erling Torkelsen,6000000025293310764,1,export,isolate-geni-erling-torkelsen-1919-1987-gothenburg.tsv,Metta Pålsdtr. Fossetveit,6000000005920623265
14,64,Evald Ziervogel,6000000016176464141,1,export,isolate-geni-ewald-benedictus-ziervogel-1728-1765-uppsala.tsv,Ritter Georg von Wansleben,6000000011024059486
14,66,Gerald L. Pearson,6000000013118070141,1,export,isolate-geni-gerald-l-pearson-1905-1987.tsv,Jane Dunbar,6000000001138282005
14,64,Gunnar Fougstedt,6000000003500144245,1,export,isolate-geni-gunnar-fougstedt-1908-1986.tsv,Per Eriksson,6000000007322002070
14,23,Hanne Marthe Narud,6000000007537666559,1,export,isolate-geni-hanne-marthe-narud-1958-d.tsv,Torolv Jonsen Handeland,6000000184442905839
14,45,Hans Christian Aage Huitfelt Kragelund,6000000000851745139,1,export,isolate-geni-hans-christian-aage-huitfelt-kragelund-1894-1985.tsv,Anne Margrethe Wessel,6000000012546246664
14,69,Hans Ramberg,6000000016585253178,1,export,isolate-geni-hans-ramberg-1917-1998.tsv,Abraham Offersen Lockert,6000000006434650797
14,55,Harry Woodburn Chase,6000000120565302852,1,export,isolate-geni-harry-woodburn-chase-1883-1955.tsv,Margaret Daniels,6000000019789102508
14,25,Holger Pedersen,6000000017004933881,1,export,isolate-geni-holger-pedersen-1867-1953-copenhagen.tsv,Berthe Kristoffersdatter Koed,6000000008251491440
14,52,Ignacio Braulio Anzoátegui Sáenz,6000000004238176240,1,export,isolate-geni-ignacio-braulio-anzo-tegui-s-enz-1905-1978-buenos-aires.tsv,María Manrique de Lara y Pimentel,6000000014708732625
14,25,Johannes Alle Faber,4058826330830122137,1,export,isolate-geni-johannes-alle-faber-1925-2007-bennekom.tsv,Olava Bertea Espeland,6000000013021059103
14,78,Lehre Livingston Dantzler,6000000090358245316,0,export,isolate-geni-lehre-livingston-dantzler-1878-1958-lexington.tsv,"John de Marmion, 1st Baron Marmion",6000000001835826107
14,25,Lewis Edward Yablonsky,6000000029744513021,1,export,isolate-geni-lewis-edward-yablonsky-1924-2014.tsv,<private> Hedberg,6000000079734880838
14,29,Marcel Paul Junod,6000000011158087194,1,export,isolate-geni-marcel-paul-junod-1904-1961-geneva.tsv,Henny Gadd,6000000013439956091
14,61,Per Gustaf Einar Sjövall,6000000053680417825,1,export,isolate-geni-per-gustaf-einar-sj-vall-1879-1964.tsv,Olof Matsson Bratt,4650485
14,24,Prof. Carl Frithjof Smith,6000000017768865194,1,export,isolate-geni-prof-carl-frithjof-smith-1859-1917-weimar.tsv,Josefine Marie Johnsdatter Malmin,6000000011263538004
14,49,prof.dr. Bernard Hendrik Slicher van Bath,6000000070182208157,1,export,isolate-geni-prof-dr-bernard-hendrik-slicher-van-bath-1910-2004-wage.tsv,Maria von Öttingen-Flochberg,6000000003827484818
14,29,Prof. Dr. Dr. h.c. mult Fritz Richard Baltzer,6000000162662189884,1,export,isolate-geni-prof-dr-dr-h-c-mult-fritz-richard-baltzer-1884-1974-ber.tsv,"Dr. phil. Helmuth Thierfelder, Dirigent",6000000030509662708
14,81,Pope Leo XIV,6000000218365400850,0,export,isolate-geni-robert-francis-prevost-osa.tsv,Alice Halsam,6000000000327920357
14,61,Rudolph Sophus Bergh,6000000069381438156,1,export,isolate-geni-rudolph-sophus-bergh-1859-1924-davos.tsv,Elsebye Hermansdatter Bohn,6000000002504345388
14,41,Stinius Fredriksen,6000000006979657520,1,export,isolate-geni-stinius-fredriksen-1902-1977-oslo.tsv,Johannes Torsteinsen Skår,6000000005609473280
13,65,Akateemikko Erkki Aukusti Laurila,6000000037704028766,1,export,isolate-geni-akateemikko-erkki-aukusti-laurila-1913-1998-porvoo.tsv,"Jürgen von Stackelberg, till Kagrimois",6000000010970481770
13,23,Alfred (Ephraim) Gessow,6000000000987948392,1,export,isolate-geni-alfred-gessow-1922-2002.tsv,Aslaug Elvira Scobie,6000000045647403871
13,65,Alfred Hartmann Bjørnson,6000000025453703378,1,export,isolate-geni-alfred-hartmann-bj-rnson-1889-1974-stavanger.tsv,Gjertrud Katrine Krag Storsul,6000000011893239663
13,52,Arie Noordtzij,6000000043001895996,1,export,isolate-geni-arie-noordtzij-1871-1944-lutry.tsv,Otto Ottensz van Heukelom,6000000010617476279
13,46,Dammes Paulus Dirk Fabius,6000000018098723109,1,export,isolate-geni-dammes-paulus-dirk-fabius-1851-1931-s-gravenhage.tsv,Johanetta Bayer von Boppard,6000000164967742831
13,23,Dezső Tóth,6000000003574693022,1,export,isolate-geni-dezs-t-th-1925-1985.tsv,Hans Gabriel Boe,6000000042016915629
13,82,Dr. Georg Pauly,6000000015034892465,1,export,isolate-geni-dr-georg-pauly-plaut-1883-1950-buenos-aires.tsv,Röschen Glans,6000000002802781723
13,54,Dr. Henry Pancoast,6000000077550921671,1,export,isolate-geni-dr-henry-khunrath-pancoast-1875-1939-merion-station.tsv,Anne Clifford,4207457734450030311
13,43,Endre Nedre Lekve,6000000026302854914,1,export,isolate-geni-endre-nedre-lekve-torkelson-1833-d.tsv,Ivar Johannesson Hallanger,6000000018627600347
13,63,Erkki Kivalo,6000000010581886947,1,export,isolate-geni-erkki-kivalo-mittler-1920-2009-helsinki.tsv,Carl Gustaf Andersson Mansner,6000000024553571433
13,63,Ernst Alexander Homén,6000000011302378738,1,export,isolate-geni-ernst-alexander-hom-n-1851-1926-helsingfors.tsv,Bengt Arvidsson Krook,6000000011251810197
13,62,Ernst Ensio Kivikoski,6000000176566961861,1,export,isolate-geni-ernst-ensio-kivikoski-stenfors-1891-1973-helsinki.tsv,Georgius Nicolai Prytz,6000000008130628202
13,74,Arq.º Fernando Távora,6000000025945112600,1,export,isolate-geni-fernando-luis-cardoso-de-meneses-de-tavares-e-tavora-19.tsv,Anna von Mecklenburg-Schwerin,6000000000598850973
13,23,Frank Conroy,6000000016534042672,1,export,isolate-geni-frank-conroy-1936-2005-iowa-city.tsv,Bessie Olive Torkelson,6000000013488063613
13,54,Gardner Murphy,6000000176630979904,1,export,isolate-geni-gardner-murphy-1895-1979.tsv,Elizabeth Mistresson Hungerford,6000000002126369770
13,24,"George Armitage Miller, PhD",6000000110231426840,1,export,isolate-geni-george-armitage-miller-phd-1920-2012-plainsboro-townshi.tsv,Elen Mortina Aronsdatter,6000000001655560955
13,57,Gerd Enequist,6000000036805346568,1,export,isolate-geni-gerd-margreta-enequist-1903-1989-uppsala-domkyrkof-rs.tsv,Daniel Danielsson Wulfcrona (Wulf),6000000012209012149
13,23,Gunnar Emil Sixten Martinsson,6000000178190991871,1,export,isolate-geni-gunnar-emil-sixten-martinsson-1924-2012.tsv,Betty Charlotta Andersson,368636887170004379
13,28,Johann Christian Ernesti,6000000184224755837,1,export,isolate-geni-johann-christian-ernesti-1695-1768-bad-langensalza.tsv,"Hubert, Graf von Pfeil",6000000027270019208
13,51,Juan Orrego Salas,6000000006271032335,1,export,isolate-geni-juan-antonio-orrego-salas-1919-2019-bloomington.tsv,Ana de Castilla y Mendoza,6000000004850712687
13,26,Karl Birger Blomdahl,6000000029226917736,1,export,isolate-geni-karl-birger-blomdahl-1916-1968-kungs-ngen.tsv,Joakim (Kimme) Melander,6000000001553889744
13,25,Karl Reinhard Müller,6000000026937882544,1,export,isolate-geni-karl-reinhard-m-ller-1774-1861.tsv,Christian Marius Thams,6000000005060691062
13,42,Kristen Nygaard,6000000009875303979,1,export,isolate-geni-kristen-nygaard-1926-2002-oslo.tsv,Edvard Davidsen Christie,6000000008931923941
13,24,Nelly Sachs,6000000014640008112,1,export,isolate-geni-nelly-leonie-sachs-1891-1970-stockholm-urban-area.tsv,Synnøve Folkestad,6000000011286354717
13,22,Olav Hindahl,6000000171685356124,1,export,isolate-geni-olav-hindahl-1892-1963.tsv,<private> Hareland (Erga),6000000029159336980
13,44,Ola Abrahamsson,6000000023130178145,1,export,isolate-geni-ole-mathias-abrahamsen-1883-1980.tsv,Daniel Kristensen Trane,307380971250004708
13,79,Olli Juhani Järvinen,6000000041173248960,0,export,isolate-geni-olli-juhani-j-rvinen-1950-1990.tsv,"Countess Irmgard von Büdingen, Gräfin von Mörle-Kleeburg",6000000003827496317
13,49,Pehr Victor Edman,6000000000726846049,1,export,isolate-geni-pehr-victor-edman-1916-1977-munich.tsv,Amy Petersen,6000000003493429496
13,34,Per Asbjørn Pedersen Tjøstland,6000000031344931074,1,export,isolate-geni-per-asbj-rn-pedersen-tj-stland-1918-2004-stavanger.tsv,Ola Erikson Oaland,6000000005609236196
13,24,Prof. Dr. Julius Hirschwald,6000000044729937058,1,export,isolate-geni-prof-dr-julius-hirschwald-1845-1928.tsv,Anton Andersson,6000000065535690821
13,52,"Prof. Richard MacGillivray Dawkins, FBA",6000000025848437161,1,export,isolate-geni-prof-richard-macgillivray-dawkins-fba-1871-1955-oxford.tsv,Sir William Pierrepont,6000000006164162621
13,25,Thomas Jönsson Thorén Thorild,6000000089076927053,1,export,isolate-geni-thomas-j-nsson-thor-n-thorild-1759-1808.tsv,Karin Persdotter,6000000018414404609
13,50,Torsten Ludvig Thunberg,6000000023968161832,1,export,isolate-geni-torsten-ludvig-thunberg-1873-1952-lund.tsv,Catharina Juliana Ysing,6000000005661013001
13,55,Wilhelm Lanzky-Otto,6000000000925356216,1,export,isolate-geni-wilhelm-lanzky-otto-1909-1991.tsv,Elisabeth Sophie Rantzau de Leth,6000000003261643761
12,50,Adolf Hoel,6000000003149897197,1,export,isolate-geni-adolf-hoel-1879-1964-oslo.tsv,Mette Pedersdatter Hovin,6000000175324455247
12,39,Babill Stray-Pedersen,6000000015783617174,1,export,isolate-geni-babill-asbj-rg-johanne-stray-pedersen-valen-sendstad-19.tsv,Johannes Gunnarson Eikeland,6000000008702302716
12,34,Birgit Vennesland,6000000095751934040,1,export,isolate-geni-birgit-vennesland-1913-2001.tsv,Tønnes Svendsen Bakke,6000000000172030348
12,69,Carl Jørgen Wesenberg-Lund,6000000104580051843,1,export,isolate-geni-carl-j-rgen-wesenberg-lund-1867-1955-hiller-d.tsv,"Søren de Hofman (1), til Skerrildgård",6000000011427102336
12,26,Charles Frankel,6000000003895768777,1,export,isolate-geni-charles-frankel-1917-1979-bedford-hills.tsv,Johan Anton Kristensen Melleby,6000000003853430027
12,44,Embrik Strand,6000000011787526724,1,export,isolate-geni-embrik-strand-1876-1947-r-ga.tsv,Lars Vebjørnson nedre Åker (Ager),6000000009787075431
12,26,Erland Jacob Ehnmark,4246255674440079332,1,export,isolate-geni-erland-jacob-ehnmark-1903-1966.tsv,Johan Jonsson Burman,6000000019386156142
12,23,Fredrik Berg,6000000013984937135,1,export,isolate-geni-fredrik-berg-1887-1974.tsv,Brita Persdotter,6000000007019009128
12,30,Gerhard De Jonge,6000000174681148875,1,export,isolate-geni-gerhard-de-jonge-1875-1943.tsv,Ernst Francke,6000000174680739823
12,27,Giulio Prosperetti,6000000145232539849,1,export,isolate-geni-giulio-prosperetti.tsv,Christian Eilert Rasch Christophersen,6000000018031562577
12,29,Harald Felix Ludwig Sioli,6000000000037785008,1,export,isolate-geni-harald-felix-ludwig-sioli-1910-2004.tsv,Carl* Henrik Mannheimer,6000000005230855775
12,53,Harriet Randolph,6000000009543700841,1,export,isolate-geni-harriet-randolph-1856-1926.tsv,"Stephen le Scrope, 2nd Baron Scrope of Masham",6000000003637155614
12,26,Otto Adolf Ludwig Intze,6000000101507800897,1,export,isolate-geni-otto-adolf-ludwig-intze-1843-1904-aachen.tsv,Housewife Elisabeth Roalkvam,6000000062610852973
