token,usage,bearers,script,marker,existing_qid,action
Vittoria,given,20,Latin,,Q16282527,link
Vytis,family,20,Latin,,,create
Willumsdatter,patronymic,20,Latin,sdatter,,create
Wira,given,20,Latin,,,create
Yaroslav,given,20,Latin,,,"AMBIGUOUS - review, do not create"
Yì,given,20,Latin,,,"AMBIGUOUS - review, do not create"
wives,given,20,Latin,,,create
Þorvaldur,given,20,Latin,,Q8079554,link
Þuríður,given,20,Latin,,,create
Афанасий,given,20,Cyrillic,,,create
Матвей,given,20,Cyrillic,,,create
Степанович,given,20,Cyrillic,,,create
Яков,given,20,Cyrillic,,,create
البجلي,family,20,Arabic,,,create
العنسي,family,20,Arabic,,,create
الغطفاني,family,20,Arabic,,,create
亀井,family,20,Han,,,create
吳興,family,20,Han,,,create
安部,family,20,Han,,,create
寬,given,20,Han,,,create
平江崑山,family,20,Han,,,create
幽州范陽,family,20,Han,,,create
廣,given,20,Han,,,create
廬江灊縣,family,20,Han,,,create
杭州錢塘,family,20,Han,,,create
澄,given,20,Han,,,create
福,given,20,Han,,,create
貝州清河,family,20,Han,,,create
長樂信都,family,20,Han,,,create
Elias,family,19,Latin,,Q26772804,link
蕭,family,19,Han,,,create
Aaron,family,19,Latin,,Q301610,link
or,family,19,Latin,,,create
Cornelius,family,19,Latin,,Q18536476,link
Saint,given,19,Latin,,Q54232123,link
Bing,given,19,Latin,,,"AMBIGUOUS - review, do not create"
Walker,given,19,Latin,,Q16622960,link
紀,given,19,Han,,,create
Lǐ,given,19,Latin,,,create
Lisperguer,family,19,Latin,,,create
Mons,family,19,Latin,,Q37157503,link
Larson,family,19,Latin,,Q16871867,link
Mogensen,family,19,Latin,,Q21492494,link
Gundersen,family,19,Latin,,Q656767,link
Lauridsen,family,19,Latin,,Q34237029,link
Freitas,family,19,Latin,,Q21492377,link
Levin,family,19,Latin,,,"AMBIGUOUS - review, do not create"
Pedersson,family,19,Latin,,Q113489479,link
Loew,given,19,Latin,,,create
Covarrubias,family,19,Latin,,Q3348050,link
d'Aragón,family,19,Latin,,,create
Grimsrud,family,19,Latin,,Q37140900,link
Willard,family,19,Latin,,,"AMBIGUOUS - review, do not create"
Cáceres,family,19,Latin,,Q26736572,link
Österreich,family,19,Latin,,,create
Enoksen,family,19,Latin,,Q1343545,link
Næristorp,family,19,Latin,,,create
Emden,family,19,Latin,,Q37458524,link
Steensen,given,19,Latin,,,create
Århus,family,19,Latin,,,create
Larsdtr,family,19,Latin,,,create
Indre,family,19,Latin,,,create
Mårtensson,family,19,Latin,,Q1957624,link
Brunswick,family,19,Latin,,Q37544462,link
Liebmann,given,19,Latin,,,create
Newman,family,19,Latin,,Q1983554,link
Pin,family,19,Latin,,,create
Ángel,family,19,Latin,,,create
Rasmusen,given,19,Latin,,,create
Underberge,family,19,Latin,,,create
Reed,family,19,Latin,,Q2136484,link
Skjørtorp,family,19,Latin,,,create
(Banner),family,19,Latin,,,create
Fisher,family,19,Latin,,Q1158882,link
Heinemann,given,19,Latin,,,create
Hughes,given,19,Latin,,Q18324337,link
Teutsch,family,19,Latin,,Q1318812,link
Abrahamson,family,19,Latin,,Q330948,link
Hauso,family,19,Latin,,,create
Iñiguez,family,19,Latin,,,create
Leguizamo,family,19,Latin,,,create
Otero,family,19,Latin,,Q10752423,link
Spangenthal,family,19,Latin,,Q105991808,link
Zak,family,19,Latin,,Q37554041,link
d'Avesnes,family,19,Latin,,Q105107547,link
Birnbaum,family,19,Latin,,Q16823309,link
Eigeland,family,19,Latin,,,create
Nore,family,19,Latin,,,create
Barfod,family,19,Latin,,Q31423746,link
Clinton,given,19,Latin,,Q19826492,link
Corbeil,family,19,Latin,,,create
Mikalsen,given,19,Latin,,,create
Sandven,family,19,Latin,,Q30512092,link
Villard,family,19,Latin,,Q24743912,link
長,given,19,Han,,,create
Fjelland,family,19,Latin,,,create
Meilir,given,19,Latin,,,create
Montpellier,family,19,Latin,,,create
Ornelas,family,19,Latin,,Q7103539,link
Orud,family,19,Latin,,Q33126228,link
Rodsteen,family,19,Latin,,,create
Roiz,family,19,Latin,,,create
Sandnes,family,19,Latin,,Q30087111,link
d'Ailly,family,19,Latin,,Q42181386,link
Behrens,family,19,Latin,,Q814559,link
Landauer,family,19,Latin,,Q21504885,link
Roos,family,19,Latin,,Q10656802,link
Seckel,given,19,Latin,,,create
伏見宮,family,19,Han,,,create
해,family,19,Hangul,,,create
Hardenberg,family,19,Latin,,Q42119174,link
Robbins,family,19,Latin,,Q12800257,link
Blount,family,19,Latin,,Q16726240,link
Crespo,family,19,Latin,,Q30320642,link
Elgje,family,19,Latin,,,create
Goez,family,19,Latin,,,create
Rønnow,family,19,Latin,,Q48573798,link
Bethencourt,family,19,Latin,,,create
Finne,family,19,Latin,,Q27943551,link
Hoel,family,19,Latin,,Q30135304,link
Monk,family,19,Latin,,Q16877335,link
Sayn-Wittgenstein,family,19,Latin,,Q131425415,link
Viefville,family,19,Latin,,,create
Wilkerson,family,19,Latin,,Q593218,link
Bersagel,family,19,Latin,,,create
Bratland,family,19,Latin,,Q27892819,link
Dybedal,family,19,Latin,,,create
Eppenstein,family,19,Latin,,,create
Godchaux,family,19,Latin,,Q37304094,link
Lewisohn,family,19,Latin,,Q21492211,link
Sjursen,given,19,Latin,,,create
Slettemark,family,19,Latin,,,create
Doctor,family,19,Latin,,Q37137094,link
Dordia,family,19,Latin,,,create
Hodges,family,19,Latin,,Q16870817,link
Johanson,given,19,Latin,,,create
Loss,family,19,Latin,,Q37206910,link
Rhodes,family,19,Latin,,Q4398705,link
Silanus,given,19,Latin,,,create
Tuchet,family,19,Latin,,Q16978161,link
Wilhelmsen,family,19,Latin,,Q30080218,link
bt,given,19,Latin,,,create
Deutsch,family,19,Latin,,Q2675368,link
Eustace,given,19,Latin,,Q18915235,link
Giddings,family,19,Latin,,Q5559502,link
Kvasheim,family,19,Latin,,,create
Maudal,family,19,Latin,,,create
Nissen,family,19,Latin,,Q21449535,link
Peretz,given,19,Latin,,Q115632863,link
Todros,given,19,Latin,,,create
Tvihaug,family,19,Latin,,,create
Varus,given,19,Latin,,,create
Zaldivar,family,19,Latin,,,create
d'Antoing,family,19,Latin,,,create
Etheridge,family,19,Latin,,Q30433557,link
Guild,family,19,Latin,,Q19902338,link
Lautrec,family,19,Latin,,,create
Pasco,family,19,Latin,,Q16290912,link
Wedberg,family,19,Latin,,,create
d.,family,19,Latin,,,create
土屋,family,19,Han,,,create
Böhmen,family,19,Latin,,,create
Cuijk,family,19,Latin,,,create
Gudmundsen,given,19,Latin,,,create
Helfenstein,family,19,Latin,,,"AMBIGUOUS - review, do not create"
Leijonflycht,family,19,Latin,,,create
Majapahit,given,19,Latin,,,create
Nordskog,family,19,Latin,,,create
Oury,given,19,Latin,,,create
Trumbull,family,19,Latin,,Q29535079,link
Jourdain,given,19,Latin,,Q59533451,link
Quincy,family,19,Latin,,Q7272112,link
Reventlow,family,19,Latin,,Q32999999,link
Tondonagoro,family,19,Latin,,,create
Accioli,family,19,Latin,,,create
Bollestad,family,19,Latin,,,create
Chu,given,19,Latin,,,"AMBIGUOUS - review, do not create"
Din,given,19,Latin,,,create
Erøy,family,19,Latin,,,create
Gjøen,family,19,Latin,,,create
Ng,given,19,Latin,,,create
Omvik,family,19,Latin,,,create
青木,family,19,Han,,,create
Edmonds,family,19,Latin,,,create
Habsburg-Lorraine,family,19,Latin,,,create
Louvain,family,19,Latin,,,create
Mauléon,family,19,Latin,,,create
Meijer,given,19,Latin,,Q21141947,link
Schönburg-Glauchau,family,19,Latin,,,create
Soltan,given,19,Latin,,,create
אפשטיין,family,19,Hebrew,,,create
Bertram,given,19,Latin,,Q793802,link
Clement,given,19,Latin,,Q18180121,link
Kingsland,family,19,Latin,,,create
Kosala,given,19,Latin,,,create
Montesquiou,family,19,Latin,,,create
Radin,given,19,Latin,,,create
Satyaguna,given,19,Latin,,,create
Torson,given,19,Latin,,,create
Tugwell,family,19,Latin,,Q27887247,link
Yepes,family,19,Latin,,,create
d'Espagne,family,19,Latin,,,create
אלכסנדר,given,19,Hebrew,,,create
أبي,given,19,Arabic,,,create
物部,family,19,Han,,,create
Ajoe,given,19,Latin,,,create
Arpad,family,19,Latin,,Q132192462,link
Benoit,given,19,Latin,,Q19967779,link
Buenaventura,given,19,Latin,,Q1001781,link
Colette,given,19,Latin,,Q16275223,link
Frode,given,19,Latin,,Q1420110,link
Fu,given,19,Latin,,,"AMBIGUOUS - review, do not create"
Heine,given,19,Latin,,Q19772363,link
Hui,given,19,Latin,,,"AMBIGUOUS - review, do not create"
Mol,family,19,Latin,,,create
Munia,given,19,Latin,,Q56996866,link
NEO,family,19,Latin,,,create
Noyelles,family,19,Latin,,,create
Rostislav,given,19,Latin,,,"AMBIGUOUS - review, do not create"
Tønnesson,given,19,Latin,,,create
Yehiel,given,19,Latin,,,create
d'Abbeville,family,19,Latin,,,create
גיטל,given,19,Hebrew,,,create
الأصغر,given,19,Arabic,,,create
المطلبي,family,19,Arabic,,,create
別所,family,19,Han,,,create
宇都宮,family,19,Han,,,create
康,given,19,Han,,,create
清原,family,19,Han,,,create
潤,given,19,Han,,,create
(Hóng,given,19,Latin,,,create
(unk),given,19,Latin,,,create
Alfhild,given,19,Latin,,Q2778125,link
Amadeus,given,19,Latin,,Q685963,link
Apolonia,given,19,Latin,,Q20088044,link
Astorg,given,19,Latin,,,create
Ay.,given,19,Latin,,,create
Baba,given,19,Latin,,Q16154515,link
Bergitta,given,19,Latin,,,create
Brigitte,given,19,Latin,,,create
Camila,given,19,Latin,,Q19869011,link
Cäcilie,given,19,Latin,,Q30081081,link
Diane,given,19,Latin,,Q3026175,link
Dmitriyevich,patronymic,19,Latin,evich,,create
Einarson,given,19,Latin,,,create
Elžbieta,given,19,Latin,,Q16450465,link
Ermengard,given,19,Latin,,Q29550620,link
Ermengarda,given,19,Latin,,Q19689521,link
Eusebio,given,19,Latin,,Q18220126,link
Fleurette,given,19,Latin,,Q62598296,link
Floyd,given,19,Latin,,Q16275854,link
Fradche,given,19,Latin,,,create
Fray,given,19,Latin,,,create
Frederikke,given,19,Latin,,Q21400546,link
Gabriele,given,19,Latin,,,"AMBIGUOUS - review, do not create"
Gunnarsdotter,patronymic,19,Latin,sdotter,,create
Guðrún,given,19,Latin,,Q2709132,link
Hario,given,19,Latin,,,create
Henneke,given,19,Latin,,,create
Hindchen,given,19,Latin,,,create
Ilse,given,19,Latin,,,create
Isaiah,given,19,Latin,,Q920209,link
Jos,given,19,Latin,,Q1552037,link
Jytte,given,19,Latin,,Q1714752,link
Kristense,given,19,Latin,,,create
Kusuma,given,19,Latin,,,create
MARSEILLE,family,19,Latin,,,create
Maddalena,given,19,Latin,,Q16859828,link
Marcelino,given,19,Latin,,Q19953629,link
Mathissen,given,19,Latin,,,create
Michal,given,19,Latin,,,"AMBIGUOUS - review, do not create"
Milo,given,19,Latin,,Q18760887,link
Mindle,given,19,Latin,,,create
Molly,given,19,Latin,,Q13570373,link
Monica,given,19,Latin,,Q14013933,link
Nathalie,given,19,Latin,,Q16279976,link
Oleana,given,19,Latin,,,create
Petronelle,given,19,Latin,,Q21147231,link
Phillis,given,19,Latin,,Q78637905,link
RMP,given,19,Latin,,,create
Ragnild,given,19,Latin,,,create
Rawal,given,19,Latin,,,create
Rebeka,given,19,Latin,,Q18571609,link
Ruggero,given,19,Latin,,Q10862457,link
Soema,given,19,Latin,,,create
Sophronia,given,19,Latin,,Q80895212,link
Stella,given,19,Latin,,,"AMBIGUOUS - review, do not create"
Strömberg,family,19,Latin,,Q21504851,link
Tahir,given,19,Latin,,Q113098,link
Teresia,given,19,Latin,,Q18192713,link
Theodoric,given,19,Latin,,Q15884118,link
Torbjørnsdotter,patronymic,19,Latin,sdotter,,create
Tormodson,given,19,Latin,,,create
Uknf,given,19,Latin,,,create
Unasson,family,19,Latin,,,create
Veronica,given,19,Latin,,Q20020,link
Vilhelmine,given,19,Latin,,Q19816480,link
Villum,given,19,Latin,,Q22703948,link
Wetan,given,19,Latin,,,create
Ygnacio,given,19,Latin,,Q79605574,link
Yuryevich,patronymic,19,Latin,evich,Q96250230,link
[Sigurðarson],family,19,Latin,,,create
huì,given,19,Latin,,,create
ke-1,given,19,Latin,,,create
lV,given,19,Latin,,,create
Åke,given,19,Latin,,Q508894,link
Åsmund,given,19,Latin,,Q2056274,link
Þorgerður,given,19,Latin,,,create
épouse,given,19,Latin,,,create
Афанасьевич,given,19,Cyrillic,,,create
Боржигин,family,19,Cyrillic,,,create
Данила,given,19,Cyrillic,,,create
Лев,given,19,Cyrillic,,,create
Николаевич,given,19,Cyrillic,,,create
יואל,given,19,Hebrew,,,create
إسماعيل,given,19,Arabic,,,create
الأزدي,family,19,Arabic,,,create
سليمان,given,19,Arabic,,,create
一色,family,19,Han,,,create
台山市端芬镇冲凌村,family,19,Han,,,create
建昌南豐,family,19,Han,,,create
昂,given,19,Han,,,create
沖,given,19,Han,,,create
湛,given,19,Han,,,create
珪,given,19,Han,,,create
遠藤,family,19,Han,,,create
Hall,given,18,Latin,,Q1551523,link
dit,family,18,Latin,,,create
z,given,18,Latin,,,create
平,given,18,Han,,,create
Benedict,family,18,Latin,,Q15975432,link
Gwyn,family,18,Latin,,Q37451939,link
Wulff,given,18,Latin,,Q85910096,link
Axelsen,family,18,Latin,,Q16479458,link
Arnesen,family,18,Latin,,Q11959110,link
Galindo,given,18,Latin,,,"AMBIGUOUS - review, do not create"
Marinho,family,18,Latin,,Q28800739,link
Owen,given,18,Latin,,Q3887735,link
Christophersen,family,18,Latin,,Q27888863,link
Centelles,family,18,Latin,,,create
Dyfnwal,given,18,Latin,,,create
Faro,family,18,Latin,,,create
Stygge,family,18,Latin,,,create
Avellaneda,family,18,Latin,,,create
Berger,family,18,Latin,,Q1260304,link
Dudley,given,18,Latin,,Q13907203,link
Orlamünde,family,18,Latin,,,create
Petersen,family,18,Latin,,,create
Sussmann,family,18,Latin,,Q37318898,link
Pedersdtr,given,18,Latin,,,create
Giray,family,18,Latin,,Q94671316,link
Meira,family,18,Latin,,,create
Anhalt,family,18,Latin,,Q37512202,link
Glob,family,18,Latin,,Q50332754,link
Case,family,18,Latin,,Q16852655,link
Gaon,family,18,Latin,,Q37477677,link
Klemsdal,family,18,Latin,,,create
Schreiber,family,18,Latin,,Q573375,link
Casley,family,18,Latin,,,create
Jönsson,family,18,Latin,,Q21510655,link
Osborn,family,18,Latin,,Q16880804,link
Tello,family,18,Latin,,Q16884383,link
a,family,18,Latin,,,create
Hagen,family,18,Latin,,Q1568372,link
Nemanjić,family,18,Latin,,Q76830115,link
Rapp,family,18,Latin,,Q414592,link
Horn,family,18,Latin,,Q735211,link
Irons,family,18,Latin,,Q27601633,link
Jacobson,given,18,Latin,,,create
Koesoemah,given,18,Latin,,,create
Nassau-Siegen,family,18,Latin,,,create
Palmer,family,18,Latin,,Q568872,link
Spildo,family,18,Latin,,Q122838816,link
Buchsbaum,family,18,Latin,,Q21512745,link
Ceballos,family,18,Latin,,,create
Valades,family,18,Latin,,,create
염,given,18,Hangul,,,create
Dispecker,family,18,Latin,,Q105991640,link
Macías,family,18,Latin,,,create
Rhun,given,18,Latin,,Q21674667,link
Rimestad,family,18,Latin,,Q35026324,link
Travers,given,18,Latin,,Q51361016,link
الثاني,family,18,Arabic,,,create
李氏,given,18,Han,,,create
Garlington,family,18,Latin,,Q5523479,link
Jansen,given,18,Latin,,Q21148047,link
Mørch,family,18,Latin,,Q6950396,link
Simons,family,18,Latin,,Q18327304,link
Urrea,family,18,Latin,,,create
Vogt,family,18,Latin,,Q15886016,link
Folc,family,18,Latin,,,create
Fosse,family,18,Latin,,Q26884133,link
Moreland,family,18,Latin,,Q16877401,link
Thérouanne,family,18,Latin,,,create
Azariah,given,18,Latin,,Q63984714,link
Cornejo,family,18,Latin,,Q21489095,link
Denis,given,18,Latin,,,"AMBIGUOUS - review, do not create"
Eskeles,family,18,Latin,,,create
Ostheim,family,18,Latin,,,create
Benton,family,18,Latin,,Q13552168,link
Pate,family,18,Latin,,Q17284823,link
Stade,family,18,Latin,,,create
Sør-Varhaug,family,18,Latin,,,create
Bjørke,family,18,Latin,,,create
Brandvik,family,18,Latin,,,create
Arnesson,given,18,Latin,,,create
Ebna,family,18,Latin,,,create
Gallego,family,18,Latin,,,create
Godden,family,18,Latin,,Q1324184,link
Goldschmied-Hameln,family,18,Latin,,,create
Halvdansson,family,18,Latin,,Q122836593,link
Lipmann,given,18,Latin,,,create
Néill,family,18,Latin,,,create
Baur,family,18,Latin,,Q811688,link
Fredriksson,family,18,Latin,,Q1453326,link
GRM,given,18,Latin,,,create
Krog,family,18,Latin,,Q21775012,link
Mendanha,family,18,Latin,,,create
Ravndal,family,18,Latin,,,create
Reinoso,family,18,Latin,,,create
Ringøy,family,18,Latin,,,create
Schott,family,18,Latin,,Q297063,link
Schwabacher,family,18,Latin,,Q63865664,link
Tuoba,given,18,Latin,,,create
Galtung,family,18,Latin,,Q5519382,link
Golfín,family,18,Latin,,,create
Naharro,family,18,Latin,,,create
Orheim,family,18,Latin,,Q33090623,link
Amador,family,18,Latin,,Q16002746,link
Chiny,family,18,Latin,,,create
Grim,given,18,Latin,,,create
JACOB,family,18,Latin,,Q1677404,link
Lepidus,given,18,Latin,,,create
Vatvedt,family,18,Latin,,,create
Villaseñor,family,18,Latin,,,create
Aasland,family,18,Latin,,Q303635,link
Aznar,given,18,Latin,,Q47528450,link
Cralle,family,18,Latin,,,create
Davidsen,given,18,Latin,,,create
Figland,family,18,Latin,,,create
Henegouwen,family,18,Latin,,,create
Ludvigsen,given,18,Latin,,,create
Madison,given,18,Latin,,Q19776296,link
Schjelderup,family,18,Latin,,Q21481516,link
Truman,given,18,Latin,,Q55560131,link
Villa,family,18,Latin,,Q13553208,link
Zerbe,family,18,Latin,,Q37489622,link
d'Amiens,family,18,Latin,,Q104593491,link
Aleramici,family,18,Latin,,,create
Barby,family,18,Latin,,Q30428807,link
Bond,family,18,Latin,,Q15789303,link
Brøndlund,family,18,Latin,,,create
Godoy,family,18,Latin,,,create
Guttormson,given,18,Latin,,,create
Hangest,family,18,Latin,,,create
Lepida,given,18,Latin,,,create
Regensburg,family,18,Latin,,,create
Rothbarth,family,18,Latin,,,create
Solomons,family,18,Latin,,Q37294506,link
Zivy,family,18,Latin,,,create
Bidwell,family,18,Latin,,Q16833400,link
Buck,family,18,Latin,,Q14915267,link
Chaslus,family,18,Latin,,,create
Cuadra,family,18,Latin,,,create
Fenn,family,18,Latin,,Q21493950,link
Heale,family,18,Latin,,Q16870626,link
Lydvo,family,18,Latin,,Q30228445,link
Löwenthal,family,18,Latin,,Q21491907,link
Olcott,family,18,Latin,,Q16880692,link
Salmundson,given,18,Latin,,,create
Shor,family,18,Latin,,,create
Skorve,family,18,Latin,,,create
Tokheim,family,18,Latin,,,create
Allah,given,18,Latin,,,create
Auklend,family,18,Latin,,,create
Ditisheim,family,18,Latin,,Q48689284,link
Galvan,family,18,Latin,,Q37459922,link
Hanssen,given,18,Latin,,,create
Haskins,family,18,Latin,,Q21491379,link
Lillevik,family,18,Latin,,,create
Mordaunt,family,18,Latin,,,"AMBIGUOUS - review, do not create"
Sivertson,given,18,Latin,,,create
ke-4,given,18,Latin,,,create
39,family,18,none,,,create
Aubø,family,18,Latin,,,create
Constable,family,18,Latin,,Q20726765,link
Diessen,family,18,Latin,,,create
Lomagne,family,18,Latin,,,create
Mowat,family,18,Latin,,Q21512270,link
Puy,family,18,Latin,,,create
Rostislavich,given,18,Latin,,,create
Stocker,family,18,Latin,,Q21492431,link
Syeikh,given,18,Latin,,,create
Sør-Braut,family,18,Latin,,,create
Wan,given,18,Latin,,,create
ליב,given,18,Hebrew,,,create
소,given,18,Hangul,,,create
Bassevi,family,18,Latin,,,create
Garlande,family,18,Latin,,,create
Maceda,family,18,Latin,,,create
Pompeius,given,18,Latin,,,create
Roma,given,18,Latin,,Q3940408,link
Salmundsen,given,18,Latin,,,create
Vivian,given,18,Latin,,Q650494,link
сын,given,18,Cyrillic,,,create
ואהל,family,18,Hebrew,,,create
厚,given,18,Han,,,create
(Putri,given,18,Latin,,,create
Arifin,given,18,Latin,,,create
Chao,given,18,Latin,,,create
Elida,given,18,Latin,,Q11967092,link
Fruela,given,18,Latin,,Q55090651,link
Galuh,given,18,Latin,,,create
Jagiellon,family,18,Latin,,Q61121644,link
Kusumo,given,18,Latin,,,create
Paulus,given,18,Latin,,Q4391614,link
Pol,family,18,Latin,,,create
Polonia,given,18,Latin,,Q125627602,link
Rawleigh,given,18,Latin,,,create
Reinhard,given,18,Latin,,Q18177338,link
Soler,family,18,Latin,,Q30330126,link
Tjølsen,given,18,Latin,,,create
Vaulx,family,18,Latin,,,create
Wen,given,18,Latin,,,"AMBIGUOUS - review, do not create"
al-Dawla,given,18,Latin,,,create
Бутурлин,family,18,Cyrillic,,,create
황,family,18,Hangul,,,create
(R.,given,18,Latin,,,create
Ariobarzanes,given,18,Latin,,,create
Bambang,given,18,Latin,,Q98651288,link
Barend,given,18,Latin,,Q14615018,link
Bermejo,family,18,Latin,,,create
Demak,given,18,Latin,,,create
Dipati,given,18,Latin,,,create
Dobbins,family,18,Latin,,Q37545866,link
Eudoxia,given,18,Latin,,,"AMBIGUOUS - review, do not create"
Girard,given,18,Latin,,Q27772669,link
Godtzen,family,18,Latin,,,create
Jonet,given,18,Latin,,Q84306597,link
Jørgensson,given,18,Latin,,,create
Kidul,given,18,Latin,,,create
Lady,given,18,Latin,,Q62826991,link
McAdams,family,18,Latin,,Q27614803,link
Ming,given,18,Latin,,,"AMBIGUOUS - review, do not create"
Nicolau,given,18,Latin,,Q18219737,link
Sergius,given,18,Latin,,Q20164,link
Yin,given,18,Latin,,Q106918717,link
Ярославна,given,18,Cyrillic,,,create
княжна,family,18,Cyrillic,,,create
伊集院,family,18,Han,,,create
正親町,family,18,Han,,,create
滝川,family,18,Han,,,create
(Sì,given,18,Latin,,,create
Abdurrahman,given,18,Latin,,Q20000047,link
Adalberto,given,18,Latin,,Q18190437,link
Agnese,given,18,Latin,,Q15622784,link
Agrippa,given,18,Latin,,Q19987904,link
Ahron,given,18,Latin,,,create
Alberta,given,18,Latin,,Q687536,link
Albretsdatter,patronymic,18,Latin,sdatter,,create
Alv,given,18,Latin,,Q30131738,link
Angeline,given,18,Latin,,Q18145244,link
Archibald,given,18,Latin,,Q19767773,link
Ari,given,18,Latin,,Q1986394,link
Arnulf,given,18,Latin,,Q18978276,link
Aryey,given,18,Latin,,,create
Ashikaga,given,18,Latin,,,create
Ashot,given,18,Latin,,Q18978278,link
Baard,given,18,Latin,,Q30134538,link
Basil,given,18,Latin,,,"AMBIGUOUS - review, do not create"
Beauharnais,family,18,Latin,,Q47092476,link
Bernice,given,18,Latin,,,create
Bjørg,given,18,Latin,,Q3356271,link
Brianda,given,18,Latin,,Q19689387,link
Bustillo,family,18,Latin,,,create
Cecile,given,18,Latin,,Q20148710,link
Cocceius,given,18,Latin,,,create
Concepción,given,18,Latin,,,"AMBIGUOUS - review, do not create"
DIX,family,18,Latin,,Q21504838,link
Damiana,given,18,Latin,,Q29550618,link
Dax,family,18,Latin,,Q37448661,link
Dmitry,given,18,Latin,,,"AMBIGUOUS - review, do not create"
Dna.,given,18,Latin,,,create
Domenico,given,18,Latin,,Q1765453,link
Dona,given,18,Latin,,Q19968509,link
Dórdia,given,18,Latin,,,create
Eileen,given,18,Latin,,Q1303942,link
Eiriksdatter,patronymic,18,Latin,sdatter,,create
Elisabetta,given,18,Latin,,Q1330587,link
Eyang,given,18,Latin,,,create
Feibelman,given,18,Latin,,,create
Fredrika,given,18,Latin,,Q5499550,link
Geneviève,given,18,Latin,,Q18188067,link
Golda,given,18,Latin,,Q20000387,link
Gregorius,given,18,Latin,,Q18558712,link
Gudbrand,given,18,Latin,,Q12715173,link
Gulliksdatter,patronymic,18,Latin,sdatter,,create
Halla,given,18,Latin,,,create
Halvdan,given,18,Latin,,Q25114282,link
Hermenegildo,given,18,Latin,,Q28798243,link
Ingolf,given,18,Latin,,Q1663243,link
JOSÉ,given,18,Latin,,,"AMBIGUOUS - review, do not create"
Joakimsdatter,patronymic,18,Latin,sdatter,,create
Joao,given,18,Latin,,,create
Jurgis,given,18,Latin,,Q1713859,link
Jón,given,18,Latin,,Q1715043,link
KRT,given,18,Latin,,,create
Ketil,given,18,Latin,,Q19827695,link
Knendlé,given,18,Latin,,,create
Ludovico,given,18,Latin,,Q6698984,link
Lunel,family,18,Latin,,,create
Líu,family,18,Latin,,,create
Magnusdotter,patronymic,18,Latin,sdotter,,create
Malte,given,18,Latin,,Q355713,link
Margretha,given,18,Latin,,Q21142589,link
Markusdatter,patronymic,18,Latin,sdatter,,create
Melanie,given,18,Latin,,Q1064920,link
Moh,given,18,Latin,,,create
Mordecai,given,18,Latin,,Q3862863,link
Narcisa,given,18,Latin,,Q12797301,link
Nasir,given,18,Latin,,,create
Nicoline,given,18,Latin,,Q18691540,link
Oddmund,given,18,Latin,,Q11993175,link
Petersdotter,patronymic,18,Latin,sdotter,,create
Petta,given,18,Latin,,,create
RP,given,18,Latin,,,create
Ramrez,family,18,Latin,,,create
Raymonde,given,18,Latin,,Q19362129,link
Reizchen,given,18,Latin,,,create
Salim,given,18,Latin,,Q18918119,link
Shaul,given,18,Latin,,Q20792115,link
Stanisław,given,18,Latin,,Q19801658,link
Staur,family,18,Latin,,,create
Tage,given,18,Latin,,Q2387848,link
Temür,given,18,Latin,,Q99180252,link
Thelma,given,18,Latin,,Q3523520,link
Tobiasdatter,patronymic,18,Latin,sdatter,,create
Tomasdatter,patronymic,18,Latin,sdatter,,create
Tormodsdtr.,given,18,Latin,,,create
Vladislav,given,18,Latin,,,"AMBIGUOUS - review, do not create"
Volrad,given,18,Latin,,Q133569517,link
Willie,given,18,Latin,,Q18572334,link
Zachariah,given,18,Latin,,Q18341023,link
Zerle,given,18,Latin,,,create
Zev,given,18,Latin,,Q16282894,link
d'Angiò,family,18,Latin,,,create
giminės,family,18,Latin,,,create
ki,given,18,Latin,,,create
Øllegaard,given,18,Latin,,Q115370953,link
Акинфов,family,18,Cyrillic,,,create
Давыд,given,18,Cyrillic,,,create
Давыдов-Минчаков,family,18,Cyrillic,,,create
Шастунов,family,18,Cyrillic,,,create
אב''ד,family,18,Hebrew,,,create
זכריה,given,18,Hebrew,,,create
נטע,given,18,Hebrew,,,create
الباهلي,family,18,Arabic,,,create
البلوي,family,18,Arabic,,,create
العوذلي,family,18,Arabic,,,create
الفزاري,family,18,Arabic,,,create
معاوية,given,18,Arabic,,,create
倉橋,family,18,Han,,,create
勝,given,18,Han,,,create
壽,given,18,Han,,,create
弘,given,18,Han,,,create
敏,given,18,Han,,,create
斯波,family,18,Han,,,create
明,given,18,Han,,,create
會稽山陰,family,18,Han,,,create
榮,given,18,Han,,,create
河間鄚縣,family,18,Han,,,create
泉州永春,family,18,Han,,,create
淑,given,18,Han,,,create
潤州,family,18,Han,,,create
熙,given,18,Han,,,create
禮,given,18,Han,,,create
純,given,18,Han,,,create
臺山市端芬镇冲凌村,family,18,Han,,,create
荒尾,family,18,Han,,,create
Burnham,given,17,Latin,,Q29358959,link
Williams,given,17,Latin,,Q50841956,link
Woolcock,given,17,Latin,,,create
משה,family,17,Hebrew,,,create
Osorio,given,17,Latin,,,create
Curtis,given,17,Latin,,Q19817852,link
Gunnarson,family,17,Latin,,Q5619174,link
Andreasson,family,17,Latin,,Q21450629,link
Trahaearn,family,17,Latin,,,create
Gonzaga,given,17,Latin,,Q57544475,link
Conway,given,17,Latin,,Q16275234,link
Lyon,given,17,Latin,,,"AMBIGUOUS - review, do not create"
Berntsen,family,17,Latin,,Q21508794,link
Svensson,given,17,Latin,,,create
