token,usage,bearers,script,marker,existing_qid,action
Isabella,given,215,Latin,,,"AMBIGUOUS - review, do not create"
ben,family,214,Latin,,,create
Rodrigues,family,214,Latin,,Q16471351,link
ferch,family,214,Latin,,,create
Alvarez,family,214,Latin,,Q25261946,link
Rosenkrantz,family,214,Latin,,,"AMBIGUOUS - review, do not create"
Blanche,given,214,Latin,,Q881391,link
Persdotter,patronymic,214,Latin,sdotter,,create
范陽,family,214,Han,,,create
Konrad,given,213,Latin,,Q18156186,link
Löb,given,212,Latin,,,create
吳郡吳縣,family,212,Han,,,create
KHOO,family,211,Latin,,Q37548132,link
Alfonso,given,211,Latin,,Q18180808,link
A.,given,211,Latin,,Q19803442,link
Martin,family,210,Latin,,Q12035675,link
Lorenzo,given,210,Latin,,,create
Eli,given,210,Latin,,,"AMBIGUOUS - review, do not create"
Iver,given,210,Latin,,Q11977747,link
Mayer,given,209,Latin,,Q98962302,link
Ferdinand,given,209,Latin,,Q3276175,link
Toro,family,208,Latin,,Q21487242,link
A,given,208,Latin,,,create
Jonsdotter,patronymic,208,Latin,sdotter,,create
Carlsson,family,207,Latin,,Q21492117,link
Rose,given,207,Latin,,Q3585338,link
Tjora,family,207,Latin,,,create
5,given,207,none,,,create
Williams,family,206,Latin,,Q1688722,link
Andrea,given,205,Latin,,,"AMBIGUOUS - review, do not create"
Bernardo,given,204,Latin,,Q11687769,link
Arne,given,204,Latin,,Q645757,link
Jonathan,given,204,Latin,,,"AMBIGUOUS - review, do not create"
Henriksdatter,patronymic,204,Latin,sdatter,,create
Sousa,family,203,Latin,,Q2304853,link
Lara,family,203,Latin,,Q17496645,link
Karlsson,family,202,Latin,,Q16455420,link
Josepha,given,202,Latin,,Q19693378,link
Toresdatter,patronymic,202,Latin,sdatter,,create
Albrecht,given,201,Latin,,Q18180401,link
Berthe,given,201,Latin,,Q18180820,link
Umm,given,200,Latin,,,create
Bassett,family,199,Latin,,Q16479741,link
Dewi,given,199,Latin,,Q131617210,link
Василий,given,199,Cyrillic,,,create
Cornelius,given,198,Latin,,Q17518364,link
Charlotta,given,198,Latin,,Q1067071,link
Karoline,given,198,Latin,,Q16277675,link
Pedersen,family,197,Latin,,Q23751947,link
King,given,197,Latin,,Q18508917,link
Vélez,family,197,Latin,,Q27249293,link
Sømme,family,197,Latin,,Q35026422,link
Aaron,given,197,Latin,,,"AMBIGUOUS - review, do not create"
Adipati,given,197,Latin,,,create
Jørgensen,given,196,Latin,,,create
Guiomar,given,196,Latin,,Q62092258,link
Knud,given,196,Latin,,Q18565341,link
Rr,given,196,Latin,,,create
黄,family,195,Han,,,create
Sotomayor,family,195,Latin,,Q21494021,link
Herman,given,195,Latin,,Q16276646,link
Laura,given,195,Latin,,Q429948,link
Johannesson,given,194,Latin,,,create
Violante,given,194,Latin,,Q4013800,link
Landau,family,193,Latin,,,"AMBIGUOUS - review, do not create"
Olofsson,family,193,Latin,,Q23645132,link
Gutierrez,family,193,Latin,,,create
Petter,given,193,Latin,,Q15897204,link
Stanley,family,192,Latin,,Q2331622,link
Elise,given,192,Latin,,,create
Shmuel,given,191,Latin,,Q20088029,link
Meir,given,191,Latin,,Q98962084,link
Ignacia,given,191,Latin,,Q21401554,link
Васильевич,given,191,Cyrillic,,,create
Vicente,given,190,Latin,,Q16741111,link
Einar,given,190,Latin,,Q1305819,link
N.,given,189,Latin,,Q19803511,link
Mirza,given,189,Latin,,Q20000738,link
"""the",given,189,Latin,,,create
Hugh,given,189,Latin,,Q839387,link
Cecilia,given,189,Latin,,Q859234,link
Harriet,given,189,Latin,,Q5486209,link
Betancur,family,188,Latin,,Q12785828,link
Isak,given,188,Latin,,Q18198729,link
May,given,187,Latin,,Q1746523,link
