qid	regnal	lineage	name	geni_ids
Q135579395	44	Izumo	Izumo no Kanemune	6000000227331915821
Q135579397	45	Izumo	Izumo no Kanetada	6000000227331730867
Q135579398	46	Izumo	Izumo no Kanetsune	6000000227334361840
Q135579399	47	Izumo	Izumo no Munetaka	6000000227331623962
Q135579400	48	Izumo	Izumo no Takafusa	6000000227331729891
Q135579402	49	Izumo	Izumo no Takatsuna	6000000227331840857
Q135579404	50	Izumo	Izumo no Masataka	6000000227331607945
Q135579406	51	Izumo	Izumo no Yoshitaka	6000000227331852838
Q135579407	52	Izumo	Izumo no Yasutaka	6000000019403016022
Q135579409	53	Izumo	Izumo no Takatoki	6000000019459698488
Q135579414	54	Izumo	Izumo no Kiyotaka	6000000019460072018
Q135579416	55	Kitajima	Kitajima no Sadataka	6000000019459854230
Q135579415	55	Senge	Senge no Takamune	6000000019459773306
Q135579421	56	Kitajima	Kitajima no Yoshitaka	6000000227335094894
Q135579420	56	Senge	Senge no Naokuni	6000000019459924115
Q135579425	57	Kitajima	Kitajima no Yukitaka	6000000227335131944
Q135579441	57	Senge	Senge no Takakuni	6000000019459850459
Q135579447	58	Kitajima	Kitajima no Takataka	6000000227335301867
Q135579455	58	Senge	Senge no Mochikuni	6000000019459881225
Q135579457	59	Kitajima	Kitajima no Yoshitaka	6000000227335324856
Q135579464	59	Senge	Senge no Naonobu	6000000019459822378
Q135579466	60	Kitajima	Kitajima no Masataka	6000000227335360837
Q135579471	60	Senge	Senge no Takatoshi	6000000019459119872
Q135579475	61	Kitajima	Kitajima no Hidetaka	6000000227335366839
Q135579478	61	Senge	Senge no Toyotoshi	6000000019460177052
Q135579485	62	Kitajima	Kitajima no Hisataka	6000000227335155963
Q135579472	62	Senge	Senge no Takakatsu	6000000227334759839
Q135579488	63	Kitajima	Kitajima no Hirokatsu	6000000227335430822
Q135579476	63	Senge	Senge no Naokatsu	6000000227334350078;6000000227335699823
Q135579492	64	Kitajima	Kitajima no Harutaka	6000000227335378827
Q135579477	64	Senge	Senge no Yoshikatsu	6000000227331762828
Q135579497	65	Kitajima	Kitajima no Tsunetaka	6000000227335430827
Q135579481	65	Senge	Senge no Yoshihiro	6000000227331756829
Q135579502	66	Kitajima	Kitajima no Kanetaka	6000000227335397826
Q135579487	66	Senge	Senge no Motokatsu	6000000227335415836
Q135579503	67	Kitajima	Kitajima no Michitaka	6000000227335299879
Q135579491	67	Senge	Senge no Takanou	6000000227335444826
Q135579506	68	Kitajima	Kitajima no Naotaka	6000000227335344839
Q135579496	68	Senge	Senge no Takamitsu	6000000227335353899
Q135579494	69	Senge	Senge no Takafusa	6000000227331605900
Q135579495	70	Senge	Senge no Naoharu	6000000227331698868
Q135579493	71	Senge	Senge no Munetoshi	6000000227331623899
Q135579501	72	Senge	Senge no Hiromitsu	6000000227335472827
Q135579498	73	Senge	Senge no Toyomasa	6000000227331674921
Q135579499	74	Senge	Senge no Toyomi	6000000227331577963
Q135579505	75	Senge	Senge no Toshikatsu	6000000227331729823
Q135579508	76	Senge	Senge no Toshihide	6000000227331690863
Q135579362		other	Ada no Mikoto	6000000001893413214
Q136908598		other	Amami Haniyasu no Mikoto	6000000001893436003
Q18236076		other	En'ya Yoriyasu	6000000012562003977
Q135579470		other	Higashianatsuu	6000000227331719906
Q135579490		other	Higashinobutoshi	6000000227331674896
Q135579486		other	Higashisadanobu	6000000227331690912
Q135579500		other	Higashisadatsune	6000000227331650867
Q135579434		other	Higashisadayori	6000000227331888821
Q135579411		other	Higashitakakage	6000000019459424477
Q135579454		other	Higashitakanori	6000000227331694933
Q135579423		other	Higashitakataka	6000000227331845853
Q135579418		other	Higashitokitaka	6000000227331611963
Q135579462		other	Higashiyasunori	6000000227331577978
Q135579483		other	Higashiyoshiakira	6000000227331698934
Q135579410		other	Hiraoka no Sadataka	6000000019459238863
Q135579396		Izumo	Izumo no Kaneie	6000000227334274865
Q86734749		other	Kushiyatama-no-kami	6000000012789241315
Q135579424		other	Ookuma no Hiro	6000000227334843823
Q7424985		other	Sasaki Hideyoshi	6000000012561014967
Q11382323		other	Sasaki Tametoshi	6000000012561575227
Q11382304		other	Sasaki Yasukiyo	6000000001753971014
Q4806168		other	Sasaki Yoshikiyo	6000000012561210538
Q135579463		other	Takaoka no Shigeyasu	6000000227331730906
Q11558664		other	Unagami no Isachi	6000000227350297833
