token	usage	bearers	existing_item	action	native_label	p144_targets	p144_names	p144_ambiguous	p144_unknown	p144_withdrawn	p5278_pair	stem	p407
jokabson	patronymic	1		create	jokabson	Q16747395	Jakob					jokab	
jokildsen	patronymic	2		create	jokildsen				Jokild			jokild	Q9043
jokobsdatter	patronymic	1		create	jokobsdatter	Q16747395	Jakob					jokob	Q9043
jokobsdotter	patronymic	1		create	jokobsdotter	Q16747395	Jakob					jokobs	Q9027
jokullson	patronymic	1		create	jokullson				Jokull			jokull	
jokumsdatter	patronymic	4		create	jokumsdatter	Q16429390 Q139769074	Jochum Jokum				jokumsen	jokum	Q9043
jokumsen	patronymic	2		create	jokumsen	Q16429390 Q139769074	Jochum Jokum				jokumsdatter	jokum	Q9043
jokumson	patronymic	1		create	jokumson	Q139769074	Jokum				jokumsdatter	jokum	
jonadatter	patronymic	1		create	jonadatter			Jon(4)			jonasson	jona	
jonadotter	patronymic	1		create	jonadotter	Q1667407	Joonas				jonasson	jona	
jonae	patronymic	17		create	jonae			Jonas(2) Jon(4)					
jonaedotter	patronymic	1		create	jonaedotter			Jonas(2)			jonaeson	jonae	
jonaeson	patronymic	3		create	jonaeson			Jonas(2)			jonaedotter	jonae	
jonaesson	patronymic	1		create	jonaesson			Jonas(2)			jonaedotter	jonae	Q9027
jonansdotter	patronymic	1		create	jonansdotter			Jonas(2)				jonans	Q9027
jonasdatter	patronymic	229		create	jonasdatter	Q14436586 Q2246251	Jone Jens	Jonas(2)			jonasson	jona	Q9043
jonasdotter	patronymic	322		create	jonasdotter	Q1667407 Q10989273 Q47526977 Q2117521	Joonas Johan Jöns Johannes	Jonas(2) Jon(4)	JONAE		jonasson	jonas	Q9027
jonasen	patronymic	75		create	jonasen	Q10989273	Johan	Jonas(2)			jonasdotter	jona	Q9043
jonason	patronymic	2		create	jonason			Jonas(2)			jonasdotter	jona	
jonassen	patronymic	127		create	jonassen	Q4925477	John	Jonas(2) Jon(4)			jonasdotter	jonas	Q9043
jonasson	patronymic	411		create	jonasson	Q1667407 Q47526977 Q10989273 Q11978684	Joonas Jöns Johan Joen	Jonas(2) Jon(4)			jonasdotter	jona	Q9027
jonatansdotter	patronymic	7		create	jonatansdotter	Q1158394 Q19798519	Jonathan Jonatan				jonatansson	jonatans	Q9027
jonatansson	patronymic	9		create	jonatansson	Q1158394 Q19798519	Jonathan Jonatan				jonatansdotter	jonatan	Q9027
jonathansdotter	patronymic	3		create	jonathansdotter	Q1158394	Jonathan				jonathansson	jonathans	Q9027
jonathansson	patronymic	4		create	jonathansson	Q1158394	Jonathan				jonathansdotter	jonathan	Q9027
jondatter	patronymic	2		create	jondatter			Jon(4)			jonsson	jon	
jondotter	patronymic	1		create	jondotter			Jon(4)			jonsson	jon	
jonesdatter	patronymic	31		create	jonesdatter	Q14436586	Jone	Jon(4)	Johne		joneson	jone	Q9043
jonesdotter	patronymic	2		create	jonesdotter	Q14436586	Jone				joneson	jones	Q9027
jonesen	patronymic	4		create	jonesen	Q14436586	Jone				jonesdatter	jone	Q9043
joneson	patronymic	31		create	joneson	Q14436586	Jone				jonesdatter	jone	
jonesson	patronymic	13		create	jonesson	Q14436586	Jone	Jonas(2)	Johne		jonesdatter	jone	Q9027
jonsdatter	patronymic	1129		create	jonsdatter	Q4925477 Q11978684 Q14436586 Q2246251 Q10989273 Q2117521 Q47526977	John Joen Jone Jens Johan Johannes Jöns	Jon(4) Jonas(2) Jan(6) jon(4)			jonsson	jon	Q9043
jonsdotter	patronymic	1803		create	jonsdotter	Q10989273 Q47526977 Q11978684 Q123820137 Q2117521 Q4925477 Q14436586 Q1715043	Johan Jöns Joen Jons Johannes John Jone Jón	Jonas(2) Jon(4) jon(4)			jonsson	jons	Q9027
jonsen	patronymic	771		create	jonsen	Q4925477 Q11978684 Q14436586 Q2246251 Q10989273 Q2117521	John Joen Jone Jens Johan Johannes	Jon(4) Jonas(2) jon(4)			jonsdotter	jon	Q9043
jonson	patronymic	449		create	jonson	Q14436586 Q4925477 Q2117521 Q123820137	Jone John Johannes JONS	Jon(4) Jonas(2) Jan(6) JON(4)			jonsdotter	jon	
jonssen	patronymic	5		create	jonssen			Jon(4)			jonsdotter	jons	Q9043
jonsson	patronymic	1916		create	jonsson	Q10989273 Q47526977 Q2117521 Q11978684 Q4925477 Q2246251 Q14436586 Q123820137 Q1715043	Johan Jöns Johannes Joen John Jens Jone Jons Jón	Jon(4) Jonas(2) Jan(6) jon(4) JONAS(2) Joan(4)	Jöen JJon		jonsdotter	jon	Q9027
jonæ	patronymic	46		create	jonæ			Jonas(2) Jon(4)					
jonædatter	patronymic	1		create	jonædatter			Jonas(2)				jonæ	
joonasdotter	patronymic	1		create	joonasdotter			Jonas(2)				joonas	Q9027
joosuasdotter	patronymic	1		create	joosuasdotter	Q18327995	Josua				joosuasson	joosuas	Q9027
joosuasson	patronymic	1		create	joosuasson	Q18327995	Josua				joosuasdotter	joosua	Q9027
jorgensdatter	patronymic	6		create	jorgensdatter	Q13409273	Jørgen				jorgensen	jorgen	Q9043
jorgensen	patronymic	14		create	jorgensen	Q13409273	Jørgen				jorgensdatter	jorgen	Q9043
jorgenson	patronymic	2		create	jorgenson	Q13409273	Jørgen				jorgensdatter	jorgen	
jorgensson	patronymic	1		create	jorgensson	Q87362746	Jorgen				jorgensdatter	jorgen	Q9027
jorisdatter	patronymic	1		create	jorisdatter			Joris(2)				jori	Q9043
jorisdotter	patronymic	1		create	jorisdotter			Joris(2)				joris	Q9027
joritzsson	patronymic	2		create	joritzsson				Joritz			joritz	Q9027
jormunreksson	patronymic	1		create	jormunreksson				Jormunrek			jormunrek	Q9027
josefsdatter	patronymic	34		create	josefsdatter	Q15730712 Q471788	Josef Joseph				josefsson	josef	Q9043
josefsdotter	patronymic	97		create	josefsdotter	Q15730712 Q471788 Q20631450	Josef Joseph Josephus				josefsson	josefs	Q9027
josefsen	patronymic	7		create	josefsen	Q15730712 Q471788	Josef Joseph				josefsdotter	josef	Q9043
josefson	patronymic	15		create	josefson	Q15730712 Q471788	Josef Joseph				josefsdotter	josef	
josefsson	patronymic	130		create	josefsson	Q15730712 Q471788 Q20631450	Josef Joseph Josephus				josefsdotter	josef	Q9027
josephi	patronymic	5		create	josephi	Q20631450	Josephus						
josephsdatter	patronymic	19		create	josephsdatter	Q471788	Joseph				josephsson	joseph	Q9043
josephsdotter	patronymic	23		create	josephsdotter	Q471788 Q15730712 Q20631450 Q18022871	Joseph Josef Josephus Joosef				josephsson	josephs	Q9027
josephsen	patronymic	10		create	josephsen	Q471788	Joseph				josephsdotter	joseph	Q9043
josephsson	patronymic	25		create	josephsson	Q15730712 Q471788 Q18022871 Q20631450	Josef Joseph Joosef Josephus				josephsdotter	joseph	Q9027
josiasdotter	patronymic	2		create	josiasdotter	Q18181294	Josias				josiasson	josias	Q9027
josiasson	patronymic	1		create	josiasson	Q18181294	Josias				josiasdotter	josia	Q9027
jostdatter	patronymic	1		create	jostdatter	Q18179742	Jost				jostsson	jost	
jostdotter	patronymic	4		create	jostdotter	Q18179742	Jost				jostsson	jost	
josteinsdotter	patronymic	1		create	josteinsdotter	Q1781832	Jostein				josteinsen	josteins	Q9027
josteinsen	patronymic	1		create	josteinsen	Q1781832	Jostein				josteinsdotter	jostein	Q9043
josteinson	patronymic	1		create	josteinson	Q1781832	Jostein				josteinsdotter	jostein	
jostsdatter	patronymic	1		create	jostsdatter	Q19914462	Just				jostsson	jost	Q9043
jostsdotter	patronymic	3		create	jostsdotter	Q18179742	Jost				jostsson	josts	Q9027
jostsen	patronymic	2		create	jostsen	Q18179742	Jost				jostdotter	jost	Q9043
jostson	patronymic	1		create	jostson	Q18179742	Jost				jostdotter	jost	
jostsson	patronymic	8		create	jostsson	Q18179742	Jost				jostdotter	jost	Q9027
josuasson	patronymic	2		create	josuasson	Q18327995	Josua					josua	Q9027
joëlsson	patronymic	1		create	joëlsson	Q2402968	Joël					joël	Q9027
jönsdotter	patronymic	1		create	jönsdotter				Jöns		jönsson	jöns	Q9027
jönsson	patronymic	5		create	jönsson				Jöns		jönsdotter	jön	Q9027
juhrsen	patronymic	2		create	juhrsen	Q106145467	Juer					juhr	Q9043
juliasdotter	matronymic	1		create	juliasdotter			Julia(3)				julias	Q9027
juliusdatter	patronymic	5		create	juliusdatter	Q1102114	Julius				juliusen	juliu	Q9043
juliusdotter	patronymic	3		create	juliusdotter	Q1102114	Julius				juliusen	julius	Q9027
juliusen	patronymic	12		create	juliusen	Q1102114	Julius				juliusdatter	juliu	Q9043
juliussen	patronymic	6		create	juliussen	Q1102114	Julius				juliusdatter	julius	Q9043
juliusson	patronymic	8		create	juliusson	Q1102114	Julius				juliusdatter	juliu	Q9027
julsdatter	patronymic	3		create	julsdatter	Q123820113 Q19882597	Juel Jul				julsen	jul	Q9043
julsen	patronymic	6		create	julsen	Q19882597 Q123820113	Jul Juel				julsdatter	jul	Q9043
jungesdatter	patronymic	1		create	jungesdatter				Junge			junge	Q9043
jurgensson	patronymic	1		create	jurgensson	Q2670311	Jürgen					jurgen	Q9027
jurisdatter	patronymic	2		create	jurisdatter	Q16277512	Juris				jurissen	juri	Q9043
jurissen	patronymic	7		create	jurissen	Q16277512	Juris				jurisdatter	juris	Q9043
jursdatter	patronymic	3		create	jursdatter	Q106145467 Q11729459	Juer Jur				jursen	jur	Q9043
jursen	patronymic	2		create	jursen	Q11729459 Q106145467	Jur Juer				jursdatter	jur	Q9043
justdatter	patronymic	48		create	justdatter	Q19914462	Just				justsen	just	
justdotter	patronymic	1		create	justdotter	Q19914462	Just				justsen	just	
justedatter	patronymic	1		create	justedatter	Q19914462	Just				justesen	juste	
justesen	patronymic	18		create	justesen	Q19914462	Just				justedatter	juste	Q9043
justesson	patronymic	1		create	justesson	Q19914462	Just				justedatter	juste	Q9027
justinasdotter	matronymic	1		create	justinasdotter	Q18211002	Justina					justinas	Q9027
justsdatter	patronymic	9		create	justsdatter	Q19914462	Just				justsen	just	Q9043
justsen	patronymic	34		create	justsen	Q19914462	Just				justdatter	just	Q9043
justson	patronymic	5		create	justson	Q19914462	Just				justdatter	just	
justsson	patronymic	1		create	justsson	Q19914462	Just				justdatter	just	Q9027
justusson	patronymic	2		create	justusson	Q11166789	Justus					justu	Q9027
juulsdatter	patronymic	3		create	juulsdatter	Q20080602	Juul				juulsen	juul	Q9043
juulsen	patronymic	3		create	juulsen	Q20080602 Q123820113	Juul Juel				juulsdatter	juul	Q9043
járnskeggjason	patronymic	1		create	járnskeggjason				Járnskeggi			járnskeggja	
järlsdotter	patronymic	3		create	järlsdotter				Järl		järlsson	järls	Q9027
järlsson	patronymic	2		create	järlsson				Järl		järlsdotter	järl	Q9027
jåpsson	patronymic	1		create	jåpsson				Jåp			jåp	Q9027
jónsson	patronymic	18	Q69822132	link	jónsson	Q1715043	Jón					jón	Q9027
jönsdatter	patronymic	1		create	jönsdatter	Q47526977	Jöns				jönsson	jön	Q9043
jönsdotter	patronymic	536		create	jönsdotter	Q47526977 Q12319119 Q2117521 Q2246251 Q18638754 Q10989273 Q1667407	Jöns Janus Johannes Jens Joannes Johan Joonas	Jonas(2) Jon(4)			jönsson	jöns	Q9027
jönsson	patronymic	555		create	jönsson	Q47526977 Q2246251 Q2117521 Q4925477 Q11978684 Q12319119 Q10989273 Q123820137	Jöns Jens Johannes John Joen Janus Johan Jons	Jon(4) Jonas(2)	Jönis Jön		jönsdotter	jön	Q9027
jöransdotter	patronymic	85		create	jöransdotter	Q1715178	Jöran		Jören		jöransson	jörans	Q9027
jöranson	patronymic	1		create	jöranson	Q1715178	Jöran				jöransdotter	jöran	
jöransson	patronymic	79		create	jöransson	Q1715178	Jöran		Jören		jöransdotter	jöran	Q9027
jörensdotter	patronymic	2		create	jörensdotter				Jören		jörensson	jörens	Q9027
jörensson	patronymic	10		create	jörensson				Jören		jörensdotter	jören	Q9027
jörgensdatter	patronymic	9		create	jörgensdatter	Q13409273 Q16909419	Jørgen Jörgen				jörgensson	jörgen	Q9043
jörgensdotter	patronymic	30		create	jörgensdotter	Q16909419 Q13409273 Q2670311	Jörgen Jørgen Jürgen				jörgensson	jörgens	Q9027
jörgensen	patronymic	7		create	jörgensen	Q13409273 Q16909419	Jørgen Jörgen				jörgensdotter	jörgen	Q9043
jörgenson	patronymic	1		create	jörgenson	Q16909419	Jörgen				jörgensdotter	jörgen	
jörgensson	patronymic	11		create	jörgensson	Q16909419 Q13409273 Q2670311	Jörgen Jørgen Jürgen				jörgensdotter	jörgen	Q9027
jörundarson	patronymic	3		create	jörundarson	Q3480755	Jörundur					jörundar	
jörundarsson	patronymic	1		create	jörundarsson	Q3480755	Jörundur					jörundar	Q9027
jörundsson	patronymic	2		create	jörundsson				Jörund Jorund			jörund	Q9027
jössedotter	patronymic	1		create	jössedotter				Jösse			jösse	
jødelsdatter	patronymic	2		create	jødelsdatter				Jødel		jødelsen	jødel	Q9043
jødelsen	patronymic	2		create	jødelsen				Jødel		jødelsdatter	jødel	Q9043
jøgersdatter	patronymic	2		create	jøgersdatter				Jøger		jøgerson	jøger	Q9043
jøgersen	patronymic	2		create	jøgersen				Jøger		jøgersdatter	jøger	Q9043
jøgerson	patronymic	2		create	jøgerson				Jøger		jøgersdatter	jøger	
jønsdatter	patronymic	1		create	jønsdatter				Jøns		jønsson	jøn	Q9043
jønson	patronymic	1		create	jønson	Q2246251	Jens				jønsdatter	jøn	
jønsson	patronymic	2		create	jønsson	Q47526977	Jöns				jønsdatter	jøn	Q9027
jørgendatter	patronymic	3		create	jørgendatter	Q13409273	Jørgen				jørgensen	jørgen	
jørgensdatter	patronymic	760		create	jørgensdatter	Q13409273	Jørgen				jørgensen	jørgen	Q9043
jørgensdotter	patronymic	21		create	jørgensdotter	Q13409273	Jørgen				jørgensen	jørgens	Q9027
jørgensen	patronymic	837		create	jørgensen	Q13409273 Q87362746	Jørgen Jorgen				jørgensdatter	jørgen	Q9043
jørgenson	patronymic	65		create	jørgenson	Q13409273	Jørgen				jørgensdatter	jørgen	
jørgenssen	patronymic	3		create	jørgenssen	Q13409273	Jørgen				jørgensdatter	jørgens	Q9043
jørgensson	patronymic	33		create	jørgensson	Q13409273	Jørgen				jørgensdatter	jørgen	Q9027
jørisdatter	patronymic	1		create	jørisdatter				Jøris		jørissen	jøri	Q9043
jørissen	patronymic	1		create	jørissen				Jøris		jørisdatter	jøris	Q9043
jørundsdatter	patronymic	4		create	jørundsdatter	Q21608948	Jørund				jørundsson	jørund	Q9043
jørundsdotter	patronymic	2		create	jørundsdotter	Q21608948	Jørund				jørundsson	jørunds	Q9027
jørundsen	patronymic	1		create	jørundsen	Q21608948	Jørund				jørundsdatter	jørund	Q9043
jørundson	patronymic	3		create	jørundson	Q21608948	Jørund				jørundsdatter	jørund	
jørundsson	patronymic	5		create	jørundsson	Q21608948	Jørund				jørundsdatter	jørund	Q9027
jøsurson	patronymic	1		create	jøsurson				Jøsur			jøsur	
jürgensdatter	patronymic	2		create	jürgensdatter	Q13409273 Q2670311	Jørgen Jürgen				jürgensson	jürgen	Q9043
jürgensdotter	patronymic	3		create	jürgensdotter	Q2670311	Jürgen				jürgensson	jürgens	Q9027
jürgensen	patronymic	2		create	jürgensen	Q2670311	Jürgen				jürgensdotter	jürgen	Q9043
jürgensson	patronymic	4		create	jürgensson	Q2670311	Jürgen				jürgensdotter	jürgen	Q9027
kaaresen	patronymic	1		create	kaaresen	Q20200846	Kaare					kaare	Q9043
kaaresson	patronymic	1		create	kaaresson	Q240255	Kåre					kaare	Q9027
kajsasson	matronymic	1		create	kajsasson	Q6349039	Kajsa					kajsa	Q9027
kalisson	patronymic	1		create	kalisson	Q18681259	Kali					kali	Q9027
kalvson	patronymic	1		create	kalvson				Kalv			kalv	
kalvsson	patronymic	2		create	kalvsson				Kalv			kalv	Q9027
karasson	patronymic	1		create	karasson			Kari(2)				kara	Q9027
karesson	patronymic	1		create	karesson	Q20200846	Kaare					kare	Q9027
karlesen	patronymic	1		create	karlesen	Q15731830	Karl					karle	Q9043
karli	patronymic	1		create	karli	Q15731830	Karl						
karlsdatter	patronymic	224		create	karlsdatter	Q15731830 Q2529610	Karl Carl				karlsson	karl	Q9043
karlsdotter	patronymic	465		create	karlsdotter	Q15731830 Q2529610 Q1044619 Q1719508 Q2958359 Q4259083	Karl Carl Carolus Kaarlo Charles Kaarle				karlsson	karls	Q9027
karlsen	patronymic	206		create	karlsen	Q15731830 Q2529610	Karl Carl		Karolius		karlsdotter	karl	Q9043
karlshovedsson	patronymic	1		create	karlshovedsson				Karlshovud			karlshoved	Q9027
karlshovudson	patronymic	1		create	karlshovudson				Karlshovud			karlshovud	
karlshøvudsson	patronymic	1		create	karlshøvudsson				Karlshovud			karlshøvud	Q9027
karlson	patronymic	73		create	karlson	Q15731830 Q2529610	Karl Carl				karlsdotter	karl	
karlssdotter	patronymic	1		create	karlssdotter	Q15731830	Karl				karlsson	karlss	Q9027
karlsson	patronymic	642	Q108828512	link	karlsson	Q15731830 Q2529610 Q1044619 Q1719508 Q2958359 Q4259083	Karl Carl Carolus Kaarlo Charles Kaarle				karlsdotter	karl	Q9027
karoliusen	patronymic	1		create	karoliusen	Q15731830	Karl					karoliu	Q9043
karoliussen	patronymic	2		create	karoliussen	Q98058980	Carolius					karolius	Q9043
karolusdatter	patronymic	1		create	karolusdatter	Q21148114	Karolus				karolusson	karolu	Q9043
karolusson	patronymic	1		create	karolusson	Q21148114	Karolus				karolusdatter	karolu	Q9027
karsteinsdotter	patronymic	6		create	karsteinsdotter	Q30317378	Karstein				karsteinsson	karsteins	Q9027
karsteinsson	patronymic	8		create	karsteinsson	Q30317378	Karstein				karsteinsdotter	karstein	Q9027
karstensdatter	patronymic	12		create	karstensdatter	Q30317378 Q14639862 Q18823058	Karstein Carsten Karsten				karstensen	karsten	Q9043
karstensen	patronymic	9		create	karstensen	Q30317378 Q14639862	Karstein Carsten				karstensdatter	karsten	Q9043
kasparsdatter	patronymic	1		create	kasparsdatter	Q18171856	Kaspar				kasparsson	kaspar	Q9043
kasparsdotter	patronymic	1		create	kasparsdotter	Q18145725	Caspar				kasparsson	kaspars	Q9027
kasparsen	patronymic	2		create	kasparsen	Q18171856	Kaspar				kasparsdotter	kaspar	Q9043
kasparsson	patronymic	4		create	kasparsson	Q18145725	Caspar				kasparsdotter	kaspar	Q9027
kaspersdatter	patronymic	5		create	kaspersdatter	Q18145725 Q1158231 Q18199995	Caspar Casper Kasper				kaspersson	kasper	Q9043
kaspersdotter	patronymic	13		create	kaspersdotter	Q1158231 Q18199995 Q18145725	Casper Kasper Caspar				kaspersson	kaspers	Q9027
kaspersen	patronymic	2		create	kaspersen	Q18199995	Kasper				kaspersdotter	kasper	Q9043
kaspersson	patronymic	13		create	kaspersson	Q1158231 Q18199995	Casper Kasper				kaspersdotter	kasper	Q9027
kaunsson	patronymic	1		create	kaunsson				Kaun			kaun	Q9027
kaðlason	patronymic	1		create	kaðlason				Kaðall			kaðla	
kenici	patronymic	1		create	kenici				Kenicius				
kerstensdotter	patronymic	1		create	kerstensdotter	Q16832407	Kersten				kerstensson	kerstens	Q9027
kerstensson	patronymic	1		create	kerstensson	Q16832407	Kersten				kerstensdotter	kersten	Q9027
ketelsen	patronymic	2		create	ketelsen	Q1107934	Ketel					ketel	Q9043
ketilbjörnson	patronymic	1		create	ketilbjörnson				Ketilbjørn			ketilbjörn	
ketilbjørnsdotter	patronymic	1		create	ketilbjørnsdotter	Q16430223	Ketilbjörn					ketilbjørns	Q9027
ketilsdatter	patronymic	7		create	ketilsdatter	Q19827695 Q1744078	Ketil Kjetil				ketilsson	ketil	Q9043
ketilsdotter	patronymic	2		create	ketilsdotter	Q19827695	Ketil				ketilsson	ketils	Q9027
ketilson	patronymic	7		create	ketilson	Q19827695 Q44058926	Ketil Kittil				ketilsdatter	ketil	
ketilsson	patronymic	19		create	ketilsson	Q19827701 Q19827695 Q1744078	Ketill Ketil Kjetil				ketilsdatter	ketil	Q9027
kettilmundsson	patronymic	1		create	kettilmundsson				Kettilmund			kettilmund	Q9027
kettilsdotter	patronymic	9		create	kettilsdotter	Q16800918	Kettil				kettilsson	kettils	Q9027
kettilsson	patronymic	8		create	kettilsson	Q16800918 Q1744078	Kettil Kjetil				kettilsdotter	kettil	Q9027
kiddelsdatter	patronymic	2		create	kiddelsdatter	Q1744078 Q115042157	Kjetil Kittel				kiddelsen	kiddel	Q9043
kiddelsen	patronymic	1		create	kiddelsen	Q30321708	Kiddel				kiddelsdatter	kiddel	Q9043
kidelsdatter	patronymic	1		create	kidelsdatter				Kidel		kidelsen	kidel	Q9043
kidelsen	patronymic	1		create	kidelsen				Kidel		kidelsdatter	kidel	Q9043
kieldsdatter	patronymic	4		create	kieldsdatter	Q11739584	Kjeld		Kield		kieldsen	kield	Q9043
kieldsen	patronymic	14		create	kieldsen	Q11739584	Kjeld		Kield		kieldsdatter	kield	Q9043
kieldson	patronymic	2		create	kieldson	Q11739584	Kjeld				kieldsdatter	kield	
kiellersdatter	patronymic	1		create	kiellersdatter				Kjeller			kieller	Q9043
kierstensdotter	patronymic	1		create	kierstensdotter	Q62400299	Kiersten					kierstens	Q9027
kiniusdatter	patronymic	1		create	kiniusdatter				Kinius			kiniu	Q9043
kirstiansdatter	patronymic	2		create	kirstiansdatter	Q12794332	Kristian					kirstian	Q9043
kittelsdatter	patronymic	9		create	kittelsdatter	Q115042157 Q44058926	Kittel Kittil				kittelsen	kittel	Q9043
kittelsen	patronymic	9		create	kittelsen	Q115042157 Q44058926 Q1744078	Kittel Kittil Kjetil				kittelsdatter	kittel	Q9043
kittelson	patronymic	1		create	kittelson	Q115042157	Kittel				kittelsdatter	kittel	
kittilsdatter	patronymic	3		create	kittilsdatter	Q44058926	Kittil				kittilsen	kittil	Q9043
kittilsen	patronymic	3		create	kittilsen	Q44058926 Q30321708	Kittil Kiddel				kittilsdatter	kittil	Q9043
kittilson	patronymic	2		create	kittilson	Q44058926	Kittil				kittilsdatter	kittil	
kjallakson	patronymic	1		create	kjallakson				Kjallak			kjallak	
kjartansson	patronymic	3		create	kjartansson	Q12716089	Kjartan					kjartan	Q9027
kjeldsdatter	patronymic	27		create	kjeldsdatter	Q11739584	Kjeld		Kield		kjeldsen	kjeld	Q9043
kjeldsdotter	patronymic	1		create	kjeldsdotter	Q11739584	Kjeld				kjeldsen	kjelds	Q9027
kjeldsen	patronymic	41		create	kjeldsen	Q11739584	Kjeld		Kield		kjeldsdatter	kjeld	Q9043
kjellersdatter	patronymic	9		create	kjellersdatter				Kjeller		kjellersen	kjeller	Q9043
kjellersen	patronymic	15		create	kjellersen				Kjeller		kjellersdatter	kjeller	Q9043
kjellsdatter	patronymic	36		create	kjellsdatter	Q1785936	Kjell		Kjel		kjellsen	kjell	Q9043
kjellsdotter	patronymic	8		create	kjellsdotter	Q1785936	Kjell				kjellsen	kjells	Q9027
kjellsen	patronymic	30		create	kjellsen	Q1785936	Kjell		Kjel		kjellsdatter	kjell	Q9043
kjellson	patronymic	8		create	kjellson	Q1785936	Kjell				kjellsdatter	kjell	
kjellsson	patronymic	7		create	kjellsson	Q1785936	Kjell				kjellsdatter	kjell	Q9027
kjelsdatter	patronymic	4		create	kjelsdatter	Q1785936	Kjell		Kjel		kjelsen	kjel	Q9043
kjelsen	patronymic	8		create	kjelsen	Q1785936	Kjell		Kjel		kjelsdatter	kjel	Q9043
kjelson	patronymic	4		create	kjelson	Q1785936	Kjell		Kjel		kjelsdatter	kjel	
kjeransdatter	patronymic	2		create	kjeransdatter				Kjeran		kjeransen	kjeran	Q9043
kjeransen	patronymic	3		create	kjeransen				Kjeran		kjeransdatter	kjeran	Q9043
kjeranson	patronymic	3		create	kjeranson				Kjeran		kjeransdatter	kjeran	
kjerstinsdotter	patronymic	3		create	kjerstinsdotter				Kjersten			kjerstins	Q9027
kjetil/kiddelsdatter	patronymic	1		create	kjetil/kiddelsdatter				Kjetil/Kiddel			kjetil/kiddel	Q9043
kjetillson	patronymic	1		create	kjetillson	Q1744078	Kjetil					kjetill	
kjetilsdatter	patronymic	26		create	kjetilsdatter	Q1744078 Q44058926	Kjetil Kittil				kjetilsen	kjetil	Q9043
kjetilsdotter	patronymic	9		create	kjetilsdotter	Q1744078 Q16800918	Kjetil Kettil				kjetilsen	kjetils	Q9027
kjetilsen	patronymic	22		create	kjetilsen	Q1744078	Kjetil				kjetilsdatter	kjetil	Q9043
kjetilson	patronymic	21		create	kjetilson	Q1744078 Q19827701 Q19827695	Kjetil Ketill Ketil				kjetilsdatter	kjetil	
kjetilsson	patronymic	4		create	kjetilsson	Q1744078 Q19827695	Kjetil Ketil				kjetilsdatter	kjetil	Q9027
kjystolfsen	patronymic	3		create	kjystolfsen				Kjystolf			kjystolf	Q9043
kjærsson	patronymic	1		create	kjærsson				Kjær			kjær	Q9027
kjølvsdatter	patronymic	2		create	kjølvsdatter				Kjølv		kjølvson	kjølv	Q9043
kjølvsdotter	patronymic	1		create	kjølvsdotter				Kjølv		kjølvson	kjølvs	Q9027
kjølvson	patronymic	6		create	kjølvson				Kjølv		kjølvsdatter	kjølv	
kjølvsson	patronymic	4		create	kjølvsson				Kjølv		kjølvsdatter	kjølv	Q9027
klaengsson	patronymic	1		create	klaengsson				Klaeng			klaeng	Q9027
klaesson	patronymic	12		create	klaesson	Q19818183 Q111072712	Klas Klaes					klae	Q9027
klarasdotter	matronymic	1		create	klarasdotter	Q18199028	Klara				klarasson	klaras	Q9027
klarasson	matronymic	3		create	klarasson	Q18199028	Klara				klarasdotter	klara	Q9027
klasdatter	patronymic	8		create	klasdatter	Q19818183 Q18177178	Klas Claus				klasson	kla	Q9043
klasdotter	patronymic	20		create	klasdotter	Q19818183 Q15635230 Q19818179 Q18177178 Q16274791	Klas Klaus Claes Claus Clas				klasson	klas	Q9027
klasson	patronymic	29		create	klasson	Q19818183 Q15635230 Q19818179 Q18177178 Q16274791 Q31522621	Klas Klaus Claes Claus Clas Claës				klasdotter	kla	Q9027
klausdatter	patronymic	67		create	klausdatter	Q15635230 Q18177178	Klaus Claus				klausen	klau	Q9043
klausdotter	patronymic	16		create	klausdotter	Q15635230 Q18177178	Klaus Claus				klausen	klaus	Q9027
klausen	patronymic	61		create	klausen	Q15635230 Q18177178	Klaus Claus				klausdatter	klau	Q9043
klauson	patronymic	1		create	klauson	Q15635230	Klaus				klausdatter	klau	
klaussdotter	patronymic	1		create	klaussdotter	Q15635230	Klaus				klausen	klauss	Q9027
klaussen	patronymic	15		create	klaussen	Q15635230 Q18177178	Klaus Claus				klausdatter	klaus	Q9043
klausson	patronymic	34		create	klausson	Q15635230 Q18177178 Q19818183	Klaus Claus Klas				klausdatter	klau	Q9027
klemensson	patronymic	3		create	klemensson	Q159713	Klemens					klemen	Q9027
klementsdotter	patronymic	5		create	klementsdotter	Q18584933	Klement				klementsson	klements	Q9027
klementsson	patronymic	12		create	klementsson	Q18584933	Klement				klementsdotter	klement	Q9027
klemetsdatter	patronymic	24		create	klemetsdatter	Q30322721 Q45265458	Klemet Klemmet				klemetsen	klemet	Q9043
klemetsdotter	patronymic	1	Q130233034	link	klemetsdotter	Q30322721	Klemet				klemetsen	klemets	Q9027
klemetsen	patronymic	33		create	klemetsen	Q30322721	Klemet		Clemet		klemetsdatter	klemet	Q9043
klemetson	patronymic	2		create	klemetson	Q30322721	Klemet				klemetsdatter	klemet	
klemetsson	patronymic	1		create	klemetsson	Q30322721	Klemet				klemetsdatter	klemet	Q9027
klemmetsdatter	patronymic	2		create	klemmetsdatter	Q45265458 Q30322721	Klemmet Klemet				klemmetsen	klemmet	Q9043
klemmetsen	patronymic	2		create	klemmetsen	Q30322721	Klemet				klemmetsdatter	klemmet	Q9043
