token	usage	bearers	existing_item	action	native_label	p144_targets	p144_names	p144_ambiguous	p144_unknown	p144_withdrawn	p5278_pair	stem	p407
albrecktsdotter	patronymic	1		create	albrecktsdotter	Q84702305	Albrekt					albreckts	Q9027
albrektsdatter	patronymic	1		create	albrektsdatter	Q18180401	Albrecht				albrektsson	albrekt	Q9043
albrektsdotter	patronymic	16		create	albrektsdotter	Q84702305 Q18180401	Albrekt Albrecht				albrektsson	albrekts	Q9027
albrektsson	patronymic	8		create	albrektsson	Q84702305	Albrekt				albrektsdotter	albrekt	Q9027
albrethsdatter	patronymic	1		create	albrethsdatter				Albret		albrethsen	albreth	Q9043
albrethsen	patronymic	1		create	albrethsen				Albret		albrethsdatter	albreth	Q9043
albretsdatter	patronymic	37		create	albretsdatter	Q577011	Albert		Albret		albretsen	albret	Q9043
albretsdotter	patronymic	3		create	albretsdotter				Albret		albretsen	albrets	Q9027
albretsen	patronymic	45		create	albretsen	Q577011	Albert		Albret		albretsdatter	albret	Q9043
albretson	patronymic	9		create	albretson				Albret		albretsdatter	albret	
albrichtdatter	patronymic	1		create	albrichtdatter				Albricht		albrichtsen	albricht	
albrichtsdatter	patronymic	2		create	albrichtsdatter				Albricht		albrichtsen	albricht	Q9043
albrichtsen	patronymic	2		create	albrichtsen				Albricht		albrichtsdatter	albricht	Q9043
albrigtsdatter	patronymic	2		create	albrigtsdatter				Albrigt		albrigtsen	albrigt	Q9043
albrigtsen	patronymic	6		create	albrigtsen				Albrigt		albrigtsdatter	albrigt	Q9043
albriktsdatter	patronymic	1		create	albriktsdatter	Q18180401	Albrecht					albrikt	Q9043
aleksandersdatter	patronymic	6		create	aleksandersdatter	Q17520844	Aleksander				aleksandersen	aleksander	Q9043
aleksandersdotter	patronymic	3		create	aleksandersdotter	Q17520844 Q18108548	Aleksander Aleksanteri				aleksandersen	aleksanders	Q9027
aleksandersen	patronymic	12		create	aleksandersen	Q17520844	Aleksander				aleksandersdatter	aleksander	Q9043
aleksandersson	patronymic	1		create	aleksandersson	Q17520844	Aleksander				aleksandersdatter	aleksander	Q9027
aleksandrasdotter	matronymic	1		create	aleksandrasdotter			Aleksandra(3)				aleksandras	Q9027
alessandri	patronymic	2		create	alessandri	Q17501723	Alessandro						
alettasdotter	matronymic	1		create	alettasdotter	Q621435	Aletta					alettas	Q9027
alexanderdotter	patronymic	1		create	alexanderdotter	Q923	Alexander				alexandersson	alexander	
alexandersdatter	patronymic	17		create	alexandersdatter	Q923	Alexander				alexandersson	alexander	Q9043
alexandersdotter	patronymic	47		create	alexandersdotter	Q923	Alexander				alexandersson	alexanders	Q9027
alexandersen	patronymic	24		create	alexandersen	Q923	Alexander				alexandersdotter	alexander	Q9043
alexanderson	patronymic	3		create	alexanderson	Q923	Alexander				alexandersdotter	alexander	
alexandersson	patronymic	53		create	alexandersson	Q923	Alexander				alexandersdotter	alexander	Q9027
alfarinsdatter	patronymic	1		create	alfarinsdatter				Alfarin			alfarin	Q9043
alfgeirsson	patronymic	1		create	alfgeirsson				Alfgeir			alfgeir	Q9027
alfredsdatter	patronymic	1		create	alfredsdatter	Q3480335	Alfred				alfredsson	alfred	Q9043
alfredsdotter	patronymic	8		create	alfredsdotter	Q3480335	Alfred				alfredsson	alfreds	Q9027
alfredsen	patronymic	2		create	alfredsen	Q3480335	Alfred				alfredsdotter	alfred	Q9043
alfredson	patronymic	1		create	alfredson	Q3480335	Alfred				alfredsdotter	alfred	
alfredsson	patronymic	6		create	alfredsson	Q3480335 Q140286992	Alfred Alfrid				alfredsdotter	alfred	Q9027
alfsdatter	patronymic	35		create	alfsdatter	Q2698865	Alf				alfsen	alf	Q9043
alfsdotter	patronymic	1		create	alfsdotter	Q2698865	Alf				alfsen	alfs	Q9027
alfsen	patronymic	44		create	alfsen	Q2698865	Alf				alfsdatter	alf	Q9043
alfson	patronymic	1		create	alfson	Q2698865	Alf				alfsdatter	alf	
alfsson	patronymic	6		create	alfsson	Q2698865	Alf				alfsdatter	alf	Q9027
algautesdotter	patronymic	1		create	algautesdotter				Algaut			algautes	Q9027
algoti	patronymic	1		create	algoti	Q10405157	Algot						
algotsdatter	patronymic	1		create	algotsdatter	Q10405157	Algot				algotsson	algot	Q9043
algotsdotter	patronymic	13		create	algotsdotter	Q10405157	Algot				algotsson	algots	Q9027
algotsson	patronymic	24		create	algotsson	Q10405157	Algot				algotsdotter	algot	Q9027
alinasdotter	matronymic	1		create	alinasdotter			Alina(3)			alinasson	alinas	Q9027
alinasson	matronymic	1		create	alinasson			Alina(3)			alinasdotter	alina	Q9027
alreksson	patronymic	4		create	alreksson				Alrek			alrek	Q9027
alvarsdatter	patronymic	1		create	alvarsdatter	Q15831157	Alvar					alvar	Q9043
alvsdatter	patronymic	16		create	alvsdatter	Q30131738	Alv				alvsson	alv	Q9043
alvsdotter	patronymic	1		create	alvsdotter	Q30131738	Alv				alvsson	alvs	Q9027
alvsen	patronymic	4		create	alvsen	Q30131738	Alv				alvsdatter	alv	Q9043
alvson	patronymic	6		create	alvson	Q30131738	Alv				alvsdatter	alv	
alvsson	patronymic	8	Q83866230	link	alvsson	Q30131738	Alv				alvsdatter	alv	Q9027
amaliasson	matronymic	1		create	amaliasson			Amalia(2)				amalia	Q9027
amandasdotter	matronymic	1		create	amandasdotter			Amanda(2)				amandas	Q9027
amberntsdotter	patronymic	3		create	amberntsdotter				Ambernt		amberntsson	ambernts	Q9027
amberntsson	patronymic	2		create	amberntsson				Ambernt		amberntsdotter	ambernt	Q9027
ambesson	patronymic	1		create	ambesson				Ambe			ambe	Q9027
ambjörnsdotter	patronymic	1		create	ambjörnsdotter	Q22980950	Ambjörn				ambjörnsson	ambjörns	Q9027
ambjörnsson	patronymic	1		create	ambjörnsson	Q22980950	Ambjörn				ambjörnsdotter	ambjörn	Q9027
ambjørnsdatter	patronymic	2		create	ambjørnsdatter				Ambjørn		ambjørnsen	ambjørn	Q9043
ambjørnsen	patronymic	2		create	ambjørnsen				Ambjørn		ambjørnsdatter	ambjørn	Q9043
ambrosdatter	patronymic	2		create	ambrosdatter	Q19967479	Ambros				ambrosson	ambro	Q9043
ambrosdotter	patronymic	3		create	ambrosdotter	Q19967479	Ambros				ambrosson	ambros	Q9027
ambrosidotter	patronymic	1		create	ambrosidotter	Q19688257	Ambrosius					ambrosi	
ambrosii	patronymic	1		create	ambrosii	Q19688257	Ambrosius						
ambrosiidatter	patronymic	2		create	ambrosiidatter	Q19688257	Ambrosius					ambrosii	
ambrosiusdatter	patronymic	7		create	ambrosiusdatter	Q19688257	Ambrosius				ambrosiusson	ambrosiu	Q9043
ambrosiusdotter	patronymic	4		create	ambrosiusdotter	Q19688257	Ambrosius				ambrosiusson	ambrosius	Q9027
ambrosiussen	patronymic	3		create	ambrosiussen	Q19688257	Ambrosius				ambrosiusdatter	ambrosius	Q9043
ambrosiusson	patronymic	12		create	ambrosiusson	Q19688257	Ambrosius				ambrosiusdatter	ambrosiu	Q9027
ambroson	patronymic	1		create	ambroson	Q19967479	Ambros				ambrosdotter	ambro	
ambrossen	patronymic	1		create	ambrossen	Q19967479	Ambros				ambrosdotter	ambros	Q9043
ambrosson	patronymic	3		create	ambrosson	Q19967479	Ambros				ambrosdotter	ambro	Q9027
amdisdatter	patronymic	3		create	amdisdatter	Q102181064	Amdi				amdisen	amdi	Q9043
amdisen	patronymic	2		create	amdisen	Q102181064	Amdi				amdisdatter	amdi	Q9043
ammonsdotter	patronymic	1		create	ammonsdotter	Q21146372	Ammon					ammons	Q9027
ammundsdatter	patronymic	1		create	ammundsdatter				Ammund		ammundsen	ammund	Q9043
ammundsen	patronymic	1		create	ammundsen				Ammund		ammundsdatter	ammund	Q9043
amonsdotter	patronymic	1		create	amonsdotter	Q9150106	Amon				amonsson	amons	Q9027
amonsson	patronymic	3		create	amonsson	Q9150106	Amon				amonsdotter	amon	Q9027
amosdotter	patronymic	2		create	amosdotter	Q18216060	Amos					amos	Q9027
amundesen	patronymic	1		create	amundesen	Q1781319	Amund					amunde	Q9043
amundsdatter	patronymic	283		create	amundsdatter	Q1781319	Amund		Aamund		amundsen	amund	Q9043
amundsdotter	patronymic	23		create	amundsdotter	Q1781319	Amund				amundsen	amunds	Q9027
amundsen	patronymic	304		create	amundsen	Q1781319	Amund		Ammund Aamund		amundsdatter	amund	Q9043
amundson	patronymic	19		create	amundson	Q1781319	Amund		Aamund		amundsdatter	amund	
amundsson	patronymic	34		create	amundsson	Q1781319	Amund		Aamund		amundsdatter	amund	Q9027
ananiasdatter	patronymic	16		create	ananiasdatter	Q20675793	Ananias				ananiassen	anania	Q9043
ananiasen	patronymic	4		create	ananiasen	Q20675793	Ananias				ananiasdatter	anania	Q9043
ananiassen	patronymic	14		create	ananiassen	Q20675793	Ananias				ananiasdatter	ananias	Q9043
ananiasson	patronymic	5		create	ananiasson	Q20675793	Ananias				ananiasdatter	anania	Q9027
anasiasdatter	patronymic	1		create	anasiasdatter	Q20675793	Ananias					anasia	Q9043
anbjørnsdatter	patronymic	14		create	anbjørnsdatter				Anbjørn		anbjørnsen	anbjørn	Q9043
anbjørnsdotter	patronymic	1		create	anbjørnsdotter				Anbjørn		anbjørnsen	anbjørns	Q9027
anbjørnsen	patronymic	11		create	anbjørnsen				Anbjørn		anbjørnsdatter	anbjørn	Q9043
anbjørnson	patronymic	11		create	anbjørnson				Anbjørn		anbjørnsdatter	anbjørn	
anbjørnsson	patronymic	4		create	anbjørnsson				Anbjørn		anbjørnsdatter	anbjørn	Q9027
anchersdatter	patronymic	19		create	anchersdatter	Q135654950	Ancher				anchersen	ancher	Q9043
anchersen	patronymic	12		create	anchersen	Q135654950	Ancher				anchersdatter	ancher	Q9043
anderdatter	patronymic	1		create	anderdatter	Q8843357	Anders				andersson	ander	
anderdotter	patronymic	2		create	anderdotter	Q8843357	Anders				andersson	ander	
anderesson	patronymic	1		create	anderesson	Q8843357	Anders					andere	Q9027
andersdatter	patronymic	2328		create	andersdatter	Q8843357 Q4926263 Q490500	Anders Andreas Ander	Andres(2)			andersson	ander	Q9043
andersdotter	patronymic	4651		create	andersdotter	Q8843357 Q4926263 Q490500 Q96186930 Q6298851	Anders Andreas Ander Andry André	Andres(2)			andersson	anders	Q9027
andersen	patronymic	2455		create	andersen	Q8843357 Q4926263 Q511666	Anders Andreas Andris	Andres(2)			andersdotter	ander	Q9043
anderson	patronymic	237		create	anderson	Q8843357 Q4926263	Anders Andreas				andersdotter	ander	
anderssdatter	patronymic	1		create	anderssdatter	Q8843357	Anders				andersson	anders	Q9043
anderssdotter	patronymic	1		create	anderssdotter	Q8843357	Anders				andersson	anderss	Q9027
anderssen	patronymic	96		create	anderssen	Q8843357 Q4926263	Anders Andreas				andersdotter	anders	Q9043
andersson	patronymic	4703		create	andersson	Q8843357 Q4926263 Q21069228 Q490500	Anders Andreas Andrae Ander	Andres(2)			andersdotter	ander	Q9027
anderssson	patronymic	1		create	anderssson	Q8843357	Anders				andersdotter	anders	Q9027
andesdotter	patronymic	2		create	andesdotter	Q609564	Antti					andes	Q9027
andfinnson	patronymic	1		create	andfinnson				Andfinn			andfinn	
andorsdatter	patronymic	1		create	andorsdatter	Q492347	Andor				andorsson	andor	Q9043
andorsdotter	patronymic	4		create	andorsdotter	Q492347	Andor				andorsson	andors	Q9027
andorsson	patronymic	8		create	andorsson	Q492347	Andor				andorsdotter	andor	Q9027
andrasdatter	patronymic	1		create	andrasdatter	Q4926263	Andreas					andra	Q9043
andreae	patronymic	14		create	andreae	Q4926263	Andreas						
andreasdatter	patronymic	583		create	andreasdatter	Q4926263 Q8843357	Andreas Anders				andreassen	andrea	Q9043
andreasdotter	patronymic	89		create	andreasdotter	Q4926263 Q8843357 Q21069228	Andreas Anders Andrae				andreassen	andreas	Q9027
andreasen	patronymic	194		create	andreasen	Q4926263 Q8843357	Andreas Anders				andreasdatter	andrea	Q9043
andreason	patronymic	4		create	andreason	Q4926263	Andreas				andreasdatter	andrea	
andreassen	patronymic	443		create	andreassen	Q4926263 Q8843357 Q63348594	Andreas Anders Andrias				andreasdatter	andreas	Q9043
andreasson	patronymic	222		create	andreasson	Q4926263 Q8843357	Andreas Anders				andreasdatter	andrea	Q9027
andreasssen	patronymic	1		create	andreasssen	Q4926263	Andreas					andreass	Q9043
andreassson	patronymic	1		create	andreassson	Q4926263	Andreas				andreasdatter	andreas	Q9027
andrei	patronymic	1		create	andrei	Q4926263	Andreas						
andresadatter	patronymic	1		create	andresadatter	Q4926263	Andreas					andresa	
andresdatter	patronymic	11		create	andresdatter	Q4926263 Q8843357	Andreas Anders	Andres(2)			andresen	andre	Q9043
