round	geni_id	fs_id	slot	method	from_geni	from_fs_id	evidence
1	6000000000537043368	LBDD-T2H	spouse	solo	6000000003645915181	LM1H-8JF	position
1	6000000000537218162	9CMB-MBB	spouse	solo	4992526501010127680	L81M-75Y	position
1	6000000000599365568	LD91-95N	child	date	6000000005416616842	LD91-ST3	born 1023 vs 1023
1	6000000000624307198	LTFJ-P8P	child	date	6000000005416616842	LD91-ST3	born 1032 vs 1032
1	6000000000624754372	LVDF-MVB	spouse	date	6000000010211396295	9HTX-2CD	born 943 vs 943
1	6000000000624774219	LD9C-ZGZ	spouse	date	2915061	LZDH-NFR	born 872 vs 872
1	6000000000632008496	LZ8N-8BQ	spouse	name	6000000030768119996	LD91-PX3	shared: conan
1	6000000000687202972	GMNS-Q4L	father	solo	6000000000768917054	LBLP-Q79	position
1	6000000000717229053	9WYV-M96	mother	solo	6000000010656275894	LDSM-WYF	position
1	6000000000738376486	L1RP-F94	child	date	6000000002979868893	LCPG-8Q9	born 1113 vs 1113
1	6000000000758079676	L6L1-BHL	mother	solo	4976573922110117540	LXM8-QYV	position
1	6000000000758124033	G8CC-V47	spouse	solo	6000000000757999620	MBW7-P7H	position
1	6000000000768271011	K64R-P2Q	spouse	name	6000000000768236392	GQ1X-99J	shared: adelheid
1	6000000000768942057	LYJ7-NW3	spouse	date	6000000000768917054	LBLP-Q79	born 1013 vs 1013
1	6000000000769899870	GPQX-JZG	father	solo	6000000003645915181	LM1H-8JF	position
1	6000000000769899901	LHPZ-9WQ	spouse	date	6000000002274610910	L8W6-443	born 966 vs 968
1	6000000000771264415	L83J-7F5	child	date	6000000000771264432	LVZ5-9LT	born 1050 vs 1050
1	6000000001041441773	LZF6-M94	father	solo	6000000000013017126	LZ19-924	position
1	6000000001050631452	LTW1-ZVD	father	solo	4976573922110117540	LXM8-QYV	position
1	6000000001052011900	LZX2-BDJ	spouse	solo	6000000005029367221	KN4J-P1M	position
1	6000000001068387165	LZB4-2C7	father	solo	4294404046250042543	L8YY-5PB	position
1	6000000001142564337	LHZT-ZL9	spouse	name	6000000005566692200	LBBZ-8DB	shared: ermengarde
1	6000000001156548017	LY66-YCC	father	solo	6000000001156149953	999Y-LF2	position
1	6000000001156548028	L1W1-M5G	mother	solo	6000000001156149953	999Y-LF2	position
1	6000000001169221037	LHVB-W7K	child	date	6000000001199952528	LDSS-LKR	born 1006 vs 1006
1	6000000001172213829	PC6L-75N	mother	solo	4573114	LDMT-HMZ	position
1	6000000001200014120	L4NY-WX6	spouse	name	6000000001199952528	LDSS-LKR	shared: grenske,harald
1	6000000001200506171	LDSS-LB3	father	solo	6000000001199952528	LDSS-LKR	position
1	6000000001209415397	LDMB-Q59	spouse	name	6000000001045491041	LHXT-LR1	shared: hrólfsdóttir
1	6000000001381395280	LVD6-PLK	mother	solo	6000000000437044109	KFLJ-TW7	position
1	6000000001544616895	GT4W-3NK	spouse	date	6000000000425008069	9MXD-4XQ	born 1174 vs 1175
1	6000000001610448055	LYNR-DH4	child	date	6000000005416616842	LD91-ST3	born 1030 vs 1030
1	6000000001669640549	LJLK-967	child	date	6000000002713142517	LZFD-SD8	born 1083 vs 1083
1	6000000001669649063	9W15-B8Y	child	date	6000000009967802867	9H16-YMP	born 1058 vs 1058
1	6000000001669649864	L82R-5HJ	spouse	solo	6000000009967802867	9H16-YMP	position
1	6000000001669654269	9W1F-TP6	child	date	6000000003495348447	LDSH-HB3	born 845 vs 845
1	6000000001704006610	94Y9-XDF	spouse	solo	6000000001500928754	LBYY-GYZ	position
1	6000000001744815307	93T9-M9Z	father	solo	6000000000796896697	99KP-CPN	position
1	6000000001744837976	PNS2-6T6	spouse	solo	6000000003645692144	LDHS-DF1	position
1	6000000001770214443	LZ46-4Q2	mother	solo	6000000001827582117	LZ6S-D5L	position
1	6000000001789016114	MYBX-C2G	child	date	4957925920090125485	LB23-RVZ	born 1052 vs 1052
1	6000000001828950711	G64G-CVS	child	name	6000000003062994857	K2T2-K2Q	shared: jaromar
1	6000000002043184119	L8M6-YWJ	child	name	6000000005154005003	LDSS-ZMW	shared: matilda
1	6000000002043186152	L8MP-T1Y	spouse	solo	6000000001066179151	9HRG-JDL	position
1	6000000002043260887	GH8T-KQM	mother	solo	6000000000716998561	998F-RYD	position
1	6000000002043263847	LYPJ-Q6V	child	date	6000000002214625732	9CZV-2KJ	born 925 vs 925
1	6000000002135188575	G9DY-MG4	child	date	6000000010211396295	9HTX-2CD	born 974 vs 974
1	6000000002176661888	PW9B-SP3	mother	solo	6000000000768917054	LBLP-Q79	position
1	6000000002187588826	P8G9-6ZZ	child	date	6000000002441720163	LBTD-DM3	born 1067 vs 1067
1	6000000002187828560	LYXW-L9C	child	date	6000000001172352035	L8BY-3VJ	born 984 vs 984
1	6000000002187857767	GJJV-QC1	spouse	name	348989271720012699	LCRR-KM2	shared: judith,maine
1	6000000002187891645	GW9Y-7PZ	child	date	6000000000011361541	MSZC-Z12	born 1061 vs 1061
1	6000000002229809112	PQ9X-THJ	child	date	6000000003714562119	MBMH-FJ9	born 1121 vs 1121
1	6000000002240801354	L8WY-4FQ	mother	solo	5020177483010087236	L8WY-WYP	position
1	6000000002240801938	LRM1-QF5	mother	solo	6000000004397805952	L13J-RCK	position
1	6000000002240804449	GWSC-F6G	spouse	solo	6000000003243447534	LYHQ-HDW	position
1	6000000002265762670	PH4M-NVT	child	date	6000000009432315864	L8M6-YW7	born 1074 vs 1074
1	6000000002266231326	LDSV-PC1	spouse	solo	6000000002224457876	LDSV-P4D	position
1	6000000002441723192	LDSS-6H5	mother	solo	6000000002441590664	LDHQ-P5F	position
1	6000000002447185492	LHKK-GP5	child	date	6000000010211396295	9HTX-2CD	born 978 vs 978
1	6000000002553595095	9HZG-67F	father	solo	6000000001169157385	LTXV-1JH	position
1	6000000002553705444	GNQ7-MN4	mother	solo	6000000001169157385	LTXV-1JH	position
1	6000000002572699392	GRJF-9K6	father	solo	6000000004870648136	L6MJ-PSD	position
1	6000000002603403806	9C4W-9W8	child	date	6000000005416616842	LD91-ST3	born 1036 vs 1036
1	6000000002667382661	P4PJ-4VV	mother	solo	6000000001821187530	933H-W94	position
1	6000000002667568141	L18B-R3G	father	solo	6000000009967802867	9H16-YMP	position
1	6000000002893470105	L2PF-C5T	mother	solo	6000000001770214435	LZ46-4QK	position
1	6000000002893736112	GZF7-Y6N	mother	solo	6000000003505812453	L2PF-CPJ	position
1	6000000002893824744	9K4K-WPT	child	name	6000000000757999620	MBW7-P7H	shared: adelus,jacobsdatter
1	6000000003004153810	MMHP-PG4	spouse	date	4294404046250042543	L8YY-5PB	born 1170 vs 1170
1	6000000003051188566	GXBH-ZYB	mother	solo	6000000003051169829	PWVP-JW8	position
1	6000000003051245269	LDS9-GP7	child	date	6000000000424572235	LDS9-GGV	born 1011 vs 1011
1	6000000003051273715	LCP1-19Y	spouse	solo	6000000003051107855	2CNB-WKW	position
1	6000000003063208081	KHGT-4CW	child	name	6000000003062994857	K2T2-K2Q	shared: stoislaw
1	6000000003088649491	P3YX-TW6	child	date	6000000001169157385	LTXV-1JH	born 830 vs 830
1	6000000003146938406	KZ7B-HWY	spouse	name	6000000030768119996	LD91-PX3	shared: bohun,humphrey
1	6000000003146957188	LDMT-RFL	father	solo	6000000000170996982	L8MB-PBB	position
1	6000000003146957203	L8MB-PBW	spouse	solo	6000000000170996982	L8MB-PBB	position
1	6000000003196869122	LY2R-W82	spouse	date	6000000002106021492	9CW3-3SK	born 1081 vs 1081
1	6000000003232558141	GP7G-GQK	child	date	6000000004009856786	L193-QYW	born 969 vs 969
1	6000000003232579377	PCR9-WZP	child	date	6000000003714562119	MBMH-FJ9	born 1116 vs 1116
1	6000000003243400214	L5JM-54G	mother	solo	6000000001199952528	LDSS-LKR	position
1	6000000003243447745	9Q3T-ZKY	child	date	6000000004397805952	L13J-RCK	born 1133 vs 1133
1	6000000003378081904	G7NJ-FCN	father	solo	2559121	GY31-V99	position
1	6000000003413380258	P3XW-MP8	child	date	6000000002224457876	LDSV-P4D	born 1027 vs 1027
1	6000000003423576250	K12W-5TN	spouse	name	6000000005931229140	99K2-81M	shared: clementia,zähringen
1	6000000003477158307	LCTF-1WT	spouse	solo	6000000003477369115	LCR6-17R	position
1	6000000003513731372	9ZCG-R7L	mother	solo	6000000005154005003	LDSS-ZMW	position
1	6000000003531090432	LZ18-LSK	child	date	4957925920090125485	LB23-RVZ	born 1051 vs 1051
1	6000000003601184398	LYKJ-7K2	spouse	solo	6000000002979868893	LCPG-8Q9	position
1	6000000003645760032	PZBF-VTQ	child	date	6000000000771264432	LVZ5-9LT	born 1048 vs 1048
1	6000000003645832264	L8W6-ZVQ	father	solo	6000000000157358561	L8WB-MRH	position
1	6000000003726141100	9HPT-832	mother	solo	348989271720012699	LCRR-KM2	position
1	6000000003820948401	GPJC-3LQ	child	date	6000000002572728015	L6MJ-PM7	born 1403 vs 1403
1	6000000003828326587	L78P-NKJ	spouse	name	348989271720012699	LCRR-KM2	shared: raingarde
1	6000000003828361119	GRS8-CLQ	child	date	6000000001821187530	933H-W94	born 1105 vs 1105
1	6000000003852730222	G39Q-HBK	mother	solo	6000000002274610910	L8W6-443	position
1	6000000003858710950	LDSM-QNV	child	date	6000000000157358561	L8WB-MRH	born 1078 vs 1078
1	6000000003881721241	PM6T-JBF	spouse	date	6000000006727869435	LZLM-6ST	born 1160 vs 1160
1	6000000003897541628	9CFX-SL9	child	date	6000000004397805952	L13J-RCK	born 1130 vs 1130
1	6000000003948111154	GS2D-8JG	child	name	6000000003378670599	L4LT-7LS	shared: ogmundsdotter,ragnhild
1	6000000004211549396	L4LT-7BM	child	name	6000000003378670599	L4LT-7LS	shared: arne
1	6000000004533384157	L2Z5-9TF	child	date	6000000001169157385	LTXV-1JH	born 842 vs 842
1	6000000004533699174	GDKP-2XC	spouse	name	6000000001172352035	L8BY-3VJ	shared: adelia,öhningen
1	6000000004543138179	LSDK-D33	father	solo	6000000004009856786	L193-QYW	position
1	6000000004556835744	G4B1-4C5	spouse	name	6000000004009856786	L193-QYW	shared: sarolt
1	6000000004645401302	G1FK-WQV	mother	solo	6000000004870648136	L6MJ-PSD	position
1	6000000004697849241	LY92-Z4Y	spouse	solo	6000000002463510938	GY31-ZRH	position
1	6000000004827276873	L8WB-D2Z	mother	solo	6000000005416616842	LD91-ST3	position
1	6000000005229750431	GSX8-53N	mother	solo	6000000000796896697	99KP-CPN	position
1	6000000005406630017	LDSS-ZCS	father	solo	6000000001210528003	L8MB-C1W	position
1	6000000005407291287	L8YY-PP2	father	solo	6000000001172352035	L8BY-3VJ	position
1	6000000005417076176	L8YY-5HK	father	solo	6000000005416616842	LD91-ST3	position
1	6000000005587789441	L8WY-7T9	spouse	date	6000000003714562119	MBMH-FJ9	born 1092 vs 1092
1	6000000005598851433	L1QY-HVS	spouse	date	6000000000559404221	9CS3-646	born 1102 vs 1102
1	6000000005598859553	LTK5-9GP	child	date	6000000003051107855	2CNB-WKW	born 1102 vs 1102
1	6000000005599214296	99RH-7CK	spouse	solo	5020177483010087236	L8WY-WYP	position
1	6000000005631429001	LTVX-CQT	spouse	name	6000000030768119996	LD91-PX3	shared: wessington,william
1	6000000005791896564	LZBY-5LP	child	date	6000000003714562119	MBMH-FJ9	born 1120 vs 1120
1	6000000005861973018	MXWH-HJ8	spouse	solo	6000000001210528003	L8MB-C1W	position
1	6000000005864637017	LDW5-FB6	child	date	6000000003714576466	LDW5-623	born 1057 vs 1057
1	6000000005870356001	GX7F-XSZ	spouse	solo	6000000001119785651	LDMN-5Y4	position
1	6000000005874352030	LD34-6S6	spouse	solo	5547505078420042154	L8BY-B3Y	position
1	6000000005910721929	9ZZL-PZY	father	solo	6000000002441590664	LDHQ-P5F	position
1	6000000006103447029	L83F-5Z6	spouse	solo	3967262167710039627	L8MB-ZF7	position
1	6000000006111890476	KZ48-P15	child	date	6000000005566692200	LBBZ-8DB	born 1112 vs 1112
1	6000000006123591137	9ZZC-8JY	child	name	5473882692080138743	LZXX-FT2	shared: håkon
1	6000000006131047120	2Z98-QKN	father	solo	4957925920090125485	LB23-RVZ	position
1	6000000006346834599	ML2H-FS1	mother	solo	6000000020854914910	PNMB-BKG	position
1	6000000006346873253	LCF6-W5H	father	solo	6000000020854914910	PNMB-BKG	position
1	6000000006714534494	LDSS-ZMD	spouse	solo	6000000005154005003	LDSS-ZMW	position
1	6000000006727871963	LBNJ-3C7	spouse	solo	6000000004397805952	L13J-RCK	position
1	6000000006906506405	9HPQ-N9H	child	date	348989271720012699	LCRR-KM2	born 948 vs 948
1	6000000006906550197	GSZ8-DPY	spouse	name	4957925920090125485	LB23-RVZ	shared: herman
1	6000000006906624717	GBQT-WNN	child	date	6000000003051107855	2CNB-WKW	born 1094 vs 1094
1	6000000006906640457	LR36-MXD	child	date	6000000002979868893	LCPG-8Q9	born 1108 vs 1108
1	6000000006906647379	GTL4-SH5	child	date	6000000002461246164	L8WY-WD4	born 1115 vs 1115
1	6000000007105787584	PSG1-XMJ	child	date	6000000002224457876	LDSV-P4D	born 1015 vs 1015
1	6000000007280726030	LBNC-B75	father	solo	6000000003378670599	L4LT-7LS	position
1	6000000007281071419	LBNC-GSG	mother	solo	6000000003378670599	L4LT-7LS	position
1	6000000007362170801	PQLR-VYZ	child	name	6000000000768917054	LBLP-Q79	shared: lampert
1	6000000007548973143	GS2D-25D	child	date	2559121	GY31-V99	born 1390 vs 1390
1	6000000007584617218	GNJ6-513	spouse	solo	6000000003062994857	K2T2-K2Q	position
1	6000000007601619423	LDRF-4VY	spouse	name	6000000006727908777	LB35-9QD	shared: alice
1	6000000007626385063	G991-B92	child	date	6000000003051169829	PWVP-JW8	born 1214 vs 1214
1	6000000007635631030	GLX4-X45	child	name	6000000000757999620	MBW7-P7H	shared: kirsten
1	6000000007705552546	K2T2-K2D	child	name	6000000003062994857	K2T2-K2Q	shared: tetzlav
1	6000000008248466827	PFHC-CK2	child	date	6000000009967802867	9H16-YMP	born 1054 vs 1054
1	6000000008575928428	GDCF-ZCT	mother	solo	4957925920090125485	LB23-RVZ	position
1	6000000008640464512	LDSW-YSL	mother	solo	6000000002224457876	LDSV-P4D	position
1	6000000009432056296	GFS6-586	spouse	solo	6000000009438007527	LB5R-TH8	position
1	6000000009432364977	KDQW-JTJ	father	solo	6000000009438007527	LB5R-TH8	position
1	6000000009437997026	KDQH-DJG	mother	solo	5597380726000028489	9H17-VTZ	position
1	6000000009655380267	93HY-N89	child	date	3967262167710039627	L8MB-ZF7	born 875 vs 875
1	6000000009885176237	GNN8-QJH	spouse	name	5473882692080138743	LZXX-FT2	shared: tove
1	6000000009909505293	MXKR-J9R	spouse	solo	6000000000172833094	LZGK-GZB	position
1	6000000010120948699	LR37-798	father	solo	6000000002512272407	L83J-7KR	position
1	6000000010195903044	L179-W5T	child	date	6000000001441509684	KT4G-S84	born 890 vs 890
1	6000000010211558649	LZL3-CTY	child	date	6000000000424572235	LDS9-GGV	born 1000 vs 1000
1	6000000010389572289	L4S2-QJC	child	date	6000000004870612250	GYQ7-ZPD	born 1390 vs 1390
1	6000000010411585998	974N-V42	child	date	6000000009432315864	L8M6-YW7	born 1070 vs 1070
1	6000000010444330411	PZY2-RB2	spouse	solo	6000000009432470359	LDZ2-8G7	position
1	6000000010455043218	LZ84-SKX	mother	solo	4294404046250042543	L8YY-5PB	position
1	6000000010506987053	LZ8D-9DK	father	solo	6000000000172833094	LZGK-GZB	position
1	6000000010507015987	PXPH-S7T	mother	solo	6000000000172833094	LZGK-GZB	position
1	6000000010656307831	9SZ5-9W1	spouse	solo	6000000010656275894	LDSM-WYF	position
1	6000000010792525611	GCKR-CQ8	child	date	5597380726000028489	9H17-VTZ	born 1064 vs 1064
1	6000000010821867444	LT5Z-556	mother	solo	6000000001172352035	L8BY-3VJ	position
1	6000000010842463260	GKZC-RGL	child	date	6000000005416616842	LD91-ST3	born 1020 vs 1020
1	6000000011078726908	LRDZ-9HG	father	solo	6000000177920129831	PNMB-6Q5	position
1	6000000011078807545	LRDC-13Y	mother	solo	6000000177920129831	PNMB-6Q5	position
1	6000000011637315646	M33Z-FHV	spouse	name	6000000003649663347	L1R3-QH7	shared: beaumont
1	6000000011851507259	9Z8D-GVX	child	date	6000000000424572235	LDS9-GGV	born 1007 vs 1007
1	6000000011859444169	94JN-W7M	child	date	6000000002461246164	L8WY-WD4	born 1117 vs 1117
1	6000000013084678467	GLT6-R2Y	child	date	6000000000424572235	LDS9-GGV	born 1013 vs 1013
1	6000000013382178933	PZLP-1PN	mother	solo	6000000003649663347	L1R3-QH7	position
1	6000000013446125614	LV7M-MT9	child	date	6000000002441720163	LBTD-DM3	born 1070 vs 1070
1	6000000013814171569	G9PQ-YNZ	child	date	6000000004259810431	9HV2-NRT	born 1041 vs 1041
1	6000000013940704921	GY31-DF2	spouse	solo	2559121	GY31-V99	position
1	6000000015841751013	GZFW-9Q6	father	solo	6000000003505812453	L2PF-CPJ	position
1	6000000016729041871	G2RD-KRP	child	date	6000000000157358561	L8WB-MRH	born 1087 vs 1087
1	6000000018346329342	PF9F-6KV	child	name	6000000000768917054	LBLP-Q79	shared: adelhaid
1	6000000018832085528	LDSM-4M1	spouse	solo	6000000002441720163	LBTD-DM3	position
1	6000000022587109295	G88G-V6W	mother	solo	6000000002214625732	9CZV-2KJ	position
1	6000000022587262912	LB2S-FHY	father	solo	6000000002214625732	9CZV-2KJ	position
1	6000000026452727404	LZ59-5HK	spouse	date	6000000026451976732	GJPV-ZKP	born 1285 vs 1285
1	6000000027847542821	P46L-WNB	child	date	6000000001119785651	LDMN-5Y4	born 935 vs 935
1	6000000029422424863	L64M-MBC	child	date	5576581004760066388	L51S-NRL	born 1529 vs 1529
1	6000000029424424896	GRZG-H52	mother	solo	5576581004760066388	L51S-NRL	position
1	6000000033075260580	PZ4K-11F	spouse	name	6000000001172352035	L8BY-3VJ	shared: allogia,olava
1	6000000034997615948	GJPV-3HD	child	date	6000000026451976732	GJPV-ZKP	born 1329 vs 1329
1	6000000034997728878	LDJV-1WT	spouse	name	6000000034997636014	L87X-4T4	shared: margarete
1	6000000038245360914	L8SC-C1N	mother	solo	6000000002572728015	L6MJ-PM7	position
1	6000000039470976848	LDPY-RQZ	child	date	6000000002713142517	LZFD-SD8	born 1080 vs 1080
1	6000000039622384013	GHWM-5JB	child	name	6000000039622139446	GL3P-BWK	shared: berthold
1	6000000039886456346	L4S2-QJN	child	date	6000000004870612250	GYQ7-ZPD	born 1388 vs 1388
1	6000000039886468441	LH77-B29	child	date	6000000004870612250	GYQ7-ZPD	born 1414 vs 1414
1	6000000039886674144	LH77-BGK	child	date	6000000004870612250	GYQ7-ZPD	born 1412 vs 1412
1	6000000043132599282	LV5J-622	father	solo	6000000039622000739	GL3P-RNN	position
1	6000000043132783969	LV5J-6G6	mother	solo	6000000039622000739	GL3P-RNN	position
1	6000000046941506825	9CDZ-Q8X	spouse	name	6000000000011361541	MSZC-Z12	shared: alberada
1	6000000057033854851	GYGS-29B	child	date	6000000004259810431	9HV2-NRT	born 1056 vs 1056
1	6000000057323812009	LZNH-ZNG	spouse	date	6000000002713142517	LZFD-SD8	born 1055 vs 1056
1	6000000059484044105	K67P-BJN	mother	solo	6000000026451976732	GJPV-ZKP	position
1	6000000059484164993	9HNB-M2J	father	solo	6000000026451976732	GJPV-ZKP	position
1	6000000059500038071	GTHH-193	mother	solo	6000000039622139446	GL3P-BWK	position
1	6000000059500489866	LDJK-36M	father	solo	6000000039622139446	GL3P-BWK	position
1	6000000070965276858	GJPV-GT2	spouse	solo	6000000070964593226	GJPV-P6N	position
1	6000000072061002981	LDJV-1W3	child	date	6000000043132780089	GYQF-NHN	born 1260 vs 1260
1	6000000076909787530	L4S2-QNV	child	date	6000000004870612250	GYQ7-ZPD	born 1395 vs 1395
1	6000000078144525581	LHGL-1HZ	spouse	solo	6000000000701119941	L8PY-4HG	position
1	6000000081135818895	LR5H-F49	child	date	6000000001172352035	L8BY-3VJ	born 982 vs 982
1	6000000172226224822	GPJC-T6F	spouse	solo	6000000225709965832	GYQG-25Z	position
1	6000000177921458863	G8PW-127	child	solo	6000000177921459033	PNMB-K5N	position
1	6000000177921459028	PNMB-4FB	spouse	solo	6000000177921459033	PNMB-K5N	position
1	6000000177921459052	PNMB-3YK	mother	solo	6000000087535357291	PFR5-LDS	position
1	6000000177921459056	PNMB-45W	father	solo	6000000087535357291	PFR5-LDS	position
1	6000000177921459066	PNMY-TGG	spouse	solo	6000000178275437038	PNMB-MKW	position
1	6000000178279770847	GF2B-NKG	mother	solo	6000000178275437038	PNMB-MKW	position
1	6000000204756670829	GHLZ-26K	father	solo	6000000002572728015	L6MJ-PM7	position
1	6000000220340590992	LY83-151	father	solo	5576581004760066388	L51S-NRL	position
2	340342479380013975	GY3L-PT8	mother	solo	6000000002572699392	GRJF-9K6	position
2	347655337870012697	LZBY-TS8	mother	solo	6000000005417076176	L8YY-5HK	position
2	347774029580003520	LB23-LJ1	father	solo	6000000000351011235	9HVL-KZ4	position
2	3696730	9ZC4-8MC	child	name	6000000000437327174	94BP-X4Z	shared: maria
2	4129523906020033754	LH73-3ML	father	solo	6000000001744815307	93T9-M9Z	position
2	4321093289530030615	G6BF-K29	father	solo	6000000001704006610	94Y9-XDF	position
2	4645001	PNSM-1TY	mother	solo	6000000000351011235	9HVL-KZ4	position
2	4916976022510136549	GMNV-8YF	father	solo	6000000002553705444	GNQ7-MN4	position
2	4925425003710087812	GB1Z-D29	spouse	solo	6000000000424683032	LBQ7-VCK	position
2	4927794328070059657	GQP4-2K4	father	solo	6000000002240801354	L8WY-4FQ	position
2	4927821238910067084	9CZJ-FHN	child	name	6000000003051245269	LDS9-GP7	shared: judith
2	4957925890120125479	MGTC-QTS	father	solo	6000000001789016114	MYBX-C2G	position
2	4958047653390077861	LDSQ-XRK	father	solo	4927683959580122814	9CZC-GSR	position
2	5020469289250100933	LD78-CYZ	spouse	solo	6000000003531090432	LZ18-LSK	position
2	5305294636990124817	LZF8-9QB	father	solo	6000000001544616895	GT4W-3NK	position
2	5381202464070053447	LR28-FV9	child	date	6000000000771264415	L83J-7F5	born 1073 vs 1073
2	5411162182100027072	M15L-V4Q	mother	solo	6000000005910721929	9ZZL-PZY	position
2	5411162384740027078	LM1H-2WW	father	solo	6000000005910721929	9ZZL-PZY	position
2	6000000000112134992	LYJ2-TZG	father	solo	6000000003146957188	LDMT-RFL	position
2	6000000000125674313	L5P9-GVV	spouse	solo	6000000000125517845	L2PN-NHV	position
2	6000000000129346032	9915-HS3	child	name	6000000000738376486	L1RP-F94	shared: theodora
2	6000000000146368622	LZ18-L3N	child	date	6000000003531090432	LZ18-LSK	born 1072 vs 1072
2	6000000000156978511	L1Q2-6Z7	father	solo	6000000000537218162	9CMB-MBB	position
2	6000000000157099135	LTDZ-18Y	spouse	solo	6000000000157075199	LTTW-22W	position
2	6000000000161343538	LV89-MQW	spouse	solo	6000000003088649491	P3YX-TW6	position
2	6000000000162318926	GH7M-SN1	child	date	6000000000537043368	LBDD-T2H	born 1056 vs 1056
2	6000000000172095508	GYQM-7MJ	mother	solo	6000000000172095492	GWDP-YVK	position
2	6000000000196218118	LYX7-C8M	father	solo	6000000000135924403	93QC-WRW	position
2	6000000000228549487	9CWJ-JZ5	spouse	name	6000000005791896564	LZBY-5LP	shared: castilla,constanza
2	6000000000229962057	GX5X-MJM	father	solo	6000000006131047120	2Z98-QKN	position
2	6000000000295374050	LYYN-GWQ	spouse	date	6000000018832085528	LDSM-4M1	born 1017 vs 1020
2	6000000000307267733	GKSK-HTF	spouse	name	6000000006111890476	KZ48-P15	shared: guillaume,normandie
2	6000000000333911909	LD9Y-CW9	child	solo	6000000000624774219	LD9C-ZGZ	position
2	6000000000351011289	9CNQ-BYP	father	solo	6000000001156548028	L1W1-M5G	position
2	6000000000420341047	LCN5-99B	father	solo	6000000005407291287	L8YY-PP2	position
2	6000000000424810067	LYGH-JR3	child	date	6000000002441723192	LDSS-6H5	born 1011 vs 1011
2	6000000000436429336	LDSK-W5H	mother	solo	4776106	LDSW-YMB	position
2	6000000000469455971	LDSV-RVD	father	solo	6000000002266231326	LDSV-PC1	position
2	6000000000549937047	MH8P-93W	child	name	3953135291130122872	LYVQ-999	shared: otto
