geni_id,qid,wikidata_en,latin_name_count,first_latin_name,first_verdict,first_token_diff,best_latin_name,best_verdict
284138677450001022,Q6082487,Nicolaus Johannis Rudbeckius,3,Nicolaus Iohannis Johansson Jr.,"overlap, under half",1,Nicolaus Johannis nuorempi,"overlap, half or more"
288390320120001964,Q3301,Charles Martel,10,"Charles ""Martel"" Mayor of the Palace","overlap, half or more",4,Charles Martel,identical
289226275560008023,Q11959866,Axel Mowat,2,Axel Andersson Mowat,Geni is a superset,1,Axel Andersson Mowat,Geni is a superset
289320932760007122,Q6250312,John Neville,1,John Neville,identical,0,John Neville,identical
290615137410002629,Q11986923,Ludvig Holgersen Rosenkrantz,3,Ludwig Holgersen Holgersen Rosenkrantz auf Rosendal,"overlap, half or more",2,Ludvig Holgersen Rosenkrantz til Rosendal,Geni is a superset
2915061,Q273773,Rollo,8,"Rollo Ragnvaldsson ""the Walker Rolf""",Geni is a superset,4,Rollo,identical
294414873430006408,Q1346964,"Lambert, Margrave of Tuscany",2,Lambert margrave of Tuscany,identical bar case/diacritics,0,Lambert margrave of Tuscany,identical bar case/diacritics
294507970270007973,Q155473,Catherine of Bohemia,2,"Katharine of Luxembourg Herzogin von Österreich, Markgräfin von Brandenburg","overlap, under half",5,"Catherine, Duchess of Austria, Electress of Brandenburg","overlap, half or more"
297811137290006350,Q7220725,Tsvi,1,Tzvi Hirsh Isserles BESHT son [of Pinsk],nothing in common,6,Tzvi Hirsh Isserles BESHT son [of Pinsk],nothing in common
298740371650007964,Q1819709,"Leopold II, Duke of Austria",1,Leopold II of Habsburg 2nd Duke of of Austria,Geni is a superset,2,Leopold II of Habsburg 2nd Duke of of Austria,Geni is a superset
298741096650002960,Q664454,Henry VI the Good,4,Henryk VI Dobry Wrocławski książę z Wrocławski,"overlap, under half",2,"Henry VI the Good, Duke of Wrocław",Geni is a superset
298742409800006343,Q156404,Rudolf IV,2,"Rudolf IV. ""the Ingenious"" Habsburg Herzog von Österreich",Geni is a superset,6,"Rudolf IV. ""the Ingenious"" Habsburg Herzog von Österreich",Geni is a superset
299079241680007968,Q651883,Charles Joseph of Lorraine,4,Charles Joseph Jean Antoine Ignace Felix de Lorraine,"overlap, half or more",4,Charles Joseph Jean Antoine Ignace Felix de Lorraine,"overlap, half or more"
299241483040004362,Q16197796,Hakon Sunnivasson,1,Håkon,Wikidata is a superset,-1,Håkon,Wikidata is a superset
299466839860007954,Q793616,"Prince Carl, Duke of Västergötland",5,"Carl Oscar (Carl) Wilhelm Bernadotte prins av Sverige och Norge, arvfurste, hertig av Västgötland","overlap, under half",7,Carl av,"overlap, half or more"
300340430900007929,Q604419,Infanta Maria Josefa of Spain,1,Infanta Maria Josefa Carmela of Spain,Geni is a superset,1,Infanta Maria Josefa Carmela of Spain,Geni is a superset
300537894950005354,Q692265,Jérôme Napoleon Bonaparte,1,Jérôme Napoléon Bonaparte,identical bar case/diacritics,0,Jérôme Napoléon Bonaparte,identical bar case/diacritics
301342753080007082,Q21832326,Per Olof Grönlund,1,Per Olof Grönlund,identical,0,Per Olof Grönlund,identical
302030903370006491,Q234734,Faustina the Elder,3,Annia Galeria Faustina Major Faustina,"overlap, under half",1,Annia Galeria Faustina Major Faustina,"overlap, under half"
302036169990003799,Q2068391,Rupilia Faustina,1,Rupilia Faustina,identical,0,Rupilia Faustina,identical
302106850500001332,Q261802,"Januária, Countess of Aquila",2,Januária Maria Joana Carlota Leopoldina Cândida Francisca Xavier de Paula Micaela Gabriela Rafaela de Bragança,"overlap, under half",10,Januária Maria Joana Carlota Leopoldina Cândida Francisca Xavier de Paula Micaela Gabriela Rafaela de Bragança,"overlap, under half"
302107417920002914,Q2720659,"Prince Louis, Count of Aquila",2,Luigi Carlo Maria Giuseppe di Borbone delle Due Sicilie Conde de Áquila,"overlap, under half",7,Luigi Carlo Maria Giuseppe di Borbone delle Due Sicilie Conde de Áquila,"overlap, under half"
302211628310006481,Q674757,Tiberius Claudius Severus Proculus,1,Tiberius Claudius Severus Proculus,identical,0,Tiberius Claudius Severus Proculus,identical
302224840050008242,Q441706,Annia Cornificia Faustina Minor,1,Annia Cornificia Faustina Minor,identical,0,Annia Cornificia Faustina Minor,identical
302534501490001345,Q567222,Marcus Annius Verus Caesar,1,Marcus Annius Verus Caesar,identical,0,Marcus Annius Verus Caesar,identical
302888257510001064,Q109536562,Winifred Anne Neville,1,Winifred Anne Oldham,"overlap, half or more",0,Winifred Anne Oldham,"overlap, half or more"
302889610110005663,Q7241575,Presley Neville,1,Presley Neville,identical,0,Presley Neville,identical
302893164200008270,Q20822332,Amelia Neville,1,Amelia Neville,identical,0,Amelia Neville,identical
303021670170005628,Q452705,Domitia Paulina,1,Domitia Paulina,identical,0,Domitia Paulina,identical
304433105310001815,Q57195,Frederick V of the Palatinate,1,"Friedrich V Wittelsbach, Pfalz-Simmern Kürfürst von der Pfalz, König zu Böhmen","overlap, under half",6,"Friedrich V Wittelsbach, Pfalz-Simmern Kürfürst von der Pfalz, König zu Böhmen","overlap, under half"
304435320540004195,Q57989,"Charles I Louis, Elector Palatine",3,"Charles Louis Wittelsbach Elector of the Palatine, K.G.","overlap, half or more",4,"Charles I Louis, Elector Palatine",identical
305332989800002467,Q116150300,Cecilie Ebbesdatter,2,Cecilie Ebbesdatter Hvide,Geni is a superset,1,Cecilie Ebbesdatter Hvide,Geni is a superset
306650341960001516,Q2221910,Samuel Willard,2,Samuel Symon Willard Sr.,Geni is a superset,2,Samuel Symon Willard Sr.,Geni is a superset
307514259060008270,Q105426953,Margery Willard,1,Margery Willard,identical,0,Margery Willard,identical
3080341,Q1621801,Bengt Snivil,4,Bengt Folkesson,"overlap, half or more",0,Jaarli Bengt Snivil Folkenpoika,Geni is a superset
3096772,Q63242517,Israel Landau,1,Israel Tzvi Landau,Geni is a superset,1,Israel Tzvi Landau,Geni is a superset
3096838,Q1385975,Yechezkel Landau,1,Yechezkel Halevi Landau haNoda bYehuda,Geni is a superset,3,Yechezkel Halevi Landau haNoda bYehuda,Geni is a superset
309722704990006453,Q119700536,"Eliezer,  Father of the Baal Shem Tov",1,"Eliezer Isserles of Okopy, Father of Baal Shem Tov","overlap, half or more",1,"Eliezer Isserles of Okopy, Father of Baal Shem Tov","overlap, half or more"
310151979050001364,Q735297,Thomas Metcalfe,2,Thomas Metcalfe,identical,0,Thomas Metcalfe,identical
310787864080006466,Q65878,John VI of Anhalt-Zerbst,1,Johann VI. zu Anhalt-Zerbst,"overlap, half or more",0,Johann VI. zu Anhalt-Zerbst,"overlap, half or more"
310818848820003860,Q67155,"John, Duke of Brunswick-Lüneburg",1,Johann I Von Brunswick-Lüneburg Herzog,"overlap, under half",1,Johann I Von Brunswick-Lüneburg Herzog,"overlap, under half"
310819047470008278,Q100723,Otto I of Brunswick-Lüneburg,2,Otto prins af von Braunschweig-Lüneburg,"overlap, under half",1,Otto prins af von Braunschweig-Lüneburg,"overlap, under half"
310870261240004530,Q519036,Beatrice of Sicily,2,Beatrice de Aragón,"overlap, under half",0,Beatrice de Aragón of Sicely,"overlap, half or more"
311695983200008268,Q77557,"Henry Julius, Duke of Brunswick-Lüneburg",2,"Heinrich Julius Welf Herzog, Fürst zu Braunschweig-Wolfenbüttel Fürst zu Calenberg","overlap, under half",3,"Heinrich Julius Welf Herzog, Fürst zu Braunschweig-Wolfenbüttel Fürst zu Calenberg","overlap, under half"
311701678080003943,Q91542,"Elisabeth of Brunswick-Wolfenbüttel, Duchess of Saxe-Altenburg",3,"Elizabeth of Brunswick-Luneburg Braunschweig-Lüneburg , Welf Herzogin zu Sachsen-Altenburg","overlap, under half",3,Elisabeth,Wikidata is a superset
311713752450007086,Q819778,Ulrik of Denmark,2,"Ulrik Johann Oldenburg Prins, Prinz-bishof von Schwerin","overlap, under half",4,"Ulrik Johann Oldenburg Prins, Prinz-bishof von Schwerin","overlap, under half"
311714621730004586,Q452932,Hedwig of Denmark,1,Hedvig af Slesvig-Holsteen & Oldenborg Kurfürstin zu Sachsen,nothing in common,5,Hedvig af Slesvig-Holsteen & Oldenborg Kurfürstin zu Sachsen,nothing in common
311748967320008232,Q69987,"Christian Louis, Duke of Brunswick-Lüneburg",3,"Christian Ludwig Welf Herzog, Fürst zu Calenberg und Lüneburg","overlap, under half",4,"Christian Louis, Duke of Brunswick-Lüneburg",identical
311788525210007050,Q58773,"Charles William Ferdinand, Duke of Brunswick-Wolfenbüttel",2,Karl II Wilhelm Ferdinand Welf Herzog zu Braunschweig-Wolfenbüttel,"overlap, under half",2,"Charles William Ferdinand, Duke of Brunswick","overlap, half or more"
3119955,Q135529178,Narfi Vigfússon,2,Narfi Vigfússon,identical,0,Narfi Vigfússon,identical
3119993,Q135529188,Vigfús Flosason,2,Vigfús Flosason,identical,0,Vigfús Flosason,identical
3120040,Q135529195,Flosi Jónsson,2,Flosi Jónsson,identical,0,Flosi Jónsson,identical
3120072,Q135529196,Jón Erlendsson,2,Jón Erlendsson,identical,0,Jón Erlendsson,identical
3120112,Q16423408,Erlendur Ólafsson sterki,3,Erlendur „sterki“ Ólafsson sterki 'the Strong',Geni is a superset,3,Erlendur „sterki“ Ólafsson sterki 'the Strong',Geni is a superset
312468491750006446,Q170179,Frederick I of Württemberg,4,Friedrich Wilhelm Karl,nothing in common,-1,"Frederick I, king of Württemberg",Geni is a superset
312473166720001563,Q170398,Wilhelm I of Württemberg,3,Wilhelm Friedrich Karl of Württemberg King of Württemberg,"overlap, half or more",2,Wilhelm Friedrich Karl of Württemberg King of Württemberg,"overlap, half or more"
312474987850005822,Q57662,Caroline Augusta of Bavaria,2,"Karoline Charlotte Auguste Wittelsbach Kronprinzessin von Württemberg, Kaiserin zu Österreich und HRR",nothing in common,8,"Karoline Charlotte Auguste Wittelsbach Kronprinzessin von Württemberg, Kaiserin zu Österreich und HRR",nothing in common
312478266190003854,Q234257,Catherine Pavlovna of Russia,4,Ekaterina Pavlovna Romanova-Holstein-Gottorp,"overlap, under half",-1,Ekaterina Pavlovna Romanova-Holstein-Gottorp,"overlap, under half"
312479826640001569,Q168674,Sophie of Württemberg,1,Sophie Frederika Mathilde von Württemberg Queen consort of the Netherlands,Geni is a superset,7,Sophie Frederika Mathilde von Württemberg Queen consort of the Netherlands,Geni is a superset
3128066,Q133796445,Egill Hrifluson,1,Egill Hrifluson,identical,0,Egill Hrifluson,identical
3128084,Q133796446,Hrifla Þorsteinsson,1,Hrifla Þorsteinsson,identical,0,Hrifla Þorsteinsson,identical
3128249,Q4919484,Bjalfi,1,Brunda Bjálki (Bjalfi) Ögmundsson,Geni is a superset,3,Brunda Bjálki (Bjalfi) Ögmundsson,Geni is a superset
3137288,Q5642805,Hallbera Ulfsdóttir,2,Hallbera Úlfsdóttir,identical bar case/diacritics,0,Hallbera Úlfsdóttir,identical bar case/diacritics
3137346,Q7403744,Salbjörg Káradóttir,2,Salbjörg Berðlukáradóttir,"overlap, half or more",0,Salbjörg Berðlukáradóttir,"overlap, half or more"
3137573,Q133796450,Sigríður Þórarinsdóttir,1,Sigríður Þórarinsdóttir,identical,0,Sigríður Þórarinsdóttir,identical
3137588,Q133796451,Þórarinn Fálkason,1,Þórarinn Fálkason,identical,0,Þórarinn Fálkason,identical
3137599,Q133796453,Fálki Þórarinsson,1,Fálki Þórarinsson,identical,0,Fálki Þórarinsson,identical
3137656,Q16652509,Þórarinn Þórisson,1,Þórarinn Þórisson,identical,0,Þórarinn Þórisson,identical
3137665,Q15901190,Þórir Hámundsson,4,Þórir Hámundarson,"overlap, half or more",0,Þórir Hámundarson,"overlap, half or more"
315336717180006465,Q98050960,Joseph Willard,2,Joseph Willard,identical,0,Joseph Willard,identical
3153718,Q101247693,"ritari Klaaves Petterinpoika Fleming, justiciar of Finland",3,Klas Pedersson Fleming,"overlap, under half",-4,Klas Pedersson Fleming,"overlap, under half"
3153782,Q101247694,Peder Fleming,3,Peder Fleming,identical,0,Peder Fleming,identical
316147412330004951,Q123630765,Mary Peck,1,Mary Sperry,"overlap, half or more",0,Mary Sperry,"overlap, half or more"
316670476240006520,Q205185,Pierre Vidal-Naquet,1,Pierre Emmanuel Vidal-Naquet,Geni is a superset,1,Pierre Emmanuel Vidal-Naquet,Geni is a superset
317651825030005113,Q350220,Magnus III of Sweden,9,Magnus III Ladulås Birgersson King of Sweden,Geni is a superset,3,Magnus III Ladulås Birgersson King of Sweden,Geni is a superset
317708477140002329,Q75778499,William Gordon,2,"William Gordon Knight, 1st Laird of Gight",Geni is a superset,5,"William Gordon Knight, 1st Laird of Gight",Geni is a superset
323089148770004264,Q131441536,Hannah Kendall,1,Hannah Whittemore,"overlap, half or more",0,Hannah Whittemore,"overlap, half or more"
324213628700006382,Q140053154,Jacob ben Benjamin Ze'ev Zak,1,Yaakov ben Binyamin Ashkenazi of Vilna,"overlap, under half",1,Yaakov ben Binyamin Ashkenazi of Vilna,"overlap, under half"
3250004,Q16421316,Þórdís Snorradóttir,2,Þórdís Snorradóttir,identical,0,Þórdís Snorradóttir,identical
3250062,Q102323,Snorri Sturluson,2,Snorri Sturluson,identical,0,Snorri Sturluson,identical
328059531260007050,Q131389686,Mildred Washington,1,Mildred Berry,"overlap, half or more",0,Mildred Berry,"overlap, half or more"
328059704870005473,Q6260751,John Thornton Augustine Washington,1,John Thornton Augustine Washington,identical,0,John Thornton Augustine Washington,identical
328060368310004652,Q96919768,Tabitha Abbe,1,Tabitha Abbe,identical,0,Tabitha Abbe,identical
328061367880007095,Q6698561,Lucy Washington,1,Lucy Payne,"overlap, half or more",0,Lucy Payne,"overlap, half or more"
328066467320004666,Q6503819,Lawrence Augustine Washington,1,Lawrence Augustine Washington,identical,0,Lawrence Augustine Washington,identical
328077168020005438,Q191789,Martha Washington,2,Martha Dandridge,"overlap, half or more",0,"Martha (Dandridge) Washington, 1st First Lady of the United States",Geni is a superset
331343968670001462,Q4096791,Lev Brodsky,1,Leon Israilevich Brodsky,"overlap, half or more",1,Leon Israilevich Brodsky,"overlap, half or more"
331624398740011365,Q104537663,"Levi Moss, Sr.",1,Levi Moss Sr.,identical bar case/diacritics,0,Levi Moss Sr.,identical bar case/diacritics
331816214990005036,Q108935419,Theodia Walbridge,1,Theoda Porter,nothing in common,0,Theoda Porter,nothing in common
334054639890005270,Q94648964,Simon Davis,2,Simon Davis,identical,0,Simon Davis,identical
334086909030004575,Q75620410,Katherine Courtenay,1,Catherine Courtenay,"overlap, half or more",0,Catherine Courtenay,"overlap, half or more"
334231053020014505,Q104549148,Leo Eschwege,1,Leo Eschwege,identical,0,Leo Eschwege,identical
337578418680004010,Q172471,Valens,2,Flavius Julius Valens,Geni is a superset,2,Flavius Julius Valens,Geni is a superset
3376117,Q105355204,Hedwig Kaufmann,1,Hedwig Katz,"overlap, half or more",0,Hedwig Katz,"overlap, half or more"
3381491,Q16130364,Avraham Yehoshua Heschel,1,"Abraham Joshua Levenshtam Head, Cracow Yeshiva",nothing in common,3,"Abraham Joshua Levenshtam Head, Cracow Yeshiva",nothing in common
3381535,Q983578,Saul Wahl,2,Shaul Wahl Katzenellenbogen 1 day King,"overlap, half or more",4,Saul Wahl Katzenellenbogen (1 day King),Geni is a superset
3381870,Q1949189,Moses Isserles,1,"Moses ben Israel Isserles ""RaMA""",Geni is a superset,3,"Moses ben Israel Isserles ""RaMA""",Geni is a superset
3383072,Q122900906,Eliezer Isserles,1,Eliezer br. Rema of Krakow,"overlap, half or more",3,Eliezer br. Rema of Krakow,"overlap, half or more"
339435131070013659,Q1663709,Johannes Rudbeckius,4,Johannes Johannis Rudbeckius d.ä.,Geni is a superset,3,Johannes Rudbeckius,identical
339493353880007732,Q98108235,William Bassett,1,William Bassett of Sandwich,Geni is a superset,2,William Bassett of Sandwich,Geni is a superset
342033628020004274,Q99301832,Anna Christina Juul,1,Anna Christina Fredriksdotter Juul,Geni is a superset,1,Anna Christina Fredriksdotter Juul,Geni is a superset
342141620230011892,Q63593843,Josiah Willard,2,Josiah Willard,identical,0,Josiah Willard,identical
342270064330013681,Q96919831,Thomas Abbe,1,Thomas Abbe Sr.,Geni is a superset,1,Thomas Abbe Sr.,Geni is a superset
342270212400013753,Q96919837,Sarah Fairfield,1,Sarah Fairfield,identical,0,Sarah Fairfield,identical
342470603550004525,Q616618,Þorvaldur Snorrason Vatnsfirðingur,4,Þorvaldur Snorrason,Wikidata is a superset,-1,Þorvaldur Snorrason,Wikidata is a superset
342515586390012023,Q5474834,Melkorka,3,Melkorka mac Néill,Geni is a superset,2,Melkorka,identical
342709364300013928,Q88948,Jacob Ettlinger,2,Jacob Ettlinger Rabbi of Altona,Geni is a superset,3,Jacob Ettlinger Rabbi of Altona,Geni is a superset
346134922100011890,Q123630766,John Sperry,1,John Sperry,identical,0,John Sperry,identical
347131736630013162,Q309922,Chlothar III,2,Chlothar roi des Francs,"overlap, half or more",2,"Chlothar III, King of the Franks",Geni is a superset
347216548970004818,Q316874,Dagobert II,4,Dagobert II King of the Franks in Austrasia,Geni is a superset,6,Dagobert II King of the Franks in Austrasia,Geni is a superset
347655337870012697,Q242746,Sigrid the Haughty,10,Sigrid Tostesdotter,"overlap, half or more",-1,Sigrid the Haughty,identical
347774029580003520,Q181896,Sweyn I of Denmark,10,"Sweyn ""Forkbeard"" Haraldsson King of Denmark and England","overlap, half or more",4,"Sweyn I ""Forkbeard"", king of Denmark, Norway & England",Geni is a superset
347803456540001332,Q134128,Cnut the Great,6,Cnut The Great Sweynsson King Of England And Denmark,Geni is a superset,6,Cnut The Great Sweynsson King Of England And Denmark,Geni is a superset
347812287200006062,Q41864,Sigurd Snake-in-the-Eye,8,"Sigurd ""Worm in Eye"" Ragnarsson","overlap, half or more",3,"Sigurd ""Worm in Eye"" Ragnarsson","overlap, half or more"
347868854190012671,Q266495,Olaf I of Denmark,5,Oluf Hunger Svendsøn,nothing in common,-1,"Oluf I ""Hunger"", konge af Danmark","overlap, under half"
347871934200012670,Q75385237,Ragnhild Eriksdottir,2,Ragnhild Eiriksdatter of Denmark,"overlap, half or more",2,Ragnhild Eiriksdatter of Denmark,"overlap, half or more"
348101875910005782,Q333356,Pepin I of Aquitaine,2,Pépin I Roi d'Aquitaine,"overlap, half or more",0,"Pépin I, king of Aquitaine",Geni is a superset
348889594040013469,Q100327211,Ermengarde of Provence,4,Ermengarde,Wikidata is a superset,-2,Ermengarde,Wikidata is a superset
348989271720012699,Q317933,Hugh the Great,5,"Hugh ""Magnus"" of Paris count of Paris, duke of the Franks","overlap, half or more",5,"Hugh ""Magnus"" of Paris count of Paris, duke of the Franks","overlap, half or more"
3518356,Q245968,James Stuart-Wortley-Mackenzie,1,"James Archibald Stuart-Wortley-Mackenzie Kt.,",Geni is a superset,2,"James Archibald Stuart-Wortley-Mackenzie Kt.,",Geni is a superset
353227352640011019,Q116458229,Strange Nielsen Strangesen,1,Strange Nielsen Bild til Nørholm,"overlap, half or more",2,Strange Nielsen Bild til Nørholm,"overlap, half or more"
353440830330013057,Q122961015,Thora,1,Tora Guttormsdotter Vik,nothing in common,2,Tora Guttormsdotter Vik,nothing in common
353442154280012039,Q75930730,Lady Anne Radcliffe,1,Anne Radcliffe,Wikidata is a superset,-1,Anne Radcliffe,Wikidata is a superset
353464201260013082,Q777417,Erling Steinvegg,2,Erling Steinvegg Magnusson,Geni is a superset,1,Erling Steinvegg Magnusson,Geni is a superset
353466568960001728,Q888200,Inge Magnusson,1,Inge Magnusson,identical,0,Inge Magnusson,identical
353479885240011139,Q1752172,Haakon Magnusson of Norway,3,Håkon Magnussen Toresfostre,nothing in common,-1,Kong Håkon Magnusson Toresfostre,"overlap, under half"
355281657880011354,Q1883688,Ingeborg Magnusdotter of Sweden,5,Ingeborg Magnusdotter of Sweden Queen of Denmark,Geni is a superset,2,Ingeborg Magnusdotter of Sweden Queen of Denmark,Geni is a superset
356575805210011493,Q888209,Haakon the Young,8,"Haakon ""The Young"" Haakonsson","overlap, under half",1,"Haakon ""The Young"" Haakonsson","overlap, under half"
359281527140013083,Q210564,Michael VII Doukas,2,Michael Doukas,Wikidata is a superset,-1,"Michael VII Doukas, Eastern Roman Emperor",Geni is a superset
359853708530012333,Q5344866,Edward Pitt,1,Edward Pitt MP,Geni is a superset,1,Edward Pitt MP,Geni is a superset
3602493,Q452699,"Eric II, Duke of Pomerania",4,"Erich Griffin II, of Pomerania in Wolgast","overlap, half or more",2,"Erich Griffin II, of Pomerania in Wolgast","overlap, half or more"
361088630390012679,Q37098,Michael IX Palaiologos,1,Michael IX Palaiologos Byzantine co-emperor,Geni is a superset,2,Michael IX Palaiologos Byzantine co-emperor,Geni is a superset
361088850870011645,Q2579326,Rita of Armenia,2,Rita Maria Byzantine Empress consort,"overlap, under half",2,Princess Rita of Armenia Empress-Consort of Byzantium,Geni is a superset
361088998770012651,Q37063,Andronikos III Palaiologos,3,Andronikos III Palaiologos Byzantine emperor,Geni is a superset,2,Andronikos III Palaiologos Byzantine emperor,Geni is a superset
361089507860011643,Q37070,John V Palaiologos,3,John V Palaiologos Byzantine emperor,Geni is a superset,2,John V Palaiologos Byzantine emperor,Geni is a superset
361242720430013551,Q329708,Matthew Kantakouzenos,2,Matthew Asen Kantakouzenos,Geni is a superset,1,Matthew Asen Kantakouzenos,Geni is a superset
361244423510011619,Q37078,Andronikos IV Palaiologos,1,Andronikos IV Palaiologos byzantine emperor,Geni is a superset,2,Andronikos IV Palaiologos byzantine emperor,Geni is a superset
361246792660007630,Q37089,Andronikos V Palaiologos,1,Andronikos V Palaiologos,identical,0,Andronikos V Palaiologos,identical
361248587300001388,Q704973,Theodoros II Palaiologos,2,Theodore II Palaiologos despot of Morea,"overlap, half or more",3,Theodore II Palaiologos despot of Morea,"overlap, half or more"
361250787660004588,Q660578,Theodoros I Palaiologos,1,Theodore I Palaiologos despot of Morea,"overlap, half or more",3,Theodore I Palaiologos despot of Morea,"overlap, half or more"
361882907620007935,Q2622520,Yury of Zvenigorod,4,Yury Dmitriyevich Rurikid,"overlap, under half",0,Yury Dmitriyevich of Zvenigorod,Geni is a superset
361885079530012036,Q210162,Ivan II of Moscow,6,Ivan II Ivanovich 'the Fair' Rurikov,"overlap, half or more",2,Ivan II Ivanovich 'the Fair' Rurikov,"overlap, half or more"
361885795230005497,Q185316,Ivan I of Moscow,5,"Ivan I Danilovich ""Kalita"" Rurikov","overlap, half or more",1,"Ivan I Danilovich ""Kalita"" Rurikov","overlap, half or more"
361886414530007915,Q297102,Simeon of Moscow,3,"Simeon ""The Proud"" Ivanovich of Moscow",Geni is a superset,3,"Simeon ""The Proud"" Ivanovich of Moscow",Geni is a superset
361890384880013875,Q6146474,Vasiliy Kirdyapa,2,"Vasily Dmitriyevich ""Kirdyapa"" of Suzdal",nothing in common,3,"Vasily Dmitriyevich ""Kirdyapa"" of Suzdal",nothing in common
362156517910013935,Q2498455,Bryachislav of Polotsk,2,Bryachislav Izyaslavich of Polotsk,Geni is a superset,1,Bryachislav Izyaslavich of Polotsk,Geni is a superset
362164304500001795,Q1226606,Alexios Komnenos,2,Alexios Komnenos,identical,0,Alexios Komnenos,identical
3624121,Q6032078,Ingeborg Tryggvasdotter,4,Ingeborga Tryggvės duktė,nothing in common,1,Ingeborg,Wikidata is a superset
3624768,Q31721,Haakon Ericsson,5,Håkon Eriksson Ericsson Earl of Lade,"overlap, half or more",4,Håkon Eriksson Ericsson Earl of Lade,"overlap, half or more"
363871132870012262,Q53435,Mieszko I,5,Mieszko I,identical,0,Mieszko I,identical
363886034950010574,Q3228728,"Leszek, Duke of Masovia",2,Leszek Mazowiecki Duke of Masovia,Geni is a superset,1,Leszek Mazowiecki Duke of Masovia,Geni is a superset
364493767690007647,Q56372331,Maud de Vaux,2,Matilda de Vaux Baroness Ros of Helmsley,"overlap, half or more",4,Matilda de Vaux Baroness Ros of Helmsley,"overlap, half or more"
364546674660002455,Q235591,Isabella Jagiellon,6,Izabella Jagiellon Queen consort of Eastern Hungary,"overlap, half or more",5,Izabella Jagiellon Queen consort of Eastern Hungary,"overlap, half or more"
364684989340012633,Q2609611,Margaret de Clare,2,Margaret de Clare Countess of Cornwall & Gloucester,Geni is a superset,5,Margaret de Clare Countess of Cornwall & Gloucester,Geni is a superset
365447742810013159,Q10795576,Joan of Lusignan,1,Jeanne de la Marche,nothing in common,1,Jeanne de la Marche,nothing in common
367922923820005107,Q394552,"Agnes I, Abbess of Quedlinburg",4,Agnieszka Władysławówna,nothing in common,-3,"Agnes I, Abbess of Quedlinburg",identical
367961528670013760,Q4759496,Andronikos Doukas,2,Andronikos Byzantine Doukas Co-Emperor,Geni is a superset,2,Andronikos Byzantine Doukas Co-Emperor,Geni is a superset
367972467880002240,Q271506,Felicia of Sicily,4,"Felicia ""Busilla"" of Sicily de Hauteville consort of Hungary",Geni is a superset,5,"Felicia ""Busilla"" of Sicily de Hauteville consort of Hungary",Geni is a superset
