geni_id	page	name	relationship	managed_by	immediate_family	href
6000000031527612551	2	Name: Sultan Tughril I MP (990 - 1063) "Tughril", "Toghril"	Relationship: NN's 9th great grandson	Managed By: Emily Damiano	Immediate Family: Son of Mika'il Seljuq and n n Husband of Altun Jan Khatun and Fatima Al-Abbasi Brother of Dawud Chaghri Bey, Lord of Khorasan and Musa ibn Mika'il Seljuq	/people/Sultan-Tughril-I/6000000031527612551?through=6000000227822546944
6000000031528142916	2	Name: Dawud Chaghri Bey, Lord of Khorasan MP (989 - 1060) "Chagri Beg", "Chagri Bey", "Cagri Beg"	Relationship: NN's 9th great grandson	Managed By: Emily Damiano	Immediate Family: Son of Mika'il Seljuq and n n Husband of (No Name) Father of Sultan Alp Arslan; Ahmad Qavurt Seljuq; Yaquti Seljuq; Bahram Seljuq and 8 others; Ilyas ibn Çağrı; Uthman ibn Çağrı; Khadija Arslan; Gouhar Khatun bint Çağrı; Safiye bint Çağrı; Fulana Seljuq; NN Seljuq and Sulayman Seljuq« less Brother of Sultan Tughril I and Musa ibn Mika'il Seljuq	/people/Dawud-Chaghri-Bey-Lord-of-Khorasan/6000000031528142916?through=6000000227822546944
6000000032959707151	2	Name: Musa ibn Mika'il Seljuq	Relationship: NN's 9th great grandson	Managed By: Emily Damiano	Immediate Family: Son of Mika'il Seljuq and n n Father of Dawlat-Šāh Brother of Sultan Tughril I and Dawud Chaghri Bey, Lord of Khorasan	/people/Musa-ibn-Mika-il-Seljuq/6000000032959707151?through=6000000227822546944
6000000225495939185	2	Name: Príncipe Gregory Abul-Hamza Artsruni	Relationship: NN's 9th great grandson	Managed By: Zurab Kopaliani	Immediate Family: Son of Vasak Ardzrouni and Surkhab ibn Abul-Melik Artsruni Father of Michke Ardzrouni	/people/Pr%C3%ADncipe-Gregory-Abul-Hamza-Artsruni/6000000225495939185?through=6000000227822546944
6000000033135203961	2	Name: Surkhab ibn Qarin	Relationship: NN's 9th great grandson	Managed By: Emily Damiano	Immediate Family: Son of Qarin I of the Bavandids Husband of Atika Father of Rustam I of the Bavandids Brother of Maziar ibn Qarin and Kuhyar of the Bavandid	/people/Surkhab-ibn-Qarin/6000000033135203961?through=6000000227822546944
6000000033135098251	2	Name: Maziar ibn Qarin	Relationship: NN's 9th great grandson	Managed By: Emily Damiano	Immediate Family: Son of Qarin I of the Bavandids Brother of Surkhab ibn Qarin and Kuhyar of the Bavandid	/people/Maziar-ibn-Qarin/6000000033135098251?through=6000000227822546944
6000000172038150309	2	Name: Kuhyar of the Bavandid	Relationship: NN's 9th great grandson	Managed By: Sylvie Mochiri (Moshiri)	Immediate Family: Son of Qarin I of the Bavandids Brother of Surkhab ibn Qarin and Maziar ibn Qarin	/people/Kuhyar-of-the-Bavandid/6000000172038150309?through=6000000227822546944
6000000031528209013	2	Name: Sultan Alp Arslan MP (1029 - 1072)	Relationship: NN's 10th great grandson	Managed By: Emily Damiano	Immediate Family: Son of Dawud Chaghri Bey, Lord of Khorasan Husband of Aka of the Karakhani; daughter of Smbat of Lori; Safariyya Khatun; Fulana Seljuq and 1 other; and daughter of Kyuriké II of Lori« less Father of Tutush I, Emir of Damascus; Izz ad-Din Argun Arslan; Bori-Bars Arslan; Toghrul and 11 others; Ayaz; Toghan-Shah; Arslan-Shah Arslan; Tekish Arslan; Aisha Arslan; Princess Zuleikha Arslan; Malik-Shah I of Great Seljuq; Fulana; Sifri Khatun Arslan; Taj al-Dawla Tutush Arslan and Sulayman Arslan, Bey« less Brother of Ahmad Qavurt Seljuq; Yaquti Seljuq; Bahram Seljuq; Ilyas ibn Çağrı and 6 others; Uthman ibn Çağrı; Khadija Arslan; Gouhar Khatun bint Çağrı; Safiye bint Çağrı; Fulana Seljuq and NN Seljuq« less Half brother of Sulayman Seljuq	/people/Sultan-Alp-Arslan/6000000031528209013?through=6000000227822546944
6000000031528222380	3	Name: Ahmad Qavurt Seljuq MP (b. - 1073)	Relationship: NN's 10th great grandson	Managed By: Emily Damiano	Immediate Family: Son of Dawud Chaghri Bey, Lord of Khorasan Father of Sultan Shah of Kerman; Turan Shah I of Kerman; Kerman Seljuq; Hussain Omar Seljuq and 1 other; and Mustazhiriyya bt. Qavurt« less Brother of Sultan Alp Arslan; Yaquti Seljuq; Bahram Seljuq; Ilyas ibn Çağrı and 6 others; Uthman ibn Çağrı; Khadija Arslan; Gouhar Khatun bint Çağrı; Safiye bint Çağrı; Fulana Seljuq and NN Seljuq« less Half brother of Sulayman Seljuq	/people/Ahmad-Qavurt-Seljuq/6000000031528222380?through=6000000227822546944
6000000031528486898	3	Name: Yaquti Seljuq	Relationship: NN's 10th great grandson	Managed By: Emily Damiano	Immediate Family: Son of Dawud Chaghri Bey, Lord of Khorasan Father of Isma'il bin Yaquti Seljuq and Zubaida Khatun Brother of Sultan Alp Arslan; Ahmad Qavurt Seljuq; Bahram Seljuq; Ilyas ibn Çağrı and 6 others; Uthman ibn Çağrı; Khadija Arslan; Gouhar Khatun bint Çağrı; Safiye bint Çağrı; Fulana Seljuq and NN Seljuq« less Half brother of Sulayman Seljuq	/people/Yaquti-Seljuq/6000000031528486898?through=6000000227822546944
