file	subject	cards	with_relation
5389087141070079885.html	5389087141070079885	12	12
5441266921810062407.html	5441266921810062407	12	12
5441313740220126371.html	5441313740220126371	12	12
5447505087810135067.html	5447505087810135067	12	12
5502961102630086048.html	5502961102630086048	12	12
5502964838900085605.html	5502964838900085605	9	9
5551057844540081310.html	5551057844540081310	12	12
5551063057940043140.html	5551063057940043140	12	12
5562350241840082253.html	5562350241840082253	12	12
5617518918050122036.html	5617518918050122036	12	12
5617538511300106313.html	5617538511300106313	12	12
5679634808960060299.html	5679634808960060299	12	12
5680189981660060613.html	5680189981660060613	12	12
6000000000010678591.html	6000000000010678591	12	12
6000000000012602183.html	6000000000012602183	12	12
6000000000019972451.html	6000000000019972451	12	12
6000000000023930647.html	6000000000023930647	13	13
6000000000041470596.html	6000000000041470596	12	12
6000000000060201977.html	6000000000060201977	12	12
6000000000073797328.html	6000000000073797328	9	9
6000000000085100177.html	6000000000085100177	12	12
6000000000099770180.html	6000000000099770180	12	12
6000000000101143665.html	6000000000101143665	7	7
6000000000113843065.html	6000000000113843065	12	12
6000000000113843072.html	6000000000113843072	12	12
6000000000125793641.html	6000000000125793641	12	12
6000000000127612116.html	6000000000127612116	12	12
6000000000127612134.html	6000000000127612134	11	11
6000000000135924403.html	6000000000135924403	12	12
6000000000136616524.html	6000000000136616524	10	10
6000000000136688085.html	6000000000136688085	7	7
6000000000139648597.html	6000000000139648597	12	12
6000000000186421249.html	6000000000186421249	6	6
6000000000196218118.html	6000000000196218118	12	12
6000000000207082579.html	6000000000207082579	12	12
6000000000207082672.html	6000000000207082672	12	12
6000000000252931854.html	6000000000252931854	12	12
6000000000351087662.html	6000000000351087662	12	12
6000000000351087701.html	6000000000351087701	12	12
6000000000361052707.html	6000000000361052707	12	12
6000000000424848932.html	6000000000424848932	12	12
6000000000424851399.html	6000000000424851399	7	7
6000000000437044109.html	6000000000437044109	12	12
6000000000437130447.html	6000000000437130447	4	4
6000000000437316601.html	6000000000437316601	12	12
6000000000437327174.html	6000000000437327174	12	12
6000000000437669873.html	6000000000437669873	12	12
6000000000460790288.html	6000000000460790288	12	12
6000000000467542216.html	6000000000467542216	12	12
6000000000484083511.html	6000000000484083511	12	12
6000000000484249023.html	6000000000484249023	12	12
6000000000496970049.html	6000000000496970049	12	12
6000000000497643885.html	6000000000497643885	4	4
6000000000537527004.html	6000000000537527004	12	12
6000000000565230800.html	6000000000565230800	12	12
6000000000565416578.html	6000000000565416578	12	12
6000000000568379999.html	6000000000568379999	12	12
6000000000568695494.html	6000000000568695494	12	12
6000000000571789704.html	6000000000571789704	12	12
6000000000574078388.html	6000000000574078388	12	12
6000000000576766420.html	6000000000576766420	12	12
6000000000589541967.html	6000000000589541967	12	12
6000000000593738894.html	6000000000593738894	12	12
6000000000594454726.html	6000000000594454726	12	12
6000000000607356949.html	6000000000607356949	11	11
6000000000607426990.html	6000000000607426990	11	11
6000000000634953446.html	6000000000634953446	3	3
6000000000638286399.html	6000000000638286399	12	12
6000000000646636987.html	6000000000646636987	12	12
6000000000646740659.html	6000000000646740659	12	12
6000000000649121564.html	6000000000649121564	11	11
6000000000650837721.html	6000000000650837721	12	12
6000000000659810695.html	6000000000659810695	12	12
6000000000663149325.html	6000000000663149325	12	12
6000000000663258163.html	6000000000663258163	9	9
6000000000666780234.html	6000000000666780234	12	12
6000000000671061765.html	6000000000671061765	5	5
6000000000679344754.html	6000000000679344754	12	12
6000000000687421882.html	6000000000687421882	12	12
6000000000687631539.html	6000000000687631539	12	12
6000000000694158525.html	6000000000694158525	13	13
6000000000709334357.html	6000000000709334357	12	12
6000000000725159715.html	6000000000725159715	12	12
6000000000728299766.html	6000000000728299766	12	12
6000000000735554252.html	6000000000735554252	12	12
6000000000756952602.html	6000000000756952602	12	12
6000000000757999620.html	6000000000757999620	12	12
6000000000758079676.html	6000000000758079676	12	12
6000000000764818098.html	6000000000764818098	12	12
6000000000764844009.html	6000000000764844009	12	12
6000000000768957873.html	6000000000768957873	12	12
6000000000781697178.html	6000000000781697178	12	12
6000000000796891248.html	6000000000796891248	12	12
6000000000855618243.html	6000000000855618243	12	12
6000000000866353020.html	6000000000866353020	12	12
6000000000873947684.html	6000000000873947684	12	12
6000000000879803071.html	6000000000879803071	12	12
6000000000891680343.html	6000000000891680343	12	12
6000000000982525534.html	6000000000982525534	12	12
6000000001012125847.html	6000000001012125847	12	12
6000000001056501127.html	6000000001056501127	12	12
6000000001062725047.html	6000000001062725047	11	11
6000000001063167523.html	6000000001063167523	12	12
6000000001088018839.html	6000000001088018839	6	6
6000000001088021553.html	6000000001088021553	6	6
6000000001088154772.html	6000000001088154772	4	4
6000000001116583134.html	6000000001116583134	12	12
6000000001131192746.html	6000000001131192746	12	12
6000000001138735296.html	6000000001138735296	12	12
6000000001139071013.html	6000000001139071013	12	12
6000000001139144268.html	6000000001139144268	12	12
6000000001144914191.html	6000000001144914191	12	12
6000000001169154976.html	6000000001169154976	12	12
6000000001169171714.html	6000000001169171714	12	12
6000000001169235389.html	6000000001169235389	12	12
6000000001169238166.html	6000000001169238166	12	12
6000000001169313832.html	6000000001169313832	12	12
6000000001196257237.html	6000000001196257237	13	13
6000000001198262405.html	6000000001198262405	12	12
6000000001198860794.html	6000000001198860794	12	12
6000000001199993264.html	6000000001199993264	9	9
6000000001200028258.html	6000000001200028258	12	12
6000000001311917463.html	6000000001311917463	12	12
6000000001322198340.html	6000000001322198340	12	12
6000000001322198603.html	6000000001322198603	12	12
6000000001338193719.html	6000000001338193719	12	12
6000000001353276458.html	6000000001353276458	12	12
6000000001353537105.html	6000000001353537105	12	12
6000000001372350889.html	6000000001372350889	12	12
6000000001372368326.html	6000000001372368326	12	12
6000000001372528092.html	6000000001372528092	12	12
6000000001412881746.html	6000000001412881746	12	12
6000000001498704022.html	6000000001498704022	12	12
6000000001498704055.html	6000000001498704055	12	12
6000000001498704338.html	6000000001498704338	12	12
6000000001500854738.html	6000000001500854738	12	12
6000000001500893042.html	6000000001500893042	12	12
6000000001500929374.html	6000000001500929374	12	12
6000000001501057114.html	6000000001501057114	12	12
6000000001504281165.html	6000000001504281165	8	8
6000000001504702346.html	6000000001504702346	12	12
6000000001504816842.html	6000000001504816842	12	12
6000000001506899998.html	6000000001506899998	12	12
6000000001584382671.html	6000000001584382671	12	12
6000000001584687363.html	6000000001584687363	12	12
6000000001584801190.html	6000000001584801190	9	9
6000000001593637951.html	6000000001593637951	12	12
6000000001594051535.html	6000000001594051535	12	12
6000000001613759071.html	6000000001613759071	12	12
6000000001613970246.html	6000000001613970246	12	12
6000000001614845637.html	6000000001614845637	12	12
6000000001624111597.html	6000000001624111597	12	12
6000000001651460598.html	6000000001651460598	12	12
6000000001651502714.html	6000000001651502714	12	12
6000000001651629109.html	6000000001651629109	12	12
6000000001708363985.html	6000000001708363985	11	11
6000000001711091993.html	6000000001711091993	12	12
6000000001713373908.html	6000000001713373908	12	12
6000000001722370024.html	6000000001722370024	12	12
6000000001732153525.html	6000000001732153525	12	12
6000000001732177195.html	6000000001732177195	12	12
6000000001770188397.html	6000000001770188397	12	12
6000000001770214443.html	6000000001770214443	4	4
6000000001784502814.html	6000000001784502814	12	12
6000000001784535509.html	6000000001784535509	12	12
6000000001784558539.html	6000000001784558539	12	12
6000000001801026836.html	6000000001801026836	12	12
6000000001821102369.html	6000000001821102369	12	12
6000000001827531760.html	6000000001827531760	6	6
6000000001827575240.html	6000000001827575240	12	12
6000000001827582117.html	6000000001827582117	12	12
6000000001827585947.html	6000000001827585947	12	12
6000000001827593928.html	6000000001827593928	12	12
6000000001827596078.html	6000000001827596078	12	12
6000000001827610153.html	6000000001827610153	12	12
6000000001833628324.html	6000000001833628324	11	11
6000000001838607806.html	6000000001838607806	12	12
6000000001838879990.html	6000000001838879990	12	12
6000000001873530609.html	6000000001873530609	12	12
6000000001891957076.html	6000000001891957076	13	13
6000000001900007557.html	6000000001900007557	12	12
6000000001919547668.html	6000000001919547668	12	12
6000000001919812645.html	6000000001919812645	12	12
6000000001969506851.html	6000000001969506851	12	12
6000000001969599119.html	6000000001969599119	12	12
6000000001994951163.html	6000000001994951163	12	12
6000000001995109345.html	6000000001995109345	10	10
6000000002017898070.html	6000000002017898070	12	12
6000000002031285960.html	6000000002031285960	12	12
6000000002043263103.html	6000000002043263103	12	12
6000000002078094635.html	6000000002078094635	12	12
6000000002078126382.html	6000000002078126382	12	12
6000000002106139599.html	6000000002106139599	12	12
6000000002163543379.html	6000000002163543379	9	9
6000000002176658451.html	6000000002176658451	12	12
6000000002187796542.html	6000000002187796542	12	12
6000000002187796550.html	6000000002187796550	12	12
6000000002187851434.html	6000000002187851434	11	11
6000000002188050061.html	6000000002188050061	12	12
6000000002188081857.html	6000000002188081857	10	10
6000000002188110562.html	6000000002188110562	12	12
6000000002188289908.html	6000000002188289908	12	12
6000000002188304379.html	6000000002188304379	12	12
6000000002188307463.html	6000000002188307463	12	12
6000000002188307934.html	6000000002188307934	12	12
6000000002188578738.html	6000000002188578738	7	7
6000000002188578769.html	6000000002188578769	12	12
6000000002188579271.html	6000000002188579271	12	12
6000000002188625450.html	6000000002188625450	12	12
6000000002222709933.html	6000000002222709933	12	12
6000000002226068159.html	6000000002226068159	12	12
6000000002228252084.html	6000000002228252084	12	12
6000000002228278394.html	6000000002228278394	12	12
6000000002244380726.html	6000000002244380726	6	6
6000000002244397924.html	6000000002244397924	12	12
6000000002244397940.html	6000000002244397940	12	12
6000000002245279564.html	6000000002245279564	12	12
6000000002267060138.html	6000000002267060138	12	12
6000000002277862058.html	6000000002277862058	12	12
6000000002278450149.html	6000000002278450149	9	9
6000000002280344494.html	6000000002280344494	12	12
6000000002280411009.html	6000000002280411009	12	12
6000000002330980548.html	6000000002330980548	8	8
6000000002336577815.html	6000000002336577815	8	8
6000000002336697043.html	6000000002336697043	8	8
6000000002342416311.html	6000000002342416311	12	12
6000000002358756663.html	6000000002358756663	12	12
6000000002370640619.html	6000000002370640619	10	10
6000000002391959353.html	6000000002391959353	10	10
6000000002403898091.html	6000000002403898091	12	12
6000000002403898117.html	6000000002403898117	12	12
6000000002434214184.html	6000000002434214184	12	12
6000000002463510938.html	6000000002463510938	9	9
6000000002481819312.html	6000000002481819312	10	10
6000000002482084257.html	6000000002482084257	13	13
6000000002482165558.html	6000000002482165558	12	12
6000000002503678686.html	6000000002503678686	12	12
6000000002512241178.html	6000000002512241178	12	12
6000000002512246810.html	6000000002512246810	12	12
6000000002512246864.html	6000000002512246864	12	12
6000000002512346178.html	6000000002512346178	12	12
6000000002516491073.html	6000000002516491073	12	12
6000000002517120513.html	6000000002517120513	12	12
6000000002517120595.html	6000000002517120595	9	9
6000000002527461568.html	6000000002527461568	6	6
6000000002553650991.html	6000000002553650991	11	11
6000000002572699392.html	6000000002572699392	12	12
6000000002572701505.html	6000000002572701505	8	8
6000000002572783163.html	6000000002572783163	12	12
6000000002585455740.html	6000000002585455740	12	12
6000000002585562372.html	6000000002585562372	12	12
6000000002588347233.html	6000000002588347233	7	7
6000000002600987455.html	6000000002600987455	7	7
6000000002602162553.html	6000000002602162553	12	12
6000000002626238951.html	6000000002626238951	11	11
6000000002664914535.html	6000000002664914535	12	12
6000000002744891329.html	6000000002744891329	11	11
6000000002748554800.html	6000000002748554800	12	12
6000000002750545795.html	6000000002750545795	7	7
6000000002766488352.html	6000000002766488352	12	12
6000000002767708000.html	6000000002767708000	12	12
6000000002770849622.html	6000000002770849622	8	8
6000000002770896230.html	6000000002770896230	7	7
6000000002785337209.html	6000000002785337209	8	8
6000000002801147492.html	6000000002801147492	12	12
6000000002813633340.html	6000000002813633340	12	12
6000000002832115884.html	6000000002832115884	11	11
6000000002837456927.html	6000000002837456927	12	12
6000000002847207216.html	6000000002847207216	12	12
6000000002847945015.html	6000000002847945015	5	5
6000000002866077692.html	6000000002866077692	12	12
6000000002866078652.html	6000000002866078652	12	12
6000000002866250576.html	6000000002866250576	12	12
6000000002877958100.html	6000000002877958100	12	12
6000000002890270426.html	6000000002890270426	12	12
6000000002893299341.html	6000000002893299341	11	11
6000000002893299372.html	6000000002893299372	5	5
6000000002893316227.html	6000000002893316227	12	12
6000000002893322314.html	6000000002893322314	12	12
6000000002893330286.html	6000000002893330286	12	12
6000000002893335701.html	6000000002893335701	12	12
6000000002906400227.html	6000000002906400227	12	12
6000000002916189513.html	6000000002916189513	12	12
6000000002920620224.html	6000000002920620224	12	12
6000000002969078825.html	6000000002969078825	12	12
6000000002969217246.html	6000000002969217246	12	12
6000000002979875144.html	6000000002979875144	12	12
6000000003002231602.html	6000000003002231602	12	12
6000000003002364630.html	6000000003002364630	9	9
6000000003002538177.html	6000000003002538177	9	9
6000000003012468747.html	6000000003012468747	12	12
6000000003025853747.html	6000000003025853747	9	9
6000000003026039395.html	6000000003026039395	11	11
6000000003043806217.html	6000000003043806217	10	10
6000000003049156212.html	6000000003049156212	12	12
6000000003058583726.html	6000000003058583726	12	12
6000000003058905240.html	6000000003058905240	12	12
6000000003076221220.html	6000000003076221220	12	12
6000000003086332874.html	6000000003086332874	12	12
6000000003086434645.html	6000000003086434645	12	12
6000000003087080306.html	6000000003087080306	12	12
6000000003094916337.html	6000000003094916337	12	12
6000000003094967990.html	6000000003094967990	12	12
6000000003094971035.html	6000000003094971035	12	12
6000000003094977911.html	6000000003094977911	12	12
6000000003095003918.html	6000000003095003918	12	12
6000000003095060610.html	6000000003095060610	12	12
6000000003095060659.html	6000000003095060659	9	9
6000000003095080287.html	6000000003095080287	12	12
6000000003095084974.html	6000000003095084974	12	12
6000000003095113068.html	6000000003095113068	12	12
6000000003095156945.html	6000000003095156945	12	12
6000000003095195374.html	6000000003095195374	12	12
6000000003101980999.html	6000000003101980999	12	12
6000000003102253400.html	6000000003102253400	6	6
6000000003102295068.html	6000000003102295068	8	8
6000000003111305140.html	6000000003111305140	12	12
6000000003116379849.html	6000000003116379849	12	12
6000000003116743788.html	6000000003116743788	12	12
6000000003116932225.html	6000000003116932225	11	11
6000000003125122695.html	6000000003125122695	12	12
6000000003125438035.html	6000000003125438035	12	12
6000000003152600818.html	6000000003152600818	12	12
6000000003152860875.html	6000000003152860875	12	12
6000000003152872621.html	6000000003152872621	12	12
6000000003187090488.html	6000000003187090488	12	12
6000000003196492775.html	6000000003196492775	12	12
6000000003242618875.html	6000000003242618875	12	12
6000000003252172731.html	6000000003252172731	13	13
6000000003252323043.html	6000000003252323043	12	12
6000000003253261775.html	6000000003253261775	12	12
6000000003253460860.html	6000000003253460860	12	12
6000000003253601093.html	6000000003253601093	12	12
6000000003306757977.html	6000000003306757977	12	12
6000000003307054576.html	6000000003307054576	12	12
6000000003319932530.html	6000000003319932530	12	12
6000000003332799114.html	6000000003332799114	12	12
6000000003332823073.html	6000000003332823073	12	12
6000000003344565684.html	6000000003344565684	11	11
6000000003344745168.html	6000000003344745168	12	12
6000000003353135663.html	6000000003353135663	12	12
6000000003353178311.html	6000000003353178311	12	12
6000000003355801643.html	6000000003355801643	12	12
6000000003367976924.html	6000000003367976924	2	2
6000000003379144766.html	6000000003379144766	7	7
6000000003379409803.html	6000000003379409803	4	4
6000000003389294519.html	6000000003389294519	12	12
6000000003401838954.html	6000000003401838954	12	12
6000000003417361345.html	6000000003417361345	11	11
6000000003418900347.html	6000000003418900347	11	11
6000000003484293276.html	6000000003484293276	12	12
6000000003484293288.html	6000000003484293288	12	12
6000000003491933538.html	6000000003491933538	12	12
6000000003491947054.html	6000000003491947054	12	12
6000000003491958558.html	6000000003491958558	12	12
6000000003491986946.html	6000000003491986946	12	12
6000000003491988189.html	6000000003491988189	12	12
6000000003491988489.html	6000000003491988489	12	12
6000000003491988509.html	6000000003491988509	12	12
6000000003491988584.html	6000000003491988584	12	12
6000000003491988599.html	6000000003491988599	12	12
6000000003491988619.html	6000000003491988619	12	12
6000000003491988831.html	6000000003491988831	9	9
6000000003492005126.html	6000000003492005126	12	12
6000000003492029785.html	6000000003492029785	12	12
6000000003492033784.html	6000000003492033784	12	12
6000000003492033799.html	6000000003492033799	12	12
6000000003492033993.html	6000000003492033993	12	12
6000000003492057788.html	6000000003492057788	12	12
6000000003492064709.html	6000000003492064709	10	10
6000000003492064827.html	6000000003492064827	12	12
6000000003492068105.html	6000000003492068105	12	12
6000000003492068120.html	6000000003492068120	12	12
6000000003492068938.html	6000000003492068938	6	6
6000000003492535579.html	6000000003492535579	12	12
6000000003493162078.html	6000000003493162078	12	12
6000000003495348795.html	6000000003495348795	12	12
6000000003495384814.html	6000000003495384814	12	12
6000000003521493989.html	6000000003521493989	12	12
6000000003535740332.html	6000000003535740332	12	12
6000000003559734445.html	6000000003559734445	11	11
6000000003568661683.html	6000000003568661683	10	10
6000000003588755565.html	6000000003588755565	12	12
6000000003615417006.html	6000000003615417006	12	12
6000000003620618740.html	6000000003620618740	12	12
6000000003645825338.html	6000000003645825338	12	12
6000000003645919492.html	6000000003645919492	12	12
6000000003645919625.html	6000000003645919625	12	12
6000000003645940658.html	6000000003645940658	10	10
6000000003646023820.html	6000000003646023820	5	5
6000000003646023907.html	6000000003646023907	12	12
6000000003665102809.html	6000000003665102809	12	12
6000000003665181171.html	6000000003665181171	12	12
6000000003665414365.html	6000000003665414365	12	12
6000000003686206816.html	6000000003686206816	0	0
6000000003721939858.html	6000000003721939858	9	9
6000000003732742137.html	6000000003732742137	7	7
6000000003781494806.html	6000000003781494806	9	9
6000000003783022260.html	6000000003783022260	11	11
6000000003805720033.html	6000000003805720033	12	12
6000000003823851202.html	6000000003823851202	12	12
6000000003824461685.html	6000000003824461685	12	12
6000000003824564617.html	6000000003824564617	12	12
6000000003827445550.html	6000000003827445550	11	11
6000000003827661670.html	6000000003827661670	6	6
6000000003828248652.html	6000000003828248652	4	4
6000000003828248658.html	6000000003828248658	6	6
6000000003828250057.html	6000000003828250057	4	4
6000000003828250078.html	6000000003828250078	6	6
6000000003842233263.html	6000000003842233263	12	12
6000000003854400441.html	6000000003854400441	12	12
6000000003858704239.html	6000000003858704239	12	12
6000000003858716758.html	6000000003858716758	11	11
6000000003858749453.html	6000000003858749453	12	12
6000000003869622559.html	6000000003869622559	12	12
6000000003887729856.html	6000000003887729856	12	12
6000000003897585979.html	6000000003897585979	6	6
6000000003902489870.html	6000000003902489870	13	13
6000000003905140955.html	6000000003905140955	12	12
6000000003953393939.html	6000000003953393939	10	10
6000000003958968521.html	6000000003958968521	11	11
6000000003979582810.html	6000000003979582810	12	12
6000000004027712640.html	6000000004027712640	12	12
6000000004028320232.html	6000000004028320232	12	12
6000000004032942523.html	6000000004032942523	12	12
6000000004034893096.html	6000000004034893096	12	12
6000000004035037156.html	6000000004035037156	12	12
6000000004078906672.html	6000000004078906672	12	12
6000000004104838733.html	6000000004104838733	12	12
6000000004105285975.html	6000000004105285975	12	12
6000000004131116716.html	6000000004131116716	11	11
6000000004140735934.html	6000000004140735934	12	12
6000000004214433404.html	6000000004214433404	10	10
6000000004281397219.html	6000000004281397219	11	11
6000000004389585513.html	6000000004389585513	12	12
6000000004456080013.html	6000000004456080013	11	11
6000000004457022019.html	6000000004457022019	12	12
6000000004533176419.html	6000000004533176419	12	12
6000000004533503066.html	6000000004533503066	12	12
6000000004533503379.html	6000000004533503379	13	13
6000000004533510674.html	6000000004533510674	12	12
6000000004534272864.html	6000000004534272864	12	12
6000000004647605698.html	6000000004647605698	11	11
6000000004650708520.html	6000000004650708520	12	12
6000000004671044584.html	6000000004671044584	12	12
6000000004691642355.html	6000000004691642355	9	9
6000000004838388133.html	6000000004838388133	12	12
6000000004862474531.html	6000000004862474531	12	12
6000000004863275809.html	6000000004863275809	6	6
6000000004863611375.html	6000000004863611375	4	4
6000000004863761158.html	6000000004863761158	8	8
6000000004863823276.html	6000000004863823276	2	2
6000000004868825651.html	6000000004868825651	5	5
6000000004868825686.html	6000000004868825686	9	9
6000000004868846058.html	6000000004868846058	8	8
6000000004868846355.html	6000000004868846355	12	12
6000000004868851834.html	6000000004868851834	10	10
6000000004868858899.html	6000000004868858899	5	5
6000000004869049343.html	6000000004869049343	5	5
6000000004870648136.html	6000000004870648136	12	12
6000000004974123682.html	6000000004974123682	12	12
6000000004974523185.html	6000000004974523185	12	12
6000000005013705987.html	6000000005013705987	12	12
6000000005025304600.html	6000000005025304600	12	12
6000000005074489379.html	6000000005074489379	12	12
6000000005246487476.html	6000000005246487476	12	12
6000000005381997903.html	6000000005381997903	12	12
6000000005382299298.html	6000000005382299298	12	12
6000000005391128983.html	6000000005391128983	12	12
6000000005398287081.html	6000000005398287081	12	12
6000000005414590318.html	6000000005414590318	12	12
6000000005441081725.html	6000000005441081725	12	12
6000000005441559089.html	6000000005441559089	12	12
6000000005442236186.html	6000000005442236186	12	12
6000000005545740001.html	6000000005545740001	12	12
6000000005547456001.html	6000000005547456001	0	0
6000000005576602065.html	6000000005576602065	12	12
6000000005581573549.html	6000000005581573549	12	12
6000000005581573602.html	6000000005581573602	12	12
6000000005598851255.html	6000000005598851255	12	12
6000000005606851579.html	6000000005606851579	12	12
6000000005606851647.html	6000000005606851647	12	12
6000000005606873183.html	6000000005606873183	12	12
6000000005606886765.html	6000000005606886765	12	12
6000000005606886780.html	6000000005606886780	12	12
6000000005606886827.html	6000000005606886827	10	10
6000000005606886909.html	6000000005606886909	12	12
6000000005606907877.html	6000000005606907877	12	12
6000000005606976930.html	6000000005606976930	12	12
6000000005607042284.html	6000000005607042284	12	12
6000000005607042309.html	6000000005607042309	7	7
6000000005607042593.html	6000000005607042593	12	12
6000000005607119313.html	6000000005607119313	12	12
6000000005607123730.html	6000000005607123730	12	12
6000000005607187224.html	6000000005607187224	10	10
6000000005607264518.html	6000000005607264518	12	12
6000000005607268671.html	6000000005607268671	12	12
6000000005607282941.html	6000000005607282941	10	10
6000000005607296161.html	6000000005607296161	12	12
6000000005607335640.html	6000000005607335640	12	12
6000000005607339190.html	6000000005607339190	12	12
6000000005607365269.html	6000000005607365269	12	12
6000000005607377021.html	6000000005607377021	12	12
6000000005607439733.html	6000000005607439733	12	12
6000000005607481550.html	6000000005607481550	12	12
6000000005607599821.html	6000000005607599821	12	12
6000000005607880384.html	6000000005607880384	12	12
6000000005607884543.html	6000000005607884543	9	9
6000000005608851471.html	6000000005608851471	12	12
6000000005608851479.html	6000000005608851479	12	12
6000000005608851503.html	6000000005608851503	9	9
6000000005608873060.html	6000000005608873060	12	12
6000000005608873104.html	6000000005608873104	12	12
6000000005608873211.html	6000000005608873211	7	7
6000000005608884093.html	6000000005608884093	12	12
6000000005608934604.html	6000000005608934604	12	12
6000000005609028769.html	6000000005609028769	7	7
6000000005609064474.html	6000000005609064474	12	12
6000000005609102300.html	6000000005609102300	10	10
6000000005609102344.html	6000000005609102344	12	12
6000000005609304829.html	6000000005609304829	12	12
6000000005609304839.html	6000000005609304839	12	12
6000000005609458561.html	6000000005609458561	10	10
6000000005609466031.html	6000000005609466031	12	12
6000000005609518095.html	6000000005609518095	12	12
6000000005609522416.html	6000000005609522416	12	12
6000000005609522426.html	6000000005609522426	12	12
6000000005609534511.html	6000000005609534511	12	12
6000000005609534659.html	6000000005609534659	12	12
6000000005609547367.html	6000000005609547367	12	12
6000000005609547535.html	6000000005609547535	12	12
6000000005609547544.html	6000000005609547544	9	9
6000000005609547691.html	6000000005609547691	12	12
6000000005739075955.html	6000000005739075955	12	12
6000000005739942225.html	6000000005739942225	12	12
6000000005744994368.html	6000000005744994368	12	12
6000000005744994427.html	6000000005744994427	12	12
6000000005795638082.html	6000000005795638082	12	12
6000000005795638104.html	6000000005795638104	12	12
6000000005856163014.html	6000000005856163014	12	12
6000000005942135258.html	6000000005942135258	12	12
6000000006127214913.html	6000000006127214913	12	12
6000000006127322318.html	6000000006127322318	12	12
6000000006127859612.html	6000000006127859612	12	12
6000000006127996485.html	6000000006127996485	7	7
6000000006127996492.html	6000000006127996492	7	7
6000000006127996498.html	6000000006127996498	11	11
6000000006128227797.html	6000000006128227797	12	12
6000000006171259545.html	6000000006171259545	12	12
6000000006183866418.html	6000000006183866418	10	10
6000000006253433055.html	6000000006253433055	12	12
6000000006253635635.html	6000000006253635635	11	11
6000000006277556378.html	6000000006277556378	13	13
6000000006293783777.html	6000000006293783777	11	11
6000000006336803890.html	6000000006336803890	9	9
6000000006351988253.html	6000000006351988253	12	12
6000000006352209093.html	6000000006352209093	4	4
6000000006400320009.html	6000000006400320009	12	12
6000000006402064518.html	6000000006402064518	10	10
6000000006444130321.html	6000000006444130321	12	12
