qid,label,description,native_label,language,language_qid,based_on,other_gender_form
Q56243609,Arkadiyivna,patronymic,Аркадіївна,,,,
Q114637855,Arkadyevich,patronymic (Аркадьевич),Аркадьевич,Russian,Q7737,,
Q690901,Arnardóttir,family name,,,,,
Q107481885,Arnaudas,family name,Arnaudas,Spanish,Q1321,,
Q112307008,Arnfinnsson,Icelandic patronymic,Arnfinnsson,Icelandic,Q294,,
Q113127910,Arturovna,patronymic,Артуровна,,,,
Q112764789,Artyomovich,patronymic,Артёмович,,,,
Q97595820,Artíguez,family name,Artíguez,Spanish,Q1321,,
Q74859946,Asanovna,patronymic (Асановна),Асановна,Russian,Q7737,,
Q47911147,Asorey,family name,Asorey,Spanish,Q1321,,
Q112133860,Auðunsson,Icelandic patronymic,Auðunsson,Icelandic,Q294,,
Q100337152,Aznárez,family name,Aznárez,Spanish,Q1321,,
Q797735,Babonids,extinct noble house from Bavaria,Baboner,,,,
Q122448332,Balthasarszoon,"Dutch patronym, meaning son of Balthasar",,,,,
Q48314039,Barbazán,family name,Barbazán,,,,
Q120647750,Barentszoon,"Dutch patronym, meaning son of Barent",,,,,
Q10001490,Barysawna,patronymic (Барысаўна),Барысаўна,,,,
Q16479615,Bea,family name,Bea,German,Q188,,
Q119652882,Bekirovich,patronymic,Бекирович,,,,
Q59939101,Belchior,family name,Belchior,Portuguese,Q5146,,
Q100332392,Belásquez,family name,Belásquez,Spanish,Q1321,,
Q112131262,Benediktsdóttir,Icelandic patronymic,Benediktsdóttir,Icelandic,Q294,,
Q26736553,Benítez,family name,Benítez,Spanish,Q1321,,
Q73157348,Bernáldez,family name,Bernáldez,Spanish,Q1321,,
Q69822424,Bertelsson,,Bertelsson,Icelandic,Q294,,
Q76790940,Bessems,Flemish family name,Bessems,,,,
Q50929377,Besteiro,family name,Besteiro,,,,
Q47913175,Betetos,family name,Betetos,Spanish,Q1321,,
Q879333,Bjarnadóttir,patronymic,Bjarnadóttir,Icelandic,Q294,,
Q69526353,Björnsdóttir,patronymic,Björnsdóttir,Icelandic,Q294,,
Q43006166,Blázquez,family name,Blázquez,Spanish,Q1321,,
Q113539053,Borysivna,patronymic (Борисівна),Борисівна,Ukrainian,Q8798,,
Q137573284,Boudewijnszoon,"Dutch patronym, meaning son of Boudewijn",,,,,
Q124213279,Boudewynszoon,"Dutch patronym, meaning son of Boudewijn",,,,,
Q28921210,Briz,family name,Briz,French,Q150,,
Q50880504,Brocos,family name,Brocos,,,,
Q38370471,Böðvarsson,family name,Böðvarsson,Icelandic,Q294,,
Q66657826,Cabanelas,family name,Cabanelas,,,,
Q50128810,Camaño,family name,Camaño,Spanish,Q1321,,
Q56229146,Cameselle,family name,Cameselle,,,,
Q120702774,Carelszoon,"Dutch patronym, meaning son of Carel",,,,,
Q47908284,Caruncho,family name,Caruncho,Spanish,Q1321,,
Q48616672,Castiñeiras,family name,Castiñeiras,,,,
Q48027525,Casás,family name,Casás,Spanish,Q1321,,
Q50883111,Chazo,family name,Chazo,,,,
Q122448216,Christiaensdochter,"Dutch patronym, meaning daughter of Christiaen",,,,,
Q125945543,Chuluunbatyn,Mongolian patronym (Чулуунбатын),Чулуунбатын,Mongolian,Q9246,,
Q50882088,Cibeira,family name,Cibeira,,,,
Q5768956,Cid,family name,Cid,Spanish,Q1321,,
Q120636138,Claeszoon,"Dutch patronym, meaning son of Claes",,,,,
Q122740518,Clementsdochter,"Dutch patronym, meaning daughter of Clement",,,,,
Q37502356,Codina,family name,Codina,Spanish,Q1321,,
Q120702829,Coenraetszoon,"Dutch patronym, meaning son of Coenraet",,,,,
Q5141447,Coia,family name,Coia,,,,
Q48215546,Colmeiro,family name,Colmeiro,Spanish,Q1321,,
Q48218683,Comesaña,family name,Comesaña,Spanish,Q1321,,
Q22924101,Consales,family name,Consales,,,,
Q50881311,Cordal,family name,Cordal,,,,
Q122301496,Cornelisdochter,"Dutch patronym, meaning daughter of Cornelis",,,,,
Q1133662,Corneliszoon,"Dutch patronym, meaning son of Cornelis, the Dutch form of Cornelius",Corneliszoon,,,,
Q57304545,Couselo,family name,Couselo,,,,
Q50934063,Coussent,family name,Coussent,,,,
Q50884105,Coutelo,family name,Coutelo,,,,
Q137597102,D.,"patronym with this initial. Full name undetermined, not generally used or not determinable",Д.,,,,
Q116003999,D.L.N.,patronymic,D.L.N.,,,,
Q112983127,Dalerovna,patronymic,Далеровна,,,,
Q19713807,Danides,,,,,,
Q80571292,Davidovna,Russian patronymic,Давыдовна,,,,
Q56941558,Denisovich,Russian patronymic (Денисович),Денисович,,,,
Q122271988,Dircksdochter,"Dutch patronym, meaning daughter of Dirck",,,,,
Q121584819,Dirckszoon,"Dutch patronym, meaning son of Dirck",,,,,
Q36859188,Diz,family name,Diz,German,Q188,,
Q139374629,Dmytriivna,feminine patronymic (Дмитріївна),Дмитріївна,Ukrainian,Q8798,,
Q116688171,Dmytrivna,patronymic (Дмитрівна),Дмитрівна,Ukrainian,Q8798,,Q112741998 (Dmytrovych)
Q112741998,Dmytrovych,Ukrainian patronymic (Дмитрович),Дмитрович,Ukrainian,Q8798,,Q116688171 (Dmytrivna)
Q50885491,Dobao,family name,Dobao,,,,
Q61953754,Edappakath,Patronymic or matronymic name,,,,,
Q117457823,Edmundovich,masculine patronymic (Эдмундович),,,,,
Q123741709,Eduardivna,patronymic,Едуардівна,,,,
Q120636431,Eewoutszoon,"Dutch patronym, meaning son of Ewout",,,,,
Q120488213,Egbertszoon,"Dutch patronym, meaning son of Egbert",,,,,
Q69571710,Egilsdóttir,,Egilsdóttir,Icelandic,Q294,,
Q105303192,Einarsdóttir,patronymic,Einarsdóttir,Icelandic,Q294,,Q1305970 (Einarsson)
Q49295076,Eiroa,family name,Eiroa,,,,
Q136511567,Eliaszoon,"Dutch patronym, meaning son of Elias",,,,,
Q130233053,Elíasdóttir,patronymic,Elíasdóttir,,,,Q118143112 (Elíasson)
Q118143112,Elíasson,patronymic,Elíasson,Icelandic,Q294,,Q130233053 (Elíasdóttir)
Q134739824,Erjanqızı,patronymic (Ержанқызы),Ержанқызы,Kazakh,Q9252,,
Q47536427,Erruz,family name,Erruz,Spanish,Q1321,,
Q50804728,Espona,family name,Espona,Catalan,Q7026,,
Q48027546,Estarque,family name,Estarque,Spanish,Q1321,,
Q54625265,Estébanez,family name,Estébanez,Spanish,Q1321,,
Q123090655,Evertszoon,"Dutch patronym, meaning son of Evert",,,,,
Q136832620,Ewoutszoon,"Dutch patronym, meaning son of Ewout",,,,,
Q139569640,Fadeevich,Russian patronym,Фадеевич,Russian,Q7737,,
Q49122944,Faílde,family name,Faílde,,,,
Q124311590,Fedorovych,patronymic (Федорович),Федорович,Ukrainian,Q8798,,
Q126531344,Fedoseevna,patronymic (Федосеевна),Федосеевна,Russian,Q7737,,Q126530923 (Fedoseevich)
Q114612502,Feodosyevich,,Феодосьевич,,,,
Q136691908,Feofanovna,,Феофановна,,,,
Q99840900,Fernández Blanco,family name,,,,,
Q61669050,Ferrández,family name,Ferrández,Spanish,Q1321,,
Q123198567,Floriszoon,"Dutch patronym, meaning son of Floris",,,,,
Q89643553,Fockens,family name,Fockens,German,Q188,,
Q121113296,Fransdochter,"Dutch patronym, meaning daughter of Frans",,,,,
Q20871103,Franszoon,"Dutch patronym, meaning son of Frans",Franszoon,,,,
Q50882780,Freijo,family name,Freijo,,,,
Q69584351,Friðleifsdóttir,,Friðleifsdóttir,Icelandic,Q294,,
Q15810825,Friðriksson,family name,Friðriksson,Icelandic,Q294,,
Q37464750,Galindez,family name,Galindez,Spanish,Q1321,,
Q108313088,Ganbatyn,Mongolian patronymic,,Mongolian,Q9246,,
Q111988798,Garcês,family name,Garcês,Portuguese,Q5146,,
Q133895365,Gareginovich,patronymic,Гарегинович,,,,
Q38370520,Garðarsdóttir,Icelandic name,Garðarsdóttir,Icelandic,Q294,,
Q98877314,Geirsdóttir,family name,Geirsdóttir,Icelandic,Q294,,Q56538458 (Geirsson)
Q135090252,Gelyevich,patronymic (Гельевич),Гельевич,,,,
Q93720474,Gennadyevich,patronymic (Геннадьевич),Генадзевіч,Russian,Q7737,,Q121789272 (Gennadyevna)
Q136946036,Gerritsen,"Dutch patronym, meaning son of Gerrit",,,,,
Q120669843,Gerritszoon,"Dutch patronym, meaning son of Gerrit",,,,,
Q122226176,Geurtszoon,"Dutch patronym, meaning son of Geurt",,,,,
Q122330825,Gijsbertszoon,"Dutch patronym, meaning son of Gijsbert",,,,,
Q58823863,Giráldez,family name,Giráldez,Spanish,Q1321,,
Q100372307,Gonsálvez,family name,Gonsálvez,Spanish,Q1321,,
Q100370892,Gonzálbez,family name,Gonzálbez,Spanish,Q1321,,
Q100371232,Gonzálvez,family name,Gonzálvez,Spanish,Q1321,,
Q100372116,Gosálvez,family name,Gosálvez,Spanish,Q1321,,
Q121283234,Govertsdochter,"Dutch patronym, meaning daughter of Govert",,,,,
Q120702849,Govertszoon,"Dutch patronym, meaning son of Govert",,,,,
Q100665967,Gozálbez,family name,Gozálbez,Spanish,Q1321,,
Q51077213,Grangel,family name,Grangel,,,,
Q57773116,Gratiana,female given name,Gratiana,Latin,Q397,,
Q57772642,Gratianus,male given name,Gratianus,Latin,Q397,,
Q57942961,Graña,family name,Graña,Galician,Q9307,,
Q103838829,Grigoryevich,patronymic (Григорьевич),Григорьевич,Russian,Q7737,,Q121338087 (Grigoryevna)
Q121338087,Grigoryevna,patronymic (Григорьевна),Григорьевна,Russian,Q7737,,Q103838829 (Grigoryevich)
Q108791397,Gundersdotter,patronymic,,Norwegian,Q9043,,
Q21507293,Gunnlaugsson,patronymic,,,,,
Q105364101,Guttormsdóttir,,,Icelandic,Q294,,
Q105575777,Guðjónsdóttir,family name,Guðjónsdóttir,Icelandic,Q294,,
Q21450141,Guðjónsson,patronymic,Guðjónsson,,,,
Q21450142,Guðmundsson,family name,Guðmundsson,,,,Q21492823 (Q21492823)
Q100975588,Gílez,family name,Gílez,Spanish,Q1321,,
Q56245178,Haakonsson,Norse patronymic (Håkonsson),Håkonsson,,,,
Q1571407,Halldórsdóttir,,,,,,
Q1571409,Halldórsson,Icelandic patronymic,Halldórsson,Icelandic,Q294,,
Q130332170,Hannesdóttir,patronymic,Hannesdóttir,Icelandic,Q294,,Q130332150 (Hannesson)
Q130332150,Hannesson,patronymic,Hannesson,Icelandic,Q294,,Q130332170 (Hannesdóttir)
Q16870495,Haraldsdóttir,family name,Haraldsdóttir,Icelandic,Q294,,Q30347058 (Haraldsson)
Q121119401,Harmensdochter,"Dutch patronym, meaning daughter of Harmen",,,,,
Q121133232,Harmenszoon,"Dutch patronym, meaning son of Harmen",,,,,
Q1588060,Harðardóttir,Icelandic name,Harðardóttir,Icelandic,Q294,,
Q21450108,Helgadóttir,patronymic,Helgadóttir,Icelandic,Q294,,
Q112585024,Hendrickszoon,"Dutch patronym, meaning son of Hendrick",Hendrickszoon,,,,
