geni_id	givn	surn	numeral	evidence
6000000011026081298	Christian I	Askanier	I	"Wikidata Q63024 ""Christian I, Prince of Anhalt-Bernburg"""
3621639	Erich I	Askanier	I	born 1281
3137536	Franz I	Askanier	I	born 1510
6000000003243582035	Friedrich I Leopold Franz Nikolaus	Askanier	I	"Wikidata Q704332 ""Duke Friedrich I, Duke of Anhalt"""
6000000003243106048	"Georg I ""der Ältere"""	Askanier	I	born 1390
6000000000865518088	Johann I	Askanier	I	born 1213
6000000016883879552	Johann I	Askanier	I	born 1291
6000000006727778151	Karl I Wilhelm	Askanier	I	"Wikidata Q92203 ""Karl I, Prince of Anhalt-Zerbst"""
6000000003243317179	Leopold I	Askanier	I	"Wikidata Q61695 ""Leopold I, Prince of Anhalt-Dessau"""
6000000001287315183	Magnus I	Askanier	I	born 1470
6000000001500929374	Rudolf I	Askanier	I	"Wikidata Q699820 ""Rudolf I"""
6000000003243063832	Sigismund I	Askanier	I	born 1368
6000000012237785795	Victor I Amadeus	Askanier	I	"Wikidata Q86024 ""Victor I, Prince of Anhalt-Bernburg-Schaumburg-Hoym"""
6000000007281018781	Viktor I Amadeus	Askanier	I	"Wikidata Q69454 ""Victor Amadeus, Prince of Anhalt-Bernburg"""
6000000015593753615	Waldemar I	Askanier	I	born 1308
6000000000138741416	Eduardas I	Avisas	I	"Wikidata Q294607 ""Edward I of Portugal"""
6000000013790014833	Ponce I	Aynard	I	born 1104
6000000009275527320	Galindo I	Aznárez	I	born 820
6000000023724164665	JURIJ I	BARBO-WAXENSTEIN	I	born 1510
6000000015522462719	Pavle I	Babonić	I	born 1374
6000000054970698955	Richard I	Bachoven von Echt	I	born 1538
6000000055027567116	Thomas I	Bachoven von Echt	I	born 1540
6000000017602588548	Bagrat I Константинович	Badration-Mukhrani	I	born 1487
6000000013546470518	Alexander I	Bagrationi	I	born 1389
6000000008024070894	Demetre I	Bagrationi	I	born 1093
6000000005064208780	Erekle I Давидович	Bagrationi	I	born 1637
6000000024451689146	Teimuraz I (Nazar Ali Khan)	Bagrationi	I	"Wikidata Q2660123 ""Teimuraz I of Kakheti"""
6000000017602688086	Vakhtang I Мухранбатони	Bagrationi	I	born 1511
6000000003828256704	Isaac I	Bagratouni	I	born 340
6000000002187821921	Smbat I	Bagratuni	I	born 265
6000000035610876084	Đurađ I	Balšić	I	born 1378
6000000002187596178	Eberhard I	Bamberg	I	born 987
6000000023724189623	Johann (Janez, Ioanes) Bernardin I	Barbo	I	born 1450
6000000015377545334	Ugone I Ponzio	Bas-Lacon-Serra	I	"Wikidata Q2017913 ""Hugh I of Arborea"""
6000000010123233224	Ralph I	Bassett	I	born 1160
6000000002187801051	Count Centulfe I of	Bearn	I	born 871
6000000002947577496	Heinrich I	Berg	I	"Wikidata Q30301558 ""Henry I, Count of Berg"""
6000000002947577496	Hendrik I	Berg	I	"Wikidata Q30301558 ""Henry I, Count of Berg"""
6000000003874790908	Lodewijk I	Berhout van Berlaer	I	born 1205
6000000001561849052	Oscar I Joseph François	Bernadotte	I	"Wikidata Q52926 ""Oscar I"""
6000000001561849052	Oscar I Joseph François Oscar	Bernadotte	I	"Wikidata Q52926 ""Oscar I"""
6000000012398634222	Gauthier I	Berthout	I	born 1054
6000000012398634222	Wouter I 'Draeckenbaert'	Berthout van Mechelen Grimberghe	I	born 1054
6000000000945078395	Amelung I	Billung	I	born 745
4846449652440065679	Bennid I	Billung	I	born 790
6000000005587855694	Bernhard I	Billung	I	"Wikidata Q220799 ""Bernard I"""
6000000008630618186	Mistui I	Billung	I	born 830
6000000008630618191	Rodigastus I	Billung	I	born 800
6000000019648247141	Bernhard I	Billung von Haldensleben	I	born 965
6000000001563293084	Ferry I De	Blamont	I	born 1200
6000000031136333581	Jola [z I małżeństwa]	Blankenburg	I	born 1620
6000000002134624803	Thomas I	Bloise	I	born 1370
6000000014790530559	Pierre I	Bompar	I	born 1259
6000000010445410170	Étienne I	Bompar	I	born 1190
6000000004869014203	Jean I	Bompar de Lastic	I	born 1345
6000000006187372389	Joseph I Napoléon	Bonaparte	I	"Wikidata Q7726 ""Joseph Bonaparte"""
6000000004447178017	Prijezda I	Boričević	I	born 1211
6000000008396199256	"Wilhelm I ""der Ältere"""	Brabant-Lothringen, Hessen	I	"Wikidata Q542751 ""William I, Landgrave of Lower Hesse"""
6000000008147347387	Konrad I	Braunschweig-Lüneburg	I	"Wikidata Q1782403 ""Conrad of Brunswick-Luneburg"""
6000000009006960727	Fulke Fulke Greville I of	Brooke	I	"Wikidata Q2373798 ""Fulke Greville"""
6000000003204913916	Ludwik I	Brzeski	I	born 1320
6000000000769174075	Brzetislaus I	Brzetislaus	I	born 1004
6000000008488390680	Jürgen I	Buxhoeveden	I	"Wikidata Q128044255 ""Jürgen von Buxhoeveden"""
6000000021514940942	Joan I	Cabrera	I	born 1405
6000000002188303145	Bagrat I of	Calarzene	I	born 900
6000000002187887867	Count Gottfried I of	Calw-Löwenstein	I	born 1194
6000000002245794809	Robert I	Capet	I	"Wikidata Q375325 ""Robert I, Count of Artois"""
6000000003645832264	Enrique I	Capeto	I	"Wikidata Q178908 ""Henry I of France"""
6000000080002744704	Arnulf I Arnoul ( Bâtard )	Carolingian dynasty	I	born 845
6000000087799076945	Andreas I Endres	Castner	I	born 1470
6000000003858749925	Herman I	Celjski	I	born 1340
6000000004082320179	Jurij I	Celjski	I	born 1443
6000000010559453078	Ulrik I	Celjski	I	born 1331
6000000001563284300	Ferry I	Chabot	I	born 1105
6000000011080429817	Guy I	Chabot de Saint-Gelais	I	born 1584
6000000000890489010	Jean I	Chatillon-Blois	I	born 1241
6000000004869157633	Stephen I	Chosroide	I	born 627
6000000015108725348	Wacław I	Cieszyński	I	born 1415
6000000006727781420	Edzard I „der Große“	Cirksena	I	born 1462
6000000104130804076	Erkenbrecht I	Coler gen. Forstmeister	I	born 1245
6000000029830780553	Pompilio I	Collalto	I	born 1519
6000000029831727863	Sertorio I	Collalto	I	born 1489
6000000012479846377	Filippo I	Colonna	I	"Wikidata Q3745221 ""Filippo I Colonna"""
6000000000125674313	Alexius I	Comneno	I	"Wikidata Q41600 ""Alexios I Komnenos"""
6000000000437147898	Albert I	Comte Of Calw	I	born 980
6000000009304880579	Fromond I	Comte de Boulogne	I	born 700
6000000000186324525	Guillaume I	Comte de Genève	I	born 1132
6000000002187927896	Miro I -	Conde de Barcelona, Gerona y Osona	I	born 926
6000000224360556880	Piers I	Corbet	I	born 1300
6000000023252818644	Robert Rupert I	Count in the Thurgau	I	born 680
6000000041012363320	Veiox I	Cuntz	I	born 1267
6000000008351979364	Konrad I	Dachau	I	born 1095
6000000017921221197	Levanti I	Dadiani	I	born 1572
6000000031032728107	მანუჩარ / Manuchar I	Dadiani	I	born 1611
6000000003828353671	Renaud I Comte de	Dampierre-en-Astenois	I	born 1140
6000000003828083256	Bernhard I Graf	Dannenberg	I	born 1210
6000000038475458965	Boris I	Davydovich	I	"Wikidata Q2512380 ""Barys Davydavich"""
6000000002188166193	Count Gerhard I of	Diessen	I	born 1107
6000000015138398053	Carlo I	Doria	I	born 1576
6000000001624977289	Mihailo I of Duklja	Dragomirović	I	born 990
6000000022862385076	Franz I Francis	Dreier	I	born 1552
5288451674000039084	Asclettino I	Drengot de Quarrel	I	born 982
6000000010925868648	Rainulfo I	Drengot de Quarrel	I	born 980
6000000009706010482	Siegfried I	Duke of Anhalt-Zerbst	I	"Wikidata Q323102 ""Siegfried I, Prince of Anhalt-Zerbst"""
6000000002401218202	Mestwin I	Duke of Pomerania	I	born 1145
6000000021736465511	Johan I	Duvenvoorde	I	born 1400
6000000208719922840	Arnaud I	Duèze	I	born 1200
6000000015093583873	Íñigo I	Dávalos	I	born 1414
5004492300770057959	María I 'la Buena'	Díaz de Haro	I	born 1274
6000000003827612541	Boppo I	Dürn	I	born 1221
6000000001976895401	Juan I	Enriquez	I	"Wikidata Q310421 ""John I of Castile and Leon"""
6000000002244370573	Alfonso I «el Conquistador»	Enríquez	I	"Wikidata Q587697 ""Afonso I of Portugal"""
6000000002187887220	Count Heinrich I of	Eppan	I	born 1145
6000000009666834301	Gerhard I von	Eppenstein	I	"Wikidata Q23060578 """""
4102701	Canute I	Erikska	I	"Wikidata Q442876 ""Harthacnut I of Denmark"""
4102701	Knut I	Erikska	I	"Wikidata Q442876 ""Harthacnut I of Denmark"""
6000000006727855745	"Hero I ""The Younger"""	Esens	I	born 1455
6000000006727855745	Hero I Der Jüngere	Esens	I	born 1455
6000000010460821347	Erik I Abelsøn	Estridsen	I	born 1239
6000000000685205542	"Magnus I ""The strong"""	Estridsøn	I	"Wikidata Q347954 ""Magnus I of Sweden"""
6000000000685205542	"Magnus I ""den Stærke"""	Estridsøn	I	"Wikidata Q347954 ""Magnus I of Sweden"""
6000000073219575873	Rosina I	Faesch	I	born 1577
6000000004225276728	Wilhelm I	Fahrensbach	I	"Wikidata Q2807776 ""Wilhelm I. von Fahrensbach"""
6000000002188271240	Lord Emerard I of	Faugincy	I	born 970
6000000012996575818	"García I ""El de las Manos Blancas"""	Fernández de Castilla	I	"Wikidata Q439138 ""García Fernández of Castile"""
4880903518780047045	García I	Fernández de Castilla y León	I	"Wikidata Q878239 ""García II of Galicia"""
6000000000424801702	Brian I	Fitzalan	I	born 1145
6000000003827909728	John I	Fitzwilliam	I	born 1298
6000000003243493538	Gerard I	Flamens van Wassenberg	I	born 980
6000000003645832264	Henricus I	Franciae	I	"Wikidata Q178908 ""Henry I of France"""
6000000026853183887	Poppo II I Count in the	Franconia	I	born 830
6000000008113857110	Matthias I	Frankopan	I	born 1470
6000000000157584946	Bermudo I	Frolaz	I	born 1000
6000000001828950711	Jaromar I	Fürst von Rügen	I	born 1163
6000000023824905869	Heinrich I	GROß	I	born 1225
6000000006101348547	Aznar I	Galindones	I	born 839
6000000016230902284	D. Francesco I	Galli di Alvito	I	born 1590
6000000016230902284	Francesco I	Gallio	I	born 1590
6000000071215527943	Tolomeo I	Gallio	I	born 1568
6000000006101348547	Aznar I	Galíndez de Aragón	I	born 839
6000000003795473559	Sancho I	Garcés	I	"Wikidata Q914160 ""Sancho I of Pamplona"""
6000000012996889204	Sancho I 'el de los Buenos Fueros'	García de Castilla	I	"Wikidata Q509637 ""Sancho García of Castile"""
6000000009048960164	Frančeska I	Gatiluzio	I	"Wikidata Q337741 ""Francesco I Gattilusio"""
6000000009090781149	Isliamas I	Gerajus	I	born 1536
6000000033776878998	Heinrich I	Geuder	I	born 1389
6000000000435987496	"Theobald I ""le Boteler"""	Glanville	I	born 1160
6000000026547068129	Camillo I	Gonzaga	I	"Wikidata Q16268424 ""Camillo I Gonzaga"""
6000000006727827834	Federico I	Gonzaga	I	"Wikidata Q935411 ""Federico I Gonzaga, Marquess of Mantua"""
6000000193082581852	D. Domenico I	Gonzaga Trivulzio Galli	I	born 1692
6000000002187834748	Albert I	Goriški	I	born 1252
6000000002916836500	Arnulf I	Graaf in Hollant en West Friesland	I	born 951
6000000002187684403	Friedrich, I	Graf im Pusterthal	I	born 970
6000000002188289492	Meinwerk I	Graf in Thüringen	I	born 877
4256719696270064351	Wolfgang I	Graf von Barby-Mühlingen	I	born 1502
6000000002187684536	Adalbert I	Graf von Goseck	I	born 1010
6000000008490257976	Meinhard I	Graf von Görz	I	born 1094
6000000011196349017	Konrad I	Graf von Hagen-Munzenberg	I	born 1085
6000000003827320456	Kuno I	Graf von Lechsgemünd, Herr von Frontenhausen und von Reichspoldesberg	I	born 1020
6000000003827635032	Burkhard I	Graf von Loccum-Hallermund	I	born 1090
6000000010530479696	Berthold I	Graf von Neuffen-Weißenhorn-Achalm	I	born 1145
6000000003827474538	Liutold I	Graf von Plain	I	born 1122
6000000008640629738	Dietrich Luf I	Graf von Saarbrücken	I	"Wikidata Q1223929 ""Dietrich Luf I."""
6000000009593783807	Arnold I	Graf von Scheyern und Dachau	I	born 1057
6000000002187723148	Wilhelm I	Graf von Weimar-Orlamünde	I	born 905
6000000003827496777	Poppo I	Graf von Wertheim	I	born 1147
6000000006727858635	Jan I	Graf von der Marck-Lummen	I	born 1462
6000000014512807496	Johann Christian I	Graf zu Solms-Baruch	I	"Wikidata Q29443866 ""Johann Christian I Graf zu Solms-Baruth zu Klitscdorf"""
6000000014900774610	Philipp I	Greifen	I	"Wikidata Q477325 ""Philip I, Duke of Pomerania"""
6000000011253445371	Francis I	Griffens	I	"Wikidata Q249029 ""Francis, Duke of Pomerania"""
6000000015452894118	Niels (Sidste Mand I Slægten) Pallesen	Griis	I	born 1666
6000000012713820166	Oberto I	Grimaldi	I	born 1140
6000000017824487111	George I Louis	Guelph	I	"Wikidata Q130805 ""George I of Great Britain"""
6000000003768392839	Rudolph I	Guelph	I	"Wikidata Q437435 ""Rudolph I of Burgundy"""
6000000083797154869	Kaikhosro I Вахтангович	Gurieli	I	born 1660
6000000048540274887	Mamia I Георгиевич	Gurieli	I	born 1534
6000000001064275553	Arnold I	Götterswick	I	born 1195
6000000001064418095	Everwin I	Götterswick	I	born 1165
6000000000632019607	Joseph I	Habsburg	I	"Wikidata Q152480 ""Joseph I, Holy Roman Emperor"""
6000000007606332604	Karl I	Habsburg, Lothringen	I	born 1560
5319372978170089688	Franz Joseph I Josef	Habsburg-Lothringen	I	"Wikidata Q51056 ""Franz Joseph I of Austria"""
6000000001469318516	Leopold I Ignaz Joseph Balthasar Felician	Habsburg-Lothringen	I	"Wikidata Q150494 ""Leopold I, Holy Roman Emperor"""
6000000003827890402	Friedrich I	Hackeborn	I	born 1128
6000000018480582816	Datter I	Halduorsdatter	I	born 1640
6000000001408871740	Jurijus I	Haličietis	I	born 1253
3950516705030063754	"Harald I ""Fairhair"""	Halvdansson	I	"Wikidata Q206123 ""Haraldr hárfagri"""
6000000006727853665	Philipp Ludwig I	Hanau	I	"Wikidata Q75508 ""Philip Louis I, Count of Hanau-Münzenberg"""
6000000002187651577	Count Otto I of	Harburg	I	born 1060
6000000006101300373	Judas Aristobulus I	Hasmonean	I	born -140
6000000008510943477	John I	Hastings	I	born 1287
6000000041060020851	Guillaume I	Haverskerke de Luxemburg	I	born 1253
6000000003827529136	Friedrich I (III The Elder), Graf von	Helfenstein-Wiesensteig	I	born 1357
6000000002187834186	Otto I	Henneberg	I	born 1186
6000000003827624234	Wilhelm I	Henneberg	I	born 1384
6000000006727849217	Wolfgang I	Henneberg	I	born 1470
6000000040359515160	Heinrich I	Henneberg - Popponische Linien	I	born 1167
6000000040303294167	Ludwig I	Henneberg - Popponische Linien	I	born 1131
6000000040290520479	Otto I	Henneberg - Popponische Linien	I	born 1200
6000000040389723106	Sigeboto I	Henneberg - Popponische Linien	I	born 1168
6000000002244370573	Afonso I «o Conquistador»	Henriques	I	"Wikidata Q587697 ""Afonso I of Portugal"""
6000000011108938717	Wilhelm I	Herr Broich und Bedburg	I	born 1387
6000000001500947385	John I	Hertog van Brabant en Limburg	I	born 1253
6000000009706010482	Siegfried I	Herzog von Anhalt-Zerbst	I	"Wikidata Q323102 ""Siegfried I, Prince of Anhalt-Zerbst"""
6000000002372938168	"Otto I ""The Evil"""	Herzog von Braunschweig-Göttingen	I	born 1340
6000000002187891028	Adalbert I	Herzog von Teck	I	born 1135
6000000003827496499	Konrad I	Herzog von Teck	I	born 1189
6000000003446657248	Karl I	Hessen	I	"Wikidata Q62516 ""Charles I, Landgrave of Hesse-Kassel"""
6000000002188440464	Frederick Wilhelm I Wilhelm	Hessen-Lothringen	I	"Wikidata Q550714 ""Frederick William, Elector of Hesse"""
6000000002187826712	Count Pawel I of	Hirscher-Oradea	I	born 1164
6000000002187826705	Count Hynek I of	Hirscher-Siebenburgen	I	born 1162
6000000002187826727	Count Ladislav I of	Hirscher-Znojmo	I	born 1168
6000000001500989147	Otto I Count Of	Hohenberg	I	born 1260
6000000015663876167	Johann Friedrich I	Hohenlohe	I	born 1617
5020177483010087236	Federico I	Hohenstaufen	I	"Wikidata Q79789 ""Frederick Barbarossa"""
6000000053690479896	Heinrich I	Hohenstein	I	born 1193
6000000004336747003	Burchard I	Hohenzollern	I	born 1038
6000000006727753928	Christian I	Hohenzollern	I	"Wikidata Q565577 ""Christian, Margrave of Brandenburg-Bayreuth"""
6000000003827470684	Eitel Friedrich I	Hohenzollern	I	born 1384
311771392100007035	Friederich Wilhelm I	Hohenzollern	I	"Wikidata Q105013 ""Friedrich Wilhelm I of Prussia"""
6000000001552874983	Friedrich I	Hohenzollern	I	"Wikidata Q151826 ""Frederick I of Prussia"""
6000000003827400471	"Friedrich I ""Maute"""	Hohenzollern	I	born 1062
6000000002632690162	"Friedrich Wilhelm I ""der Große Kurfürst"""	Hohenzollern	I	"Wikidata Q152727 ""Frederick William of Brandenburg"""
6000000002187825966	Gottfried I	Hohenzollern	I	born 1134
4104286	Joachim I Nestor	Hohenzollern	I	"Wikidata Q61814 ""Joachim I Nestor, Elector of Brandenburg"""
6000000002188113743	Johann I	Hohenzollern	I	born 1279
6000000002632217261	Johann I	Hohenzollern	I	born 1578
6000000006727778846	"Johann I ""der Weise"""	Hohenzollern	I	born 1513
6000000003858815852	Johann I Cicero	Hohenzollern	I	"Wikidata Q702209 ""John Cicero, Elector of Brandenburg"""
4256579394210070288	Johann John Georg I Ludwig	Hohenzollern	I	"Wikidata Q505918 ""John George, Elector of Brandenburg"""
6000000002632163398	Maximilian I	Hohenzollern	I	"Wikidata Q472209 ""Maximilian I, Prince of Hohenzollern-Sigmaringen"""
6000000002632360173	Meinrad I	Hohenzollern	I	born 1605
6000000003204158413	Michael I	Hohenzollern	I	"Wikidata Q930013 ""Michael I of Romania"""
6000000003204158413	Mihai I	Hohenzollern	I	"Wikidata Q930013 ""Michael I of Romania"""
4127866832950049628	Wilhelm I Friedrich Ludwig	Hohenzollern	I	"Wikidata Q150652 ""Wilhelm I"""
6000000002130133237	Carol I (Karl) Eitel Friedrich Zephyrinus Ludwig	Hohenzollern, Sigmaringen	I	"Wikidata Q57146 ""Carol I of Romania"""
6000000001449427127	Aleksander I Pavlovich	Holstein-Gottorp Romanov	I	"Wikidata Q15193 ""Alexander I of Russia"""
6000000003631860362	August I Paul Friedrich (August)	Holstein-Gottorp, Oldenburg	I	"Wikidata Q60791 ""Augustus, Grand Duke of Oldenburg"""
6000000006727800422	Jobst I	Holstein-Schauenburg	I	"Wikidata Q322686 ""Jobst I, Count of Holstein-Schauenburg"""
6000000097469155821	Barbara I	Holzschuher	I	born 1422
6000000006147412456	"Ansfrid I ""le Danois"" dit ""le Goz"""	Hrolfsson	I	born 915
6000000000172359796	Ranulphe I	Hélie de Pompadour	I	born 1259
6000000057158849821	Johan I	Hüge	I	born 1420
6000000006743136717	Ælfwald I	I	I	born 758
6000000003112794945	Artaces I	Iberia	I	born -65
6000000084624871211	Ukjent I	Ingridsdatter	I	born 1335
6000000000037773272	García I	Iñiguez de Pamplona	I	"Wikidata Q1231049 ""García Íñiguez of Pamplona"""
6000000002240806737	Alexander I	Jagiellon	I	"Wikidata Q53450 ""Alexander Jagiellon"""
6000000006727790944	John I Albert	Jagiellon	I	"Wikidata Q53451 ""John I Albert"""
6000000001319351116	"Zygmunt I ""Stary"""	Jagiellończyk	I	"Wikidata Q54056 ""Sigismund I the Old"""
6000000015140583767	Henryk I	Jaworski	I	born 1294
6000000011957883048	Thomas I	Jessup	I	born 1687
6000000012963862095	Johann I	János Both Bélaváry de Szikava	I	"Wikidata Q17073754 ""Johann Burchart"""
6000000003827455566	Wilhelm I	Jülich	I	born 1380
6000000054083688030	Kutlug I Bilge	Kagan	I	born 747
6000000002188304034	Arschawir I of	Kamsarakan	I	born 590
6000000009256211214	Artawazdes I	Kamsarakan	I	born 720
6000000009305090281	Narses I	Kamsarakan	I	born 591
6000000009256136562	Zaurok I ou Zaurak I	Kamsarakan	I	born 520
377256097400012303	Demetrius I	Kantakuzin	I	born 1343
377256097400012303	Dimitrije I	Kantakuzin	I	born 1343
6000000003645847615	K'art'am I Koudjide	Kartham	I	born 20
6000000006727826767	Świętobor I	Katharina von Holstein	I	born 1351
6000000019698373336	Engelbrecht I	Kawer	I	born 1545
6000000019698468305	Hinrich I	Kawer	I	born 1557
6000000019528074071	Hermann I	Keiserlink	I	"Wikidata Q126906900 ""Hermann Keiserlink"""
6000000129089506838	Mir Shahab Ud Din, Ghazi ud Khan,Feroze Jung I	Khan	I	born 1649
6000000001610448055	Vsevolodas I Jaroslavaitis	Kijevo Didysis Kunigaikštis	I	born 1030
6000000024169401834	Bagrat I	King of Abkhazia	I	born 898
6000000002322328040	Harold I Harefoot	Knytlingaätten	I	born 1015
6000000001828950711	Jaromir I	Kníže Rujany	I	born 1163
6000000003827561331	Alexios I Megas	Komnenos	I	"Wikidata Q314442 ""Alexios I of Trebizond"""
6000000006110573587	Isaac I	Komnenos	I	born 1007
6000000000759679062	Manuel I	Komnenos	I	"Wikidata Q41610 ""Manuel I Komnenos"""
6000000003827561325	Manuel I Megas	Komnenos	I	"Wikidata Q366036 ""Manuel I of Trebizond"""
6000000000125674313	Aleksijus I	Komninas	I	"Wikidata Q41600 ""Alexios I Komnenos"""
6000000002187851055	Ulrik I	Koroški	I	born 1104
5114240726860064750	Stjepan I	Kotromanić	I	born 1242
6000000002187823066	John I Tzimiskēs	Kourkouas	I	"Wikidata Q41603 ""John I Tzimiskes"""
6000000002188271493	Count Wolfrad I of	Krautheim	I	born 1170
6000000058990970995	Conrad I	Kress von Kressenstein	I	born 1292
6000000041012363320	Veiox I	Kuntz	I	born 1267
6000000000051344986	Wilhelm I	Kurfürst von Hessen	I	"Wikidata Q506216 ""William I, Elector of Hesse"""
6000000020457963146	Tumenggung Tjondronegoro I Bupati Surabaya	Kyai Tumenggung Djimat Tjondronegoro I / Kyai Onggowidjoyo	I	"Wikidata Q108731702 ""Tumenggung Tjondronegoro I Bupati Surabaya ., XII"""
6000000082787630014	Guglielmo I Salusio IV	Lacon-Massa	I	born 1160
6000000026894285921	Peder Mikkelsen I	Lein	I	born 1689
6000000002433994667	Romanos I	Lekapenos	I	"Wikidata Q41646 ""Romanos I Lekapenos"""
6000000002188110002	Rudolf I	Lenzburg	I	born 1046
6000000008687768608	Diepold I	Leuchtenberg	I	born 1169
6000000002188648498	Ulrich I	Leuchtenberg	I	born 1293
6000000003593750913	Sancho I 'el Craso'	León	I	born 966
6000000016991536419	Philipp I	Lippe	I	"Wikidata Q571442 ""Philip I, Count of Schaumburg-Lippe"""
6000000000701225368	Otto I	Liudolfinger	I	"Wikidata Q43915 ""Otto I the Great"""
6000000000701225368	"Otto I ""der Große"""	Liudolfinger	I	"Wikidata Q43915 ""Otto I the Great"""
5189837681360132355	Eudo I	Longvillers	I	born 1150
6000000000051344986	Wilhelm I ( IX)	Lothringen-Brabant	I	"Wikidata Q506216 ""William I, Elector of Hesse"""
6000000001368230897	Frederick I	Lothringen-Brabant, Hessen	I	"Wikidata Q52932 ""Frederick I of Sweden"""
6000000006727770316	Friedrich I	Lothringen-Brabant, Hessen	I	"Wikidata Q819606 ""Frederick I, Landgrave of Hesse-Homburg"""
6000000048793949950	Louis I Pierre	Louis I de Senectaire,	I	born 1580
6000000015748619617	Nicolò I	Ludovisi	I	born 1610
6000000026123325932	Dervan I	Lusatic Serbs	I	born 590
6000000013689442750	Diego I 'el Blanco'	López	I	born 1124
6000000078099808649	Sancho I	López de Gascuña	I	born 775
6000000026948636190	Christof I	Löhneysen	I	born 1510
6000000026948462034	Georg I	Löhneysen	I	born 1479
6000000058114720068	Hans I	Löneysen	I	born 1400
6000000017492984871	Rolland I	Madeuc de Guémadeuc	I	born 1270
6000000000628842227	Mojmir I	Magna coetu Moraviano	I	born 790
6000000019737541447	Susenyos I	Malak Sagad III	I	born 1572
6000000082939666014	Gabriele I	Malaspina	I	born 1390
6000000008630624191	Artavazd I	Mamikonian	I	born 650
6000000008630636069	Mousegh I	Mamikonian	I	born 510
6000000002187597138	Dgt. of Vache I Princess the	Mamikonians	I	born 305
6000000002187597106	Prince Vache I of the	Mamikonids	I	born 280
6000000001504974149	Günther I Graf	Mansfeld-Querfurt	I	born 1360
6000000001593637951	"Albrecht I ""The Bear"	Margrave of Brandenburg	I	"Wikidata Q156041 ""Albert the Bear"""
6000000004533664800	Ratold I	Markgraf in Karantanien	I	born 889
6000000009726660856	Heinrich I	Markgraf von Schweinfurt	I	born 970
6000000001196257237	Sancho I «o Povoador»	Martinho	I	"Wikidata Q1058544 ""Sancho I of Portugal"""
6000000001196257237	Sancho I «el Poblador»	Martino de Portugal	I	"Wikidata Q1058544 ""Sancho I of Portugal"""
