geni_id	qids	geni_name
6000000016254584618	Q751918	"Sanballat ""the Horonite"" Governor of Samaria"
6000000017982799254	Q53032176	Anna Margareta /Gottsman/
6000000019187015830	Q19812768	Frans /Siberg/
6000000019187164452	Q4968400	Anna Katarina Fredrika /Munthe/
6000000019187411204	Q10650645	Johan Reinhold /Norstedt/
6000000019403016022	Q135579407	Yasutaka 52 /Izumo-kokuso/
6000000019459119872	Q135579471	Takatoshi /Senge/
6000000019459238863	Q135579410	Sadataka /Hiraoka/
6000000019459424477	Q135579411	Takakage /Azuma/
6000000019459698488	Q135579409	Takatoki /Izumo-kokuso/
6000000019459773306	Q135579415	Takamune /Senge/
6000000019459822378	Q135579464	Naonobu /Senge/
6000000019459850459	Q135579441	Takakuni /Senge/
6000000019459854230	Q135579416	Sadataka /Kitajima/
6000000019459881225	Q135579455	Mochikuni /Senge/
6000000019459924115	Q135579420	Naokuni /Senge/
6000000019460072018	Q135579414	Kiyotaka /Izumo/
6000000019460177052	Q135579478	Toyotoshi /Senge/
6000000019752430175	Q111367918	Frida Mariana /Dahlberg/
6000000021488603372	Q15728524	Hanna /Sohlman/
6000000021609587953	Q110146986	Elis Wilhelm /Ohlin/
6000000023051357087	Q90083790	Jonas Jakob /Ljunggren/
6000000024238659209	Q75388104	Walter /Stewart of Morphie/
6000000024852299508	Q6163722	Yngve Sigurd Isidor /Rasmussen/
6000000025767967979	Q179493	Bertil Gotthard /Ohlin/
6000000029886012214	Q89033025	Emy /Reuterskiöld/
6000000035429163036	Q67141938	Richard Alexander /von Post/
6000000037643074954	Q58717942	Peter Nicolaj Zernichow /Arentz/
6000000038778067865	Q86648620	Agnes Amalia /Behmer/
6000000040189994699	Q88797061	Knut Robert Fabian /Reuterskiöld/
6000000040190259253	Q89018987	Maria Sofia /Thomée/
6000000040190473039	Q87345365	Ellen Anna Elisabet /Reuterskiöld/
6000000040899150915	Q5546274	Nils Erik /Alexanderson/
6000000051899520076	Q12330899;Q3073717	Sigrid Fritze /Ræder/
6000000054968645865	Q38598602	Johann Bertram /Bachoven von Echt/
6000000058357831833	Q3609909	Alessandro /Casati/
6000000059468058024	Q90081324	Samuel Gustav /Ljunggren/
6000000059468209001	Q90080945	Emanuel /Ljunggren/
6000000059786705908	Q87311049	Anna Lovisa Celanire /Rydvall/
6000000066689644853	Q6793829	Mauritz /Gisiko/
6000000095421842447	Q57555651	Alexander Georg Wilhelm Егорович /Baumann/
6000000148750185821	Q1463600	Friedrich /Von Bolanden/
6000000154303395822	Q99930388	Hilda Maria Amalia Maria Amalia /Liedholm/
6000000174188145416	Q105488237	Shad Molouk Malik /Timurid/
6000000176128322888	Q39715931	Betsy Louise Luise /Scholz/
6000000177656672888	Q120564	“Okiko” Meisho 109th Emperor 1629–1643
6000000178917300876	Q20502598	Jonathan I /Samaritan High Priest/
6000000178918027844	Q2911644	Baba Rabba /Samaritan High Priest/
6000000180566653840	Q87470638	Catharina Elisabet /Elfstrand/
6000000184120509831	Q3721829	Eleonora /d'Este/
6000000186711237860	Q94929115	Gédéon /Le Cointe/
6000000206937878824	Q109321836	Frans /Cronman/
6000000227239142939	Q51676	Aaron I /Samaritan High Priest/
6000000227239206857	Q1675214	Itamar ben Aaron
6000000227239234867	Q477527	Amram
6000000227239238885	Q594805	Jochebed
6000000227239284860	Q1514983	Gershom
6000000227239290894	Q9077	Moses
6000000227239364860	Q1941782	Nadab /ben Aaron/
6000000227239386881	Q159443	Eleazar I /ben Aaron/
6000000227239417841	Q205523	Zipporah
6000000227239421822	Q128063	Phinehas I /Samaritan High Priest/
6000000227239426835	Q321166	Abihu /ben Aaron/
6000000227239453825	Q1195680	Eliezer
6000000227239506922	Q2836764	Bakhi ben Sashai /Samaritan High Priest/
6000000227239529842	Q2338482	Abishua I /Samaritan High Priest/
6000000227239653826	Q115804497	Sashai ben Abishua /Samaritan High Priest/
6000000227331536905	Q135579511	Takanori 77 /Senge/
6000000227331577963	Q135579499	Toyomi 74 /Senge/
6000000227331577978	Q135579462	Yasunori /Higashi/
6000000227331591841	Q135579518	Takasumi 79 /Senge/
6000000227331605900	Q135579494	Takafusa 69 /Senge/
6000000227331607945	Q135579404	Masataka 50 /Izumo/
6000000227331611963	Q135579418	Tokitaka /Azuma/
6000000227331619947	Q135579389	Kunitake 41 /Izumo/
6000000227331623899	Q135579493	Munetoshi 71 /Senge/
6000000227331623962	Q135579399	Munetaka 47 /Izumo/
6000000227331650867	Q135579500	Higashisadatsune /Senge/
6000000227331651847	Q11405449	Takatomi 80 /Senge/
6000000227331651878	Q135579515	Takamago 78 /Senge/
6000000227331674896	Q135579490	Nobutoshi /Higashi/
6000000227331674921	Q135579498	Toyomasa 73 /Senge/
6000000227331690863	Q135579508	Toshihide 76 /Senge/
6000000227331690912	Q135579486	Sadanobu /Higashi/
6000000227331694933	Q135579454	Takanori /Higashi/
6000000227331698868	Q135579495	Naoharu 70 /Senge/
6000000227331698934	Q135579483	Yoshiakira /Higashi/
6000000227331711977	Q135579377	Hitonaga 30 /Izumo/
6000000227331719906	Q135579470	Anatsuu /Higashi/
6000000227331729823	Q135579505	Toshikatsu 75 /Senge/
6000000227331729891	Q135579400	Takafusa 48 /Izumo/
6000000227331730867	Q135579397	Kanetada 45 /Izumo/
6000000227331730906	Q135579463	Shigeyasu /Takaoka/
6000000227331756829	Q135579481	Yoshihiro 65 /Senge/
6000000227331762828	Q135579477	Yoshikatsu 64 /Senge/
6000000227331789887	Q135579388	Kuniaki 40 /Izumo/
6000000227331796880	Q135579391	Yukikane 42 /Izumo/
6000000227331840857	Q135579402	Takatsuna 49 /Izumo/
6000000227331845853	Q135579423	Takataka /Azuma/
6000000227331852838	Q135579406	Yoshitaka 51 /Izumo/
6000000227331852896	Q135579374	Obitake 23 /Izumo/
6000000227331880928	Q123511663	Raihita no Wiho 14 /no Mikoto/
6000000227331882876	Q135579381	Toyomochi 34 /Izumo/
6000000227331884904	Q135579386	Harutoshi 38 /Izumo/
6000000227331885873	Q135579387	Yoshitada 39 /Izumo/
6000000227331888821	Q135579434	Sadayori /Higashi/
6000000227331888918	Q135579369	Funei 19 /Izumo/
6000000227331898861	Q135579371	Miho 21 /Izumo/
6000000227331898875	Q135579370	Ihohiku 20 /Izumo/
6000000227331911824	Q135579367	Miyamukasu 17 /Ashinazu-ni-Mikoto/
6000000227331915821	Q135579395	Kanemune 44 /Izumo/
6000000227331924854	Q95161958	Ka'an 24 /Izumo/
6000000227331939856	Q135579385	Ujihiro 36 /Izumo/
6000000227331940846	Q135579380	Tabito 33 /Izumo/
6000000227331940873	Q135579368	Funin 18 /Izumo/
6000000227331950830	Q135579382	Tokinobu 35 /Izumo/
6000000227331968828	Q95161959	Masakata 27 /Izumo/
6000000227331968838	Q135579373	Eiya 22 /Izumo/
6000000227331989821	Q135579384	Tsunesuke 36 /Izumo/
6000000227332000825	Q135579366	Mishima 15 /Ashinazu-ni-Mikoto/
6000000227332003822	Q92924732	Hiroshima 25 /Izumo/
6000000227332010837	Q109361305	Okimimi 13 /no Mikoto/
6000000227332010844	Q135579365	Ukatsu Kunu 12 /no Mikoto/
6000000227332013831	Q55406423	Ou 16 /Ashinazu-ni-Mikoto/
6000000227333117897	Q17193127	Isetsuhiko /no Mikoto/
6000000227334033836	Q55536798	Mikihime /no Mikoto/
6000000227334155842	Q108729770	Ōtataneko
6000000227334231868	Q135579376	Kuninari 29 /Izumo/
6000000227334262869	Q95161949	Otoyama 26 /Izumo/
6000000227334274865	Q135579396	Kaneie /Izumo/
6000000227334291838	Q135579378	Kanemutsu 32 /Izumo/
6000000227334350078	Q135579476	Naokiyo /Hiraoka/
6000000227334351847	Q135579394	Munefusa 43 /Izumo/
6000000227334361840	Q135579398	Kanetsune 46 /Izumo/
6000000227334372830	Q135579379	Chikuni 31 /Izumo/
6000000227334396821	Q135579375	Kunikami 28 /Izumo/
6000000227334759839	Q135579472	Takakatsu 62 /Senge/
6000000227334843823	Q135579424	Ujihiro Okuma /Senge/
6000000227335008051	Q135579513	Okitaka 72 /Kitajima/
6000000227335094894	Q135579421	Yoshitaka 56 /Kitajima/
6000000227335131944	Q135579425	Yukitaka 57 /Kitajima/
6000000227335155963	Q135579485	Hisataka 62 /Kitajima/
6000000227335299879	Q135579503	Michitaka 67 /Kitajima/
6000000227335301867	Q135579447	Takataka 58 /Kitajima/
6000000227335324856	Q135579457	Yoshitaka 59 /Kitajima/
6000000227335337887	Q135579512	Akitaka 70 /Kitajima/
6000000227335339873	Q135579509	Yoritaka 69 /Kitajima/
6000000227335344839	Q135579506	Naotaka 68 /Kitajima/
6000000227335353899	Q135579496	Takamitsu 68 /Senge/
6000000227335360837	Q135579466	Masataka 60 /Kitajima/
6000000227335365856	Q135579516	Nobutaka 71 /Kitajima/
6000000227335365861	Q135579517	Zentaka 74 /Kitajima/
6000000227335366839	Q135579475	Hidetaka 61 /Kitajima/
6000000227335376843	Q135579514	Yoritaka 73 /Kitajima/
6000000227335378827	Q135579492	Harutaka 64 /Kitajima/
6000000227335397826	Q135579502	Kanetaka 66 /Kitajima/
6000000227335415836	Q135579487	Motokatsu 66 /Senge/
6000000227335430822	Q135579488	Hirokatsu 63 /Kitajima/
6000000227335430827	Q135579497	Tsunetaka 65 /Kitajima/
6000000227335444826	Q135579491	Takanou 67 /Senge/
6000000227335472827	Q135579501	Hiromitsu 72 /Senge/
6000000227335699823	Q135579476	Naokatsu 63 /Senge/
6000000227347981951	Q106241380	Furutama /no Mikoto/
6000000227350251880	Q106521646	Nintachikatapinomikoto /忍立毛比/ Kamitsu Unakami no Kuni Miyatsuko
6000000227350297833	Q11558664	Unagami no Isachi /Kamitsu Unakami no Kuni Miyatsuko/
6000000227350432965	Q135524858	Yorikiyo /Tanba/
6000000227350450833	Q135524821	Yasuji /Tanba/
6000000227350457835	Q135524864	Toshiyasu /Tanba/
6000000227350458858	Q135524890	Tsuginaga /Tanba/
6000000227350459846	Q135524873	Ienaga /Tanba/
6000000227350466844	Q135524804	Yoriyasu /Tanba/
6000000227350466908	Q135524875	Muneyasu /Tanba/
6000000227350468901	Q135524824	Ikimoto /Tanba/
6000000227350468906	Q135524833	Masatsune /Tanba/
6000000227350468920	Q135524822	Motoaki /Tanba/
6000000227350468929	Q135524846	Hisanaga /Tanba/
6000000227350480005	Q135524790	Kiyomasa /Tanba/
6000000227350480021	Q135524797	Tadayasu /Tanba/
6000000227350480136	Q135524848	Motoyoshi /Tanba/
6000000227350480176	Q135524892	Kaneyasu /Tanba/
6000000227350483979	Q135524807	Tsuneyasu /Tanba/
6000000227350483988	Q135524830	Yoshimoto /Tanba/
6000000227350486846	Q17212991	Masatada /Tanba/
6000000227350486925	Q135524810	Norimoto /Tanba/
6000000227350486977	Q135524899	Ariyasu /Tanba/
6000000227350487098	Q11368580	Tokinaga /Tanba/
6000000227350504993	Q135524834	Masatsugu /Tanba/
6000000227350508924	Q135524798	Shigeyasu /Tanba/
6000000227350508962	Q135524814	Masanaga /Tanba/
6000000227350508982	Q135524844	Naganobu /Tanba/
6000000227350511019	Q135524806	Mikoyasu /Tanba/
6000000227350512947	Q135524793	Toshiyoshi /Tanba/
6000000227350524835	Q135524898	Morinaga /Tanba/
6000000227350524887	Q135524894	Nagahira /Tanba/
6000000227350527916	Q135524803	Shigeyori /Tanba/
6000000227350530885	Q135524973	Tamemoto /Tanba/
6000000227350530892	Q135524975	Tokimichi /Tanba/
6000000227350530913	Q135524984	Tsunetoshi /Tanba/
6000000227350531833	Q135524808	Motoyasu /Tanba/
6000000227350533879	Q135524915	Sueyoshi /Tanba/
6000000227350539869	Q135524789	Shigemitsu /Tanba/
6000000227350547867	Q1466794	Yasuyori /Tanba/
6000000227350551882	Q135524794	Tadamitsu /Tanba/
6000000227350556836	Q135524809	Tomoyasu /Tanba/
6000000227350557852	Q135524815	Yorimoto /Tanba/
6000000227350572848	Q11665947	Asukai Masaharu /Tanba/
6000000227350573858	Q135524856	Yorimoto /Tanba/
6000000227350573875	Q132435802	Shigetada /Tanba/
6000000227350575878	Q135524831	Tsunenaga /Tanba/
6000000227350585923	Q135524879	Ennaga /Tanba/
6000000227350585974	Q135524835	Hisamoto /Tanba/
6000000227350587897	Q135524842	Yoriyuki /Tanba/
6000000227350588855	Q135524801	Nakakiyo /Tanba/
6000000227350589923	Q135524930	Nagachika /Tanba/
6000000227350589990	Q135524988	Kiyoyoshi /Tanba/
6000000227350590843	Q135524812	Shigenaga /Tanba/
6000000227350592846	Q135524795	Shigetsune /Tanba/
6000000227350595891	Q135524816	Tsunemoto /Tanba/
6000000227350595928	Q135524896	Sadayasu /Tanba/
6000000227350595951	Q135524902	Yorihide /Tanba/
6000000227350595957	Q11665951	Asukai Masatsuna /Tanba/
6000000227350596084	Q135524928	Mitsuyo /Tanba/
6000000227350600828	Q135524799	Masayasu /Tanba/
6000000227350600851	Q135524888	Iemae /Tanba/
6000000227350605869	Q135524805	Shigemoto /Tanba/
6000000227350605885	Q135524823	Nobuyasu /Tanba/
6000000227350605921	Q135524860	Hiromoto /Tanba/
6000000227350605990	Q135524829	Arimichi /Tanba/
6000000227350610914	Q135524901	Haruyasu /Tanba/
6000000227350610924	Q135524904	Toshinaga /Tanba/
6000000227350611012	Q135524849	Ieyasu /Tanba/
6000000227350612827	Q135524845	Naganaga /Tanba/
6000000227350617868	Q135524871	Norinaga /Tanba/
6000000227350617924	Q135524935	Atsunao /Nishikikoji/
6000000227350639842	Q135524820	Tomomoto /Tanba/
6000000227350661830	Q135524832	Motokane /Tanba/
6000000227350675940	Q135524841	Tadatoshi /Tanba/
6000000227350675955	Q135524868	Akihito /Tanba/
6000000227350675960	Q135524869	Hisayoshi /Tanba/
6000000227350676015	Q135524931	Tokimi /Tanba/
6000000227350676859	Q135524865	Yukimoto /Tanba/
6000000227350676868	Q135524874	Hisayasu /Tanba/
6000000227350676877	Q135524884	Tomonaga /Tanba/
6000000227350683839	Q135524885	Moriyasu /Tanba/
6000000227350683895	Q135524826	Tadanori /Tanba/
6000000227350693884	Q135524836	Yorinori /Tanba/
6000000227350698848	Q135524862	Yukinaga /Tanba/
6000000227350700901	Q135524878	Nagahiro /Tanba/
6000000227350700930	Q135524909	Yoritoki /Tanba/
6000000227350703883	Q135524855	Nagatomo /Tanba/
6000000227350703891	Q135524886	Nagatoyo /Tanba/
6000000227350703911	Q135524850	Takamoto /Tanba/
6000000227350704822	Q135524863	Morinaga /Tanba/
6000000227350704830	Q135524889	Hidenaga /Tanba/
6000000227350704918	Q135524893	Shigeyo /Tanba/
6000000227350705908	Q135524828	Yasunaga /Tanba/
6000000227350705920	Q135524840	Nagatada /Tanba/
6000000227350708868	Q135524839	Yasumitsu /Tanba/
6000000227350709826	Q135524905	Yorihiro /Tanba/
6000000227350716844	Q135524877	Nagauji /Tanba/
6000000227350716880	Q135524907	Nagamoto /Tanba/
6000000227350727867	Q11368575	Tadamori /Tanba/
6000000227350727872	Q135524887	Suetoshi /Tanba/
6000000227350733847	Q135524853	Shigeuji /Tanba/
6000000227350734863	Q135524914	Mitsumoto /Tanba/
6000000227350734887	Q135524939	Moriyo /Tanba/
6000000227350737865	Q135524854	Tadamoto /Tanba/
6000000227350738821	Q135524882	Kanehira /Tanba/
6000000227350739830	Q135524895	Sadanaga /Tanba/
6000000227350739844	Q135524906	Yasunaga /Tanba/
6000000227350739851	Q135524811	Yoritada /Tanba/
6000000227350739858	Q135524838	Yasutaka /Tanba/
6000000227350739869	Q135524872	Nagasue /Tanba/
6000000227350744934	Q135524936	Sadayo /Tanba/
6000000227350744940	Q135524937	Chikanori /Tanba/
6000000227350747823	Q135524900	Yoritoyo /Tanba/
6000000227350747859	Q135524852	Masanori /Tanba/
6000000227350747937	Q135524927	Naganori /Tanba/
6000000227350748821	Q135524897	Yorinobu /Tanba/
6000000227350752844	Q135524851	Masahisa /Tanba/
6000000227350759848	Q135524867	Yukiyasu /Tanba/
6000000227350759876	Q135524916	Tokinori /Tanba/
6000000227350763845	Q135524933	Yasutsune /Tanba/
6000000227350767823	Q135524924	Atsumoto /Tanba/
6000000227350769911	Q135524962	Kiyomoto /Tanba/
6000000227350769923	Q135524969	Yorimoto /Tanba/
6000000227350769945	Q135524987	Shigetoshi /Tanba/
6000000227350790824	Q135524910	Tadanaga /Tanba/
6000000227350797870	Q135524945	Nagaaki /Tanba/
6000000227350797893	Q135524960	Tamemoto /Tanba/
6000000227350800834	Q135524934	Naochoku /Tanba/
6000000227350800846	Q135524921	Tadayori /Tanba/
6000000227350802824	Q135524911	Suehiro /Tanba/
6000000227350802831	Q135524940	Nagaharu /Tanba/
6000000227350811835	Q135524932	Tadakage /Tanba/
6000000227350814835	Q135524922	Yasuie /Tanba/
6000000227350819822	Q135524919	Naganori /Tanba/
6000000227350822857	Q135524955	Munekiyo /Tanba/
6000000227350822862	Q135524957	Munetada /Tanba/
6000000227350826825	Q135524917	Yasuyo /Tanba/
6000000227350826842	Q135524941	Tadayuki /Tanba/
6000000227350826862	Q135524947	Tadayuki 2 /Tanba/
6000000227350826883	Q135524952	Sueyoshi 2 /Tanba/
6000000227350828860	Q135524950	Suekata /Tanba/
6000000227350828902	Q135524972	Hideyori /Tanba/
6000000227350837845	Q135524989	Masayoshi /Tanba/
6000000227350855841	Q135524961	Toshimichi /Tanba/
6000000227350856824	Q135524943	Chikatoki /Tanba/
6000000227350856861	Q135524981	Chikayoshi /Tanba/
6000000227350857841	Q135524948	Suekage /Tanba/
6000000227350858841	Q135524974	Hideyoshi /Tanba/
6000000227350861849	Q135524968	Toshitada /Tanba/
6000000227350861875	Q135524986	Ariyoshi /Tanba/
6000000227350867821	Q135524942	Hideyo /Tanba/
6000000227350867826	Q135524944	Yukiyasu /Tanba/
6000000227350869832	Q135524946	Yorikage /Tanba/
6000000227350871828	Q135524979	Yukiyoshi /Tanba/
6000000227350877878	Q135524977	Taneyoshi /Tanba/
6000000227350877904	Q135524990	Suetoshi /Tanba/
6000000227350878846	Q135524971	Yasumichi /Tanba/
6000000227350878880	Q135524985	Hidemasa /Tanba/
6000000227350878899	Q135524993	Yoshitoshi /Tanba/
6000000227350878907	Q135524995	Yoshitomo /Tanba/
6000000227350880839	Q135524980	Motoyoshi /Tanba/
6000000227350881838	Q135524965	Suetoshi /Tanba/
6000000227350881854	Q135524994	Yoshikuni /Tanba/
6000000227350884822	Q135524854	Tadamoto /Tanba/
6000000227351138949	Q135525000	Yorinao /Tanba/
6000000227351138968	Q135525006	Yorinaka /Tanba/
6000000227351157886	Q135524876	Fuyuyasu /Tanba/
6000000227351174975	Q135525012	Motonori Taki /Tanba/
6000000227351205884	Q135525001	Yoriyoshi /Tanba/
6000000227351212844	Q135524996	Nagatoshi /Tanba/
6000000227351216851	Q55529040	Mototaka Taki /Tanba/
6000000227351241860	Q135525009	Motonao Kanpo /Tanba/
6000000227351250838	Q135524999	Yorikazu /Tanba/
6000000227351269845	Q135525010	Motokatsu Kanpo /Tanba/
6000000227351269898	Q135524925	Tokiyo /Tanba/
6000000227351270846	Q135525008	Yorifusa /Tanba/
6000000227351273825	Q135525003	Yorimoto /Tanba/
6000000227351301821	Q135525002	Yorishige /Tanba/
6000000227351315822	Q135525011	Motoen Kanpo /Tanba/
6000000227351379821	Q135524912	Sueyasu /Tanba/
6000000227379158022	Q135524954	Sueyoshi /Tanba/ Jr.
6000000227379231882	Q135524991	Masatoshi /Tanba/
6000000227379436850	Q135524952	Sueyoshi /Tanba/ Sr.
