look_first	signal	provisional_reading	qid	wikidata_label	shares_father	geni_a	name_a	geni_b	name_b
yes	PLACEHOLDER	a marker, not a name - judge on structure and dates	Q66555044	Vasili Narimuntovich	no	6000000011456805386	Vasili Michailovich of Pinsk / Василий Михайлович Пинский	6000000041749925420	Bazyli ??? Narimontovich / Vasilijus Narimantaitis / Bazyli Narymontowicz
yes	PLACEHOLDER	a marker, not a name - judge on structure and dates	Q69756781	Jeanna de Joinville	no	6000000000436954608	Jeanne de Joinville	6000000119100397957	NN de Joinville
yes	PLACEHOLDER	a marker, not a name - judge on structure and dates	Q97929236	Anne Jeanne Rouyer	no	6000000022542965983	Anne Jeanne Malcy	6000000028015703141	Anne Jeanne Rouyer
yes	DIFFERENT-PATRONYMIC	different fathers named in the names	Q12085112		no	6000000019589207004	Bryachislav Davydovich of Izyaslavl / Брячислав Давыдович Изяславский / Брячисла	6000000080892097734	Брячислав Борисович
yes	DIFFERENT-PATRONYMIC	different fathers named in the names	Q13478538	Lyubava Vasilkavna	no	6000000008785883861	Lyubava Vasilkovna of Vitebsk / Любава Васильковна Витебская	6000000080817176840	Любовь Васильевна
yes	DIFFERENT-PATRONYMIC	different fathers named in the names	Q15615597	Svyatopolk Mstislavich	no	6000000006727876082	Svyatopolk Duke Of Novgorod Volynia Duke Of Polotsk & Minsk / Святополк Володарь	6000000020992263311	Святополк Vladimirovich / Святополк
yes	DIFFERENT-PATRONYMIC	different fathers named in the names	Q2994313	Vitas	no	6000000003858589110	"Romund „Wolf“ Giligino sūnus of Lithuania / Ромунд Раман ""Воўк"" / Romundus / Vil"	6000000008312444741	Vitenas Volk Davilovich iš Riurikų / Vitenis Vilkas iš Riurikų / Вид (Видволк) Д
yes	DIFFERENT-PATRONYMIC	different fathers named in the names	Q3920891	Vasiļko Glebovich	no	6000000011770233298	Wasilko Wołodarowicz Prince of Black Ruthenia 1185 – before 1192	6000000080886919102	Василий Владимирович
yes	DIFFERENT-PATRONYMIC	different fathers named in the names	Q4097582	Bryachislav Vasilkovich	no	6000000008537579083	Bracheslav Vasylkovich Polozki II / Briačislavas Polockietis Kunigaikšis / Briac	6000000080795286877	Брячислав Васильевич
no	NEAR-TOKENS	shares tokens, differs by one or two	Q11978726	Johan Georg Müller	no	6000000020050914098	Johan Georg Müller	6000000105491391008	Johan Georg Møller
no	NEAR-TOKENS	shares tokens, differs by one or two	Q45420203	Liu Tong	yes	6000000075061502982	通 彭城 / Liu Tong 劉通	6000000075346406899	子將 彭城 / Liu Tong 劉通
no	SAME-CJK	identical Han characters, different romanisation	Q22774427	Wei Tian	no	6000000074758467512	瑱 京兆長安 / Wei Zhen 韋瑱	6000000074759288919	瑱 京兆長安 / Wei Tian 韋瑱
