contrast	own	nbr_median	nbrs	birth	geni_id	name
6	3	9	4	1180	6000000000245249001	Inês Martins Anaia
6	5	11	4	1185	6000000001563248377	Matilda
6	8	14	4	1205	6000000001500939114	Sancha d'Aragón
6	2	8	4	1289	6000000017944849239	Guiomar Martins de Soalhães
6	2	8	4	1330	6000000227212174894	Brites Gonçalves de Cerveira
6	2	8	4	1336	6000000005425766070	Eduard van Gelre Graaf van Zutphen
6	1	7	4	1573	6000000005607099946	Tolleiv Vermundsen Regevik
6	4	10	4	1580	6000000006979640802	Magdalena Christensdatter Thrane
6	1	7	4	1590	6000000003095089896	Gudmund Toreson Fosen
6	9	15	3	-354	6000000016628279467	Magas
6	3	9	3	980	6000000061735716108	Hermengarde I Van Vlaanderen
6	1	7	3	1099	4570664	
6	6	12	3	1166	6000000008900345383	Sofia Karlsdotter
6	3	9	3	1172	6000000003177960839	Stillborn Daughter
6	5	11	3	1222	6000000005749887194	Alfonso de Aragón
6	2	8	3	1239	6000000002188625202	Roberto de Portugal infante de Portugal
6	2	8	3	1240	6000000001500870607	N.N. de Portugal infante de Portugal
6	1	7	3	1245	6000000041072904534	1st wife of Lithuania
6	1	7	3	1265	6000000179209679852	Rimantas Lauris of Lithuania
6	1	7	3	1292	6000000012623879677	
6	2	8	3	1515	6000000002452584590	
6	1	7	2	-1420	6000000008222080741	Kadashman-Enlil I of Babylon
6	10	16	2	-145	6000000017805788558	Sempronius Tuditanus
6	9	15	2	-122	6000000041213940432	Publius Servilius Vatia Isauricus (up)
6	8	14	2	245	6000000007097884728	Nikòlaos de Patara
6	5	11	2	250	6000000003828392946	Antonia
6	2	8	2	510	6000000002187923532	Walthari von Lombarden
6	1	7	2	557	6000000026000980769	Unknown Father of Beretrudis De Burgondie
6	5	11	2	645	6000000173134905010	Lady Ōe
6	1	7	2	850	6000000000424568132	King of Dublin Macolaf Ivar
6	2	8	2	900	6000000077124588948	Svana Herrødsdotter
6	4	10	2	920	6000000036144932033	Arnfinn Torfinnsson
6	3	9	2	920	6000000003949871179	Meginhard I [II] von Gilching Count
6	4	10	2	929	6000000055461132980	Fergaurd MacAlpin
6	8	14	2	930	6000000006606539094	Ingeborg
6	2	8	2	960	6000000001262390395	Elisabeth de Vendôme Heiress de Vendôme
6	3	9	2	994	6000000021196156058	Bertha de Durbuy
6	3	9	2	1002	6000000002187818120	Beatrix de Franzien
6	2	8	2	1015	6000000003051188019	
6	3	9	2	1019	6000000227048743909	Bjørn Ulfssøn Estridsøn Jarl of Denmark
6	7	13	2	1023	6000000223106062877	Gunhilda of Denmark Født Av Norge (Frillor)
6	5	11	2	1025	6000000183464245823	Gudröd Crovan Crovan Haraldsson King of Man and the Isles
6	3	9	2	1028	6000000002187887560	Bishop Adalbert of Worms
6	2	8	2	1045	6000000003827328227	Adolf I von Hövel Count of Berg
6	5	11	2	1047	6000000002225846032	Hermann von Hostaden
