sv_title	qid	kind	search
Fredrica Linder	Q98545670	person	"site:geni.com ""Fredrica Linder"""
Fredrik Cederborgh	Q5605481	unknown	"site:geni.com ""Fredrik Cederborgh"""
Fredrik Magnus Cronberg	Q5499497	person	"site:geni.com ""Fredrik Magnus Cronberg"""
Fredrik Olof Widmark	Q19977252	person	"site:geni.com ""Fredrik Olof Widmark"""
Fredrik Otto von Bilberg	Q5575852	unknown	"site:geni.com ""Fredrik Otto von Bilberg"""
Fredrik Rothoff	Q6081429	person	"site:geni.com ""Fredrik Rothoff"""
Fredrika von Kaulbars	Q4958366	person	"site:geni.com ""Fredrika von Kaulbars"""
Gabriel Hwasser	Q16649452	unknown	"site:geni.com ""Gabriel Hwasser"""
Georg Johan De Besche	Q15738101	unknown	"site:geni.com ""Georg Johan De Besche"""
Georg Ulfsparre	Q6219193	person	"site:geni.com ""Georg Ulfsparre"""
Gunilla Grubb	Q16185975	person	"site:geni.com ""Gunilla Grubb"""
Gustaf Adolph Bruncrona	Q16945157	person	"site:geni.com ""Gustaf Adolph Bruncrona"""
Gustaf Boije	Q5580894	unknown	"site:geni.com ""Gustaf Boije"""
Gustaf Fredrik Linnerhielm	Q5959472	unknown	"site:geni.com ""Gustaf Fredrik Linnerhielm"""
Gustaf Magnus Mallmin	Q5973407	unknown	"site:geni.com ""Gustaf Magnus Mallmin"""
Gustaf af Nordin	Q10511089	person	"site:geni.com ""Gustaf af Nordin"""
Gustaf von Engeström	Q5712209	person	"site:geni.com ""Gustaf von Engeström"""
Gustavus Hamilton	Q5621136	person	"site:geni.com ""Gustavus Hamilton"""
Gösta Sandels (direktör)	Q16650277	person	"site:geni.com ""Gösta Sandels"""
Hampus Stellan Mörner	Q124606807	person	"site:geni.com ""Hampus Stellan Mörner"""
Hans Fredrik Harald Strömfelt	Q19860753	person	"site:geni.com ""Hans Fredrik Harald Strömfelt"""
Hans Henrik Boije	Q5580899	person	"site:geni.com ""Hans Henrik Boije"""
Hans Larsson (Björnram)	Q5578329	person	"site:geni.com ""Hans Larsson"""
Harald Strömfelt (död 1707)	Q19977123	person	"site:geni.com ""Harald Strömfelt"""
Hedda Piper	Q16596096	person	"site:geni.com ""Hedda Piper"""
Hedvig Amalia Charlotta Klinckowström	Q4959104	person	"site:geni.com ""Hedvig Amalia Charlotta Klinckowström"""
Hedvig Catharina von Fersen	Q2066886	person	"site:geni.com ""Hedvig Catharina von Fersen"""
Hedvig Strömfelt	Q16596480	person	"site:geni.com ""Hedvig Strömfelt"""
Henrik Johan Nauckhoff	Q6003542	person	"site:geni.com ""Henrik Johan Nauckhoff"""
Hugo Herman von Saltza	Q6090110	person	"site:geni.com ""Hugo Herman von Saltza"""
Jacob Bure	Q15496569	person	"site:geni.com ""Jacob Bure"""
Jacob Burensköld	Q5590189	person	"site:geni.com ""Jacob Burensköld"""
Jacob De la Gardie	Q4157018	person	"site:geni.com ""Jacob De la Gardie"""
Jacob Lagerstedt	Q5931530	unknown	"site:geni.com ""Jacob Lagerstedt"""
Jacob Nils Tersmeden	Q6206413	person	"site:geni.com ""Jacob Nils Tersmeden"""
Jacob von Engeström	Q5712215	person	"site:geni.com ""Jacob von Engeström"""
Johan Anton Millén	Q5987411	unknown	"site:geni.com ""Johan Anton Millén"""
Johan Diedric Duwall	Q5626081	unknown	"site:geni.com ""Johan Diedric Duwall"""
Johan Henning Gyllenborg	Q5779272	person	"site:geni.com ""Johan Henning Gyllenborg"""
Johan Jacob Burman	Q17154108	unknown	"site:geni.com ""Johan Jacob Burman"""
Johan Magnus af Nordin	Q6015299	person	"site:geni.com ""Johan Magnus af Nordin"""
Johan Mathias von Engeström	Q5712230	person	"site:geni.com ""Johan Mathias von Engeström"""
Johan Plantin	Q16650157	unknown	"site:geni.com ""Johan Plantin"""
Johan Rosenadler	Q6220177	unknown	"site:geni.com ""Johan Rosenadler"""
Johan Simmingsköld	Q20652898	unknown	"site:geni.com ""Johan Simmingsköld"""
Johan Stålbom (kyrkoherde)	Q16650417	unknown	"site:geni.com ""Johan Stålbom"""
Johan Ture Bielke	Q5575588	person	"site:geni.com ""Johan Ture Bielke"""
Johan Wilhelm Palmstruch	Q921951	person	"site:geni.com ""Johan Wilhelm Palmstruch"""
Johan von Engeström (1743–1807)	Q5712237	person	"site:geni.com ""Johan von Engeström"""
Johan von Rosenheim	Q16650231	unknown	"site:geni.com ""Johan von Rosenheim"""
Johannes Ilsbodinus	Q16649467	unknown	"site:geni.com ""Johannes Ilsbodinus"""
Johannes Jacobi Bureus	Q5590208	person	"site:geni.com ""Johannes Jacobi Bureus"""
Johannes Johannis Anthelius	Q16158291	person	"site:geni.com ""Johannes Johannis Anthelius"""
Johannes Marci Bullernæsius	Q16649855	person	"site:geni.com ""Johannes Marci Bullernæsius"""
Johannes Olai Gevaliensis	Q5757503	unknown	"site:geni.com ""Johannes Olai Gevaliensis"""
Johannes Steuchius	Q552374	person	"site:geni.com ""Johannes Steuchius"""
Jonas Genberg	Q16649271	person	"site:geni.com ""Jonas Genberg"""
Jonas Petri Halenius	Q6045996	unknown	"site:geni.com ""Jonas Petri Halenius"""
Jonas Stecksén	Q6187679	unknown	"site:geni.com ""Jonas Stecksén"""
Katarina Bure	Q4941223	unknown	"site:geni.com ""Katarina Bure"""
Kerstin Sandels	Q16596266	person	"site:geni.com ""Kerstin Sandels"""
Lars Adolf Prytz	Q11874742	person	"site:geni.com ""Lars Adolf Prytz"""
Lars Benzelstierna (äventyrare)	Q5596616	unknown	"site:geni.com ""Lars Benzelstierna"""
Lars Fredrik von Kaulbars	Q5903874	person	"site:geni.com ""Lars Fredrik von Kaulbars"""
Lars Wallenstedt	Q6230749	person	"site:geni.com ""Lars Wallenstedt"""
Lasse Olsson	Q5939340	person	"site:geni.com ""Lasse Olsson"""
Laurentius Jonæ Halenius	Q5783620	person	"site:geni.com ""Laurentius Jonæ Halenius"""
Laurentius Olai Gestricius	Q16650078	person	"site:geni.com ""Laurentius Olai Gestricius"""
Louise Meijerfeldt	Q4966876	person	"site:geni.com ""Louise Meijerfeldt"""
Ludvig Manderström	Q4993034	person	"site:geni.com ""Ludvig Manderström"""
Magdalena Margareta Stenbock	Q19006898	person	"site:geni.com ""Magdalena Margareta Stenbock"""
Magdalena Rudenschöld	Q4975813	person	"site:geni.com ""Magdalena Rudenschöld"""
Magnus Adlerstam	Q5542901	unknown	"site:geni.com ""Magnus Adlerstam"""
Magnus Petri Grubb	Q136686501	person	"site:geni.com ""Magnus Petri Grubb"""
Magnus Stenbock (1763–1822)	Q6188840	person	"site:geni.com ""Magnus Stenbock"""
Marcus Simming den yngre	Q16650340	unknown	"site:geni.com ""Marcus Simming den yngre"""
Marcus Simming den äldre	Q19977092	person	"site:geni.com ""Marcus Simming den äldre"""
Martin Lundell (kyrkoherde)	Q16649790	unknown	"site:geni.com ""Martin Lundell"""
Martinus Olai Gestricius	Q5757422	person	"site:geni.com ""Martinus Olai Gestricius"""
Martinus Olai Nycopensis	Q5978482	unknown	"site:geni.com ""Martinus Olai Nycopensis"""
Mathias Benzelstierna	Q1910650	person	"site:geni.com ""Mathias Benzelstierna"""
Michael Grubb	Q5773257	person	"site:geni.com ""Michael Grubb"""
Munck af Fulkila	Q4307528	unknown	"site:geni.com ""Munck af Fulkila"""
Munck af Rosenschöld	Q10590171	unknown	"site:geni.com ""Munck af Rosenschöld"""
Mårten Kalling	Q19822796	person	"site:geni.com ""Mårten Kalling"""
Nicolaus Sternell	Q16650392	person	"site:geni.com ""Nicolaus Sternell"""
Nils Grubb	Q5773264	unknown	"site:geni.com ""Nils Grubb"""
Odert Reinhold von Essen den yngre	Q5855920	person	"site:geni.com ""Odert Reinhold von Essen den yngre"""
Olaus Abrahami Burman	Q16165504	unknown	"site:geni.com ""Olaus Abrahami Burman"""
Olaus Laurentii Bure	Q16649630	unknown	"site:geni.com ""Olaus Laurentii Bure"""
Olaus Martini	Q3881468	person	"site:geni.com ""Olaus Martini"""
Olaus Olai Nauclerus	Q16649961	person	"site:geni.com ""Olaus Olai Nauclerus"""
Olaus Simonis Nauclerus	Q11993753	person	"site:geni.com ""Olaus Simonis Nauclerus"""
Olof Andersson (Stockholms borgmästare)	Q16496669	unknown	"site:geni.com ""Olof Andersson"""
Olof Bidenius Renhorn	Q16650190	unknown	"site:geni.com ""Olof Bidenius Renhorn"""
Olof Hersesson	Q50368774	unknown	"site:geni.com ""Olof Hersesson"""
Olof Kolmodin den yngre	Q5918044	person	"site:geni.com ""Olof Kolmodin den yngre"""
Olof Riddercreutz	Q6071574	unknown	"site:geni.com ""Olof Riddercreutz"""
Olof Stiernman	Q16945514	unknown	"site:geni.com ""Olof Stiernman"""
Olof Wexionius	Q6238796	person	"site:geni.com ""Olof Wexionius"""
Olof von Törne	Q6218062	person	"site:geni.com ""Olof von Törne"""
Otto August Cronhielm	Q5613471	person	"site:geni.com ""Otto August Cronhielm"""
Pehr Fabian Aurivillius	Q5562596	person	"site:geni.com ""Pehr Fabian Aurivillius"""
Pehr Gustaf Cederschjöld	Q5605664	person	"site:geni.com ""Pehr Gustaf Cederschjöld"""
Pehr Olof von Asp	Q5561282	person	"site:geni.com ""Pehr Olof von Asp"""
Pehr Sebastian Tham	Q6206805	unknown	"site:geni.com ""Pehr Sebastian Tham"""
Per Adlerheim	Q5542866	unknown	"site:geni.com ""Per Adlerheim"""
Per Andersson Grubb	Q127270432	person	"site:geni.com ""Per Andersson Grubb"""
Per Gustaf Linnerhielm	Q5959487	unknown	"site:geni.com ""Per Gustaf Linnerhielm"""
Peter Munck af Rosenschöld	Q5996862	unknown	"site:geni.com ""Peter Munck af Rosenschöld"""
Peter Niklas von Gedda	Q5754056	person	"site:geni.com ""Peter Niklas von Gedda"""
Petrus Andreæ Grubb	Q5773273	person	"site:geni.com ""Petrus Andreæ Grubb"""
Petrus Stjernman	Q10625276	unknown	"site:geni.com ""Petrus Stjernman"""
Philip von Schwerin	Q15695135	person	"site:geni.com ""Philip von Schwerin"""
Ribbing af Koberg	Q10654708	unknown	"site:geni.com ""Ribbing af Koberg"""
Roland Olai Bure	Q16650076	unknown	"site:geni.com ""Roland Olai Bure"""
Rutger Macklean	Q4992745	person	"site:geni.com ""Rutger Macklean"""
Salomon Jakob Gyllenadler	Q19721216	person	"site:geni.com ""Salomon Jakob Gyllenadler"""
Samuel Nauclér	Q6003576	person	"site:geni.com ""Samuel Nauclér"""
Samuel Schillerfelt	Q126419662	person	"site:geni.com ""Samuel Schillerfelt"""
Samuel Schröderstierna	Q6169398	person	"site:geni.com ""Samuel Schröderstierna"""
Samuel Skragge	Q19977097	unknown	"site:geni.com ""Samuel Skragge"""
Simon Isogaeus	Q16649472	unknown	"site:geni.com ""Simon Isogaeus"""
Simon Melander	Q19976772	person	"site:geni.com ""Simon Melander"""
Sophie von Knorring	Q450795	person	"site:geni.com ""Sophie von Knorring"""
Stiernfelt eller Grubbe	Q10679818	unknown	"site:geni.com ""Stiernfelt eller Grubbe"""
Sven Bunge	Q5589959	person	"site:geni.com ""Sven Bunge"""
Sveno Nicolai Bothniensis	Q19976342	unknown	"site:geni.com ""Sveno Nicolai Bothniensis"""
Ulla Adlerfelt	Q3426850	person	"site:geni.com ""Ulla Adlerfelt"""
Vilhelm von Rosenheim	Q16650232	unknown	"site:geni.com ""Vilhelm von Rosenheim"""
Wilhelm Tornérhjelm	Q6213731	unknown	"site:geni.com ""Wilhelm Tornérhjelm"""
Zacharias Olai Plantin	Q16650156	unknown	"site:geni.com ""Zacharias Olai Plantin"""
