qid	geni_id	en_label	en_description
Q10294699	6000000074733399028	Zhang Hongce	person, CBDB = 176148
Q10294985	6000000075484666857	Zhang Mengde	Song dynasty person CBDB = 47295
Q10295119	6000000075397912902	Zhang Wengui	Tang dynasty person CBDB = 32020
Q10295721	6000000075058419834	Zhang Gang	Song dynasty person (CBDB = 252)
Q10295840	6000000075328253015	Zhang Jian	Tang dynasty person CBDB = 30976
Q10295868	6000000074735682051	Zhang Xingcheng	Song dynasty person CBDB = 13501
Q10295880	6000000037889287747	Zhang Biaochen	Song dynasty person CBDB = 29558
Q10295889	6000000075430320911	Zhang Yue	Song dynasty person CBDB = 44393
Q10295911	6000000074685377056	Zhang Bangji	Song dynasty person (CBDB = 29557)
Q10295919	6000000074299827992	Zhang Yong	Song dynasty person CBDB = 330
Q10295973	6000000051945816932	Qiang Zhi	Song dynasty person CBDB = 7138
Q10296175		Zhangtai	Qing dynasty person CBDB = 65429
Q10296338	6000000075482839883	Xu Fu	Song dynasty person (CBDB = 46222)
Q10296401	6000000074770768840	Xu Qingsou	Song dynasty person (CBDB = 24324)
Q10296403		Xu Zhanzhi	person (CBDB = 193926)
Q10296407	6000000075431126979	Xu Ji	Song dynasty person (CBDB = 44994)
Q10296413	6000000074691374315	Xu Xi	Song dynasty person (CBDB = 753)
Q10296421	6000000075326158468	Xu Ziming	Song dynasty person CBDB = 30606
Q10296423	6000000074771478868	Xu Fan	Song dynasty person CBDB = 24764
Q10296426	6000000074770849859	Xu Rongsou	Song dynasty person CBDB = 24323
Q10296436	6000000074733218821	Xu Kai	Southern Tang person CBDB = 12237
Q10296822		Murong Xuanchao	Tang dynasty person CBDB = 165151
Q10297039	6000000074784233328	Hu Meng	Song dynasty person CBDB = 26369
Q10297212		Anzhijidai	Yuan dynasty person CBDB = 113607
Q10299269	6000000075328183989	Jing Bo	Tang dynasty person CBDB = 30948
Q10300103	6000000038220851214	Wen Jifu	Song dynasty person (CBDB = 7391)
Q10301066	6000000074751039986	Wen Weng	Western Han Dynasty person CBDB = 19466
Q10307923	6000000074792884020	Fang Shao	Song dynasty person (CBDB = 29843)
Q10308129	6000000075421088887	Fang Shanjing	Yuan dynasty person CBDB = 38467
Q10308428	6000000075506894859	Fang Dengyi	Qing dynasty person CBDB=56400
Q10308615	6000000075345529854	Yu Ao	Tang dynasty person CBDB = 31501
Q10309461	6000000074757353870	Shi Chou	Western Han Dynasty person CBDB = 21000
Q10313955	6000000074727701079	Shi Shaozhang	Song dynasty person CBDB = 21039
Q10317793	6000000037869833609	Chao Jiong	Song dynasty person CBDB = 3012
Q10323112	6000000074725792513	Cao Liyong	Song dynasty person (CBDB = 8133)
Q10323658	6000000074745406022	Cao Jing	Yuan dynasty person CBDB=15509
Q10323734	6000000074704378049	Cao Yingshu	Song dynasty person CBDB = 1671
Q10324490	6000000038069706867	Zeng Xiaokuan	Song dynasty person CBDB = 1695
Q10324555	6000000038069538248	Zeng Xiaoyun	Song dynasty person CBDB = 1700
Q10330338	6000000074711781860	Zhu Bian	Song dynasty person (CBDB = 16681)
Q10331089	6000000074711529955	Zhu Yi	Song dynasty person (CBDB = 3258)
Q10331300	6000000074691523911	Zhu E	Song dynasty person CBDB = 8038
Q10331388	6000000038201404345	Li Zhiyi	Tang dynasty person CBDB = 184920
Q10332085	6000000074750799821	Li ?	Tang dynasty person CBDB = 189257
Q10332182	6000000075425133822	Li Jiuling	Song dynasty person CBDB = 40757
Q10332262	6000000075399132050	Li Liang	Sui dynasty person CBDB = 32201
Q10332436	6000000074750543914	Li Ji	person (CBDB = 189291)
Q10332536	6000000074750615941	Li Bao	person (CBDB = 189293)
Q10333344	6000000074769147897	Li Gu	Eastern Han Dynasty person CBDB = 23153
Q10333491	6000000074699290275	Li Kan	Song dynasty person (CBDB = 19560)
Q10333884	6000000074749178870	Li Cunli	person (CBDB = 184930)
Q10333929	6000000074749221821	Li Cunmei	person (CBDB = 184928)
Q10333957		Li Xiaoxie	Tang dynasty person CBDB = 187299
Q10334181	6000000074750256416	Li Xuan	Tang dynasty person CBDB = 189154
Q10334412	6000000074750508039	Li Qi	Tang dynasty person CBDB = 189278
Q10334500	6000000074750590989	Li Yi	Tang dynasty person CBDB = 189279
Q10334525	6000000074750480176	Li Xian	Tang dynasty person CBDB = 189277
Q10334553	6000000074749995425	Li Jun	Tang dynasty person CBDB = 189276
Q10334646	6000000074750678916	Li Cuo	Tang dynasty person CBDB = 189280
Q10334669	6000000074712317938	Li Yi	Tang dynasty person CBDB=175222
Q10334695	6000000074699111347	Li Shizhong	Song dynasty person CBDB = 1078
Q10334812	6000000074736917090	Li Zhi	Song dynasty person (CBDB = 14299)
Q10334836	6000000074735001940	Li Yanbo	person (CBDB = 186885)
Q10334889	6000000075425814893	Li Tinggui	Song dynasty person (CBDB = 41267)
Q10335022	6000000074699107210	Li Congshan	Song dynasty person (CBDB = 19635)
Q10335031	6000000074734564078	Li Deliang	Tang dynasty person CBDB=187385
Q10335039	6000000075425764860	Li Dechu	Song dynasty person (CBDB = 41245)
Q10335214	6000000074750751869	Li Xun	Tang dynasty person CBDB = 189246
Q10335322	6000000074750265294	Li Yue	Tang dynasty person CBDB = 189244
Q10335390	6000000074750755859	Li Yin	Tang dynasty person CBDB = 189250
Q10335476	6000000074750602014	Li Dan	Tang dynasty person CBDB = 189255
Q10335499	6000000074750499973	Li Yi	Tang dynasty person CBDB = 189248
Q10335524	6000000075424999947	Li Cheng	Jin dynasty person CBDB = 40805
Q10335712	6000000074792369036	Li Chengji	Ming dynasty person CBDB = 29571
Q10335983	6000000074750169911	Li Fangzi	Song dynasty person CBDB = 19162
Q10336135	6000000074734494144	Li Hui	Tang dynasty person CBDB = 153615
Q10336159		Li Jingjian	Tang dynasty person CBDB = 93060
Q10336473	6000000074751054982	Li Zhengmin	Song dynasty person CBDB = 19567
Q10336685	6000000074750570955	Li Ze	Tang dynasty person CBDB = 189286
Q10336705	6000000074750147263	Li Jing	Tang dynasty person CBDB = 189283
Q10336794	6000000074750668878	Li Qia	Tang dynasty person CBDB = 189287
Q10337238	6000000074734820047	Li Jian	Tang dynasty person CBDB = 187107
Q10337438	6000000074735626121	Li Zhixiao	Song dynasty person (CBDB = 13457)
Q10337824	6000000075424585196	Li Zun	Song dynasty person CBDB = 40872
Q10337964	6000000074750794916	Li Shan	Tang dynasty person CBDB = 189217
Q10338022	6000000074734419267	Li Hui	person (CBDB = 187266)
Q10338085	6000000074750888840	Li Ji	Tang dynasty person CBDB = 189214
Q10338127	6000000047471201887	Li Wei	Song dynasty person CBDB = 7042
Q10338313	6000000075425847889	Li Shunju	Song dynasty person CBDB = 41316
Q10338351	6000000074699014438	Li Ruoxu	Song dynasty person CBDB = 1045
Q10338468	6000000075061063879	Li Ai	Tang dynasty person CBDB = 188065
Q10338496		Li Xuzhong	Tang dynasty person CBDB = 141465
Q10338578	6000000074750266236	Li Jie	Tang dynasty person CBDB = 189196
Q10338604	6000000074750265186	Li Liang	Tang dynasty person CBDB = 189194
Q10338646	6000000074749923465	Li E	Tang dynasty person CBDB = 189197
Q10338690	6000000074750372035	Li Qian	Tang dynasty person CBDB = 189195
Q10338937	6000000074749721790	Li Nai	Tang dynasty person CBDB = 189175
Q10338963	6000000074750755997	Li Tong	Tang dynasty person CBDB=189187
Q10339093	6000000074735476857	Li Daoming	Tang dynasty person CBDB = 187269
Q10339141	6000000074750852910	Li Su	Tang dynasty person CBDB = 189190
Q10339165		Komutan Li Çefu	Tang dynasty person CBDB = 161969
Q10339208	6000000074750990821	Li Yu	Tang dynasty person CBDB = 189185
Q10339233	6000000074699751886	Li Bangyan	Song dynasty person (CBDB = 8081)
Q10339781	6000000075413658038	Li Fu	Yuan dynasty person CBDB = 35432
Q10339856	6000000075346326846	Li Guinian	Tang dynasty person CBDB = 32197
Q10340192	6000000074716938141	Du Sheng	Southern Tang person CBDB = 3922
Q10340350	6000000074704846850	Du Shu	Song dynasty person (CBDB = 3920)
Q10340529		Du Chuke	Tang dynasty person CBDB = 173236
Q10340552		Du Gou	Tang dynasty person CBDB = 173234
Q10340792		Du He	Tang dynasty person CBDB = 173235
Q10340914	6000000075401800891	Du Pengju	Tang dynasty person CBDB = 32682
Q1034103	6000000038242189907	Imperial Uncle Cao	Song dynasty person (CBDB = 16846)
Q10341447	6000000039105350852	Yang Daya	Song dynasty person (CBDB = 2029)
Q10341540	6000000074771301902	Yang Hongzhong	Song dynasty person CBDB = 24752
Q10341728		Yang Qing	Tang dynasty person CBDB=134930
Q10341764	6000000074706037951	Yang Hongli	Tang dynasty person CBDB = 22492
Q10342159	6000000074705682021	Yang Ji	Song dynasty person CBDB = 1998
Q10342428	6000000074705691179	Yang Hong	Song dynasty person CBDB = 2008
Q10342622	6000000075050629107	Yang Zantu	person, CBDB = 172695
Q10342645	6000000075051044821	Yang Zanyu	person, CBDB = 172693
Q10343063	6000000075506668860	Hang Wenru	Qing dynasty person CBDB = 56239
Q10346439	6000000074699048453	Lin Chongzhi	Song dynasty person CBDB = 1152
Q10346479	6000000075427056913	Lin Qianzhi	Yuan dynasty person CBDB = 42441
Q10346666	6000000074771354963	Lin Danai	Song dynasty person CBDB = 24853
Q10347349	6000000074782456514	Lin Jingxi	Yuan dynasty person CBDB = 25229
Q10347547	6000000074699871900	Lin Gai	Song dynasty person CBDB = 11464
Q10348303	6000000074728565879	Lin Yun	Tang dynasty person CBDB = 11200
Q10348617	6000000074727965444	Lin Ting	Song dynasty person CBDB = 11445
Q10349228		Bai Qi	Tang dynasty person CBDB = 189579
Q10349252		Bai Liangqi	Tang dynasty person CBDB = 145711
Q10349754		Zha Kui	Qing dynasty person CBDB = 120678
Q10350168		Liu Zhongli	person, CBDB = 146567
Q10350183	6000000075405930843	Liu Zhongying	Tang dynasty person CBDB = 33590
Q10350263	6000000052102539054	Liu Gongchuo	Tang dynasty person CBDB = 33588
Q10350503	6000000021121976747	Liu Ji	person (CBDB = 149196)
Q10350730		Liu Jing	Tang dynasty person CBDB = 178206
Q10350785		Liu Fang	Tang dynasty person CBDB = 32461
Q10353016	6000000075405012028	Gui Wanrong	Song dynasty person (CBDB = 33287)
Q10356212	6000000074788693309	Liang Yin	Ming dynasty person CBDB = 28381
Q10356963		Liang Shi	Song dynasty person (CBDB = 1137)
Q10359721	6000000074737764855	Yang Xin	Song dynasty person (CBDB = 49375)
Q10359797	6000000075343839164	Yang Yuanqing	Tang dynasty person CBDB = 145303
Q10360383	6000000074733202025	Yang Yi	Northern Wei person CBDB = 31214
Q10360464	6000000074706064896	Yang Riyan	Song dynasty person CBDB = 2012
Q10360558	6000000074728157065	Yang Dong	Song dynasty person CBDB = 11063
Q10360753	6000000075050686950	Yang Rushi	Tang dynasty person CBDB = 22559
Q10360814		Yang Chaoguan	Qing dynasty person CBDB = 76985
Q10363244	6000000074691652913	Fan Zhigu	Song dynasty person (CBDB = 554)
Q10363272	6000000074701622866	Lou Guang	Song dynasty person (CBDB = 19923)
Q10363294	6000000074701159281	Lou Chang	Song dynasty person (CBDB = 3613)
Q10363322	6000000074701356110	Lou Yi	Song dynasty person (CBDB = 3618)
Q10365264	6000000074736025998	Quan Qu	Tang dynasty person CBDB = 13625
Q1036575		Chinkim	Son of Kublai Khan and his successor (1243-1286); CBDB ID = 115091
Q10366772	6000000037591607386	Ouyang Guan	Song dynasty person (CBDB = 4183)
Q10367424		Wu Ruheng	Tang dynasty person CBDB = 24655
Q10367469	6000000074771241888	Wu Yuanshuang	Tang dynasty person CBDB = 24644
Q1036784	6000000002188099722	Yelü Bei	King of Dongdan from 926 to 937; CBDB ID = 29262
Q10368456		Wu Yihuang	Tang dynasty person CBDB = 181492
Q10371453	6000000074714989033	Mao Pang	Song dynasty person (CBDB = 3672)
Q10378427	6000000075422628947	Shaoyu Jiang	Song dynasty person (CBDB = 39330)
Q10378748	6000000074749067997	Jiang Wenwei	Southern Tang person CBDB = 18420
Q10379457	6000000075424189868	Wang Yifeng	Song dynasty person CBDB = 40155
Q10379466	6000000074704091471	Wang Siwen	Song dynasty person (CBDB = 1758)
Q10379479	6000000075423723133	Wang Chucai	Song dynasty person CBDB = 40099
Q10379511	6000000075503047827	Fenyang Shanzhao	Song dynasty person (CBDB = 53605)
Q10379533	6000000074727711062	Shen Zuozhe	Song dynasty person CBDB = 10625
Q10379544		Shen Junli	Chen dynasty person CBDB = 134638
Q10379589	6000000074771306943	Shen Jizu	Song dynasty person CBDB = 24802
Q10379593	6000000075049908144	Shen Qi	Song dynasty person (CBDB = 1443)
Q10381917	6000000074727367964	Hong Qin	Song dynasty person CBDB = 10164
Q10382117	6000000074727880928	Hong Chu	Song dynasty person CBDB = 10617
Q10396531		Wen Yanjiang	person, CBDB = 176071
Q10396554		Wen Daya	person (CBDB = 176040)
Q10396666		Wen Zhang	Tang dynasty person CBDB = 176046
Q10396675		Wen Zao	Tang dynasty person CBDB = 158559
Q10396714	6000000075499936871	Teng Lin	Song dynasty person (CBDB = 51669)
Q10396886	6000000074730415860	Pan Daguan	Song dynasty person (CBDB = 11542)
Q10412105		Wang Renyou	person, CBDB ID = 378895
Q10412293	6000000075423110935	Wang Shen	Song dynasty person (CBDB = 39569)
Q10412907	6000000074751603901	Wang Zhou	Song dynasty person (CBDB = 19905)
Q10414172	6000000074705540855	Wang Deyong	Song dynasty person (CBDB = 1893)
Q10414324	6000000074751196346	Wang Weizhong	Song dynasty person CBDB = 19888
Q10414568	6000000075419950888	Wang Cao	Song dynasty person CBDB = 37806
Q10414594	6000000075418902373	Wang Zhengzhong	Song dynasty person CBDB = 37698
Q10414698	6000000075403421823	Wang Jingzhi	Tang dynasty person CBDB = 33015
Q10414855	6000000075419495993	Wang Zhaosu	Song dynasty person CBDB = 37685
Q10415243	6000000074705487931	Wang Ciweng	Song dynasty person (CBDB = 1908)
Q10415352	6000000075420955032	Wang Ruyi	Yuan dynasty person CBDB = 38624
Q10415399	6000000075407408958	Wang Yisun	Yuan dynasty person CBDB = 35051
Q10415436	6000000074705519893	Wang Yan	Song dynasty person (CBDB = 1922)
Q10415546	6000000074705153070	Wang Huai	Song dynasty person (CBDB = 10697)
Q10415648	6000000075412302875	Wang Yanwu	Yuan dynasty person CBDB = 35269
Q10415993	6000000074725840475	Zhifang Wang	Song dynasty person (CBDB = 13798)
Q10416241	6000000075420092840	Wang Ji	Song dynasty person CBDB = 37831
Q10416678	6000000074792423972	Wang Ruoxu	Jin dynasty person CBDB=29507
Q10416779	6000000074705540888	Wang Shen	Song dynasty person CBDB = 1899
Q10416850		Wang Bao	person (CBDB = 157867)
Q10416918		Wang Gui	person, CBDB = 162329
Q10416943	6000000074705384967	Wang Di	Song dynasty person CBDB = 1894
Q10417099		Wang Xiangzhi	Song dynasty person CBDB = 10689
Q10417129	6000000074705088051	Wang Yiyong	Song dynasty person (CBDB = 1829)
Q10417198	6000000046992252027	Wang Zhi	Song dynasty person (CBDB = 7079)
Q10417288	6000000074727807075	Wang Pizhi	Song dynasty person CBDB = 10760
Q10417313	6000000074728459057	Wang Mai	Song dynasty person CBDB = 11391
Q10417744	6000000074784466035	Wang Yuan	Song dynasty person (CBDB = 35278)
Q10417893	6000000074705203882	Wang Shao	Song dynasty person (CBDB = 1865)
Q10425928	6000000075422015941	Tian Chongjin	Song dynasty person (CBDB = 38956)
Q10430257	6000000075422530838	Bai Zhongzan	person, CBDB = 39149
Q10435527		Lu Hongzheng	Wu person CBDB = 92311
Q10435702	6000000074701104269	Lu Zhiyuan	Song dynasty person (CBDB = 1267)
Q10439517	6000000074724833455	Shi Yuansun	Song dynasty person (CBDB = 38649)
Q10451117		Qin Ying	Qing dynasty person CBDB = 57746
Q10451687	6000000074744918979	Cheng Bushi	Western Han Dynasty person CBDB = 15375
Q10451804	6000000074747474965	Cheng Dexuan	Song dynasty person CBDB = 17245
Q10452000	6000000075062034852	Cheng Yu	Song dynasty person (CBDB = 128)
Q10452048	6000000074685242052	Cheng Qi	Song dynasty person CBDB = 15780
Q10452130	6000000074745522964	Cheng Ruoyong	Song dynasty person CBDB = 15373
Q10452159	6000000074792705843	Cheng Jiong	Song dynasty person CBDB = 29597
Q10454222	6000000075368107880	Dou Yue	Northern Zhou person CBDB = 31775
Q10454247		Dou Huaizhe	Tang dynasty person CBDB = 171803
Q10454303	6000000075368353862	Dou Dan	Tang dynasty person CBDB = 31780
Q10454327	6000000075369593821	Dou Kui	Tang dynasty person CBDB = 31816
Q10454410		Dou Yun	Tang dynasty person CBDB = 172236
Q10454482	6000000074716923880	Dou Yujun	person (CBDB = 3850)
Q10454506		Dou Qun	Tang dynasty person CBDB = 94888
Q10455076	6000000074792391970	Zhang Ruyu	Song dynasty person CBDB = 29550
Q10455369	6000000074686727070	Zhang Pin	Song dynasty person CBDB=342
Q10456598	6000000074747558921	Fu Weizhong	Song dynasty person (CBDB = 17233)
Q10479413		Yang Dan	Cao Wei person CBDB = 135471
Q10484606	6000000074791990957	Yelü Zhimo	Liao dynasty person CBDB = 43203
Q10484733	6000000017547984176	Yelü Pidie	Tang dynasty person CBDB = 44031
Q10484790	6000000074791731076	Yelü Shao	Liao dynasty person CBDB = 43455
Q10484847	6000000074792156856	Yelü Longxian	Liao dynasty person CBDB = 43458
Q10484874	6000000002188099829	Yelü Keling	Tang dynasty person CBDB = 44030
Q10488819	6000000075326741871	Hu Mengyu	Song dynasty person (CBDB = 30219)
Q10489374	6000000074698195059	Hu Dan	Song dynasty person CBDB = 828
Q10489897	6000000074771520848	Hu Hong	Song dynasty person CBDB = 24795
Q10491346		Kua Tou	Yuan dynasty person CBDB=115772
Q10497131	6000000074703625964	Shu Dan	Song dynasty person CBDB = 1483
Q10503599	6000000074745494830	Fan Tianshun	Song dynasty person CBDB = 15215
Q10503843	6000000074788784303	Fan Peng	Yuan dynasty person CBDB = 28390
Q10503917	6000000038046081130	Fan Wen	Song dynasty person CBDB = 16766
Q10511382	6000000021260997305	Xiao Lezi	Liu Song dynasty person CBDB=34003
Q10511544	6000000021151516915	Xiao Siye	Tang dynasty person CBDB = 171691
Q10511648	6000000021260901361	Xiao Zheng	Eastern Jin dynasty person CBDB = 12250
Q10511702		Xiao Zao	person (CBDB = 194292)
Q10511856	6000000021261083078	Xiao Jun	China person CBDB = 12251
Q10513339	6000000074706270872	Ye Qingchen	Song dynasty person (CBDB = 2045)
Q10513347	6000000075490053922	Ye Xiufa	Song dynasty person CBDB = 49830
Q10513386	6000000074726979208	Ge Huaimin	Song dynasty person CBDB = 10094
Q10513832	6000000019641138761	Jiang Guangxu	Qing dynasty person CBDB = 65839
Q10513848	6000000074711201065	Jiang Junming	Song dynasty person (CBDB = 16141)
Q10513896		Xiao Shangzhi	person, CBDB = 193967
Q10513912	6000000021260901339	Xiao Xia	China person CBDB = 12252
Q10513951	6000000074711853983	Xue Xiang	Song dynasty person CBDB = 800
Q10513957		Xue Shu	Song dynasty person (CBDB = 18731)
Q10513960	6000000074691248524	Xue Jixuan	Song dynasty person (CBDB = 10578)
Q10513976	6000000074787533048	Xue Zhi	Yuan dynasty person CBDB = 112375
Q10513979		Xue Chuyu	Tang dynasty person CBDB = 169079
Q10513981	6000000074787847866	Xue Han	Yuan dynasty person CBDB = 27949
Q10514148	6000000074730399861	Su Kui	Sui dynasty person CBDB = 11600
Q10514163	6000000074716205881	Su Shidan	Song dynasty person CBDB = 3768
Q10514216	6000000074730174939	Su Chao	Tang dynasty person CBDB = 196268
Q10514231	6000000037592032099	Su Guo	Song dynasty person (CBDB = 19168)
Q10514395	6000000074768794922	Yu Li	Chen dynasty person CBDB = 22790
Q10515090	6000000074718595122	Yuan Fu	Song dynasty person (CBDB = 10296)
Q10515140	6000000074718729073	Yuan Zhang	Song dynasty person CBDB = 10257
Q10515168	6000000075430140911	Yuan Jizhong	Song dynasty person CBDB = 44269
Q10515294	6000000074719123821	Yuan Gu	Song dynasty person CBDB = 10229
Q10516050		Pei Shiqing	person, CBDB = 171019
Q10516101	6000000075378007821	Pei Qiu	Tang dynasty person CBDB = 32000
Q10516183		Pei Yanlu	Tang dynasty person CBDB = 171193
Q10516920	6000000074789150860	Chu Boxiu	Yuan dynasty person CBDB = 28343
Q10516947	6000000047586637983	Chu Jie	Chen dynasty person CBDB = 30935
Q10525283	6000000074690026303	Ji Yougong	Song dynasty person CBDB = 432
Q10525881	6000000075481803826	Xu Xi	Song dynasty person (CBDB = 45339)
Q10526159	6000000074692168102	Xu Shen	Song dynasty person CBDB = 787
Q10526198	6000000074725999273	Xu Han	Song dynasty person (CBDB = 8062)
Q10526342	6000000074731774882	Xu Yi	Song dynasty person (CBDB = 11976)
Q10527549	6000000074692224975	Xie Ji	Song dynasty person CBDB = 726
Q10528065	6000000051909807260	Xie Bi	Song dynasty person CBDB = 732
Q10528095	6000000038132116328	Xie Tao	Song dynasty person CBDB = 7105
Q10529209	6000000074786402552	Xu Yi	Song dynasty person CBDB = 27465
Q10529363	6000000075481078360	Xu Dunren	Song dynasty person CBDB = 45384
Q10531548	6000000074748886065	Xie Tang	Song dynasty person (CBDB = 18219)
Q10532586	6000000074728553987	Feng Cunfang	Song dynasty person CBDB = 11374
Q10532705	6000000074728793822	Feng Ji	Song dynasty person (CBDB = 11372)
Q10534760	6000000075346132851	Helan Yueshi	Tang dynasty person CBDB = 31547
Q10535295	6000000074690644899	Jia Yi	Song dynasty person CBDB=440
Q10535353	6000000074711233929	Jia Leng	Tang dynasty person CBDB = 184247
Q10535372	6000000074690678928	Jia Wei	person, CBDB = 11746
Q10538044		Ye Gan	former Qin person CBDB = 136033
Q10538981		Sai Jingchu	Yuan dynasty person CBDB = 112505
Q10539983		Zhao Yuankai	person, CBDB ID = 376499
Q10540020	6000000075492154008	Zhao Kuangzan	Song dynasty person (CBDB = 50520)
Q10540138	6000000075429491825	Zhao Zili	Song dynasty person (CBDB = 43643)
Q10540292	6000000012653142108	Zhao Delin	Song dynasty person (CBDB = 51047)
Q10540334	6000000075404647153	Zhao Deyan	Tang dynasty person CBDB = 33131
Q10540403	6000000019314627512	Zhao Weigu	Song dynasty person (CBDB = 10391)
Q10540462	6000000048810561880	Zhao Changyan	Song dynasty person CBDB = 348
Q10540766		Zhao Meng	Tang dynasty person CBDB = 179641
Q10542125	6000000074789666969	Zhao Shiyan	Yuan dynasty person CBDB = 28578
Q10542196	6000000075490687008	Zhao Xie	Yuan dynasty person CBDB = 50110
Q10542390	6000000074687808029	Zhao Ke	Song dynasty person (CBDB = 50071)
Q10542488	6000000074727792002	Zhao Fang	Yuan dynasty person CBDB = 10818
Q10542554	6000000074782998154	Zhao Cuizhong	Song dynasty person CBDB = 25203
Q10542589	6000000074690635825	Zhao Fan	Song dynasty person (CBDB = 25932)
Q10542620	6000000075491156957	Zhao Kui	Song dynasty person CBDB = 50115
Q10543449	6000000074714661111	Lu Zhen	Song dynasty person (CBDB = 3629)
Q10544513	6000000074726979523	Fu Guang	Song dynasty person (CBDB = 10555)
Q10545795	6000000074691997036	Xin Zhongfu	Song dynasty person (CBDB = 737)
Q10546031	6000000075424539917	Xin Bing	Song dynasty person CBDB = 40447
Q10554236	6000000074771742823	Deng Mingshi	Song dynasty person CBDB = 24920
Q10554325	6000000074771313004	Deng Xiaofu	Song dynasty person CBDB = 24919
Q10554923	6000000074725902900	Xing Shu	Song dynasty person CBDB = 7106
Q10556091	6000000075414843861	Qiu Kui	Yuan dynasty person CBDB = 35557
Q10556205	6000000074709493962	Shao Bo	Song dynasty person (CBDB = 20866)
Q10557154	6000000074698758058	Lang Jian	Song dynasty person CBDB = 964
Q10557221		Zheng Renji	person, CBDB = 149815
Q10557333	6000000074788668830	Zheng Hejing	Tang dynasty person CBDB = 93827
Q10557609	6000000074727088655	Sixiao Zheng	Yuan dynasty person CBDB = 10912 (1241–1318)
Q10557693	6000000074690670883	Wenbao Zheng	Song dynasty person (CBDB = 428)
Q10557918		Zheng Ai	Tang dynasty person CBDB = 183479
Q10558773	6000000074727771171	Guo Yin	Song dynasty person CBDB = 10762
Q10558956	6000000074719167862	Guo Shuowen	Song dynasty person (CBDB = 10538)
Q10559784	6000000075482425382	Guo Jin	Song dynasty person (CBDB = 46533)
Q10562559	6000000074745020186	Zheng Ke	Song dynasty person CBDB = 15349
Q10563349		Zheng Hao	Tang dynasty person CBDB = 93894
Q10563374		Zheng Mo	Western Jin dynasty person CBDB = 134642
Q10563821	6000000075424228033	Shi Huaishen	Song dynasty person CBDB = 40433
Q10563824	6000000075503124822	Shi Sizhi	Song dynasty person CBDB = 53650
Q10564129	6000000022293564329	Qian Chen	Song dynasty person (CBDB = 7140)
Q10564135	6000000022318563290	Qian Ceng	Qing dynasty person CBDB = 33188
