qid,source_label,ko_before_fix,ko_after_fix
Q141403555,Elen Ingebretsen,에렌 이에브레트센,에렌 잉엡레트센
Q141403567,Engel Fredrika Rothlieb,에엘 프레드리카 로트리엡,엥엘 프레드리카 로트리엡
Q141403583,Hedvig Eleonora Klingenstierna,헤드빅 에레오노라 크리엔스티에르나,헤드빅 에레오노라 크링엔스티에르나
Q141403590,Kari Klausdatter Stangeland,카리 크라우스다테르 스타에란드,카리 크라우스다테르 스탕에란드
Q141403594,Lars Ingebretsen,라르스 이에브레트센,라르스 잉엡레트센
Q141403611,Marta Reiersdatter Stangeland,마르타 레이에르스다테르 스타에란드,마르타 레이에르스다테르 스탕에란드
Q141419481,Berta Pedersdatter Stangeland,베르타 페데르스다테르 스타에란드,베르타 페데르스다테르 스탕에란드
Q141419565,Elias Kahrs Ingebrigtsen Hoknes Himo,에리아스 카흐르스 이에브릭트센 호크네스 히모,에리아스 카흐르스 잉엡릭트센 호크네스 히모
Q141419584,Eva Hedda Ingeborg von Platen,에바 헤다 이에보륵 본 프라텐,에바 헤다 잉에보륵 본 프라텐
Q141419662,Inger Persdatter Joa,이에르 페르스다테르 조아,잉에르 페르스다테르 조아
Q141422095,Engel Maria Linnerhielm,에엘 마리아 린네르히엘므,엥엘 마리아 린네르히엘므
Q141430049,Martin Monsen Stangaland,마르틴 몬센 스타아란드,마르틴 몬센 스탕아란드
Q141430121,Salomon Adolf Gustaf Cronhielm af Hakunge,사로몬 아돌프 구스타프 크론히엘므 아프 하쿠에,사로몬 아돌프 구스타프 크론히엘므 아프 하쿵에
Q141436639,Engelbrekt Olofsson,에엘브레크트 오로프손,엥엘브레크트 오로프손
Q141436655,Ingebret Svenson Mossige,이에브레트 스벤손 모시게,잉엡레트 스벤손 모시게
Q141440511,Anna Persdotter Gangia,안나 페르스도테르 가이아,안나 페르스도테르 강이아
Q141440537,Elisabeth Kingo,에리사베트 키오,에리사베트 킹오
Q141440570,Ingeborg Kristensdatter Låge-Håland,이에보륵 크리스텐스다테르 로게호란드,잉에보륵 크리스텐스다테르 로게호란드
Q141440601,Kristina Andersdotter Thelingius,크리스티나 안데르스도테르 테리유스,크리스티나 안데르스도테르 테링유스
Q141442289,Claes Carl Conrad Rangel von Post,크래스 칼 콘라드 라엘 본 포스트,크래스 칼 콘라드 랑엘 본 포스트
Q141442302,Henry Stangeland,헨리 스타에란드,헨리 스탕에란드
Q141442306,Ingeborg Eivindsdotter,이에보륵 에이빈드스도테르,잉에보륵 에이빈드스도테르
Q141442308,Inger Larsdatter Grude,이에르 라르스다테르 그루데,잉에르 라르스다테르 그루데
Q141442325,Lovise Augusta Constance Engebretsen,로비세 아우구스타 콘스탄케 에에브레트센,로비세 아우구스타 콘스탄케 엥엡레트센
Q141442960,Hans Stangeland,한스 스타에란드,한스 스탕에란드
Q141442966,Ingeborg Osmundsdatter,이에보륵 오스문드스다테르,잉에보륵 오스문드스다테르
Q141443355,Ingeborg NN,이에보륵 느,잉에보륵 느
Q141443356,Ingebret Hansen Gausland,이에브레트 한센 가우스란드,잉엡레트 한센 가우스란드
Q141443406,Marta Ingebretsdatter Voster,마르타 이에브레트스다테르 보스테르,마르타 잉엡레트스다테르 보스테르
Q141444555,Angela Bassi,아에라 바시,앙에라 바시
Q141444562,Anna Persdotter Helsingia,안나 페르스도테르 헬시이아,안나 페르스도테르 헬싱이아
Q141444575,Else Steffensdatter Kinge,엘세 스테펜스다테르 키에,엘세 스테펜스다테르 킹에
Q141444581,Fredrik Cronhielm af Hakunge,프레드리크 크론히엘므 아프 하쿠에,프레드리크 크론히엘므 아프 하쿵에
Q141444652,Ingeborg Jönsdotter,이에보륵 죈스도테르,잉에보륵 죈스도테르
Q141444659,Inger Cathrine Jacobsdatter Holst,이에르 카트리네 자콥스다테르 홀스트,잉에르 카트리네 자콥스다테르 홀스트
Q141444708,NN ektefelle Ola Eilivson Tengesdal,느 에크테펠레 오라 에이립손 테에스달,느 에크테펠레 오라 에이립손 텡에스달
Q141444720,Ola Eilivson Tengesdal,오라 에이립손 테에스달,오라 에이립손 텡에스달
Q141444747,Samuel Klingenstierna,사뭴 크리엔스티에르나,사뭴 크링엔스티에르나
Q141444764,Siri Ingebretsdatter Voster,시리 이에브레트스다테르 보스테르,시리 잉엡레트스다테르 보스테르
Q141444782,Steffen Kinge,스테펜 키에,스테펜 킹에
Q141447146,Ingeborg Håland,이에보륵 호란드,잉에보륵 호란드
Q141447150,Ingeborg Malene Simers,이에보륵 마레네 시메르스,잉에보륵 마레네 시메르스
Q141447154,Ingeborg Pedersdatter Vestly,이에보륵 페데르스다테르 베스트리,잉에보륵 페데르스다테르 베스트리
Q141447174,Klaus Enoksen Stangeland,크라우스 에노크센 스타에란드,크라우스 에노크센 스탕에란드
Q141447201,Niels Samuelsen Stangeland,니엘스 사뭴센 스타에란드,니엘스 사뭴센 스탕에란드
Q141448477,Ingeborg Maria Trulsdatter Nedrebø,이에보륵 마리아 트룰스다테르 네드레뵈,잉에보륵 마리아 트룰스다테르 네드레뵈
Q141448479,Ingebret Syversen,이에브레트 시베르센,잉엡레트 시베르센
Q141448490,Lovise Lenjé Lotheé Engebretsen,로비세 레네 로테에 에에브레트센,로비세 레네 로테에 엥엡레트센
Q141450175,Catharina Charlotta Bunge,카타리나 차로타 부에,카타리나 차로타 붕에
Q141450186,Ebba Christina Wrangel af Sage och Waschel,에바 크리스티나 우라엘 아프 사게 오츠 와셀,에바 크리스티나 우랑엘 아프 사게 오츠 와셀
Q141450217,Hans Kingo Lund,한스 키오 룬드,한스 킹오 룬드
Q141450240,Johanna Barbara Johansdotter Hisinger,조한나 바르바라 조한스도테르 히시에르,조한나 바르바라 조한스도테르 히싱에르
Q141451017,Gustaf Ulrik Wrangel af Sage och Waschel,구스타프 울리크 우라엘 아프 사게 오츠 와셀,구스타프 울리크 우랑엘 아프 사게 오츠 와셀
Q141451028,Ingeborg Berte Svensdotter,이에보륵 베르테 스벤스도테르,잉에보륵 베르테 스벤스도테르
Q141454286,Alfred Ettinger,알프레드 에티에르,알프레드 에팅에르
Q141454298,Barbara Ingebretsdatter Grødem,바르바라 이에브레트스다테르 그뢰뎀,바르바라 잉엡레트스다테르 그뢰뎀
Q141454396,Hans father of Anne Margrethe Kingo,한스 파테르 오프 안네 마륵레테 키오,한스 파테르 오프 안네 마륵레테 킹오
Q141454426,Ingeborg Margareta Wikblad,이에보륵 마르가레타 위큽라드,잉에보륵 마르가레타 위큽라드
Q141454679,Rhea Ettinger,르헤아 에티에르,르헤아 에팅에르
Q141456359,Ingeborg Alvsdatter Alvseike,이에보륵 알브스다테르 알브세이케,잉에보륵 알브스다테르 알브세이케
Q141456361,Inger Skorve,이에르 스코르베,잉에르 스코르베
Q141456410,Martin Monsen Stangaland,마르틴 몬센 스타아란드,마르틴 몬센 스탕아란드
Q141456586,Berit Enoksdatter Stangeland,베리트 에노크스다테르 스타에란드,베리트 에노크스다테르 스탕에란드
Q141456621,Elliv Tengesdal,엘립 테에스달,엘립 텡에스달
Q1531283,Moritz von Engelhardt,모리츠 본 에엘하르트,모리츠 본 엥엘하르트
Q16650142,Petrus Petri Gangius,페트루스 페트리 가유스,페트루스 페트리 강유스
Q2322001,Henri d'Angoulême,헨리 다우레메,헨리 당우레메
Q274606,Berengar I of Italy,베레아르 이 오프 이타리,베렝아르 이 오프 이타리
Q314521,Berengar II of Italy,베레아르 이이 오프 이타리,베렝아르 이이 오프 이타리
Q455071,Axel von Fersen the Younger,아그셀 본 페르센 테 요우에르,아그셀 본 페르센 테 요웅에르
Q64802,Engelbert II of Berg,에엘베르트 이이 오프 베륵,엥엘베르트 이이 오프 베륵
Q707581,Ingemund Bengtsson,이에문드 벵트손,잉에문드 벵트손
Q933505,"Enguerrand III, Lord of Coucy",에웨르란드 이이이 로르드 오프 쿠키,엥웨르란드 이이이 로르드 오프 쿠키
