qid,references,as_given_name,as_family_name,in_store
Q240931,881,yes,no,no
Q16423038,877,yes,no,no
Q168563,874,yes,no,no
Q948418,871,yes,no,no
Q1159009,871,yes,no,no
Q837839,870,yes,no,no
Q1083457,870,yes,no,no
Q18177136,864,yes,no,no
Q5407300,862,yes,no,no
Q768196,858,yes,no,no
Q1628041,857,no,yes,no
Q17539077,855,yes,no,no
Q859234,855,yes,no,no
Q568872,854,no,yes,no
Q2658150,851,no,yes,no
Q2102316,850,yes,no,no
Q17864440,850,no,yes,no
Q1428410,848,yes,no,no
Q535214,843,no,yes,no
Q15720844,842,yes,no,no
Q4677161,842,yes,no,no
Q594279,839,yes,no,no
Q2087646,838,yes,no,no
Q1119151,837,no,yes,no
Q495635,835,yes,no,no
Q16275858,826,no,yes,no
Q15930574,826,yes,no,no
Q1794217,823,no,yes,no
Q16276646,822,yes,no,no
Q1899812,822,yes,no,no
Q15621289,822,yes,no,no
Q4925914,821,yes,no,no
Q1544042,818,no,yes,no
Q1242905,817,yes,no,no
Q16275679,817,yes,no,no
Q461718,808,yes,no,no
Q17317997,807,yes,no,no
Q12386976,803,no,yes,no
Q971710,802,yes,no,no
Q221978,802,yes,no,no
Q19801658,801,yes,no,no
Q1218555,799,yes,no,no
Q449411,796,no,yes,no
Q16430022,795,yes,no,no
Q15725563,794,yes,no,no
Q17856012,788,yes,no,no
Q9757446,788,no,yes,no
Q13220142,788,no,yes,no
Q904455,787,yes,no,no
Q2769157,785,yes,no,no
Q2127728,785,yes,no,no
Q1158906,784,yes,no,no
Q19688844,781,yes,no,no
Q2778569,780,no,yes,no
Q1158139,780,yes,no,yes
Q913810,779,yes,no,no
Q2253934,778,yes,no,no
Q16466739,778,no,yes,no
Q1260663,776,no,yes,no
Q262119,774,yes,no,no
Q15303198,770,yes,no,no
Q2233776,770,no,yes,no
Q666954,768,yes,no,no
Q1444604,766,no,yes,no
Q18133228,764,yes,no,no
Q16865575,761,yes,yes,no
Q18145728,760,yes,no,no
Q12035675,758,no,yes,no
Q18009833,757,yes,no,no
Q2054021,757,yes,no,no
Q4140836,755,no,yes,no
Q833345,750,yes,no,no
Q18760860,749,yes,no,no
Q18402571,748,yes,no,no
Q10859343,746,no,yes,no
Q8045218,746,no,yes,no
Q17523984,744,yes,no,no
Q18978396,743,yes,no,no
Q2268455,733,yes,no,yes
Q17689481,732,yes,no,no
Q21500595,731,no,yes,no
Q16420820,729,yes,no,no
Q13156704,728,no,yes,no
Q1087262,727,yes,no,no
Q21450815,724,no,yes,no
Q1077181,721,yes,no,no
Q1413324,720,no,yes,no
Q7904948,720,yes,no,no
Q8843357,718,yes,no,no
Q1158489,716,yes,no,no
Q1287630,716,no,yes,no
Q2233706,716,no,yes,no
Q1158181,708,yes,no,no
Q2696422,707,no,yes,no
Q15635788,706,yes,no,no
Q179205,704,no,yes,no
Q1132594,703,no,yes,no
Q23041619,703,no,yes,no
Q120401,700,no,yes,no
Q21476566,698,no,yes,no
Q4205426,696,yes,no,no
Q934262,695,no,yes,no
Q19688756,694,yes,no,no
Q4851436,692,yes,no,no
Q647872,691,yes,no,no
Q21155606,685,yes,no,no
Q13422280,683,yes,no,no
Q713706,683,no,yes,no
Q1244936,682,yes,no,no
Q10908506,677,no,yes,no
Q2159662,676,yes,yes,no
Q16277712,672,yes,no,no
Q43082565,672,yes,no,no
Q475210,667,yes,no,no
Q426463,666,no,yes,no
Q15235674,666,yes,no,no
Q607350,665,yes,no,no
Q13728754,665,yes,no,no
Q697234,663,yes,no,no
Q16275208,662,yes,no,no
Q18915230,658,yes,no,no
Q7201446,655,yes,no,no
Q8274988,648,yes,no,no
Q26736517,648,yes,no,no
Q3284319,646,yes,no,no
Q16422573,644,yes,no,no
Q16877306,643,no,yes,no
Q4092653,642,yes,no,no
Q7491146,640,no,yes,no
Q19689438,639,yes,no,no
Q11113719,638,yes,no,no
Q13590682,638,no,yes,no
Q881391,634,yes,no,no
Q7830161,634,no,yes,no
Q12804512,631,no,yes,no
Q16277375,631,yes,no,no
Q908629,630,no,yes,no
Q1646493,629,no,yes,no
Q632264,624,yes,no,no
Q1260128,623,no,yes,no
Q1631308,623,no,yes,no
Q18109457,622,yes,no,no
Q389528,622,yes,no,no
Q16869712,621,no,yes,no
Q15875484,620,yes,no,no
Q2780710,619,no,yes,no
Q1936268,619,no,yes,no
Q1261347,618,yes,no,no
Q1479191,615,no,yes,no
Q1637225,614,yes,no,no
Q6584302,611,yes,no,no
Q846741,605,yes,no,no
Q1134877,605,no,yes,no
Q18558974,604,yes,no,no
Q1237447,603,yes,no,no
Q717767,602,no,yes,no
Q1158210,602,no,yes,no
Q1951683,600,yes,no,no
Q2331622,600,no,yes,no
Q12326416,600,yes,no,no
Q4926740,599,yes,no,no
Q4245067,599,yes,no,no
Q16869843,598,no,yes,no
Q662373,597,yes,no,no
Q2660560,595,yes,no,no
Q1565753,595,no,yes,no
Q19902478,594,no,yes,no
Q3595959,592,yes,no,no
Q15229897,591,no,yes,no
Q15897419,589,yes,no,no
Q2703137,588,no,yes,no
Q1158596,587,yes,no,no
Q2043243,587,no,yes,no
Q16870718,586,no,yes,no
Q808994,586,no,yes,no
Q15635262,584,yes,no,no
Q27452576,584,yes,no,no
Q12794893,583,no,yes,no
Q19816532,581,yes,no,no
Q6078151,581,yes,no,no
Q11247279,577,no,yes,no
Q21501722,577,no,yes,no
Q993469,577,no,yes,no
Q911493,576,no,yes,no
Q21242872,575,no,yes,no
Q717770,572,no,yes,no
Q2703557,572,no,yes,no
Q2616573,571,yes,yes,no
Q17165817,570,no,yes,no
Q988912,570,yes,no,no
Q2090092,569,yes,no,no
Q15277196,568,yes,no,no
Q850449,567,yes,no,no
Q1514341,567,yes,no,no
Q13627772,567,no,yes,no
Q1261064,566,no,yes,no
Q354633,565,yes,no,no
Q1724227,564,no,yes,no
Q1554377,563,yes,no,no
Q16422363,563,yes,no,no
Q2716369,563,no,yes,no
Q19776313,562,yes,yes,no
Q709747,559,no,yes,no
Q16869679,558,no,yes,no
Q16860538,555,no,yes,no
Q13582800,554,yes,no,no
Q661284,554,yes,no,no
Q12794688,553,yes,yes,no
Q1303942,552,yes,no,no
Q2691159,551,no,yes,no
Q16154105,551,yes,no,no
Q4926961,546,yes,no,no
Q19688659,545,yes,no,no
Q364753,545,yes,no,no
Q1068242,543,yes,no,no
Q46767,543,no,yes,no
Q1225705,543,yes,no,no
Q7626248,541,yes,no,no
Q16876601,540,no,yes,no
Q12787162,539,no,yes,no
Q453722,538,yes,no,no
Q13553907,537,no,yes,no
Q928249,536,no,yes,no
Q2793617,535,yes,no,no
Q2720749,525,no,yes,no
Q18190448,522,yes,no,no
Q18402099,521,yes,no,no
Q15789581,519,no,yes,no
Q3083948,519,no,yes,no
Q16101731,517,no,yes,no
Q1530266,516,yes,no,no
Q12795967,514,yes,yes,no
Q3541269,513,yes,no,no
Q391321,512,yes,no,no
Q37435207,512,no,yes,no
Q4642,511,yes,no,no
Q1119228,510,yes,no,no
Q1158586,509,no,yes,no
Q17459100,508,yes,no,no
Q21492810,508,no,yes,no
Q4273929,502,yes,no,no
Q1138248,502,no,yes,no
Q11231408,499,no,yes,no
Q12188082,499,yes,yes,no
Q11134579,496,no,yes,no
Q2589157,495,yes,no,no
Q1544694,494,no,yes,no
Q11287301,491,yes,no,no
Q18577853,491,yes,no,no
Q4926069,491,no,yes,no
Q18089653,488,yes,no,no
Q11167678,487,yes,no,no
Q9795791,487,no,yes,no
Q12902079,486,yes,no,no
Q7593634,486,no,yes,no
Q1874605,485,yes,no,yes
Q710706,479,no,yes,no
Q21502212,478,no,yes,no
Q15731759,478,yes,no,no
Q15727189,477,yes,no,no
Q659189,477,yes,no,no
Q1329662,477,yes,no,no
Q21065981,476,no,yes,no
Q17520844,475,yes,no,no
Q10686817,475,yes,no,no
Q10786776,475,no,yes,no
Q56244169,474,no,yes,no
Q14915266,473,no,yes,no
Q19607236,473,no,yes,no
Q642254,473,yes,no,no
Q591929,470,yes,no,no
Q1177810,469,no,yes,no
Q1777139,469,no,yes,no
Q2564123,468,no,yes,no
Q2363857,468,yes,no,no
Q36695874,466,yes,no,no
Q21057288,465,yes,no,no
Q2598693,464,yes,no,no
Q3807899,464,yes,no,no
Q12799360,464,no,yes,no
Q13232504,464,yes,no,no
Q26736516,463,no,yes,no
Q15075907,462,yes,no,no
Q19767733,462,no,yes,no
Q16646115,461,yes,no,no
Q3483397,461,yes,no,no
Q18012526,461,yes,no,no
Q17436400,457,yes,no,no
Q8157228,457,no,yes,no
Q2793828,456,no,yes,no
Q16909101,455,yes,no,no
Q634520,455,no,yes,no
Q656698,455,yes,no,no
Q12788174,455,yes,no,no
Q2665316,454,no,yes,no
Q830350,453,yes,no,no
Q1158882,453,no,yes,no
Q4851022,453,yes,no,no
Q21483041,453,no,yes,no
Q15921764,451,yes,no,no
Q29014670,451,yes,no,no
Q372250,451,yes,no,no
Q16883357,451,no,yes,no
Q18180401,449,yes,no,no
Q2190619,449,yes,no,no
Q18201520,449,yes,no,no
Q1094751,448,yes,no,no
Q2541846,446,no,yes,no
Q4442389,444,no,yes,no
Q1931708,444,no,yes,no
Q17856161,443,yes,no,no
Q7996169,442,yes,no,no
Q1929459,439,no,yes,no
Q13138161,438,yes,no,no
Q1158612,437,no,yes,no
Q16829670,437,no,yes,no
Q13554012,436,yes,no,no
Q579371,436,yes,yes,no
Q7029481,433,yes,no,no
Q842544,433,yes,no,no
Q18156186,433,yes,no,no
Q2803437,433,no,yes,no
Q18648740,433,yes,no,no
Q25413386,431,yes,no,no
Q120416,431,yes,no,no
Q4042166,431,no,yes,no
Q20731004,431,no,yes,no
Q18224611,431,yes,no,no
Q16277155,431,yes,no,no
Q254906,430,no,yes,no
Q4927128,430,yes,no,no
Q16479772,429,no,yes,no
Q15728196,428,yes,no,no
Q658676,428,no,yes,no
Q2264383,427,no,yes,no
Q1158382,426,no,yes,no
Q18115751,426,yes,no,no
Q14941830,425,yes,no,no
Q10994752,425,yes,no,no
Q16275883,424,yes,no,no
Q21509274,424,no,yes,no
Q813422,422,no,yes,no
Q1524558,422,yes,no,no
Q709443,421,no,yes,no
Q16746939,421,yes,no,no
Q2370957,420,yes,no,no
Q13391498,419,no,yes,no
Q16471355,417,no,yes,no
Q790941,417,no,yes,no
Q630846,417,yes,no,no
Q1187221,416,yes,no,no
Q19967625,416,yes,no,no
Q3094766,415,yes,no,no
Q1427982,413,no,yes,no
Q1679720,412,no,yes,no
Q4926514,412,yes,no,no
Q16281035,411,yes,no,no
Q1158558,411,yes,yes,no
Q16870472,411,no,yes,no
Q987115,410,yes,no,no
Q12019033,410,yes,no,no
Q16665183,409,no,yes,no
Q14816494,407,yes,no,no
Q29043257,407,yes,no,no
Q4928254,406,yes,no,no
Q1953798,406,no,yes,no
Q14947294,405,no,yes,no
Q3354498,405,yes,no,no
Q12803555,404,no,yes,no
Q202664,404,no,yes,no
Q1134955,402,yes,no,no
Q1620328,402,no,yes,no
Q1508902,402,yes,no,no
Q1043457,401,yes,no,no
Q1587003,401,no,yes,no
Q18219764,401,yes,no,no
Q16865723,401,no,yes,no
Q2624417,400,yes,no,no
Q1762298,400,no,yes,no
Q2603704,399,no,yes,no
Q20000410,399,yes,no,no
Q847179,398,yes,no,no
Q5261248,398,no,yes,no
Q2065931,397,no,yes,no
Q7165927,395,yes,no,no
Q1158860,395,no,yes,no
Q2780561,395,no,yes,no
Q1510048,394,yes,no,no
Q3887735,393,yes,no,no
Q2639295,393,yes,no,yes
Q1136594,393,yes,no,no
Q16276453,393,no,yes,no
Q17498051,392,yes,no,no
Q943881,392,yes,no,no
Q1544163,392,no,yes,no
Q9022830,392,yes,no,no
Q16870611,392,no,yes,no
Q19002866,391,yes,no,no
Q15813127,390,yes,no,no
Q6298851,389,yes,no,no
Q1221747,389,yes,no,no
Q15788891,388,no,yes,no
Q37011676,388,no,yes,no
Q3362622,387,yes,no,no
Q15732892,387,yes,no,no
Q2652654,385,no,yes,no
Q10826587,385,no,yes,no
Q16833399,385,no,yes,no
Q14626626,383,yes,no,no
Q1906662,383,yes,no,no
Q3570980,382,no,yes,no
Q13907203,382,yes,no,no
Q1096551,380,yes,no,no
Q5570878,380,yes,no,no
Q676823,379,yes,no,no
Q12798029,379,no,yes,no
Q16002466,379,yes,no,no
Q884579,378,no,yes,no
Q713759,378,yes,no,no
Q1624734,377,no,yes,no
Q18180972,376,yes,no,no
Q16093204,376,no,yes,no
Q4927045,376,yes,no,no
Q575207,375,yes,no,no
Q37080,374,yes,no,no
Q2233698,374,no,yes,no
Q2782528,374,no,yes,no
Q12020943,374,no,yes,no
Q18352956,373,yes,no,no
Q14477605,373,no,yes,no
Q2105042,372,no,yes,no
Q1003466,372,yes,no,no
Q16479912,372,no,yes,no
Q16243195,372,no,yes,no
Q358090,371,no,yes,no
Q4844560,370,yes,no,no
Q10540111,370,no,yes,no
Q450129,370,no,yes,no
Q2700390,370,no,yes,no
Q856307,370,no,yes,no
Q545486,368,yes,no,no
Q2061957,367,yes,yes,no
Q15728223,367,yes,no,no
Q2097883,366,yes,no,no
Q15897583,366,yes,no,no
Q17126171,366,no,yes,no
Q18171848,365,yes,no,no
Q16032077,365,yes,no,no
Q2339506,363,no,yes,no
Q2658970,362,no,yes,no
Q12233911,361,yes,no,no
Q16423214,359,yes,no,no
Q17456902,358,yes,no,no
Q18142236,356,yes,no,no
Q2588593,356,no,yes,no
Q646313,356,yes,no,no
Q17480899,355,yes,no,no
Q1362661,355,no,yes,no
Q12900572,355,yes,no,no
Q15897830,352,yes,no,no
Q2625084,352,yes,no,no
Q1078753,352,no,yes,no
Q11878157,351,yes,no,no
Q4801582,351,yes,no,no
Q18088640,351,yes,no,no
Q2695945,351,yes,no,no
Q28886884,351,no,yes,no
Q4057477,350,yes,no,no
Q16799105,350,yes,no,no
Q545971,348,yes,no,yes
Q608991,348,no,yes,no
Q2553367,348,no,yes,no
Q12018387,348,no,yes,no
Q18978420,348,yes,no,no
Q716212,347,no,yes,no
Q1711638,347,yes,no,yes
Q1531980,347,yes,yes,no
Q1791084,346,no,yes,no
Q2109026,346,no,yes,no
Q1068487,346,yes,no,no
Q19816591,345,yes,no,no
Q1242655,345,yes,no,no
Q11264166,345,yes,no,no
Q424325,345,no,yes,no
Q18177305,344,yes,no,no
Q2782021,344,no,yes,no
Q2800825,343,no,yes,no
Q19930319,343,no,yes,no
Q23041455,343,no,yes,no
Q2246251,342,yes,no,no
Q18011418,342,yes,yes,no
Q2674114,342,no,yes,no
Q6835978,341,yes,no,no
Q39897333,341,yes,no,no
Q26736456,341,no,yes,no
Q17536409,341,yes,no,no
Q2790265,339,no,yes,no
Q12805716,339,yes,no,no
Q13725587,339,no,yes,no
Q18421743,338,yes,yes,no
Q2260734,337,yes,no,no
Q428024,337,no,yes,no
Q13563379,336,no,yes,no
Q12790801,336,no,yes,no
Q1207872,336,no,yes,no
Q16881845,336,no,yes,no
Q12664711,335,no,yes,no
Q944767,333,yes,no,no
Q1259568,332,no,yes,no
Q29548283,332,no,yes,no
Q18130926,332,yes,no,no
Q14626636,331,no,yes,no
Q3126650,331,yes,no,no
Q14648920,330,no,yes,no
Q21492748,330,no,yes,no
Q942625,329,yes,yes,no
Q905085,329,yes,no,no
Q16880979,329,no,yes,no
Q21507877,329,no,yes,no
Q16860120,329,no,yes,no
Q5242796,327,no,yes,no
Q1811874,327,yes,no,no
Q2007923,327,yes,no,no
Q3480175,326,yes,no,no
Q656590,326,yes,no,no
Q16871926,326,no,yes,no
Q2659856,325,no,yes,no
Q2170752,324,yes,no,no
Q18201469,324,yes,no,yes
Q18915128,323,yes,no,no
Q1159003,323,no,yes,no
Q16277675,322,yes,no,no
Q4344508,322,no,yes,no
Q261113,321,yes,no,no
Q18071263,320,yes,no,no
Q2979460,320,yes,no,no
Q15304085,320,no,yes,no
Q12805306,320,no,yes,no
Q2754726,320,no,yes,no
Q16281695,320,yes,no,no
Q564025,320,yes,no,no
Q21065973,319,no,yes,no
Q2658216,319,no,yes,no
Q16766446,319,no,yes,no
Q931355,318,no,yes,no
Q3471405,318,no,yes,no
Q1043068,318,no,yes,no
Q16884069,318,no,yes,no
Q16880709,318,no,yes,no
Q26267122,318,no,yes,no
Q2335092,316,yes,no,no
Q17190292,315,yes,no,yes
Q1159033,315,yes,no,no
Q13552129,315,no,yes,no
Q16869210,315,no,yes,no
Q15728996,314,yes,no,no
Q16282621,314,yes,no,no
Q31362405,314,yes,no,no
Q1330670,314,yes,no,yes
Q17485232,313,yes,no,no
Q5195456,313,no,yes,no
Q2658113,312,no,yes,no
Q63978307,311,no,yes,no
Q639292,311,yes,no,no
Q18526132,311,yes,no,no
Q13418278,311,no,yes,no
Q16880650,311,no,yes,no
Q16282653,309,yes,no,no
Q18759077,309,yes,no,no
Q18116891,309,yes,no,no
Q13391233,309,no,yes,no
Q1588186,308,yes,no,no
Q1209486,308,yes,no,no
Q250267,307,yes,no,no
Q11134722,306,no,yes,no
Q773765,306,yes,no,no
Q8114053,306,no,yes,no
Q14013933,306,yes,no,no
Q21452033,305,no,yes,no
Q27355703,305,no,yes,no
Q27926133,305,no,yes,no
Q1495413,304,yes,no,no
Q605834,304,yes,no,yes
Q18091397,304,yes,no,no
Q19968512,304,yes,no,yes
Q11740724,303,yes,no,no
Q39314414,303,yes,no,no
Q5139428,303,no,yes,no
Q1797561,302,no,yes,no
Q3960161,302,yes,no,no
Q18142088,302,yes,no,no
Q1128028,302,no,yes,no
Q15207702,300,yes,no,no
Q19818110,300,yes,no,no
Q20020,300,yes,no,no
Q37470728,300,no,yes,no
Q1043077,299,no,yes,no
Q18199028,299,yes,no,no
Q4861659,299,no,yes,no
Q21508272,299,no,yes,no
Q18325151,298,yes,no,no
Q16870078,298,no,yes,no
Q16878076,298,yes,yes,no
Q16880666,298,no,yes,no
Q21507920,298,no,yes,no
Q3373079,297,yes,no,no
Q1719303,297,no,yes,no
Q9014839,295,no,yes,no
Q17501723,295,yes,no,no
Q1064920,294,yes,no,no
Q1405949,294,no,yes,no
Q5405444,294,no,yes,no
Q31892236,294,no,yes,no
Q922983,294,yes,no,no
Q13553605,293,no,yes,no
Q2671214,293,no,yes,no
Q16881201,293,no,yes,no
Q18192718,293,yes,no,yes
Q1707301,292,no,yes,no
Q1158545,292,no,yes,no
Q18713959,292,yes,no,no
Q16078362,292,no,yes,no
Q16916120,291,yes,no,no
Q985852,290,no,yes,no
Q1873014,290,no,yes,no
Q18064323,290,yes,no,no
Q14915269,289,no,yes,no
Q11857606,288,yes,no,yes
Q20165788,288,yes,no,no
Q54871520,288,no,yes,no
Q2256715,287,yes,yes,no
Q18180808,285,yes,no,no
Q1291472,285,yes,no,no
Q21502372,284,no,yes,no
Q2001572,284,yes,no,no
Q6851298,284,yes,no,no
Q5574335,284,no,yes,no
Q12785963,284,no,yes,no
Q19828531,284,yes,no,no
Q16159405,284,no,yes,no
Q793802,283,yes,no,no
Q13553861,282,no,yes,no
Q16870376,282,no,yes,no
Q35000543,281,yes,no,no
Q16424000,281,yes,no,no
Q5044762,281,yes,no,no
Q842157,281,no,yes,no
Q76822923,281,no,yes,no
Q16869892,281,no,yes,no
Q16277998,280,no,yes,no
Q306749,280,no,yes,no
Q1700760,280,no,yes,no
Q15620295,280,yes,no,no
Q12800694,280,yes,no,no
Q3894860,280,yes,no,no
Q1469854,280,yes,yes,no
Q16276465,280,no,yes,no
Q714907,279,yes,no,no
Q3498693,279,no,yes,no
Q11166731,279,yes,no,no
Q16870513,279,no,yes,no
Q21491392,279,no,yes,no
