token	katakana	people_blocked	state
Jaramillo	ハラミーヨ	90	single
Kristiane	クリスティアーネ	90	single
Ludovico	ルドヴィーコ	90	single
Tormod	トルモッド	90	single
Korhonen	コルホネン	89	single
Abner	アブナー	88	single
Fujiwara	フジワラ	88	single
Natanael	ナタナエウ	88	single
Alarik	アラリック	87	single
Antero	アンテロ	87	single
Juhani	ユハニ	87	single
Aguilera	アギレラ	86	single
Terry	テリー	86	single
Veikko	ヴェイッコ	86	single
Inge	インゲ	85	single
Nestor	ネストル	85	single
Ruy	ルイ	85	single
Teles	トレ	85	single
Marjorie	マージョリー	84	single
Ottilie	オティーラ	84	single
Guerrero	ゲレーロ	83	single
Villiers	ヴィリアーズ	83	single
Asa	エイザ	82	single
Rutger	ルトゲル	82	single
Ashkenazi	アシュケナージ	81	single
Méndez	メンデス	81	single
Nisbeth	ニスベス	81	single
Börje	ボリイェ	80	single
Friele	フリーレ	80	single
Kuhn	クーン	80	single
Rivero	リベロ	80	single
Claudine	クローディン	79	single
Martinsson	マルティンッソン	79	single
Pace	パーチェ	79	single
Raab	ラーブ	79	single
Yngve	インヴェ	79	single
Holtermann	ホルターマン	78	single
Krüger	クリューガー	78	single
Livia	リウィア	78	single
Schuster	シュステル	78	single
Villafañe	ビジャファニェ	78	single
Angelo	アンジェロ	77	single
Dutton	ダットン	77	single
Sanne	サンネ	77	single
Tage	ターゲ	77	single
Alphonse	アルフォンセ	76	single
Deutsch	ドイッチュ	76	single
Duran	ドゥラン	76	single
Frederica	フレデリカ	76	single
Griffin	グリフィン	76	single
Pinheiro	ピニェイロ	76	single
Sixten	シクステン	76	single
Faber	フェイバー	75	single
Malinda	マリンダ	75	single
Myers	マイヤーズ	75	single
Renée	ルネ	75	single
Dorph	ドーフ	74	single
Flemming	フレミング	74	single
Kaufmann	カウフマン	74	single
Ottosson	オットッソン	74	single
Emilio	エミーリオ	73	single
Rosenthal	ローゼンタール	73	single
Heller	ヘラー	72	single
Jahn	ヤーン	72	single
Sheldon	シェルドン	72	single
Vieira	ヴィエイラ	72	single
Geiger	ガイガー	70	single
Ingemar	インゲマール	70	single
Sayyid	サイイド	70	single
Sebastiana	セバスティアーナ	70	single
Sonja	ソーニャ	70	single
Bahr	バール	69	single
Luz	ルス	69	single
Peña	ペーニャ	69	single
Wahlström	ヴァールストレム	69	single
Ronald	ロナルド	68	single
Bondy	ボンディ	67	single
Hein	ハイン	67	single
Ingvar	イングヴァール	67	single
Monteiro	モンテイロ	67	single
Fox	フォックス	66	single
Luigia	ルイージャ	66	single
Montenegro	モンテネグロ	66	single
Viggo	ヴィゴ	66	single
Ira	アイラ	65	single
Selina	セリナ	65	single
Tamayo	タマヨ	65	single
Tyra	タイラ	65	single
Vogel	ヴォーゲル	65	single
