qid	roster_name	geni_ids	geni_names
Q135524854	Tanba no Tadamoto	6000000227350737865;6000000227350884822	Tadamoto Tanba | Tadamoto Tanba
Q135524855	Tanba no Nagatomo	6000000227350703883	Nagatomo Tanba
Q135524856	Tanba no Yorimoto	6000000227350573858	Yorimoto Tanba
Q135524858	Tanba no Yorikiyo	6000000227350432965	Yorikiyo Tanba
Q135524860	Tanba no Hiromoto	6000000227350605921	Hiromoto Tanba
Q135524862	Tanba no Yukinaga	6000000227350698848	Yukinaga Tanba
Q135524863	Tanba no Morinaga	6000000227350704822	Morinaga Tanba
Q135524864	Tanba no Toshiyasu	6000000227350457835	Toshiyasu Tanba
Q135524865	Tanba no Yukimoto	6000000227350676859	Yukimoto Tanba
Q135524867	Tanba no Yukiyasu	6000000227350759848	Yukiyasu Tanba
Q135524868	Tanba no Akihito	6000000227350675955	Akihito Tanba
Q135524869	Tanba no Hisayoshi	6000000227350675960	Hisayoshi Tanba
Q135524871	Tanba no Norinaga	6000000227350617868	Norinaga Tanba
Q135524872	Tanba no Nagasue	6000000227350739869	Nagasue Tanba
Q11368575	Tanba no Tadamori	6000000227350727867	Tadamori Tanba
Q135524873	Tanba no Ienaga	6000000227350459846	Ienaga Tanba
Q135524874	Tanba no Hisayasu	6000000227350676868	Hisayasu Tanba
Q135524875	Tanba no Muneyasu	6000000227350466908	Muneyasu Tanba
Q135524876	Tanba no Fuyuyasu	6000000227351157886	Fuyuyasu Tanba
Q135524877	Tanba no Nagauji	6000000227350716844	Nagauji Tanba
Q135524878	Tanba no Nagahiro	6000000227350700901	Nagahiro Tanba
Q135524879	Tanba no Ennaga	6000000227350585923	Ennaga Tanba
Q135524882	Tanba no Kanehira	6000000227350738821	Kanehira Tanba
Q135524884	Tanba no Tomonaga	6000000227350676877	Tomonaga Tanba
Q135524885	Tanba no Moriyasu	6000000227350683839	Moriyasu Tanba
Q135524886	Tanba no Nagatoyo	6000000227350703891	Nagatoyo Tanba
Q135524887	Tanba no Suetoshi	6000000227350727872	Suetoshi Tanba
Q135524888	Tanba no Iemae	6000000227350600851	Iemae Tanba
Q135524889	Tanba no Hidenaga	6000000227350704830	Hidenaga Tanba
Q135524890	Tanba no Tsuginaga	6000000227350458858	Tsuginaga Tanba
Q135524892	Tanba no Kaneyasu	6000000227350480176	Kaneyasu Tanba
Q135524893	Tanba no Shigeyo	6000000227350704918	Shigeyo Tanba
Q135524894	Tanba no Nagahira	6000000227350524887	Nagahira Tanba
Q135524895	Tanba no Sadanaga	6000000227350739830	Sadanaga Tanba
Q135524896	Tanba no Sadayasu	6000000227350595928	Sadayasu Tanba
Q135524897	Tanba no Yorinobu	6000000227350748821	Yorinobu Tanba
Q135524898	Tanba no Morinaga	6000000227350524835	Morinaga Tanba
Q135524899	Tanba no Ariyasu	6000000227350486977	Ariyasu Tanba
Q135524900	Tanba no Yoritoyo	6000000227350747823	Yoritoyo Tanba
Q135524901	Tanba no Haruyasu	6000000227350610914	Haruyasu Tanba
Q135524902	Tanba no Yorihide	6000000227350595951	Yorihide Tanba
Q135524904	Tanba no Toshinaga	6000000227350610924	Toshinaga Tanba
Q11665951	Asukai Masatsuna	6000000227350595957	Asukai Masatsuna Tanba
Q135524905	Nishijin Koji Yorihiro	6000000227350709826	Yorihiro Tanba
Q135524906	Tanba no Yasunaga	6000000227350739844	Yasunaga Tanba
Q11665947	Asukai Masaharu	6000000227350572848	Asukai Masaharu Tanba
Q135524907	Tanba no Nagamoto	6000000227350716880	Nagamoto Tanba
Q135524909	Tanba no Yoritoki	6000000227350700930	Yoritoki Tanba
Q11368580	Q11368580	6000000227350487098	Tokinaga Tanba
Q135524910	Tanba no Tadanaga	6000000227350790824	Tadanaga Tanba
Q135524911	Tanba no Suehiro	6000000227350802824	Suehiro Tanba
Q135524912	Tanba no Sueyasu	6000000227351379821	Sueyasu Tanba
Q135524914	Tanba no Mitsumoto	6000000227350734863	Mitsumoto Tanba
Q135524915	Tanba no Sueyoshi	6000000227350533879	Sueyoshi Tanba
Q135524916	Tanba no Tokinori	6000000227350759876	Tokinori Tanba
Q135524917	Tanba no Yasuyo	6000000227350826825	Yasuyo Tanba
Q135524919	Tanba no Naganori	6000000227350819822	Naganori Tanba
Q135524921	Tanba no Tadayori	6000000227350800846	Tadayori Tanba
Q135524922	Tanba no Yasuie	6000000227350814835	Yasuie Tanba
Q135524924	Tanba no Atsumoto	6000000227350767823	Atsumoto Tanba
Q135524925	Tanba no Tokiyo	6000000227351269898	Tokiyo Tanba
Q135524927	Tanba no Naganori	6000000227350747937	Naganori Tanba
Q135524928	Tanba no Mitsuyo	6000000227350596084	Mitsuyo Tanba
Q135524930	Tanba no Nagachika	6000000227350589923	Nagachika Tanba
Q135524931	Tanba no Tokimi	6000000227350676015	Tokimi Tanba
Q135524932	Tanba no Tadakage	6000000227350811835	Tadakage Tanba
Q135524933	Tanba no Yasutsune	6000000227350763845	Yasutsune Tanba
Q135524934	Nishijin Koji Naochoku	6000000227350800834	Naochoku Tanba
Q135524935	Nishijin Koji Atsunao	6000000227350617924	Atsunao Nishikikoji
Q135524936	Tanba no Sadayo	6000000227350744934	Sadayo Tanba
Q135524937	Tanba no Chikanori	6000000227350744940	Chikanori Tanba
Q135524939	Tanba no Moriyo	6000000227350734887	Moriyo Tanba
Q135524940	Tanba no Nagaharu	6000000227350802831	Nagaharu Tanba
Q135524941	Tanba no Tadayuki	6000000227350826842	Tadayuki Tanba
Q135524942	Tanba no Hideyo	6000000227350867821	Hideyo Tanba
Q135524943	Tanba no Chikatoki	6000000227350856824	Chikatoki Tanba
Q135524944	Tanba no Yukiyasu	6000000227350867826	Yukiyasu Tanba
Q135524945	Tanba no Nagaaki	6000000227350797870	Nagaaki Tanba
Q135524946	Tanba no Yorikage	6000000227350869832	Yorikage Tanba
Q135524947	Tanba no Tadayuki	6000000227350826862	Tadayuki 2 Tanba
Q135524948	Tanba no Suekage	6000000227350857841	Suekage Tanba
Q135524950	Tanba no Suekata	6000000227350828860	Suekata Tanba
Q135524952	Tanba no Sueyoshi	6000000227350826883;6000000227379436850	Sueyoshi 2 Tanba | Sueyoshi Tanba Sr.
Q135524954	Tanba no Sueyoshi	6000000227379158022	Sueyoshi Tanba Jr.
Q135524955	Tanba no Munekiyo	6000000227350822857	Munekiyo Tanba
Q135524957	Tanba no Munetada	6000000227350822862	Munetada Tanba
Q135524960	Tanba no Tamemoto	6000000227350797893	Tamemoto Tanba
Q135524961	Tanba no Toshimichi	6000000227350855841	Toshimichi Tanba
Q135524962	Tanba no Kiyomoto	6000000227350769911	Kiyomoto Tanba
Q135524965	Tanba no Suetoshi	6000000227350881838	Suetoshi Tanba
Q135524968	Tanba no Toshitada	6000000227350861849	Toshitada Tanba
Q135524969	Tanba no Yorimoto	6000000227350769923	Yorimoto Tanba
Q135524971	Tanba no Yasumichi	6000000227350878846	Yasumichi Tanba
Q135524972	Tanba no Hideyori	6000000227350828902	Hideyori Tanba
Q135524973	Tanba no Tamemoto	6000000227350530885	Tamemoto Tanba
Q135524974	Tanba no Hideyoshi	6000000227350858841	Hideyoshi Tanba
Q135524975	Tanba no Tokimichi	6000000227350530892	Tokimichi Tanba
Q135524977	Tanba no Taneyoshi	6000000227350877878	Taneyoshi Tanba
Q135524979	Tanba no Yukiyoshi	6000000227350871828	Yukiyoshi Tanba
Q135524980	Tanba no Motoyoshi	6000000227350880839	Motoyoshi Tanba
Q135524981	Tanba no Chikayoshi	6000000227350856861	Chikayoshi Tanba
Q135524984	Tanba no Tsunetoshi	6000000227350530913	Tsunetoshi Tanba
Q135524985	Tanba no Hidemasa	6000000227350878880	Hidemasa Tanba
Q135524986	Tanba no Ariyoshi	6000000227350861875	Ariyoshi Tanba
Q135524987	Tanba no Shigetoshi	6000000227350769945	Shigetoshi Tanba
Q135524988	Tanba no Kiyoyoshi	6000000227350589990	Kiyoyoshi Tanba
Q135524989	Tanba no Masayoshi	6000000227350837845	Masayoshi Tanba
Q135524990	Tanba no Suetoshi	6000000227350877904	Suetoshi Tanba
Q135524991	Tanba no Masatoshi	6000000227379231882	Masatoshi Tanba
Q135524993	Tanba no Yoshitoshi	6000000227350878899	Yoshitoshi Tanba
Q135524994	Tanba no Yoshikuni	6000000227350881854	Yoshikuni Tanba
Q135524995	Tanba no Yoshitomo	6000000227350878907	Yoshitomo Tanba
Q135524996	Tanba no Nagatoshi	6000000227351212844	Nagatoshi Tanba
Q135524999	Tanba no Yorikazu	6000000227351250838	Yorikazu Tanba
Q135525000	Tanba no Yorinao	6000000227351138949	Yorinao Tanba
Q135525001	Tanba no Yoriyoshi	6000000227351205884	Yoriyoshi Tanba
Q135525002	Tanba no Yorishige	6000000227351301821	Yorishige Tanba
Q135525003	Tanba no Yorimoto	6000000227351273825	Yorimoto Tanba
Q135525006	Tanba no Yorinaka	6000000227351138968	Yorinaka Tanba
Q135525008	Tanba no Yorifusa	6000000227351270846	Yorifusa Tanba
Q135525009	Kanpo Motonao	6000000227351241860	Motonao Kanpo Tanba
Q135525010	Kanpo Motokatsu	6000000227351269845	Motokatsu Kanpo Tanba
Q135525011	Kanpo Motoen	6000000227351315822	Motoen Kanpo Tanba
Q55529040	Taki Mototaka	6000000227351216851	Mototaka Taki Tanba
Q135525012	Taki Motonori	6000000227351174975	Motonori Taki Tanba
