qid,geni_id,label,countries,occupation_count
Q106779852,6000000025050279559,Yngve Hallgren,Sweden,1
Q106782041,6000000004566462016,Johan Christopher Krogh,Norway,1
Q106807,6000000018569141035,Magnus Carlsen,Norway,1
Q106811825,6000000020093077297,Gunnar Vetne,Norway,1
Q106812,6000000006890350416,Ivar Andreas Aasen,Norway,10
Q106821191,6000000082802670883,Kurt Löwidt,Norway,1
Q106879637,6000000004220072913,Lars Omsted von Krogh,Norway,1
Q106896017,5544482784470080941,Ludvig Hisinger-Jägerskiöld,Finland,0
Q106938952,6000000172743380893,Axel Liljestrand,Sweden,1
Q106948806,6000000176306657872,Filip Oberger,Sweden,2
Q106956215,6000000010113994401,Hans Visell,Sweden,1
Q106959614,6000000175362679906,Liv Haslie,Norway,1
Q106975913,6000000199323305831,Finn Hofgaard Woxen,Norway,1
Q106976042,6000000004829076710,Christian Johnsen Dedekam Øwre,Norway,1
Q106979038,6000000017374279257,Hans Riddervold Guldberg,Norway,1
Q106980949,6000000175833056840,Merja Kinnunen,Finland,7
Q106989254,6000000006962848294,Gabriel Gärtner,Sweden,2
Q107006388,6000000001030803227,Hjalmar Edvard Tawast,Finland,0
Q107007399,6000000041267281891,Gudrun Kolderup,Norway,1
Q107008036,6000000033258211005,Sissel Solem,Norway,2
Q107024802,6000000029607018286,Tobias Westblad,Sweden,2
Q107036077,6000000017944757915,Ingolf Riddervold,Norway,1
Q107042299,6000000019921590389,Finn Wollebæk,Norway,1
Q10706643,6000000013352032755,Einar Cook,Norway,3
Q10707296,6000000040596530354,Arne Ingdahl,Norway,2
Q107084365,6000000034621749450,Andreas Holdhus,Norway,1
Q10708586,6000000088667371112,Magnus Larsen,Norway,2
Q107088836,6000000015701444855,Paul Zahl,Norway,1
Q107120464,6000000179423728833,Maija-Leena Ervasti,Finland,1
Q107121924,6000000078899276102,Paweł Korytko,Grand Duchy of Finland,1
Q10712343,6000000028408512170,Svein Øvergaard,Norway,3
Q107126559,6000000033939455058,Ditlev Luth,Norway,1
Q107128956,6000000174609036960,Sipi Ahokas,Finland,1
Q107147052,6000000056528521945,Johannes Hanssen,Norway,1
Q107148161,6000000007910724450,Nils Klavestad,Norway,1
Q10715081,6000000035727527931,Vidar Olburs,Sweden,1
Q107223291,6000000016311627670,Oskar Parkkinen,Finland,2
Q107224648,6000000002088523971,Sigmund Spjelkavik,Norway,1
Q107227176,6000000024250371492,Gunnar Mellgren,Sweden,1
Q10723609,6000000009934455345,Yngve Östborn,Sweden,1
Q107246857,6000000089286149036,Hedvig Boivie,Sweden,2
Q10726271,6000000020587459780,Åke Hallman,Sweden,1
Q10726291,6000000039065079019,Åke von Schultz,Sweden,1
Q107278866,6000000008831877629,Adolf Angner,Sweden,1
Q107283217,6000000016723374905,Evert Magnus Ridderstad,Finland,2
Q107302217,6000000008373506627,Carl Carlsson Rennerfelt,Sweden,1
Q107303422,6000000051379860229,Liina Holm,Finland,1
Q107308268,6000000025926535749,Mathias Skaanlund,Norway,2
Q107323184,6000000003575056788,Fredrik Kristoffer Tawast,Finland,0
Q107337682,6000000003282280052,Knut Johan Robert Lagus,Finland,1
Q107338954,6000000041207634970,Kaleb Lundén,Sweden,1
Q107341968,2295731,Erkki Mäkimattila,Finland,1
Q107344336,6000000013198418939,Jacobus van Corlaer,Denmark-Norway,2
Q107357001,6000000001422887822,Ebba Toje,Norway,1
Q107361884,6000000011556305736,Veikko Kasslin,Finland,1
Q107379901,6000000008686149201,Bastian Svendsen,Norway,3
Q107427313,6000000045435234029,Carl Fredrik Livengren,Sweden,2
Q10744017,6000000020572668141,Jan-Magnus Bruheim,Norway,3
Q107443942,6000000004096535821,Włodzimierz Bem de Cosban,Grand Duchy of Finland,1
Q107467503,6000000009760486090,Hugo Björck,Sweden,2
Q107476928,6000000056763889334,Axel Sigfrid Ulrich,Sweden,3
Q107527011,6000000001409485421,Jacob Bredrup,Norway,1
Q107551749,6000000176784202828,Peter Vogelius Bredal Deinboll,Norway,1
Q107575065,6000000002494575578,Kåre Aasebøstøl,Norway,1
Q107576939,6000000047258498396,Morten Ree,Norway,2
Q107585416,6000000024707657758,Andreas Ollestad,Norway,2
Q107587771,6000000000972122972,Rolf Langlo,Norway,1
Q107600435,6000000003099855525,Thorger Stahl,Norway,3
Q107613145,6000000010797579732,Ingebrigt Tørris,Norway,1
Q107613752,3548601,Halvard Torgersen,Norway,1
Q107620529,6000000006796568526,Ole Ludvig Schweder,Norway,1
Q107621292,6000000006137019005,Karl Sivertzen,Norway,2
Q107621574,6000000019806309768,Geirmund Skeie,Norway,1
Q107639258,6000000184753140852,Salli Luterkort,Sweden,2
Q107640568,6000000020036076853,Carl Luthman,Sweden,1
Q107641092,6000000004384353588,Olav Aabakken,Norway,1
Q107658575,6000000168935470250,Niels Aars Nicolaysen,Norway,2
Q107658947,6000000007343761605,Emelankton Aadnesen,Norway,2
Q107661920,6000000013415901392,Peder Vagle,Norway,1
Q107696745,6000000014254794176,Lorentz Meyer Berg,Norway,1
Q107708014,6000000039105322772,Kristofer Fliflet,Norway,1
Q107740035,6000000021741251669,Johannes Kise,Norway,1
Q107740186,6000000176994186842,Anton Magnussen,Norway,1
Q107752574,6000000010817958320,Ivar Nestaas,Norway,1
Q107772928,6000000014196983643,Lars Rosengren,Sweden,2
Q10780679,6000000079387516872,Kristoffer Olsen Uhlen,Norway,2
Q1078531,6000000002449490697,Christer Thorn,Sweden,2
Q107864203,6000000009430172254,Bent Thomassen,Norway,1
Q107889504,6000000013268299073,Anders Nilsson Östlind,Sweden,0
Q1079005,6000000011506623197,Christian Blom,Norway,3
Q107901569,6000000006346340097,Per Olof Finnberg,Sweden,2
Q107902112,6000000006346628982,Erik Klingstedt,Sweden,2
Q107904852,6000000051942693503,Sanfrid Ljungqvist,Sweden,1
Q1079060,6000000006515421676,Christian Braunmann Tullin,Norway,4
Q1079150,6000000014487411458,Christian Cappelen,Norway,3
Q107936598,6000000046998257452,Karl Emil Sterner,Sweden,2
Q107957741,6000000066642125212,August Norling,Sweden,1
Q107970872,6000000111826888918,Olav Furuset,Norway,3
Q107972919,6000000101306761922,Ragnhild Wahlborg,Sweden,2
Q107975769,6000000025996115637,Paul Woxeng,Norway,2
Q107996993,6000000007067543438,Hans Westerdahl,Sweden,2
Q108008558,6000000003089007390,Gunnar Linvik,Norway,1
Q108017304,6000000010340121347,Albrigt Okan,Norway,1
Q108022334,6000000116827428863,Hallvard Hande,Norway,2
Q108032557,6000000019503887431,Kaare Getz,Norway,1
Q108032668,6000000001827596253,Magna Fernanda Giæver,Norway,1
Q108034363,6000000180713013822,Jonas Forsberg,Sweden,2
Q108035388,6000000018976447526,Ole Fredrik Harbek,Norway,1
Q1080359,6000000006110014533,Christian Horne,Norway,3
Q108039826,4403335164510037247,Harald Wagnér,Sweden,0
Q108041060,6000000096048465857,Elis Alm,Sweden,2
Q108045563,379128010630006031,Olof Carlsson,Sweden,2
Q108047316,6000000179796701835,Johan Vincent Lundström,Sweden,1
Q108128763,6000000010048879574,Anton Krass Langballe,Norway,1
Q108134572,6000000112317018932,Lars Edvard Bärlin,Sweden,3
Q108136652,6000000041030702559,Arvid Brask,Sweden,2
Q108138188,6000000100913154914,Eilif Whist,Norway,1
Q108147365,6000000098344770029,Banner-Ola,Norway,1
Q108147532,6000000171750560143,Per Embretsen Gjersøyen,Norway,0
Q108149024,6000000034389756255,Olaf Berger,Norway,1
Q108149674,6000000053914698839,Adolf Gideon Hjertstedt,Sweden,3
Q108174961,6000000017035336093,Jørgen Henrik Meinich,Norway,1
Q108178273,6000000020760631012,Tarald Drengson Mosdøl,Norway,1
Q108201,6000000018096300827,Wiktor Kulerski,Grand Duchy of Finland,3
Q108228837,6000000176551450827,Matti Luukkainen,Finland,4
Q108229489,6000000017242684684,Claes Wahlberg,Finland,0
Q1082440,6000000006589193300,Christian Zetlitz Bretteville,Norway,1
Q108257818,6000000028974447765,Henning Segerros,Sweden,1
Q108276219,6000000176501955829,Risto Santti,Finland,0
Q1083011,6000000018561736127,Christianus Carolus Henricus van der Aa,Denmark-Norway,4
Q108314877,6000000002822593712,Märta Kristina Berg,Sweden,1
Q108314891,6000000175325494094,Karin Maria Viktoria Lovisa Sommar Elmér,Sweden,2
Q108314906,6000000021763584091,Sigrid Elisabeth Johanna Hård af Segerstad,Sweden,3
Q108314937,6000000039074519097,Eva Cecilia Dahlgren,Sweden,2
Q108324389,6000000011797506105,Ester Ottilia Sylvan,Sweden,2
Q108325287,6000000016543083558,Gustaf Meyer,Sweden,1
Q108325863,6000000172444257136,Frans Emil Arve,Finland,2
Q108352373,6000000011311675238,Ruth Sorenson,Norway,3
Q108366605,6000000011687332861,Mauritz Norlin,Sweden,1
Q108394134,6000000003787825658,Carl Gustaf Theodor Feuk,Sweden,1
Q108403488,6000000018326282375,Sven Allgulander,Sweden,0
Q108416427,6000000111057012821,Nils August Lundgren,Sweden,1
Q108416635,6000000053136665058,Arvid Axelsson,Sweden,1
Q108416872,6000000049746197971,Alpo Setälä,Finland,1
Q108419294,6000000065852212210,Martin Filip Wijkström,Sweden,1
Q108428423,6000000031185928886,Gustaf Wilhelm Müntzing,Sweden,1
Q108431959,6000000028522747892,Johan Ludvig Krutmeijer,Sweden,1
Q108435731,6000000051495236076,Eva Wejdling,Sweden,0
Q108455938,6000000174334133944,Alfred Lidholm,Sweden,1
Q108459586,6000000080566634132,Raguel Vilhelm Essén,Sweden,0
Q108470712,6000000025362748422,Daniel August Ärnström,Sweden,1
Q108505410,6000000018376411062,Marie Madsveen,Norway,1
Q108516594,6000000018625132679,Lars Wilsdorff,Sweden,1
Q108523239,6000000002289610648,Jakob Herman Anrep,Sweden,1
Q108524084,6000000009465293437,Ottar Overskott,Norway,1
Q108544327,6000000040608368063,Hedvig Jonasdotter Edlund,Finland,0
Q10858156,6000000015678466602,Gustav Strømsvik,Norway,1
Q108583482,6000000013237662754,Abraham Salmonius,Sweden,1
Q108585628,6000000014630060031,Jacob Strangh,Sweden,1
Q108585975,6000000094607484305,Casten Dahlstedt,Sweden,1
Q108586162,6000000109066897076,Paavo Lindquist,Sweden,1
Q108587959,6000000007468187472,Theodor Giertz,Sweden,0
Q108588606,6000000029526204348,Elsa Maria Smith-Hellström,Sweden,1
Q108591851,6000000022337623799,Teo Rydberg,Sweden,0
