verdict	qid	geni_a	geni_b	supporting	against	names
NO EVIDENCE	Q121643089	6000000003645772949	6000000195144093842			NN Håkonsdatter mother of Ivar | Ragnild Ingeborg Håkonsdatter
NO EVIDENCE	Q122925422	6000000038414606035	6000000038414714892			Raina Regina Sapieha | Wasylisa ??? Sapieha
NO EVIDENCE	Q122925764	6000000041241763571	6000000041241858399			Tomas Stanislaus Sapiega | Stanislovas Sapiega
NO EVIDENCE	Q122925808	6000000020070514278	6000000041763756822			Anna Sapiega | Aleksandra Sapieha
NO EVIDENCE	Q123182145	6000000021077665995	6000000186395139495			Constança Maria da Conceição B | Constança Maria Conceição Berq
NO EVIDENCE	Q140354402	6000000016751327433	6000000041177692728			Teodora Kurcz h. Radwan | Teresė Kurčaitė
NO EVIDENCE	Q15954845	6000000074750788964	6000000074766717720			? | ?
NO EVIDENCE	Q16630592	4915441647200047771	6000000018169602518			? | Vladimiras
NO EVIDENCE	Q17045022	6000000007377273393	6000000177596210821			Vsevolod Glebovich of Iziaslav | Vsevolod Glebovich of Izyaslav
NO EVIDENCE	Q1893528	6000000003645697517	6000000009458314295			Marcia Regia | Pompeia
NO EVIDENCE	Q20101126	6000000003827464536	6000000009126264881			Smassmann von Rappoltstein Her | Sassmann (Maximin) I. Graf von
NO EVIDENCE	Q2026887	6000000002512346178	6000000071619545883			Sofia Volodarsdatter von Polot | Sofija Volodaraitė
NO EVIDENCE	Q2241510	5235605714220070458	6000000033201846251			Rikissa of Sweden of Poland | Ryksa of Poland
NO EVIDENCE	Q22813498	6000000075060771886	6000000075060896873			? | ?
NO EVIDENCE	Q233444	6000000000700912476	6000000008218463991			Scribonia | Clodia Pulchra
NO EVIDENCE	Q237156	6000000002187617608	6000000003513191421			Laodice I | Laodice
NO EVIDENCE	Q25483915	6000000003828254510	6000000014961432483			Gebhard von Querfurt-Magdeburg | Gerhard lV von Querfurt-Magdeb
NO EVIDENCE	Q2607489	6000000014925718454	6000000041298129918			Voytek Moniwid | Albertas Jonaitis Manvydas
NO EVIDENCE	Q2632610	6000000007171629271	6000000080879890850			Volodar Glebovich of Polotsk P | ?
NO EVIDENCE	Q2994313	6000000003858589110	6000000008312444741			Romund „Wolf“ Giligino sūnus o | Vitenas Volk Davilovich iš Riu
NO EVIDENCE	Q4097582	6000000008537579083	6000000080795286877			Bracheslav Vasylkovich Polozki | ?
NO EVIDENCE	Q4139580	4913735229900074272	6000000018197588373			Gleb, Grand Prince of Smolensk | Gleb Svyatoslavich of Smolensk
NO EVIDENCE	Q45419087	6000000074747743378	6000000074748427891			? | ?
NO EVIDENCE	Q45419706	6000000074747981248	6000000074748315105			? | ?
NO EVIDENCE	Q45420203	6000000075061502982	6000000075346406899			? | ?
NO EVIDENCE	Q45421949	6000000075060870891	6000000075060956830			? | ?
NO EVIDENCE	Q45422861	6000000074788367110	6000000074788721899			? | ?
NO EVIDENCE	Q557859	6000000009134071127	6000000177205638847			Witenes | ?
NO EVIDENCE	Q61139374	6000000013879333457	6000000025875082214			Johanna von Baden-Durlach | Johanna Margareta von Baden-Ho
NO EVIDENCE	Q6645502	6000000074759622191	6000000075329016910			? | ?
NO EVIDENCE	Q66534565	6000000018171165192	6000000024777532686			Michailas | Mikhail Romanovich of Slonim
NO EVIDENCE	Q66555044	6000000011456805386	6000000041749925420			Vasili Michailovich of Pinsk | Bazyli ??? Narimontovich
NO EVIDENCE	Q69756781	6000000000436954608	6000000119100397957			Jeanne de Joinville | NN de Joinville
NO EVIDENCE	Q703346	6000000002205507182	6000000003827963052			Marcus Livius Drusus Consul (1 | Marcus Livius Salinator Drusus
NO EVIDENCE	Q76154269	6000000039488647235	6000000039488819945			Rhys ab Bledri ap Bledri Baron | Rhys ap Bledri
NO EVIDENCE	Q778550	6000000007456333287	6000000038650093974			Tezozomoc of Tenochitlan | Tezozomoc of Ecatepec of Azcap
NO EVIDENCE	Q886894	6000000003645908672	6000000041073777758			Ptolemy Apion King of Cyrene | Ptolemy Apion
NO EVIDENCE	Q961910	6000000014163322246	6000000185833360841			Jean Toussaint Arrighi de Casa | Jean Toussaint ARRIGHI DE CASA
NO EVIDENCE	Q96985053	6000000003617703553	6000000006376446567			John Loomis | John Loomis
NO EVIDENCE	Q97929236	6000000022542965983	6000000028015703141			Anne Jeanne Malcy | Anne Jeanne Rouyer
