father_given	patronymic_stem	distinct_fathers
erik	olof	9
anders	jacob	9
william	ander	9
anton	ander	9
olof	nil	9
jens	niel	9
aksel	axel	9
per	karl	9
nn	johans	9
ole	nil	9
johan	pehr	9
carl	jan	9
anders	sven	9
olli	olofs	9
gustaf	karl	9
erik	karl	9
anders	olof	9
jacob	lar	9
peter	han	9
kalle	karls	9
kalle	carls	9
søren	jen	8
nils	peder	8
erik	sven	8
lars	olof	8
gustaf	ander	8
hans	erik	8
christian	ol	8
johannes	ander	8
björn	bjarnar	8
hans	søren	8
henrik	hendrik	8
jonas	ander	8
per	lar	8
james	jack	8
thomas	john	8
peder	jen	8
paul	povel	8
thomas	ander	8
nils	erik	8
nn	johanne	8
nn	peder	8
john	robin	8
jens	ol	8
hans	john	8
svend	svein	8
lars	peder	8
anders	per	8
peder	lar	8
nils	per	8
erik	han	8
sjur	sivert	8
jonas	per	8
henrik	hendrich	8
niels	han	8
peter	johan	8
johan	jakob	8
hans	carl	8
peder	niel	8
gulbrand	guldbrand	8
pekka	petter	8
karl	ol	8
jacob	john	8
peder	nil	8
tosten	torstein	7
carl	olof	7
joseph	nel	7
rasmus	ol	7
per	ol	7
jens	jacob	7
william	thomp	7
andreas	john	7
jonas	petter	7
jacob	ol	7
john	peter	7
petrus	pehr	7
john	ma	7
hans	petter	7
rasmus	peder	7
georg	jöran	7
james	thomp	7
jooseppi	josef	7
ole	erik	7
ådne	arne	7
peder	johan	7
ingebret	ingebrigt	7
tosten	torsten	7
knut	lar	7
christen	ol	7
olav	oluf	7
olof	samuel	7
pekka	petters	7
john	han	7
andreas	han	7
hans	peter	7
jacob	peder	7
erik	lar	7
karl	sven	7
ole	amund	7
lars	halvor	7
thomas	lar	7
lars	petter	7
joseph	john	7
paavo	påhl	7
william	jeffer	7
jens	søren	6
åmund	amund	6
karl	peder	6
olaf	olav	6
carl	per	6
per	jön	6
anders	pehr	6
john	madi	6
johannes	petter	6
anders	matt	6
joseph	jack	6
henrik	ander	6
john	robert	6
nn	nil	6
joseph	wil	6
henry	jack	6
johann	klas	6
jørgen	han	6
nn	jakob	6
ole	petter	6
johan	sven	6
james	john	6
lars	erik	6
joseph	thomp	6
nils	henrik	6
george	jeffer	6
lars	jacob	6
andreas	johan	6
åsmund	aasmund	6
osmund	ommund	6
peter	ander	6
johannes	ol	6
carl	gustaf	6
christian	nil	6
bernt	han	6
peter	pehr	6
johan	fredrik	6
olof	erik	6
karl	petter	6
david	ander	6
olov	olof	6
per	erik	6
anders	søren	6
hans	jørgen	6
lars	john	6
peder	john	6
johan	thom	6
søren	peder	6
andreas	jen	6
erik	per	6
peder	erik	6
olof	karl	6
anders	carl	6
jacob	han	6
henrik	johan	6
per	jon	6
pehr	petter	6
ole	olavs	6
jakob	ander	6
jacob	ander	6
samuel	thomp	6
johan	daniel	6
per	han	6
olof	han	6
anders	karl	6
petter	ol	6
mikko	mickels	6
johannes	nil	6
carl	jon	6
jooseppi	josefs	6
ole	gunder	6
peter	frie	6
ole	knut	6
sven	peter	5
axel	johan	5
jakob	erik	5
sven	karl	5
lars	karl	5
anders	bengt	5
gustaf	olof	5
henry	john	5
christian	jen	5
daniel	lar	5
ingebrigt	ingebrikt	5
per	peters	5
niels	lar	5
albert	johan	5
fredrik	johan	5
benedictus	bengts	5
nn	karl	5
edward	ander	5
johan	eric	5
salmund	salomon	5
sven	ander	5
jon	nil	5
james	harri	5
axel	aksel	5
henrik	hindrik	5
johannes	peter	5
benjamin	john	5
sveinbjörn	sveinbjarnar	5
hindrich	henriks	5
johan	gunder	5
atlak	aslak	5
anders	jan	5
johannes	erik	5
jens	jørgen	5
jens	kristen	5
john	ol	5
james	wil	5
olav	olaf	5
william	richard	5
erik	mårten	5
christen	lar	5
christian	peter	5
george	thomp	5
hågen	håken	5
brynjulv	brynjulf	5
william	ma	5
anders	john	5
friedrich	sach	5
robert	thomp	5
gustav	johan	5
henrik	lar	5
ola	han	5
ole	helge	5
karl	jon	5
thomas	thomp	5
christian	lar	5
nn	john	5
hans	re	5
brynjulf	brynjulv	5
knut	nil	5
peter	thies	5
ole	mad	5
ingebrikt	ingebrigt	5
lauritz	lars	5
oluf	ols	5
haqvinus	håkans	5
iver	ander	5
olav	ole	5
olof	olov	5
rasmus	lar	5
ådne	ådne	5
nils	jacob	5
gustaf	es	5
hans	jon	5
hans	nis	5
olov	olofs	5
helge	helje	5
ole	halvor	5
niels	ander	5
niels	jen	5
iver	han	5
ole	iver	5
einar	peder	5
anders	jen	5
auen	ouen	5
thomas	madi	5
nils	knud	5
ommund	åmund	5
robert	wil	5
axel	ander	5
torkel	thorkild	5
ole	niel	5
ole	karl	5
lars	jakob	5
ole	elling	5
jonas	lar	5
syver	sivert	5
hindrik	henriks	5
henrik	han	5
nn	jacob	5
anders	er	5
jørgen	jen	5
hans	halvor	5
ellef	ellev	5
osmund	ol	5
gunder	gunner	5
gustaf	sven	5
carl	kristian	5
john	wat	5
thomas	jeffer	5
johan	paul	5
nils	christian	5
knut	ol	5
robert	nel	5
nils	john	5
jens	lar	5
christian	peder	5
nils	jan	5
nils	karl	5
peter	ol	5
olavi	olof	5
hans	mad	5
carl	john	5
carl	henrik	5
johannes	per	5
petter	johan	5
engebret	embret	5
søren	han	5
daniel	nel	5
samuel	john	5
johan	niel	5
jens	nil	5
olof	sven	5
karl	han	5
kalle	karl	5
jakob	johan	5
andreas	nil	5
gustaf	carl	5
axel	ol	5
samuel	johan	5
nils	petter	5
johan	halvor	5
aage	åge	5
peter	klas	5
jonas	ol	5
paavo	paul	5
gerhard	frie	5
anders	peder	5
kalle	carl	5
