date,time,namespace,qid,label,delta,user,action,property,other_qids,flags,tags,summary
2026-08-30,21:24,Item,Q6001555,Carl Claes Mörner,-797,OBender12,claim_removed,P734,Q141223712,,Wikidata user interface Manual revert,Removed claim: family name (P734): (Q141223712)
2026-08-30,21:24,Item,Q6001589,Carl Stellan Mörner,-797,OBender12,claim_removed,P734,Q141223712,,Wikidata user interface Manual revert,Removed claim: family name (P734): (Q141223712)
2026-08-30,21:24,Item,Q6001608,Hampus Mörner,-797,OBender12,claim_removed,P734,Q141223712,,Wikidata user interface Manual revert,Removed claim: family name (P734): (Q141223712)
2026-08-30,21:24,Item,Q792307,Axel Otto Mörner,-796,OBender12,claim_removed,P734,Q141223712,,Wikidata user interface Manual revert,Removed claim: family name (P734): (Q141223712)
2026-08-30,21:25,Item,Q141219062,Hedvig Ulrika Boije af Gennäs,-1170,OBender12,claim_removed,P734,Q141223719,,Wikidata user interface Manual revert,Removed claim: family name (P734): (Q141223719)
2026-08-30,21:25,Item,Q141223490,Gennäs,+70,OBender12,description_added,,,,Wikidata user interface,Added [en] description: family name
2026-08-30,21:25,Item,Q141223719,,-91,OBender12,redirect,,,,merge.js New redirect,Redirected to Q141223490
2026-08-30,21:25,Item,Q5580881,Carl Gustaf Boije,-797,OBender12,claim_removed,P734,Q141223719,,Wikidata user interface Manual revert,Removed claim: family name (P734): (Q141223719)
2026-08-30,21:25,Item,Q5580892,Fredrik Boije,-797,OBender12,claim_removed,P734,Q141223719,,Wikidata user interface Manual revert,Removed claim: family name (P734): (Q141223719)
2026-08-31,13:34,Item,Q101247444,"Ingegerd Svantepolksdotter of Viby, heiress, lady of Händelöö",+685,Lesko987a,item_updated,P2949,,,QuickStatements 3.0 [0.3],Updated Item: QuickStatements 3.0 batch #51096: P2949 Relatives
2026-08-31,13:34,Item,Q141180410,Margareta Mårtensdotter Bång,+697,Lesko987a,item_updated,P2949,,,QuickStatements 3.0 [0.3],Updated Item: QuickStatements 3.0 batch #51096: P2949 Relatives
2026-08-31,13:34,Item,Q141217359,Anna Elisabet Angerstein,+684,Lesko987a,item_updated,P2949,,,QuickStatements 3.0 [0.3],Updated Item: QuickStatements 3.0 batch #51096: P2949 Relatives
2026-08-31,13:34,Item,Q141223528,Johanna Elisabet Hjärne,+682,Lesko987a,item_updated,P2949,,,QuickStatements 3.0 [0.3],Updated Item: QuickStatements 3.0 batch #51096: P2949 Relatives
2026-08-31,13:34,Item,Q2183430,Benedicta Ebbesdotter of Hvide,+683,Lesko987a,item_updated,P2949,,,QuickStatements 3.0 [0.3],Updated Item: QuickStatements 3.0 batch #51096: P2949 Relatives
2026-08-31,13:35,Item,Q141223412,Augusta Ulrika Mannerheim,+685,Lesko987a,item_updated,P2949,,,QuickStatements 3.0 [0.3],Updated Item: QuickStatements 3.0 batch #51096: P2949 Relatives
2026-08-31,13:36,Item,Q141219059,Gustava Maria Sofia Mannerheim,+691,Lesko987a,item_updated,P2949,,,QuickStatements 3.0 [0.3],Updated Item: QuickStatements 3.0 batch #51096: P2949 Relatives
2026-08-31,13:36,Item,Q141219324,Sofia Maria Mannerheim,+683,Lesko987a,item_updated,P2949,,,QuickStatements 3.0 [0.3],Updated Item: QuickStatements 3.0 batch #51096: P2949 Relatives
2026-08-31,13:50,Item,Q141189076,Kristian Larsen Sør-Reime,0,OBender12,claim_changed,P734,Q141189041,,Wikidata user interface,Changed claim: family name (P734): Sør-Reime (Q141189041)
2026-08-31,13:50,Item,Q141205912,Herborg Johannesdatter Sør-Reime,0,OBender12,claim_changed,P734,Q141189041,,Wikidata user interface,Changed claim: family name (P734): Sør-Reime (Q141189041)
2026-08-31,13:51,Item,Q141198390,Elisabet Marie Osmundsdatter Sør-Reime,0,OBender12,claim_changed,P734,Q141189041,,Wikidata user interface,Changed claim: family name (P734): Sør-Reime (Q141189041)
2026-08-31,13:53,Item,Q141223484,Morlanda,+70,OBender12,description_added,,,,Wikidata user interface,Added [en] description: family name
2026-08-31,22:25,Item,Q141205900,,-91,Epìdosis,redirect,,,,merge.js New redirect,Redirected to Q138687615
2026-08-31,23:05,Item,Q110547936,Johan Adelswärd,+91,Poro26,description_added,,,,Wikidata user interface,Added [fr] description: militaire suédois (1690 - 1729)
2026-08-31,23:30,Item,Q110547956,Catharina Funck,+113,Poro26,description_added,,,,Wikidata user interface,Added [fr] description: fille du gouverneur du comté Isak Funck (1723 - 1801)
2026-09-01,00:10,Item,Q16650163,Samuel Pryss,+124,MS Sakib,description_added,,,b,,Added [as] description: ফিনিছ অধ্যাপক (১৭০৫-১৭৭৯)
2026-09-01,00:38,Item,Q5698210,Samuel Chydenius,+102,MS Sakib,description_added,,,b,,Added [as] description: ফিনিছ ৰসায়নবিদ
2026-09-01,01:32,Item,Q141223690,,0,DeltaBot,redirect,,,b,Redirect target changed,Redirected to Q141189030
2026-09-01,01:32,Item,Q141223707,,0,DeltaBot,redirect,,,b,Redirect target changed,Redirected to Q141189041
2026-09-01,01:32,Item,Q141224006,,0,DeltaBot,redirect,,,b,Redirect target changed,Redirected to Q140568870
2026-09-01,12:05,Item,Q141242326,Trevland,+70,OBender12,description_added,,,,Wikidata user interface,Added [en] description: family name
2026-09-01,12:05,Item,Q141244184,Voster,+70,OBender12,description_added,,,,Wikidata user interface,Added [en] description: family name
2026-09-01,19:45,Item,Q141249585,Ekebyholm,+70,OBender12,description_added,,,,Wikidata user interface,Added [en] description: family name
2026-09-02,07:18,Item,Q141225740,,-91,Samoasambia,redirect,,,,merge.js New redirect,Redirected to Q109852817
2026-09-02,07:20,Item,Q141223425,,-91,Samoasambia,redirect,,,,merge.js New redirect,Redirected to Q140191768
2026-09-02,07:22,Item,Q141216393,,-91,Samoasambia,redirect,,,,merge.js New redirect,Redirected to Q138473856
2026-09-03,04:14,Item,Q3044,Charlemagne,-1,Tahir mq,sitelink_moved,,,,Automatic update from connected wiki,Page moved from [urwiki:کارل اعظم] to [urwiki:شارلیمین]
2026-09-03,08:36,Item,Q141224371,,-94,Anvilaquarius,redirect,,,,merge.js New redirect,Redirected to Q6082642
2026-09-03,08:36,Item,Q6082642,Torsten Rudeen,+4999,Anvilaquarius,merge,,,,merge.js,Merged Item from Q141224371
2026-09-03,08:37,Item,Q141223430,,-91,Anvilaquarius,redirect,,,,merge.js New redirect,Redirected to Q109835411
2026-09-03,08:37,Item,Q141224780,,-94,Anvilaquarius,redirect,,,,merge.js New redirect,Redirected to Q5984640
2026-09-03,08:37,Item,Q5984640,Johan von Mentzer,+3904,Anvilaquarius,merge,,,,merge.js,Merged Item from Q141224780
2026-09-03,08:38,Item,Q109835411,Magdalena Sophia Falkenberg af Bålby,-414,Anvilaquarius,claim_removed,P735,Q842544,,Wikidata user interface,Removed claim: given name (P735): Magdalena (Q842544)
2026-09-03,08:55,Item,Q124477457,Anna Hedenberg,+101,Anvilaquarius,alias_added,,,,Wikidata user interface,Added multiple languages alias: Anna Elisabet Charlotta Andersdotter Rehbinder
2026-09-03,08:55,Item,Q141244082,,-91,Anvilaquarius,redirect,,,,merge.js New redirect,Redirected to Q124477457
2026-09-03,16:06,Item,Q274606,Berengar I of Italy,+375,AlexTop26,claim_created,P1543,,,Wikidata user interface,Created claim: monogram (P1543): Berengario of Friuli - monogram.svg
