bucket	kind	name	occurrences	descriptions	qids
native script	given	Sally	137	male given name | female given name	Q107183194 | Q19816532
native script	given	Chaim	128	male given name | male given name (חיים)	Q20000069 | Q33084262
native script	given	Rafael	109	male given name | male given name (רפאל)	Q16424000 | Q58309587
native script	given	Joanna	97	female given name | female given name	Q106481439 | Q4248351
native script	family	Lang	95	family name | Chinese family name (郎) | Chinese family name (狼)	Q16871816 | Q4253694 | Q65925450
native script	given	Ada	92	female given name (Ада) | female given name	Q105872896 | Q346047
native script	given	Naftali	91	male given name | male given name (נפתלי)	Q11788996 | Q29042890
native script	given	Jesus	87	male given name | female given name	Q1158269 | Q66827303
native script	given	Ben	82	Chinese given name (本) | Chinese given name (贲 / 賁) | male given name	Q104520754 | Q122749982 | Q816407
native script	given	Emile	71	female given name | male given name	Q124382810 | Q17623487
native script	given	Augustine	69	male given name | female given name	Q1300961 | Q54617672
native script	given	le	65	Chinese given name (樂 / 乐) | given name	Q96401045 | Q96440038
native script	given	Isa	56	unisex given name | male given name	Q1673339 | Q60883997
native script	given	Andronikos	53	male given name (Ανδρόνικος) | male given name	Q28916439 | Q80702486
native script	given	Uri	45	male given name | female given name	Q8661943 | Q96655215
native script	given	Mikhail	43	male given name (Михаил) | male given name | male given name (Міхаіл)	Q15621289 | Q34380480 | Q54485241
native script	given	Dora	41	male given name | female given name	Q96338865 | Q987115
native script	given	Jaya	36	female given name (जया) | unisex given name	Q47531335 | Q60220482
native script	given	Lazar	35	male given name | male given name (Лазарь)	Q12794654 | Q99288855
native script	given	Vasily	34	male given name | male given name (Василий)	Q16284246 | Q27452576
native script	given	Kim	34	female given name | unisex given name	Q1284506 | Q637123
native script	family	Rodríguez	33	family name | family name	Q1654058 | Q63315319
native script	given	Iwan	33	male given name | female given name	Q19967521 | Q96650962
native script	given	Peng	33	Chinese given name (彭) | Chinese given name (鵬 / 鹏) | male given name	Q104536731 | Q106793301 | Q75839653
native script	given	Helgi	30	male given name | female given name	Q26271987 | Q42661015
native script	given	Mikael	30	male given name | male given name (მიქაელ); Georgian language	Q15620350 | Q55220490
native script	given	Mstislav	28	male given name (Мстислав) | male given name	Q1424569 | Q18978395
native script	given	Ingvar	27	male given name (Ингвар or Ингварь) | male given name	Q105476720 | Q1663464
native script	given	Le	26	Chinese given name (樂 / 乐) | given name	Q96401045 | Q96440038
native script	given	Elia	26	unisex given name | female given name	Q16947019 | Q30079701
native script	family	Bu	23	Chinese family name (步) | family name | Chinese family name (卜)	Q11123724 | Q39747949 | Q4097588
native script	family	Bure	22	family name (Буре) | family name	Q11335012 | Q25114667
native script	given	Lian	22	Chinese given name (聯 / 联) | unisex given name | Chinese given name (連 / 连)	Q112298616 | Q2756355 | Q96631733
native script	given	Dov	21	male given name | male given name (דב)	Q19967497 | Q54834431
native script	given	Jelena	20	female given name (Јелена) | female given name	Q4963089 | Q99768021
native script	given	Eudoxia	18	female given name (Ευδοξία) | female given name	Q112581773 | Q924589
native script	given	Ming	18	Chinese given name (銘 / 铭) | given name	Q110652775 | Q96145619
native script	given	Denis	18	male given name | female given name | male given name (Денис)	Q1187221 | Q12787496 | Q35146979
native script	given	Concepción	18	unisex given name | female given name	Q3686044 | Q96323938
native script	given	Clemens	18	male given name | unisex given name	Q140847970 | Q18180166
native script	given	Gösta	16	male given name | female given name	Q1559648 | Q18552031
native script	given	Bona	16	male given name | female given name	Q27920067 | Q29550722
native script	given	Benny	16	male given name | female given name	Q18640998 | Q30077179
native script	family	da Costa	15	family name | family name	Q23038711 | Q63677459
native script	given	Natalia	15	given name ნატალია | female given name | female given name (Ναταλία)	Q131381578 | Q6296301 | Q98101338
native script	given	Euphrosyne	15	female given name (Ευφροσύνη) | female given name	Q106457200 | Q29551454
native script	given	Maryam	14	female given name | name	Q19810276 | Q5259481
native script	given	Cai	14	unisex given name | Chinese given name (才)	Q19810541 | Q96473305
native script	given	Noel	14	female given name | male given name	Q104212712 | Q261113
native script	given	Andre	13	female given name | male given name	Q137169687 | Q16274896
native script	given	Yao	13	male given name | Chinese given name (耀)	Q3571840 | Q94574477
native script	given	Chuan	13	Chinese given name (傳 / 传) | male given name	Q107978502 | Q96384634
native script	given	Zadok	13	given name | male given name (צָדוֹק)	Q21145527 | Q31841836
native script	given	Kang	13	given name | Chinese given name (康)	Q107001015 | Q96343634
native script	given	Semen	13	male given name | male given name (Семен)	Q115730020 | Q57875567
native script	given	Ring	12	given name | Korean given name element (링)	Q104531201 | Q69508653
native script	given	Tong	11	given name | Chinese given name (統 / 统) | Chinese given name (通)	Q81904964 | Q96195488 | Q96593606
native script	given	Abram	11	male given name | male given name (Абрам)	Q323415 | Q98146955
native script	family	Angelina	10	 | family name	Q117209889 | Q37549674
native script	given	Lewin	10	male given name | female given name	Q21074432 | Q96656600
native script	given	Saba	10	female given name | unisex given name	Q116367547 | Q842365
native script	given	June	10	unisex given name | female given name	Q1152453 | Q20984772
native script	given	Nan	9	Chinese given name (楠) | unisex given name	Q104374131 | Q21143366
native script	given	Man	9	Chinese given name (滿/满) | unisex given name | Chinese given name (曼)	Q105446050 | Q94326547 | Q96104265
native script	given	Fyodor	9	male given name | male given name (Фёдор)	Q1422239 | Q36695874
native script	given	Ye	9	given name | Chinese given name (野) | Chinese given name (燁 / 烨)	Q105623434 | Q110905255 | Q125145143
native script	given	Rene	8	male given name | female given name	Q19827830 | Q98651602
native script	given	Montgomery	8	female given name | male given name	Q130747820 | Q1407764
native script	given	Isham	8	 | male given name	Q104856202 | Q29650121
native script	given	Mubarak	8	family name | name	Q16279808 | Q63933744
native script	given	Lang	8	unisex given name | Chinese given name (朗) | male given name	Q51998303 | Q94244704 | Q96653469
native script	given	Alex	8	unisex given name | male given name (Άλεξ)	Q13258171 | Q97933419
native script	given	Hani	7	female given name | male given name	Q12790730 | Q19967934
native script	given	JOHN	7	 | male given name	Q104552334 | Q4925477
native script	given	Feodor	7	male given name (Феодор) | male given name	Q12165579 | Q1404941
native script	given	Lamont	7	given name | male given name	Q124288397 | Q22001585
native script	family	Ling	6	family name | Chinese family name (凌)	Q16872185 | Q4261869
native script	given	Mei	6	Chinese given name (玫) | female given name | Chinese given name (梅)	Q110624765 | Q13479837 | Q96631729
native script	given	Cary	6	male given name | female given name	Q16275178 | Q98651372
native script	given	Karol	6	female given name | male given name	Q125542509 | Q1446906
native script	given	Pavel	6	male given name (Павел) | male given name	Q1242655 | Q43082565
native script	given	Paris	6	unisex given name | male given name | female given name	Q1158980 | Q140697105 | Q16423586
native script	given	Zenon	6	male given name | male given name (Зенон)	Q602968 | Q86495534
native script	given	Gé	6	Chinese given name (格) | given name	Q106871291 | Q41145392
native script	given	Halim	6	 | male given name	Q122207021 | Q1571140
native script	given	Feodora	5	female given name (Феодора) | female given name	Q104431217 | Q1404956
native script	given	Hale	5	unisex given name | female given name (Turkish)	Q16276190 | Q98895686
native script	given	ada	5	female given name (Ада) | female given name	Q105872896 | Q346047
native script	given	Mann	5	female given name | male given name	Q125555223 | Q93437461
native script	given	Dao	5	female given name | Chinese given name (道) | given name	Q136140807 | Q96757012 | Q96757512
native script	given	Zé	5	Chinese given name (擇 / 择) | Chinese given name (賾 / 赜) | male given name	Q124651049 | Q125217513 | Q21286126
native script	given	Zadoc	5	male given name | male given name (צדוק)	Q140065 | Q30109349
native script	given	jean	5	female given name | male given name	Q4160311 | Q7521081
native script	family	HUANG	4	family name (皇) | Chinese family name (黃/黄) | family name	Q65925581 | Q845104 | Q93273838
native script	given	German	4	male given name | male given name (Герман)	Q2699418 | Q28914610
native script	given	Vital	4	male given name | male given name (Віталь)	Q12805837 | Q19413199
native script	given	Mills	4	female given name | male given name	Q108278184 | Q16279484
native script	given	Evaristo	4	male given name | male given name	Q18402192 | Q21156914
native script	given	Lan	4	Chinese given name (蘭 / 兰) | given name	Q106803552 | Q6482786
native script	given	Lela	4	female given name | female given name (Λέλα)	Q12754501 | Q97932925
native script	given	Ara	4	male given name (Արա) | unisex given name	Q4068352 | Q55234427
native script	given	Jenni	4	male given name | female given name	Q16429369 | Q18657207
native script	given	john	4	 | male given name	Q104552334 | Q4925477
native script	given	Hermina	4	female given name (Герміна) | female given name	Q121754791 | Q20643425
native script	family	CHEN	3	Chinese family name (諶/谌) | family name | Chinese family name (陳 / 陈)	Q30946179 | Q40713504 | Q804988
native script	given	Solon	3	male given name | male given name (Σόλων)	Q66734435 | Q97961666
native script	given	Uriel	3	male given name | male given name (אוּרִיאֵל)	Q123847659 | Q4006453
native script	given	Duan	3	Chinese given name (端) | given name	Q96604616 | Q96604651
native script	given	Macdonald	3	male given name | male given name	Q21513094 | Q55747656
native script	given	Ba	3	Chinese given name (霸) | given name	Q105640657 | Q16256060
native script	given	RAFAEL	3	male given name | male given name (רפאל)	Q16424000 | Q58309587
native script	given	LaVerne	3	female given name | unisex given name	Q125946652 | Q21188665
native script	given	Xiao	3	Chinese given name (孝) | given name | Chinese given name (曉 / 晓)	Q105440237 | Q19810513 | Q96978968
native script	given	Laverne	3	female given name | unisex given name	Q125946652 | Q21188665
native script	given	Tomo	3	undifferentiated Japanese kana unisex given name (とも) | given name	Q126252416 | Q21007333
native script	given	mary	3	unisex given name | female given name	Q112169711 | Q734578
native script	family	de Guevara	2	family name | family name	Q111669728 | Q99981096
native script	family	Balk	2	family name (Балк) | family name	Q108823063 | Q23038870
native script	family	Petrov	2	family name (Петров) | family name	Q2080805 | Q61121719
native script	family	Nussbaum	2	family name | family name	Q30106376 | Q83500875
native script	family	Chang	2	Chinese family name () | family name	Q2240226 | Q36931387
native script	family	Dubois	2	family name | family name	Q16798403 | Q57905938
native script	given	Eldar	2	male given name (Эльдар) | Georgian given name ელდარ | male given name	Q106939452 | Q130266240 | Q3480071
native script	given	Avigail	2	female given name | female given name (אֲבִיגַיִל)	Q20001548 | Q54650193
native script	given	Glaphyra	2	female given name | female given name (Глафира)	Q15709654 | Q50675025
native script	given	Linn	2	male given name | female given name	Q28943641 | Q4583654
native script	given	Oakley	2	unisex given name | male given name	Q111912640 | Q59697889
native script	given	Joann	2	male given name | female given name	Q132582447 | Q20898997
native script	given	jaya	2	female given name (जया) | unisex given name	Q47531335 | Q60220482
native script	given	Quan	2	Chinese given name (荃) | given name | Chinese given name (權 / 权)	Q124409496 | Q48126647 | Q94700581
native script	given	andre	2	female given name | male given name	Q137169687 | Q16274896
native script	given	Borys	2	male given name (Борис) | male given name	Q102249935 | Q20682286
native script	given	Vasil	2	male given name (Васил) | male given name (Васіль) | male given name	Q20091753 | Q27451802 | Q4104185
native script	given	JESUS	2	male given name | female given name	Q1158269 | Q66827303
native script	given	Booth	2	female given name | given name	Q116866680 | Q16275056
native script	given	Sima	2	male given name | female given name	Q20202206 | Q20202207
native script	given	Samuil	2	male given name (Самуил/Самуіл/Самуїл) | male given name	Q18627549 | Q65258478
native script	given	Yael	2	female given name | female given name	Q104409736 | Q8046631
native script	given	MARY	2	unisex given name | female given name	Q112169711 | Q734578
native script	given	Miho	2	male given name | undifferentiated Japanese kana female given name (みほ)	Q101413235 | Q1932885
native script	given	Emi	2	undifferentiated Japanese kana female given name (えみ) | female given name	Q3052189 | Q93684133
native script	given	Kadri	2	unisex given name | female given name	Q42666027 | Q43182812
native script	family	Lvov	1	family name (Львов) | family name	Q109560709 | Q4270991
native script	family	Da Costa	1	family name | family name	Q23038711 | Q63677459
native script	family	Eig	1	family name (Эйг) | family name	Q24953143 | Q37442382
native script	family	Nußbaum	1	family name | family name	Q30106376 | Q83500875
native script	family	Kagan	1	family name (Каган) | family name	Q130349679 | Q16395510
native script	family	Glass	1	family name | family name	Q16870200 | Q57249851
native script	family	Pan	1	family name | Chinese family name (潘)	Q106254004 | Q4344508
native script	family	Koma	1	Japanese family name (高麗) | family name	Q138351427 | Q36874628
native script	family	Ono	1	Japanese family name (小野) | family name	Q19797955 | Q68518388
native script	family	Akita	1	Japanese family name (秋田) | family name	Q26203667 | Q4701219
native script	family	Ōta	1	family name | Japanese family name (太田)	Q21487299 | Q26001278
native script	given	Irit	1	female given name | female given name (אירית) | (עירית) female given name	Q133190824 | Q67130833 | Q67130875
native script	given	FRANCIS	1	male given name | female given name	Q1441346 | Q68721284
native script	given	Orla	1	female given name | male given name	Q16290886 | Q23308522
native script	given	Koos	1	given name | male given name	Q18609462 | Q20817452
native script	given	Lauri	1	female given name | male given name	Q127165196 | Q1303231
native script	given	nan	1	Chinese given name (楠) | unisex given name	Q104374131 | Q21143366
native script	given	Torun	1	male given name | female given name	Q20817465 | Q30086406
native script	given	AruNa	1	female given name | female given name (अरुणा)	Q139586010 | Q47531213
native script	given	Kimon	1	male given name | male given name (Κίμων)	Q20000450 | Q98534695
native script	given	JAYA	1	female given name (जया) | unisex given name	Q47531335 | Q60220482
native script	given	Olli	1	female given name | male given name	Q111684697 | Q18760926
native script	given	Rada	1	female given name | female given name (Рада)	Q12799723 | Q4387093
native script	given	Zoey	1	female given name | given name	Q18131049 | Q8074097
native script	given	Dallas	1	male given name | female given name	Q18620245 | Q71198965
native script	given	rada	1	female given name | female given name (Рада)	Q12799723 | Q4387093
native script	given	ARUNA	1	female given name | female given name (अरुणा)	Q139586010 | Q47531213
native script	given	JEAN	1	female given name | male given name	Q4160311 | Q7521081
native script	given	FitzGerald	1	given name | male given name	Q107636803 | Q44762720
native script	given	ring	1	given name | Korean given name element (링)	Q104531201 | Q69508653
native script	given	Fitzroy	1	male given name | male given name	Q21079620 | Q92240617
native script	given	Elisheva	1	female given name | female given name (אלישבע)	Q20000332 | Q32179065
native script	given	lela	1	female given name | female given name (Λέλα)	Q12754501 | Q97932925
native script	given	BEN	1	Chinese given name (本) | Chinese given name (贲 / 賁) | male given name	Q104520754 | Q122749982 | Q816407
native script	given	AVRAHAM	1	male given name | male given name (אברהם)	Q2874494 | Q50582778
native script	given	ANDRE	1	female given name | male given name	Q137169687 | Q16274896
native script	given	Spiridon	1	male given name (Спиридон) | male given name	Q18978434 | Q21148522
native script	given	Georgy	1	male given name (Георгий) | male given name	Q31044372 | Q53561878
native script	given	JOhn	1	 | male given name	Q104552334 | Q4925477
native script	given	Mare	1	male given name | female given name	Q12754900 | Q20523902
native script	given	francis	1	male given name | female given name	Q1441346 | Q68721284
native script	given	Faina	1	female given name | female given name (Фаина)	Q138610425 | Q4480548
native script	given	naftali	1	male given name | male given name (נפתלי)	Q11788996 | Q29042890
native script	given	Aruna	1	female given name | female given name (अरुणा)	Q139586010 | Q47531213
native script	given	HALIM	1	 | male given name	Q122207021 | Q1571140
native script	given	Keiko	1	Japanese female given name (慶子) | undifferentiated Japanese kana female given name (けいこ) | female given name	Q136793432 | Q928986 | Q96652916
native script	given	Tomi	1	male given name | female given name	Q11898010 | Q96654648
native script	given	Tamiko	1	Japanese female given name (多美子) | Japanese female given name (民子) | female given name	Q133819655 | Q133819661 | Q3980620
native script	given	Mai	1	female given name نانسي | female given name | undifferentiated Japanese kana female given name (まい)	Q16278716 | Q22969612 | Q27055880
no description	given	Barthélemy	2	 | male given name	Q122232134 | Q17782076
no description	given	Barthélemy	1	 | male given name	Q122232134 | Q17782076
other	given	Abba	33	male given name | unisex given name	Q4663625 | Q65089281
other	given	Salamah	24	male given name | unisex given name	Q116365265 | Q64681698
other	given	Salmon	13	given name | male given name	Q101212580 | Q112678335
other	given	Devlet	7	Turkish given name | female given name	Q106451026 | Q115857725
other	given	Graça	6	female given name | given name	Q115143938 | Q21286074
other	given	Wing	5	unisex given name | male given name	Q10720261 | Q96654193
other	given	Harper	5	male given name | unisex given name	Q17505775 | Q3783460
other	given	Eustatius	4	given name | male given name	Q122227703 | Q130449096
other	given	Mackay	3	male given name | given name	Q105437204 | Q47073055
other	given	Bird	3	male given name | unisex given name	Q108258090 | Q17509982
other	given	Macan	3	given name | male given name	Q94032839 | Q96653553
other	given	Hull	3	given name | male given name	Q111048105 | Q112128835
other	given	pike	3	female given name | given name	Q107654750 | Q97791732
other	given	Dewitt	3	unisex given name | male given name	Q51717640 | Q98401421
other	given	Otter	3	given name | male given name	Q110943486 | Q112155701
other	given	DeWitt	3	unisex given name | male given name	Q51717640 | Q98401421
other	given	Aba	3	given name | female given name	Q102227914 | Q479129
other	given	Gotfried	3	male given name | given name	Q114683782 | Q21146866
other	given	Morley	3	female given name | given name	Q135473046 | Q45368654
other	given	Ziyad	3	male given name | given name	Q64681720 | Q84177389
other	given	FitzWilliam	2	given name | male given name	Q107636927 | Q63991914
other	given	Slocum	2	given name | male given name	Q105450434 | Q121745055
other	given	Stevenson	2	given name | male given name	Q104922931 | Q124305636
other	given	Hebe	2	female given name | given name	Q114656873 | Q43536241
other	given	McLean	2	male given name | masculine given name	Q110772700 | Q113128085
other	given	KARNA	1	given name | female given name	Q10543969 | Q123759410
other	given	ABA	1	given name | female given name	Q102227914 | Q479129
other	given	Wirt	1	unisex given name | male given name	Q110845474 | Q122819485
other	given	Murrough	1	male given name | given name	Q115305232 | Q24969691
other	given	Fitzwilliam	1	given name | male given name	Q107636927 | Q63991914
other	given	Hermon	1	male given name | given name	Q122958951 | Q21020443
other	given	Uvedale	1	male given name | given name	Q113636520 | Q96207586
other	given	Marsden	1	male given name | given name	Q104265037 | Q52186513
other	given	Lawrie	1	male given name | given name	Q123471133 | Q85676676
other	given	Bigelow	1	male given name | given name	Q123614910 | Q27976222
same romanisation	given	María	3710	male given name | female given name	Q109785195 | Q18088640
same romanisation	given	Juan	2810	Chinese given name (娟) | male given name	Q110700065 | Q475210
same romanisation	given	Marie	2584	undifferentiated Japanese kana female given name (まりえ) | unisex given name	Q106674406 | Q632104
same romanisation	given	Anne	2578	male given name | female given name	Q47860848 | Q564684
same romanisation	given	de	1997	Korean given name element 데 | Chinese given name (德)	Q69523565 | Q94627855
same romanisation	given	José	1676	male given name | Portuguese male given name | Spanish male given name	Q2190619 | Q29043256 | Q29043257
same romanisation	given	Robert	1318	male given name (Роберт) | male given name	Q22569259 | Q4927937
same romanisation	given	Abraham	1183	male given name | male given name (Авраамий)	Q17997608 | Q4055996
same romanisation	given	Jose	1020	male given name | female given name	Q19801116 | Q66827733
same romanisation	given	Manuel	864	male given name | male given name (Μανουήλ)	Q11113719 | Q98497161
same romanisation	given	Martin	760	male given name (Мартин) | male given name	Q118322765 | Q18002399
same romanisation	given	Simon	752	male given name (Σίμων) | male given name	Q25711755 | Q4117588
same romanisation	given	Andreas	650	male given name | male given name (Ανδρέας)	Q4926263 | Q87263878
same romanisation	given	Albert	630	male given name (Альберт) | male given name	Q38040796 | Q577011
same romanisation	given	Hannah	620	female given name | female given name (חנה)	Q1554377 | Q39138052
same romanisation	given	bin	579	Chinese given name (彬) | Chinese given name (賓 / 宾) | Chinese given name (斌)	Q104253346 | Q106992786 | Q66361456
same romanisation	given	Esther	516	male given name | female given name	Q21401547 | Q837839
same romanisation	given	Elvira	435	female given name (Эльвира) | female given name	Q107452025 | Q3051870
same romanisation	given	Michael	407	male given name (Μιχαήλ) | male given name (מיכאל); Hebrew language	Q22809771 | Q29473151
same romanisation	given	Ali	385	Arabic male given name | male given name	Q11905003 | Q96652184
same romanisation	given	Margarita	358	female given name | female given name (Маргарита) | female given name (Μαργαρίτα)	Q6760124 | Q90921226 | Q98544741
same romanisation	given	Anton	342	male given name (Антон) | male given name	Q35663473 | Q5401576
same romanisation	given	Ida	334	female given name (Ида) | female given name	Q12632824 | Q644599
same romanisation	given	Sophia	316	female given name | female given name (Σοφία)	Q2302787 | Q97959398
same romanisation	given	Hanna	316	female given name | female given name (Ганна)	Q15729076 | Q19664967
same romanisation	given	De	309	Korean given name element 데 | Chinese given name (德)	Q69523565 | Q94627855
same romanisation	given	Sofia	300	female given name | female given name (София)	Q18201520 | Q22809759
same romanisation	given	Moshe	299	male given name (Моше) | male given name | male given name (משה)	Q132732593 | Q20220089 | Q33093241
same romanisation	given	Christina	290	female given name | female given name (Χριστίνα)	Q1083457 | Q84472200
same romanisation	given	Aron	289	male given name | male given name (Арон)	Q18410868 | Q56473930
same romanisation	given	Chén	287	Chinese given name (諶 / 谌) | Chinese given name (陳 / 陈)	Q124668673 | Q124818752
same romanisation	given	Mari	272	Japanese female given name (茉莉) | male given name | female given name	Q138028596 | Q16421882 | Q3195783
same romanisation	given	Christopher	263	male given name | male given name (Κρίστοφερ)	Q1084472 | Q97823922
same romanisation	given	Emil	263	male given name (Эмиль) | male given name	Q136772288 | Q989320
same romanisation	given	Eli	238	Chinese given name (莪利) | unisex given name	Q111537539 | Q1328791
same romanisation	given	Eliza	236	female given name | female given name (Ελίζα)	Q858305 | Q98550199
same romanisation	given	Ahmad	226	male given name (أحمد) | male given name	Q406294 | Q48980148
same romanisation	given	Andrea	223	male given name | female given name | unisex given name	Q18177306 | Q18177321 | Q493293
same romanisation	given	Isabella	218	female given name (Изабелла) | female given name	Q109737087 | Q16290308
same romanisation	given	Gōng	201	Chinese given name (恭) | Chinese given name (龔 / 龚)	Q106868718 | Q125217620
same romanisation	given	Aaron	199	male given name (אהרון) | male given name	Q66615640 | Q905085
same romanisation	given	Auguste	195	male given name | female given name | unisex given name	Q18010311 | Q28053272 | Q65104428
same romanisation	family	Landau	188	family name | family name (‏לנדאו)	Q1127822 | Q21286163
same romanisation	given	Samson	157	male given name | male given name (שמשון)	Q2217694 | Q33127830
same romanisation	given	Inga	156	female given name | female given name (Инга)	Q1568006 | Q97671765
same romanisation	given	Edvard	151	male given name (Эдвард) | male given name	Q16721684 | Q18130926
same romanisation	given	Yosef	150	male given name | male given name (יוסף)	Q18608492 | Q29051199
same romanisation	given	Shlomo	146	male given name | male given name (שלמה)	Q21069189 | Q29017247
same romanisation	given	Adam	144	male given name (Адам) | male given name | male given name (Αδάμ)	Q104007147 | Q347181 | Q97958847
same romanisation	given	Isaak	141	male given name (Исаак) | male given name	Q39033826 | Q581723
same romanisation	given	da	138	Chinese given name (大) | Chinese given name (達 / 达)	Q96251258 | Q97640111
same romanisation	given	Regina	130	female given name (Регина) | female given name	Q27678214 | Q656698
same romanisation	given	Elena	130	female given name | female given name (Έλενα)	Q1209486 | Q56449170
same romanisation	given	Luís	130	male given name | female given name	Q19801238 | Q67099865
same romanisation	given	Ephraim	119	male given name | male given name (אפרים)	Q16275698 | Q29038907
same romanisation	given	Eduard	118	male given name (Эдуард) | male given name	Q17190238 | Q18031774
same romanisation	given	Eleonora	111	female given name (Елеонора) | female given name	Q124409559 | Q18759077
same romanisation	family	Tu	104	Chinese family name (涂) | Chinese family name (屠)	Q11151574 | Q4464775
same romanisation	given	Leon	103	male given name | male given name (Леон) | male given name (Λέων)	Q37080 | Q42373828 | Q98467842
same romanisation	given	Lena	98	female given name | female given name (Λένα)	Q654581 | Q97932922
same romanisation	given	Teodor	92	male given name (Теодор) | male given name	Q58215151 | Q7701015
same romanisation	family	Strauss	88	family name | family name	Q10450274 | Q15731389
same romanisation	given	Teodora	87	female given name | female given name (Теодора)	Q221215 | Q58214565
same romanisation	family	Lee	80	Korean family name (이) | family name	Q11983535 | Q12794688
same romanisation	given	Zvi	75	male given name | male given name (צבי)	Q231342 | Q55362931
same romanisation	given	Marion	75	female given name | male given name | unisex given name	Q18686588 | Q18689525 | Q56292415
same romanisation	given	Simeon	72	male given name (Симеон) | male given name	Q123248038 | Q1557
same romanisation	given	Anastasia	72	female given name (Анастасия) | female given name	Q39316079 | Q781387
same romanisation	given	Fatima	70	female given name | female given name (فاطمة)	Q221839 | Q99895693
same romanisation	family	de Sousa	69	family name | family name	Q55739047 | Q99908123
same romanisation	given	Asa	68	undifferentiated Japanese kana given name (あさ) | unisex given name	Q112042332 | Q3472263
same romanisation	given	Valdemar	67	male given name (Вальдемар) | male given name	Q107233500 | Q19966563
same romanisation	given	Karina	67	female given name | female given name (Карина)	Q16430098 | Q84912202
same romanisation	given	Anthony	65	male given name | male given name (Антоний)	Q12241622 | Q62054042
same romanisation	given	Umar	65	male given name (عمر) | male given name	Q11955913 | Q19817027
same romanisation	given	Yehoshua	62	male given name (יהושע) | male given name	Q105556721 | Q19688798
same romanisation	given	Shimon	61	male given name | male given name (שמעון)	Q20002013 | Q28811668
same romanisation	family	Cohen	60	family name | family name (כהן)	Q1158586 | Q66723764
same romanisation	given	Roman	55	male given name (Роман) | male given name	Q30724063 | Q933726
same romanisation	given	Emilia	55	female given name | female given name (Αιμιλία)	Q1495413 | Q97303762
same romanisation	given	Mae	53	female given name | Korean given name element (매)	Q2684993 | Q69508865
same romanisation	family	Tachibana	52	Japanese family name (橘) | Japanese family name (立花)	Q16884158 | Q26216117
same romanisation	given	Stefan	51	male given name (Стефан) | male given name	Q28916471 | Q4927128
same romanisation	given	Vladimir	50	male given name (Владимир) | male given name	Q2253934 | Q47200243
same romanisation	given	Olena	48	female given name (Олена) | female given name	Q56405735 | Q7086343
same romanisation	given	Alexios	47	male given name | male given name (Αλέξιος) | male given  name (Αλέξιος)	Q61741983 | Q97932951 | Q98634941
same romanisation	given	Angelina	46	female given name | female given name (Ангелина)	Q1097621 | Q47537900
same romanisation	given	Jaime	46	male given name | female given name	Q2605834 | Q76435961
same romanisation	given	Bin	46	Chinese given name (彬) | Chinese given name (賓 / 宾) | Chinese given name (斌)	Q104253346 | Q106992786 | Q66361456
