qid,geni_id,label,country
Q106299615,6000000185585091365,Mohamed Nassim Boushaki,Algeria
Q106302320,6000000013986159216,Charles Robert Engel,Canada
Q106313060,6000000185569791173,Abdenour Boushaki,Algeria
Q106323657,6000000037961794020,Panu Hakola,Finland
Q106334,6000000068826704167,August von Borries,Kingdom of Prussia
Q106364827,6000000134033312660,Adolf Krýsa,
Q106399,6000000013854221653,John Howard Northrop,United States
Q1064775,6000000025126605066,Charles Heidelberger,United States
Q1065181,6000000145352463860,Francesco Selmi,Kingdom of Italy
Q1065548,6000000039126419225,Charles Montague Bakewell,United States
Q1065713,6000000075962834013,Charles Poor Kindleberger,United States
Q1065718,6000000144189103899,Charles Palache,United States
Q1065879,6000000164272598964,Charles A. Reich,United States
Q1066129,6000000000531108060,Charles Stein,United States
Q106620801,6000000001091890806,Antonio Benítez de Lugo,Spain
Q106624,6000000014372751556,Ahmed Zewail,Egypt
Q106653,6000000000328962774,Kurt Schütte,Germany
Q106699,6000000014474920229,Martin Chalfie,United States
Q1067254,6000000085650221950,Charlotte Leubuscher,Germany
Q106738,6000000014417761286,John Fenn,United States
Q106820,6000000026746530595,Adolf Wüllner,German Empire
Q106908,6000000075198658821,August Frickenhaus,Germany
Q106912,6000000026381310887,Karl Friedrich August Nobbe,Kingdom of Saxony
Q106940896,6000000098246795497,Felix Klezl-Norberg,Austria
Q106966,6000000041073581850,Heinrich Löhe,Germany
Q106980949,6000000175833056840,Merja Kinnunen,Finland
Q107025,6000000179669800821,Karl Walcker,German Empire
Q107033,6000000036681655461,Ernst E. Hirsch,Germany
Q107064616,6000000048759423851,Pierre Morell,United States
Q1070888,6000000029246221756,Chevalier Jackson,United States
Q107165,6000000080653182905,Andreas Sennert,Germany
Q107173607,6000000015169750021,Roman Grengg,Cisleithania
Q107354,6000000018809826350,Otto Schirmer,German Empire
Q107416,6000000040952077244,Martin Lewis Perl,United States
Q107420,6000000150926955821,Sheldon Glashow,United States
Q107422,6000000014248695195,Herbert A. Hauptman,United States
Q107423,6000000030066259976,Ben Roy Mottelson,United States
Q107441,6000000017753048253,Leonid Kantorovich,Soviet Union
Q107462,6000000029371198656,Har Gobind Khorana,British Raj
Q107467287,6000000010145071582,Robert Kauffman,United States
Q107532,6000000010723234822,Karl Fezer,Germany
Q107621702,6000000000191534135,Robert C. Higgy,United States
Q10779983,6000000052526852859,Shan-fu Shen,Republic of China
Q10780100,6000000077978416105,Alois Kolísek,Czechoslovakia
Q107828,6000000015119664273,Hans Herzfeld,Germany
Q1078531,6000000002449490697,Christer Thorn,Sweden
Q1078631,6000000069564736159,Christian Karl Hoffmann,Kingdom of the Netherlands
Q1078772,6000000184675964826,Christian Amynt Liebe,German Empire
Q1078800,6000000068738695888,Christian Arnd,Germany
Q1078839,6000000036881044153,Christian August Vogler,Germany
Q1079150,6000000014487411458,Christian Cappelen,Norway
Q1079252,6000000015701968891,Christian Degn,Germany
Q1079314,6000000042886621425,Christian Donat,Germany
Q1079476,6000000043485545312,Christian Ferdinand Harpprecht,Germany
Q1079579,6000000047977862845,Christian Friedrich Exner,Germany
Q107964,6000000010104080294,Thomas J. Sargent,United States
Q107985330,6000000047386545025,Eitan Bolokan,Israel
Q108056032,6000000085621138847,Efraim Freud,Israel
Q1080669,6000000008596961652,Christian Krafft,Germany
Q108073,6000000016812379981,Max Büdinger,German Empire
Q1080895,6000000025510084533,Christian Ludwig Gerling,Germany
Q108100,6000000006381793331,Alfred Saupe,Germany
Q1081011,6000000156879177850,Antonio Fontanesi,Kingdom of Italy
Q108227,6000000039148821945,Walther Poppelreuter,German Reich
Q1082284,6000000199517237878,Mikhail Gromov,Russian Empire
Q108270814,6000000001471087190,Alfonz Jurčina,Slovakia
Q108279,6000000108538221858,Max Grünhut,United Kingdom
Q108329113,6000000071163634828,Willem Jan Caspers,Kingdom of the Netherlands
Q108352,6000000051178644331,Emil Starkenstein,German Reich
Q1083986,6000000163839916889,Maria Antonietta Macciocchi,Italy
Q108421,6000000025578964617,Wilhelm Friedmann,Austria–Hungary
Q108422008,6000000178095112823,Jan Nico Homan van der Heide,Kingdom of the Netherlands
Q1084605,6000000009263693238,Christoph Bizer,Germany
Q108553,6000000020734160783,Fritz Bamberger,Germany
Q10856291,6000000189094004860,Arnošt Dittrich,Czechoslovakia
Q10856346,6000000015748542840,Arnošt Kraus,Austria–Hungary
Q10856355,6000000065327988852,Arnošt Lamprecht,Czechoslovakia
Q1085760,6000000008768891292,Christoph Scheibler,Germany
Q108601,6000000184271147821,Johann Friedrich Schleusner,Germany
Q108668,6000000088042669964,Heinrich Stromer,Germany
Q108681,6000000092275304906,Friedrich August Ludwig von Burgsdorff,
Q108712608,6000000015190599054,Hugo Pretori,Austria–Hungary
Q108747233,6000000082558198187,Ambroży Lubik,Poland
Q108767,6000000042582891502,Siegmund Salfeld,Germany
Q108830,6000000036757991915,Franz Ferdinand Benary,German Empire
Q108886,6000000000600873651,Harrison Schmitt,United States
Q108915676,6000000002798770937,Emile T. Holley,United States
Q108923787,6000000182696255843,Stefano Lo Russo,Italy
Q1089652,6000000155581514827,Vincenzo Petagna,Kingdom of Naples
Q10899558,6000000029326843023,Liu Ta-Chung,
Q109231830,6000000002821004144,Béla Ruzsonyi,Hungary
Q109307741,6000000105249749050,John Towler,United Kingdom of Great Britain and Ireland
Q109393,6000000091812725828,Christian Heinrich Bünger,Germany
Q109414115,6000000001835279922,Michal Flach,
Q109479,6000000006879478236,Johann Christian Harleß,Germany
Q1095172,6000000037132456851,Clara Ebers,Germany
Q109557890,6000000024822549529,J. Winfield Fretz,United States
Q10956179,6000000187844866837,Jan Stanisław Olbrycht,Poland
Q109570,6000000041968206850,Peter Diamond,United States
Q109648458,6000000076897920875,Anne Elizabeth Bowden McCrary,United States
Q109721,6000000041967967809,Dale T. Mortensen,United States
Q109737,6000000068739969033,Christopher A. Sims,United States
Q109832642,6000000076770678517,Lawrence Abbott,United States
Q109853471,6000000014734637446,Leo Epstein,
Q109854171,6000000024528238930,R. B. H. Gradwohl,United States
Q109913,4706389,Eugen Czaplewski,Germany
Q1099902,6000000014130466091,Clemens Bewer,German Reich
Q1099907,6000000002765848076,Clemens Emin Bosch,Germany
Q109991,6000000180403346864,Margarethe Siems,Germany
Q1100104,6000000028065642088,Clemens Theodor Perthes,Germany
Q1100833,6000000122240065922,August Adriaan Pulle,Kingdom of the Netherlands
Q110089174,6000000042860762952,József Galántai,Hungary
Q1101493,6000000025113215544,Gyula Jordán,Hungary
Q1102236,6000000111818452833,Lajos Jurányi,Austrian Empire
Q11023994,6000000000756148031,Miloš Đurić,Austria–Hungary
Q110307906,6000000013227117323,John Lyle Campbell,United States
Q110395,6000000042949705410,Gustav Becking,Germany
Q110614,6000000024195648138,Christoph Pezel,Germany
Q110634,6000000010324648392,Jacob Freudenthal,German Empire
Q110698,6000000183052186840,Peter Munz,Germany
Q1107070,6000000094315061903,Balázs Kenyeres,Hungary
Q110725515,5236821434010136681,Charles Osborne,United States
Q110740,6000000044658784013,Martin Ostwald,Germany
Q1107738,6000000053121490934,Árpád Alajos Kerékgyártó,Hungary
Q1108145,6000000177324783881,Antal Kherndl,Hungary
Q110852256,6000000177567737822,Norman-William Trenholme,Canada
Q110881,6000000068738678868,Josua Arnd,Mecklenburg-Güstrow
Q1109076,6000000023075692965,Julius Wahle,Austria
Q110911081,6000000046869458870,Bernard M. Abraham,United States
Q110911209,6000000029476204226,Robert M. Hexter,United States
Q110929724,6000000127135810004,Adalberto Menezes de Oliveira,Brazil
Q110930,6000000014323104237,Robert Curl,United States
Q110935,6000000014200068558,William Lipscomb,United States
Q110942,6000000014404493912,Alan MacDiarmid,New Zealand
Q110952,6000000014189933496,Stanford Moore,United States
Q110957,6000000014418260814,Kurt Wüthrich,Switzerland
Q110968867,6000000008563175966,Moshe Lubin,
Q11098560,6000000021552839336,Ilse Lehiste,United States
Q11102201,6000000061175454881,Jack Kiefer,United States
Q1110466,6000000182725587841,Carl Lebrecht Krutzsch,Germany
Q1110864,6000000034233706988,Sidney Geist,United States
Q1111319,6000000000099741543,Ernst Levy,Germany
Q111190,6000000014308315914,F. Sherwood Rowland,United States
Q1111955,6000000168709170825,George Grafton Wilson,United States
Q111330,6000000004096290838,Eugen Oberhummer,German Reich
Q111348,6000000179940976840,Johann Reinhard Blum,German Empire
Q11135787,6000000032377225955,Józef Siemiradzki,Second Polish Republic
Q11138,6000000080158400428,Samuel Alito,United States
Q111388,6000000030281844924,August von Weckherlin,Germany
Q1114308,6000000175758841939,Olivér Brachfeld,Hungary
Q1115178,6000000177463770840,Gustav Schmahl,Germany
Q111524984,6000000109741693968,Philip Fischel Vineberg,Canada
Q1116470,6000000060180677000,José María Valverde,Spain
Q1117138,6000000085572835913,Edward Albert Sharpey-Schäfer,United Kingdom
Q111795968,6000000010734877789,Richard Imhofer,
Q1118065,6000000073239855908,András Komáromy,Hungary
Q111820892,6000000037028949656,Hugo Müller,
Q1118972,6000000156882619948,Giorgio Federico Ghedini,Italy
Q111930,6000000000301019019,Julius Weingarten,German Empire
Q111999,6000000000300602589,Franz Mertens,Austria
Q112074739,6000000002279056003,Harold Edelman,United States
Q112176,6000000137660870825,Ernst von Glasersfeld,United States
Q11219781,6000000076214787070,Bohumil Šmída,Czechoslovakia
Q112227,6000000179358639851,Heinrich von Srbik,Austria
Q112261,6000000181000369826,Heinrich Johann Nepomuk von Crantz,Habsburg monarchy
Q11238108,6000000125272946835,Ģederts Eliass,Russian Empire
Q112446682,4559417014280067796,B. Tabarrok,Canada
Q112508,6000000167324238953,Wolfgang Gröbner,Austria
Q112511694,6000000168811227432,Miloš Poláček,Czechoslovakia
Q112519546,6000000218545942963,,Russian Empire
Q112533,6000000037994713623,Norbert Jokl,Austria
Q112545454,6000000001672745017,Amelia Mukamel Glaser,
Q112570,6000000021136614958,Otto Redlich,Austria
Q112596,6000000002802344105,Stefan Meyer,Austria
Q112671851,6000000008375903372,Alvin I. Krasna,United States
Q112679104,6000000072175818910,Paul Van den Bulck,Belgium
Q112690,6000000180363227826,Friedrich Alexander Bischoff,Austria
Q1126921,6000000196715104883,Conrad Mel,Germany
Q1127360,6000000008714765100,László Ladó,Hungary
Q112778,6000000078344221981,Herbert Mitscha-Märheim,Austria
Q112794,5066155777890126219,Ferenc Schafarzik,Austria
Q1127965,6000000041517391114,Constantin Uhde,German Empire
Q112868027,6000000010061268775,Solomon D. Erulkar,United States
Q1128970,6000000024789984333,Béla Lengyel,Hungary
Q112909,6000000002803026739,Leo Gross,United States
Q1129529,6000000040921678091,Conyers Herring,United States
Q11300012,6000000163750051202,Guido Horn d'Arturo,Austria–Hungary
Q113010,6000000010432307538,Klara Blum,Austria–Hungary
Q1130323,6000000015798992513,Sándor Lipthay,Hungary
Q113042,6000000009508497817,Alfred Verdross,Austria
Q113081,6000000113121757025,Walter Munk,United States
Q113157830,6000000020210470141,Richard Webster,United States
Q113188,6000000027361373652,Fritz Baade,Germany
Q113287469,6000000002518568511,James F. Bell,United States
Q1133521,6000000069296692275,Cornelis de Boer,Kingdom of the Netherlands
Q1133570,6000000070153909853,Cornelis Jacobus Gorter,Kingdom of the Netherlands
Q1133624,6000000175915533993,Cornelis de Jager,Kingdom of the Netherlands
Q1133637,381263539340012205,Cornelis van Eck,Netherlands
Q1133758,6000000037043637370,Cornelius Cardew,United Kingdom
Q113399250,6000000040578626881,Zecharia Kallai,Israel
Q113410183,6000000026577597068,Mary Manson Nimitz,United States
Q113504251,6000000002866921022,Lloyd E. Berry,United States
Q1135215,6000000166673082935,Corradino D'Ascanio,Italy
Q1135252,6000000014149536069,Corrado Segre,Kingdom of Italy
Q113659,6000000076887945004,Leopold Kohr,Austria
Q113768,6000000018445790072,Jakob Eduard Polak,Austrian Empire
Q113817,6000000014946154679,Justus Bier,Germany
Q114134064,6000000001677822822,Avraham Warszawski,Israel
Q114191,6000000069988689021,Willem Jozef Andreas Jonckbloet,Kingdom of the Netherlands
Q114228469,6000000007664044133,Sigurd Arentsen,Chile
Q114277,6000000012827873428,Johann Paul Karplus,Austria
Q114314,6000000001915157204,Percival Bradshaw Fay,United States
Q114557,6000000022892331202,Rudolf Deman,Austria
Q114593,6000000182331887822,Elfriede Feudel,Germany
Q114605,6000000179287881864,Eduard Goldstücker,Czech Republic
Q114707,6000000013032113657,Viktor Mataja,Austria
Q114785222,6000000016384959048,Edward Powers,United States
Q114791,6000000076884837492,Balthasar Kaltner,
Q114840235,6000000018779980522,Paul Griminger,Austria
Q1148610,6000000024899800844,Cyril Domb,United Kingdom
Q114867,6000000011123719215,Jerome Bruner,United States
Q114881365,6000000000851745139,Aage Kragelund,Kingdom of Denmark
Q1148970,6000000035824937066,Cyrus Locher,United States
Q114993,6000000178405440862,Karl von Ettmayer,Austria
Q115000,6000000014027976220,Heinrich Zimmern,Germany
Q115083,6000000011379649616,Jaak Panksepp,United States
Q1151030,6000000074354042105,Cölestin Wolfsgruber,Austria
Q115164,6000000024539517083,Ludwig Heinrich Heydenreich,Germany
Q115171826,6000000010273274124,Lester C. Mark,United States
Q115205300,6000000068479909123,Lazar Čolak-Antić,
Q115260437,6000000007624941442,Marion E. Hodes,United States
Q115342,6000000081925876191,Werner Marx,Germany
Q115350,6000000000941792171,Helmut Hirsch,Germany
Q115368705,6000000045324298107,Eero Johannes Valovirta,
Q115470,6000000029295498417,Walter Rudolf Hess,Switzerland
Q1155918,6000000047232272821,Wolfgang Friedrich von Mülinen,Switzerland
Q115621916,6000000003529636152,Yury Karpeisky,Soviet Union
Q1156224,6000000090943751904,Georg Huth,Kingdom of Prussia
Q1156878,6000000007159576671,Joseph Polchinski,United States
Q115741,6000000075789157935,Jean-Daniel Colladon,France
Q115769,6000000095563417883,Marcel Grossmann,Switzerland
Q1159840,6000000179400608844,Adolf Lukáts,Hungary
Q1159848,6000000049836696865,Sándor Lumniczer,Hungary
Q1159868,6000000027897061821,Daniel Aaron,United States
Q116033544,3025177,Paul W. Cherington,United States
Q1160676,6000000007278898854,Gábor Lükő,Hungary
Q116072,6000000177165018823,Friedrich Miescher,Switzerland
Q1161058,6000000016984221806,Daniel Harvey Hill,United States
Q116176,6000000000590852885,Ernst Stueckelberg,Switzerland
Q1162417,6000000040586803372,Daniel Runge,Germany
Q1163148,6000000077947581915,Daniel Wilhelm Moller,Hungary
Q1163301,6000000091380004097,Daniel Fellenberg,Switzerland
Q116464,6000000050814705191,James Stavridis,United States
Q1164657,6000000047322364824,Danny K. Davis,United States
Q1165134,4024476043400078679,Maria Grzegorzewska,Poland
Q11653716,6000000199918833823,Saburō Hasegawa,Japan
Q11666870,6000000185603190108,,Soviet Union
Q1166914,6000000071891164308,Heinrich Hackmann,Germany
Q116815,6000000000303671902,Michel Plancherel,Switzerland
Q11682269,5139381100260036721,Guillermo Blanco Martínez,Chile
Q116822844,6000000007251415641,Beatrice Lashin Friedland,United States
Q11686154,6000000151854357821,Andrzej Żarnecki,Poland
Q11686498,6000000061111350332,Juan Iglesias Santos,Spain
Q11688564,6000000017113407855,Bolesław Rosiński,Poland
Q116927,6000000041190364845,Philipp Hildebrand,Switzerland
Q116960,6000000040360761859,Albert Eschenmoser,Switzerland
Q11697848,6000000136783038551,Feliks Szlachtowski,Austria–Hungary
Q11698671,6000000015995643669,Franciszek Longchamps,Poland
Q11699635,6000000027432999774,Georg Ludwig Dreyfus,
Q11703303,6000000038521072416,Rodolfo Tálice,Spain
Q1170763,6000000149610755892,John Graham Kerr,United Kingdom
Q11716911,6000000040653366225,Jan Amborski,Congress Poland
Q11718499,6000000220474463849,Jan Nepomucen Fijałek,Poland
Q11718554,6000000017229692188,Jan Oderfeld,Poland
Q11718844,6000000029506999251,Jan Rosner,Poland
Q11719098,6000000081501623142,Jan Sten,Congress Poland
Q11725450,6000000058726115493,Jerzy Stefan Langrod,Poland
Q11725661,6000000011971446996,Jerzy Doerffer,Poland
Q11725748,6000000149824938036,Jerzy Zegalski,Poland
Q11727784,6000000084656765821,Johann Wagner,
Q11729065,6000000102336964034,Julian Makowski,Poland
Q11729844,6000000005951163235,Józef Albin Herbaczewski,Lithuania
Q11730003,6000000010373705797,Józef Buszko,Poland
