geni_id,qid,geni_cjk_name,wikidata_ja,wikidata_zh,wikidata_ko,wikidata_en
6000000075344490914,Q45421266,懿 深州安平 | 懿 深州安平 一,,崔懿,,Cui Yi
6000000075344491853,Q5192727,植 博陵安平,,崔植,,Cui Zhi
6000000075344496824,Q22813854,讚 博陵安平,,崔讚,,Cui Zan
6000000075344500848,Q26197263,遄 博陵安平,,崔遄,,Cui Chuan
6000000075344501867,Q45421253,處仁 博陵安平,,崔處仁,,Cui Churen
6000000075344506277,Q18457407,順 河南洛陽,元順,元顺,,Yuan Shun
6000000075344513881,Q5192685,沆 內融 博陵安平 | 沆 內融 博陵安平 一,,崔沆,,Cui Hang
6000000075344529826,Q45419407,茂 深州安平 | 茂 深州安平 一,,崔茂,,Cui Mao
6000000075344530876,Q11477184,謙 士逊 博陵安平 | 謙 士逊 博陵安平 二,崔謙,崔谦,,Cui Qian
6000000075344540821,Q26197264,懿 博陵安平,,崔懿,,Cui Yi
6000000075344542377,Q65803817,河南洛陽,,于氏,,Yu Shi
6000000075344544821,Q45419396,鬱 博陵安平 | 鬱 博陵安平 二,,崔郁,,Cui Yu
6000000075344549896,Q45420178,暟 博陵安平 | 暟 博陵安平 二,,崔皚,,Cui Yi
6000000075344550120,Q45436461,弘宗 子中 范陽方城,,張弘宗,,Zhang Hongzong
6000000075344562892,Q11477166,彭 博陵安平 | 彭 博陵安平 三,崔彭,崔彭,,Cui Peng
6000000075344571068,Q45419522,泰 清河東武城,崔泰,崔泰,,Cui Tai
6000000075344573854,Q45421322,迅 深州安平 | 迅 深州安平 三,,崔迅,,Cui Xun
6000000075344581827,Q45421262,興宗 深州安平,,崔兴宗,,Cui Xingzong
6000000075344584117,Q45536810,濛 河南洛陽,,張濛,,Zhang Meng
6000000075344590487,Q45443936,范陽 | 子獻 范陽,,盧,,Lu
6000000075344595913,Q45493483,玄亮 景徹 博陵安平,,崔玄亮,,Cui Xuanliang
6000000075344599131,Q45419626,俊 范陽方城,,張俊,,Zhang Jun
