geni_id	qid	property	ours	theirs	apart	their_referenced	their_rank	their_other_values
6000000052945815832	Q134986444	P22	Q134986001	Q134985471	structural	no	normal	0
6000000000321789062	Q134986450	P22	Q134986449	Q134985816	structural	no	normal	0
6000000129473617878	Q134986453	P22	Q134986452	Q778550	structural	no	normal	0
6000000129473617878	Q134986453	P25	Q134986092	Q2869609	structural	no	normal	0
6000000129473639847	Q134986454	P22	Q134986452	Q778550	structural	no	normal	0
6000000129473639847	Q134986454	P25	Q134986092	Q2869609	structural	no	normal	0
6000000008050887319	Q134986461	P22	Q134986141	Q7326	structural	no	normal	0
6000000008050887319	Q134986461	P25	Q134986457	Q101402688	structural	no	normal	0
6000000152671926848	Q134986463	P22	Q134986141	Q7326	structural	no	normal	0
6000000152671926848	Q134986463	P25	Q134986457	Q101402688	structural	no	normal	0
6000000152671926877	Q134986464	P22	Q134986141	Q7326	structural	no	normal	0
6000000152671926877	Q134986464	P25	Q134986457	Q101402688	structural	no	normal	0
6000000008780522267	Q134986470	P22	Q134986306	Q7326	structural	no	normal	0
6000000008780522267	Q134986470	P25	Q134986469	Q101402688	structural	no	normal	0
6000000009533008858	Q134986473	P22	Q134986323	Q134985942	structural	no	normal	0
6000000009533008858	Q134986473	P25	Q134986472	Q133284526	structural	no	normal	0
6000000005024494891	Q134986475	P22	Q134986474	Q141791	structural	no	normal	0
6000000005024494891	Q134986475	P25	Q134986329	Q134981976	structural	no	normal	0
6000000012228920656	Q134986477	P22	Q134986337	Q134986339	structural	no	normal	0
6000000012228920656	Q134986477	P25	Q134986476	Q134985843	structural	no	normal	0
6000000012428190511	Q134986478	P22	Q134986337	Q134986339	structural	no	normal	0
6000000012428190511	Q134986478	P25	Q134986476	Q134985843	structural	no	normal	0
6000000031409185077	Q134986483	P22	Q5860568	Q5860561	structural	no	normal	0
6000000031409185077	Q134986483	P25	Q134986480	Q116004576	structural	no	normal	0
6000000031409292021	Q134986484	P22	Q5860568	Q5860561	structural	no	normal	0
6000000031409292021	Q134986484	P25	Q134986480	Q116004576	structural	no	normal	0
6000000000300820562	Q134986487	P22	Q134986345	Q5860561	structural	no	normal	0
6000000000300820562	Q134986487	P25	Q134986486	Q134986353	structural	no	normal	0
6000000039812665318	Q134986488	P22	Q134986345	Q5860561	structural	no	normal	0
6000000039812665318	Q134986488	P25	Q134986485	Q134986353	structural	no	normal	0
6000000003493012136	Q134986494	P22	Q134986491	Q5860561	structural	no	normal	0
