qid	geni_id	en_label	enwiki	zhwiki	family_properties	sitelinks
Q45403680	6000000074768854178	Li Deying	no	no	P22,P40	0
Q45403682	6000000074768912032	Li Chun	no	no	P22,P40	0
Q45403683	6000000074768666103	Li Xun	no	no	P22	0
Q45403684	6000000074768832005	Li Fuyan	no	no	P40	0
Q45403686	6000000074768916030	Li Shuyan	no	no	P22,P40	0
Q45403688	6000000074768841072	Li Zao	no	no	P22,P40	0
Q45403689	6000000074768997963	Li Shanglao	no	no	P22,P25	0
Q45403692	6000000074768695077	Wang Renjian	no	no	P22,P25	0
Q45403693	6000000074769111847	Wang Zhen	no	no	P40	0
Q45403694	6000000074769166861	Wang Zu	no	no	P22,P40	0
Q45403697	6000000074769071907	Wang Lianghan	no	no	P22,P40	0
Q45403700	6000000074688795847	Zhao Zonghui	no	no	P22,P40	0
Q45403704	6000000074688511982	Zhao Zhongzao	no	no	P22,P40	0
Q45403706	6000000074688498058	Zhao Shiyin	no	no	P22,P40	0
Q45403708	6000000074688586931	Zhao Bukui	no	no	P22,P25	0
Q45403710	6000000074768844159	Xie Jie	no	no	P40	0
Q45403712	6000000074768728141	Xie Dun	no	no	P22,P40	0
Q45403713	6000000074768931995	Xie Xing	no	no	P22,P40	0
Q45403715	6000000074768338346	Xie Hong	no	no	P22,P25	0
Q45403717	6000000075062217831	Zhao Zhongbi	no	no	P22,P40	0
Q45403719	6000000075062084901	Zhao Shizhu	no	no	P22,P40	0
Q45403722	6000000075062004881	Zhao Bufu	no	no	P22,P40	0
Q45403723	6000000075062237821	Zhao Shanshen	no	no	P22,P25	0
Q45403724	6000000074737087883	Zhang Shou	no	no	P40	0
Q45403725	6000000074737155885	Zhang Boyu	no	no	P22,P40	0
Q45403726	6000000074737226858	Zhang Zicheng	no	no	P22,P40	0
Q45403727	6000000074769190837	Lu Chong	no	no	P40	0
Q45403729	6000000074768627258	Lu Gao	no	no	P22,P40	0
Q45403730	6000000074768363341	Lu Lin	no	no	P22,P40	0
Q45403733	6000000074769103898	Lu Yanwen	no	no	P22,P25	0
Q45403734	6000000074687559925	Zhao Kecong	no	no	P22,P40	0
Q45403736	6000000074687780823	Zhao Shudan	no	no	P22,P40	0
Q45403738	6000000074687687857	Zhao Zhizhi	no	no	P22,P40	0
Q45403741	6000000074687670880	Zhao Gongjin	no	no	P22,P40	0
Q45403743	6000000074735487280	Chen Yu	no	no	P40	0
Q45403745	6000000074736450945	Chen Qin	no	no	P22,P40	0
Q45403748	6000000074736166000	Chen Yi	no	no	P22,P40	0
Q45403750	6000000074726355858	Wei Jixian	no	no	P40	0
Q45403751	6000000074725889450	Wei Dun	no	no	P22,P40	0
Q45403755	6000000075059139891	Wei Shimo	no	no	P22,P40	0
Q45403757	6000000074726417836	Wei Shixin	no	no	P22	0
Q45403758	6000000074769115877	Meng Chaosan	no	no	P40	0
Q45403760	6000000074769115881	Meng Jingqi	no	no	P22,P40	0
Q45403762	6000000074769089888	Meng Yu	no	no	P22,P40	0
Q45403764	6000000074769128889	Meng Churen	no	no	P22,P40	0
Q45403766	6000000074768475392	Meng Zhicheng	no	no	P22,P25	0
Q45403768	6000000074768178407	Xiao Yu	no	no	P40	0
Q45403769	6000000074768983003	Xiao Guobao	no	no	P22,P40	0
Q45403771	6000000074769253821	Xiao Ying	no	no	P22,P40	0
Q45403774	6000000074768926006	Xiao Su	no	no	P22,P25	0
Q45403776	6000000074768867098	Zeng Gui	no	no	P40	0
Q45403779	6000000074768053515	Zeng Jing	no	no	P22,P40	0
Q45403781	6000000074768338370	Zeng Shichang	no	no	P22,P40	0
Q45403783	6000000074769200830	Zeng Ben	no	no	P22,P25	0
Q45403784	6000000074768086359	Zeng Shou	no	no		0
Q45403786	6000000074768082127	Li Bing	no	no		0
Q45403788	6000000074769255837	Li Hu	no	no	P40	0
Q45403791	6000000074769190856	Li Wu	no	no	P22	0
Q45403793	6000000074768631203	Li Jie	no	no	P40	0
Q45403799	6000000074768268355	Li Ping	no	no	P40	0
Q45403800	6000000074769231852	Li Jiang	no	no	P22,P40	0
Q45403801	6000000074768984007	Li Yu	no	no	P22,P40	0
Q45403803	6000000074769095955	Li Fan	no	no	P22,P25	0
Q45403805	6000000074768784119	He Zhongman	no	no	P40	0
Q45403807	6000000074769285821	He Ruan	no	no	P22,P40	0
Q45403809	6000000074769073948	He Ji	no	no	P22,P40	0
Q45403812	6000000074769130891	He Changshi	no	no	P22	0
Q45403814	6000000074769045946	He Changbang	no	no	P22,P25	0
Q45403816	6000000074769093932	Wang Ranrong	no	no	P40	0
Q45403817	6000000074768494229	Wang Shiyu	no	no	P22,P40	0
Q45403818	6000000074768687186	Wang Jinglue	no	no	P22,P40	0
Q45403820	6000000074769206905	Wang Fu	no	no	P22,P25	0
Q45403821	6000000074768773179	Wang Zao	no	no	P22	0
Q45403822	6000000074768649185	Leng Mai	no	no	P40	0
Q45403825	6000000074768902012	Leng Shen	no	no	P22,P40	0
Q45403826	6000000074769286845	Leng Sili	no	no	P22,P40	0
Q45403828	6000000074768791232	Leng Shiguang	no	no	P22,P25	0
Q45403831	6000000074769128920	Leng Shixiu	no	no	P22,P25	0
Q45403833	6000000074768971994	Chen Wensheng	no	no	P40	0
Q45403835	6000000074768237554	Chen Yunzong	no	no	P22,P40	0
Q45403836	6000000074768610266	Chen Gun	no	no	P22,P40	0
Q45403837	6000000074768650122	Chen Tianlin	no	no	P22,P25	0
Q45403840	6000000074768669234	Huang Shimeng	no	no	P40	0
Q45403841	6000000074769165957	Huang Ying	no	no	P22,P40	0
Q45403842	6000000074769017023	Huang Yong	no	no	P22,P40	0
Q45403844	6000000074768798189	Huang Shizhong	no	no	P22,P25	0
Q45403846	6000000074768998985	Gong Xun	no	no	P40	0
Q45403849	6000000074769312838	Gong Shen	no	no	P22,P40	0
Q45403850	6000000074769258853	Gong Xiu	no	no	P22,P40	0
Q45403853	6000000074768786087	Gong Yin	no	no	P22,P25	0
Q45403855	6000000074769024978	Zhong Hao	no	yes	P40	1
Q45403857	6000000074769240861	Zhong Di	no	no	P22,P40	0
Q45403859	6000000074769157913	Zhong Yan	no	no	P22	0
