geni_id	name	qid	label	slot	ours_n	theirs_n	ours	theirs	ours_names	theirs_labels	pair_from
6000000003645864016	Lucius Aelius Plautius Lamia Aelianus	Q1159574	Lucius Aelius Plautius Lamia Aelianus	father	1	2	6000000001511843037	Q655711;Q666605	Tiberius Plautius Silvanus Aelianus	Tiberius Plautius Silvanus Aelianus | Lucius Aelius Lamia	wikidata-p2600
6000000014335903385	Willem Janz Oem van Wijngaerden	Q116046470	Willem Oem van Wijngaerden	mother	2	0	6000000019057657659;6000000190704192824		Catharina Willemsdr 1430 Willemsdr van Egmond | Catharina van Egmond van Ijsselsteijn		wikidata-p2600
6000000074733749160		Q11658298	Chen Boxin	father	2	1	6000000003175649423;6000000003212220385	Q712113	 | 	Emperor Wen of Chen	wikidata-p2600
6000000015359843054	Francesca Paleólogo	Q117324763	Francesca de Montferrat	father	0	2		Q1072294;Q1747587		Boniface III | Teodoro Paleologo di Montferrato	wikidata-p2600
6000000001503771558	Henrik Johan Paus	Q11975064	Henrik Johan Paus	father	2	1	6000000001073463130;6000000001503587544	Q7085922	Johan Andreas Altenburg | Ole Corneliussen Paus	Ole Paus	wikidata-p2600
6000000001503771558	Henrik Johan Paus	Q11975064	Henrik Johan Paus	mother	2	1	6000000001073415154;6000000006434716060	Q11978842	Hedvig Christine Paus | Johanne Cathrine Knudsdatter Plesner	Johanne Plesner	wikidata-p2600
6000000000465925751	Raden Bondan Kejawen Jaka R. Bondan Kejawan [18 GGF Ajie Kabul]	Q120070693	Raden Bondan Kedjawen	father	3	1	6000000009108641704;6000000088151944910;6000000172268627903	Q127373583	Prabu Brawidjojo BHRE KERTABHUMI | Prabu Brawijaya | Brawijaya V Bhre Kertabhumi	Brawijaya V	wikidata-p2600
6000000000465925751	Raden Bondan Kejawen Jaka R. Bondan Kejawan [18 GGF Ajie Kabul]	Q120070693	Raden Bondan Kedjawen	mother	4	0	6000000039855399829;6000000009108659081;6000000218439054840;6000000173594946482		Wandan Kuning Banda [19 GGM Ajie Kabul] | Wandam Kuning Putri Inang | YY | Private		wikidata-p2600
6000000006100786044	Agrippina	Q12086698	Agrippina	father	0	2		Q156357;Q19692705		Lev I of Galicia | Yaroslav Romanovich	wikidata-p2600
6000000008211626950	Domitia Lucilla Major	Q12278988	Domitia Lucilla	father	1	2	6000000003828204054	Q35691900;Q684275	Gnaeus Domitius Lucanus	Gnaeus Domitius Lucanus | Gnaeus Domitius Tullus	wikidata-p2600
6000000008211626950	Domitia Lucilla Major	Q12278988	Domitia Lucilla	mother	1	2	6000000003645864842	Q107638183;Q107638147	Curtilia	Curtilia Mancia | Dasumia Polla	wikidata-p2600
4949007968210124576	Caius Bruttius Praesens	Q1229431	Gaius Bruttius Praesens	father	2	0	4949059892180110668;6000000041433131151		Lucius Bruttius Maximus | Lucius Bruttius Maximus		wikidata-p2600
4949007968210124576	Caius Bruttius Praesens	Q1229431	Gaius Bruttius Praesens	mother	2	0	4949059947170110674;6000000041433201038		Fulvii Rustici | NN (Fulvii Rustici Woman)		wikidata-p2600
6000000007084447527	William Selly Haurowitz	Q12344167	William Haurowitz	father	2	0	6000000076795533169;6000000007268697883		Wilhelm Haurowitz | Erich Christian Dahl		wikidata-p2600
6000000007084447527	William Selly Haurowitz	Q12344167	William Haurowitz	mother	2	0	6000000076796813877;6000000191723268876		Henriette Sophie Nielsen | Anna Marie Pedersdatter Berg		wikidata-p2600
6000000018150856282	Otto II von Vietinghoff gen. Scheel	Q128048233	Otto Vietinghoff	father	2	1	6000000011734710255;6000000175882538930	Q128046200	Otto I von Vietinghoff-Scheel | Otto I. von Vietinghoff-Scheel	Otto Vietinghoff	wikidata-p2600
6000000039733619226	Wolff Friederich Muffel	Q128068166	Wolff Friedrich Muffel	mother	2	0	6000000017111916168;6000000121241319822		Rosina von Brand | Elisabetha VON HIRSCHHEID		wikidata-p2600
6000000002120145230	Gaius Flavius Valerius Constantius Chlorus	Q131195	Constantius Chlorus	father	1	2	6000000006101240845	Q1001936;Q46768	Flavius Eutropius	Flavius Eutropius | Maximian	wikidata-p2600
6000000015331464653	Elisabeth von Bayern-Landshut	Q1330397	Elisabeth von Bayern	father	1	2	6000000003858766059	Q694351;Q63178	"Friedrich II ""der Weise"" Witttelsbach Herzog zu Bayern-Landshut"	Frederick | Stephen II, Duke of Bavaria	wikidata-p2600
6000000020342253912	María Cortés de Monroy	Q134985476	María Cortés de Monroy	father	2	0	6000000000276411294;6000000052945111849		Rodrigo Fernández de Monroy | Martín Cortés El Viejo		wikidata-p2600
6000000020342253912	María Cortés de Monroy	Q134985476	María Cortés de Monroy	mother	2	0	6000000000868555375;6000000052945317822		María Cortés | Maria Cortés		wikidata-p2600
6000000012050337094	Leonor de Moctezuma	Q134985963	Leonor de Moctezuma	mother	3	1	6000000001514999942;6000000012050619214;6000000049865157925	Q134981976	Teotlaco de Tacuba | Tzihuacxochitzin | Acatlán Moctezuma	Acatlán	wikidata-p2600
6000000001260459057	Vicente de Zaldívar y Oñate	Q134986363	Vicente de Zaldívar y Oñate	father	2	0	6000000005598888440;6000000199928046856		Ruy Díaz de Zaldívar | Rodrigo de Saldivar		wikidata-p2600
6000000028171953602	Juan Andrés de Zaldívar	Q134986782	Juan Andrés de Zaldívar	father	2	0	6000000003616316987;6000000028174139946		Cristóbal de Zaldívar Mendoza | (Unknown) de Zaldívar		wikidata-p2600
6000000028171953602	Juan Andrés de Zaldívar	Q134986782	Juan Andrés de Zaldívar	mother	2	1	6000000007456047874;6000000028173119450	Q134986646	Leonor de Tolosa Cortés de Moctezuma | (Unknown)	Leonor de Tolosa Cortés de Moctezuma	wikidata-p2600
4972949480700115250	Erik Hardenberg Henrikssen Gyllenstierna of Svaneholm	Q136376271	Erik Hardenberg Gyllenstierna, 1.Lord of Svaneholm	father	1	2	6000000001504580134	Q108476105;Q108476105	Henrik Predbjørnsen Gyldenstierne Til Nørre Vosborg	Henrik Gyldenstierne | Henrik Gyldenstierne	wikidata-p2600
4972949480700115250	Erik Hardenberg Henrikssen Gyllenstierna of Svaneholm	Q136376271	Erik Hardenberg Gyllenstierna, 1.Lord of Svaneholm	mother	1	2	6000000001504580144	Q136376277;Q136376277	Lisbeth Clausdatter Podebusk Til Karsholm	Lisbeth Clausdatter Podebusk, Heiress of Karsholm | Lisbeth Clausdatter Podebusk, Heiress of Karsholm	wikidata-p2600
6000000013482919275	Magdalena von Uexküll	Q136376405	noble Madleena of Üksküla	mother	0	2		Q137612674;Q98698570		Dorothea Mecks | Barbara Anrep	wikidata-p2600
6000000001336717255	Gaius Iulius Caesar Octavianus	Q1405	Augustus	father	1	2	6000000001336571372	Q363084;Q1048	Gaius Octavius IV	Gaius Octavius | Julius Caesar	wikidata-p2600
6000000008122648505	Tiberius Julius Caesar Nero Augustus	Q1407	Tiberius	father	1	3	6000000003051269288	Q342512;Q2165262;Q1405	Tiberius Claudius Nero	Tiberius Claudius Nero | Marcus Gallius | Augustus	wikidata-p2600
6000000000424698537	Lucius Domitius Ahenobarbus	Q1413	Nero	father	1	2	6000000007037369475	Q351503;Q1411	Gnaeus Domitius Ahenobarbus Domitius Ahenobarbus Lucius	Gnaeus Domitius Ahenobarbus | Claudius	wikidata-p2600
6000000017547294993	Servius Sulpicius Galba Caesar Augustus	Q1414	Galba	mother	1	2	6000000041323911373	Q2577717;Q6658867	Mummia Achaica	Mummia Achaica | Livia Ocellina	wikidata-p2600
6000000010016427476	Marcus Ulpius Nerva Traianus	Q1425	Trajan	father	1	2	6000000003645989983	Q714856;Q1424	Marcus Ulpius Traianus Maior	Marcus Ulpius Traianus | Nerva	wikidata-p2600
6000000009432292659	Publius Aelius Traianus Hadrianus Augustus	Q1427	Hadrian	father	2	2	6000000006101317642;6000000010016427476	Q2280800;Q1425	Publius Aelius Hadrianus Afer Hadrian Roman Senator | Marcus Ulpius Nerva Traianus	Publius Aelius Hadrianus Afer | Trajan	wikidata-p2600
6000000009432292659	Publius Aelius Traianus Hadrianus Augustus	Q1427	Hadrian	mother	2	1	303021670170005628;6000000012773760294	Q452705	Domitia Paulina | Pompeia Plotina Claudia Phoebe Piso	Domitia Paulina	wikidata-p2600
6000000000700895484	Titus Aelius Hadrianus Antoninus Augustus Pius	Q1429	Antoninus Pius	father	2	2	6000000000700891785;6000000009432292659	Q1230832;Q1427	Titus Aurelius Fulvus | Publius Aelius Traianus Hadrianus Augustus	Titus Aurelius Fulvus | Hadrian	wikidata-p2600
6000000002006109656	Marcus Aurelius Antoninus Augustus	Q1430	Marcus Aurelius	father	1	2	6000000000700917022	Q1292169;Q1429	Marcus Annius Verus	Marcus Annius Verus | Antoninus Pius	wikidata-p2600
6000000006704094300	Anna Johansdotter Skytte af Duderhof	Q14558264	Anna Skytte	mother	1	2	6000000006419684385	Q14558265;Q110549008	Maria Jakobsdotter Näf	Maria Näf | baroness Maria Nevoy, of Methie, heiress of Marby	wikidata-p2600
6000000006964034797	Hywel Caerleon ap Iorwerth	Q15392097	Hywel Caerllion ab Iorwerth	father	1	2	6000000007834199370	Q15392109;Q110622113	Iorwerth ab Owain Wan	Iorwerth ab Owain | Iorwerth ab Owain Wan ap Caradog ap Gruffudd	wikidata-p2600
6000000011626767474	Yoshihito Taishō-tennō Emperor Taisho of Japan	Q157052	Emperor Taishō	mother	3	1	6000000011629557114;6000000011631622292;6000000012592118612	Q8193045	Naruko Yanagiwara | Shouken-kōtaigō | Sachiko Sono	Yanagiwara Naruko	wikidata-p2600
6000000002837879009	Hartvig Krummedike til Eriksson Krummedige	Q1587694	Hartvig Krummedige	father	1	2	6000000009878540640	Q3429244;Q110549582	Erik Segebodsen Krummedige	Erik Krummedige | NN Krummedige	wikidata-p2600
6000000008248183956	Thorkel Þorkell „kuggi“ Thordsson Tordson Þórðarson	Q15889729	Thorkell Thordarson	father	1	2	5539547008520089205	Q6175110;Q15889704	Þórður 'gellir' Ólafsson	Þórðr Óleifsson | Thordur Víkingsson	wikidata-p2600
6000000038106577817		Q15905324	Fan Tan	father	1	2	6000000064848899962	Q15902742;Q16076002		Fan Ziqi | Fan Gao	wikidata-p2600
6000000046926751887		Q15905993	Chen Shenghua	father	2	1	6000000020504918591;6000000046926641968	Q45379363	 | 	Chen Zhaowen	wikidata-p2600
6000000021150326904		Q15914389	Xiao Shunzhi	father	1	2	6000000021260943072	Q10511808;Q45420819		Xiao Daoci | Xiao Fu	wikidata-p2600
6000000055771992821		Q15934434	Wei Guan	father	2	1	6000000052113812950;6000000052114798068	Q15938817	 | 	Wei Xiong	wikidata-p2600
6000000074759831959		Q16076438	Wei Jingjun	father	0	2		Q45420852;Q45420853		Wei Yuqing | Wei Yue	wikidata-p2600
6000000074759008577		Q16077208	Wei Shu	father	1	2	6000000074759831959	Q16076438;Q45459435		Wei Jingjun | Wei Mou	wikidata-p2600
6000000002212152431	Otelhildis von Haldensleben Abbess of Metelin & Herford	Q16584942	Othelindis	father	1	2	6000000019648247141	Q220799;Q2561491	Bernhard I Billung von Haldensleben	Bernard I | Bernard I, Margrave of the Nordmark	wikidata-p2600
6000000038072286844		Q16906305	Liu Zheng	mother	1	2	6000000075482617959	Q65798764;Q65798765		Zheng Shi | Liu Shi	wikidata-p2600
353479885240011139	Håkon Magnussen Toresfostre	Q1752172	Haakon Magnusson of Norway	father	2	1	6000000008248195523;6000000003645760032	Q343088	Tore «Steigar-Tore» Tordsson på Steig | Magnus Haraldsson II	Magnus II of Norway	wikidata-p2600
353479885240011139	Håkon Magnussen Toresfostre	Q1752172	Haakon Magnusson of Norway	mother	2	0	6000000010686395360;6000000013614127010		"NN | N.N. Unknown Mother(S) ""Friller"""		wikidata-p2600
6000000035213405854	Marcus Aurelius Severus Alexander Augustus	Q1769	Severus Alexander	father	1	2	6000000041264800186	Q1762;Q1446	Marcus Julius Gessius Marcianus	Elagabalus | Caracalla	wikidata-p2600
6000000075403331971		Q18110983	Lu Daoliang	father	2	1	6000000052125650248;6000000075404592825	Q18236390	 | 	Lu Yuan	wikidata-p2600
6000000003645870459	Marcus Antonius Gordianus Pius Augustus	Q1812	Gordian III	father	1	2	6000000003645859926	Q12299551;Q1803	Junius Licinius Balbus	Junius Balbus | Gordian II	wikidata-p2600
6000000000628862313	Sigfrith mac Ímair King of Dublin	Q18646123	Sichfrith mac Ímair	father	1	2	6000000003820968553	Q3156264;Q350321	Ívarr Gudrødsson	Ímar | Ivar Ragnarsson	wikidata-p2600
6000000075346166002		Q18907082	Yin Liang	father	1	2	6000000075346422846	Q45420107;Q45420123		Yin Jianyou | Yin Yin	wikidata-p2600
6000000075328463121		Q18908917	Wei Xu	father	1	2	6000000075328898826	Q45421970;Q45611502		Wei Youjian | Wei Youqian	wikidata-p2600
6000000003645753332	Claudius Germanicus Caesar	Q191039	Germanicus	father	1	2	6000000007774655553	Q156778;Q1407	Nero Claudius Drusus Germanicus	Nero Claudius Drusus | Tiberius	wikidata-p2600
6000000009553122259	Otanes of Persia	Q19513557	Otanes	father	1	2	6000000012565017393	Q116474334;Q13229447	Thukra	Thukhra | Pharnaspes	wikidata-p2600
6000000040765629101	DASHARATHA	Q1996692	Dasharatha	father	1	2	6000000018291855704	Q3595876;Q130683128	Aja Maha Raju	Aja | Kushik	wikidata-p2600
6000000002188289154	Publius Mucius Scaevola Mucius-Scaevola consul 175 BC	Q2066659	Publius Mucius Scaevola	father	1	2	6000000002188289187	Q939045;Q6095299	Quintus Mucius Scaevola praetor 215 BC	Quintus Mucius Scaevola | Quintus Mucius Scaevola	wikidata-p2600
6000000017695098287	Pakubuwana III Raden Mas Suryadi (1749-1788) Kartosuro	Q2099707	Pakubuwono III	father	2	1	6000000017938967515;6000000189902692850	Q1903767	Pakubuwana II Raden Mas Prabasuyasa (1726-1742) (1745-1749) | Kanjeng Susuhunan PB II RM. Gusti Prabu Suyasa	Pakubuwono II	wikidata-p2600
6000000017695098287	Pakubuwana III Raden Mas Suryadi (1749-1788) Kartosuro	Q2099707	Pakubuwono III	mother	2	1	6000000017938662569;6000000189902678850	Q108104425	G.K. Ratu Mas | Kanjeng Ratu Kencana Ratu Mas (Raden Ayu Sukiya Subiya)	G.K. Ratu Mas	wikidata-p2600
6000000006727867629	Carlo Visconti signore di Parma	Q2132941	Carlo Visconti di Parma	mother	1	2	6000000005598888561	Q51089;Q110410459	Beatrice Regina della Scala	Beatrice Regina della Scala | Regina de Salcalle	wikidata-p2600
6000000017544381125	KGPAA Mangkoenagara IV Raden Mas Sudira (1853-1881)	Q2196457	Mangkunegara IV	father	2	2	6000000017538528275;6000000017543376630	Q5088914;Q126926342	KPA Hadiwidjaja I | Ario Mangkoenagara III Raden Mas Sarengat (1835-1853)	Mangkunegara III | KPA Adiwijaya I	wikidata-p2600
6000000017544381125	KGPAA Mangkoenagara IV Raden Mas Sudira (1853-1881)	Q2196457	Mangkunegara IV	mother	2	2	6000000017538130708;6000000038271070202	Q108104598;Q125732287	BRAy Sakeli BRAy PAr Hadiwidjojo I | Raden Ayu Sekarkedhaton	Raden Ayu Sekarkedhaton | RA Sekeli	wikidata-p2600
6000000038132412998		Q22098557	Zeng Shu	father	2	1	6000000037890471938;6000000045048040832	Q4391229	 | 	Zeng Bu	wikidata-p2600
6000000038132412998		Q22098557	Zeng Shu	mother	2	0	6000000037889891740;6000000045842603874		 | 		wikidata-p2600
6000000075061337849		Q22813480	Li Chengzu	father	1	2	6000000075061410821	Q22813479;Q45512023		Li Huang | Li Yu	wikidata-p2600
6000000003887838615	Hortense Eugénie de Beauharnais	Q229875	Hortense de Beauharnais	father	1	2	6000000000350860914	Q456122;Q517	Alexandre François Marie de Beauharnais vicomte de Beauharnais	Alexandre de Beauharnais | Napoleon	wikidata-p2600
6000000003355637296	Servilia Caepionis Maior	Q232229	Servilia	father	2	1	6000000024902478637;6000000027312259703	Q1339771	<private> Caepio | Quintus Servilius Caepio the Younger	Quintus Servilius Caepio	wikidata-p2600
6000000003355637296	Servilia Caepionis Maior	Q232229	Servilia	mother	2	1	6000000024902708910;6000000027290117295	Q432100	 | Livia Drusa	Livia	wikidata-p2600
5605575857030117371	Randver Rádbardsson {Mythical King of Sweden and Denmark}	Q2335581	Randver	father	1	2	5630189594750081580	Q2335361;Q560751	Radbart king of Garðaríki	Ráðbarðr | Redbad	wikidata-p2600
6000000009656349250	Fabian Moritz Wrangell	Q24546208	Fabian von Wrangell	father	0	2		Q1233752;Q136385095		Moritz von Wrangel | Fabian Wrangell	wikidata-p2600
6000000075367916856		Q24835861	Liu Sengxi	father	1	2	6000000074748759247	Q45420286;Q45528696		Liu Xu | Liu Ji	wikidata-p2600
6000000000437154527	Cyngen Glodrydd ap Maun King of Powys	Q2511802	Cyngen Glodrydd	father	1	2	6000000000424703516	Q2511778;Q2575163	Maun ap Pasgen	Rhuddfedel Frych | Cadell Ddyrnllwg	wikidata-p2600
6000000008628285368	Pascwethen I de Browarec comte de Vannes	Q2526916	Pascweten	father	0	2		Q7336969;Q561348		Rivallo IV of Brittany | Alan I, King of Brittany	wikidata-p2600
6000000002043182790	"Sigtrygg ""Silkbeard"" Olafsson King of Dublin & York"	Q2535985	Sigtrygg Silkbeard	mother	1	2	6000000002043186310	Q3111071;Q75382754	Gormflaith ingen Murchada O'Faelain	Gormflaith ingen Murchada | unknown daughter of Scotland	wikidata-p2600
6000000007150835678	Cadell Ddyrnllwg ap Cadeyrn	Q2575163	Cadell Ddyrnllwg	father	1	2	6000000015786618472	Q1292998;Q116109754	Cadeyrn ap Pasgen	Catigern | Pasgen ap Brydw	wikidata-p2600
6000000000700972962	Eyestein «Fret Fjert» Halfdansson King of Romerike and Vestfold	Q2581232	Eystein Halfdansson	father	1	2	6000000000172750514	Q2521523;Q76300818	Halfdan «Whiteshanks» van Vestfold of Upsalla of Sweden	Halfdan Hvitbeinn | Halfdan von Westfold	wikidata-p2600
6000000074739224982		Q26159039	Li Jian	father	1	2	6000000074739378828	Q24832547;Q45419933		Li Xian | Li Qingye	wikidata-p2600
6000000074712392848		Q26159846	Li Yi	father	1	2	6000000074712231940	Q26159843;Q45645411		李秀林 | Li Fenglin	wikidata-p2600
6000000075345413928		Q26185015	Lu Ting	father	1	2	6000000023605262697	Q5359187;Q15923626		Lu Yu | Lu Qin	wikidata-p2600
6000000075346153827		Q26186440	Lu Ting	father	1	2	6000000075346147825	Q26186437;Q45420227		Lu Zizhe | Lu Zhe	wikidata-p2600
6000000021138184308		Q26208790	Wei Xu	father	1	3	6000000074759752050	Q26208784;Q45418915;Q45442056		韦真憙 | Wei Zhenshan | Wei Zhenjia	wikidata-p2600
6000000074759928924		Q26208802	Wei Zhi	father	1	2	6000000074759752050	Q26208784;Q45442056		韦真憙 | Wei Zhenjia	wikidata-p2600
6000000012601378833	Vainius, Prince of Polotsk Polocko Kunigaikštis	Q2659844	Vainius	father	2	1	6000000020985906917;6000000179697104858	Q638646	Pucuwerus Butvydas of Lithuania | Butvydas Pukuveras	Butvydas	wikidata-p2600
6000000004533613519	Guillaume d'Auvergne	Q2680280	William IV of Auvergne	father	0	2		Q3435462;Q2884086		Robert II de Clarmont | Guy I of Auvergne	wikidata-p2600
6000000075344909912		Q28414582	Cui Cong	father	1	2	6000000075344919904	Q45419594;Q45471926		Cui Ao | Cui Yi	wikidata-p2600
6000000001336803104	Marcus Atius Balbus	Q285148	Marcus Atius Balbus	mother	1	2	6000000006900553987	Q123700858;Q654576	Pompeia	Lucilia | Pompeia	wikidata-p2600
6000000003005136400	Émilie Louise Marie Françoise Joséphine Pellapra	Q286802	Émilie Pellapra	father	1	2	6000000079374511913	Q104538182;Q517	Henri de Pellapra	Leu Henry Alain Pellapra | Napoleon	wikidata-p2600
6000000007511114828	Gaius Vipsanius Agrippa	Q298162	Gaius Caesar	father	1	2	6000000000701119762	Q48174;Q1405	Marcus Vipsanius Agrippa	Marcus Vipsanius Agrippa | Augustus	wikidata-p2600
6000000012035508955	Osahito Komei-tennō	Q299179	Emperor Kōmei	mother	2	1	6000000012594239785;6000000060196076831	Q11123561	Naoko Oogimachi | Fujiwara no Tsuneko Imperial Consort	Ōgimachi Naoko	wikidata-p2600
6000000030802351910	Shigeru Takeuchi	Q301804	Shigeru Yoshida	father	2	1	6000000192799979867;6000000192801087821	Q4480286	Tsuna Takeuchi | Kenzō Watanabe	Takeuchi Tsuna	wikidata-p2600
6000000030802351910	Shigeru Takeuchi	Q301804	Shigeru Yoshida	mother	2	0	6000000192800937821;6000000192800472840		Takiko Tomita | Koto Satō		wikidata-p2600
6000000017588625741	Amable Antoine Jacques Emmanuel Amable de Crussol duc d'Uzès	Q3052898	Emmanuel de Crussol d'Uzès	father	2	1	6000000017589067623;6000000224486489192	Q2862007	"Armand Géraud Victurnien Jacques Emmanuel de Crussol | ""Emmanuel"" Armand Géraud Victurnien Jacques CRUSSOL d'UZÈS (de)"	Armand de Crussol	wikidata-p2600
6000000012977282998		Q30610932	Zeng Jifen	father	2	1	6000000012827488681;6000000013869716667	Q189512	 | 	Zeng Guofan	wikidata-p2600
6000000012977282998		Q30610932	Zeng Jifen	mother	2	0	6000000013869518938;6000000018099424915		 | 		wikidata-p2600
6000000074739312847		Q30942534	Li Xili	father	1	2	6000000074739378828	Q24832547;Q45419933		Li Xian | Li Qingye	wikidata-p2600
6000000011828446309	Titus Pomponius Atticus	Q311733	Titus Pomponius Atticus	father	1	2	6000000003513191004	Q7810326;Q1338934	Titus Pomponius	Titus Pomponius | Quintus Caecilius	wikidata-p2600
6000000024594900319	Absalon Assersson Hvide	Q313548	Absalon	father	2	1	6000000000901150478;6000000195598510821	Q11959415	Asser Skjalmsøn Rig (Hvide) | Asser (Rig) Skjalmsen Hvide	Asser Rig	wikidata-p2600
6000000006858348535	Lucius Vipsanius Agrippa	Q313735	Lucius Caesar	father	1	2	6000000000701119762	Q48174;Q1405	Marcus Vipsanius Agrippa	Marcus Vipsanius Agrippa | Augustus	wikidata-p2600
6000000075402173841		Q3237588	Li Yi	father	1	3	6000000075401584059	Q45424508;Q45548101;Q45658364		Li Qiu | Li Qiu | Li Cun	wikidata-p2600
6000000007150951000	Marcus Vipsanius Agrippa Vipsanius-Agrippa	Q325906	Agrippa Postumus	father	1	2	6000000000701119762	Q48174;Q1405	Marcus Vipsanius Agrippa	Marcus Vipsanius Agrippa | Augustus	wikidata-p2600
6000000011535573627	Gunnar Hlíðarenda Hámundarson	Q3356280	Gunnar Hámundarson	father	2	1	6000000010713512335;6000000011535582857	Q16573948	Private | Hámundur Gunnarsson	Hamundur Gunnarsson	wikidata-p2600
6000000011535573627	Gunnar Hlíðarenda Hámundarson	Q3356280	Gunnar Hámundarson	mother	2	0	6000000010713286669;6000000011535395855		 | Rannveig Sighvatsson		wikidata-p2600
6000000003219779698	Boedhe mac Cináeda	Q335885	Boite mac Cináeda	father	1	2	4659985	Q352800;Q221229	Cináed 'An Donn' Mac Duibh III	Kenneth II of Scotland | Kenneth III of Scotland	wikidata-p2600
6000000012431667989		Q339595	Nashimoto Morimasa	mother	2	0	6000000012432134248;6000000031444556227		Mitsue Harada | 		wikidata-p2600
6000000001809638693		Q3482119	Shimazu Tadahisa	father	1	2	6000000002934660014	Q11492951;Q11073324		Koremune no Hirokoto | Koremune no Tadayasu	wikidata-p2600
6000000001809638693		Q3482119	Shimazu Tadahisa	mother	1	3	6000000002933557025	Q11368515;Q111366618;Q3107786		Tango no Naishi | 藤原遠宗の娘 (惟宗広言の妻) | Gishūmon-in no Tango	wikidata-p2600
