qid	latin	ja	zh
Q1008160	Nicholas II Garay	ガライ2世・ミクローシュ	尼古拉斯二世·加雷
Q1008322	Carlo Mazzacurati	カルロ・マッツァクラーティ	卡洛·马扎库拉蒂
Q10085	Tina Maze	ティナ・マゼ	蒂娜·梅兹
Q10087177	Yao Shu	姚枢	姚枢
Q100872	Richard Friedenthal	フリーデンタール	
Q100896	Hans von Arnim		汉斯·冯·阿尼姆
Q100915808	Abigail Perkins		阿比盖尔·珀金斯
Q100915811	Perez Waterman		佩雷斯·沃特曼
Q100915814	Lydia Waterman		莉迪亚·沃特曼
Q100937	Fred Astaire	フレッド・アステア	弗雷德·阿斯泰尔
Q100939	Erwin von Helmersen	エルヴィン・フォン・ヘルメルゼン	
Q100942	Erwin Bumke	エルヴィン・ブムケ	
Q100945523	Eleanor Barnum	エレノア・バーナム	
Q100945543	Richard Nicholls Barnum	リチャード・ニコルズ・バーナム	
Q100945890	Walter Phelps	ウォルター・フェルプス	
Q100946037	Mary Barnum	メアリー・バーナム	
Q100946043	Julia Nicholls	ジュリア・ニコルズ	
Q100947130	George Phelps	ジョージ・フェルプス	
Q100947140	Mary Phelps	メアリー・フェルプス	
Q100948	Rachel Carson	レイチェル・カーソン	雷切尔·卡森
Q1009482	George Mackenzie	サー・ジョージ・マッケンジー・オブ・ローズハウ	
Q100954	Friedrich Bernhard	フリードリヒ・ベルンハルト (プファルツ＝ゲルンハウゼン公)	腓特烈·伯恩哈德
Q1009816	Gerhard Munthe	イェールハルド・ムンテ	格哈德·蒙特
Q1009918	Brunello Rondi	ブルネッロ・ロンディ	布鲁内洛·隆迪
Q100997968	Sun Hongzhe		孙鸿哲
Q100997978	Hao-Jan Sun		孙浩然
Q100997991	Sun Song		孙竦
Q100998011	Ye Chongzhi		葉崇質
Q100998053	Li Yifan		李懿藩
Q100998097	Feng Hui		冯慧
Q100998534	Sun Shi		孫氏
Q100998547	Sun Chuancheng		孫傳檙
Q100998732	Chiang Jui-lien	蔣瑞蓮	蔣瑞蓮
Q101003464	Margit Bethlen		貝特倫·瑪姬
Q1010090	Giorgio Simonelli		乔治·西莫内利
Q101014	Daniela von Bülow		丹妮拉
Q1010255	Giacomo Durando	ジャコモ・デュランド	
Q101030	Maria von Wedemeyer Weller	マリア・フォン・ヴェーデマイヤー	
Q1010436	Carlo Vanzina	カルロ・ヴァンツィーナ	卡罗·瓦兹纳
Q101054	Bahá'u'lláh	バハーウッラー	巴哈欧拉
Q1010602	Giorgio Gaber	ジョルジオ・ガベール	
Q101064	Erhard Kroeger	エルハルト・クレーガー	艾哈德·克罗格
Q101064944	Charlbi Dean	チャールビ・ディーン	查尔比·迪恩·科里克
Q10107750	Kong Yanzhi		孔延之
Q10108931	Kong Chuan	孔穿	孔穿
Q101136890	Kathy Manning	キャシー・マニング	凱西·曼寧
Q10115605	Sun Zude		孙祖德
Q101172	Countess Palatine Barbara of Zweibrücken-Neuburg		芭芭拉
Q10120827	Meng binyu		孟宾于
Q101208599	David Vandewater Golden Bartlett	デイヴィッド・ヴァンデウォーター・ゴールデン・バートレット	
Q101209816	Zaccheus Coffin	ザッケウス・コフィン	
Q101209817	Joseph Coffin	ジョーゼフ・コフィン	
Q101228962	Yukiko Yoshida	吉田雪子	吉田雪子
Q101228963	Mineko Makino	牧野峰子	
Q10124003	Sun Guangxian		孙光宪
Q10125	Andy Murray	アンディ・マリー	安迪·穆雷
Q10125270	Sun Sigong		孙思恭
Q10125565	Sun Bian		孙抃
Q101266	Innocent X	インノケンティウス10世	诺森十世
Q10127297	Sun Ti	孫逖	孙逖
Q10127704	Sun Changqing		孙长卿
Q101286	Innocent XI	インノケンティウス11世	诺森十一世
Q1012900	Wanda Gág	ワンダ・ガアグ	汪达·佳谷
Q10131	Francisco Varallo	フランシスコ・バラージョ	佛朗西斯科·法拉洛
Q10132	Rafael Nadal	ラファエル・ナダル	拉斐尔·纳达尔
Q101384	Henry I of England	ヘンリー1世	亨利一世
Q101402	Friedrich Bernhard Gottfried Nicolai		弗里德里希·伯恩哈德·戈特弗里德·尼柯莱
Q101420740	James A. Lindsay	ジェームズ・A・リンゼイ	
Q101422823	Isaac Colton	アイザック・コルトン	
Q101423104	Michael Spencer	マイケル・スペンサー	
Q101423106	Ann Merrill	アン・メリル	
Q101424592	Freelove Martha Wright	フリーラヴ・マーサ・ライト	
Q101437	Pius II	ピウス2世	庇护二世
Q1014386	Arnold Gingrich	アーノルド・ギングリッチ	阿诺德·金里奇
Q1014586	Benjamin Day	ベンジャミン・デイ (出版事業者)	本杰明·戴
Q101482383	Ephraim Leonard	エフライム・レナード	
Q101482399	Judith Leonard	ジュディス・レナード	
Q1014899	Yongming Yanshou	永明延寿	永明延寿
Q101508638	Bernhardine von Plettenberg-Wittem	ベルナルディーネ・フォン・プレテンベルク・ウント・ヴィッテム	
Q101508948	Georg Vollrath von Zeutsch	ゲオルク・ヴォルラス・フォン・ツォイッチュ	
Q101508953	Christian von Zeutsch	クリスティアン・フォン・ツォイッチュ	
Q101580064	Adam van Westerwolt		亞當·韋斯特沃爾特
Q101581	Elisabeth of Schleswig-Holstein-Sonderburg	エリーザベト・フォン・シュレースヴィヒ＝ホルシュタイン＝ゾンダーブルク	伊莉莎白
Q101587	Paul Yorck von Wartenburg	パウル・ヨルク・フォン・ヴァルテンブルク	
Q101593	Hans-Hasso von Veltheim	ハンス＝ハッソ・フォン・フェルトハイム	
Q10161951	An Shouliang		安守亮
Q1016268	Burhan Belge	ブルハン・アザス・ベルガ	布爾·貝爾蓋
Q1016269	Burhan Doğançay	ブーハン チャヒト ドーアンチャイ	布尔汗·多安恰伊
Q101638	Mary Wollstonecraft	メアリ・ウルストンクラフト	玛丽·沃斯通克拉夫特
Q101640	Robert Vischer	ロベルト・フィッシャー	
Q101642	Hilde Meisel	ヒルデ・マイゼル	
Q101646	George Aribert of Anhalt-Dessau		格奧爾格·艾瑞伯特
Q101655	Philipp Gerlach	フィリップ・ゲルラッハ	
Q1016606	Burleigh Grimes	バーリー・グライムス	柏雷·葛萊姆斯
Q101676766	Walter Henry James Musk		沃尔特·亨利·詹姆斯·马斯克
Q1016882	Burr Harrison	バー・ハリソン	
Q101698	Gaetano Donizetti	ガエターノ・ドニゼッティ	葛塔诺·多尼采蒂
Q1017185	Burwell Boykin Lewis		伯韋爾·博伊金·劉易斯
Q1017188	Burwell Bassett		伯韦尔·巴塞特
Q101731	Prince Ferfried of Hohenzollern	フェルフリート・フォン・ホーエンツォレルン＝ジグマリンゲン	费尔弗里德
Q101740	Benoit Mandelbrot	ブノワ・マンデルブロ	本华·曼德博
Q101772	Johann Wilhelm von Sachsen-Coburg-Saalfeld	クリスティアン・フランツ・フォン・ザクセン＝コーブルク＝ザールフェルト	
Q101775	Gisela von Collande	ギゼラ・フォン・コランデ	吉塞拉·冯·科兰德
Q101776	Marcellus II	マルケルス2世	马塞勒斯二世
Q1017855	Butch Trucks	ブッチ・トラックス	布奇·塔克斯
Q1017968	Yu Zhining	于志寧	于志宁
Q101797	Winona Ryder	ウィノナ・ライダー	威诺纳·赖德
Q1017999	Niu Xianke	牛仙客	牛仙客
Q1018002	Cen Wenben	岑文本	岑文本
Q101816	Friedrich von Doenhoff	フリードリヒ・フォン・デンホフ	
Q10184707	Song Xi		宋禧
Q101878	Friedrich Griese	フリードリヒ・グリーゼ	
Q101886	Joachim von Ribbentrop	ヨアヒム・フォン・リッベントロップ	约阿希姆·冯·里宾特洛甫
Q101888	Marie Zielcke	マリー・ツィルケ	玛丽·伊可
Q101894	Maximilian Philipp Hieronymus		巴伐利亞的馬克西米利安·菲利普
Q1019229	Prince Vasili Alexandrovich of Russia	ヴァシーリー・アレクサンドロヴィチ	瓦西里·亞歷山德羅維奇
Q101930	Helene von Dönniges	ヘレーネ・フォン・デンニゲス	
Q101932	David Mevius	ダーヴィット・メヴィウス	
Q1019325	Bård Guttormsson		巴爾·古托姆松
Q101933	Eduard von der Hellen	エドゥアルト・フォン・デア・ヘレン	
Q101942	Paavo Nurmi	パーヴォ・ヌルミ	帕沃·努尔米
Q10195137	Song Wo		宋渥
Q10195253	Song Hun	宋渾	宋浑
Q10195480	Song Shen		宋甡
Q10195745	Song Shou		宋绶
Q10197451	Song Di	宋迪	宋迪
Q102005	William II of England	ウィリアム2世	威廉二世
Q102006	Friedrich Leopold von Gessler	フリードリヒ・レオポルト・フォン・ゲスラー	
Q102017	Leopold Schwarzschild	レオポルト・シュワルツシルト	利奧波德·史瓦西
Q102027	Fabio Cannavaro	ファビオ・カンナヴァーロ	法比奥·卡纳瓦罗
Q102028	Robert Bosch Jr.	ローベルト・ボッシュ	
Q102034	Ronald Ross	ロナルド・ロス	罗纳德·罗斯
Q102041	Friedrich von der Decken		弗里德里希·冯·德·德肯
Q102054	Theodor des Coudres		特奥多尔·德库德尔
Q102061876	Carl Friedrich Wagner		卡尔·弗里德里希·瓦格纳
Q102068558	Margaret McGrath	マーガレット・マクグラス	瑪格麗特·洛克斐勒
Q102069611	Henry Jagger Corbett	ヘンリー・ジャガー・コーベット	
Q102069690	Helen Kendall Corbett	ヘレン・ケンドール・コーベット	
Q102071	Tove Jansson	トーベ・ヤンソン	托芙·扬松
Q102103	Karl Gustav Ackermann	カール・グスタフ・アッカーマン	卡爾·古斯塔夫·阿克曼
Q102104	Felix Auerbach	フェリックス・アウエルバッハ	
Q102121826	Mary Lily Kenan	メアリー・リリー・ケナン	
Q102122566	William Rand Kenan Sr.	ウィリアム・ランド・ケナン・シニア	
Q102124	Sigourney Weaver	シガニー・ウィーバー	西格妮·韦弗
Q1021243	Michael Rockefeller	マイケル・ロックフェラー	麥可·洛克斐勒
Q102135641	John Truss	ジョン・トラス	
Q102139	Margrethe II of Denmark	マルグレーテ2世	玛格丽特二世
Q102140	Henry II of England	ヘンリー2世	亨利二世
Q102146	Ulrich Dibelius	ウルリッヒ・ディベリウス	
Q102163854	Elizabeth Clements	エリザベス・クレメンツ	
Q102163858	Gershom Moore	ガーショム・ムーア	
Q102163860	Gershom Moore	ガーショム・ムーア	
Q102163861	Gershom Moore	ガーショム・ムーア	
Q102163863	Margaret Doughty	マーガレット・ダウティ	
Q102166	Duke Ferdinand Frederick Augustus of Württemberg	フェルディナント・フリードリヒ・アウグスト・フォン・ヴュルテンベルク	斐迪南·腓特烈·奧古斯特
Q1021713	Robert John McClure	ロバート・マクルアー	罗伯特·麦克卢尔
Q1021828	Wei Yingwu	韋応物	韦应物
Q102184047	Abel de Jesús Escobar Echeverri	アベル・デ・ヘスス・エスコバル・エチェヴェリ	阿贝尔·德·赫苏斯·埃斯科瓦尔·埃切维里
Q102184054	Hemilda de los Dolores Gaviria Berrío	ヘミルダ・デ・ロス・ドロレス ガビリア・ベリオ	赫米尔达·德·洛斯·多洛雷斯·加维里亚·贝里奥
Q102186	Alexander zu Dohna-Schlobitten	アレクサンドル・ツー・ドーナ＝シュロビッテン	
Q102188	Arnold Berliner	アルノルト・ベルリナー	
Q102200	Árpád Göncz	ゲンツ・アールパード	根茨·阿尔帕德
Q102206908	Vasant P. Bhapkar	ヴァサント・P・バプカル	
Q102226652	Sydney Henry Flindt	シドニー・ヘンリー・フリント	
Q102226653	Louisa Maria Cornwall	ルイーザ・マリア・コーンウォール	
Q102230	Gabriel Sedlmayr	ガブリエル・ゼードルマイル2世	
Q1022375	Jan Gonda	ヤン・ゴンダ	扬·洪达
Q1022437	Clarence Cook Little	C・C・リトル	克拉伦斯·库克·利特尔
Q1022441	William R. Webb	ウィリアム・R・ウェッブ	
Q102250	Peter Agre	ピーター・アグレ	彼得·阿格雷
Q102265452	La Vonne Gräsbeck	ラ・ヴォンヌ・グラスベック	拉冯·格雷斯贝克
Q102266	Sidney Altman	シドニー・アルトマン	西德尼·奥尔特曼
Q102289	Buckminster Fuller	バックミンスター・フラー	巴克敏斯特·福乐
Q102291	Francis William Aston	フランシス・アストン	弗朗西斯·阿斯顿
Q102314	Eduard von Jachmann	エドゥアルト・フォン・ヤッハマン	愛德華·馮·傑克曼
Q102320	Franz Matt		弗朗茨·马特
Q102323	Snorri Sturluson	スノッリ・ストゥルルソン	斯诺里·斯蒂德吕松
Q102324326	Harold Power	ハロルド・リトルデール・パワー	哈罗德·利特尔代尔·鲍尔
Q102330337	George Power	ジョージ・パワー	乔治·鲍尔
Q102331	Sócrates	ソクラテス	苏格拉底·布拉济莱罗·奥利维拉
Q102333	Vali von der Osten	ファリ・フォン・デア・オステン	
Q10233798	Xuan Zeng		宣缯
Q102341	Farrah Fawcett	ファラ・フォーセット	法拉·弗西
Q1023663	Mia Gundersen		米娅·冈德森
Q102379	Paul Berg	ポール・バーグ	保羅·伯格
Q102395	Paul D. Boyer	ポール・ボイヤー	保罗·博耶
Q102404172	George Alvin Smith		喬治·阿爾文·史密斯
Q102419	Derek Barton	デレック・バートン	德里克·巴顿
Q102423175	Hester Fay	ヘスター・フェイ	
Q102423200	Hester Fay	ヘスター・フェイ	
Q102423202	Martha Endicott Lawrence	マーサ・エンディコット・ローレンス	
Q102423289	Richard Dudley Fay	リチャード・ダドリー・フェイ	
Q102423703	John Lawrence	ジョン・ローレンス	
Q102434792	Amanda Patterson		阿曼达·帕特森（Amanda Patterson）
Q10244158	Jia Xuanweng		家铉翁
Q102444	Peter Schutz	ピーター・シュッツ	彼得·舒茨
Q102454	Paul Samuelson	ポール・サミュエルソン	保罗·萨缪尔森
Q102462	James Stewart	ジェームズ・ステュアート	詹姆斯·斯图尔特
Q102464	Rosemarie Schuder	ローズマリー・シューダー	
Q102483	Jaroslav Seifert	ヤロスラフ・サイフェルト	雅罗斯拉夫·塞弗尔特
Q1024840	Joe Nishimoto	ジョー・M・ニシモト	喬伊·西本
Q102490	Evangelista Torricelli	エヴァンジェリスタ・トリチェリ	埃万杰利斯塔·托里拆利
Q102497727	Beulah Galusha	ビューラー・ガルーシャ	
Q102498444	Elizabeth Chittenden	エリザベス・チッテンデン	
Q102511	Ludwig Loewe	ルートヴィヒ・レーヴェ	路德維希·洛韋
Q102513	Harriet Beecher Stowe	ハリエット・ビーチャー・ストウ	哈里特·伊丽莎白·比彻·斯托
Q102515	Hans Lachmann-Mosse		漢斯·拉赫曼·莫賽
Q102522503	Charles Wharton	チャールズ・ウォートン	
Q102522532	Hannah Carpenter Wharton	ハナ・ウォートン	
Q102527	Robert Falcon Scott	ロバート・スコット	罗伯特·斯科特
Q10253341	Paweł Skórzewski	パヴェウ・スクジェフスキ	
Q1025377	Cael Sanderson	カエル・サンダーソン	凯尔·桑德森
Q1025395	Radomiro Tomic	ラドミロ・トミッチ	拉多米尔·托米克
Q1025419	Caesar Augustus Rodney	シーザー・オーガスタス・ロドニー	西泽·A·罗德尼
Q102551	Ernest Borgnine	アーネスト・ボーグナイン	欧内斯特·博格宁
Q102585	Johann Gottlieb Fichte	ヨハン・ゴットリープ・フィヒテ	约翰·戈特利布·费希特
Q10259883	Yuchi Baolin	尉遅宝琳	尉迟宝琳
Q102607	Hannibal von Lüttichau	ハンニバル・フォン・リュッティヒャウ	
Q10261	Pythagoras	ピタゴラス	毕达哥拉斯
Q102612	Heinrich Gottlieb Tzschirner		海因里希·戈特利布·奇尔纳
Q102612370	Cornelia Maria Groth	コーネリア・マリア・ニー・グロス	科妮莉亚·玛丽亚·尼·格罗斯
Q10263876	Dandara Guerra		丹达拉·格拉
Q10263911	Daniel Azulay		丹尼尔·阿祖莱
Q102642	Diane Keaton	ダイアン・キートン	黛安·基顿
Q10264359	Davi Alcolumbre		达维·阿尔科隆布尔
Q10264401	David Gest	デイヴィッド・ゲスト	
Q1026444	Isabelle Pedersen	イザベル・ペデルセン	
Q1026458	Katherine Stanhope	キャサリン・スタノップ	
Q102648	Wilhelm Steinitz	ヴィルヘルム・シュタイニッツ	斯坦尼茨
Q1026509	Caldwell Esselstyn	コールドウェル・エセルスティン	卡德维尔·爱色斯坦
Q10265100	Dennis Carvalho		丹尼斯·卡瓦略
Q1026525	Caleb Blood Smith	ケイレブ・ブラッド・スミス	
Q10265294	Yin Yuan		尹源
Q1026532	Caleb Carr	ケイレブ・カー	克萊·卡爾
Q10265327	Yin Qishen		尹起莘
Q1026540	Caleb Hillier Parry	ケイレブ・ヒリアー・パリー	迦勒·希利尔·帕里
Q10266077	Dias Toffoli		迪亚斯·托夫利
Q1026694	Philip Stanhope	フィリップ・スタンポープ	
Q10268409	Dorinha Duval		多里·杜瓦尔
Q10269292	Décio Villares	デシオ・ヴィラレス	
Q1026930	Charles Lyttelton	チャールズ・リトルトン (第8代コバム子爵)	
Q10269567	Yue Ke		岳珂
Q10269596	Yue Yinping	岳銀瓶	岳银瓶
Q1027026	Jeff Duncan	ジェフ・ダンカン	傑夫·鄧肯
Q1027052	Calixt Biron von Curland	カリクスト・ビロン・フォン・クールラント	
Q10270621	Eduardo Azevedo Soares		爱德华多·阿泽维多·苏亚雷斯
Q102711	Dennis Hopper	デニス・ホッパー	丹尼斯·霍珀
Q10271262	Cui Taifu		崔台符
Q10271321	Cui Xian		崔岘
Q10271512	Cui Zhaoju		崔昭矩
Q1027161	Kim Zmeskal	キム・ズメスカル	
Q10271617	Cui Zhuan	崔篆	崔篆
Q10271678	Cui Han		崔翰
Q10271698	Cui Jiao		崔胶
Q10271705	Eleonor Bruno		爱雷欧诺尔·布鲁诺
Q102718	Adolph Bleichert	アドルフ・ブライヘルト	
Q10271804	Cui Zhan		崔詹
Q10272055	Eloá Quadros	エロア・クアドロス	
Q10272407	Emilio Dantas		埃米利奥·丹塔斯
Q102726	Erich Eyck	エーリッヒ・アイク	
Q1027380	Solon Borland	ソロン・ボーランド	索倫·博蘭
Q1027386	Henry Winter Davis	ヘンリー・ウィンター・デイヴィス	
Q1027455	Hattie Caraway	ハティ・W・キャラウェイ	海蒂·卡拉威
Q1027641	Calvin Bridges	カルヴィン・ブリッジス	卡尔文·布里奇斯
Q1027671	János Gosztonyi	ゴシュトニ・ヤーノシュ	
Q1027673	John N. Heiskell	ジョン・N・ハイスケル	
Q1027683	Calvin Hill	カルビン・ヒル	卡爾文·希爾
Q1027729	Calvin S. Brice	カルヴァン・S・ブライス	卡尔文·S·布赖斯
Q102783	Susanne Cramer		苏珊娜·克莱默
Q10279146	Fabio Faria		法比奥·法里亚
Q1027975	Antal III Grassalkovich	グラシャルコヴィッチ・アンタル3世	
Q1027976	Antal Grassalkovich	グラシャルコヴィッチ・アンタル2世	
Q102799	Paul Kornfeld		保罗·科恩菲尔德
Q10280081	Chang Wuming		常无名
Q102801	Hans Christern	ハンス・クリシュテルン	
Q102804	Henri Moissan	アンリ・モアッサン	亨利·莫瓦桑
Q102809	Margrave Charles Magnus of Baden-Durlach		卡爾·馬格努斯
Q102813	Yul Brynner	ユル・ブリンナー	尤尔·伯连纳
Q10282143	Xing Yinxun		幸寅逊
Q102822	Jacobus Henricus van 't Hoff	ヤコブス・ヘンリクス・ファント・ホッフ	雅各布斯·亨里克斯·范托夫
Q1028253	Béni Grosschmid		贝尼·格罗斯密德
Q10282930	Floriano Peixoto Faria Lima	フロリアーノ・ペイショト・ファリア・リマ	
Q102830	Frederick Soddy	フレデリック・ソディ	弗雷德里克·索迪
Q10283057	Flávio Bolsonaro	フラビオ・ボルソナロ	弗拉维奥·博尔索纳罗
Q1028466	Cap Anson	キャップ・アンソン	卡普·安森
Q1028469	Kornel Makuszyński	コルネル・マクシンスキ	科内尔·马库申斯基
Q10285329	Francisco de Assis de Távora	フランシスコ・デ・アシス・デ・ターヴォラ	
Q102856512	Semyon Kurakin	セミョン・クラキン	
Q1028601	Verdine White	ヴァーダイン・ホワイト	韋丁·懷特
Q1028616	Jan Andrzej Morsztyn	ヤン・アンジェイ・モルシュティン	扬·安德烈·莫什丁
Q10286993	Fátima Bezerra	マリア・デ・ファティマ・ベゼーラ	
Q10287	Manuel Valls	マニュエル・ヴァルス	曼努埃尔·瓦尔斯
Q1028732	Jodie Stimpson	ジョディー・スティンプソン	
Q10287656	Liao Deming		廖德明
Q1028770	Károly Gundel		卡羅伊·貢德勒
Q1028893	Charles Wager	チャールズ・ワガー	查爾斯·韋格
Q10288965	Lord George Paget	ロード・ジョージ・パジェット	
Q10289043	Geraldo Carneiro		杰拉尔多·卡内罗
Q10289257	Gershom Mendes Seixas	ゲルショム・メンデス・セイシャス	
Q10290038	Glauce Graieb		格拉丝·坎迪多·格拉伊布
Q1029055	József Gvadányi	グヴァダニ・ヨーゼフ	
Q1029143	Jacob Cornelisz van Oostsanen	ヤーコブ・コルネリスゾーン・ファン・オーストザーネン	雅各布·科内利斯·范奥斯特萨嫩
Q102918	Helene von Nostitz	ヘレーネ・フォン・ノスティッツ	
Q1029185	Camille Gutt	カミーユ・ガット	
Q10292023	Zhang Shou		张守
Q10292585	Guel Arraes		蓋爾·阿賴斯
Q10292658	Zhang Wumeng		张无梦
Q102931194	Vernon Winfrey	ヴァーノン・ウィンフリー	
Q10293151	Zhang Duanyi		张端义
Q10293267	Zhang Zhiyuan		张致远
Q10293285	Zhang Shunmin		张舜民
Q10293598	Zhang Qiqiu	張斉丘 (節度使)	张齐丘
Q10293884	Harald Malcolm Westergaard	ハロルド・ウェスターガード	
Q10293920	Zhang Jiugao	張九皋	张九皋
Q1029394	Camillo Olivetti	カミッロ・オリベッティ	卡米洛·奥利韦蒂
Q1029399	Maria Grinberg	マリヤ・グリンベルク	
Q10294042	Zhang Gongxiang		张公庠
Q1029423	Camillo Sivori	カミッロ・シヴォリ	卡米洛·西沃里
Q10294419	Helen Mayo	ヘレン・メイヨー	
Q1029467	Kevin Clash	ケヴィン・クラッシュ	凯文·克莱许
Q10294699	Zhang Hongce	張弘策	张弘策
Q102947	Volker von Collande	フォルカー・フォン・カランデ	
Q10294979	Herbert Berghof	ハーバート・バーゴフ	赫爾伯特·貝加夫
Q10294985	Zhang Mengde		张梦得
Q10295119	Zhang Wengui		张文规
Q10295242	Zhang Yaosun		张曜孙
Q1029527	Steve Womack	スティーブ・ウォマック	史提夫·沃麥克
