our_geni	wd_qid	child_geni	child_qid	role
6000000002893366727	Q101247938	6000000005749641787	Q101247920	mother
6000000001036055652	Q101247941	6000000001195495695	Q101247940	father
6000000001126874688	Q101248193	6000000003277299457	Q101247943	father
6000000001669649301	Q101248196	6000000003277299457	Q101247943	mother
6000000014453119155	Q101248139	6000000002325844196	Q101247947	mother
6000000001770216084	Q101248118	6000000007453268163	Q101248115	father
6000000005687298002	Q101248393	6000000011231144321	Q101248391	mother
6000000006936280466	Q101247356	6000000005679135998	Q101248392	mother
6000000191799147821	Q101248400	6000000011231090714	Q101248397	mother
6000000005771058023	Q101248473	6000000005769747739	Q101248471	mother
6000000003827763493	Q51078923	6000000000945084977	Q101248474	father
6000000003645811364	Q101248475	6000000000945084977	Q101248474	mother
6000000005687298002	Q101248393	6000000011356454880	Q101248484	mother
6000000010874861384	Q101248598	6000000010850771795	Q101248597	father
6000000010750887862	Q101248600	6000000010850771795	Q101248597	mother
6000000003827409138	Q31191911	6000000006727830903	Q101248711	father
6000000003827409144	Q101248715	6000000006727830903	Q101248711	mother
6000000002775306168	Q16556142	6000000002325801413	Q101248740	mother
4722085825290038085	Q108433488	6000000009544774015	Q101266	father
4722085853270026698	Q108433489	6000000009544774015	Q101266	mother
6000000009533282611	Q101402681	6000000027003548127	Q101402680	father
6000000010164181294	Q101402687	6000000027003548127	Q101402680	mother
6000000000424707620	Q2506456	6000000003122431695	Q101403734	father
6000000006727965306	Q101422821	6000000002849475483	Q101422819	mother
6000000001531282463	Q101422828	6000000003943156264	Q101422827	father
6000000001959231175	Q101422829	6000000003943156264	Q101422827	mother
6000000006584637310	Q101422842	6000000002046121141	Q101422840	mother
6000000001544453863	Q1150614	6000000003827711305	Q101467488	father
6000000009493722894	Q3424975	6000000003827711220	Q101469384	father
6000000009494070775	Q101469415	6000000003827711220	Q101469384	mother
6000000003827153654	Q2929437	6000000006290773294	Q101469442	mother
6000000003827701926	Q76356051	6000000009236149045	Q101509725	father
6000000003827701919	Q110602450	6000000009236149045	Q101509725	mother
6000000004043024484	Q110384101	6000000001544590571	Q101510011	father
6000000004043024491	Q110384103	6000000001544590571	Q101510011	mother
6000000003827429306	Q10266559	6000000001501029955	Q101510017	father
6000000006989617193	Q110302503	6000000001544596977	Q101510019	mother
6000000000436954608	Q69756781	6000000003827488457	Q101518522	mother
6000000003827535428	Q110603864	6000000003827612585	Q101518887	mother
6000000006376446567	Q96985053	6000000008308001653	Q101840059	father
6000000003827359988	Q1513702	6000000003827612099	Q101882	father
6000000003827535263	Q55443462	6000000003827612099	Q101882	mother
6000000002187805531	Q25418063	6000000002187696186	Q102084	father
6000000002188166366	Q21106446	6000000002187696186	Q102084	mother
6000000001545773100	Q6071657	6000000001545688656	Q102134215	father
6000000001275466109	Q91743288	6000000001275441096	Q102227121	father
6000000001275312399	Q587567	6000000001275441096	Q102227121	mother
6000000006727862805	Q44192701	6000000007862383112	Q102227276	father
6000000006280124368	Q25150772	6000000007862383112	Q102227276	mother
6000000010585044401	Q136028896	6000000039982797674	Q102291849	mother
6000000010431145634	Q85991424	6000000075744594033	Q102356612	mother
6000000007498195798	Q104626756	6000000007498529314	Q102399686	mother
6000000006858757121	Q1227324	6000000012099498633	Q102416305	father
6000000006858830060	Q266030	6000000012099498633	Q102416305	mother
6000000015738831358	Q116003453	6000000015703612947	Q102536931	mother
6000000001504598239	Q116032591	6000000001504598209	Q1025804	mother
6000000005436379454	Q112968203	6000000000114057471	Q102667808	mother
6000000015730257816	Q102816008	6000000015730300314	Q102815925	father
6000000015729794898	Q102816022	6000000015730300314	Q102815925	mother
6000000030662437081	Q1446693	6000000016726369720	Q102822468	father
6000000003493396117	Q102825194	6000000019750959909	Q102825188	father
6000000004868865551	Q102825607	6000000006910117511	Q102825586	mother
6000000003122422483	Q116007606	6000000007041144242	Q102825647	father
6000000003122422488	Q116007607	6000000007041144242	Q102825647	mother
6000000003273401286	Q102828183	6000000003273401273	Q102828169	father
6000000003273401293	Q102828268	6000000003273401273	Q102828169	mother
6000000003828021155	Q102828374	6000000003273401280	Q102828361	father
6000000015861006321	Q102828483	6000000003273401280	Q102828361	mother
6000000000474020487	Q2043160	6000000006444585585	Q102830186	father
6000000169063942836	Q116039989	6000000056824998966	Q10284707	father
6000000004245536232	Q116040017	6000000056824998966	Q10284707	mother
6000000016035498036	Q9655224	6000000016786736547	Q10285329	father
6000000013020969736	Q448095	6000000014422470339	Q102858249	father
6000000015109747983	Q22918581	6000000015110133792	Q102861886	father
6000000015110080304	Q102861904	6000000015110133792	Q102861886	mother
6000000000628798041	Q102862205	6000000014297918219	Q102862184	mother
6000000007079832221	Q10363865	6000000008489639194	Q10290608	father
6000000007079953080	Q100436622	6000000008489639194	Q10290608	mother
6000000074473300872	Q45360845	6000000074473068010	Q10292023	father
6000000006444496614	Q235174	6000000002188569415	Q10303425	mother
6000000018639995492	Q10321800	6000000018640115486	Q10311300	mother
6000000016379108186	Q110521223	6000000016811924029	Q10312530	father
6000000005006755606	Q110521228	6000000016811924029	Q10312530	mother
6000000025686676333	Q69818	6000000025687967931	Q103194	father
6000000025688032290	Q55593222	6000000025687967931	Q103194	mother
6000000001435528101	Q110302422	6000000001435528087	Q10319717	father
6000000001435528108	Q110302434	6000000001435528087	Q10319717	mother
6000000005653593001	Q123160521	6000000021065288134	Q10321802	father
6000000014349012451	Q136222132	6000000014349103206	Q10324514	father
6000000003159040420	Q1886996	6000000008630789607	Q10325581	father
6000000011939051821	Q10312464	5090833890720053735	Q10325745	father
5090833952240053741	Q75444556	5090833890720053735	Q10325745	mother
6000000003827890785	Q10343620	6000000010782427706	Q10326043	father
6000000010570865178	Q110523401	6000000010782427706	Q10326043	mother
4992488967940044073	Q5792844	6000000003056522441	Q10326839	mother
6000000004533625152	Q10299237	6000000009305003559	Q10330024	father
6000000004533625159	Q10299237	6000000009305003559	Q10330024	father
6000000010801040068	Q9761	6000000074750799821	Q10332085	father
6000000029854634179	Q9886	6000000074750543914	Q10332436	father
6000000029854634179	Q9886	6000000074750615941	Q10332536	father
6000000015965884288	Q529116	6000000004257979021	Q103333	father
6000000010801635352	Q9801	6000000074750508039	Q10334412	father
6000000010801635352	Q9801	6000000074750590989	Q10334500	father
6000000010801635352	Q9801	6000000074750480176	Q10334525	father
6000000010801635352	Q9801	6000000074749995425	Q10334553	father
6000000010801635352	Q9801	6000000074750678916	Q10334646	father
6000000010801040068	Q9761	6000000074750751869	Q10335214	father
6000000010801040068	Q9761	6000000074750265294	Q10335322	father
6000000010801040068	Q9761	6000000074750755859	Q10335390	father
6000000010801040068	Q9761	6000000074750602014	Q10335476	father
6000000010801040068	Q9761	6000000074750499973	Q10335499	father
6000000052003730054	Q701713	6000000074734494144	Q10336135	father
6000000010801406769	Q9825	6000000074750570955	Q10336685	father
6000000010801406769	Q9825	6000000074750147263	Q10336705	father
6000000010801406769	Q9825	6000000074750668878	Q10336794	father
6000000052004029904	Q11096026	6000000074734820047	Q10337238	father
6000000010801237168	Q9755	6000000074750266236	Q10338578	father
6000000010801237168	Q9755	6000000074750265186	Q10338604	father
6000000010801237168	Q9755	6000000074749923465	Q10338646	father
6000000010801237168	Q9755	6000000074750372035	Q10338690	father
6000000004533625967	Q108542984	6000000001412940184	Q10340269	mother
4773593109790065621	Q100437898	6000000001094898430	Q103437	father
6000000052103157846	Q65801284	6000000075405930843	Q10350183	mother
6000000000475054137	Q3404131;Q116053006	6000000002414186138	Q1035345	father
6000000078223835998	Q3405065;Q116052762	6000000002414186138	Q1035345	mother
6000000002214283343	Q254389	4310105748700020120	Q103556	mother
6000000015957698185	Q116180746	6000000008302429195	Q10363978	mother
6000000006727876600	Q61865644	6000000002043258387	Q10366258	father
6000000003858725514	Q61865646	6000000002043258387	Q10366258	mother
6000000006127409064	Q131726951	6000000000122049006	Q1036858	mother
6000000012665097221	Q28677952	6000000012665068359	Q10371750	father
6000000015356717558	Q10378326	6000000015356833238	Q10375242	mother
6000000007334156256	Q103773586	6000000008439452735	Q103771916	mother
6000000008439518240	Q103773692	6000000008439452773	Q103771924	father
6000000008439159131	Q103773750	6000000008439452773	Q103771924	mother
6000000016436366487	Q111988792	6000000007819339657	Q103773393	mother
6000000016010104097	Q103774865	6000000011003923794	Q103773403	father
6000000009899319937	Q103775184	6000000007398568468	Q103773433	mother
6000000005657228013	Q103773541	6000000007334248282	Q103773474	mother
6000000005647822001	Q117485981	6000000005656274004	Q103773553	father
6000000016009509432	Q112974572	6000000003259177540	Q103774892	father
6000000009885942969	Q103775150	6000000016195893842	Q103775068	mother
6000000012654213193	Q94796515	6000000009885942963	Q103775080	father
6000000012654301555	Q103775136	6000000009885942963	Q103775080	mother
6000000034828813521	Q103780130	6000000023525141030	Q103780120	mother
5149550446320139742	Q96240726	5149532185220119259	Q103780484	mother
6000000008317148273	Q103780538	6000000005744903659	Q103780526	father
6000000003645929281	Q103780546	6000000005744903659	Q103780526	mother
6000000011103046508	Q103780764	6000000008625270241	Q103780742	mother
4974585825530029115	Q103782227	4974600844480116541	Q103780753	mother
6000000004846438509	Q103780968	6000000014361279077	Q103780951	father
6000000001504532040	Q103780978	6000000014361279077	Q103780951	mother
6000000001504673249	Q103781100	6000000006740752219	Q103780995	mother
6000000006380807010	Q103782711	6000000010250820504	Q103781043	father
6000000006380597167	Q103782741	6000000010250820504	Q103781043	mother
318696605220006609	Q103782790	6000000004457921034	Q103781466	mother
4369107	Q98697688	6000000011590224598	Q103781939	father
6000000005573779404	Q98697689	6000000011590224598	Q103781939	mother
4956074856530028188	Q103783916	6000000001504209390	Q103782034	father
5149550446320139742	Q96240726	6000000003410542343	Q103782095	mother
6000000071015838828	Q103782338	6000000031913666565	Q103782292	mother
6000000000944958312	Q21548965	6000000002869553796	Q103782398	father
6000000002896832037	Q103782418	6000000002869553796	Q103782398	mother
6000000001504383291	Q103782062	6000000007417824797	Q103782564	father
6000000175330200881	Q96240743	6000000007417824797	Q103782564	mother
6000000001504214169	Q103782663	6000000003276847225	Q103782630	mother
6000000000769722749	Q103782655	5269238762480121221	Q103782642	mother
6000000002358367490	Q103782775	6000000007391709642	Q103782766	mother
6000000010824235270	Q103783760	6000000003645806859	Q103783751	father
6000000008007454254	Q130334525	6000000004028731440	Q103783771	father
6000000008007435358	Q130334526	6000000004028731440	Q103783771	mother
6000000188933179841	Q130334527	4136709990190033290	Q103783782	father
6000000172492341585	Q103784023	5209159241210053586	Q103784003	mother
6000000083314404195	Q103787484	6000000001933338478	Q103787429	mother
6000000000945038319	Q103787469	6000000012157353626	Q103787445	mother
6000000040283522095	Q103788157	6000000006735833029	Q103788148	father
6000000040283699958	Q103788189	6000000006735833029	Q103788148	mother
6000000008682014764	Q99638952	4036253774260076973	Q103837186	father
6000000002888054722	Q111353672	6000000000114088531	Q103840994	father
6000000004842017147	Q455143	6000000007961450260	Q1038496	father
6000000004841753908	Q4980276	6000000007961450260	Q1038496	mother
6000000006822535719	Q98545677	6000000006823775086	Q1039038	mother
6000000021139261213	Q8253918	6000000021139547825	Q1039198	mother
6000000021706455716	Q94786561	6000000076887605042	Q1039442	father
6000000001504447266	Q61869122	6000000001504367114	Q103962	mother
6000000006127594457	Q116753068	6000000006127594445	Q1039964	father
6000000007622043040	Q133283834	6000000019054022826	Q104017740	father
6000000009316011034	Q133283841	6000000019054022826	Q104017740	mother
6000000006127732774	Q111288928	6000000005587341564	Q1041325	mother
6000000014156999112	Q12316527	6000000013638647976	Q104177085	father
6000000017231221125	Q107904269	6000000013638647976	Q104177085	mother
6000000007644729198	Q76266349	6000000007645189570	Q104252	mother
6000000007400293799	Q1679281	6000000027365983421	Q104305833	father
6000000011232313787	Q110457071	6000000027365983421	Q104305833	mother
6000000003940567305	Q104388625	6000000024430550793	Q104388451	mother
6000000001801158032	Q6054511	6000000006127223646	Q10443068	father
6000000001800855967	Q110313506	6000000006127223646	Q10443068	mother
6000000006862330154	Q24019469	6000000006862039630	Q10443071	father
6000000002106206712	Q75776395	6000000003243284085	Q104473749	mother
6000000003827484613	Q75292434	6000000025511608906	Q104502538	mother
6000000010038501988	Q139987286	6000000010023820279	Q104535276	mother
6000000011734999765	Q112968258	6000000008529649585	Q104549902	mother
6000000001548261121	Q55849318	6000000008815800674	Q104550	mother
6000000009946084437	Q85986394	6000000012848014250	Q104550073	father
6000000003525171315	Q104550251	6000000011470292444	Q104550242	mother
6000000008734179157	Q104550264	6000000006585326441	Q104550261	mother
6000000008847604706	Q116779751	6000000008612246851	Q104550303	mother
6000000004400659715	Q110313611	6000000001949969800	Q104550329	father
6000000006813574355	Q104550332	6000000006127631359	Q104550331	father
6000000006599719377	Q104550340	6000000006813718233	Q104550339	father
6000000004400558624	Q104550327	6000000004160609389	Q104550344	father
6000000012348420894	Q104550461	6000000001686328679	Q104550451	mother
6000000008559545430	Q104550740	6000000007723609201	Q104550738	father
6000000009168988422	Q104550784	6000000010081144556	Q104550774	mother
6000000021615133684	Q104550781	6000000009169126338	Q104550777	mother
6000000008779468668	Q104550795	6000000008771062392	Q104550791	father
6000000009015811223	Q104550804	6000000008771062392	Q104550791	mother
6000000008987269397	Q104550853	6000000008987305202	Q104550842	mother
6000000012654213193	Q94796515	6000000008987278362	Q104550847	father
6000000009974351402	Q103775136	6000000008987278362	Q104550847	mother
6000000007723609254	Q104550745	6000000010081043867	Q104550864	mother
5679885256540101421	Q115871010	6000000003235887274	Q104551880	father
6000000032170895928	Q6993507	6000000032170778221	Q1045763	mother
6000000008199110146	Q55883305	6000000001798343423	Q10467138	father
6000000008199184742	Q110548255	6000000001798343423	Q10467138	mother
6000000010112344346	Q1229998	6000000021908970543	Q104671489	father
6000000003524262535	Q2614790	6000000016366333344	Q104722805	father
6000000006420605447	Q17383091	6000000057008883995	Q104739453	father
5477503367560083505	Q104755784	6000000007182310490	Q104755506	father
6000000000053076254	Q112969854	6000000019853037648	Q104778612	mother
6000000006376446567	Q96985053	6000000002946698785	Q104785689	father
6000000004188586393	Q111424686	6000000004188772044	Q1047925	father
6000000004188526531	Q111424686	6000000004188772044	Q1047925	father
6000000004188526531	Q111424696	6000000004188772044	Q1047925	mother
6000000010741608669	Q136376283	6000000006266368071	Q104805010	mother
6000000117182543914	Q112329568	6000000006282826235	Q104831020	father
6000000003827573260	Q112329580	6000000006282826235	Q104831020	mother
5042461071610069323	Q28469900	6000000000658406753	Q104841806	father
6000000001584382648	Q112968335	6000000000658406753	Q104841806	mother
6000000003649647347	Q811187	6000000014419507319	Q104849394	father
6000000057108249870	Q104872130	6000000041305492652	Q104888270	mother
6000000004025877428	Q110303938	6000000002750067529	Q104889642	mother
6000000003988462604	Q110303988	6000000003164683327	Q104890136	mother
6000000002422806528	Q96240797	6000000006128133790	Q104891229	father
6000000007750613255	Q110303987	6000000006128133790	Q104891229	mother
6000000003408334765	Q4708854	6000000004883363265	Q104977270	father
6000000000812943370	Q362163	6000000002187757470	Q1049817	father
6000000008963081015	Q708697	6000000008963051095	Q1050480	father
6000000001504268009	Q1201462	6000000008190242457	Q1050772	father
6000000015746306698	Q109010965	6000000022275698441	Q105087620	mother
6000000025794768435	Q94649786	6000000022554787866	Q105098102	father
6000000018512634526	Q105103275	6000000043900769159	Q105103217	mother
6000000009054476328	Q94935783	6000000009913809389	Q105104672	father
6000000000508474079	Q334777	6000000000495138391	Q105105	father
6000000002236412009	Q2309988	6000000000495138391	Q105105	mother
6000000007948266424	Q110395711	6000000018736511969	Q10511031	mother
6000000139608217010	Q16603432	6000000074730399861	Q10514148	mother
6000000007025913284	Q117486045	6000000007026549057	Q10531988	father
6000000014429760814	Q110386172	6000000001318533108	Q105339429	mother
6000000018856830151	Q105235977	6000000018856409832	Q105358933	father
6000000007398909451	Q366696	6000000001744974942	Q105378	father
6000000000469292724	Q62054	6000000001744974942	Q105378	mother
6000000069506892821	Q76284712	6000000069499419034	Q105393517	father
6000000069506697021	Q76284713	6000000069499419034	Q105393517	mother
6000000072735563034	Q318254	6000000121835804861	Q105424483	father
6000000006727805847	Q64548	6000000006727796048	Q105586	father
6000000002188005367	Q325842	6000000006727796048	Q105586	mother
6000000002649103931	Q21644964	6000000002649327403	Q105616902	mother
6000000000100856879	Q115974224	6000000000100890656	Q105705287	father
6000000000100859815	Q115974225	6000000000100890656	Q105705287	mother
6000000006188806256	Q136305238	6000000023541240459	Q105705600	father
6000000009186569641	Q95640278	6000000007455513411	Q105712225	father
6000000006128111060	Q5950139	6000000024373745602	Q105729455	father
6000000009375272382	Q4962004	6000000024373745602	Q105729455	mother
6000000003520630089	Q65932885	6000000014926490360	Q105736282	mother
6000000037679146448	Q108840629	6000000017136725949	Q105763658	mother
6000000002135188337	Q2645170	6000000005689140001	Q105769398	father
6000000002135188345	Q105769410	6000000005689140001	Q105769398	mother
6000000002135546760	Q76100289	6000000009431462576	Q105770540	father
6000000036204475374	Q120926374	6000000018587823513	Q105773130	father
6000000005475721003	Q105791079	6000000006444081850	Q105791070	mother
6000000008857442593	Q105796072	6000000009744380937	Q105796063	mother
6000000007819611222	Q105796124	6000000007398563218	Q105796092	mother
6000000009034010510	Q105796157	6000000007398344622	Q105796146	mother
6000000011324116647	Q105796154	6000000009034010504	Q105796148	mother
6000000009887897284	Q98698468	6000000010241258477	Q105796150	mother
6000000012124599633	Q105796377	6000000007977995628	Q105796366	mother
6000000000796819389	Q3400736	6000000003087037037	Q105805921	father
6000000001113004923	Q5623708	6000000003087037037	Q105805921	mother
6000000185941659839	Q105817065	6000000185942444837	Q105817064	father
6000000015343048013	Q108431504	6000000013163502797	Q105817249	father
6000000026028553270	Q108433277	6000000013163502797	Q105817249	mother
6000000003858776209	Q1495573	6000000003827545863	Q1058346	father
6000000003858776691	Q106501385	6000000003827545863	Q1058346	mother
6000000079062766174	Q105871824	6000000079062599161	Q105871822	mother
6000000014169255318	Q97030	6000000014233336522	Q105872391	father
6000000009215342399	Q95593	6000000006727800591	Q105938	mother
6000000011580113757	Q114321605	6000000011580486278	Q105973012	father
6000000005436471835	Q114321672	6000000011580486278	Q105973012	mother
6000000003036785649	Q105983059	6000000003036758945	Q105983058	father
6000000003036880947	Q105983060	6000000003036758945	Q105983058	mother
6000000003833442597	Q109835501	6000000003833396956	Q106045359	mother
6000000003833507385	Q131726955	6000000003833377697	Q106045506	father
6000000006127381120	Q110548852	6000000006127381148	Q106177714	father
6000000006127381113	Q110548870	6000000006127381148	Q106177714	mother
6000000016224972248	Q18747108	6000000016251652684	Q106224559	father
6000000011626627782	Q3135384	6000000011626957347	Q1062364	father
6000000210407123827	Q7139909	6000000011626957347	Q1062364	mother
6000000001907678309	Q11623518	6000000012634753101	Q106271708	father
6000000001754175218	Q106270817	6000000012634753101	Q106271708	mother
6000000000670948767	Q111989639	6000000000670955701	Q106298810	mother
6000000012388007557	Q106412088	3929097886490121786	Q106412682	father
6000000012388176315	Q108447741	3929097886490121786	Q106412682	mother
6000000008419522207	Q709643	6000000008201684616	Q1064841	father
6000000002278888556	Q140366783	6000000008201684616	Q1064841	mother
6000000004869045168	Q97782813	6000000016853662940	Q1064966	mother
6000000022529661296	Q106501378	6000000000640961473	Q106501110	father
6000000030304583912	Q106501379	6000000000640961473	Q106501110	mother
6000000025942756023	Q106501179	6000000000640961763	Q106501113	father
6000000021561695282	Q106501375	6000000000640961763	Q106501113	mother
6000000003827685149	Q2929489	6000000001088917123	Q106501236	mother
6000000003266371571	Q21238643	6000000014120878961	Q106503061	father
6000000000276154744	Q75950559	6000000014120878961	Q106503061	mother
6000000019551020029	Q106511624	6000000019539888018	Q106511807	father
6000000017538450842	Q2973254	6000000035463480678	Q106594314	father
6000000002186211880	Q23698908	6000000000269082644	Q106615019	father
6000000191799147821	Q127270746	6000000005563780935	Q106642846	mother
6000000012448742478	Q44847358	6000000021847863467	Q1066589	mother
6000000034999113914	Q8262960	6000000007970272795	Q1066885	mother
6000000006444679064	Q106704546	6000000006595310802	Q106704544	mother
6000000004586535724	Q75558022	6000000004867747291	Q106704710	father
6000000004586535733	Q106704712	6000000004867747291	Q106704710	mother
6000000017078366609	Q115633984	6000000003051193347	Q106704828	mother
6000000006797137732	Q447766	6000000008461701889	Q1067260	mother
6000000002765122180	Q2284093	6000000002803056741	Q1067288	father
6000000007038068001	Q75527293	6000000002803056741	Q1067288	mother
6000000022811553526	Q139946040	6000000022812900005	Q1067398	mother
6000000000274988385	Q104383015	6000000000275058277	Q106766158	father
6000000001517344681	Q60907	6000000000402282136	Q106780	father
6000000006727805911	Q61796	6000000006727805966	Q106805	father
6000000006727805921	Q265723	6000000006727805966	Q106805	mother
6000000006727805911	Q61796	6000000006727805973	Q106809	father
6000000017689292060	Q130634630	6000000017048044603	Q106857624	mother
6000000000099959618	Q115631680	6000000000100037131	Q106906810	mother
6000000006127484093	Q52928	6000000006127484130	Q1069154	father
6000000007021711716	Q55281610	6000000009600542761	Q106967437	mother
6000000002694748735	Q189095	6000000012569873925	Q106968428	father
6000000007211674203	Q109012251	6000000007211275783	Q107006843	mother
5149096265050047141	Q110302907	5269489820380073022	Q107025302	father
5149096314280047148	Q110302910	5269489820380073022	Q107025302	mother
6000000018268004010	Q107026101	6000000018386307328	Q107026058	mother
6000000204933311872	Q107026120	6000000047687442876	Q107026118	mother
6000000015405653863	Q110412435	6000000010077519812	Q107069916	mother
6000000006404266080	Q1070853	6000000003219772263	Q1070862	father
6000000003979034810	Q2467970	6000000003219772263	Q1070862	mother
6000000031393087759	Q110423559	6000000013915015079	Q107115950	father
6000000000677194492	Q110423566	6000000013915015079	Q107115950	mother
6000000012368659230	Q1069778	6000000074747452886	Q1071329	father
341670938620011531	Q108133411	6000000001169087683	Q107147764	father
6000000035236572939	Q10946205	6000000075368013857	Q1071587	father
6000000129563692871	Q15897172	6000000075368013857	Q1071587	mother
6000000002188099881	Q9746	6000000074767492999	Q10719160	father
6000000002188099881	Q9746	6000000074767297123	Q10719244	father
6000000135688584889	Q10897191	6000000074767297123	Q10719244	mother
6000000002188099881	Q9746	6000000074767178309	Q10719402	father
6000000135688584889	Q10897191	6000000074767178309	Q10719402	mother
6000000002188099881	Q9746	6000000074767648863	Q10719457	father
6000000002188099881	Q9746	6000000074767670885	Q10719817	father
6000000002188099881	Q9746	6000000074767648896	Q10719962	father
6000000002188099881	Q9746	6000000074767346123	Q10720076	father
6000000002188099881	Q9746	6000000074767582943	Q10720135	father
6000000002188099881	Q9746	6000000074767734907	Q10720201	father
6000000002188099881	Q9746	6000000074767210211	Q10720319	father
6000000002188099881	Q9746	6000000074767688904	Q10720777	father
6000000002188099881	Q9746	6000000074767336239	Q10720865	father
6000000002188099881	Q9746	6000000074767744901	Q10721018	father
6000000002188099881	Q9746	6000000074767420313	Q10721083	father
6000000002188099881	Q9746	6000000074767796848	Q10721148	father
6000000124085948980	Q8251314	6000000074767796848	Q10721148	mother
6000000025926149195	Q110110526	6000000018837935185	Q107211480	father
6000000025926298110	Q110110527	6000000018837935185	Q107211480	mother
6000000003897513842	Q98072560	6000000001504974157	Q107211500	father
6000000002188099881	Q9746	6000000074767810841	Q10721193	father
6000000002188099881	Q9746	6000000074767055414	Q10721332	father
6000000002188099881	Q9746	6000000074767054364	Q10721371	father
6000000002188099881	Q9746	6000000074767840854	Q10721415	father
6000000002188099881	Q9746	6000000074767548999	Q10721451	father
6000000002188099881	Q9746	6000000074767860837	Q10721489	father
6000000002188099881	Q9746	6000000074767840858	Q10721580	father
6000000002188099881	Q9746	6000000074767774880	Q10721612	father
6000000002188099881	Q9746	6000000074767724988	Q10721682	father
6000000002188099881	Q9746	6000000074767763877	Q10721717	father
6000000002188099881	Q9746	6000000074767647007	Q10721746	father
6000000013329491416	Q134498609	6000000001721397602	Q107224457	mother
6000000008519893788	Q589230	377260401250012347	Q1072294	father
6000000008520042279	Q3766308	377260401250012347	Q1072294	mother
